,,Value,Symbol
Number of people undernourished (3-year average),Croatia,100.0,X
Prevalence of undernourishment (3-year average),Croatia,2.6,X
Total population with access to safe drinking-water (JMP),Croatia,99.4,X
Number of people undernourished (3-year average),Cuba,300.0,I
Prevalence of undernourishment (3-year average),Cuba,2.8,I
Total population with access to safe drinking-water (JMP),Cuba,94.1,X
Population affected by water related disease,Cuba,1033.0,I
Total population with access to safe drinking-water (JMP),Cyprus,100.0,X
Total population with access to safe drinking-water (JMP),Czechia,100.0,X
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,81.2,X
Population affected by water related disease,Côte d’Ivoire,1423.0,I
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,99.7,X
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,51.4,X
Total population with access to safe drinking-water (JMP),Denmark,100.0,X
Number of people undernourished (3-year average),Djibouti,200.0,X
Total population with access to safe drinking-water (JMP),Djibouti,89.9,X
Total population with access to safe drinking-water (JMP),Dominica,94.4,I
Number of people undernourished (3-year average),Dominican Republic,1000.0,X
Total population with access to safe drinking-water (JMP),Dominican Republic,85.4,X
Total population with access to safe drinking-water (JMP),Ecuador,85.9,X
Population affected by water related disease,Ecuador,8.57,I
Number of people undernourished (3-year average),Egypt,4300.0,X
Prevalence of undernourishment (3-year average),Egypt,5.1,X
Total population with access to safe drinking-water (JMP),Egypt,98.8,X
Number of people undernourished (3-year average),El Salvador,700.0,X
Total population with access to safe drinking-water (JMP),El Salvador,91.6,X
Population affected by water related disease,El Salvador,12.0,I
Total population with access to safe drinking-water (JMP),Equatorial Guinea,47.7,X
Total population with access to safe drinking-water (JMP),Eritrea,57.5,X
Prevalence of undernourishment (3-year average),Estonia,2.7,X
Total population with access to safe drinking-water (JMP),Estonia,99.5,X
Total population with access to safe drinking-water (JMP),Eswatini,74.2,X
Population affected by water related disease,Eswatini,2.926,I
Total population with access to safe drinking-water (JMP),Ethiopia,51.6,X
Prevalence of undernourishment (3-year average),Fiji,3.8,X
Total population with access to safe drinking-water (JMP),Fiji,95.6,X
Total population with access to safe drinking-water (JMP),Finland,100.0,X
Total population with access to safe drinking-water (JMP),France,100.0,X
Number of people undernourished (3-year average),Gabon,300.0,X
Total population with access to safe drinking-water (JMP),Gabon,92.2,X
Number of people undernourished (3-year average),Gambia,200.0,X
Total population with access to safe drinking-water (JMP),Gambia,90.1,X
Number of people undernourished (3-year average),Georgia,200.0,X
Prevalence of undernourishment (3-year average),Georgia,4.6,X
Total population with access to safe drinking-water (JMP),Georgia,98.3,X
Total population with access to safe drinking-water (JMP),Germany,100.0,X
Number of people undernourished (3-year average),Ghana,1700.0,X
Total population with access to safe drinking-water (JMP),Ghana,85.4,X
Total population with access to safe drinking-water (JMP),Greece,100.0,X
Total population with access to safe drinking-water (JMP),Grenada,96.6,X
Total population with access to safe drinking-water (JMP),Guatemala,92.0,X
Population affected by water related disease,Guatemala,1880.0,I
Number of people undernourished (3-year average),Guinea,1900.0,X
Prevalence of undernourishment (3-year average),Guinea,17.2,X
Total population with access to safe drinking-water (JMP),Guinea,74.8,X
Number of people undernourished (3-year average),Guinea-Bissau,400.0,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,22.2,X
Total population with access to safe drinking-water (JMP),Guinea-Bissau,73.6,X
Number of people undernourished (3-year average),Guyana,100.0,I
Total population with access to safe drinking-water (JMP),Guyana,95.9,X
Total population with access to safe drinking-water (JMP),Haiti,58.5,X
Total population with access to safe drinking-water (JMP),Honduras,89.3,X
Total population with access to safe drinking-water (JMP),Hungary,100.0,X
Total population with access to safe drinking-water (JMP),Iceland,100.0,X
Total population with access to safe drinking-water (JMP),India,92.2,X
Population affected by water related disease,India,44000.0,I
Total population with access to safe drinking-water (JMP),Indonesia,85.7,X
Population affected by water related disease,Indonesia,5.111,I
Total population with access to safe drinking-water (JMP),Iran (Islamic Republic of),96.0,X
Total population with access to safe drinking-water (JMP),Iraq,86.1,X
Total population with access to safe drinking-water (JMP),Ireland,97.7,X
Total population with access to safe drinking-water (JMP),Israel,100.0,X
Total population with access to safe drinking-water (JMP),Italy,100.0,X
Number of people undernourished (3-year average),Jamaica,300.0,X
Total population with access to safe drinking-water (JMP),Jamaica,93.8,X
Prevalence of undernourishment (3-year average),Japan,2.7,I
Total population with access to safe drinking-water (JMP),Japan,100.0,X
Number of people undernourished (3-year average),Jordan,600.0,X
Total population with access to safe drinking-water (JMP),Jordan,96.9,X
Number of people undernourished (3-year average),Kazakhstan,500.0,X
Prevalence of undernourishment (3-year average),Kazakhstan,3.2,X
Total population with access to safe drinking-water (JMP),Kazakhstan,93.1,X
Population affected by water related disease,Kazakhstan,3.22,I
Total population with access to safe drinking-water (JMP),Kenya,61.6,X
Total population with access to safe drinking-water (JMP),Kiribati,66.7,X
Number of people undernourished (3-year average),Kuwait,123.8095238095,I
Total population with access to safe drinking-water (JMP),Kuwait,99.0,X
Total population with access to safe drinking-water (JMP),Kyrgyzstan,87.6,X
Population affected by water related disease,Kyrgyzstan,122.8,I
Total population with access to safe drinking-water (JMP),Lao People's Democratic Republic,71.5,X
Number of people undernourished (3-year average),Latvia,100.0,I
Prevalence of undernourishment (3-year average),Latvia,2.8,I
Total population with access to safe drinking-water (JMP),Latvia,99.1,X
Number of people undernourished (3-year average),Lebanon,600.0,X
Total population with access to safe drinking-water (JMP),Lebanon,99.0,X
Number of people undernourished (3-year average),Lesotho,200.0,X
Total population with access to safe drinking-water (JMP),Lesotho,81.2,X
Total population with access to safe drinking-water (JMP),Liberia,72.9,X
Total population with access to safe drinking-water (JMP),Libya,71.2,I
Total population with access to safe drinking-water (JMP),Lithuania,95.8,X
Total population with access to safe drinking-water (JMP),Luxembourg,100.0,X
Total population with access to safe drinking-water (JMP),Madagascar,48.7,X
Total population with access to safe drinking-water (JMP),Malawi,84.7,X
Prevalence of undernourishment (3-year average),Malaysia,3.0,X
Total population with access to safe drinking-water (JMP),Malaysia,97.9,X
Population affected by water related disease,Malaysia,7.0,I
Prevalence of undernourishment (3-year average),Maldives,11.0,X
Total population with access to safe drinking-water (JMP),Maldives,98.6,X
Total population with access to safe drinking-water (JMP),Mali,70.9,X
Population affected by water related disease,Mali,2291.0,I
Total population with access to safe drinking-water (JMP),Malta,100.0,X
Total population with access to safe drinking-water (JMP),Marshall Islands,94.5,X
Number of people undernourished (3-year average),Mauritania,300.0,X
Total population with access to safe drinking-water (JMP),Mauritania,56.7,X
Population affected by water related disease,Mauritania,111.6,I
Prevalence of undernourishment (3-year average),Mauritius,5.3,X
Total population with access to safe drinking-water (JMP),Mauritius,99.8,X
Population affected by water related disease,Mauritius,0.0,I
Total population with access to safe drinking-water (JMP),Mexico,95.1,X
Total population with access to safe drinking-water (JMP),Micronesia (Federated States of),89.0,X
Total population with access to safe drinking-water (JMP),Monaco,100.0,X
Number of people undernourished (3-year average),Mongolia,500.0,X
Total population with access to safe drinking-water (JMP),Mongolia,63.7,X
Total population with access to safe drinking-water (JMP),Montenegro,99.3,X
Number of people undernourished (3-year average),Morocco,1700.0,X
Prevalence of undernourishment (3-year average),Morocco,5.3,X
Total population with access to safe drinking-water (JMP),Morocco,84.6,X
Number of people undernourished (3-year average),Mozambique,5300.0,X
Total population with access to safe drinking-water (JMP),Mozambique,50.1,X
Total population with access to safe drinking-water (JMP),Myanmar,80.3,X
Total population with access to safe drinking-water (JMP),Namibia,88.8,X
Total population with access to safe drinking-water (JMP),Nauru,96.3,X
Total population with access to safe drinking-water (JMP),Nepal,88.9,X
Total population with access to safe drinking-water (JMP),Netherlands,100.0,X
Total population with access to safe drinking-water (JMP),New Zealand,100.0,X
Number of people undernourished (3-year average),Nicaragua,1100.0,X
Prevalence of undernourishment (3-year average),Nicaragua,19.2,X
Total population with access to safe drinking-water (JMP),Nicaragua,86.2,X
Population affected by water related disease,Nicaragua,214.0,I
Number of people undernourished (3-year average),Niger,1900.0,X
Prevalence of undernourishment (3-year average),Niger,10.9,X
Total population with access to safe drinking-water (JMP),Niger,56.2,X
Population affected by water related disease,Niger,3143.0,I
Total population with access to safe drinking-water (JMP),Nigeria,65.5,X
Total population with access to safe drinking-water (JMP),Niue,98.6,X
Number of people undernourished (3-year average),North Macedonia,100.0,I
Total population with access to safe drinking-water (JMP),North Macedonia,99.4,X
Total population with access to safe drinking-water (JMP),Norway,100.0,X
Number of people undernourished (3-year average),Oman,300.0,X
Total population with access to safe drinking-water (JMP),Oman,93.3,X
Total population with access to safe drinking-water (JMP),Pakistan,90.9,X
Total population with access to safe drinking-water (JMP),Palau,95.3,I
Number of people undernourished (3-year average),Panama,400.0,X
Total population with access to safe drinking-water (JMP),Panama,93.7,X
Population affected by water related disease,Panama,313.7,I
Total population with access to safe drinking-water (JMP),Papua New Guinea,39.9,X
Number of people undernourished (3-year average),Paraguay,500.0,X
Total population with access to safe drinking-water (JMP),Paraguay,93.4,X
Total population with access to safe drinking-water (JMP),Peru,85.5,X
Population affected by water related disease,Peru,600.2,I
Total population with access to safe drinking-water (JMP),Philippines,90.8,X
Population affected by water related disease,Philippines,866.4,I
Total population with access to safe drinking-water (JMP),Poland,98.0,X
Total population with access to safe drinking-water (JMP),Portugal,99.9,X
Total population with access to safe drinking-water (JMP),Puerto Rico,93.6,I
Total population with access to safe drinking-water (JMP),Qatar,100.0,X
Number of people undernourished (3-year average),Republic of Korea,1200.0,I
Prevalence of undernourishment (3-year average),Republic of Korea,2.5,I
Total population with access to safe drinking-water (JMP),Republic of Korea,97.6,X
Total population with access to safe drinking-water (JMP),Republic of Moldova,87.9,X
Number of people undernourished (3-year average),Republic of Serbia,200.0,X
Prevalence of undernourishment (3-year average),Republic of Serbia,2.6,X
Total population with access to safe drinking-water (JMP),Republic of Serbia,99.2,X
Total population with access to safe drinking-water (JMP),Romania,99.0,X
Number of people undernourished (3-year average),Russian Federation,3700.0,I
Prevalence of undernourishment (3-year average),Russian Federation,2.6,I
Total population with access to safe drinking-water (JMP),Russian Federation,96.6,X
Total population with access to safe drinking-water (JMP),Rwanda,74.3,X
Total population with access to safe drinking-water (JMP),Saint Kitts and Nevis,98.3,X
Total population with access to safe drinking-water (JMP),Saint Lucia,96.0,X
Prevalence of undernourishment (3-year average),Saint Vincent and the Grenadines,5.5,X
Total population with access to safe drinking-water (JMP),Saint Vincent and the Grenadines,95.1,X
Total population with access to safe drinking-water (JMP),Samoa,98.5,X
Total population with access to safe drinking-water (JMP),Sao Tome and Principe,97.0,X
Number of people undernourished (3-year average),Saudi Arabia,1500.0,X
Prevalence of undernourishment (3-year average),Saudi Arabia,5.4,X
Total population with access to safe drinking-water (JMP),Saudi Arabia,97.0,X
Total population with access to safe drinking-water (JMP),Senegal,76.3,X
Total population with access to safe drinking-water (JMP),Seychelles,95.7,X
Total population with access to safe drinking-water (JMP),Sierra Leone,59.5,X
Total population with access to safe drinking-water (JMP),Singapore,100.0,X
Number of people undernourished (3-year average),Slovakia,200.0,X
Total population with access to safe drinking-water (JMP),Slovakia,100.0,X
Total population with access to safe drinking-water (JMP),Slovenia,99.5,X
Total population with access to safe drinking-water (JMP),Solomon Islands,80.5,X
Total population with access to safe drinking-water (JMP),Somalia,31.7,I
Total population with access to safe drinking-water (JMP),South Africa,92.0,X
Total population with access to safe drinking-water (JMP),South Sudan,58.7,X
Total population with access to safe drinking-water (JMP),Spain,100.0,X
Total population with access to safe drinking-water (JMP),Sri Lanka,93.3,X
Population affected by water related disease,Sri Lanka,120.0,I
Total population with access to safe drinking-water (JMP),State of Palestine,65.1,X
Total population with access to safe drinking-water (JMP),Sudan,55.5,X
Total population with access to safe drinking-water (JMP),Suriname,94.8,X
Total population with access to safe drinking-water (JMP),Sweden,100.0,X
Total population with access to safe drinking-water (JMP),Switzerland,100.0,X
Total population with access to safe drinking-water (JMP),Syrian Arab Republic,90.1,X
Number of people undernourished (3-year average),Tajikistan,2900.0,X
Prevalence of undernourishment (3-year average),Tajikistan,36.8,X
Total population with access to safe drinking-water (JMP),Tajikistan,71.7,X
Total population with access to safe drinking-water (JMP),Thailand,97.1,X
Population affected by water related disease,Thailand,960.0,I
Number of people undernourished (3-year average),Timor-Leste,300.0,X
Total population with access to safe drinking-water (JMP),Timor-Leste,71.2,X
Total population with access to safe drinking-water (JMP),Togo,61.1,X
Total population with access to safe drinking-water (JMP),Tokelau,100.0,X
Total population with access to safe drinking-water (JMP),Tonga,99.4,X
Number of people undernourished (3-year average),Trinidad and Tobago,100.0,X
Total population with access to safe drinking-water (JMP),Trinidad and Tobago,95.1,X
Number of people undernourished (3-year average),Tunisia,400.0,X
Prevalence of undernourishment (3-year average),Tunisia,3.3,X
Total population with access to safe drinking-water (JMP),Tunisia,96.9,X
Total population with access to safe drinking-water (JMP),Turkey,99.5,X
Total population with access to safe drinking-water (JMP),Turkmenistan,60.4,I
Population affected by water related disease,Turkmenistan,12.29,I
Total population with access to safe drinking-water (JMP),Tuvalu,97.7,X
Number of people undernourished (3-year average),Uganda,11100.0,X
Prevalence of undernourishment (3-year average),Uganda,31.6,X
Total population with access to safe drinking-water (JMP),Uganda,75.8,X
Number of people undernourished (3-year average),Ukraine,1330.7692307692,I
Prevalence of undernourishment (3-year average),Ukraine,2.8,I
Total population with access to safe drinking-water (JMP),Ukraine,96.5,X
Number of people undernourished (3-year average),United Arab Emirates,500.0,X
Prevalence of undernourishment (3-year average),United Arab Emirates,5.5,X
Total population with access to safe drinking-water (JMP),United Arab Emirates,99.6,X
Total population with access to safe drinking-water (JMP),United Kingdom of Great Britain and Northern Ireland,100.0,X
Total population with access to safe drinking-water (JMP),United Republic of Tanzania,55.4,X
Total population with access to safe drinking-water (JMP),United States of America,99.1,X
Number of people undernourished (3-year average),Uruguay,100.0,I
Prevalence of undernourishment (3-year average),Uruguay,2.7,I
Total population with access to safe drinking-water (JMP),Uruguay,99.3,X
Number of people undernourished (3-year average),Uzbekistan,2700.0,X
Prevalence of undernourishment (3-year average),Uzbekistan,9.4,X
Total population with access to safe drinking-water (JMP),Uzbekistan,87.3,X
Population affected by water related disease,Uzbekistan,271.8,I
Total population with access to safe drinking-water (JMP),Vanuatu,90.9,X
Number of people undernourished (3-year average),Venezuela (Bolivarian Republic of),700.0,X
Prevalence of undernourishment (3-year average),Venezuela (Bolivarian Republic of),2.5,X
Total population with access to safe drinking-water (JMP),Venezuela (Bolivarian Republic of),92.9,X
Population affected by water related disease,Venezuela (Bolivarian Republic of),22.06,I
Total population with access to safe drinking-water (JMP),Viet Nam,93.8,X
Population affected by water related disease,Viet Nam,177.6,I
Total population with access to safe drinking-water (JMP),Yemen,54.9,X
Number of people undernourished (3-year average),Zambia,7000.0,X
Prevalence of undernourishment (3-year average),Zambia,48.8,X
Total population with access to safe drinking-water (JMP),Zambia,63.0,X
Number of people undernourished (3-year average),Zimbabwe,5900.0,X
Prevalence of undernourishment (3-year average),Zimbabwe,41.3,X
Total population with access to safe drinking-water (JMP),Zimbabwe,77.5,X
