,,,Value,Symbol
Denmark,Total population with access to safe drinking-water (JMP),1,100.0,X
Djibouti,Number of people undernourished (3-year average),1,300.0,X
Djibouti,Total population with access to safe drinking-water (JMP),8,83.7,X
Dominica,Total population with access to safe drinking-water (JMP),2,94.4,X
Dominican Republic,Number of people undernourished (3-year average),1,1800.0,X
Dominican Republic,Total population with access to safe drinking-water (JMP),7,86.7,X
Ecuador,Number of people undernourished (3-year average),1,2700.0,X
Ecuador,Total population with access to safe drinking-water (JMP),5,80.8,X
Ecuador,Population affected by water related disease,10,8.57,I
Egypt,Number of people undernourished (3-year average),0,3700.0,X
Egypt,Total population with access to safe drinking-water (JMP),4,96.4,X
El Salvador,Number of people undernourished (3-year average),1,400.0,X
El Salvador,Total population with access to safe drinking-water (JMP),8,83.4,X
El Salvador,Population affected by water related disease,14,12.0,I
Equatorial Guinea,Total population with access to safe drinking-water (JMP),1,47.3,X
Eritrea,Total population with access to safe drinking-water (JMP),1,52.1,X
Estonia,Prevalence of undernourishment (3-year average),0,3.6,X
Estonia,Total population with access to safe drinking-water (JMP),6,99.1,X
Eswatini,Number of people undernourished (3-year average),1,100.0,X
Eswatini,Total population with access to safe drinking-water (JMP),5,55.6,X
Eswatini,Population affected by water related disease,10,2.926,I
Ethiopia,Total population with access to safe drinking-water (JMP),3,32.7,X
Federated States of Micronesia,Total population with access to safe drinking-water (JMP),1,90.0,X
Fiji,Prevalence of undernourishment (3-year average),1,4.0,X
Fiji,Total population with access to safe drinking-water (JMP),4,91.6,X
Finland,Total population with access to safe drinking-water (JMP),1,100.0,X
France,Total population with access to safe drinking-water (JMP),1,100.0,X
Gabon,Number of people undernourished (3-year average),1,100.0,X
Gabon,Total population with access to safe drinking-water (JMP),8,85.6,X
Gambia,Number of people undernourished (3-year average),1,200.0,X
Gambia,Total population with access to safe drinking-water (JMP),8,84.0,X
Georgia,Number of people undernourished (3-year average),1,300.0,X
Georgia,Total population with access to safe drinking-water (JMP),8,90.8,X
Germany,Total population with access to safe drinking-water (JMP),1,100.0,X
Ghana,Total population with access to safe drinking-water (JMP),5,73.1,X
Greece,Total population with access to safe drinking-water (JMP),1,99.1,X
Grenada,Total population with access to safe drinking-water (JMP),1,96.6,X
Guatemala,Total population with access to safe drinking-water (JMP),5,85.2,X
Guatemala,Population affected by water related disease,11,1880.0,I
Guinea,Number of people undernourished (3-year average),1,2300.0,X
Guinea,Prevalence of undernourishment (3-year average),7,25.5,X
Guinea,Total population with access to safe drinking-water (JMP),13,64.8,X
Guinea-Bissau,Number of people undernourished (3-year average),1,300.0,X
Guinea-Bissau,Prevalence of undernourishment (3-year average),7,24.4,X
Guinea-Bissau,Total population with access to safe drinking-water (JMP),13,55.5,X
Guyana,Number of people undernourished (3-year average),1,100.0,I
Guyana,Total population with access to safe drinking-water (JMP),9,87.8,X
Haiti,Number of people undernourished (3-year average),1,4600.0,X
Haiti,Prevalence of undernourishment (3-year average),5,53.2,X
Haiti,Total population with access to safe drinking-water (JMP),8,60.8,X
Honduras,Number of people undernourished (3-year average),1,1500.0,X
Honduras,Total population with access to safe drinking-water (JMP),6,82.3,X
Hungary,Total population with access to safe drinking-water (JMP),1,98.6,X
Iceland,Total population with access to safe drinking-water (JMP),1,100.0,X
India,Total population with access to safe drinking-water (JMP),3,82.5,X
India,Population affected by water related disease,9,44000.0,I
Indonesia,Total population with access to safe drinking-water (JMP),3,79.3,X
Iran,Number of people undernourished (3-year average),1,3200.0,X
Iran,Prevalence of undernourishment (3-year average),5,4.8,X
Iran,Total population with access to safe drinking-water (JMP),9,94.5,X
Iraq,Total population with access to safe drinking-water (JMP),4,81.3,X
Ireland,Total population with access to safe drinking-water (JMP),1,96.6,X
Israel,Total population with access to safe drinking-water (JMP),1,100.0,X
Italy,Total population with access to safe drinking-water (JMP),1,100.0,X
Jamaica,Number of people undernourished (3-year average),1,200.0,X
Jamaica,Total population with access to safe drinking-water (JMP),8,93.5,X
Japan,Total population with access to safe drinking-water (JMP),4,100.0,X
Jordan,Number of people undernourished (3-year average),1,500.0,X
Jordan,Total population with access to safe drinking-water (JMP),7,96.8,X
Kazakhstan,Number of people undernourished (3-year average),0,1000.0,X
Kazakhstan,Total population with access to safe drinking-water (JMP),5,93.7,X
Kazakhstan,Population affected by water related disease,10,3.22,I
Kenya,Number of people undernourished (3-year average),1,10600.0,X
Kenya,Total population with access to safe drinking-water (JMP),4,53.5,X
Kiribati,Prevalence of undernourishment (3-year average),1,4.4,X
Kiribati,Total population with access to safe drinking-water (JMP),3,60.3,X
Kuwait,Number of people undernourished (3-year average),1,171.4285714286,I
Kuwait,Total population with access to safe drinking-water (JMP),10,99.0,X
Kyrgyzstan,Number of people undernourished (3-year average),1,800.0,X
Kyrgyzstan,Total population with access to safe drinking-water (JMP),5,80.0,X
Lao People's Democratic Republic,Total population with access to safe drinking-water (JMP),3,50.1,X
Latvia,Number of people undernourished (3-year average),0,100.0,X
Latvia,Prevalence of undernourishment (3-year average),5,4.6,X
Latvia,Total population with access to safe drinking-water (JMP),11,98.3,X
Lebanon,Number of people undernourished (3-year average),0,300.0,X
Lebanon,Total population with access to safe drinking-water (JMP),6,88.1,X
Lesotho,Number of people undernourished (3-year average),1,400.0,X
Lesotho,Total population with access to safe drinking-water (JMP),6,79.3,X
Liberia,Number of people undernourished (3-year average),1,1100.0,X
Liberia,Total population with access to safe drinking-water (JMP),6,64.2,X
Libya,Total population with access to safe drinking-water (JMP),1,71.2,I
Lithuania,Total population with access to safe drinking-water (JMP),1,91.8,X
Luxembourg,Total population with access to safe drinking-water (JMP),1,100.0,X
Macedonia,Number of people undernourished (3-year average),0,200.0,X
Macedonia,Total population with access to safe drinking-water (JMP),6,99.3,X
Madagascar,Number of people undernourished (3-year average),1,5500.0,X
Madagascar,Total population with access to safe drinking-water (JMP),6,39.6,X
Malawi,Number of people undernourished (3-year average),1,2700.0,X
Malawi,Total population with access to safe drinking-water (JMP),5,66.2,X
Malaysia,Number of people undernourished (3-year average),1,600.0,X
Malaysia,Total population with access to safe drinking-water (JMP),7,94.8,X
Malaysia,Population affected by water related disease,13,7.0,I
Maldives,Prevalence of undernourishment (3-year average),1,14.6,X
Maldives,Total population with access to safe drinking-water (JMP),7,95.9,X
Mali,Number of people undernourished (3-year average),1,1800.0,X
Mali,Total population with access to safe drinking-water (JMP),7,50.6,X
Malta,Total population with access to safe drinking-water (JMP),1,100.0,X
Marshall Islands,Total population with access to safe drinking-water (JMP),1,93.4,X
Mauritania,Number of people undernourished (3-year average),1,200.0,X
Mauritania,Total population with access to safe drinking-water (JMP),6,44.6,X
Mauritius,Total population with access to safe drinking-water (JMP),4,99.3,X
Mauritius,Population affected by water related disease,9,0.0,
Mexico,Number of people undernourished (3-year average),1,3300.0,X
Mexico,Prevalence of undernourishment (3-year average),3,3.3,X
Mexico,Total population with access to safe drinking-water (JMP),6,89.7,X
Monaco,Total population with access to safe drinking-water (JMP),1,100.0,X
Mongolia,Number of people undernourished (3-year average),1,800.0,X
Mongolia,Total population with access to safe drinking-water (JMP),6,58.0,X
Morocco,Total population with access to safe drinking-water (JMP),7,79.3,X
Mozambique,Number of people undernourished (3-year average),1,6700.0,X
Mozambique,Total population with access to safe drinking-water (JMP),5,42.6,X
Myanmar,Total population with access to safe drinking-water (JMP),3,68.9,X
Namibia,Number of people undernourished (3-year average),1,200.0,X
Namibia,Total population with access to safe drinking-water (JMP),4,80.3,X
Nauru,Total population with access to safe drinking-water (JMP),1,93.6,X
Nepal,Number of people undernourished (3-year average),1,5700.0,X
Nepal,Total population with access to safe drinking-water (JMP),5,79.2,X
Netherlands,Total population with access to safe drinking-water (JMP),1,100.0,X
New Zealand,Total population with access to safe drinking-water (JMP),1,100.0,X
Nicaragua,Number of people undernourished (3-year average),1,1400.0,X
Nicaragua,Total population with access to safe drinking-water (JMP),9,80.1,X
Nicaragua,Population affected by water related disease,15,234.0833333333,I
Niger,Number of people undernourished (3-year average),1,2300.0,X
Niger,Prevalence of undernourishment (3-year average),7,19.7,X
Niger,Total population with access to safe drinking-water (JMP),13,45.7,X
Nigeria,Total population with access to safe drinking-water (JMP),3,54.2,X
Niue,Total population with access to safe drinking-water (JMP),1,98.9,X
Norway,Total population with access to safe drinking-water (JMP),1,100.0,X
Oman,Number of people undernourished (3-year average),1,300.0,X
Oman,Total population with access to safe drinking-water (JMP),7,85.5,X
Pakistan,Total population with access to safe drinking-water (JMP),3,88.9,X
Palau,Total population with access to safe drinking-water (JMP),1,93.1,X
Palestine,Total population with access to safe drinking-water (JMP),1,86.7,X
Panama,Number of people undernourished (3-year average),1,800.0,X
Panama,Total population with access to safe drinking-water (JMP),9,90.3,X
Papua New Guinea,Total population with access to safe drinking-water (JMP),1,35.9,X
Paraguay,Number of people undernourished (3-year average),1,600.0,X
Paraguay,Total population with access to safe drinking-water (JMP),6,77.1,X
Peru,Number of people undernourished (3-year average),1,5800.0,X
Peru,Total population with access to safe drinking-water (JMP),6,80.9,X
Peru,Population affected by water related disease,12,600.2,I
Philippines,Total population with access to safe drinking-water (JMP),3,87.7,X
Philippines,Population affected by water related disease,8,866.4,I
Poland,Total population with access to safe drinking-water (JMP),1,96.3,X
Portugal,Total population with access to safe drinking-water (JMP),1,98.3,X
Puerto Rico,Total population with access to safe drinking-water (JMP),1,93.6,I
Qatar,Total population with access to safe drinking-water (JMP),1,99.4,X
Republic of Korea,Total population with access to safe drinking-water (JMP),9,94.5,X
Republic of Moldova,Total population with access to safe drinking-water (JMP),1,85.5,X
Romania,Total population with access to safe drinking-water (JMP),1,87.6,X
Russian Federation,Total population with access to safe drinking-water (JMP),9,95.2,X
Rwanda,Number of people undernourished (3-year average),1,3200.0,X
Rwanda,Prevalence of undernourishment (3-year average),5,38.5,X
Rwanda,Total population with access to safe drinking-water (JMP),8,67.7,X
Saint Kitts and Nevis,Total population with access to safe drinking-water (JMP),1,98.3,X
Saint Lucia,Total population with access to safe drinking-water (JMP),1,94.5,X
Saint Vincent and the Grenadines,Total population with access to safe drinking-water (JMP),3,94.5,X
Samoa,Prevalence of undernourishment (3-year average),1,3.5,X
Samoa,Total population with access to safe drinking-water (JMP),3,94.2,X
Sao Tome and Principe,Total population with access to safe drinking-water (JMP),2,81.8,X
Saudi Arabia,Total population with access to safe drinking-water (JMP),4,95.7,X
Senegal,Number of people undernourished (3-year average),1,2400.0,X
Senegal,Total population with access to safe drinking-water (JMP),5,68.9,X
Seychelles,Total population with access to safe drinking-water (JMP),1,95.7,X
Sierra Leone,Number of people undernourished (3-year average),1,2400.0,X
Sierra Leone,Prevalence of undernourishment (3-year average),5,50.7,X
Sierra Leone,Total population with access to safe drinking-water (JMP),7,49.2,X
Singapore,Total population with access to safe drinking-water (JMP),1,100.0,X
Slovakia,Number of people undernourished (3-year average),0,300.0,X
Slovakia,Total population with access to safe drinking-water (JMP),4,99.9,X
Slovenia,Total population with access to safe drinking-water (JMP),1,99.6,X
Solomon Islands,Total population with access to safe drinking-water (JMP),1,79.8,X
Somalia,Total population with access to safe drinking-water (JMP),1,25.3,X
South Africa,Number of people undernourished (3-year average),1,1800.0,X
South Africa,Total population with access to safe drinking-water (JMP),9,87.4,X
Spain,Total population with access to safe drinking-water (JMP),1,99.9,X
Sri Lanka,Number of people undernourished (3-year average),1,3200.0,X
Sri Lanka,Total population with access to safe drinking-water (JMP),5,82.0,X
Sri Lanka,Population affected by water related disease,11,120.0,I
Suriname,Total population with access to safe drinking-water (JMP),3,90.3,X
Sweden,Total population with access to safe drinking-water (JMP),1,100.0,X
Switzerland,Total population with access to safe drinking-water (JMP),1,100.0,X
Syrian Arab Republic,Total population with access to safe drinking-water (JMP),1,88.0,X
Tajikistan,Number of people undernourished (3-year average),1,2500.0,X
Tajikistan,Prevalence of undernourishment (3-year average),7,39.5,X
Tajikistan,Total population with access to safe drinking-water (JMP),13,61.5,X
Thailand,Number of people undernourished (3-year average),1,11000.0,X
Thailand,Total population with access to safe drinking-water (JMP),5,92.9,X
Thailand,Population affected by water related disease,11,960.0,I
The Bahamas,Total population with access to safe drinking-water (JMP),1,96.9,X
Timor-Leste,Number of people undernourished (3-year average),1,400.0,X
Timor-Leste,Total population with access to safe drinking-water (JMP),6,56.9,X
Togo,Number of people undernourished (3-year average),1,1600.0,X
Togo,Total population with access to safe drinking-water (JMP),7,54.8,X
Tokelau,Total population with access to safe drinking-water (JMP),1,94.4,X
Tonga,Total population with access to safe drinking-water (JMP),1,98.6,X
Trinidad and Tobago,Number of people undernourished (3-year average),1,100.0,X
Trinidad and Tobago,Total population with access to safe drinking-water (JMP),8,93.6,X
Tunisia,Number of people undernourished (3-year average),0,400.0,X
Tunisia,Prevalence of undernourishment (3-year average),5,4.4,X
Tunisia,Total population with access to safe drinking-water (JMP),11,91.1,X
Turkey,Total population with access to safe drinking-water (JMP),1,93.8,X
Turkmenistan,Number of people undernourished (3-year average),1,300.0,X
Turkmenistan,Total population with access to safe drinking-water (JMP),8,59.9,X
Tuvalu,Total population with access to safe drinking-water (JMP),1,94.8,X
Uganda,Number of people undernourished (3-year average),1,6800.0,X
Uganda,Prevalence of undernourishment (3-year average),7,27.4,X
Uganda,Total population with access to safe drinking-water (JMP),13,59.6,X
Ukraine,Prevalence of undernourishment (3-year average),4,3.0,X
Ukraine,Total population with access to safe drinking-water (JMP),10,97.4,X
United Arab Emirates,Number of people undernourished (3-year average),0,100.0,X
United Arab Emirates,Total population with access to safe drinking-water (JMP),7,99.7,X
United Kingdom,Total population with access to safe drinking-water (JMP),1,100.0,X
United Republic of Tanzania,Total population with access to safe drinking-water (JMP),3,54.4,X
United States of America,Total population with access to safe drinking-water (JMP),1,98.9,X
Uruguay,Number of people undernourished (3-year average),1,100.0,X
Uruguay,Total population with access to safe drinking-water (JMP),12,97.3,X
Uzbekistan,Number of people undernourished (3-year average),0,4500.0,X
Uzbekistan,Total population with access to safe drinking-water (JMP),9,88.4,X
Uzbekistan,Population affected by water related disease,15,271.8,I
Vanuatu,Total population with access to safe drinking-water (JMP),2,78.4,X
Venezuela,Number of people undernourished (3-year average),1,3700.0,X
Venezuela,Total population with access to safe drinking-water (JMP),7,91.5,X
Venezuela,Population affected by water related disease,13,22.06,I
Viet Nam,Total population with access to safe drinking-water (JMP),3,80.3,X
Yemen,Total population with access to safe drinking-water (JMP),3,58.5,X
Zambia,Number of people undernourished (3-year average),1,5300.0,X
Zambia,Prevalence of undernourishment (3-year average),7,49.0,X
Zambia,Total population with access to safe drinking-water (JMP),13,54.7,X
Zimbabwe,Number of people undernourished (3-year average),1,5000.0,X
Zimbabwe,Prevalence of undernourishment (3-year average),7,40.4,X
Zimbabwe,Total population with access to safe drinking-water (JMP),13,79.4,X
