Switzerland,Variable Name,Year,Value,Symbol
106,Seasonal variability (WRI),2017,0.8,I
107,Seasonal variability (WRI),2018,0.8,I
108,Flood occurrence (WRI),2017,3.2,I
109,Flood occurrence (WRI),2018,3.2,I
110,Surface water: entering the country (total),1962,13.1,OF
111,Surface water: entering the country (total),1967,13.1,OF
112,Surface water: entering the country (total),1972,13.1,OF
113,Surface water: entering the country (total),1977,13.1,OF
114,Surface water: entering the country (total),1982,13.1,OF
115,Surface water: entering the country (total),1987,13.1,OF
116,Surface water: entering the country (total),1992,13.1,OF
117,Surface water: entering the country (total),1997,13.1,OF
118,Surface water: entering the country (total),2002,13.1,OF
119,Surface water: entering the country (total),2007,13.1,OF
120,Surface water: entering the country (total),2012,13.1,OF
121,Surface water: entering the country (total),2017,13.1,OF
122,Surface water: leaving the country to other countries (total),1962,40.4,OF
123,Surface water: leaving the country to other countries (total),1967,40.4,OF
124,Surface water: leaving the country to other countries (total),1972,40.4,OF
125,Surface water: leaving the country to other countries (total),1977,40.4,OF
126,Surface water: leaving the country to other countries (total),1982,40.4,OF
127,Surface water: leaving the country to other countries (total),1987,40.4,OF
128,Surface water: leaving the country to other countries (total),1992,40.4,OF
129,Surface water: leaving the country to other countries (total),1997,40.4,OF
130,Surface water: leaving the country to other countries (total),2002,40.4,OF
131,Surface water: leaving the country to other countries (total),2007,40.4,OF
132,Surface water: leaving the country to other countries (total),2012,40.4,OF
133,Surface water: leaving the country to other countries (total),2017,40.4,OF
134,Groundwater: entering the country (total),1962,0.0,E
135,Groundwater: entering the country (total),1967,0.0,E
136,Groundwater: entering the country (total),1972,0.0,E
137,Groundwater: entering the country (total),1977,0.0,E
138,Groundwater: entering the country (total),1982,0.0,E
139,Groundwater: entering the country (total),1987,0.0,E
140,Groundwater: entering the country (total),1992,0.0,E
141,Groundwater: entering the country (total),1997,0.0,E
142,Groundwater: entering the country (total),2002,0.0,E
143,Groundwater: entering the country (total),2007,0.0,E
144,Groundwater: entering the country (total),2012,0.0,E
145,Groundwater: entering the country (total),2017,0.0,E
146,Groundwater: leaving the country to other countries (total),1962,0.0,OF
147,Groundwater: leaving the country to other countries (total),1967,0.0,OF
148,Groundwater: leaving the country to other countries (total),1972,0.0,OF
149,Groundwater: leaving the country to other countries (total),1977,0.0,OF
150,Groundwater: leaving the country to other countries (total),1982,0.0,OF
151,Groundwater: leaving the country to other countries (total),1987,0.0,OF
152,Groundwater: leaving the country to other countries (total),1992,0.0,OF
153,Groundwater: leaving the country to other countries (total),1997,0.0,OF
154,Groundwater: leaving the country to other countries (total),2002,0.0,OF
155,Groundwater: leaving the country to other countries (total),2007,0.0,OF
156,Groundwater: leaving the country to other countries (total),2012,0.0,OF
157,Groundwater: leaving the country to other countries (total),2017,0.0,OF
158,Dependency ratio,1962,24.4859813084,E
159,Dependency ratio,1967,24.4859813084,E
160,Dependency ratio,1972,24.4859813084,E
161,Dependency ratio,1977,24.4859813084,E
162,Dependency ratio,1982,24.4859813084,E
163,Dependency ratio,1987,24.4859813084,E
164,Dependency ratio,1992,24.4859813084,E
165,Dependency ratio,1997,24.4859813084,E
166,Dependency ratio,2002,24.4859813084,E
167,Dependency ratio,2007,24.4859813084,E
168,Dependency ratio,2012,24.4859813084,E
169,Dependency ratio,2017,24.4859813084,E
170,Dependency ratio,2018,24.4859813084,E
171,Total internal renewable water resources (IRWR),1962,40.4,E
172,Total internal renewable water resources (IRWR),1967,40.4,E
173,Total internal renewable water resources (IRWR),1972,40.4,E
174,Total internal renewable water resources (IRWR),1977,40.4,E
175,Total internal renewable water resources (IRWR),1982,40.4,E
176,Total internal renewable water resources (IRWR),1987,40.4,E
177,Total internal renewable water resources (IRWR),1992,40.4,E
178,Total internal renewable water resources (IRWR),1997,40.4,E
179,Total internal renewable water resources (IRWR),2002,40.4,E
180,Total internal renewable water resources (IRWR),2007,40.4,E
181,Total internal renewable water resources (IRWR),2012,40.4,E
182,Total internal renewable water resources (IRWR),2017,40.4,E
183,Total internal renewable water resources (IRWR),2018,40.4,E
184,Total internal renewable water resources per capita,1962,7362.7999634776,E
185,Total internal renewable water resources per capita,1967,6762.7003596451,E
186,Total internal renewable water resources per capita,1972,6462.6681733428,E
187,Total internal renewable water resources per capita,1977,6390.5697968068,E
188,Total internal renewable water resources per capita,1982,6390.9802387411,E
189,Total internal renewable water resources per capita,1987,6205.2681190373,E
190,Total internal renewable water resources per capita,1992,5947.3809883428,E
191,Total internal renewable water resources per capita,1997,5715.4918690054,E
192,Total internal renewable water resources per capita,2002,5595.2757037479,E
193,Total internal renewable water resources per capita,2007,5360.2357017703,E
194,Total internal renewable water resources per capita,2012,5044.9474850937,E
195,Total internal renewable water resources per capita,2017,4777.7834017912,E
196,Total internal renewable water resources per capita,2018,4738.6633051872,E
197,Total renewable surface water,1962,53.5,E
198,Total renewable surface water,1967,53.5,E
199,Total renewable surface water,1972,53.5,E
200,Total renewable surface water,1977,53.5,E
201,Total renewable surface water,1982,53.5,E
202,Total renewable surface water,1987,53.5,E
203,Total renewable surface water,1992,53.5,E
204,Total renewable surface water,1997,53.5,E
205,Total renewable surface water,2002,53.5,E
206,Total renewable surface water,2007,53.5,E
207,Total renewable surface water,2012,53.5,E
208,Total renewable surface water,2017,53.5,E
209,Total renewable surface water,2018,53.5,E
210,Total renewable groundwater,1962,2.5,E
211,Total renewable groundwater,1967,2.5,E
212,Total renewable groundwater,1972,2.5,E
213,Total renewable groundwater,1977,2.5,E
214,Total renewable groundwater,1982,2.5,E
215,Total renewable groundwater,1987,2.5,E
216,Total renewable groundwater,1992,2.5,E
217,Total renewable groundwater,1997,2.5,E
218,Total renewable groundwater,2002,2.5,E
219,Total renewable groundwater,2007,2.5,E
220,Total renewable groundwater,2012,2.5,E
221,Total renewable groundwater,2017,2.5,E
222,Total renewable groundwater,2018,2.5,E
223,Total exploitable water resources,1962,50.0,OF
224,Total exploitable water resources,1967,50.0,OF
225,Total exploitable water resources,1972,50.0,OF
226,Total exploitable water resources,1977,50.0,OF
227,Total exploitable water resources,1982,50.0,OF
228,Total exploitable water resources,1987,50.0,OF
229,Total exploitable water resources,1992,50.0,OF
230,Total exploitable water resources,1997,50.0,OF
231,Total exploitable water resources,2002,50.0,OF
232,Total exploitable water resources,2007,50.0,OF
233,Total exploitable water resources,2012,50.0,OF
234,Water resources: total external renewable,1962,13.1,E
235,Water resources: total external renewable,1967,13.1,E
236,Water resources: total external renewable,1972,13.1,E
237,Water resources: total external renewable,1977,13.1,E
238,Water resources: total external renewable,1982,13.1,E
239,Water resources: total external renewable,1987,13.1,E
240,Water resources: total external renewable,1992,13.1,E
241,Water resources: total external renewable,1997,13.1,E
242,Water resources: total external renewable,2002,13.1,E
243,Water resources: total external renewable,2007,13.1,E
244,Water resources: total external renewable,2012,13.1,E
245,Water resources: total external renewable,2017,13.1,E
246,Water resources: total external renewable,2018,13.1,E
247,Total renewable water resources,1962,53.5,E
248,Total renewable water resources,1967,53.5,E
249,Total renewable water resources,1972,53.5,E
250,Total renewable water resources,1977,53.5,E
251,Total renewable water resources,1982,53.5,E
252,Total renewable water resources,1987,53.5,E
253,Total renewable water resources,1992,53.5,E
254,Total renewable water resources,1997,53.5,E
255,Total renewable water resources,2002,53.5,E
256,Total renewable water resources,2007,53.5,E
257,Total renewable water resources,2012,53.5,E
258,Total renewable water resources,2017,53.5,E
259,Total renewable water resources,2018,53.5,E
260,Total renewable water resources per capita,1962,9750.2425258924,E
261,Total renewable water resources per capita,1967,8955.556169332,E
262,Total renewable water resources per capita,1972,8558.2363186594,E
263,Total renewable water resources per capita,1977,8462.7595081476,E
264,Total renewable water resources per capita,1982,8463.3030389269,E
265,Total renewable water resources per capita,1987,8217.3723853588,E
266,Total renewable water resources per capita,1992,7875.8634375332,E
267,Total renewable water resources per capita,1997,7568.7825493018,E
268,Total renewable water resources per capita,2002,7409.5853997651,E
269,Total renewable water resources per capita,2007,7098.3319317998,E
270,Total renewable water resources per capita,2012,6680.8091696166,E
271,Total renewable water resources per capita,2017,6327.0151484117,E
272,Total renewable water resources per capita,2018,6275.2100699879,E
273,Total agricultural water managed area,2007,55.0,E
274,Total agricultural water managed area,2012,58.0,I
275,Total agricultural water managed area,2017,52.0,I
276,Total agricultural water managed area,2018,52.0,I
277,Area equipped for irrigation: total,2007,55.0,E
278,Area equipped for irrigation: total,2012,58.0,I
279,Area equipped for irrigation: total,2017,52.0,I
280,Area equipped for irrigation: total,2018,52.0,I
281,% of agricultural GVA produced by irrigated agriculture,2012,16.0069314117,E
282,% of agricultural GVA produced by irrigated agriculture,2015,19.0131465416,E
284,Ratio between rainfed and irrigated yields,1966,1.778,I
285,Ratio between rainfed and irrigated yields,1971,1.778,I
286,Ratio between rainfed and irrigated yields,1976,1.778,I
287,Ratio between rainfed and irrigated yields,1981,1.778,I
288,Ratio between rainfed and irrigated yields,1986,1.778,I
289,Ratio between rainfed and irrigated yields,1991,1.778,I
290,Ratio between rainfed and irrigated yields,1996,1.778,I
291,Ratio between rainfed and irrigated yields,2001,1.778,I
292,Ratio between rainfed and irrigated yields,2007,1.778,I
293,Ratio between rainfed and irrigated yields,2011,1.778,I
294,Ratio between rainfed and irrigated yields,2017,1.778,I
295,Ratio between rainfed and irrigated yields,2018,1.778,I
296,Agricultural water withdrawal as % of total renewable water resources,2002,0.1277570093,I
297,Agricultural water withdrawal as % of total renewable water resources,2007,0.2135046729,I
298,Agricultural water withdrawal as % of total renewable water resources,2012,0.2992523364,E
299,Agricultural water withdrawal as % of total renewable water resources,2017,0.2992523364,I
300,Agricultural water withdrawal as % of total renewable water resources,2018,0.2992523364,I
301,Agricultural water withdrawal,2002,0.06835,I
302,Agricultural water withdrawal,2007,0.114225,I
303,Agricultural water withdrawal,2011,0.150925,I
304,Agricultural water withdrawal,2017,0.1601,I
305,Agricultural water withdrawal,2018,0.1601,I
306,Irrigation water requirement,2012,0.041,I
307,Irrigation water requirement,2017,0.041,I
308,Irrigation water requirement,2018,0.041,I
310,Irrigation water withdrawal,2017,0.1356,I
311,Irrigation water withdrawal,2018,0.1356,I
312,Municipal water withdrawal,1972,1.1356,I
313,Municipal water withdrawal,1977,1.1186,I
314,Municipal water withdrawal,1982,1.119,I
315,Municipal water withdrawal,1987,1.157,I
316,Municipal water withdrawal,1992,1.192,X
317,Municipal water withdrawal,1997,1.056,X
318,Municipal water withdrawal,2002,1.069,X
319,Municipal water withdrawal,2007,1.0178333333,I
320,Municipal water withdrawal,2012,1.202,X
321,Municipal water withdrawal,2017,0.931,OF
322,Industrial water withdrawal,2012,0.6427,X
323,Industrial water withdrawal,2017,0.6427,I
324,Industrial water withdrawal,2018,0.6427,I
325,Total water withdrawal,1977,2.5944,I
326,Total water withdrawal,1982,2.6118,I
327,Total water withdrawal,1987,2.66,I
328,Total water withdrawal,1992,2.695,X
329,Total water withdrawal,1997,2.559,X
330,Total water withdrawal,2002,2.518,X
331,Total water withdrawal,2007,2.2614,I
332,Total water withdrawal,2012,2.0048,E
333,Total water withdrawal,2017,1.7338,E
334,Total water withdrawal,2018,1.7678,E
335,Fresh surface water withdrawal,1977,1.6556,I
336,Fresh surface water withdrawal,1982,1.6774,I
337,Fresh surface water withdrawal,1987,1.6992857143,I
338,Fresh surface water withdrawal,1992,1.715,X
339,Fresh surface water withdrawal,1997,1.678,X
340,Fresh surface water withdrawal,2002,1.6516961808,I
341,Fresh surface water withdrawal,2007,1.3255980904,I
342,Fresh surface water withdrawal,2012,0.9995,X
343,Fresh groundwater withdrawal,1977,0.9388,I
344,Fresh groundwater withdrawal,1982,0.9344,I
345,Fresh groundwater withdrawal,1987,0.9607142857,I
346,Fresh groundwater withdrawal,1992,0.98,X
347,Fresh groundwater withdrawal,1997,0.8801,X
348,Fresh groundwater withdrawal,2002,0.8663038192,I
349,Fresh groundwater withdrawal,2007,0.9356519096,I
350,Fresh groundwater withdrawal,2012,1.005,X
351,Total freshwater withdrawal,1977,2.5944,I
352,Total freshwater withdrawal,1982,2.6118,I
353,Total freshwater withdrawal,1987,2.66,I
354,Total freshwater withdrawal,1992,2.695,E
355,Total freshwater withdrawal,1997,2.5581,E
356,Total freshwater withdrawal,2002,2.518,E
357,Desalinated water produced,2017,0.0,OF
358,Produced municipal wastewater,2002,1.2936363636,I
359,Produced municipal wastewater,2007,1.3577272727,I
360,Produced municipal wastewater,2012,1.409,I
361,Produced municipal wastewater,2017,1.409,I
362,Produced municipal wastewater,2018,1.409,I
363,Collected municipal wastewater,2012,1.409,I
364,Collected municipal wastewater,2017,1.409,I
365,Collected municipal wastewater,2018,1.409,I
366,Not treated municipal wastewater,2012,0.325,I
367,Not treated municipal wastewater,2017,0.325,I
368,Not treated municipal wastewater,2018,0.325,I
369,Treated municipal wastewater,2012,1.084,I
370,Treated municipal wastewater,2017,1.084,I
371,Treated municipal wastewater,2018,1.084,I
384,SDG 6.4.2. Water Stress,1977,9.8947368421,E
385,SDG 6.4.2. Water Stress,1982,9.9610983982,E
386,SDG 6.4.2. Water Stress,1987,10.1449275362,E
387,SDG 6.4.2. Water Stress,1992,10.2784134249,E
388,SDG 6.4.2. Water Stress,1997,9.7562929062,E
389,SDG 6.4.2. Water Stress,2002,9.6033562166,E
390,SDG 6.4.2. Water Stress,2007,8.6241418764,E
391,SDG 6.4.2. Water Stress,2011,7.8407704043,E
392,SDG 6.4.2. Water Stress,2014,6.4988558352,E
393,SDG 6.4.1. Water Use Efficiency,2015,377.0451880296,I
394,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,5.2469542899,E
395,SDG 6.4.1. Industrial Water Use Efficiency,2015,247.1759763498,E
396,SDG 6.4.1. Services Water Use Efficiency,2015,530.3054662379,E
397,Area salinized by irrigation,2018,0.0,I
398,Harvested irrigated temporary crop area: Maize,2012,2.027,I
399,Harvested irrigated temporary crop area: Maize,2017,2.027,I
400,Harvested irrigated temporary crop area: Maize,2018,2.027,I
401,Harvested irrigated temporary crop area: Other cereals,2012,2.425,I
402,Harvested irrigated temporary crop area: Other cereals,2017,2.425,I
403,Harvested irrigated temporary crop area: Other cereals,2018,2.425,I
404,Harvested irrigated temporary crop area: Potatoes,2012,3.652,I
405,Harvested irrigated temporary crop area: Potatoes,2017,3.652,I
406,Harvested irrigated temporary crop area: Potatoes,2018,3.652,I
407,Harvested irrigated temporary crop area: Sugar beet,2012,0.676,I
408,Harvested irrigated temporary crop area: Sugar beet,2017,0.676,I
409,Harvested irrigated temporary crop area: Sugar beet,2018,0.676,I
410,Harvested irrigated temporary crop area: Vegetables,2012,7.327,I
411,Harvested irrigated temporary crop area: Vegetables,2017,7.327,I
412,Harvested irrigated temporary crop area: Vegetables,2018,7.327,I
413,Harvested irrigated temporary crop area: Other crops,2012,0.438,I
414,Harvested irrigated temporary crop area: Other crops,2017,0.438,I
415,Harvested irrigated temporary crop area: Other crops,2018,0.438,I
