Bosnia and Herzegovina,Variable Name,Year,Value,Symbol
120,Total internal renewable water resources per capita,2002,9443.0288767823,E
121,Total internal renewable water resources per capita,2007,9434.4987995597,E
122,Total internal renewable water resources per capita,2012,9847.510604798,E
123,Total internal renewable water resources per capita,2017,10592.1931061233,E
124,Total internal renewable water resources per capita,2018,10680.1447084396,E
125,Total renewable surface water,1992,36.34,E
126,Total renewable surface water,1997,36.34,E
127,Total renewable surface water,2002,36.34,E
128,Total renewable surface water,2007,36.34,E
129,Total renewable surface water,2012,36.34,E
130,Total renewable surface water,2017,36.34,E
131,Total renewable surface water,2018,36.34,E
132,Total renewable groundwater,1992,11.57,E
133,Total renewable groundwater,1997,11.57,E
134,Total renewable groundwater,2002,11.57,E
135,Total renewable groundwater,2007,11.57,E
136,Total renewable groundwater,2012,11.57,E
137,Total renewable groundwater,2017,11.57,E
138,Total renewable groundwater,2018,11.57,E
139,Water resources: total external renewable,1992,2.0,E
140,Water resources: total external renewable,1997,2.0,E
141,Water resources: total external renewable,2002,2.0,E
142,Water resources: total external renewable,2007,2.0,E
143,Water resources: total external renewable,2012,2.0,E
144,Water resources: total external renewable,2017,2.0,E
145,Water resources: total external renewable,2018,2.0,E
146,Total renewable water resources,1992,37.5,E
147,Total renewable water resources,1997,37.5,E
148,Total renewable water resources,2002,37.5,E
149,Total renewable water resources,2007,37.5,E
150,Total renewable water resources,2012,37.5,E
151,Total renewable water resources,2017,37.5,E
152,Total renewable water resources,2018,37.5,E
153,Total renewable water resources per capita,1992,8857.5507431367,E
154,Total renewable water resources per capita,1997,10037.2851686398,E
155,Total renewable water resources per capita,2002,9975.0305036433,E
156,Total renewable water resources per capita,2007,9966.0198586898,E
157,Total renewable water resources per capita,2012,10402.2999346458,E
158,Total renewable water resources per capita,2017,11188.9363797077,E
159,Total renewable water resources per capita,2018,11281.8430018728,E
160,Total agricultural water managed area,1997,2.4,I
161,Total agricultural water managed area,2002,3.0,I
162,Total agricultural water managed area,2007,3.0,I
163,Total agricultural water managed area,2012,3.0,I
164,Total agricultural water managed area,2017,3.0,I
165,Total agricultural water managed area,2018,3.0,I
166,Area equipped for irrigation: total,1997,2.4,I
167,Area equipped for irrigation: total,2002,3.0,I
168,Area equipped for irrigation: total,2007,3.0,I
169,Area equipped for irrigation: total,2012,3.0,I
170,Area equipped for irrigation: total,2017,3.0,I
171,Area equipped for irrigation: total,2018,3.0,I
172,% of agricultural GVA produced by irrigated agriculture,2002,0.0005333988,E
173,% of agricultural GVA produced by irrigated agriculture,2007,0.0005333988,E
174,% of agricultural GVA produced by irrigated agriculture,2012,0.0005333988,E
175,% of agricultural GVA produced by irrigated agriculture,2017,0.0005333988,E
176,% of agricultural GVA produced by irrigated agriculture,2018,0.0005333988,E
178,Ratio between rainfed and irrigated yields,1996,1.778,I
179,Ratio between rainfed and irrigated yields,2001,1.778,I
180,Ratio between rainfed and irrigated yields,2007,1.778,I
181,Ratio between rainfed and irrigated yields,2011,1.778,I
182,Ratio between rainfed and irrigated yields,2017,1.778,I
183,Ratio between rainfed and irrigated yields,2018,1.778,I
184,Municipal water withdrawal,2002,0.3556,OF
185,Municipal water withdrawal,2007,0.3504,OF
186,Municipal water withdrawal,2012,0.3593,OF
187,Municipal water withdrawal,2017,0.3608,OF
188,Municipal water withdrawal,2018,0.3608,I
189,Industrial water withdrawal,2002,0.0199,OF
190,Industrial water withdrawal,2007,0.0392,OF
191,Industrial water withdrawal,2012,0.0721,OF
192,Industrial water withdrawal,2017,0.0718,OF
193,Industrial water withdrawal,2018,0.0718,I
194,Fresh surface water withdrawal,2002,0.0591,OF
195,Fresh surface water withdrawal,2007,0.0622,OF
196,Fresh surface water withdrawal,2012,0.1332,OF
197,Fresh surface water withdrawal,2017,0.1072,OF
198,Fresh surface water withdrawal,2018,0.1072,I
199,Fresh groundwater withdrawal,2002,0.3164,OF
200,Fresh groundwater withdrawal,2007,0.3274,OF
201,Fresh groundwater withdrawal,2012,0.3045,OF
202,Fresh groundwater withdrawal,2017,0.2937,OF
203,Fresh groundwater withdrawal,2018,0.2937,I
204,Total freshwater withdrawal,2002,0.3755,OF
205,Total freshwater withdrawal,2007,0.3896,OF
206,Total freshwater withdrawal,2012,0.4377,OF
207,Total freshwater withdrawal,2017,0.4009,OF
208,Total freshwater withdrawal,2018,0.4009,I
210,Produced municipal wastewater,2012,0.0656,OF
211,Produced municipal wastewater,2017,0.0901,OF
212,Produced municipal wastewater,2018,0.0844,OF
213,Collected municipal wastewater,2017,0.104,I
214,Collected municipal wastewater,2018,0.104,I
215,Not treated municipal wastewater,2007,0.065,OF
216,Not treated municipal wastewater,2012,0.0626,OF
217,Not treated municipal wastewater,2017,0.0609,I
218,Not treated municipal wastewater,2018,0.0609,I
219,Treated municipal wastewater,2007,0.003,OF
220,Treated municipal wastewater,2012,0.003,OF
221,Treated municipal wastewater,2017,0.0484,OF
222,Treated municipal wastewater,2018,0.0541,OF
223,Treated municipal wastewater discharged (secondary water),2007,0.0029,OF
224,Treated municipal wastewater discharged (secondary water),2012,0.003,OF
225,Treated municipal wastewater discharged (secondary water),2017,0.0029,I
226,Treated municipal wastewater discharged (secondary water),2018,0.0029,I
227,Not treated municipal wastewater discharged (secondary water),2007,0.0651,OF
228,Not treated municipal wastewater discharged (secondary water),2012,0.0626,OF
229,Not treated municipal wastewater discharged (secondary water),2017,0.0609,I
230,Not treated municipal wastewater discharged (secondary water),2018,0.0609,I
237,SDG 6.4.2. Water Stress,2002,2.4933598938,E
238,SDG 6.4.2. Water Stress,2007,2.5869853918,E
239,SDG 6.4.2. Water Stress,2012,2.906374502,E
240,SDG 6.4.2. Water Stress,2017,2.6620185923,E
241,SDG 6.4.2. Water Stress,2018,2.6620185923,E
242,SDG 6.4.1. Industrial Water Use Efficiency,2015,47.585628197,E
243,SDG 6.4.1. Services Water Use Efficiency,2015,28.8507920465,E
