Uzbekistan,Variable Name,Year,Value,Symbol
244,Environmental Flow Requirements,2017,14.0,X
245,SDG 6.4.2. Water Stress,1997,153.631037732,E
246,SDG 6.4.2. Water Stress,2002,150.8316604531,E
247,SDG 6.4.2. Water Stress,2007,141.8092597903,E
248,SDG 6.4.2. Water Stress,2012,143.8804448268,E
249,SDG 6.4.2. Water Stress,2017,168.9131058216,E
250,SDG 6.4.2. Water Stress,2018,168.9245770003,E
251,SDG 6.4.1. Water Use Efficiency,1997,0.3943143345,I
252,SDG 6.4.1. Water Use Efficiency,2002,0.4724070464,I
253,SDG 6.4.1. Water Use Efficiency,2007,0.698046978,I
254,SDG 6.4.1. Water Use Efficiency,2012,1.0639287288,I
255,SDG 6.4.1. Water Use Efficiency,2013,1.1703325331,I
256,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.1917788328,E
257,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.2482566631,E
258,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.2910322775,E
259,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.3786803757,E
260,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2013,0.3955489994,E
261,SDG 6.4.1. Industrial Water Use Efficiency,1997,2.8664532392,E
262,SDG 6.4.1. Industrial Water Use Efficiency,2002,1.9622309829,E
263,SDG 6.4.1. Industrial Water Use Efficiency,2007,5.015712994,E
264,SDG 6.4.1. Industrial Water Use Efficiency,2012,6.8763520734,E
265,SDG 6.4.1. Industrial Water Use Efficiency,2017,9.7865766007,E
266,SDG 6.4.1. Services Water Use Efficiency,1997,2.7638108588,E
267,SDG 6.4.1. Services Water Use Efficiency,2002,2.9219612785,E
268,SDG 6.4.1. Services Water Use Efficiency,2007,4.271450934,E
269,SDG 6.4.1. Services Water Use Efficiency,2012,9.053160627,E
270,SDG 6.4.1. Services Water Use Efficiency,2017,13.8394522807,E
271,Area salinized by irrigation,1997,2126.6,I
272,Area salinized by irrigation,2002,2102.6,I
273,Area salinized by irrigation,2007,2078.6,I
274,Area salinized by irrigation,2012,2054.6,I
275,Area salinized by irrigation,2017,1175.0,OF
276,Area salinized by irrigation,2018,1175.0,I
277,Harvested irrigated temporary crop area: Wheat,1997,736.8,I
278,Harvested irrigated temporary crop area: Wheat,2002,1085.675,I
279,Harvested irrigated temporary crop area: Wheat,2007,1295.0,I
280,Harvested irrigated temporary crop area: Wheat,2012,1295.0,I
281,Harvested irrigated temporary crop area: Wheat,2017,1295.0,I
282,Harvested irrigated temporary crop area: Wheat,2018,1295.0,I
283,Harvested irrigated temporary crop area: Rice,1997,109.9333333333,I
284,Harvested irrigated temporary crop area: Rice,2002,73.725,I
285,Harvested irrigated temporary crop area: Rice,2007,52.0,I
286,Harvested irrigated temporary crop area: Rice,2012,52.0,I
287,Harvested irrigated temporary crop area: Rice,2017,52.0,I
288,Harvested irrigated temporary crop area: Rice,2018,52.0,I
289,Harvested irrigated temporary crop area: Maize,1997,75.8,I
290,Harvested irrigated temporary crop area: Maize,2002,75.8,I
291,Harvested irrigated temporary crop area: Maize,2007,75.8,I
292,Harvested irrigated temporary crop area: Maize,2012,75.8,I
293,Harvested irrigated temporary crop area: Maize,2017,75.8,I
294,Harvested irrigated temporary crop area: Maize,2018,75.8,I
295,Harvested irrigated temporary crop area: Other cereals,1997,40.5,I
296,Harvested irrigated temporary crop area: Other cereals,2002,40.5,I
297,Harvested irrigated temporary crop area: Other cereals,2007,40.5,I
298,Harvested irrigated temporary crop area: Other cereals,2012,40.5,I
299,Harvested irrigated temporary crop area: Other cereals,2017,40.5,I
300,Harvested irrigated temporary crop area: Other cereals,2018,40.5,I
301,Harvested irrigated temporary crop area: Other roots and tubers,1997,26.1,I
302,Harvested irrigated temporary crop area: Other roots and tubers,2002,26.1,I
303,Harvested irrigated temporary crop area: Other roots and tubers,2007,26.1,I
304,Harvested irrigated temporary crop area: Other roots and tubers,2012,26.1,I
305,Harvested irrigated temporary crop area: Other roots and tubers,2017,26.1,I
306,Harvested irrigated temporary crop area: Other roots and tubers,2018,26.1,I
307,Harvested irrigated temporary crop area: Vegetables,1997,207.5,I
308,Harvested irrigated temporary crop area: Vegetables,2002,207.5,I
309,Harvested irrigated temporary crop area: Vegetables,2007,207.5,I
310,Harvested irrigated temporary crop area: Vegetables,2012,207.5,I
311,Harvested irrigated temporary crop area: Vegetables,2017,207.5,I
312,Harvested irrigated temporary crop area: Vegetables,2018,207.5,I
313,Harvested irrigated temporary crop area: Cotton,1997,1598.0,I
314,Harvested irrigated temporary crop area: Cotton,2002,1478.0,I
315,Harvested irrigated temporary crop area: Cotton,2007,1406.0,I
316,Harvested irrigated temporary crop area: Cotton,2012,1406.0,I
317,Harvested irrigated temporary crop area: Cotton,2017,1406.0,I
318,Harvested irrigated temporary crop area: Cotton,2018,1406.0,I
319,Harvested irrigated temporary crop area: Fodder,1997,487.1333333333,I
320,Harvested irrigated temporary crop area: Fodder,2002,370.175,I
321,Harvested irrigated temporary crop area: Fodder,2007,300.0,I
322,Harvested irrigated temporary crop area: Fodder,2012,300.0,I
323,Harvested irrigated temporary crop area: Fodder,2017,300.0,I
324,Harvested irrigated temporary crop area: Fodder,2018,300.0,I
325,Harvested irrigated permanent crop area: Oil palm,1997,11.2,I
326,Harvested irrigated permanent crop area: Oil palm,2002,11.2,I
327,Harvested irrigated permanent crop area: Oil palm,2007,11.2,I
328,Harvested irrigated permanent crop area: Oil palm,2012,11.2,I
329,Harvested irrigated permanent crop area: Oil palm,2017,11.2,I
330,Harvested irrigated permanent crop area: Oil palm,2018,11.2,I
331,Harvested irrigated temporary crop area: Other crops,1997,97.2666666667,I
332,Harvested irrigated temporary crop area: Other crops,2002,190.85,I
333,Harvested irrigated temporary crop area: Other crops,2007,247.0,I
334,Harvested irrigated temporary crop area: Other crops,2012,247.0,I
335,Harvested irrigated temporary crop area: Other crops,2017,247.0,I
336,Harvested irrigated temporary crop area: Other crops,2018,247.0,I
337,Harvested irrigated permanent crop area: Other crops,1997,511.2666666667,I
338,Harvested irrigated permanent crop area: Other crops,2002,316.725,I
339,Harvested irrigated permanent crop area: Other crops,2007,200.0,I
340,Harvested irrigated permanent crop area: Other crops,2012,200.0,I
341,Harvested irrigated permanent crop area: Other crops,2017,200.0,I
342,Harvested irrigated permanent crop area: Other crops,2018,200.0,I
