Poland,Variable Name,Year,Value,Symbol
228,Total renewable groundwater,2017,12.5,E
229,Total renewable groundwater,2018,12.5,E
230,Total exploitable water resources,1962,33.0,OF
231,Total exploitable water resources,1967,33.0,OF
232,Total exploitable water resources,1972,33.0,OF
233,Total exploitable water resources,1977,33.0,OF
234,Total exploitable water resources,1982,33.0,OF
235,Total exploitable water resources,1987,33.0,OF
236,Total exploitable water resources,1992,33.0,OF
237,Total exploitable water resources,1997,33.0,OF
238,Total exploitable water resources,2002,33.0,OF
239,Total exploitable water resources,2007,33.0,OF
240,Total exploitable water resources,2012,33.0,OF
241,Water resources: total external renewable,1962,6.9,E
242,Water resources: total external renewable,1967,6.9,E
243,Water resources: total external renewable,1972,6.9,E
244,Water resources: total external renewable,1977,6.9,E
245,Water resources: total external renewable,1982,6.9,E
246,Water resources: total external renewable,1987,6.9,E
247,Water resources: total external renewable,1992,6.9,E
248,Water resources: total external renewable,1997,6.9,E
249,Water resources: total external renewable,2002,6.9,E
250,Water resources: total external renewable,2007,6.9,E
251,Water resources: total external renewable,2012,6.9,E
252,Water resources: total external renewable,2017,6.9,E
253,Water resources: total external renewable,2018,6.9,E
254,Total renewable water resources,1962,60.5,E
255,Total renewable water resources,1967,60.5,E
256,Total renewable water resources,1972,60.5,E
257,Total renewable water resources,1977,60.5,E
258,Total renewable water resources,1982,60.5,E
259,Total renewable water resources,1987,60.5,E
260,Total renewable water resources,1992,60.5,E
261,Total renewable water resources,1997,60.5,E
262,Total renewable water resources,2002,60.5,E
263,Total renewable water resources,2007,60.5,E
264,Total renewable water resources,2012,60.5,E
265,Total renewable water resources,2017,60.5,E
266,Total renewable water resources,2018,60.5,E
267,Total renewable water resources per capita,1962,1990.829220516,E
268,Total renewable water resources per capita,1967,1896.4513132831,E
269,Total renewable water resources per capita,1972,1825.1989195305,E
270,Total renewable water resources per capita,1977,1750.0102541923,E
271,Total renewable water resources per capita,1982,1670.2767651361,E
272,Total renewable water resources per capita,1987,1611.4283671748,E
273,Total renewable water resources per capita,1992,1583.8696826582,E
274,Total renewable water resources per capita,1997,1569.6004557393,E
275,Total renewable water resources per capita,2002,1571.8920958692,E
276,Total renewable water resources per capita,2007,1577.4376665728,E
277,Total renewable water resources per capita,2012,1582.6491841744,E
278,Total renewable water resources per capita,2017,1594.0693243623,E
279,Total renewable water resources per capita,2018,1595.3971552671,E
280,Total agricultural water managed area,1967,230.7444444444,E
281,Total agricultural water managed area,1972,341.9666666667,E
282,Total agricultural water managed area,1977,381.02,I
283,Total agricultural water managed area,1982,339.5,I
284,Total agricultural water managed area,1987,324.3,I
285,Total agricultural water managed area,1992,261.34,I
286,Total agricultural water managed area,1997,145.25,E
287,Total agricultural water managed area,2002,93.86,I
288,Total agricultural water managed area,2007,115.7,E
289,Total agricultural water managed area,2012,78.94,I
290,Total agricultural water managed area,2013,75.81,E
291,Area equipped for irrigation: total,1967,230.7444444444,I
292,Area equipped for irrigation: total,1972,341.9666666667,I
293,Area equipped for irrigation: total,1977,381.02,I
294,Area equipped for irrigation: total,1982,339.5,I
295,Area equipped for irrigation: total,1987,324.3,I
296,Area equipped for irrigation: total,1992,261.34,I
297,Area equipped for irrigation: total,1997,145.25,I
298,Area equipped for irrigation: total,2002,93.86,I
299,Area equipped for irrigation: total,2007,115.7,E
300,Area equipped for irrigation: total,2012,78.94,I
301,% of agricultural GVA produced by irrigated agriculture,2007,1.0455526738,E
302,% of agricultural GVA produced by irrigated agriculture,2012,1.1259510876,E
303,% of agricultural GVA produced by irrigated agriculture,2017,1.0845250002,E
304,% of agricultural GVA produced by irrigated agriculture,2018,1.1221052432,E
306,Ratio between rainfed and irrigated yields,1966,1.778,I
307,Ratio between rainfed and irrigated yields,1971,1.778,I
308,Ratio between rainfed and irrigated yields,1976,1.778,I
309,Ratio between rainfed and irrigated yields,1981,1.778,I
310,Ratio between rainfed and irrigated yields,1986,1.778,I
311,Ratio between rainfed and irrigated yields,1991,1.778,I
312,Ratio between rainfed and irrigated yields,1996,1.778,I
313,Ratio between rainfed and irrigated yields,2001,1.778,I
314,Ratio between rainfed and irrigated yields,2007,1.778,I
315,Ratio between rainfed and irrigated yields,2011,1.778,I
316,Ratio between rainfed and irrigated yields,2017,1.778,I
317,Ratio between rainfed and irrigated yields,2018,1.778,I
318,Agricultural water withdrawal as % of total renewable water resources,1972,2.7659504132,I
319,Agricultural water withdrawal as % of total renewable water resources,1977,2.5229752066,I
320,Agricultural water withdrawal as % of total renewable water resources,1982,2.3738842975,I
321,Agricultural water withdrawal as % of total renewable water resources,1987,2.7127272727,I
322,Agricultural water withdrawal as % of total renewable water resources,1992,2.2644628099,E
323,Agricultural water withdrawal as % of total renewable water resources,1997,1.7900826446,E
324,Agricultural water withdrawal as % of total renewable water resources,2002,1.8314049587,E
325,Agricultural water withdrawal as % of total renewable water resources,2007,1.8545454545,E
326,Agricultural water withdrawal as % of total renewable water resources,2012,1.8214876033,E
327,Agricultural water withdrawal as % of total renewable water resources,2017,1.6826446281,E
328,Agricultural water withdrawal as % of total renewable water resources,2018,2.2958677686,E
329,Agricultural water withdrawal,1972,1.6734,I
330,Agricultural water withdrawal,1977,1.5264,I
331,Agricultural water withdrawal,1982,1.4362,I
332,Agricultural water withdrawal,1987,1.6412,I
333,Agricultural water withdrawal,1991,1.532,I
334,Agricultural water withdrawal,1996,1.13,I
335,Agricultural water withdrawal,2001,1.033,X
336,Agricultural water withdrawal,2006,1.093,X
337,Agricultural water withdrawal,2011,1.111,X
338,Agricultural water withdrawal,2017,1.018,OF
339,Irrigation water requirement,2012,0.0314,I
340,Irrigation water requirement,2017,0.0314,I
341,Irrigation water requirement,2018,0.0314,I
342,Irrigation water withdrawal,1977,0.611,I
343,Irrigation water withdrawal,1982,0.38316,I
344,Irrigation water withdrawal,1987,0.49948,I
345,Irrigation water withdrawal,1991,0.38285,I
346,Irrigation water withdrawal,1996,0.148,I
347,Irrigation water withdrawal,2001,0.0833,X
348,Irrigation water withdrawal,2006,0.0896,X
349,Irrigation water withdrawal,2011,0.0849666667,I
350,Irrigation water withdrawal,2017,0.081,OF
352,Municipal water withdrawal,1996,2.4016,I
353,Municipal water withdrawal,2002,2.2065454545,I
354,Municipal water withdrawal,2007,2.1210909091,I
355,Municipal water withdrawal,2012,2.031,X
356,Municipal water withdrawal,2017,2.028,OF
357,Industrial water withdrawal,1992,9.18,X
358,Industrial water withdrawal,1997,9.425,X
359,Industrial water withdrawal,2002,8.7426923077,I
360,Industrial water withdrawal,2007,8.0603846154,I
361,Industrial water withdrawal,2012,7.648,I
362,Industrial water withdrawal,2017,7.035,OF
363,Total water withdrawal,1972,11.478,I
364,Total water withdrawal,1977,14.17,I
365,Total water withdrawal,1982,15.642,I
366,Total water withdrawal,1987,15.5471428571,I
367,Total water withdrawal,1992,13.39,E
368,Total water withdrawal,1997,12.8,E
369,Total water withdrawal,2002,11.73,X
370,Total water withdrawal,2007,12.03,X
371,Total water withdrawal,2012,11.48,X
372,Total water withdrawal,2017,10.081,E
373,Fresh surface water withdrawal,1972,9.4052,I
374,Fresh surface water withdrawal,1977,11.18,I
375,Fresh surface water withdrawal,1982,12.372,I
376,Fresh surface water withdrawal,1987,12.62,I
377,Fresh surface water withdrawal,1991,11.14,I
378,Fresh surface water withdrawal,1996,9.9844,I
379,Fresh surface water withdrawal,2001,9.2242,I
380,Fresh surface water withdrawal,2006,9.2882,I
381,Fresh surface water withdrawal,2011,9.178,X
382,Fresh surface water withdrawal,2017,8.407,OF
383,Fresh groundwater withdrawal,1972,2.0754,I
384,Fresh groundwater withdrawal,1977,2.9916,I
385,Fresh groundwater withdrawal,1982,3.2718,I
386,Fresh groundwater withdrawal,1987,3.2946,I
387,Fresh groundwater withdrawal,1992,3.03,X
388,Fresh groundwater withdrawal,1997,2.9,X
389,Fresh groundwater withdrawal,2002,2.662,X
390,Fresh groundwater withdrawal,2007,2.671,X
391,Fresh groundwater withdrawal,2012,2.644,X
392,Fresh groundwater withdrawal,2017,1.673,OF
393,Total freshwater withdrawal,1972,11.4806,I
394,Total freshwater withdrawal,1977,14.1716,I
395,Total freshwater withdrawal,1982,15.6438,I
396,Total freshwater withdrawal,1987,15.9146,I
397,Total freshwater withdrawal,1992,13.38,E
398,Total freshwater withdrawal,1997,12.793,E
399,Total freshwater withdrawal,2002,11.719,E
400,Total freshwater withdrawal,2006,11.9574,E
401,Total freshwater withdrawal,2011,11.91,X
402,Total freshwater withdrawal,2017,10.08,OF
403,Desalinated water produced,1992,0.007,I
404,Desalinated water produced,1997,0.007,E
405,Desalinated water produced,2002,0.007,I
406,Desalinated water produced,2007,0.007,E
407,Desalinated water produced,2012,0.007,I
408,Desalinated water produced,2017,0.007,I
409,Desalinated water produced,2018,0.007,I
410,Direct use of treated municipal wastewater,2002,0.003,I
411,Direct use of treated municipal wastewater,2007,0.003,I
412,Direct use of treated municipal wastewater,2012,0.003,I
413,Direct use of treated municipal wastewater,2017,0.003,I
414,Direct use of treated municipal wastewater,2018,0.003,I
417,Produced municipal wastewater,2012,2.199,OF
418,Produced municipal wastewater,2017,2.168,I
419,Produced municipal wastewater,2018,2.168,I
420,Collected municipal wastewater,2012,2.089,I
421,Collected municipal wastewater,2017,2.089,I
422,Collected municipal wastewater,2018,2.089,I
423,Not treated municipal wastewater,2012,0.915,I
424,Not treated municipal wastewater,2017,0.915,I
425,Not treated municipal wastewater,2018,0.915,I
426,Treated municipal wastewater,2012,1.3163333333,I
427,Treated municipal wastewater,2017,1.316,OF
440,SDG 6.4.2. Water Stress,1972,39.7390100381,E
441,SDG 6.4.2. Water Stress,1977,49.0536517826,E
442,SDG 6.4.2. Water Stress,1982,54.1495327103,E
443,SDG 6.4.2. Water Stress,1987,55.0868812738,E
444,SDG 6.4.2. Water Stress,1992,46.3136033229,E
445,SDG 6.4.2. Water Stress,1997,44.2817583939,E
446,SDG 6.4.2. Water Stress,2002,40.5642090689,E
447,SDG 6.4.2. Water Stress,2007,41.6060920734,E
448,SDG 6.4.2. Water Stress,2012,39.7023191416,E
449,SDG 6.4.2. Water Stress,2017,34.8909657321,E
450,SDG 6.4.2. Water Stress,2018,33.2225683628,E
451,SDG 6.4.1. Water Use Efficiency,2015,39.2010359171,E
452,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.1164115291,E
453,SDG 6.4.1. Industrial Water Use Efficiency,2015,16.585689401,E
454,SDG 6.4.1. Services Water Use Efficiency,2015,140.5439453125,E
455,Harvested irrigated temporary crop area: Wheat,2007,0.0,I
456,Harvested irrigated temporary crop area: Wheat,2012,0.0,I
457,Harvested irrigated temporary crop area: Wheat,2017,0.0,I
458,Harvested irrigated temporary crop area: Wheat,2018,0.0,I
459,Harvested irrigated temporary crop area: Maize,2007,4.0,E
460,Harvested irrigated temporary crop area: Maize,2012,4.0,I
461,Harvested irrigated temporary crop area: Maize,2017,4.0,I
462,Harvested irrigated temporary crop area: Maize,2018,4.0,I
463,Harvested irrigated temporary crop area: Potatoes,2007,13.8,E
464,Harvested irrigated temporary crop area: Potatoes,2012,13.8,I
465,Harvested irrigated temporary crop area: Potatoes,2017,13.8,I
466,Harvested irrigated temporary crop area: Potatoes,2018,13.8,I
467,Harvested irrigated temporary crop area: Sugar beet,2007,6.06,E
468,Harvested irrigated temporary crop area: Sugar beet,2012,6.06,I
469,Harvested irrigated temporary crop area: Sugar beet,2017,6.06,I
470,Harvested irrigated temporary crop area: Sugar beet,2018,6.06,I
471,Harvested irrigated temporary crop area: Vegetables,2007,4.4,E
472,Harvested irrigated temporary crop area: Vegetables,2012,4.4,I
473,Harvested irrigated temporary crop area: Vegetables,2017,4.4,I
474,Harvested irrigated temporary crop area: Vegetables,2018,4.4,I
