Kuwait,Variable Name,Year,Value,Symbol
272,Total renewable water resources,1992,0.02,E
273,Total renewable water resources,1997,0.02,E
274,Total renewable water resources,2002,0.02,E
275,Total renewable water resources,2007,0.02,E
276,Total renewable water resources,2012,0.02,E
277,Total renewable water resources,2017,0.02,E
278,Total renewable water resources,2018,0.02,E
279,Total renewable water resources per capita,1962,59.285959899,E
280,Total renewable water resources per capita,1967,34.6521959097,E
281,Total renewable water resources per capita,1972,23.4764929876,E
282,Total renewable water resources per capita,1977,17.3372873907,E
283,Total renewable water resources per capita,1982,13.2657223683,E
284,Total renewable water resources per capita,1987,10.3150792533,E
285,Total renewable water resources per capita,1992,10.4578827075,E
286,Total renewable water resources per capita,1997,11.6941557287,E
287,Total renewable water resources per capita,2002,9.3589275043,E
288,Total renewable water resources per capita,2007,7.9871598418,E
289,Total renewable water resources per capita,2012,5.9721940617,E
290,Total renewable water resources per capita,2017,4.9308461159,E
291,Total renewable water resources per capita,2018,4.8340565082,E
292,Total agricultural water managed area,1997,5.869,I
293,Total agricultural water managed area,2002,7.0226666667,I
294,Total agricultural water managed area,2007,10.9,I
295,Total agricultural water managed area,2012,14.7,I
296,Total agricultural water managed area,2017,16.98,I
297,Total agricultural water managed area,2018,16.98,I
298,Area equipped for irrigation: total,1997,5.869,I
299,Area equipped for irrigation: total,2002,7.0226666667,I
300,Area equipped for irrigation: total,2007,10.9,I
301,Area equipped for irrigation: total,2012,14.7,I
302,Area equipped for irrigation: total,2017,16.98,I
303,Area equipped for irrigation: total,2018,16.98,I
304,% of agricultural GVA produced by irrigated agriculture,1962,100.0,E
305,% of agricultural GVA produced by irrigated agriculture,1967,100.0,E
306,% of agricultural GVA produced by irrigated agriculture,1972,100.0,E
307,% of agricultural GVA produced by irrigated agriculture,1977,100.0,E
308,% of agricultural GVA produced by irrigated agriculture,1982,100.0,E
309,% of agricultural GVA produced by irrigated agriculture,1987,100.0,E
310,% of agricultural GVA produced by irrigated agriculture,1992,100.0,E
311,% of agricultural GVA produced by irrigated agriculture,1997,100.0,E
312,% of agricultural GVA produced by irrigated agriculture,2002,100.0,E
313,% of agricultural GVA produced by irrigated agriculture,2007,100.0,E
314,% of agricultural GVA produced by irrigated agriculture,2012,100.0,E
315,% of agricultural GVA produced by irrigated agriculture,2017,100.0,I
316,% of agricultural GVA produced by irrigated agriculture,2018,100.0,I
317,Agricultural water withdrawal as % of total renewable water resources,1997,1934.8125,I
318,Agricultural water withdrawal as % of total renewable water resources,2002,2459.5,E
319,Agricultural water withdrawal as % of total renewable water resources,2007,2835.8461538462,I
320,Agricultural water withdrawal as % of total renewable water resources,2012,3212.1923076923,I
321,Agricultural water withdrawal as % of total renewable water resources,2017,3892.0,E
322,Agricultural water withdrawal as % of total renewable water resources,2018,3892.0,I
323,Agricultural water withdrawal,1997,0.3869625,I
324,Agricultural water withdrawal,2001,0.4709125,I
325,Agricultural water withdrawal,2007,0.5671692308,I
326,Agricultural water withdrawal,2012,0.6424384615,I
327,Agricultural water withdrawal,2017,0.7784,OF
328,Agricultural water withdrawal,2018,0.7784,I
329,Irrigation water requirement,2007,0.119,I
330,Irrigation water requirement,2012,0.119,I
331,Irrigation water requirement,2017,0.119,I
332,Irrigation water requirement,2018,0.119,I
333,Irrigation water withdrawal,2017,0.7768,OF
334,Irrigation water withdrawal,2018,0.7768,I
335,Municipal water withdrawal,1997,0.2952285714,I
336,Municipal water withdrawal,2002,0.4005,OF
337,Municipal water withdrawal,2007,0.4483,I
338,Municipal water withdrawal,2012,0.4483,I
339,Municipal water withdrawal,2017,0.4483,I
340,Municipal water withdrawal,2018,0.4483,I
341,Industrial water withdrawal,1997,0.0191142857,I
342,Industrial water withdrawal,2002,0.0208,OF
343,Industrial water withdrawal,2007,0.0233,I
344,Industrial water withdrawal,2012,0.0233,I
345,Industrial water withdrawal,2017,0.0233,I
346,Industrial water withdrawal,2018,0.0233,I
347,Total water withdrawal,1997,0.7013053571,E
348,Total water withdrawal,2002,0.9132,E
349,Total water withdrawal,2007,1.0387692308,E
350,Total water withdrawal,2012,1.1140384615,E
351,Total water withdrawal,2017,1.25,E
352,Total water withdrawal,2018,1.25,E
353,Fresh surface water withdrawal,2002,0.0,OF
354,Fresh surface water withdrawal,2007,0.0,I
355,Fresh surface water withdrawal,2012,0.0,I
356,Fresh surface water withdrawal,2017,0.0,I
357,Fresh surface water withdrawal,2018,0.0,I
358,Fresh groundwater withdrawal,2007,0.5168461538,I
359,Fresh groundwater withdrawal,2012,0.6186923077,I
360,Fresh groundwater withdrawal,2017,0.7701,OF
361,Fresh groundwater withdrawal,2018,0.7701,I
362,Total freshwater withdrawal,1997,0.3132164683,E
363,Total freshwater withdrawal,2002,0.415,E
364,Total freshwater withdrawal,2007,0.5168461538,E
365,Total freshwater withdrawal,2012,0.6186923077,E
366,Total freshwater withdrawal,2017,0.7701,E
367,Total freshwater withdrawal,2018,0.7701,E
368,Desalinated water produced,1992,0.323,I
369,Desalinated water produced,1997,0.3150888889,I
370,Desalinated water produced,2001,0.3991777778,I
371,Desalinated water produced,2007,0.4202,I
372,Desalinated water produced,2012,0.4202,I
373,Desalinated water produced,2017,0.4202,I
374,Desalinated water produced,2018,0.4202,I
375,Direct use of treated municipal wastewater,1997,0.073,I
376,Direct use of treated municipal wastewater,2002,0.078,OF
377,Direct use of treated municipal wastewater,2007,0.078,I
378,Direct use of treated municipal wastewater,2012,0.078,I
379,Direct use of treated municipal wastewater,2017,0.078,I
380,Direct use of treated municipal wastewater,2018,0.078,I
381,Produced municipal wastewater,1997,0.179,OF
382,Produced municipal wastewater,2002,0.2331666667,I
383,Produced municipal wastewater,2007,0.252,I
384,Produced municipal wastewater,2012,0.292,I
385,Produced municipal wastewater,2017,0.292,I
386,Produced municipal wastewater,2018,0.292,I
387,Collected municipal wastewater,1997,0.136625,I
388,Collected municipal wastewater,2002,0.166,I
389,Collected municipal wastewater,2007,0.195375,I
390,Collected municipal wastewater,2012,0.283,OF
391,Collected municipal wastewater,2017,0.319,I
392,Collected municipal wastewater,2018,0.319,I
393,Not treated municipal wastewater,1996,0.0603333333,I
394,Not treated municipal wastewater,2002,0.076,I
395,Not treated municipal wastewater,2007,0.076,I
396,Not treated municipal wastewater,2012,0.076,I
397,Not treated municipal wastewater,2017,0.076,I
398,Not treated municipal wastewater,2018,0.076,I
399,Treated municipal wastewater,1997,0.103,OF
400,Treated municipal wastewater,2002,0.152,OF
401,Treated municipal wastewater,2007,0.2264,I
402,Treated municipal wastewater,2012,0.219,OF
403,Treated municipal wastewater,2017,0.289,I
404,Treated municipal wastewater,2018,0.289,I
405,Treated municipal wastewater discharged (secondary water),1997,0.059625,I
406,Treated municipal wastewater discharged (secondary water),2001,0.071125,I
407,Treated municipal wastewater discharged (secondary water),2007,0.074,I
408,Treated municipal wastewater discharged (secondary water),2012,0.074,I
409,Treated municipal wastewater discharged (secondary water),2017,0.074,I
410,Treated municipal wastewater discharged (secondary water),2018,0.074,I
411,SDG 6.4.2. Water Stress,1997,1566.0823412698,E
412,SDG 6.4.2. Water Stress,2002,2075.0,E
413,SDG 6.4.2. Water Stress,2007,2584.2307692308,E
414,SDG 6.4.2. Water Stress,2012,3093.4615384615,E
415,SDG 6.4.2. Water Stress,2017,3850.5,E
416,SDG 6.4.2. Water Stress,2018,3850.5,E
417,SDG 6.4.1. Water Use Efficiency,1997,83.9143925763,E
418,SDG 6.4.1. Water Use Efficiency,2002,72.0149489327,E
419,SDG 6.4.1. Water Use Efficiency,2005,93.0453247556,E
420,SDG 6.4.1. Water Use Efficiency,2016,111.9574426618,E
421,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.5808433371,E
422,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.6656407501,E
423,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2005,0.5069963702,E
424,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.8464167088,E
425,SDG 6.4.1. Industrial Water Use Efficiency,1997,1661.5445120956,E
426,SDG 6.4.1. Industrial Water Use Efficiency,2002,1480.2505130518,E
427,SDG 6.4.1. Industrial Water Use Efficiency,2005,2372.6259643604,E
428,SDG 6.4.1. Industrial Water Use Efficiency,2016,2481.082080337,E
429,SDG 6.4.1. Services Water Use Efficiency,1997,90.9993629822,E
430,SDG 6.4.1. Services Water Use Efficiency,2002,86.5103920322,E
431,SDG 6.4.1. Services Water Use Efficiency,2005,85.4266499988,E
432,SDG 6.4.1. Services Water Use Efficiency,2016,167.9204658511,E
433,Area salinized by irrigation,1997,4.08,I
434,Area salinized by irrigation,2002,4.08,I
435,Area salinized by irrigation,2007,4.08,I
436,Area salinized by irrigation,2012,4.08,I
437,Area salinized by irrigation,2017,4.08,I
438,Area salinized by irrigation,2018,4.08,I
439,Harvested irrigated temporary crop area: Wheat,1997,0.2375,I
440,Harvested irrigated temporary crop area: Wheat,2002,0.2666666667,I
441,Harvested irrigated temporary crop area: Wheat,2007,0.29,I
442,Harvested irrigated temporary crop area: Wheat,2012,0.29,I
443,Harvested irrigated temporary crop area: Wheat,2017,0.29,I
444,Harvested irrigated temporary crop area: Wheat,2018,0.29,I
445,Harvested irrigated temporary crop area: Barley,2007,1.263,I
446,Harvested irrigated temporary crop area: Barley,2012,1.263,I
447,Harvested irrigated temporary crop area: Barley,2017,1.263,I
448,Harvested irrigated temporary crop area: Barley,2018,1.263,I
449,Harvested irrigated temporary crop area: Potatoes,1997,0.6925,I
450,Harvested irrigated temporary crop area: Potatoes,2002,0.73,I
451,Harvested irrigated temporary crop area: Potatoes,2007,0.76,I
452,Harvested irrigated temporary crop area: Potatoes,2012,0.76,I
453,Harvested irrigated temporary crop area: Potatoes,2017,0.76,I
454,Harvested irrigated temporary crop area: Potatoes,2018,0.76,I
455,Harvested irrigated temporary crop area: Leguminous crops,1997,0.06,I
456,Harvested irrigated temporary crop area: Leguminous crops,2002,0.06,I
457,Harvested irrigated temporary crop area: Leguminous crops,2007,0.06,I
458,Harvested irrigated temporary crop area: Leguminous crops,2012,0.06,I
459,Harvested irrigated temporary crop area: Leguminous crops,2017,0.06,I
460,Harvested irrigated temporary crop area: Leguminous crops,2018,0.06,I
461,Harvested irrigated temporary crop area: Vegetables,1997,2.34,I
462,Harvested irrigated temporary crop area: Vegetables,2002,3.0733333333,I
463,Harvested irrigated temporary crop area: Vegetables,2007,3.66,I
464,Harvested irrigated temporary crop area: Vegetables,2012,3.66,I
465,Harvested irrigated temporary crop area: Vegetables,2017,3.66,I
466,Harvested irrigated temporary crop area: Vegetables,2018,3.66,I
467,Harvested irrigated temporary crop area: Fodder,1997,1.47,I
468,Harvested irrigated temporary crop area: Fodder,2002,1.47,I
469,Harvested irrigated temporary crop area: Fodder,2007,1.47,I
470,Harvested irrigated temporary crop area: Fodder,2012,1.47,I
471,Harvested irrigated temporary crop area: Fodder,2017,1.47,I
472,Harvested irrigated temporary crop area: Fodder,2018,1.47,I
473,Harvested irrigated temporary crop area: Other crops,2007,0.39,I
474,Harvested irrigated temporary crop area: Other crops,2012,0.39,I
475,Harvested irrigated temporary crop area: Other crops,2017,0.39,I
476,Harvested irrigated temporary crop area: Other crops,2018,0.39,I
477,Harvested irrigated permanent crop area: Other crops,1997,0.7605,I
478,Harvested irrigated permanent crop area: Other crops,2002,1.278,I
479,Harvested irrigated permanent crop area: Other crops,2007,1.692,I
480,Harvested irrigated permanent crop area: Other crops,2012,1.692,I
481,Harvested irrigated permanent crop area: Other crops,2017,1.692,I
482,Harvested irrigated permanent crop area: Other crops,2018,1.692,I
