Ghana,Variable Name,Year,Value,Symbol
92,"Agriculture, value added (% GDP)",1972,35.798535,X
93,"Agriculture, value added (% GDP)",1977,43.137084,X
94,"Agriculture, value added (% GDP)",1982,44.009092,X
95,"Agriculture, value added (% GDP)",1987,38.835128,X
96,"Agriculture, value added (% GDP)",1992,32.015108,X
97,"Agriculture, value added (% GDP)",1997,27.462375,X
98,"Agriculture, value added (% GDP)",2002,26.975567,X
99,"Agriculture, value added (% GDP)",2007,25.774962,X
100,"Agriculture, value added (% GDP)",2012,20.899974,X
101,"Agriculture, value added (% GDP)",2017,19.696155,X
102,"Agriculture, value added (% GDP)",2018,18.271534,X
103,"Agriculture, value added to GDP",1962,523871180.0,X
104,"Agriculture, value added to GDP",1967,702824817.0,X
105,"Agriculture, value added to GDP",1969,901111675.0,X
106,Number of people undernourished (3-year average),1992,7100.0,X
107,Number of people undernourished (3-year average),1997,3800.0,X
108,Number of people undernourished (3-year average),2001,3000.0,X
109,Number of people undernourished (3-year average),2007,2400.0,X
110,Number of people undernourished (3-year average),2012,1700.0,X
111,Number of people undernourished (3-year average),2016,2100.0,X
112,Prevalence of undernourishment (3-year average),1992,47.3,X
113,Prevalence of undernourishment (3-year average),1997,22.3,X
114,Prevalence of undernourishment (3-year average),2001,15.6,X
115,Prevalence of undernourishment (3-year average),2016,7.7,X
116,Total population with access to safe drinking-water (JMP),1992,58.7,X
117,Total population with access to safe drinking-water (JMP),1997,66.2,X
118,Total population with access to safe drinking-water (JMP),2002,73.1,X
119,Total population with access to safe drinking-water (JMP),2007,79.5,X
120,Total population with access to safe drinking-water (JMP),2012,85.4,X
121,Total population with access to safe drinking-water (JMP),2017,88.7,I
122,Total population with access to safe drinking-water (JMP),2018,88.7,I
123,Long-term average annual precipitation in volume,1962,283.14698,E
124,Long-term average annual precipitation in volume,1967,283.14698,E
125,Long-term average annual precipitation in volume,1972,283.14698,E
126,Long-term average annual precipitation in volume,1977,283.14698,E
127,Long-term average annual precipitation in volume,1982,283.14698,E
128,Long-term average annual precipitation in volume,1987,283.14698,E
129,Long-term average annual precipitation in volume,1992,283.14698,E
130,Long-term average annual precipitation in volume,1997,283.14698,E
131,Long-term average annual precipitation in volume,2002,283.14698,E
132,Long-term average annual precipitation in volume,2007,283.14698,E
133,Long-term average annual precipitation in volume,2012,283.14698,E
134,Long-term average annual precipitation in volume,2017,283.14698,E
135,Long-term average annual precipitation in volume,2018,283.14698,E
136,Interannual variability (WRI),2017,1.4,I
137,Interannual variability (WRI),2018,1.4,I
138,Seasonal variability (WRI),2017,3.0,I
139,Seasonal variability (WRI),2018,3.0,I
140,Flood occurrence (WRI),2017,3.0,I
141,Flood occurrence (WRI),2018,3.0,I
153,Surface water: entering the country (total),2017,25.9,OF
154,Surface water: leaving the country to other countries (total),1961,0.0,OF
155,Surface water: leaving the country to other countries (total),1966,0.0,OF
156,Surface water: leaving the country to other countries (total),1971,0.0,OF
157,Surface water: leaving the country to other countries (total),1976,0.0,OF
158,Surface water: leaving the country to other countries (total),1981,0.0,OF
159,Surface water: leaving the country to other countries (total),1986,0.0,OF
160,Surface water: leaving the country to other countries (total),1991,0.0,OF
161,Surface water: leaving the country to other countries (total),1996,0.0,OF
162,Surface water: leaving the country to other countries (total),2001,0.0,OF
163,Surface water: leaving the country to other countries (total),2006,0.0,OF
165,Surface water: leaving the country to other countries (total),2017,0.0,OF
166,Groundwater: entering the country (total),1962,0.0,E
167,Groundwater: entering the country (total),1967,0.0,E
168,Groundwater: entering the country (total),1972,0.0,E
169,Groundwater: entering the country (total),1977,0.0,E
170,Groundwater: entering the country (total),1982,0.0,E
171,Groundwater: entering the country (total),1987,0.0,E
172,Groundwater: entering the country (total),1992,0.0,E
173,Groundwater: entering the country (total),1997,0.0,E
174,Groundwater: entering the country (total),2002,0.0,E
175,Groundwater: entering the country (total),2007,0.0,E
176,Groundwater: entering the country (total),2012,0.0,E
177,Groundwater: entering the country (total),2017,0.0,E
178,Groundwater: leaving the country to other countries (total),1962,0.0,OF
179,Groundwater: leaving the country to other countries (total),1967,0.0,OF
180,Groundwater: leaving the country to other countries (total),1972,0.0,OF
181,Groundwater: leaving the country to other countries (total),1977,0.0,OF
182,Groundwater: leaving the country to other countries (total),1982,0.0,OF
183,Groundwater: leaving the country to other countries (total),1987,0.0,OF
184,Groundwater: leaving the country to other countries (total),1992,0.0,OF
185,Groundwater: leaving the country to other countries (total),1997,0.0,OF
186,Groundwater: leaving the country to other countries (total),2002,0.0,OF
187,Groundwater: leaving the country to other countries (total),2007,0.0,OF
188,Groundwater: leaving the country to other countries (total),2012,0.0,OF
189,Groundwater: leaving the country to other countries (total),2017,0.0,OF
190,Dependency ratio,1962,46.0854092527,E
191,Dependency ratio,1967,46.0854092527,E
192,Dependency ratio,1972,46.0854092527,E
193,Dependency ratio,1977,46.0854092527,E
194,Dependency ratio,1982,46.0854092527,E
195,Dependency ratio,1987,46.0854092527,E
196,Dependency ratio,1992,46.0854092527,E
197,Dependency ratio,1997,46.0854092527,E
198,Dependency ratio,2002,46.0854092527,E
199,Dependency ratio,2007,46.0854092527,E
200,Dependency ratio,2012,46.0854092527,E
201,Dependency ratio,2017,46.0854092527,E
202,Dependency ratio,2018,46.0854092527,E
203,Total internal renewable water resources (IRWR),1962,30.3,E
204,Total internal renewable water resources (IRWR),1967,30.3,E
205,Total internal renewable water resources (IRWR),1972,30.3,E
206,Total internal renewable water resources (IRWR),1977,30.3,E
207,Total internal renewable water resources (IRWR),1982,30.3,E
208,Total internal renewable water resources (IRWR),1987,30.3,E
209,Total internal renewable water resources (IRWR),1992,30.3,E
210,Total internal renewable water resources (IRWR),1997,30.3,E
211,Total internal renewable water resources (IRWR),2002,30.3,E
212,Total internal renewable water resources (IRWR),2007,30.3,E
213,Total internal renewable water resources (IRWR),2012,30.3,E
214,Total internal renewable water resources (IRWR),2017,30.3,E
215,Total internal renewable water resources (IRWR),2018,30.3,E
216,Total internal renewable water resources per capita,1962,4284.5198318828,E
217,Total internal renewable water resources per capita,1967,3725.6527669489,E
218,Total internal renewable water resources per capita,1972,3282.9048095206,E
219,Total internal renewable water resources per capita,1977,2914.7361750119,E
220,Total internal renewable water resources per capita,1982,2594.883899499,E
221,Total internal renewable water resources per capita,1987,2235.8288848578,E
222,Total internal renewable water resources per capita,1992,1935.6896191329,E
223,Total internal renewable water resources per capita,1997,1691.8881779174,E
224,Total internal renewable water resources per capita,2002,1496.5637562585,E
225,Total internal renewable water resources per capita,2007,1319.4596433906,E
226,Total internal renewable water resources per capita,2012,1165.543756936,E
227,Total internal renewable water resources per capita,2017,1040.4696329666,E
228,Total internal renewable water resources per capita,2018,1017.9022465808,E
229,Total renewable surface water,1962,54.9,E
230,Total renewable surface water,1967,54.9,E
231,Total renewable surface water,1972,54.9,E
232,Total renewable surface water,1977,54.9,E
233,Total renewable surface water,1982,54.9,E
234,Total renewable surface water,1987,54.9,E
235,Total renewable surface water,1992,54.9,E
236,Total renewable surface water,1997,54.9,E
237,Total renewable surface water,2002,54.9,E
238,Total renewable surface water,2007,54.9,E
239,Total renewable surface water,2012,54.9,E
240,Total renewable surface water,2017,54.9,E
241,Total renewable surface water,2018,54.9,E
242,Total renewable groundwater,1962,26.3,E
243,Total renewable groundwater,1967,26.3,E
244,Total renewable groundwater,1972,26.3,E
245,Total renewable groundwater,1977,26.3,E
246,Total renewable groundwater,1982,26.3,E
247,Total renewable groundwater,1987,26.3,E
248,Total renewable groundwater,1992,26.3,E
249,Total renewable groundwater,1997,26.3,E
250,Total renewable groundwater,2002,26.3,E
251,Total renewable groundwater,2007,26.3,E
252,Total renewable groundwater,2012,26.3,E
253,Total renewable groundwater,2017,26.3,E
254,Total renewable groundwater,2018,26.3,E
255,Water resources: total external renewable,1962,25.9,E
256,Water resources: total external renewable,1967,25.9,E
257,Water resources: total external renewable,1972,25.9,E
258,Water resources: total external renewable,1977,25.9,E
259,Water resources: total external renewable,1982,25.9,E
260,Water resources: total external renewable,1987,25.9,E
261,Water resources: total external renewable,1992,25.9,E
262,Water resources: total external renewable,1997,25.9,E
263,Water resources: total external renewable,2002,25.9,E
264,Water resources: total external renewable,2007,25.9,E
265,Water resources: total external renewable,2012,25.9,E
266,Water resources: total external renewable,2017,25.9,E
267,Water resources: total external renewable,2018,25.9,E
268,Total renewable water resources,1962,56.2,E
269,Total renewable water resources,1967,56.2,E
270,Total renewable water resources,1972,56.2,E
271,Total renewable water resources,1977,56.2,E
272,Total renewable water resources,1982,56.2,E
273,Total renewable water resources,1987,56.2,E
274,Total renewable water resources,1992,56.2,E
275,Total renewable water resources,1997,56.2,E
276,Total renewable water resources,2002,56.2,E
277,Total renewable water resources,2007,56.2,E
278,Total renewable water resources,2012,56.2,E
279,Total renewable water resources,2017,56.2,E
280,Total renewable water resources,2018,56.2,E
281,Total renewable water resources per capita,1962,7946.8651667265,E
282,Total renewable water resources per capita,1967,6910.2866502484,E
283,Total renewable water resources per capita,1972,6089.0841681536,E
284,Total renewable water resources per capita,1977,5406.2103312102,E
285,Total renewable water resources per capita,1982,4812.9529753084,E
286,Total renewable water resources per capita,1987,4146.9829481522,E
287,Total renewable water resources per capita,1992,3590.2889965436,E
288,Total renewable water resources per capita,1997,3138.089623728,E
289,Total renewable water resources per capita,2002,2775.8047228292,E
290,Total renewable water resources per capita,2007,2447.3145860907,E
291,Total renewable water resources per capita,2012,2161.8336349771,E
292,Total renewable water resources per capita,2017,1929.8479660965,E
293,Total renewable water resources per capita,2018,1887.9903055393,E
294,Total agricultural water managed area,1997,18.637,I
295,Total agricultural water managed area,2002,30.9,I
296,Total agricultural water managed area,2007,30.9,I
297,Total agricultural water managed area,2012,30.9,I
298,Total agricultural water managed area,2017,30.9,I
299,Total agricultural water managed area,2018,30.9,I
300,Area equipped for irrigation: total,1997,18.637,I
301,Area equipped for irrigation: total,2002,30.9,I
302,Area equipped for irrigation: total,2007,30.9,I
303,Area equipped for irrigation: total,2012,30.9,I
304,Area equipped for irrigation: total,2017,30.9,I
305,Area equipped for irrigation: total,2018,30.9,I
306,% of agricultural GVA produced by irrigated agriculture,1997,0.4656953264,E
307,% of agricultural GVA produced by irrigated agriculture,2002,0.6953794623,E
308,% of agricultural GVA produced by irrigated agriculture,2003,0.6793128509,E
309,Ratio between rainfed and irrigated yields,1962,1.555,E
310,Ratio between rainfed and irrigated yields,1967,1.555,E
311,Ratio between rainfed and irrigated yields,1972,1.555,E
312,Ratio between rainfed and irrigated yields,1977,1.555,E
313,Ratio between rainfed and irrigated yields,1982,1.555,E
314,Ratio between rainfed and irrigated yields,1987,1.555,E
315,Ratio between rainfed and irrigated yields,1992,1.555,E
316,Ratio between rainfed and irrigated yields,1997,1.555,E
317,Ratio between rainfed and irrigated yields,2002,1.555,E
318,Ratio between rainfed and irrigated yields,2007,1.555,I
319,Ratio between rainfed and irrigated yields,2012,1.555,E
320,Ratio between rainfed and irrigated yields,2017,1.555,I
321,Ratio between rainfed and irrigated yields,2018,1.555,I
322,Agricultural water withdrawal as % of total renewable water resources,1972,0.3364175563,I
323,Agricultural water withdrawal as % of total renewable water resources,1977,0.4835112693,I
324,Agricultural water withdrawal as % of total renewable water resources,1982,0.6306049822,I
325,Agricultural water withdrawal as % of total renewable water resources,1987,0.7776986951,I
326,Agricultural water withdrawal as % of total renewable water resources,1992,0.9247924081,I
327,Agricultural water withdrawal as % of total renewable water resources,1997,1.071886121,I
328,Agricultural water withdrawal as % of total renewable water resources,2002,1.253113879,I
329,Agricultural water withdrawal as % of total renewable water resources,2007,1.4855427046,I
330,Agricultural water withdrawal as % of total renewable water resources,2012,1.7179715302,I
331,Agricultural water withdrawal as % of total renewable water resources,2017,1.9039145907,I
332,Agricultural water withdrawal as % of total renewable water resources,2018,1.9039145907,I
333,Agricultural water withdrawal,1972,0.1890666667,I
334,Agricultural water withdrawal,1977,0.2717333333,I
335,Agricultural water withdrawal,1982,0.3544,I
336,Agricultural water withdrawal,1987,0.4370666667,I
337,Agricultural water withdrawal,1992,0.5197333333,I
338,Agricultural water withdrawal,1997,0.6024,I
339,Agricultural water withdrawal,2002,0.70425,I
340,Agricultural water withdrawal,2007,0.834875,I
341,Agricultural water withdrawal,2012,0.9655,I
342,Agricultural water withdrawal,2017,1.07,I
343,Agricultural water withdrawal,2018,1.07,I
344,Irrigation water requirement,2012,0.162,I
345,Irrigation water requirement,2017,0.162,I
346,Irrigation water requirement,2018,0.162,I
347,Municipal water withdrawal,1972,0.1136666667,I
348,Municipal water withdrawal,1977,0.1353333333,I
349,Municipal water withdrawal,1982,0.157,I
350,Municipal water withdrawal,1987,0.1786666667,I
351,Municipal water withdrawal,1992,0.2003333333,I
352,Municipal water withdrawal,1997,0.222,I
353,Municipal water withdrawal,2002,0.237,I
354,Municipal water withdrawal,2007,0.242,I
355,Municipal water withdrawal,2012,0.255,
356,Municipal water withdrawal,2017,0.2996,I
357,Municipal water withdrawal,2018,0.2996,I
358,Industrial water withdrawal,1972,0.0427333333,I
359,Industrial water withdrawal,1977,0.0520666667,I
360,Industrial water withdrawal,1982,0.0614,I
361,Industrial water withdrawal,1987,0.0707333333,I
362,Industrial water withdrawal,1992,0.0800666667,I
363,Industrial water withdrawal,1997,0.0894,I
364,Industrial water withdrawal,2002,0.095,I
365,Industrial water withdrawal,2007,0.095,I
366,Industrial water withdrawal,2012,0.095,I
367,Industrial water withdrawal,2017,0.095,I
368,Industrial water withdrawal,2018,0.095,I
369,Total water withdrawal,1972,0.3454666667,I
370,Total water withdrawal,1977,0.4591333333,I
371,Total water withdrawal,1982,0.5728,I
372,Total water withdrawal,1987,0.6864666667,I
373,Total water withdrawal,1992,0.8001333333,I
374,Total water withdrawal,1997,0.9138,I
375,Total water withdrawal,2002,1.03625,E
376,Total water withdrawal,2007,1.171875,E
377,Total water withdrawal,2012,1.3155,E
378,Total water withdrawal,2017,1.4646,E
379,Total water withdrawal,2018,1.4646,E
380,Total freshwater withdrawal,1972,0.3454666667,I
381,Total freshwater withdrawal,1977,0.4591333333,I
382,Total freshwater withdrawal,1982,0.5728,I
383,Total freshwater withdrawal,1987,0.6864666667,I
384,Total freshwater withdrawal,1992,0.8001333333,I
385,Total freshwater withdrawal,1997,0.9138,I
386,Total freshwater withdrawal,2002,1.03625,E
387,Total freshwater withdrawal,2007,1.171875,E
388,Total freshwater withdrawal,2012,1.3155,E
389,Total freshwater withdrawal,2017,1.4486,E
390,Total freshwater withdrawal,2018,1.4486,E
391,Desalinated water produced,2017,0.016,I
392,Desalinated water produced,2018,0.016,I
393,Produced municipal wastewater,2002,0.275,I
394,Produced municipal wastewater,2007,0.28,I
395,Produced municipal wastewater,2012,0.28,I
396,Produced municipal wastewater,2017,0.28,I
397,Produced municipal wastewater,2018,0.28,I
398,Collected municipal wastewater,2007,0.028,I
399,Collected municipal wastewater,2012,0.028,I
400,Collected municipal wastewater,2017,0.028,I
401,Collected municipal wastewater,2018,0.028,I
402,Not treated municipal wastewater,2007,0.258,I
403,Not treated municipal wastewater,2012,0.258,I
404,Not treated municipal wastewater,2017,0.258,I
405,Not treated municipal wastewater,2018,0.258,I
406,Treated municipal wastewater,2007,0.022,I
407,Treated municipal wastewater,2012,0.022,I
408,Treated municipal wastewater,2017,0.022,I
409,Treated municipal wastewater,2018,0.022,I
422,SDG 6.4.2. Water Stress,1972,1.5059575705,E
423,SDG 6.4.2. Water Stress,1977,2.001453066,E
424,SDG 6.4.2. Water Stress,1982,2.4969485615,E
425,SDG 6.4.2. Water Stress,1987,2.992444057,E
426,SDG 6.4.2. Water Stress,1992,3.4879395525,E
427,SDG 6.4.2. Water Stress,1997,3.983435048,E
428,SDG 6.4.2. Water Stress,2002,4.5172188317,E
429,SDG 6.4.2. Water Stress,2007,5.108435048,E
430,SDG 6.4.2. Water Stress,2012,5.7345248474,E
431,SDG 6.4.2. Water Stress,2017,6.3147340889,E
432,SDG 6.4.2. Water Stress,2018,6.3147340889,E
433,SDG 6.4.1. Water Use Efficiency,1997,13.4356998679,I
434,SDG 6.4.1. Water Use Efficiency,2002,15.1013123356,I
435,SDG 6.4.1. Water Use Efficiency,2003,15.4274045568,I
436,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.0375106138,E
437,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.0587365556,E
438,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2003,0.0605314064,E
439,SDG 6.4.1. Industrial Water Use Efficiency,1972,72.6085294316,E
440,SDG 6.4.1. Industrial Water Use Efficiency,1977,55.2520326474,E
441,SDG 6.4.1. Industrial Water Use Efficiency,1982,15.3863994635,E
442,SDG 6.4.1. Industrial Water Use Efficiency,1987,47.0496672484,E
443,SDG 6.4.1. Industrial Water Use Efficiency,1989,50.3871123515,E
444,SDG 6.4.1. Industrial Water Use Efficiency,1997,61.8002852095,E
445,SDG 6.4.1. Industrial Water Use Efficiency,2002,72.1212758829,E
446,SDG 6.4.1. Industrial Water Use Efficiency,2007,84.4705668177,E
447,SDG 6.4.1. Industrial Water Use Efficiency,2010,87.1734992752,E
448,SDG 6.4.1. Industrial Water Use Efficiency,2015,152.0780477158,E
449,SDG 6.4.1. Services Water Use Efficiency,1972,37.535760104,E
450,SDG 6.4.1. Services Water Use Efficiency,1977,22.3868724844,E
451,SDG 6.4.1. Services Water Use Efficiency,1982,19.7013261046,E
452,SDG 6.4.1. Services Water Use Efficiency,1987,24.4374462157,E
453,SDG 6.4.1. Services Water Use Efficiency,1989,26.3008508754,E
454,SDG 6.4.1. Services Water Use Efficiency,1997,30.3153182335,E
455,SDG 6.4.1. Services Water Use Efficiency,2002,36.9445083529,E
456,SDG 6.4.1. Services Water Use Efficiency,2007,47.4070417,E
457,SDG 6.4.1. Services Water Use Efficiency,2010,59.4035138313,E
458,SDG 6.4.1. Services Water Use Efficiency,2015,68.6984024065,E
459,Area salinized by irrigation,1992,1.48,OF
460,Area salinized by irrigation,1997,1.48,I
461,Area salinized by irrigation,2002,1.48,I
462,Area salinized by irrigation,2007,1.48,I
463,Area salinized by irrigation,2012,1.48,I
464,Area salinized by irrigation,2017,1.48,I
465,Area salinized by irrigation,2018,1.48,I
466,Harvested irrigated temporary crop area: Rice,2002,5.238,E
467,Harvested irrigated temporary crop area: Rice,2007,14.46425,I
468,Harvested irrigated temporary crop area: Rice,2012,20.0,I
469,Harvested irrigated temporary crop area: Rice,2017,20.0,I
470,Harvested irrigated temporary crop area: Rice,2018,20.0,I
471,Harvested irrigated temporary crop area: Vegetables,2012,40.5,I
472,Harvested irrigated temporary crop area: Vegetables,2017,40.5,I
473,Harvested irrigated temporary crop area: Vegetables,2018,40.5,I
