Sierra Leone,Variable Name,Year,Value,Symbol
244,Total renewable groundwater,1972,25.0,E
245,Total renewable groundwater,1977,25.0,E
246,Total renewable groundwater,1982,25.0,E
247,Total renewable groundwater,1987,25.0,E
248,Total renewable groundwater,1992,25.0,E
249,Total renewable groundwater,1997,25.0,E
250,Total renewable groundwater,2002,25.0,E
251,Total renewable groundwater,2007,25.0,E
252,Total renewable groundwater,2012,25.0,E
253,Total renewable groundwater,2017,25.0,E
254,Total renewable groundwater,2018,25.0,E
255,Water resources: total external renewable,1962,0.0,E
256,Water resources: total external renewable,1967,0.0,E
257,Water resources: total external renewable,1972,0.0,E
258,Water resources: total external renewable,1977,0.0,E
259,Water resources: total external renewable,1982,0.0,E
260,Water resources: total external renewable,1987,0.0,E
261,Water resources: total external renewable,1992,0.0,E
262,Water resources: total external renewable,1997,0.0,E
263,Water resources: total external renewable,2002,0.0,E
264,Water resources: total external renewable,2007,0.0,E
265,Water resources: total external renewable,2012,0.0,E
266,Water resources: total external renewable,2017,0.0,E
267,Water resources: total external renewable,2018,0.0,E
268,Total renewable water resources,1962,160.0,E
269,Total renewable water resources,1967,160.0,E
270,Total renewable water resources,1972,160.0,E
271,Total renewable water resources,1977,160.0,E
272,Total renewable water resources,1982,160.0,E
273,Total renewable water resources,1987,160.0,E
274,Total renewable water resources,1992,160.0,E
275,Total renewable water resources,1997,160.0,E
276,Total renewable water resources,2002,160.0,E
277,Total renewable water resources,2007,160.0,E
278,Total renewable water resources,2012,160.0,E
279,Total renewable water resources,2017,160.0,E
280,Total renewable water resources,2018,160.0,E
281,Total renewable water resources per capita,1962,66980.1056527442,E
282,Total renewable water resources per capita,1967,61614.1758815159,E
283,Total renewable water resources per capita,1972,56044.5442037331,E
284,Total renewable water resources per capita,1977,50465.0989683672,E
285,Total renewable water resources per capita,1982,45195.5697042797,E
286,Total renewable water resources per capita,1987,39622.1630531254,E
287,Total renewable water resources per capita,1992,36800.8640842887,E
288,Total renewable water resources per capita,1997,36906.3186154779,E
289,Total renewable water resources per capita,2002,32220.6080592601,E
290,Total renewable water resources per capita,2007,26712.8219708954,E
291,Total renewable water resources per capita,2012,23835.8283486657,E
292,Total renewable water resources per capita,2017,21366.3143762044,E
293,Total renewable water resources per capita,2018,20914.6225890996,E
294,Total agricultural water managed area,1982,72.656,I
295,Total agricultural water managed area,1987,115.2028571429,I
296,Total agricultural water managed area,1992,155.36,E
297,Total agricultural water managed area,1997,155.36,I
298,Total agricultural water managed area,2002,155.36,I
299,Total agricultural water managed area,2007,155.36,I
300,Total agricultural water managed area,2012,155.36,I
301,Total agricultural water managed area,2017,155.36,I
302,Total agricultural water managed area,2018,155.36,I
303,Area equipped for irrigation: total,1992,29.36,E
304,Area equipped for irrigation: total,1997,29.36,I
305,Area equipped for irrigation: total,2002,29.36,I
306,Area equipped for irrigation: total,2007,29.36,I
307,Area equipped for irrigation: total,2012,29.36,I
308,Area equipped for irrigation: total,2017,29.36,I
309,Area equipped for irrigation: total,2018,29.36,I
310,% of agricultural GVA produced by irrigated agriculture,1992,0.541964769,E
311,% of agricultural GVA produced by irrigated agriculture,1997,0.5437378542,E
312,% of agricultural GVA produced by irrigated agriculture,2002,0.3219669819,E
313,% of agricultural GVA produced by irrigated agriculture,2007,0.2330923871,E
314,% of agricultural GVA produced by irrigated agriculture,2012,0.2028098066,E
315,% of agricultural GVA produced by irrigated agriculture,2017,0.1897992604,E
316,% of agricultural GVA produced by irrigated agriculture,2018,0.1897992604,E
317,Ratio between rainfed and irrigated yields,1962,3.324,E
318,Ratio between rainfed and irrigated yields,1967,3.324,E
319,Ratio between rainfed and irrigated yields,1972,3.324,E
320,Ratio between rainfed and irrigated yields,1977,3.324,E
321,Ratio between rainfed and irrigated yields,1982,3.324,E
322,Ratio between rainfed and irrigated yields,1987,3.324,E
323,Ratio between rainfed and irrigated yields,1992,3.324,E
324,Ratio between rainfed and irrigated yields,1997,3.324,E
325,Ratio between rainfed and irrigated yields,2002,3.324,E
326,Ratio between rainfed and irrigated yields,2007,3.324,I
327,Ratio between rainfed and irrigated yields,2012,3.324,E
328,Ratio between rainfed and irrigated yields,2017,3.324,I
329,Ratio between rainfed and irrigated yields,2018,3.324,I
330,Agricultural water withdrawal as % of total renewable water resources,1987,0.205625,E
331,Agricultural water withdrawal as % of total renewable water resources,1992,0.0285625,E
332,Agricultural water withdrawal as % of total renewable water resources,1997,0.0285625,I
333,Agricultural water withdrawal as % of total renewable water resources,2002,0.0285625,I
334,Agricultural water withdrawal as % of total renewable water resources,2007,0.0285625,I
335,Agricultural water withdrawal as % of total renewable water resources,2012,0.0285625,I
336,Agricultural water withdrawal as % of total renewable water resources,2017,0.0285625,I
337,Agricultural water withdrawal as % of total renewable water resources,2018,0.0285625,I
338,Agricultural water withdrawal,1987,0.329,OF
339,Agricultural water withdrawal,1991,0.10236,I
340,Agricultural water withdrawal,1997,0.0457,I
341,Agricultural water withdrawal,2002,0.0457,I
342,Agricultural water withdrawal,2007,0.0457,I
343,Agricultural water withdrawal,2012,0.0457,I
344,Agricultural water withdrawal,2017,0.0457,I
345,Agricultural water withdrawal,2018,0.0457,I
346,Irrigation water requirement,1992,0.011,E
347,Irrigation water requirement,1997,0.011,I
348,Irrigation water requirement,2002,0.011,I
349,Irrigation water requirement,2007,0.011,I
350,Irrigation water requirement,2012,0.011,I
351,Irrigation water requirement,2017,0.011,I
352,Irrigation water requirement,2018,0.011,I
353,Irrigation water withdrawal,1992,0.0457,E
354,Irrigation water withdrawal,1997,0.0457,I
355,Irrigation water withdrawal,2002,0.0457,I
356,Irrigation water withdrawal,2007,0.0457,I
357,Irrigation water withdrawal,2012,0.0457,I
358,Irrigation water withdrawal,2017,0.0457,I
359,Irrigation water withdrawal,2018,0.0457,I
360,Municipal water withdrawal,1987,0.026,OF
361,Municipal water withdrawal,1992,0.0527307692,I
362,Municipal water withdrawal,1997,0.0794615385,I
363,Municipal water withdrawal,2002,0.1017,I
364,Municipal water withdrawal,2007,0.111,I
365,Municipal water withdrawal,2012,0.111,I
366,Municipal water withdrawal,2017,0.111,I
367,Municipal water withdrawal,2018,0.111,I
368,Industrial water withdrawal,1987,0.015,OF
369,Industrial water withdrawal,1992,0.0275769231,I
370,Industrial water withdrawal,1997,0.0401538462,I
371,Industrial water withdrawal,2002,0.05082,I
372,Industrial water withdrawal,2007,0.0555,I
373,Industrial water withdrawal,2012,0.0555,I
374,Industrial water withdrawal,2017,0.0555,I
375,Industrial water withdrawal,2018,0.0555,I
376,Total water withdrawal,1987,0.37,E
377,Total water withdrawal,1992,0.1260076923,E
378,Total water withdrawal,1997,0.1653153846,E
379,Total water withdrawal,2002,0.19822,I
380,Total water withdrawal,2007,0.2122,I
381,Total water withdrawal,2012,0.2122,I
382,Total water withdrawal,2017,0.2122,I
383,Total water withdrawal,2018,0.2122,I
384,Total freshwater withdrawal,1987,0.37,E
385,Total freshwater withdrawal,1992,0.1260076923,E
386,Total freshwater withdrawal,1997,0.1653153846,E
387,Total freshwater withdrawal,2002,0.19822,I
388,Total freshwater withdrawal,2007,0.2122,I
389,Total freshwater withdrawal,2012,0.2122,I
390,Total freshwater withdrawal,2017,0.2122,I
391,Total freshwater withdrawal,2018,0.2122,I
404,SDG 6.4.2. Water Stress,1987,0.8644859813,E
405,SDG 6.4.2. Water Stress,1992,0.294410496,E
406,SDG 6.4.2. Water Stress,1997,0.3862508986,E
407,SDG 6.4.2. Water Stress,2002,0.4631308411,E
408,SDG 6.4.2. Water Stress,2007,0.4957943925,E
409,SDG 6.4.2. Water Stress,2012,0.4957943925,E
410,SDG 6.4.2. Water Stress,2017,0.4957943925,E
411,SDG 6.4.2. Water Stress,2018,0.4957943925,E
412,SDG 6.4.1. Water Use Efficiency,1992,10.6662285868,I
413,SDG 6.4.1. Water Use Efficiency,1997,4.8528462987,I
414,SDG 6.4.1. Water Use Efficiency,2002,5.4527839201,I
415,SDG 6.4.1. Water Use Efficiency,2007,6.3284398606,I
416,SDG 6.4.1. Water Use Efficiency,2012,9.4140474749,I
417,SDG 6.4.1. Water Use Efficiency,2016,8.4361155892,I
418,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,0.1472892476,E
419,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.0883296456,E
420,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.0716259003,E
421,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.0802910865,E
422,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.0950405505,E
423,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.1083462186,E
424,SDG 6.4.1. Industrial Water Use Efficiency,1987,31.487937235,E
425,SDG 6.4.1. Industrial Water Use Efficiency,1992,7.8922519494,E
426,SDG 6.4.1. Industrial Water Use Efficiency,1997,3.26831068,E
427,SDG 6.4.1. Industrial Water Use Efficiency,2002,3.531035914,E
428,SDG 6.4.1. Industrial Water Use Efficiency,2007,5.0666086206,E
429,SDG 6.4.1. Industrial Water Use Efficiency,2012,10.9109469844,E
430,SDG 6.4.1. Industrial Water Use Efficiency,2016,5.3300653852,E
431,SDG 6.4.1. Services Water Use Efficiency,1987,45.2088355717,E
432,SDG 6.4.1. Services Water Use Efficiency,1992,21.2333656924,E
433,SDG 6.4.1. Services Water Use Efficiency,1997,8.3937242624,E
434,SDG 6.4.1. Services Water Use Efficiency,2002,8.8311728599,E
435,SDG 6.4.1. Services Water Use Efficiency,2007,9.5317915075,E
436,SDG 6.4.1. Services Water Use Efficiency,2012,12.5023420125,E
437,SDG 6.4.1. Services Water Use Efficiency,2016,13.4177808735,E
438,Harvested irrigated temporary crop area: Sugarcane,1987,2.72,I
439,Harvested irrigated temporary crop area: Sugarcane,1991,1.0,OF
440,Harvested irrigated temporary crop area: Sugarcane,1997,0.5,I
441,Harvested irrigated temporary crop area: Sugarcane,2002,0.5,I
442,Harvested irrigated temporary crop area: Sugarcane,2007,0.5,I
443,Harvested irrigated temporary crop area: Sugarcane,2012,0.5,I
444,Harvested irrigated temporary crop area: Sugarcane,2017,0.5,I
445,Harvested irrigated temporary crop area: Sugarcane,2018,0.5,I
446,Harvested irrigated temporary crop area: Vegetables,1997,0.5,I
447,Harvested irrigated temporary crop area: Vegetables,2002,0.5,I
448,Harvested irrigated temporary crop area: Vegetables,2007,0.5,I
449,Harvested irrigated temporary crop area: Vegetables,2012,0.5,I
450,Harvested irrigated temporary crop area: Vegetables,2017,0.5,I
451,Harvested irrigated temporary crop area: Vegetables,2018,0.5,I
