Canada,Variable Name,Year,Value,Symbol
264,Total renewable water resources per capita,2002,93077.6676045102,E
265,Total renewable water resources per capita,2007,88124.2037468031,E
266,Total renewable water resources per capita,2012,83099.4074513996,E
267,Total renewable water resources per capita,2017,79004.4782362672,E
268,Total renewable water resources per capita,2018,78274.6941150647,E
269,Total agricultural water managed area,2007,1218.0,I
270,Total agricultural water managed area,2012,1218.0,I
271,Total agricultural water managed area,2017,1218.0,I
272,Total agricultural water managed area,2018,1218.0,I
273,Area equipped for irrigation: total,2007,1218.0,I
274,Area equipped for irrigation: total,2012,1218.0,I
275,Area equipped for irrigation: total,2017,1218.0,I
276,Area equipped for irrigation: total,2018,1218.0,I
277,% of agricultural GVA produced by irrigated agriculture,2007,4.3726139145,E
278,% of agricultural GVA produced by irrigated agriculture,2012,3.6426888256,E
279,% of agricultural GVA produced by irrigated agriculture,2017,3.6086549752,E
280,Ratio between rainfed and irrigated yields,1962,2.065,E
281,Ratio between rainfed and irrigated yields,1967,2.065,E
282,Ratio between rainfed and irrigated yields,1972,2.065,E
283,Ratio between rainfed and irrigated yields,1977,2.065,E
284,Ratio between rainfed and irrigated yields,1982,2.065,E
285,Ratio between rainfed and irrigated yields,1987,2.065,E
286,Ratio between rainfed and irrigated yields,1992,2.065,E
287,Ratio between rainfed and irrigated yields,1997,2.065,E
288,Ratio between rainfed and irrigated yields,2002,2.065,E
289,Ratio between rainfed and irrigated yields,2007,2.065,I
290,Ratio between rainfed and irrigated yields,2012,2.065,E
291,Ratio between rainfed and irrigated yields,2017,2.065,I
292,Ratio between rainfed and irrigated yields,2018,2.065,I
293,Agricultural water withdrawal as % of total renewable water resources,1992,0.1383046175,I
294,Agricultural water withdrawal as % of total renewable water resources,1997,0.1358373535,I
295,Agricultural water withdrawal as % of total renewable water resources,2002,0.1079255686,I
296,Agricultural water withdrawal as % of total renewable water resources,2007,0.0800137836,E
297,Agricultural water withdrawal as % of total renewable water resources,2012,0.1345623708,I
298,Agricultural water withdrawal as % of total renewable water resources,2017,0.0909372846,I
299,Agricultural water withdrawal as % of total renewable water resources,2018,0.0909372846,I
300,Agricultural water withdrawal,1992,4.0136,I
301,Agricultural water withdrawal,1997,3.942,I
302,Agricultural water withdrawal,2002,3.132,I
303,Agricultural water withdrawal,2007,2.322,X
304,Agricultural water withdrawal,2012,3.905,I
305,Agricultural water withdrawal,2017,2.639,I
306,Agricultural water withdrawal,2018,2.639,I
307,Irrigation water requirement,2012,2.544,I
308,Irrigation water requirement,2017,2.544,I
309,Irrigation water requirement,2018,2.544,I
310,Irrigation water withdrawal,1992,3.3236,I
311,Irrigation water withdrawal,1997,3.9105,I
312,Irrigation water withdrawal,2002,4.233,I
313,Irrigation water withdrawal,2007,4.5555,I
314,Irrigation water withdrawal,2012,3.2205,I
315,Irrigation water withdrawal,2015,1.458,OF
316,Municipal water withdrawal,1992,5.1218,I
317,Municipal water withdrawal,1997,5.307,I
318,Municipal water withdrawal,2002,5.6196666667,I
319,Municipal water withdrawal,2007,5.878,X
320,Municipal water withdrawal,2012,5.0785,I
321,Municipal water withdrawal,2016,4.9545,I
322,Municipal water withdrawal,2018,4.888,I
323,Industrial water withdrawal,1992,35.382,I
324,Industrial water withdrawal,1997,32.575,I
325,Industrial water withdrawal,2002,32.0128571429,I
326,Industrial water withdrawal,2007,33.12,X
327,Industrial water withdrawal,2009,31.1000968054,I
328,Total water withdrawal,1987,42.7786,I
329,Total water withdrawal,1992,44.5174,I
330,Total water withdrawal,1997,41.824,E
331,Total water withdrawal,2002,40.7645238095,E
332,Total water withdrawal,2007,41.32,E
333,Total water withdrawal,2009,38.8,X
334,Fresh surface water withdrawal,1992,43.316,I
335,Fresh surface water withdrawal,1997,40.2623557453,I
336,Fresh surface water withdrawal,2002,39.8741344716,I
337,Fresh surface water withdrawal,2007,39.485913198,I
338,Fresh surface water withdrawal,2012,34.824799223,I
339,Fresh surface water withdrawal,2017,34.0220321717,I
340,Fresh surface water withdrawal,2018,34.0220321717,I
341,Fresh groundwater withdrawal,1992,1.199,I
342,Fresh groundwater withdrawal,1997,1.8673988002,I
343,Fresh groundwater withdrawal,2002,1.8493928011,I
344,Fresh groundwater withdrawal,2007,1.831386802,I
345,Fresh groundwater withdrawal,2012,1.615200777,I
346,Fresh groundwater withdrawal,2017,1.5779678283,I
347,Fresh groundwater withdrawal,2018,1.5779678283,I
348,Total freshwater withdrawal,1987,42.7786,E
349,Total freshwater withdrawal,1992,44.515,I
350,Total freshwater withdrawal,1997,42.1297545455,I
351,Total freshwater withdrawal,2002,41.7235272727,I
352,Total freshwater withdrawal,2007,41.3173,E
353,Total freshwater withdrawal,2012,36.44,I
354,Total freshwater withdrawal,2016,35.665,I
355,Total freshwater withdrawal,2018,35.6,I
356,Desalinated water produced,1992,0.0027,I
357,Desalinated water produced,1997,0.0027,I
358,Desalinated water produced,2002,0.0027,I
359,Desalinated water produced,2007,0.0027,E
360,Desalinated water produced,2012,0.0027,I
361,Desalinated water produced,2017,0.0027,I
362,Desalinated water produced,2018,0.0027,I
363,Produced municipal wastewater,2007,6.1476666667,I
364,Produced municipal wastewater,2012,6.1515,I
365,Produced municipal wastewater,2016,5.807,OF
366,Produced municipal wastewater,2018,6.074,I
367,Collected municipal wastewater,2007,5.4683333333,I
368,Collected municipal wastewater,2012,5.67,I
369,Collected municipal wastewater,2016,5.673,OF
370,Collected municipal wastewater,2018,5.91,I
371,Not treated municipal wastewater,2007,0.7956666667,I
372,Not treated municipal wastewater,2012,0.981,I
373,Not treated municipal wastewater,2017,0.981,I
374,Not treated municipal wastewater,2018,0.981,I
375,Treated municipal wastewater,2007,5.352,I
376,Treated municipal wastewater,2012,5.528,I
377,Treated municipal wastewater,2016,5.574,OF
378,Treated municipal wastewater,2018,5.804,I
391,SDG 6.4.2. Water Stress,1987,4.4055818744,E
392,SDG 6.4.2. Water Stress,1992,4.5844490216,E
393,SDG 6.4.2. Water Stress,1997,4.3388006741,E
394,SDG 6.4.2. Water Stress,2002,4.2969647037,E
395,SDG 6.4.2. Water Stress,2007,4.2551287333,E
396,SDG 6.4.2. Water Stress,2012,3.7528321318,E
397,SDG 6.4.2. Water Stress,2017,3.666323378,E
398,SDG 6.4.2. Water Stress,2018,3.666323378,E
399,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.3707372373,E
400,SDG 6.4.1. Services Water Use Efficiency,2015,215.3893646684,E
401,Harvested irrigated temporary crop area: Other cereals,2012,465.4,I
402,Harvested irrigated temporary crop area: Other cereals,2017,465.4,I
403,Harvested irrigated temporary crop area: Other cereals,2018,465.4,I
404,Harvested irrigated temporary crop area: Vegetables,2012,36.42,I
405,Harvested irrigated temporary crop area: Vegetables,2017,36.42,I
406,Harvested irrigated temporary crop area: Vegetables,2018,36.42,I
407,Harvested irrigated temporary crop area: Fodder,2012,222.7,I
408,Harvested irrigated temporary crop area: Fodder,2017,222.7,I
409,Harvested irrigated temporary crop area: Fodder,2018,222.7,I
410,Harvested irrigated temporary crop area: Other crops,2012,13.7,I
411,Harvested irrigated temporary crop area: Other crops,2017,13.7,I
412,Harvested irrigated temporary crop area: Other crops,2018,13.7,I
