Fiji,Variable Name,Year,Value,Symbol
72,Gross Domestic Product (GDP),1977,720506458.0,X
73,Gross Domestic Product (GDP),1982,1195479141.0,X
74,Gross Domestic Product (GDP),1987,1179610080.0,X
75,Gross Domestic Product (GDP),1992,1535316486.0,X
76,Gross Domestic Product (GDP),1997,2123496140.0,X
77,Gross Domestic Product (GDP),2002,1867106046.0,X
78,Gross Domestic Product (GDP),2007,3378287465.0,X
79,Gross Domestic Product (GDP),2012,3972027667.0,X
80,Gross Domestic Product (GDP),2013,4189863717.0,X
81,GDP per capita,1972,583.593693,X
82,GDP per capita,1977,1204.338686,X
83,GDP per capita,1982,1789.109128,X
84,GDP per capita,1987,1634.431508,X
85,GDP per capita,1992,2062.125668,X
86,GDP per capita,1997,2678.273768,X
87,GDP per capita,2002,2288.98694,X
88,GDP per capita,2007,4046.764379,X
89,GDP per capita,2012,4546.755785,X
90,GDP per capita,2017,5912.155229,X
91,GDP per capita,2018,6069.463297,X
92,"Agriculture, value added (% GDP)",1967,29.58,X
93,"Agriculture, value added (% GDP)",1972,23.336818,X
94,"Agriculture, value added (% GDP)",1977,22.147717,X
95,"Agriculture, value added (% GDP)",1982,19.280974,X
96,"Agriculture, value added (% GDP)",1987,21.653973,X
97,"Agriculture, value added (% GDP)",1992,17.231975,X
98,"Agriculture, value added (% GDP)",1997,14.303977,X
99,"Agriculture, value added (% GDP)",2002,12.775442,X
100,"Agriculture, value added (% GDP)",2007,12.339061,X
101,"Agriculture, value added (% GDP)",2012,9.675895,X
102,"Agriculture, value added (% GDP)",2013,10.114263,X
103,"Agriculture, value added to GDP",1967,43143106.0,X
104,"Agriculture, value added to GDP",1969,44373285.0,X
105,Prevalence of undernourishment (3-year average),1992,6.6,X
106,Prevalence of undernourishment (3-year average),1997,5.4,X
107,Prevalence of undernourishment (3-year average),2002,4.0,X
108,Prevalence of undernourishment (3-year average),2012,3.8,X
109,Total population with access to safe drinking-water (JMP),1992,86.7,X
110,Total population with access to safe drinking-water (JMP),1997,89.3,X
111,Total population with access to safe drinking-water (JMP),2002,91.6,X
112,Total population with access to safe drinking-water (JMP),2007,93.8,X
113,Total population with access to safe drinking-water (JMP),2012,95.6,X
114,Total population with access to safe drinking-water (JMP),2017,95.7,I
115,Total population with access to safe drinking-water (JMP),2018,95.7,I
116,Long-term average annual precipitation in volume,1962,47.35584,E
117,Long-term average annual precipitation in volume,1967,47.35584,E
118,Long-term average annual precipitation in volume,1972,47.35584,E
119,Long-term average annual precipitation in volume,1977,47.35584,E
120,Long-term average annual precipitation in volume,1982,47.35584,E
121,Long-term average annual precipitation in volume,1987,47.35584,E
122,Long-term average annual precipitation in volume,1992,47.35584,E
123,Long-term average annual precipitation in volume,1997,47.35584,E
124,Long-term average annual precipitation in volume,2002,47.35584,E
125,Long-term average annual precipitation in volume,2007,47.35584,E
126,Long-term average annual precipitation in volume,2012,47.35584,E
127,Long-term average annual precipitation in volume,2017,47.35584,E
128,Long-term average annual precipitation in volume,2018,47.35584,E
129,Surface water: entering the country (total),1962,0.0,OF
130,Surface water: entering the country (total),1967,0.0,OF
131,Surface water: entering the country (total),1972,0.0,OF
132,Surface water: entering the country (total),1977,0.0,OF
133,Surface water: entering the country (total),1982,0.0,OF
134,Surface water: entering the country (total),1987,0.0,OF
135,Surface water: entering the country (total),1992,0.0,OF
136,Surface water: entering the country (total),1997,0.0,OF
137,Surface water: entering the country (total),2002,0.0,OF
138,Surface water: entering the country (total),2007,0.0,OF
139,Surface water: entering the country (total),2012,0.0,OF
140,Surface water: entering the country (total),2017,0.0,OF
141,Surface water: leaving the country to other countries (total),1962,0.0,OF
142,Surface water: leaving the country to other countries (total),1967,0.0,OF
143,Surface water: leaving the country to other countries (total),1972,0.0,OF
144,Surface water: leaving the country to other countries (total),1977,0.0,OF
145,Surface water: leaving the country to other countries (total),1982,0.0,OF
146,Surface water: leaving the country to other countries (total),1987,0.0,OF
147,Surface water: leaving the country to other countries (total),1992,0.0,OF
148,Surface water: leaving the country to other countries (total),1997,0.0,OF
149,Surface water: leaving the country to other countries (total),2002,0.0,OF
150,Surface water: leaving the country to other countries (total),2007,0.0,OF
151,Surface water: leaving the country to other countries (total),2012,0.0,OF
152,Surface water: leaving the country to other countries (total),2017,0.0,OF
153,Groundwater: entering the country (total),1962,0.0,OF
154,Groundwater: entering the country (total),1967,0.0,OF
155,Groundwater: entering the country (total),1972,0.0,OF
156,Groundwater: entering the country (total),1977,0.0,OF
157,Groundwater: entering the country (total),1982,0.0,OF
158,Groundwater: entering the country (total),1987,0.0,OF
159,Groundwater: entering the country (total),1992,0.0,OF
160,Groundwater: entering the country (total),1997,0.0,OF
161,Groundwater: entering the country (total),2002,0.0,OF
162,Groundwater: entering the country (total),2007,0.0,OF
163,Groundwater: entering the country (total),2012,0.0,OF
164,Groundwater: entering the country (total),2017,0.0,OF
165,Groundwater: leaving the country to other countries (total),1962,0.0,OF
166,Groundwater: leaving the country to other countries (total),1967,0.0,OF
167,Groundwater: leaving the country to other countries (total),1972,0.0,OF
168,Groundwater: leaving the country to other countries (total),1977,0.0,OF
169,Groundwater: leaving the country to other countries (total),1982,0.0,OF
170,Groundwater: leaving the country to other countries (total),1987,0.0,OF
171,Groundwater: leaving the country to other countries (total),1992,0.0,OF
172,Groundwater: leaving the country to other countries (total),1997,0.0,OF
173,Groundwater: leaving the country to other countries (total),2002,0.0,OF
174,Groundwater: leaving the country to other countries (total),2007,0.0,OF
175,Groundwater: leaving the country to other countries (total),2012,0.0,OF
176,Groundwater: leaving the country to other countries (total),2017,0.0,OF
177,Dependency ratio,1962,0.0,E
178,Dependency ratio,1967,0.0,E
179,Dependency ratio,1972,0.0,E
180,Dependency ratio,1977,0.0,E
181,Dependency ratio,1982,0.0,E
182,Dependency ratio,1987,0.0,E
183,Dependency ratio,1992,0.0,E
184,Dependency ratio,1997,0.0,E
185,Dependency ratio,2002,0.0,E
186,Dependency ratio,2007,0.0,E
187,Dependency ratio,2012,0.0,E
188,Dependency ratio,2017,0.0,E
189,Dependency ratio,2018,0.0,E
190,Total internal renewable water resources (IRWR),1962,28.55,E
191,Total internal renewable water resources (IRWR),1967,28.55,E
192,Total internal renewable water resources (IRWR),1972,28.55,E
193,Total internal renewable water resources (IRWR),1977,28.55,E
194,Total internal renewable water resources (IRWR),1982,28.55,E
195,Total internal renewable water resources (IRWR),1987,28.55,E
196,Total internal renewable water resources (IRWR),1992,28.55,E
197,Total internal renewable water resources (IRWR),1997,28.55,E
198,Total internal renewable water resources (IRWR),2002,28.55,E
199,Total internal renewable water resources (IRWR),2007,28.55,E
200,Total internal renewable water resources (IRWR),2012,28.55,E
201,Total internal renewable water resources (IRWR),2017,28.55,E
202,Total internal renewable water resources (IRWR),2018,28.55,E
203,Total internal renewable water resources per capita,1962,67707.7775010968,E
204,Total internal renewable water resources per capita,1967,58506.3762728467,E
205,Total internal renewable water resources per capita,1972,52593.378576534,E
206,Total internal renewable water resources per capita,1977,47718.8548811959,E
207,Total internal renewable water resources per capita,1982,42721.6136948584,E
208,Total internal renewable water resources per capita,1987,39554.8246495138,E
209,Total internal renewable water resources per capita,1992,38349.4813081539,E
210,Total internal renewable water resources per capita,1997,36014.5117668429,E
211,Total internal renewable water resources per capita,2002,35019.631846154,E
212,Total internal renewable water resources per capita,2007,34142.9579401811,E
213,Total internal renewable water resources per capita,2012,33003.1477257884,E
214,Total internal renewable water resources per capita,2017,32537.1327891104,E
215,Total internal renewable water resources per capita,2018,32315.2794111488,E
216,Total renewable surface water,1962,28.55,E
217,Total renewable surface water,1967,28.55,E
218,Total renewable surface water,1972,28.55,E
219,Total renewable surface water,1977,28.55,E
220,Total renewable surface water,1982,28.55,E
221,Total renewable surface water,1987,28.55,E
222,Total renewable surface water,1992,28.55,E
223,Total renewable surface water,1997,28.55,E
224,Total renewable surface water,2002,28.55,E
225,Total renewable surface water,2007,28.55,E
226,Total renewable surface water,2012,28.55,E
227,Total renewable surface water,2017,28.55,E
228,Total renewable surface water,2018,28.55,E
229,Total renewable groundwater,1962,5.273,E
230,Total renewable groundwater,1967,5.273,E
231,Total renewable groundwater,1972,5.273,E
232,Total renewable groundwater,1977,5.273,E
233,Total renewable groundwater,1982,5.273,E
234,Total renewable groundwater,1987,5.273,E
235,Total renewable groundwater,1992,5.273,E
236,Total renewable groundwater,1997,5.273,E
237,Total renewable groundwater,2002,5.273,E
238,Total renewable groundwater,2007,5.273,E
239,Total renewable groundwater,2012,5.273,E
240,Total renewable groundwater,2017,5.273,E
241,Total renewable groundwater,2018,5.273,E
242,Water resources: total external renewable,1962,0.0,E
243,Water resources: total external renewable,1967,0.0,E
244,Water resources: total external renewable,1972,0.0,E
245,Water resources: total external renewable,1977,0.0,E
246,Water resources: total external renewable,1982,0.0,E
247,Water resources: total external renewable,1987,0.0,E
248,Water resources: total external renewable,1992,0.0,E
249,Water resources: total external renewable,1997,0.0,E
250,Water resources: total external renewable,2002,0.0,E
251,Water resources: total external renewable,2007,0.0,E
252,Water resources: total external renewable,2012,0.0,E
253,Water resources: total external renewable,2017,0.0,E
254,Water resources: total external renewable,2018,0.0,E
255,Total renewable water resources,1962,28.55,E
256,Total renewable water resources,1967,28.55,E
257,Total renewable water resources,1972,28.55,E
258,Total renewable water resources,1977,28.55,E
259,Total renewable water resources,1982,28.55,E
260,Total renewable water resources,1987,28.55,E
261,Total renewable water resources,1992,28.55,E
262,Total renewable water resources,1997,28.55,E
263,Total renewable water resources,2002,28.55,E
264,Total renewable water resources,2007,28.55,E
265,Total renewable water resources,2012,28.55,E
266,Total renewable water resources,2017,28.55,E
267,Total renewable water resources,2018,28.55,E
268,Total renewable water resources per capita,1962,67707.7775010968,E
269,Total renewable water resources per capita,1967,58506.3762728467,E
270,Total renewable water resources per capita,1972,52593.378576534,E
271,Total renewable water resources per capita,1977,47718.8548811959,E
272,Total renewable water resources per capita,1982,42721.6136948584,E
273,Total renewable water resources per capita,1987,39554.8246495138,E
274,Total renewable water resources per capita,1992,38349.4813081539,E
275,Total renewable water resources per capita,1997,36014.5117668429,E
276,Total renewable water resources per capita,2002,35019.631846154,E
277,Total renewable water resources per capita,2007,34142.9579401811,E
278,Total renewable water resources per capita,2012,33003.1477257884,E
279,Total renewable water resources per capita,2017,32537.1327891104,E
280,Total renewable water resources per capita,2018,32315.2794111488,E
281,Total agricultural water managed area,2002,3.8,I
282,Total agricultural water managed area,2007,4.0,I
283,Total agricultural water managed area,2012,4.0,I
284,Total agricultural water managed area,2017,4.0,I
285,Total agricultural water managed area,2018,4.0,I
286,Area equipped for irrigation: total,2002,3.8,I
287,Area equipped for irrigation: total,2007,4.0,I
288,Area equipped for irrigation: total,2012,4.0,I
289,Area equipped for irrigation: total,2017,4.0,I
290,Area equipped for irrigation: total,2018,4.0,I
291,% of agricultural GVA produced by irrigated agriculture,2007,2.7877951645,E
292,% of agricultural GVA produced by irrigated agriculture,2012,2.8098233193,E
293,% of agricultural GVA produced by irrigated agriculture,2017,2.8098233193,E
294,% of agricultural GVA produced by irrigated agriculture,2018,2.8098233193,E
296,Ratio between rainfed and irrigated yields,1966,1.778,I
297,Ratio between rainfed and irrigated yields,1971,1.778,I
298,Ratio between rainfed and irrigated yields,1976,1.778,I
299,Ratio between rainfed and irrigated yields,1981,1.778,I
300,Ratio between rainfed and irrigated yields,1986,1.778,I
301,Ratio between rainfed and irrigated yields,1991,1.778,I
302,Ratio between rainfed and irrigated yields,1996,1.778,I
303,Ratio between rainfed and irrigated yields,2001,1.778,I
304,Ratio between rainfed and irrigated yields,2007,1.778,I
305,Ratio between rainfed and irrigated yields,2011,1.778,I
306,Ratio between rainfed and irrigated yields,2017,1.778,I
307,Ratio between rainfed and irrigated yields,2018,1.778,I
308,Agricultural water withdrawal as % of total renewable water resources,1987,0.0630472855,E
309,Agricultural water withdrawal as % of total renewable water resources,1992,0.1061565405,E
310,Agricultural water withdrawal as % of total renewable water resources,1997,0.1492657955,E
311,Agricultural water withdrawal as % of total renewable water resources,2002,0.1751313485,E
312,Agricultural water withdrawal as % of total renewable water resources,2007,0.1751313485,I
313,Agricultural water withdrawal as % of total renewable water resources,2012,0.1751313485,I
314,Agricultural water withdrawal as % of total renewable water resources,2017,0.1751313485,I
315,Agricultural water withdrawal as % of total renewable water resources,2018,0.1751313485,I
316,Agricultural water withdrawal,1987,0.018,OF
317,Agricultural water withdrawal,1992,0.0303076923,I
318,Agricultural water withdrawal,1997,0.0426153846,I
319,Agricultural water withdrawal,2002,0.05,I
320,Agricultural water withdrawal,2007,0.05,I
321,Agricultural water withdrawal,2012,0.05,I
322,Agricultural water withdrawal,2017,0.05,I
323,Agricultural water withdrawal,2018,0.05,I
324,Municipal water withdrawal,1987,0.006,OF
325,Municipal water withdrawal,1992,0.0125,I
326,Municipal water withdrawal,1997,0.019,I
327,Municipal water withdrawal,2002,0.02386,I
328,Municipal water withdrawal,2007,0.0253,I
329,Municipal water withdrawal,2012,0.0253,I
330,Municipal water withdrawal,2017,0.0253,I
331,Municipal water withdrawal,2018,0.0253,I
332,Industrial water withdrawal,1987,0.006,OF
333,Industrial water withdrawal,1992,0.0070769231,I
334,Industrial water withdrawal,1997,0.0081538462,I
335,Industrial water withdrawal,2002,0.00912,I
336,Industrial water withdrawal,2007,0.0096,I
337,Industrial water withdrawal,2012,0.0096,I
338,Industrial water withdrawal,2017,0.0096,I
339,Industrial water withdrawal,2018,0.0096,I
340,Total water withdrawal,1987,0.03,E
341,Total water withdrawal,1992,0.0498846154,I
342,Total water withdrawal,1997,0.0697692308,I
343,Total water withdrawal,2002,0.08298,I
344,Total water withdrawal,2007,0.0849,I
345,Total water withdrawal,2012,0.0849,I
346,Total water withdrawal,2017,0.0849,I
347,Total water withdrawal,2018,0.0849,I
348,Total freshwater withdrawal,1987,0.03,E
349,Total freshwater withdrawal,1992,0.0498846154,I
350,Total freshwater withdrawal,1997,0.0697692308,I
351,Total freshwater withdrawal,2002,0.08298,I
352,Total freshwater withdrawal,2007,0.0849,I
353,Total freshwater withdrawal,2012,0.0849,I
354,Total freshwater withdrawal,2017,0.0849,I
355,Total freshwater withdrawal,2018,0.0849,I
356,SDG 6.4.2. Water Stress,1987,0.1050788091,E
357,SDG 6.4.2. Water Stress,1992,0.1747271992,E
358,SDG 6.4.2. Water Stress,1997,0.2443755894,E
359,SDG 6.4.2. Water Stress,2002,0.290647986,E
360,SDG 6.4.2. Water Stress,2007,0.2973730298,I
361,SDG 6.4.2. Water Stress,2012,0.2973730298,I
362,SDG 6.4.2. Water Stress,2017,0.2973730298,I
363,SDG 6.4.2. Water Stress,2018,0.2973730298,I
364,SDG 6.4.1. Water Use Efficiency,2015,38.4224582671,I
365,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.2071336576,E
366,SDG 6.4.1. Industrial Water Use Efficiency,2015,66.2371391667,E
367,SDG 6.4.1. Services Water Use Efficiency,2015,103.3926279842,E
