Bangladesh,Variable Name,Year,Value,Symbol
352,Industrial water withdrawal,1997,0.5011111111,I
353,Industrial water withdrawal,2002,0.6233333333,I
354,Industrial water withdrawal,2007,0.7455555556,I
355,Industrial water withdrawal,2012,0.77,I
356,Industrial water withdrawal,2017,0.77,I
357,Industrial water withdrawal,2018,0.77,I
358,Total water withdrawal,2012,35.87,I
359,Total water withdrawal,2017,35.87,I
360,Total water withdrawal,2018,35.87,I
361,Fresh surface water withdrawal,2012,7.39,I
362,Fresh surface water withdrawal,2017,7.39,I
363,Fresh surface water withdrawal,2018,7.39,I
364,Fresh groundwater withdrawal,2012,28.48,I
365,Fresh groundwater withdrawal,2017,28.48,I
366,Fresh groundwater withdrawal,2018,28.48,I
367,Total freshwater withdrawal,2012,35.87,I
368,Total freshwater withdrawal,2017,35.87,I
369,Total freshwater withdrawal,2018,35.87,I
370,Produced municipal wastewater,2002,0.725,I
371,Produced municipal wastewater,2007,0.725,I
372,Produced municipal wastewater,2012,0.725,I
373,Produced municipal wastewater,2017,0.725,I
374,Produced municipal wastewater,2018,0.725,I
387,SDG 6.4.2. Water Stress,2012,5.7233394816,E
388,SDG 6.4.2. Water Stress,2017,5.7233394816,E
389,SDG 6.4.2. Water Stress,2018,5.7233394816,E
390,SDG 6.4.1. Water Use Efficiency,2012,4.127227605,I
391,SDG 6.4.1. Water Use Efficiency,2015,5.0683698733,I
392,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.6567599999,E
393,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.7164898036,E
394,SDG 6.4.1. Industrial Water Use Efficiency,1987,37.5437621279,E
395,SDG 6.4.1. Industrial Water Use Efficiency,1992,29.6721422677,E
396,SDG 6.4.1. Industrial Water Use Efficiency,1997,31.7263806762,E
397,SDG 6.4.1. Industrial Water Use Efficiency,2002,34.8525466908,E
398,SDG 6.4.1. Industrial Water Use Efficiency,2007,38.3077986202,E
399,SDG 6.4.1. Industrial Water Use Efficiency,2012,50.5187964995,E
400,SDG 6.4.1. Industrial Water Use Efficiency,2015,64.4532448597,E
401,SDG 6.4.1. Services Water Use Efficiency,1987,29.4939324951,E
402,SDG 6.4.1. Services Water Use Efficiency,1992,13.968380072,E
403,SDG 6.4.1. Services Water Use Efficiency,1997,13.9199405221,E
404,SDG 6.4.1. Services Water Use Efficiency,2002,15.2835464154,E
405,SDG 6.4.1. Services Water Use Efficiency,2007,18.7862945757,E
406,SDG 6.4.1. Services Water Use Efficiency,2012,24.5711780247,E
407,SDG 6.4.1. Services Water Use Efficiency,2015,30.4455555556,E
408,Area salinized by irrigation,1992,100.0,I
409,Area salinized by irrigation,1997,100.0,I
410,Area salinized by irrigation,2002,100.0,I
411,Area salinized by irrigation,2007,100.0,I
412,Area salinized by irrigation,2012,100.0,I
413,Area salinized by irrigation,2017,100.0,I
414,Area salinized by irrigation,2018,100.0,I
415,Area waterlogged by irrigation,1997,770.0,I
416,Area waterlogged by irrigation,2002,770.0,I
417,Area waterlogged by irrigation,2007,770.0,I
418,Area waterlogged by irrigation,2012,770.0,I
419,Area waterlogged by irrigation,2017,770.0,I
420,Area waterlogged by irrigation,2018,770.0,I
421,Harvested irrigated temporary crop area: Wheat,1982,194.15,I
422,Harvested irrigated temporary crop area: Wheat,1987,263.6,OF
423,Harvested irrigated temporary crop area: Wheat,1992,277.8666666667,I
424,Harvested irrigated temporary crop area: Wheat,1997,278.1142857143,I
425,Harvested irrigated temporary crop area: Wheat,2002,293.9714285714,I
426,Harvested irrigated temporary crop area: Wheat,2007,309.8285714286,I
427,Harvested irrigated temporary crop area: Wheat,2012,313.0,I
428,Harvested irrigated temporary crop area: Wheat,2017,313.0,I
429,Harvested irrigated temporary crop area: Wheat,2018,313.0,I
430,Harvested irrigated temporary crop area: Rice,1982,1339.0,OF
431,Harvested irrigated temporary crop area: Rice,1987,1414.0,OF
432,Harvested irrigated temporary crop area: Rice,1992,2553.3333333333,I
433,Harvested irrigated temporary crop area: Rice,1997,3039.0714285714,I
434,Harvested irrigated temporary crop area: Rice,2002,3630.8571428571,I
435,Harvested irrigated temporary crop area: Rice,2007,4222.6428571429,I
436,Harvested irrigated temporary crop area: Rice,2012,4341.0,I
437,Harvested irrigated temporary crop area: Rice,2017,4341.0,I
438,Harvested irrigated temporary crop area: Rice,2018,4341.0,I
439,Harvested irrigated temporary crop area: Barley,2012,0.81,I
440,Harvested irrigated temporary crop area: Barley,2017,0.81,I
441,Harvested irrigated temporary crop area: Barley,2018,0.81,I
442,Harvested irrigated temporary crop area: Maize,2012,90.0,I
443,Harvested irrigated temporary crop area: Maize,2017,90.0,I
444,Harvested irrigated temporary crop area: Maize,2018,90.0,I
445,Harvested irrigated temporary crop area: Millet,2012,0.4,I
446,Harvested irrigated temporary crop area: Millet,2017,0.4,I
447,Harvested irrigated temporary crop area: Millet,2018,0.4,I
448,Harvested irrigated temporary crop area: Sorghum,2012,0.1,I
449,Harvested irrigated temporary crop area: Sorghum,2017,0.1,I
450,Harvested irrigated temporary crop area: Sorghum,2018,0.1,I
451,Harvested irrigated temporary crop area: Other cereals,2012,25.0,I
452,Harvested irrigated temporary crop area: Other cereals,2017,25.0,I
453,Harvested irrigated temporary crop area: Other cereals,2018,25.0,I
454,Harvested irrigated temporary crop area: Potatoes,2012,263.0,I
455,Harvested irrigated temporary crop area: Potatoes,2017,263.0,I
456,Harvested irrigated temporary crop area: Potatoes,2018,263.0,I
457,Harvested irrigated temporary crop area: Sugarcane,1997,19.0671428571,I
458,Harvested irrigated temporary crop area: Sugarcane,2002,29.9457142857,I
459,Harvested irrigated temporary crop area: Sugarcane,2007,40.8242857143,I
460,Harvested irrigated temporary crop area: Sugarcane,2012,43.0,I
461,Harvested irrigated temporary crop area: Sugarcane,2017,43.0,I
462,Harvested irrigated temporary crop area: Sugarcane,2018,43.0,I
463,Harvested irrigated temporary crop area: Leguminous crops,2012,156.0,I
464,Harvested irrigated temporary crop area: Leguminous crops,2017,156.0,I
465,Harvested irrigated temporary crop area: Leguminous crops,2018,156.0,I
466,Harvested irrigated temporary crop area: Vegetables,2012,236.0,I
467,Harvested irrigated temporary crop area: Vegetables,2017,236.0,I
468,Harvested irrigated temporary crop area: Vegetables,2018,236.0,I
469,Harvested irrigated permanent crop area: Tea,2012,40.0,I
470,Harvested irrigated permanent crop area: Tea,2017,40.0,I
471,Harvested irrigated permanent crop area: Tea,2018,40.0,I
472,Harvested irrigated temporary crop area: Tobacco,2012,18.0,I
473,Harvested irrigated temporary crop area: Tobacco,2017,18.0,I
474,Harvested irrigated temporary crop area: Tobacco,2018,18.0,I
475,Harvested irrigated temporary crop area: Cotton,2012,6.5,I
476,Harvested irrigated temporary crop area: Cotton,2017,6.5,I
477,Harvested irrigated temporary crop area: Cotton,2018,6.5,I
478,Harvested irrigated temporary crop area: Sesame,2012,30.0,I
479,Harvested irrigated temporary crop area: Sesame,2017,30.0,I
480,Harvested irrigated temporary crop area: Sesame,2018,30.0,I
481,Harvested irrigated temporary crop area: Other crops,1997,174.3571428571,I
482,Harvested irrigated temporary crop area: Other crops,2002,283.2857142857,I
483,Harvested irrigated temporary crop area: Other crops,2007,392.2142857143,I
484,Harvested irrigated temporary crop area: Other crops,2012,414.0,I
485,Harvested irrigated temporary crop area: Other crops,2017,414.0,I
486,Harvested irrigated temporary crop area: Other crops,2018,414.0,I
487,Harvested irrigated permanent crop area: Other crops,1997,89.13,I
488,Harvested irrigated permanent crop area: Other crops,2002,89.13,I
489,Harvested irrigated permanent crop area: Other crops,2007,89.13,I
490,Harvested irrigated permanent crop area: Other crops,2012,89.13,I
491,Harvested irrigated permanent crop area: Other crops,2017,89.13,I
492,Harvested irrigated permanent crop area: Other crops,2018,89.13,I
