Marshall Islands,Variable Name,Year,Value,Symbol
131,Groundwater: leaving the country to other countries (total),1982,0.0,OF
132,Groundwater: leaving the country to other countries (total),1987,0.0,OF
133,Groundwater: leaving the country to other countries (total),1992,0.0,OF
134,Groundwater: leaving the country to other countries (total),1997,0.0,OF
135,Groundwater: leaving the country to other countries (total),2002,0.0,OF
136,Groundwater: leaving the country to other countries (total),2007,0.0,OF
137,Groundwater: leaving the country to other countries (total),2012,0.0,OF
138,Groundwater: leaving the country to other countries (total),2017,0.0,OF
139,Dependency ratio,1962,0.0,OF
140,Dependency ratio,1967,0.0,OF
141,Dependency ratio,1972,0.0,OF
142,Dependency ratio,1977,0.0,OF
143,Dependency ratio,1982,0.0,OF
144,Dependency ratio,1987,0.0,OF
145,Dependency ratio,1992,0.0,OF
146,Dependency ratio,1997,0.0,OF
147,Dependency ratio,2002,0.0,OF
148,Dependency ratio,2007,0.0,OF
149,Dependency ratio,2012,0.0,OF
150,Dependency ratio,2017,0.0,OF
151,Total renewable surface water,1962,0.0,E
152,Total renewable surface water,1967,0.0,E
153,Total renewable surface water,1972,0.0,E
154,Total renewable surface water,1977,0.0,E
155,Total renewable surface water,1982,0.0,E
156,Total renewable surface water,1987,0.0,E
157,Total renewable surface water,1992,0.0,E
158,Total renewable surface water,1997,0.0,E
159,Total renewable surface water,2002,0.0,E
160,Total renewable surface water,2007,0.0,E
161,Total renewable surface water,2012,0.0,E
162,Total renewable surface water,2017,0.0,E
163,Total renewable surface water,2018,0.0,E
164,Total renewable groundwater,1962,0.0,E
165,Total renewable groundwater,1967,0.0,E
166,Total renewable groundwater,1972,0.0,E
167,Total renewable groundwater,1977,0.0,E
168,Total renewable groundwater,1982,0.0,E
169,Total renewable groundwater,1987,0.0,E
170,Total renewable groundwater,1992,0.0,E
171,Total renewable groundwater,1997,0.0,E
172,Total renewable groundwater,2002,0.0,E
173,Total renewable groundwater,2007,0.0,E
174,Total renewable groundwater,2012,0.0,E
175,Total renewable groundwater,2017,0.0,E
176,Total renewable groundwater,2018,0.0,E
177,Water resources: total external renewable,1962,0.0,E
178,Water resources: total external renewable,1967,0.0,E
179,Water resources: total external renewable,1972,0.0,E
180,Water resources: total external renewable,1977,0.0,E
181,Water resources: total external renewable,1982,0.0,E
182,Water resources: total external renewable,1987,0.0,E
183,Water resources: total external renewable,1992,0.0,E
184,Water resources: total external renewable,1997,0.0,E
185,Water resources: total external renewable,2002,0.0,E
186,Water resources: total external renewable,2007,0.0,E
187,Water resources: total external renewable,2012,0.0,E
188,Water resources: total external renewable,2017,0.0,E
189,Water resources: total external renewable,2018,0.0,E
190,Total renewable water resources,1962,0.0,E
191,Total renewable water resources,1967,0.0,E
192,Total renewable water resources,1972,0.0,E
193,Total renewable water resources,1977,0.0,E
194,Total renewable water resources,1982,0.0,E
195,Total renewable water resources,1987,0.0,E
196,Total renewable water resources,1992,0.0,E
197,Total renewable water resources,1997,0.0,E
198,Total renewable water resources,2002,0.0,E
199,Total renewable water resources,2007,0.0,E
200,Total renewable water resources,2012,0.0,E
201,Total renewable water resources,2017,0.0,E
202,Total renewable water resources,2018,0.0,E
203,Total renewable water resources per capita,1962,0.0,E
204,Total renewable water resources per capita,1967,0.0,E
205,Total renewable water resources per capita,1972,0.0,E
206,Total renewable water resources per capita,1977,0.0,E
207,Total renewable water resources per capita,1982,0.0,E
208,Total renewable water resources per capita,1987,0.0,E
209,Total renewable water resources per capita,1992,0.0,E
210,Total renewable water resources per capita,1997,0.0,E
211,Total renewable water resources per capita,2002,0.0,E
212,Total renewable water resources per capita,2007,0.0,E
213,Total renewable water resources per capita,2012,0.0,E
214,Total renewable water resources per capita,2017,0.0,E
215,Total renewable water resources per capita,2018,0.0,E
216,Desalinated water produced,1992,0.0007,I
217,Desalinated water produced,1997,0.0007,I
218,Desalinated water produced,2002,0.0007,I
219,Desalinated water produced,2007,0.0007,I
220,Desalinated water produced,2012,0.0007,I
221,Desalinated water produced,2017,0.0007,I
222,Desalinated water produced,2018,0.0007,I
