El Salvador,Variable Name,Year,Value,Symbol
127,Long-term average annual precipitation in volume,1977,37.53536,E
128,Long-term average annual precipitation in volume,1982,37.53536,E
129,Long-term average annual precipitation in volume,1987,37.53536,E
130,Long-term average annual precipitation in volume,1992,37.53536,E
131,Long-term average annual precipitation in volume,1997,37.53536,E
132,Long-term average annual precipitation in volume,2002,37.53536,E
133,Long-term average annual precipitation in volume,2007,37.53536,E
134,Long-term average annual precipitation in volume,2012,37.53536,E
135,Long-term average annual precipitation in volume,2017,37.53536,E
136,Long-term average annual precipitation in volume,2018,37.53536,E
137,Interannual variability (WRI),2017,1.5,I
138,Interannual variability (WRI),2018,1.5,I
139,Seasonal variability (WRI),2017,3.5,I
140,Seasonal variability (WRI),2018,3.5,I
141,Flood occurrence (WRI),2017,3.8,I
142,Flood occurrence (WRI),2018,3.8,I
154,Surface water: entering the country (total),2017,10.64,OF
155,Surface water: leaving the country to other countries (total),1962,0.0,OF
156,Surface water: leaving the country to other countries (total),1967,0.0,OF
157,Surface water: leaving the country to other countries (total),1972,0.0,OF
158,Surface water: leaving the country to other countries (total),1977,0.0,OF
159,Surface water: leaving the country to other countries (total),1982,0.0,OF
160,Surface water: leaving the country to other countries (total),1987,0.0,OF
161,Surface water: leaving the country to other countries (total),1992,0.0,OF
162,Surface water: leaving the country to other countries (total),1997,0.0,OF
163,Surface water: leaving the country to other countries (total),2002,0.0,OF
164,Surface water: leaving the country to other countries (total),2007,0.0,OF
165,Surface water: leaving the country to other countries (total),2012,0.0,OF
166,Surface water: leaving the country to other countries (total),2017,0.0,OF
167,Groundwater: entering the country (total),1962,0.0,OF
168,Groundwater: entering the country (total),1967,0.0,OF
169,Groundwater: entering the country (total),1972,0.0,OF
170,Groundwater: entering the country (total),1977,0.0,OF
171,Groundwater: entering the country (total),1982,0.0,OF
172,Groundwater: entering the country (total),1987,0.0,OF
173,Groundwater: entering the country (total),1992,0.0,OF
174,Groundwater: entering the country (total),1997,0.0,OF
175,Groundwater: entering the country (total),2002,0.0,OF
176,Groundwater: entering the country (total),2007,0.0,OF
177,Groundwater: entering the country (total),2012,0.0,OF
178,Groundwater: entering the country (total),2017,0.0,OF
179,Groundwater: leaving the country to other countries (total),1962,0.0,OF
180,Groundwater: leaving the country to other countries (total),1967,0.0,OF
181,Groundwater: leaving the country to other countries (total),1972,0.0,OF
182,Groundwater: leaving the country to other countries (total),1977,0.0,OF
183,Groundwater: leaving the country to other countries (total),1982,0.0,OF
184,Groundwater: leaving the country to other countries (total),1987,0.0,OF
185,Groundwater: leaving the country to other countries (total),1992,0.0,OF
186,Groundwater: leaving the country to other countries (total),1997,0.0,OF
187,Groundwater: leaving the country to other countries (total),2002,0.0,OF
188,Groundwater: leaving the country to other countries (total),2007,0.0,OF
189,Groundwater: leaving the country to other countries (total),2012,0.0,OF
190,Groundwater: leaving the country to other countries (total),2017,0.0,OF
191,Dependency ratio,1962,40.5024743053,E
192,Dependency ratio,1967,40.5024743053,E
193,Dependency ratio,1972,40.5024743053,E
194,Dependency ratio,1977,40.5024743053,E
195,Dependency ratio,1982,40.5024743053,E
196,Dependency ratio,1987,40.5024743053,E
197,Dependency ratio,1992,40.5024743053,E
198,Dependency ratio,1997,40.5024743053,E
199,Dependency ratio,2002,40.5024743053,E
200,Dependency ratio,2007,40.5024743053,E
201,Dependency ratio,2012,40.5024743053,E
202,Dependency ratio,2017,40.5024743053,E
203,Dependency ratio,2018,40.5024743053,E
204,Total internal renewable water resources (IRWR),1962,15.63,E
205,Total internal renewable water resources (IRWR),1967,15.63,E
206,Total internal renewable water resources (IRWR),1972,15.63,E
207,Total internal renewable water resources (IRWR),1977,15.63,E
208,Total internal renewable water resources (IRWR),1982,15.63,E
209,Total internal renewable water resources (IRWR),1987,15.63,E
210,Total internal renewable water resources (IRWR),1992,15.63,E
211,Total internal renewable water resources (IRWR),1997,15.63,E
212,Total internal renewable water resources (IRWR),2002,15.63,E
213,Total internal renewable water resources (IRWR),2007,15.63,E
214,Total internal renewable water resources (IRWR),2012,15.63,E
215,Total internal renewable water resources (IRWR),2017,15.63,E
216,Total internal renewable water resources (IRWR),2018,15.63,E
217,Total internal renewable water resources per capita,1962,5332.301671129,E
218,Total internal renewable water resources per capita,1967,4614.1815082617,E
219,Total internal renewable water resources per capita,1972,4041.5699909162,E
220,Total internal renewable water resources per capita,1977,3602.6625128098,E
221,Total internal renewable water resources per capita,1982,3299.3776778418,E
222,Total internal renewable water resources per capita,1987,3084.3386047305,E
223,Total internal renewable water resources per capita,1992,2885.7215494718,E
224,Total internal renewable water resources per capita,1997,2720.0187112228,E
225,Total internal renewable water resources per capita,2002,2621.5436883694,E
226,Total internal renewable water resources per capita,2007,2559.8569231601,E
227,Total internal renewable water resources per capita,2012,2505.6417015728,E
228,Total internal renewable water resources per capita,2017,2446.7269430816,E
229,Total internal renewable water resources per capita,2018,2434.296575507,E
230,Total renewable surface water,1962,22.69,E
231,Total renewable surface water,1967,22.69,E
232,Total renewable surface water,1972,22.69,E
233,Total renewable surface water,1977,22.69,E
234,Total renewable surface water,1982,22.69,E
235,Total renewable surface water,1987,22.69,E
236,Total renewable surface water,1992,22.69,E
237,Total renewable surface water,1997,22.69,E
238,Total renewable surface water,2002,22.69,E
239,Total renewable surface water,2007,22.69,E
240,Total renewable surface water,2012,22.69,E
241,Total renewable surface water,2017,22.69,E
242,Total renewable surface water,2018,22.69,E
243,Total renewable groundwater,1962,6.15,E
244,Total renewable groundwater,1967,6.15,E
245,Total renewable groundwater,1972,6.15,E
246,Total renewable groundwater,1977,6.15,E
247,Total renewable groundwater,1982,6.15,E
248,Total renewable groundwater,1987,6.15,E
249,Total renewable groundwater,1992,6.15,E
250,Total renewable groundwater,1997,6.15,E
251,Total renewable groundwater,2002,6.15,E
252,Total renewable groundwater,2007,6.15,E
253,Total renewable groundwater,2012,6.15,E
254,Total renewable groundwater,2017,6.15,E
255,Total renewable groundwater,2018,6.15,E
256,Water resources: total external renewable,1962,10.64,E
257,Water resources: total external renewable,1967,10.64,E
258,Water resources: total external renewable,1972,10.64,E
259,Water resources: total external renewable,1977,10.64,E
260,Water resources: total external renewable,1982,10.64,E
261,Water resources: total external renewable,1987,10.64,E
262,Water resources: total external renewable,1992,10.64,E
263,Water resources: total external renewable,1997,10.64,E
264,Water resources: total external renewable,2002,10.64,E
265,Water resources: total external renewable,2007,10.64,E
266,Water resources: total external renewable,2012,10.64,E
267,Water resources: total external renewable,2017,10.64,E
268,Water resources: total external renewable,2018,10.64,E
269,Total renewable water resources,1962,26.27,E
270,Total renewable water resources,1967,26.27,E
271,Total renewable water resources,1972,26.27,E
272,Total renewable water resources,1977,26.27,E
273,Total renewable water resources,1982,26.27,E
274,Total renewable water resources,1987,26.27,E
275,Total renewable water resources,1992,26.27,E
276,Total renewable water resources,1997,26.27,E
277,Total renewable water resources,2002,26.27,E
278,Total renewable water resources,2007,26.27,E
279,Total renewable water resources,2012,26.27,E
280,Total renewable water resources,2017,26.27,E
281,Total renewable water resources,2018,26.27,E
282,Total renewable water resources per capita,1962,8962.2242418784,E
283,Total renewable water resources per capita,1967,7755.2494064002,E
284,Total renewable water resources per capita,1972,6792.8370864599,E
285,Total renewable water resources per capita,1977,6055.1467825665,E
286,Total renewable water resources per capita,1982,5545.4031731865,E
287,Total renewable water resources per capita,1987,5183.9779364216,E
288,Total renewable water resources per capita,1992,4850.1538774552,E
289,Total renewable water resources per capita,1997,4571.6501307628,E
290,Total renewable water resources per capita,2002,4406.1390078992,E
291,Total renewable water resources per capita,2007,4302.4594607431,E
292,Total renewable water resources per capita,2012,4211.3376519717,E
293,Total renewable water resources per capita,2017,4112.3171333815,E
294,Total renewable water resources per capita,2018,4091.4248905034,E
295,Total agricultural water managed area,1997,44.989,E
296,Total agricultural water managed area,2002,44.6753333333,E
297,Total agricultural water managed area,2007,44.3616666667,E
298,Total agricultural water managed area,2012,45.23,E
299,Total agricultural water managed area,2017,45.224,E
300,Total agricultural water managed area,2018,45.224,E
301,Area equipped for irrigation: total,1997,44.989,E
302,Area equipped for irrigation: total,2002,44.6753333333,E
303,Area equipped for irrigation: total,2007,44.3616666667,E
304,Area equipped for irrigation: total,2012,45.23,E
305,Area equipped for irrigation: total,2017,45.224,E
306,Area equipped for irrigation: total,2018,45.224,E
307,% of agricultural GVA produced by irrigated agriculture,1992,6.5146582591,E
308,% of agricultural GVA produced by irrigated agriculture,1997,6.4189770189,E
309,% of agricultural GVA produced by irrigated agriculture,1999,5.816187259,E
310,% of agricultural GVA produced by irrigated agriculture,2006,5.6032473001,E
311,Ratio between rainfed and irrigated yields,1962,1.417,E
312,Ratio between rainfed and irrigated yields,1967,1.417,E
313,Ratio between rainfed and irrigated yields,1972,1.417,E
314,Ratio between rainfed and irrigated yields,1977,1.417,E
315,Ratio between rainfed and irrigated yields,1982,1.417,E
316,Ratio between rainfed and irrigated yields,1987,1.417,E
317,Ratio between rainfed and irrigated yields,1992,1.417,E
318,Ratio between rainfed and irrigated yields,1997,1.417,E
319,Ratio between rainfed and irrigated yields,2002,1.417,E
320,Ratio between rainfed and irrigated yields,2007,1.417,I
321,Ratio between rainfed and irrigated yields,2012,1.417,E
322,Ratio between rainfed and irrigated yields,2017,1.417,I
323,Ratio between rainfed and irrigated yields,2018,1.417,I
324,Agricultural water withdrawal as % of total renewable water resources,1992,1.2790255044,E
325,Agricultural water withdrawal as % of total renewable water resources,1997,2.2877807385,I
326,Agricultural water withdrawal as % of total renewable water resources,2002,3.914731633,I
327,Agricultural water withdrawal as % of total renewable water resources,2007,5.4472782642,I
328,Agricultural water withdrawal as % of total renewable water resources,2012,5.4472782642,I
329,Agricultural water withdrawal as % of total renewable water resources,2017,5.4472782642,I
330,Agricultural water withdrawal as % of total renewable water resources,2018,5.4472782642,I
331,Agricultural water withdrawal,1992,0.336,OF
332,Agricultural water withdrawal,1997,0.601,I
333,Agricultural water withdrawal,2002,1.0284,I
334,Agricultural water withdrawal,2007,1.431,I
335,Agricultural water withdrawal,2012,1.431,I
336,Agricultural water withdrawal,2017,1.431,I
337,Agricultural water withdrawal,2018,1.431,I
338,Irrigation water withdrawal,2007,1.389,I
339,Irrigation water withdrawal,2012,1.389,I
340,Irrigation water withdrawal,2017,1.389,I
341,Irrigation water withdrawal,2018,1.389,I
342,Municipal water withdrawal,1992,0.246,OF
343,Municipal water withdrawal,1997,0.329125,I
344,Municipal water withdrawal,2002,0.417,I
345,Municipal water withdrawal,2007,0.474,I
346,Municipal water withdrawal,2012,0.474,I
347,Municipal water withdrawal,2017,0.474,I
348,Municipal water withdrawal,2018,0.474,I
349,Industrial water withdrawal,1992,0.147,OF
350,Industrial water withdrawal,1997,0.2031875,I
351,Industrial water withdrawal,2002,0.22734,I
352,Industrial water withdrawal,2007,0.213,I
353,Industrial water withdrawal,2012,0.213,I
354,Industrial water withdrawal,2017,0.213,I
355,Industrial water withdrawal,2018,0.213,I
356,Total water withdrawal,1992,0.729,E
357,Total water withdrawal,1997,1.1333125,I
358,Total water withdrawal,2002,1.67274,I
359,Total water withdrawal,2007,2.118,I
360,Total water withdrawal,2012,2.118,I
361,Total water withdrawal,2017,2.118,I
362,Total water withdrawal,2018,2.118,I
363,Fresh surface water withdrawal,2007,1.483,I
364,Fresh surface water withdrawal,2012,1.483,I
365,Fresh surface water withdrawal,2017,1.483,I
366,Fresh surface water withdrawal,2018,1.483,I
367,Fresh groundwater withdrawal,2007,0.635,I
368,Fresh groundwater withdrawal,2012,0.635,I
369,Fresh groundwater withdrawal,2017,0.635,I
370,Fresh groundwater withdrawal,2018,0.635,I
371,Total freshwater withdrawal,1992,0.7289,E
372,Total freshwater withdrawal,1997,1.1332125,I
373,Total freshwater withdrawal,2002,1.67268,I
374,Total freshwater withdrawal,2007,2.118,I
375,Total freshwater withdrawal,2012,2.118,I
376,Total freshwater withdrawal,2017,2.118,I
377,Total freshwater withdrawal,2018,2.118,I
378,Desalinated water produced,1992,0.0001,E
379,Desalinated water produced,1997,0.0001,I
380,Desalinated water produced,2002,0.0001,I
381,Desalinated water produced,2007,0.0001,I
382,Desalinated water produced,2012,0.0001,I
383,Desalinated water produced,2017,0.0001,I
384,Desalinated water produced,2018,0.0001,I
385,Produced municipal wastewater,2012,0.097,I
386,Produced municipal wastewater,2017,0.097,I
387,Produced municipal wastewater,2018,0.097,I
389,Not treated municipal wastewater,2012,0.096,I
390,Not treated municipal wastewater,2017,0.096,I
391,Not treated municipal wastewater,2018,0.096,I
392,Treated municipal wastewater,2012,0.001,I
393,Treated municipal wastewater,2017,0.001,I
394,Treated municipal wastewater,2018,0.001,I
408,SDG 6.4.2. Water Stress,1992,4.547099189,E
409,SDG 6.4.2. Water Stress,1997,7.0693231441,E
410,SDG 6.4.2. Water Stress,2002,10.4346849657,E
411,SDG 6.4.2. Water Stress,2007,13.2127261385,E
412,SDG 6.4.2. Water Stress,2012,13.2127261385,E
413,SDG 6.4.2. Water Stress,2017,13.2127261385,E
414,SDG 6.4.2. Water Stress,2018,13.2127261385,E
415,SDG 6.4.1. Water Use Efficiency,1992,13.8820030898,I
416,SDG 6.4.1. Water Use Efficiency,1997,11.6719492388,I
417,SDG 6.4.1. Water Use Efficiency,1999,11.37311219,I
418,SDG 6.4.1. Water Use Efficiency,2006,8.2786390614,I
419,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,0.3151471576,E
420,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.1877203243,E
421,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1999,0.1128027843,E
422,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,0.0487834481,E
423,SDG 6.4.1. Industrial Water Use Efficiency,1992,20.5650730021,E
424,SDG 6.4.1. Industrial Water Use Efficiency,1997,18.3491176053,E
425,SDG 6.4.1. Industrial Water Use Efficiency,2002,19.7533216134,E
426,SDG 6.4.1. Industrial Water Use Efficiency,2007,21.3739443871,E
427,SDG 6.4.1. Industrial Water Use Efficiency,2012,22.6902316467,E
428,SDG 6.4.1. Industrial Water Use Efficiency,2015,23.8677325587,E
429,SDG 6.4.1. Services Water Use Efficiency,1992,28.4188011229,E
430,SDG 6.4.1. Services Water Use Efficiency,1997,28.5205764477,E
431,SDG 6.4.1. Services Water Use Efficiency,2002,27.2997623598,E
432,SDG 6.4.1. Services Water Use Efficiency,2007,28.2875674608,E
433,SDG 6.4.1. Services Water Use Efficiency,2012,29.5075084133,E
434,SDG 6.4.1. Services Water Use Efficiency,2015,31.4545216055,E
435,Harvested irrigated temporary crop area: Rice,2007,1.85,E
436,Harvested irrigated temporary crop area: Rice,2012,1.15,E
437,Harvested irrigated temporary crop area: Rice,2017,1.15,I
438,Harvested irrigated temporary crop area: Rice,2018,1.15,I
439,Harvested irrigated temporary crop area: Maize,1992,2.7558333333,I
440,Harvested irrigated temporary crop area: Maize,1997,2.836875,I
441,Harvested irrigated temporary crop area: Maize,2002,2.9179166667,I
442,Harvested irrigated temporary crop area: Maize,2007,2.9989583333,I
443,Harvested irrigated temporary crop area: Maize,2012,3.08,E
444,Harvested irrigated temporary crop area: Maize,2017,3.08,I
445,Harvested irrigated temporary crop area: Maize,2018,3.08,I
446,Harvested irrigated temporary crop area: Sorghum,2012,0.8,E
447,Harvested irrigated temporary crop area: Sorghum,2017,0.8,I
448,Harvested irrigated temporary crop area: Sorghum,2018,0.8,I
449,Harvested irrigated temporary crop area: Other cereals,2012,0.205,E
450,Harvested irrigated temporary crop area: Other cereals,2017,0.205,I
451,Harvested irrigated temporary crop area: Other cereals,2018,0.205,I
452,Harvested irrigated temporary crop area: Potatoes,2012,0.024,E
453,Harvested irrigated temporary crop area: Potatoes,2017,0.024,I
454,Harvested irrigated temporary crop area: Potatoes,2018,0.024,I
455,Harvested irrigated temporary crop area: Cassava,2012,0.14,E
456,Harvested irrigated temporary crop area: Cassava,2017,0.14,I
457,Harvested irrigated temporary crop area: Cassava,2018,0.14,I
458,Harvested irrigated permanent crop area: Plantains,2012,0.37,E
459,Harvested irrigated permanent crop area: Plantains,2017,0.37,I
460,Harvested irrigated permanent crop area: Plantains,2018,0.37,I
461,Harvested irrigated temporary crop area: Sugarcane,1992,10.9665789474,I
462,Harvested irrigated temporary crop area: Sugarcane,1997,13.0110526316,I
463,Harvested irrigated temporary crop area: Sugarcane,2002,15.0555263158,I
464,Harvested irrigated temporary crop area: Sugarcane,2007,17.1,E
465,Harvested irrigated temporary crop area: Sugarcane,2012,12.24,E
466,Harvested irrigated temporary crop area: Sugarcane,2017,12.24,I
467,Harvested irrigated temporary crop area: Sugarcane,2018,12.24,I
468,Harvested irrigated temporary crop area: Leguminous crops,2012,0.39,E
469,Harvested irrigated temporary crop area: Leguminous crops,2017,0.39,I
470,Harvested irrigated temporary crop area: Leguminous crops,2018,0.39,I
471,Harvested irrigated temporary crop area: Vegetables,2012,1.15,E
472,Harvested irrigated temporary crop area: Vegetables,2017,1.15,I
473,Harvested irrigated temporary crop area: Vegetables,2018,1.15,I
474,Harvested irrigated permanent crop area: Bananas,2012,0.046,E
475,Harvested irrigated permanent crop area: Bananas,2017,0.046,I
476,Harvested irrigated permanent crop area: Bananas,2018,0.046,I
477,Harvested irrigated permanent crop area: Citrus,1992,1.4066666667,I
478,Harvested irrigated permanent crop area: Citrus,1997,1.2125,I
479,Harvested irrigated permanent crop area: Citrus,2002,1.0183333333,I
480,Harvested irrigated permanent crop area: Citrus,2007,0.8241666667,I
481,Harvested irrigated permanent crop area: Citrus,2012,0.63,E
482,Harvested irrigated permanent crop area: Citrus,2017,0.63,I
483,Harvested irrigated permanent crop area: Citrus,2018,0.63,I
484,Harvested irrigated permanent crop area: Coffee,1992,2.0171052632,I
485,Harvested irrigated permanent crop area: Coffee,1997,3.3447368421,I
486,Harvested irrigated permanent crop area: Coffee,2002,4.6723684211,I
487,Harvested irrigated permanent crop area: Coffee,2007,6.0,E
488,Harvested irrigated permanent crop area: Coffee,2012,6.0,I
489,Harvested irrigated permanent crop area: Coffee,2017,6.0,I
490,Harvested irrigated permanent crop area: Coffee,2018,6.0,I
491,Harvested irrigated permanent crop area: Coconuts,2012,0.116,E
492,Harvested irrigated permanent crop area: Coconuts,2017,0.116,I
493,Harvested irrigated permanent crop area: Coconuts,2018,0.116,I
494,Harvested irrigated temporary crop area: Other crops,2012,1.078,E
495,Harvested irrigated temporary crop area: Other crops,2017,1.078,I
496,Harvested irrigated temporary crop area: Other crops,2018,1.078,I
497,Harvested irrigated permanent crop area: Other crops,2012,0.92,E
498,Harvested irrigated permanent crop area: Other crops,2017,0.92,I
499,Harvested irrigated permanent crop area: Other crops,2018,0.92,I
