Tunisia,Variable Name,Year,Value,Symbol
131,Interannual variability (WRI),2017,2.0,I
132,Interannual variability (WRI),2018,2.0,I
133,Seasonal variability (WRI),2017,1.6,I
134,Seasonal variability (WRI),2018,1.6,I
135,Flood occurrence (WRI),2017,2.6,I
136,Flood occurrence (WRI),2018,2.6,I
148,Surface water: entering the country (total),2017,0.32,OF
160,Surface water: leaving the country to other countries (total),2017,0.16,OF
161,Groundwater: entering the country (total),1962,0.1,OF
162,Groundwater: entering the country (total),1967,0.1,OF
163,Groundwater: entering the country (total),1972,0.1,OF
164,Groundwater: entering the country (total),1977,0.1,OF
165,Groundwater: entering the country (total),1982,0.1,OF
166,Groundwater: entering the country (total),1987,0.1,OF
167,Groundwater: entering the country (total),1992,0.1,OF
168,Groundwater: entering the country (total),1997,0.1,OF
169,Groundwater: entering the country (total),2002,0.1,OF
170,Groundwater: entering the country (total),2007,0.1,OF
171,Groundwater: entering the country (total),2012,0.1,OF
172,Groundwater: entering the country (total),2017,0.1,OF
173,Groundwater: leaving the country to other countries (total),1962,0.0,OF
174,Groundwater: leaving the country to other countries (total),1967,0.0,OF
175,Groundwater: leaving the country to other countries (total),1972,0.0,OF
176,Groundwater: leaving the country to other countries (total),1977,0.0,OF
177,Groundwater: leaving the country to other countries (total),1982,0.0,OF
178,Groundwater: leaving the country to other countries (total),1987,0.0,OF
179,Groundwater: leaving the country to other countries (total),1992,0.0,OF
180,Groundwater: leaving the country to other countries (total),1997,0.0,OF
181,Groundwater: leaving the country to other countries (total),2002,0.0,OF
182,Groundwater: leaving the country to other countries (total),2007,0.0,OF
183,Groundwater: leaving the country to other countries (total),2012,0.0,OF
184,Groundwater: leaving the country to other countries (total),2017,0.0,OF
185,Dependency ratio,1962,9.1007583965,E
186,Dependency ratio,1967,9.1007583965,E
187,Dependency ratio,1972,9.1007583965,E
188,Dependency ratio,1977,9.1007583965,E
189,Dependency ratio,1982,9.1007583965,E
190,Dependency ratio,1987,9.1007583965,E
191,Dependency ratio,1992,9.1007583965,E
192,Dependency ratio,1997,9.1007583965,E
193,Dependency ratio,2002,9.1007583965,E
194,Dependency ratio,2007,9.1007583965,E
195,Dependency ratio,2012,9.1007583965,E
196,Dependency ratio,2017,9.1007583965,E
197,Dependency ratio,2018,9.1007583965,E
198,Total internal renewable water resources (IRWR),1962,4.195,E
199,Total internal renewable water resources (IRWR),1967,4.195,E
200,Total internal renewable water resources (IRWR),1972,4.195,E
201,Total internal renewable water resources (IRWR),1977,4.195,E
202,Total internal renewable water resources (IRWR),1982,4.195,E
203,Total internal renewable water resources (IRWR),1987,4.195,E
204,Total internal renewable water resources (IRWR),1992,4.195,E
205,Total internal renewable water resources (IRWR),1997,4.195,E
206,Total internal renewable water resources (IRWR),2002,4.195,E
207,Total internal renewable water resources (IRWR),2007,4.195,E
208,Total internal renewable water resources (IRWR),2012,4.195,E
209,Total internal renewable water resources (IRWR),2017,4.195,E
210,Total internal renewable water resources (IRWR),2018,4.195,E
211,Total internal renewable water resources per capita,1962,974.3394524328,E
212,Total internal renewable water resources per capita,1967,884.9256968289,E
213,Total internal renewable water resources per capita,1972,792.8051468268,E
214,Total internal renewable water resources per capita,1977,708.6190543356,E
215,Total internal renewable water resources per capita,1982,622.3547142962,E
216,Total internal renewable water resources per capita,1987,544.7531248961,E
217,Total internal renewable water resources per capita,1992,487.0057689577,E
218,Total internal renewable water resources per capita,1997,446.5082575289,E
219,Total internal renewable water resources per capita,2002,424.9714651162,E
220,Total internal renewable water resources per capita,2007,407.0947640917,E
221,Total internal renewable water resources per capita,2012,386.7428069065,E
222,Total internal renewable water resources per capita,2017,366.9061016878,E
223,Total internal renewable water resources per capita,2018,362.726077999,E
224,Total renewable surface water,1962,3.42,E
225,Total renewable surface water,1967,3.42,E
226,Total renewable surface water,1972,3.42,E
227,Total renewable surface water,1977,3.42,E
228,Total renewable surface water,1982,3.42,E
229,Total renewable surface water,1987,3.42,E
230,Total renewable surface water,1992,3.42,E
231,Total renewable surface water,1997,3.42,E
232,Total renewable surface water,2002,3.42,E
233,Total renewable surface water,2007,3.42,E
234,Total renewable surface water,2012,3.42,E
235,Total renewable surface water,2017,3.42,E
236,Total renewable surface water,2018,3.42,E
237,Total renewable groundwater,1962,1.595,E
238,Total renewable groundwater,1967,1.595,E
239,Total renewable groundwater,1972,1.595,E
240,Total renewable groundwater,1977,1.595,E
241,Total renewable groundwater,1982,1.595,E
242,Total renewable groundwater,1987,1.595,E
243,Total renewable groundwater,1992,1.595,E
244,Total renewable groundwater,1997,1.595,E
245,Total renewable groundwater,2002,1.595,E
246,Total renewable groundwater,2007,1.595,E
247,Total renewable groundwater,2012,1.595,E
248,Total renewable groundwater,2017,1.595,E
249,Total renewable groundwater,2018,1.595,E
250,Total exploitable water resources,1962,3.625,E
251,Total exploitable water resources,1967,3.625,E
252,Total exploitable water resources,1972,3.625,E
253,Total exploitable water resources,1977,3.625,E
254,Total exploitable water resources,1982,3.625,E
255,Total exploitable water resources,1987,3.625,E
256,Total exploitable water resources,1992,3.625,E
257,Total exploitable water resources,1997,3.625,E
258,Total exploitable water resources,2002,3.625,E
259,Total exploitable water resources,2007,3.625,E
260,Total exploitable water resources,2012,3.625,E
261,Total exploitable water resources,2017,3.625,E
262,Total exploitable water resources,2018,3.625,E
263,Water resources: total external renewable,1962,0.42,E
264,Water resources: total external renewable,1967,0.42,E
265,Water resources: total external renewable,1972,0.42,E
266,Water resources: total external renewable,1977,0.42,E
267,Water resources: total external renewable,1982,0.42,E
268,Water resources: total external renewable,1987,0.42,E
269,Water resources: total external renewable,1992,0.42,E
270,Water resources: total external renewable,1997,0.42,E
271,Water resources: total external renewable,2002,0.42,E
272,Water resources: total external renewable,2007,0.42,E
273,Water resources: total external renewable,2012,0.42,E
274,Water resources: total external renewable,2017,0.42,E
275,Water resources: total external renewable,2018,0.42,E
276,Total renewable water resources,1962,4.615,E
277,Total renewable water resources,1967,4.615,E
278,Total renewable water resources,1972,4.615,E
279,Total renewable water resources,1977,4.615,E
280,Total renewable water resources,1982,4.615,E
281,Total renewable water resources,1987,4.615,E
282,Total renewable water resources,1992,4.615,E
283,Total renewable water resources,1997,4.615,E
284,Total renewable water resources,2002,4.615,E
285,Total renewable water resources,2007,4.615,E
286,Total renewable water resources,2012,4.615,E
287,Total renewable water resources,2017,4.615,E
288,Total renewable water resources,2018,4.615,E
289,Total renewable water resources per capita,1962,1071.8895287193,E
290,Total renewable water resources per capita,1967,973.5237403731,E
291,Total renewable water resources per capita,1972,872.1801555675,E
292,Total renewable water resources per capita,1977,779.565419728,E
293,Total renewable water resources per capita,1982,684.66436388,E
294,Total renewable water resources per capita,1987,599.2933662445,E
295,Total renewable water resources per capita,1992,535.7643918331,E
296,Total renewable water resources per capita,1997,491.2123023828,E
297,Total renewable water resources per capita,2002,467.5192637691,E
298,Total renewable water resources per capita,2007,447.8527619269,E
299,Total renewable water resources per capita,2012,425.4631832833,E
300,Total renewable water resources per capita,2017,403.6404432156,E
301,Total renewable water resources per capita,2018,399.0419189429,E
302,Total agricultural water managed area,1977,157.1333333333,E
303,Total agricultural water managed area,1982,227.8,E
304,Total agricultural water managed area,1987,298.4666666667,E
305,Total agricultural water managed area,1992,386.0,I
306,Total agricultural water managed area,1997,391.0,I
307,Total agricultural water managed area,2002,395.5,E
308,Total agricultural water managed area,2007,460.35,E
309,Total agricultural water managed area,2011,481.35,E
310,Area equipped for irrigation: total,1977,157.1333333333,E
311,Area equipped for irrigation: total,1982,227.8,E
312,Area equipped for irrigation: total,1987,298.4666666667,E
313,Area equipped for irrigation: total,1992,386.0,I
314,Area equipped for irrigation: total,1997,391.0,I
315,Area equipped for irrigation: total,2002,395.5,E
316,Area equipped for irrigation: total,2007,460.35,E
317,Area equipped for irrigation: total,2011,481.35,E
318,% of agricultural GVA produced by irrigated agriculture,1992,12.6284302846,E
319,% of agricultural GVA produced by irrigated agriculture,1997,13.9320436576,E
320,% of agricultural GVA produced by irrigated agriculture,2002,15.1303310511,E
321,% of agricultural GVA produced by irrigated agriculture,2007,15.9190585928,E
322,% of agricultural GVA produced by irrigated agriculture,2011,15.738606946,E
323,% of agricultural GVA produced by irrigated agriculture,2017,16.6430963221,E
324,% of agricultural GVA produced by irrigated agriculture,2018,17.7740910671,E
325,Ratio between rainfed and irrigated yields,1962,2.146,E
326,Ratio between rainfed and irrigated yields,1967,2.146,E
327,Ratio between rainfed and irrigated yields,1972,2.146,E
328,Ratio between rainfed and irrigated yields,1977,2.146,E
329,Ratio between rainfed and irrigated yields,1982,2.146,E
330,Ratio between rainfed and irrigated yields,1987,2.146,E
331,Ratio between rainfed and irrigated yields,1992,2.146,E
332,Ratio between rainfed and irrigated yields,1997,2.146,E
333,Ratio between rainfed and irrigated yields,2002,2.146,E
334,Ratio between rainfed and irrigated yields,2007,2.146,I
335,Ratio between rainfed and irrigated yields,2012,2.146,E
336,Ratio between rainfed and irrigated yields,2017,2.146,I
337,Ratio between rainfed and irrigated yields,2018,2.146,I
338,Agricultural water withdrawal as % of total renewable water resources,1992,56.6673889491,I
339,Agricultural water withdrawal as % of total renewable water resources,1997,50.5655471289,I
340,Agricultural water withdrawal as % of total renewable water resources,2002,51.308652615,E
341,Agricultural water withdrawal as % of total renewable water resources,2007,54.6324239141,E
342,Agricultural water withdrawal as % of total renewable water resources,2011,57.2914409534,E
343,Agricultural water withdrawal as % of total renewable water resources,2018,63.5449620802,E
344,Agricultural water withdrawal,1992,2.6152,I
345,Agricultural water withdrawal,1997,2.3336,I
346,Agricultural water withdrawal,2002,2.3678943182,I
347,Agricultural water withdrawal,2007,2.5212863636,I
348,Agricultural water withdrawal,2011,2.644,E
349,Irrigation water requirement,2002,1.552,I
350,Irrigation water requirement,2007,1.552,I
351,Irrigation water requirement,2012,1.552,I
352,Irrigation water requirement,2017,1.552,I
353,Irrigation water requirement,2018,1.552,I
354,Municipal water withdrawal,1992,0.2818,I
355,Municipal water withdrawal,1997,0.3338,I
356,Municipal water withdrawal,2002,0.4042306818,I
357,Municipal water withdrawal,2007,0.4552136364,I
358,Municipal water withdrawal,2010,0.4858034091,I
359,Industrial water withdrawal,1992,0.0908,I
360,Industrial water withdrawal,1997,0.1028,I
361,Industrial water withdrawal,2002,0.123375,I
362,Industrial water withdrawal,2007,0.1465,I
363,Industrial water withdrawal,2011,0.165,E
364,Total water withdrawal,1977,1.402,I
365,Total water withdrawal,1982,2.06,I
366,Total water withdrawal,1987,2.61,I
367,Total water withdrawal,1992,2.9878,I
368,Total water withdrawal,1997,2.7702,I
369,Total water withdrawal,2002,2.8955,I
370,Total water withdrawal,2007,3.123,I
371,Total water withdrawal,2011,3.305,E
372,Fresh surface water withdrawal,2002,0.9267142857,I
373,Fresh surface water withdrawal,2007,0.9202857143,I
374,Fresh surface water withdrawal,2011,1.151,OF
375,Fresh groundwater withdrawal,2002,1.8972857143,I
376,Fresh groundwater withdrawal,2007,1.9787142857,I
377,Fresh groundwater withdrawal,2010,2.0423333333,I
378,Total freshwater withdrawal,1977,1.402,I
379,Total freshwater withdrawal,1982,2.06,I
380,Total freshwater withdrawal,1987,2.61,E
381,Total freshwater withdrawal,1992,2.9798,I
382,Total freshwater withdrawal,1997,2.7602,E
383,Total freshwater withdrawal,2002,2.824,I
384,Total freshwater withdrawal,2007,2.899,I
385,Total freshwater withdrawal,2011,3.217,E
386,Desalinated water produced,1992,0.008,I
387,Desalinated water produced,1997,0.01,I
388,Desalinated water produced,2002,0.0136090909,I
389,Desalinated water produced,2007,0.0166545455,I
390,Desalinated water produced,2012,0.0197,OF
391,Direct use of treated municipal wastewater,2002,0.0355,I
392,Direct use of treated municipal wastewater,2007,0.0542,I
393,Direct use of treated municipal wastewater,2010,0.068,OF
394,Produced municipal wastewater,1997,0.22,I
395,Produced municipal wastewater,2002,0.24,I
396,Produced municipal wastewater,2007,0.2713333333,I
397,Produced municipal wastewater,2009,0.287,OF
398,Collected municipal wastewater,2002,0.231375,I
399,Collected municipal wastewater,2007,0.23825,I
400,Collected municipal wastewater,2008,0.239625,I
401,Not treated municipal wastewater,2002,0.0673333333,I
402,Not treated municipal wastewater,2007,0.0596666667,I
403,Not treated municipal wastewater,2012,0.063,I
404,Not treated municipal wastewater,2017,0.063,I
405,Not treated municipal wastewater,2018,0.063,I
406,Treated municipal wastewater,1977,0.022375,I
407,Treated municipal wastewater,1982,0.0483125,I
408,Treated municipal wastewater,1987,0.07425,I
409,Treated municipal wastewater,1992,0.0955,I
410,Treated municipal wastewater,1997,0.131,OF
411,Treated municipal wastewater,2002,0.1715,I
412,Treated municipal wastewater,2007,0.1894,I
413,Treated municipal wastewater,2010,0.226,OF
414,Treated municipal wastewater discharged (secondary water),2002,0.136,I
415,Treated municipal wastewater discharged (secondary water),2007,0.1352,I
416,Treated municipal wastewater discharged (secondary water),2012,0.158,I
417,Treated municipal wastewater discharged (secondary water),2017,0.158,I
418,Treated municipal wastewater discharged (secondary water),2018,0.158,I
419,Not treated municipal wastewater discharged (secondary water),2002,0.1,I
420,Not treated municipal wastewater discharged (secondary water),2007,0.1,I
421,Not treated municipal wastewater discharged (secondary water),2012,0.1,I
422,Not treated municipal wastewater discharged (secondary water),2017,0.1,I
423,Not treated municipal wastewater discharged (secondary water),2018,0.1,I
424,Direct use of not treated municipal wastewater for irrigation purposes,2007,0.04428,I
425,Direct use of not treated municipal wastewater for irrigation purposes,2012,0.0466,I
426,Direct use of not treated municipal wastewater for irrigation purposes,2017,0.0466,I
427,Direct use of not treated municipal wastewater for irrigation purposes,2018,0.0466,I
440,SDG 6.4.2. Water Stress,1977,35.59911637,E
441,SDG 6.4.2. Water Stress,1982,52.3068328974,E
442,SDG 6.4.2. Water Stress,1987,66.2722494477,E
443,SDG 6.4.2. Water Stress,1992,75.6620877028,E
444,SDG 6.4.2. Water Stress,1997,70.0860777493,E
445,SDG 6.4.2. Water Stress,2002,71.7060660691,E
446,SDG 6.4.2. Water Stress,2007,73.6104410532,E
447,SDG 6.4.2. Water Stress,2011,81.684990986,E
448,SDG 6.4.2. Water Stress,2018,95.9987812,E
449,Area salinized by irrigation,2002,92.7058823529,I
450,Area salinized by irrigation,2007,126.2352941176,I
451,Area salinized by irrigation,2012,159.7647058824,I
452,Area salinized by irrigation,2017,193.2941176471,I
453,Area waterlogged by irrigation,2002,54.4444444444,I
454,Area waterlogged by irrigation,2007,65.5555555556,I
455,Area waterlogged by irrigation,2012,76.6666666667,I
456,Area waterlogged by irrigation,2017,87.7777777778,I
457,Harvested irrigated temporary crop area: Wheat,1992,33.0,OF
458,Harvested irrigated temporary crop area: Wheat,1997,42.9375,I
459,Harvested irrigated temporary crop area: Wheat,2002,48.92,I
460,Harvested irrigated temporary crop area: Wheat,2007,48.97,I
461,Harvested irrigated temporary crop area: Wheat,2012,49.01,I
462,Harvested irrigated temporary crop area: Wheat,2017,49.01,I
463,Harvested irrigated temporary crop area: Wheat,2018,49.01,I
464,Harvested irrigated temporary crop area: Barley,2002,13.7872727273,I
465,Harvested irrigated temporary crop area: Barley,2007,19.2554545455,I
466,Harvested irrigated temporary crop area: Barley,2012,23.63,I
467,Harvested irrigated temporary crop area: Barley,2017,23.63,I
468,Harvested irrigated temporary crop area: Barley,2018,23.63,I
469,Harvested irrigated temporary crop area: Other cereals,2002,2.7490909091,I
470,Harvested irrigated temporary crop area: Other cereals,2007,1.8718181818,I
471,Harvested irrigated temporary crop area: Other cereals,2012,1.17,I
472,Harvested irrigated temporary crop area: Other cereals,2017,1.17,I
473,Harvested irrigated temporary crop area: Other cereals,2018,1.17,I
474,Harvested irrigated temporary crop area: Potatoes,2002,20.0309090909,I
475,Harvested irrigated temporary crop area: Potatoes,2007,21.1081818182,I
476,Harvested irrigated temporary crop area: Potatoes,2012,21.97,I
477,Harvested irrigated temporary crop area: Potatoes,2017,21.97,I
478,Harvested irrigated temporary crop area: Potatoes,2018,21.97,I
479,Harvested irrigated temporary crop area: Sugar beet,2002,3.9963636364,I
480,Harvested irrigated temporary crop area: Sugar beet,2007,4.4872727273,I
481,Harvested irrigated temporary crop area: Sugar beet,2012,4.88,I
482,Harvested irrigated temporary crop area: Sugar beet,2017,4.88,I
483,Harvested irrigated temporary crop area: Sugar beet,2018,4.88,I
484,Harvested irrigated temporary crop area: Leguminous crops,2002,2.0854545455,I
485,Harvested irrigated temporary crop area: Leguminous crops,2007,3.0490909091,I
486,Harvested irrigated temporary crop area: Leguminous crops,2012,3.82,I
487,Harvested irrigated temporary crop area: Leguminous crops,2017,3.82,I
488,Harvested irrigated temporary crop area: Leguminous crops,2018,3.82,I
489,Harvested irrigated temporary crop area: Vegetables,1992,108.0,OF
490,Harvested irrigated temporary crop area: Vegetables,1997,97.8125,I
491,Harvested irrigated temporary crop area: Vegetables,2002,92.5672727273,I
492,Harvested irrigated temporary crop area: Vegetables,2007,94.7354545455,I
493,Harvested irrigated temporary crop area: Vegetables,2012,96.47,I
494,Harvested irrigated temporary crop area: Vegetables,2017,96.47,I
495,Harvested irrigated temporary crop area: Vegetables,2018,96.47,I
496,Harvested irrigated permanent crop area: Citrus,2002,17.74,I
497,Harvested irrigated permanent crop area: Citrus,2007,20.09,I
498,Harvested irrigated permanent crop area: Citrus,2012,21.97,I
499,Harvested irrigated permanent crop area: Citrus,2017,21.97,I
500,Harvested irrigated permanent crop area: Citrus,2018,21.97,I
501,Harvested irrigated temporary crop area: Fodder,2012,57.33,I
502,Harvested irrigated temporary crop area: Fodder,2017,57.33,I
503,Harvested irrigated temporary crop area: Fodder,2018,57.33,I
504,Harvested irrigated permanent crop area: Oil palm,1992,18.0,OF
505,Harvested irrigated permanent crop area: Oil palm,1997,18.0,I
506,Harvested irrigated permanent crop area: Oil palm,2002,18.0,I
507,Harvested irrigated permanent crop area: Oil palm,2007,18.0,I
508,Harvested irrigated permanent crop area: Oil palm,2012,18.0,I
509,Harvested irrigated permanent crop area: Oil palm,2017,18.0,I
510,Harvested irrigated permanent crop area: Oil palm,2018,18.0,I
511,Harvested irrigated temporary crop area: Other crops,1992,37.0,OF
512,Harvested irrigated temporary crop area: Other crops,1997,23.3125,I
513,Harvested irrigated temporary crop area: Other crops,2002,15.1,I
514,Harvested irrigated temporary crop area: Other crops,2007,15.1,I
515,Harvested irrigated temporary crop area: Other crops,2012,15.1,I
516,Harvested irrigated temporary crop area: Other crops,2017,15.1,I
517,Harvested irrigated temporary crop area: Other crops,2018,15.1,I
518,Harvested irrigated permanent crop area: Other crops,1992,112.0,OF
519,Harvested irrigated permanent crop area: Other crops,1997,125.125,I
520,Harvested irrigated permanent crop area: Other crops,2002,133.0,I
521,Harvested irrigated permanent crop area: Other crops,2007,133.0,I
522,Harvested irrigated permanent crop area: Other crops,2012,133.0,I
523,Harvested irrigated permanent crop area: Other crops,2017,133.0,I
524,Harvested irrigated permanent crop area: Other crops,2018,133.0,I
