Slovakia,Variable Name,Year,Value,Symbol
207,Total freshwater withdrawal,2002,1.0944,E
208,Total freshwater withdrawal,2007,0.6879,E
209,Total freshwater withdrawal,2012,0.6653,X
210,Total freshwater withdrawal,2017,0.5563,OF
211,Produced municipal wastewater,2002,0.987,I
213,Produced municipal wastewater,2012,0.599,OF
214,Produced municipal wastewater,2017,10.94,I
220,SDG 6.4.2. Water Stress,1997,5.6368330465,E
221,SDG 6.4.2. Water Stress,2002,4.7091222031,E
222,SDG 6.4.2. Water Stress,2007,2.9599827883,E
223,SDG 6.4.2. Water Stress,2012,2.8627366609,E
224,SDG 6.4.2. Water Stress,2017,2.3937177281,E
225,SDG 6.4.2. Water Stress,2018,2.3945783133,E
226,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,2.0610341835,E
227,SDG 6.4.1. Industrial Water Use Efficiency,2015,102.3505292719,E
228,SDG 6.4.1. Services Water Use Efficiency,2015,184.9172432906,E
229,Harvested irrigated temporary crop area: Wheat,2007,0.5,I
230,Harvested irrigated temporary crop area: Wheat,2012,0.5,I
231,Harvested irrigated temporary crop area: Wheat,2017,0.5,I
232,Harvested irrigated temporary crop area: Wheat,2018,0.5,I
233,Harvested irrigated temporary crop area: Maize,2007,9.63,I
234,Harvested irrigated temporary crop area: Maize,2012,7.29,I
235,Harvested irrigated temporary crop area: Maize,2017,7.29,I
236,Harvested irrigated temporary crop area: Maize,2018,7.29,I
237,Harvested irrigated temporary crop area: Other cereals,2012,2.2,I
238,Harvested irrigated temporary crop area: Other cereals,2017,2.2,I
239,Harvested irrigated temporary crop area: Other cereals,2018,2.2,I
240,Harvested irrigated temporary crop area: Potatoes,2007,1.592,I
241,Harvested irrigated temporary crop area: Potatoes,2012,1.2,I
242,Harvested irrigated temporary crop area: Potatoes,2017,1.2,I
243,Harvested irrigated temporary crop area: Potatoes,2018,1.2,I
244,Harvested irrigated temporary crop area: Sugar beet,2007,6.368,I
245,Harvested irrigated temporary crop area: Sugar beet,2012,4.8,I
246,Harvested irrigated temporary crop area: Sugar beet,2017,4.8,I
247,Harvested irrigated temporary crop area: Sugar beet,2018,4.8,I
248,Harvested irrigated temporary crop area: Leguminous crops,2012,2.8,I
249,Harvested irrigated temporary crop area: Leguminous crops,2017,2.8,I
250,Harvested irrigated temporary crop area: Leguminous crops,2018,2.8,I
251,Harvested irrigated temporary crop area: Vegetables,2012,4.1,I
252,Harvested irrigated temporary crop area: Vegetables,2017,4.1,I
253,Harvested irrigated temporary crop area: Vegetables,2018,4.1,I
254,Harvested irrigated permanent crop area: Citrus,2007,0.0,I
255,Harvested irrigated permanent crop area: Citrus,2012,0.0,I
256,Harvested irrigated permanent crop area: Citrus,2017,0.0,I
257,Harvested irrigated permanent crop area: Citrus,2018,0.0,I
258,Harvested irrigated temporary crop area: Fodder,2007,8.444,I
259,Harvested irrigated temporary crop area: Fodder,2012,6.4,I
260,Harvested irrigated temporary crop area: Fodder,2017,6.4,I
261,Harvested irrigated temporary crop area: Fodder,2018,6.4,I
262,Harvested irrigated temporary crop area: Soybeans,2007,0.91,I
263,Harvested irrigated temporary crop area: Soybeans,2012,0.91,I
264,Harvested irrigated temporary crop area: Soybeans,2017,0.91,I
265,Harvested irrigated temporary crop area: Soybeans,2018,0.91,I
266,Harvested irrigated temporary crop area: Sunflower,2007,2.626,I
267,Harvested irrigated temporary crop area: Sunflower,2012,2.0,I
268,Harvested irrigated temporary crop area: Sunflower,2017,2.0,I
269,Harvested irrigated temporary crop area: Sunflower,2018,2.0,I
270,Harvested irrigated temporary crop area: Other crops,2012,7.0,I
271,Harvested irrigated temporary crop area: Other crops,2017,7.0,I
272,Harvested irrigated temporary crop area: Other crops,2018,7.0,I
273,Harvested irrigated permanent crop area: Other crops,2007,2.72,I
274,Harvested irrigated permanent crop area: Other crops,2012,2.72,I
275,Harvested irrigated permanent crop area: Other crops,2017,2.72,I
276,Harvested irrigated permanent crop area: Other crops,2018,2.72,I
