Namibia,Variable Name,Year,Value,Symbol
131,Flood occurrence (WRI),2018,2.1,I
143,Surface water: entering the country (total),2017,11.0,OF
144,Surface water: leaving the country to other countries (total),1962,9.65,OF
145,Surface water: leaving the country to other countries (total),1967,9.65,OF
146,Surface water: leaving the country to other countries (total),1972,9.65,OF
147,Surface water: leaving the country to other countries (total),1977,9.65,OF
148,Surface water: leaving the country to other countries (total),1982,9.65,OF
149,Surface water: leaving the country to other countries (total),1987,9.65,OF
150,Surface water: leaving the country to other countries (total),1992,9.65,OF
151,Surface water: leaving the country to other countries (total),1997,9.65,OF
152,Surface water: leaving the country to other countries (total),2002,9.65,OF
153,Surface water: leaving the country to other countries (total),2007,9.65,OF
154,Surface water: leaving the country to other countries (total),2012,9.65,OF
155,Surface water: leaving the country to other countries (total),2017,9.65,OF
156,Groundwater: entering the country (total),1962,0.0,OF
157,Groundwater: entering the country (total),1967,0.0,OF
158,Groundwater: entering the country (total),1972,0.0,OF
159,Groundwater: entering the country (total),1977,0.0,OF
160,Groundwater: entering the country (total),1982,0.0,OF
161,Groundwater: entering the country (total),1987,0.0,OF
162,Groundwater: entering the country (total),1992,0.0,OF
163,Groundwater: entering the country (total),1997,0.0,OF
164,Groundwater: entering the country (total),2002,0.0,OF
165,Groundwater: entering the country (total),2007,0.0,OF
166,Groundwater: entering the country (total),2012,0.0,OF
167,Groundwater: entering the country (total),2017,0.0,OF
168,Groundwater: leaving the country to other countries (total),1962,0.0,OF
169,Groundwater: leaving the country to other countries (total),1967,0.0,OF
170,Groundwater: leaving the country to other countries (total),1972,0.0,OF
171,Groundwater: leaving the country to other countries (total),1977,0.0,OF
172,Groundwater: leaving the country to other countries (total),1982,0.0,OF
173,Groundwater: leaving the country to other countries (total),1987,0.0,OF
174,Groundwater: leaving the country to other countries (total),1992,0.0,OF
175,Groundwater: leaving the country to other countries (total),1997,0.0,OF
176,Groundwater: leaving the country to other countries (total),2002,0.0,OF
177,Groundwater: leaving the country to other countries (total),2007,0.0,OF
178,Groundwater: leaving the country to other countries (total),2012,0.0,OF
179,Groundwater: leaving the country to other countries (total),2017,0.0,OF
180,Dependency ratio,1962,84.5652718617,E
181,Dependency ratio,1967,84.5652718617,E
182,Dependency ratio,1972,84.5652718617,E
183,Dependency ratio,1977,84.5652718617,E
184,Dependency ratio,1982,84.5652718617,E
185,Dependency ratio,1987,84.5652718617,E
186,Dependency ratio,1992,84.5652718617,E
187,Dependency ratio,1997,84.5652718617,E
188,Dependency ratio,2002,84.5652718617,E
189,Dependency ratio,2007,84.5652718617,E
190,Dependency ratio,2012,84.5652718617,E
191,Dependency ratio,2017,84.5652718617,E
192,Dependency ratio,2018,84.5652718617,E
193,Total internal renewable water resources (IRWR),1962,6.16,E
194,Total internal renewable water resources (IRWR),1967,6.16,E
195,Total internal renewable water resources (IRWR),1972,6.16,E
196,Total internal renewable water resources (IRWR),1977,6.16,E
197,Total internal renewable water resources (IRWR),1982,6.16,E
198,Total internal renewable water resources (IRWR),1987,6.16,E
199,Total internal renewable water resources (IRWR),1992,6.16,E
200,Total internal renewable water resources (IRWR),1997,6.16,E
201,Total internal renewable water resources (IRWR),2002,6.16,E
202,Total internal renewable water resources (IRWR),2007,6.16,E
203,Total internal renewable water resources (IRWR),2012,6.16,E
204,Total internal renewable water resources (IRWR),2017,6.16,E
205,Total internal renewable water resources (IRWR),2018,6.16,E
206,Total internal renewable water resources per capita,1962,9261.5562722236,E
207,Total internal renewable water resources per capita,1967,8173.1432635255,E
208,Total internal renewable water resources per capita,1972,7088.9502139344,E
209,Total internal renewable water resources per capita,1977,6203.6988547327,E
210,Total internal renewable water resources per capita,1982,5574.1360089186,E
211,Total internal renewable water resources per capita,1987,4787.0798579729,E
212,Total internal renewable water resources per capita,1992,4060.7584389284,E
213,Total internal renewable water resources per capita,1997,3627.72904162,E
214,Total internal renewable water resources per capita,2002,3326.9908070275,E
215,Total internal renewable water resources per capita,2007,3070.0010067211,E
216,Total internal renewable water resources per capita,2012,2806.6556010321,E
217,Total internal renewable water resources per capita,2017,2563.8539052781,E
218,Total internal renewable water resources per capita,2018,2516.0305044192,E
219,Total renewable surface water,1962,37.85,E
220,Total renewable surface water,1967,37.85,E
221,Total renewable surface water,1972,37.85,E
222,Total renewable surface water,1977,37.85,E
223,Total renewable surface water,1982,37.85,E
224,Total renewable surface water,1987,37.85,E
225,Total renewable surface water,1992,37.85,E
226,Total renewable surface water,1997,37.85,E
227,Total renewable surface water,2002,37.85,E
228,Total renewable surface water,2007,37.85,E
229,Total renewable surface water,2012,37.85,E
230,Total renewable surface water,2017,37.85,E
231,Total renewable surface water,2018,37.85,E
232,Total renewable groundwater,1962,2.1,E
233,Total renewable groundwater,1967,2.1,E
234,Total renewable groundwater,1972,2.1,E
235,Total renewable groundwater,1977,2.1,E
236,Total renewable groundwater,1982,2.1,E
237,Total renewable groundwater,1987,2.1,E
238,Total renewable groundwater,1992,2.1,E
239,Total renewable groundwater,1997,2.1,E
240,Total renewable groundwater,2002,2.1,E
241,Total renewable groundwater,2007,2.1,E
242,Total renewable groundwater,2012,2.1,E
243,Total renewable groundwater,2017,2.1,E
244,Total renewable groundwater,2018,2.1,E
245,Total exploitable water resources,1962,0.65,E
246,Total exploitable water resources,1967,0.65,E
247,Total exploitable water resources,1972,0.65,E
248,Total exploitable water resources,1977,0.65,E
249,Total exploitable water resources,1982,0.65,E
250,Total exploitable water resources,1987,0.65,E
251,Total exploitable water resources,1992,0.65,E
252,Total exploitable water resources,1997,0.65,E
253,Total exploitable water resources,2002,0.65,E
254,Total exploitable water resources,2007,0.65,E
255,Total exploitable water resources,2012,0.65,E
256,Total exploitable water resources,2017,0.65,E
257,Total exploitable water resources,2018,0.65,E
258,Water resources: total external renewable,1962,33.75,E
259,Water resources: total external renewable,1967,33.75,E
260,Water resources: total external renewable,1972,33.75,E
261,Water resources: total external renewable,1977,33.75,E
262,Water resources: total external renewable,1982,33.75,E
263,Water resources: total external renewable,1987,33.75,E
264,Water resources: total external renewable,1992,33.75,E
265,Water resources: total external renewable,1997,33.75,E
266,Water resources: total external renewable,2002,33.75,E
267,Water resources: total external renewable,2007,33.75,E
268,Water resources: total external renewable,2012,33.75,E
269,Water resources: total external renewable,2017,33.75,E
270,Water resources: total external renewable,2018,33.75,E
271,Total renewable water resources,1962,39.91,E
272,Total renewable water resources,1967,39.91,E
273,Total renewable water resources,1972,39.91,E
274,Total renewable water resources,1977,39.91,E
275,Total renewable water resources,1982,39.91,E
276,Total renewable water resources,1987,39.91,E
277,Total renewable water resources,1992,39.91,E
278,Total renewable water resources,1997,39.91,E
279,Total renewable water resources,2002,39.91,E
280,Total renewable water resources,2007,39.91,E
281,Total renewable water resources,2012,39.91,E
282,Total renewable water resources,2017,39.91,E
283,Total renewable water resources,2018,39.91,E
284,Total renewable water resources per capita,1962,60004.660848124,E
285,Total renewable water resources per capita,1967,52952.94604664,E
286,Total renewable water resources per capita,1972,45928.571921773,E
287,Total renewable water resources per capita,1977,40193.1203396727,E
288,Total renewable water resources per capita,1982,36114.2480707698,E
289,Total renewable water resources per capita,1987,31014.9930408604,E
290,Total renewable water resources per capita,1992,26309.2320288367,E
291,Total renewable water resources per capita,1997,23503.6795537422,E
292,Total renewable water resources per capita,2002,21555.2277773487,E
293,Total renewable water resources per capita,2007,19890.2175614025,E
294,Total renewable water resources per capita,2012,18184.0300385049,E
295,Total renewable water resources per capita,2017,16610.943077865,E
296,Total renewable water resources per capita,2018,16301.1002323652,E
297,Total agricultural water managed area,1992,8.142,E
298,Total agricultural water managed area,1997,8.8575,I
299,Total agricultural water managed area,2002,9.573,E
300,Total agricultural water managed area,2007,9.573,I
301,Total agricultural water managed area,2012,9.573,I
302,Total agricultural water managed area,2017,9.573,I
303,Total agricultural water managed area,2018,9.573,I
304,Area equipped for irrigation: total,1992,6.142,E
305,Area equipped for irrigation: total,1997,6.8575,I
306,Area equipped for irrigation: total,2002,7.573,E
307,Area equipped for irrigation: total,2007,7.573,I
308,Area equipped for irrigation: total,2012,7.573,I
309,Area equipped for irrigation: total,2017,7.573,I
310,Area equipped for irrigation: total,2018,7.573,I
311,% of agricultural GVA produced by irrigated agriculture,1992,1.6372672287,E
312,% of agricultural GVA produced by irrigated agriculture,1997,1.4912161934,E
313,% of agricultural GVA produced by irrigated agriculture,2002,1.6303339127,E
314,% of agricultural GVA produced by irrigated agriculture,2007,1.6543715146,E
315,% of agricultural GVA produced by irrigated agriculture,2012,1.6523413414,E
316,% of agricultural GVA produced by irrigated agriculture,2017,1.6503161447,E
317,% of agricultural GVA produced by irrigated agriculture,2018,1.6503161447,E
319,Ratio between rainfed and irrigated yields,1966,1.778,I
320,Ratio between rainfed and irrigated yields,1971,1.778,I
321,Ratio between rainfed and irrigated yields,1976,1.778,I
322,Ratio between rainfed and irrigated yields,1981,1.778,I
323,Ratio between rainfed and irrigated yields,1986,1.778,I
324,Ratio between rainfed and irrigated yields,1991,1.778,I
325,Ratio between rainfed and irrigated yields,1996,1.778,I
326,Ratio between rainfed and irrigated yields,2001,1.778,I
327,Ratio between rainfed and irrigated yields,2007,1.778,I
328,Ratio between rainfed and irrigated yields,2011,1.778,I
329,Ratio between rainfed and irrigated yields,2017,1.778,I
330,Ratio between rainfed and irrigated yields,2018,1.778,I
331,Agricultural water withdrawal as % of total renewable water resources,1987,0.3340516161,I
332,Agricultural water withdrawal as % of total renewable water resources,1992,0.439426209,I
333,Agricultural water withdrawal as % of total renewable water resources,1997,0.5067652217,I
334,Agricultural water withdrawal as % of total renewable water resources,2002,0.5036331746,E
335,Agricultural water withdrawal as % of total renewable water resources,2007,0.5036331746,I
336,Agricultural water withdrawal as % of total renewable water resources,2012,0.5036331746,I
337,Agricultural water withdrawal as % of total renewable water resources,2017,0.5036331746,I
338,Agricultural water withdrawal as % of total renewable water resources,2018,0.5036331746,I
339,Agricultural water withdrawal,1987,0.13332,I
340,Agricultural water withdrawal,1992,0.175375,I
341,Agricultural water withdrawal,1997,0.20225,I
342,Agricultural water withdrawal,2002,0.201,OF
343,Agricultural water withdrawal,2007,0.201,I
344,Agricultural water withdrawal,2012,0.201,I
345,Agricultural water withdrawal,2017,0.201,I
346,Agricultural water withdrawal,2018,0.201,I
347,Irrigation water requirement,2002,0.032,E
348,Irrigation water requirement,2007,0.032,I
349,Irrigation water requirement,2012,0.032,I
350,Irrigation water requirement,2017,0.032,I
351,Irrigation water requirement,2018,0.032,I
352,Irrigation water withdrawal,2001,0.14,I
353,Irrigation water withdrawal,2007,0.144,I
354,Irrigation water withdrawal,2012,0.144,I
355,Irrigation water withdrawal,2017,0.144,I
356,Irrigation water withdrawal,2018,0.144,I
357,Municipal water withdrawal,1992,0.071,I
358,Municipal water withdrawal,1997,0.071,I
359,Municipal water withdrawal,2002,0.073,I
360,Municipal water withdrawal,2007,0.073,I
361,Municipal water withdrawal,2012,0.073,I
362,Municipal water withdrawal,2017,0.073,I
363,Municipal water withdrawal,2018,0.073,I
364,Industrial water withdrawal,1992,0.008625,I
365,Industrial water withdrawal,1997,0.01175,I
366,Industrial water withdrawal,2002,0.014,I
367,Industrial water withdrawal,2007,0.014,I
368,Industrial water withdrawal,2012,0.014,I
369,Industrial water withdrawal,2017,0.014,I
370,Industrial water withdrawal,2018,0.014,I
371,Total water withdrawal,1987,0.17632,I
372,Total water withdrawal,1992,0.255,I
373,Total water withdrawal,1997,0.285,I
374,Total water withdrawal,2002,0.288,E
375,Total water withdrawal,2007,0.288,E
376,Total water withdrawal,2012,0.288,E
377,Total water withdrawal,2017,0.288,E
378,Total water withdrawal,2018,0.288,E
379,Fresh surface water withdrawal,1997,0.1541333333,I
380,Fresh surface water withdrawal,2001,0.1598345455,I
381,Fresh surface water withdrawal,2007,0.1566,I
382,Fresh surface water withdrawal,2012,0.1566,I
383,Fresh surface water withdrawal,2017,0.1566,I
384,Fresh surface water withdrawal,2018,0.1566,I
385,Fresh groundwater withdrawal,1997,0.1207666667,I
386,Fresh groundwater withdrawal,2001,0.1278877273,I
387,Fresh groundwater withdrawal,2007,0.1253,I
388,Fresh groundwater withdrawal,2012,0.1253,I
389,Fresh groundwater withdrawal,2017,0.1253,I
390,Fresh groundwater withdrawal,2018,0.1253,I
391,Total freshwater withdrawal,1987,0.1762,I
392,Total freshwater withdrawal,1992,0.2547,I
393,Total freshwater withdrawal,1997,0.2749,E
394,Total freshwater withdrawal,2001,0.2877222727,E
395,Total freshwater withdrawal,2007,0.2819,I
396,Total freshwater withdrawal,2012,0.2819,I
397,Total freshwater withdrawal,2017,0.2819,I
398,Total freshwater withdrawal,2018,0.2819,I
399,Desalinated water produced,1992,0.0003,I
400,Desalinated water produced,1997,0.0003,I
401,Desalinated water produced,2002,0.0003,I
402,Desalinated water produced,2007,0.0003,I
403,Desalinated water produced,2012,0.0003,I
404,Desalinated water produced,2017,0.0003,I
405,Desalinated water produced,2018,0.0003,I
406,Direct use of treated municipal wastewater,1997,0.0058,I
407,Direct use of treated municipal wastewater,2002,0.0058,I
408,Direct use of treated municipal wastewater,2007,0.0058,I
409,Direct use of treated municipal wastewater,2012,0.0058,I
410,Direct use of treated municipal wastewater,2017,0.0058,I
411,Direct use of treated municipal wastewater,2018,0.0058,I
413,Produced municipal wastewater,2012,0.0195,I
414,Produced municipal wastewater,2017,0.0195,I
415,Produced municipal wastewater,2018,0.0195,I
416,Treated municipal wastewater,1997,0.006,I
417,Treated municipal wastewater,2002,0.006,I
418,Treated municipal wastewater,2007,0.006,I
419,Treated municipal wastewater,2012,0.006,I
420,Treated municipal wastewater,2017,0.006,I
421,Treated municipal wastewater,2018,0.006,I
422,Treated municipal wastewater discharged (secondary water),1997,0.0002,I
423,Treated municipal wastewater discharged (secondary water),2002,0.0002,I
424,Treated municipal wastewater discharged (secondary water),2007,0.0002,I
425,Treated municipal wastewater discharged (secondary water),2012,0.0002,I
426,Treated municipal wastewater discharged (secondary water),2017,0.0002,I
427,Treated municipal wastewater discharged (secondary water),2018,0.0002,I
440,SDG 6.4.2. Water Stress,1987,0.5385085575,E
441,SDG 6.4.2. Water Stress,1992,0.7784229829,E
442,SDG 6.4.2. Water Stress,1997,0.8401589242,E
443,SDG 6.4.2. Water Stress,2002,0.8615525672,E
444,SDG 6.4.2. Water Stress,2007,0.8615525672,E
445,SDG 6.4.2. Water Stress,2012,0.8615525672,E
446,SDG 6.4.2. Water Stress,2017,0.8615525672,E
447,SDG 6.4.2. Water Stress,2018,0.8615525672,E
448,SDG 6.4.1. Water Use Efficiency,2015,35.4866549064,I
449,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0565449207,E
450,SDG 6.4.1. Industrial Water Use Efficiency,2015,224.8384473571,E
451,SDG 6.4.1. Services Water Use Efficiency,2015,96.7267509726,E
452,Area salinized by irrigation,1992,1.3,OF
453,Area salinized by irrigation,1997,1.3,I
454,Area salinized by irrigation,2002,1.3,I
455,Area salinized by irrigation,2007,1.3,I
456,Area salinized by irrigation,2012,1.3,I
457,Area salinized by irrigation,2017,1.3,I
458,Area salinized by irrigation,2018,1.3,I
459,Area waterlogged by irrigation,1992,2.0,I
460,Area waterlogged by irrigation,1997,2.0,I
461,Area waterlogged by irrigation,2002,2.0,I
462,Area waterlogged by irrigation,2007,2.0,I
463,Area waterlogged by irrigation,2012,2.0,I
464,Area waterlogged by irrigation,2017,2.0,I
465,Area waterlogged by irrigation,2018,2.0,I
466,Harvested irrigated temporary crop area: Wheat,1992,1.1272727273,I
467,Harvested irrigated temporary crop area: Wheat,1997,1.2636363636,I
468,Harvested irrigated temporary crop area: Wheat,2001,1.3727272727,I
469,Harvested irrigated temporary crop area: Wheat,2007,1.4,I
470,Harvested irrigated temporary crop area: Wheat,2012,1.4,I
471,Harvested irrigated temporary crop area: Wheat,2017,1.4,I
472,Harvested irrigated temporary crop area: Wheat,2018,1.4,I
473,Harvested irrigated temporary crop area: Maize,1992,2.2454545455,I
474,Harvested irrigated temporary crop area: Maize,1997,2.4727272727,I
475,Harvested irrigated temporary crop area: Maize,2001,2.6545454545,I
476,Harvested irrigated temporary crop area: Maize,2007,2.7,I
477,Harvested irrigated temporary crop area: Maize,2012,2.7,I
478,Harvested irrigated temporary crop area: Maize,2017,2.7,I
479,Harvested irrigated temporary crop area: Maize,2018,2.7,I
480,Harvested irrigated temporary crop area: Vegetables,1992,0.2909090909,I
481,Harvested irrigated temporary crop area: Vegetables,1997,0.4954545455,I
482,Harvested irrigated temporary crop area: Vegetables,2001,0.6590909091,I
483,Harvested irrigated temporary crop area: Vegetables,2007,0.7,I
484,Harvested irrigated temporary crop area: Vegetables,2012,0.7,I
485,Harvested irrigated temporary crop area: Vegetables,2017,0.7,I
486,Harvested irrigated temporary crop area: Vegetables,2018,0.7,I
487,Harvested irrigated temporary crop area: Cotton,1992,0.5702727273,I
488,Harvested irrigated temporary crop area: Cotton,1997,0.6216363636,I
489,Harvested irrigated temporary crop area: Cotton,2001,0.6627272727,I
490,Harvested irrigated temporary crop area: Cotton,2007,0.673,I
491,Harvested irrigated temporary crop area: Cotton,2012,0.673,I
492,Harvested irrigated temporary crop area: Cotton,2017,0.673,I
493,Harvested irrigated temporary crop area: Cotton,2018,0.673,I
494,Harvested irrigated temporary crop area: Fodder,1992,1.4272727273,I
495,Harvested irrigated temporary crop area: Fodder,1997,1.5636363636,I
496,Harvested irrigated temporary crop area: Fodder,2001,1.6727272727,I
497,Harvested irrigated temporary crop area: Fodder,2007,1.7,I
498,Harvested irrigated temporary crop area: Fodder,2012,1.7,I
499,Harvested irrigated temporary crop area: Fodder,2017,1.7,I
500,Harvested irrigated temporary crop area: Fodder,2018,1.7,I
501,Harvested irrigated permanent crop area: Oil palm,1992,0.15,I
502,Harvested irrigated permanent crop area: Oil palm,1997,0.15,I
503,Harvested irrigated permanent crop area: Oil palm,2002,0.15,I
504,Harvested irrigated permanent crop area: Oil palm,2007,0.15,I
505,Harvested irrigated permanent crop area: Oil palm,2012,0.15,I
506,Harvested irrigated permanent crop area: Oil palm,2017,0.15,I
507,Harvested irrigated permanent crop area: Oil palm,2018,0.15,I
508,Harvested irrigated temporary crop area: Other crops,1992,0.3381818182,I
509,Harvested irrigated temporary crop area: Other crops,1997,0.3690909091,I
510,Harvested irrigated temporary crop area: Other crops,2001,0.3938181818,I
511,Harvested irrigated temporary crop area: Other crops,2007,0.4,I
512,Harvested irrigated temporary crop area: Other crops,2012,0.4,I
513,Harvested irrigated temporary crop area: Other crops,2017,0.4,I
514,Harvested irrigated temporary crop area: Other crops,2018,0.4,I
515,Harvested irrigated permanent crop area: Other crops,1992,0.15,I
516,Harvested irrigated permanent crop area: Other crops,1997,0.15,I
517,Harvested irrigated permanent crop area: Other crops,2002,0.15,I
518,Harvested irrigated permanent crop area: Other crops,2007,0.15,I
519,Harvested irrigated permanent crop area: Other crops,2012,0.15,I
520,Harvested irrigated permanent crop area: Other crops,2017,0.15,I
521,Harvested irrigated permanent crop area: Other crops,2018,0.15,I
