Iran (Islamic Republic of),Variable Name,Year,Value,Symbol
73,Gross Domestic Product (GDP),1982,127191400659.0,X
74,Gross Domestic Product (GDP),1987,87632619626.0,X
75,Gross Domestic Product (GDP),1992,109695030881.0,X
76,Gross Domestic Product (GDP),1997,116910894389.0,X
77,Gross Domestic Product (GDP),2002,150050109595.0,X
78,Gross Domestic Product (GDP),2007,349881605221.0,X
79,Gross Domestic Product (GDP),2012,603007205015.0,X
80,Gross Domestic Product (GDP),2017,460976107833.0,X
81,GDP per capita,1972,570.369756,X
82,GDP per capita,1977,2313.470495,X
83,GDP per capita,1982,3036.802341,X
84,GDP per capita,1987,1711.658781,X
85,GDP per capita,1992,1882.829409,X
86,GDP per capita,1997,1864.293669,X
87,GDP per capita,2002,2207.160338,X
88,GDP per capita,2007,4857.368423,X
89,GDP per capita,2012,7887.233696,X
90,GDP per capita,2017,5679.648509,X
91,GDP per capita,2018,5768.576511,X
92,"Agriculture, value added (% GDP)",1962,25.12,X
93,"Agriculture, value added (% GDP)",1967,17.57,X
94,"Agriculture, value added (% GDP)",1972,11.954401,X
95,"Agriculture, value added (% GDP)",1977,5.665368,X
96,"Agriculture, value added (% GDP)",1982,12.774177,X
97,"Agriculture, value added (% GDP)",1987,16.302784,X
98,"Agriculture, value added (% GDP)",1992,12.05433,X
99,"Agriculture, value added (% GDP)",1997,9.217778,X
100,"Agriculture, value added (% GDP)",2002,7.38822,X
101,"Agriculture, value added (% GDP)",2007,7.185569,X
102,"Agriculture, value added (% GDP)",2012,7.618364,X
103,"Agriculture, value added (% GDP)",2017,9.499745,X
104,"Agriculture, value added (% GDP)",2018,9.873938,X
105,"Agriculture, value added to GDP",1962,1118359369.0,X
106,"Agriculture, value added to GDP",1967,1247838568.0,X
107,"Agriculture, value added to GDP",1969,1412494635.0,X
108,Number of people undernourished (3-year average),1992,2900.0,X
109,Number of people undernourished (3-year average),1997,3122.2222222222,I
110,Number of people undernourished (3-year average),2002,3200.0,X
111,Number of people undernourished (3-year average),2007,3900.0,X
112,Number of people undernourished (3-year average),2008,4100.0,X
113,Number of people undernourished (3-year average),2017,3900.0,X
114,Prevalence of undernourishment (3-year average),1992,5.1,X
115,Prevalence of undernourishment (3-year average),1997,4.9888888889,I
116,Prevalence of undernourishment (3-year average),2002,4.8,X
117,Prevalence of undernourishment (3-year average),2007,5.5,X
118,Prevalence of undernourishment (3-year average),2017,4.9,X
119,Total population with access to safe drinking-water (JMP),1992,92.4,X
120,Total population with access to safe drinking-water (JMP),1997,93.5,X
121,Total population with access to safe drinking-water (JMP),2002,94.5,X
122,Total population with access to safe drinking-water (JMP),2007,95.4,X
123,Total population with access to safe drinking-water (JMP),2012,96.0,X
124,Total population with access to safe drinking-water (JMP),2017,96.2,I
125,Total population with access to safe drinking-water (JMP),2018,96.2,I
126,Long-term average annual precipitation in volume,1962,397.8942,E
127,Long-term average annual precipitation in volume,1967,397.8942,E
128,Long-term average annual precipitation in volume,1972,397.8942,E
129,Long-term average annual precipitation in volume,1977,397.8942,E
130,Long-term average annual precipitation in volume,1982,397.8942,E
131,Long-term average annual precipitation in volume,1987,397.8942,E
132,Long-term average annual precipitation in volume,1992,397.8942,E
133,Long-term average annual precipitation in volume,1997,397.8942,E
134,Long-term average annual precipitation in volume,2002,397.8942,E
135,Long-term average annual precipitation in volume,2007,397.8942,E
136,Long-term average annual precipitation in volume,2012,397.8942,E
137,Long-term average annual precipitation in volume,2017,397.8942,E
138,Long-term average annual precipitation in volume,2018,397.8942,E
139,Interannual variability (WRI),2017,2.3,I
140,Interannual variability (WRI),2018,2.3,I
141,Seasonal variability (WRI),2017,1.8,I
142,Seasonal variability (WRI),2018,1.8,I
143,Flood occurrence (WRI),2017,3.2,I
144,Flood occurrence (WRI),2018,3.2,I
149,Groundwater: entering the country (total),1962,0.0,OF
150,Groundwater: entering the country (total),1967,0.0,OF
151,Groundwater: entering the country (total),1972,0.0,OF
152,Groundwater: entering the country (total),1977,0.0,OF
153,Groundwater: entering the country (total),1982,0.0,OF
154,Groundwater: entering the country (total),1987,0.0,OF
155,Groundwater: entering the country (total),1992,0.0,OF
156,Groundwater: entering the country (total),1997,0.0,OF
157,Groundwater: entering the country (total),2002,0.0,OF
158,Groundwater: entering the country (total),2007,0.0,OF
159,Groundwater: entering the country (total),2012,0.0,OF
160,Groundwater: entering the country (total),2017,0.0,OF
161,Groundwater: leaving the country to other countries (total),1962,0.0,OF
162,Groundwater: leaving the country to other countries (total),1967,0.0,OF
163,Groundwater: leaving the country to other countries (total),1972,0.0,OF
164,Groundwater: leaving the country to other countries (total),1977,0.0,OF
165,Groundwater: leaving the country to other countries (total),1982,0.0,OF
166,Groundwater: leaving the country to other countries (total),1987,0.0,OF
167,Groundwater: leaving the country to other countries (total),1992,0.0,OF
168,Groundwater: leaving the country to other countries (total),1997,0.0,OF
169,Groundwater: leaving the country to other countries (total),2002,0.0,OF
170,Groundwater: leaving the country to other countries (total),2007,0.0,OF
171,Groundwater: leaving the country to other countries (total),2012,0.0,OF
172,Groundwater: leaving the country to other countries (total),2017,0.0,OF
173,Dependency ratio,1962,6.7725904161,E
174,Dependency ratio,1967,6.7725904161,E
175,Dependency ratio,1972,6.7725904161,E
176,Dependency ratio,1977,6.7725904161,E
177,Dependency ratio,1982,6.7725904161,E
178,Dependency ratio,1987,6.7725904161,E
179,Dependency ratio,1992,6.7725904161,E
180,Dependency ratio,1997,6.7725904161,E
181,Dependency ratio,2002,6.7725904161,E
182,Dependency ratio,2007,6.7725904161,E
183,Dependency ratio,2012,6.7725904161,E
184,Dependency ratio,2017,6.7725904161,E
185,Dependency ratio,2018,6.7725904161,E
186,Total internal renewable water resources (IRWR),1962,128.5,E
187,Total internal renewable water resources (IRWR),1967,128.5,E
188,Total internal renewable water resources (IRWR),1972,128.5,E
189,Total internal renewable water resources (IRWR),1977,128.5,E
190,Total internal renewable water resources (IRWR),1982,128.5,E
191,Total internal renewable water resources (IRWR),1987,128.5,E
192,Total internal renewable water resources (IRWR),1992,128.5,E
193,Total internal renewable water resources (IRWR),1997,128.5,E
194,Total internal renewable water resources (IRWR),2002,128.5,E
195,Total internal renewable water resources (IRWR),2007,128.5,E
196,Total internal renewable water resources (IRWR),2012,128.5,E
197,Total internal renewable water resources (IRWR),2017,128.5,E
198,Total internal renewable water resources (IRWR),2018,128.5,E
199,Total internal renewable water resources per capita,1962,5569.6868600684,E
200,Total internal renewable water resources per capita,1967,4882.6301212378,E
201,Total internal renewable water resources per capita,1972,4272.6095107224,E
202,Total internal renewable water resources per capita,1977,3692.2056676363,E
203,Total internal renewable water resources per capita,1982,3069.0791682944,E
204,Total internal renewable water resources per capita,1987,2510.0704612916,E
205,Total internal renewable water resources per capita,1992,2186.1039663411,E
206,Total internal renewable water resources per capita,1997,2035.2788423879,E
207,Total internal renewable water resources per capita,2002,1909.7925183573,E
208,Total internal renewable water resources per capita,2007,1801.3225352108,E
209,Total internal renewable water resources per capita,2012,1701.0882649294,E
210,Total internal renewable water resources per capita,2017,1592.8327139032,E
211,Total internal renewable water resources per capita,2018,1570.901035093,E
212,Total renewable surface water,1962,105.845,E
213,Total renewable surface water,1967,105.845,E
214,Total renewable surface water,1972,105.845,E
215,Total renewable surface water,1977,105.845,E
216,Total renewable surface water,1982,105.845,E
217,Total renewable surface water,1987,105.845,E
218,Total renewable surface water,1992,105.845,E
219,Total renewable surface water,1997,105.845,E
220,Total renewable surface water,2002,105.845,E
221,Total renewable surface water,2007,105.845,E
222,Total renewable surface water,2012,105.845,E
223,Total renewable surface water,2017,105.845,E
224,Total renewable surface water,2018,105.845,E
225,Total renewable groundwater,1962,49.3,E
226,Total renewable groundwater,1967,49.3,E
227,Total renewable groundwater,1972,49.3,E
228,Total renewable groundwater,1977,49.3,E
229,Total renewable groundwater,1982,49.3,E
230,Total renewable groundwater,1987,49.3,E
231,Total renewable groundwater,1992,49.3,E
232,Total renewable groundwater,1997,49.3,E
233,Total renewable groundwater,2002,49.3,E
234,Total renewable groundwater,2007,49.3,E
235,Total renewable groundwater,2012,49.3,E
236,Total renewable groundwater,2017,49.3,E
237,Total renewable groundwater,2018,49.3,E
238,Water resources: total external renewable,1962,8.545,E
239,Water resources: total external renewable,1967,8.545,E
240,Water resources: total external renewable,1972,8.545,E
241,Water resources: total external renewable,1977,8.545,E
242,Water resources: total external renewable,1982,8.545,E
243,Water resources: total external renewable,1987,8.545,E
244,Water resources: total external renewable,1992,8.545,E
245,Water resources: total external renewable,1997,8.545,E
246,Water resources: total external renewable,2002,8.545,E
247,Water resources: total external renewable,2007,8.545,E
248,Water resources: total external renewable,2012,8.545,E
249,Water resources: total external renewable,2017,8.545,E
250,Water resources: total external renewable,2018,8.545,E
251,Total renewable water resources,1962,137.045,E
252,Total renewable water resources,1967,137.045,E
253,Total renewable water resources,1972,137.045,E
254,Total renewable water resources,1977,137.045,E
255,Total renewable water resources,1982,137.045,E
256,Total renewable water resources,1987,137.045,E
257,Total renewable water resources,1992,137.045,E
258,Total renewable water resources,1997,137.045,E
259,Total renewable water resources,2002,137.045,E
260,Total renewable water resources,2007,137.045,E
261,Total renewable water resources,2012,137.045,E
262,Total renewable water resources,2017,137.045,E
263,Total renewable water resources,2018,137.045,E
264,Total renewable water resources per capita,1962,5940.0602002963,E
265,Total renewable water resources per capita,1967,5207.3155250197,E
266,Total renewable water resources per capita,1972,4556.7297307155,E
267,Total renewable water resources per capita,1977,3937.7301612546,E
268,Total renewable water resources per capita,1982,3273.1669620148,E
269,Total renewable water resources per capita,1987,2676.9852635619,E
270,Total renewable water resources per capita,1992,2331.4756269823,E
271,Total renewable water resources per capita,1997,2170.6209257202,E
272,Total renewable water resources per capita,2002,2036.7900052785,E
273,Total renewable water resources per capita,2007,1921.1069792837,E
274,Total renewable water resources per capita,2012,1814.207325037,E
275,Total renewable water resources per capita,2017,1698.7529904814,E
276,Total renewable water resources per capita,2018,1675.362897699,E
277,Total agricultural water managed area,1997,7621.02,I
278,Total agricultural water managed area,2002,8055.17,I
279,Total agricultural water managed area,2007,8441.3333333333,E
280,Total agricultural water managed area,2012,8710.0,E
281,Total agricultural water managed area,2017,8710.0,E
282,Total agricultural water managed area,2018,8710.0,E
283,Area equipped for irrigation: total,1997,7611.02,I
284,Area equipped for irrigation: total,2002,8045.17,I
285,Area equipped for irrigation: total,2007,8431.3333333333,I
286,Area equipped for irrigation: total,2012,8700.0,I
287,Area equipped for irrigation: total,2017,8700.0,I
288,Area equipped for irrigation: total,2018,8700.0,I
289,% of agricultural GVA produced by irrigated agriculture,1987,63.416679383,E
290,% of agricultural GVA produced by irrigated agriculture,1992,61.8706348574,E
291,% of agricultural GVA produced by irrigated agriculture,1997,66.106012574,E
292,% of agricultural GVA produced by irrigated agriculture,2002,70.2787664721,E
293,% of agricultural GVA produced by irrigated agriculture,2007,68.4267505846,E
294,% of agricultural GVA produced by irrigated agriculture,2012,72.5209268378,E
295,% of agricultural GVA produced by irrigated agriculture,2016,73.2392184752,E
296,Ratio between rainfed and irrigated yields,1962,2.511,E
297,Ratio between rainfed and irrigated yields,1967,2.511,E
298,Ratio between rainfed and irrigated yields,1972,2.511,E
299,Ratio between rainfed and irrigated yields,1977,2.511,E
300,Ratio between rainfed and irrigated yields,1982,2.511,E
301,Ratio between rainfed and irrigated yields,1987,2.511,E
302,Ratio between rainfed and irrigated yields,1992,2.511,E
303,Ratio between rainfed and irrigated yields,1997,2.511,E
304,Ratio between rainfed and irrigated yields,2002,2.511,E
305,Ratio between rainfed and irrigated yields,2007,2.511,I
306,Ratio between rainfed and irrigated yields,2012,2.511,E
307,Ratio between rainfed and irrigated yields,2017,2.511,I
308,Ratio between rainfed and irrigated yields,2018,2.511,I
309,Agricultural water withdrawal as % of total renewable water resources,1997,57.4993615236,I
310,Agricultural water withdrawal as % of total renewable water resources,2002,61.6585792988,I
311,Agricultural water withdrawal as % of total renewable water resources,2007,62.7531102922,I
312,Agricultural water withdrawal as % of total renewable water resources,2012,62.7531102922,I
313,Agricultural water withdrawal as % of total renewable water resources,2017,62.7531102922,I
314,Agricultural water withdrawal as % of total renewable water resources,2018,62.7531102922,I
315,Agricultural water withdrawal,1997,78.8,I
316,Agricultural water withdrawal,2002,84.5,I
317,Agricultural water withdrawal,2007,86.0,I
318,Agricultural water withdrawal,2012,86.0,I
319,Agricultural water withdrawal,2017,86.0,I
320,Agricultural water withdrawal,2018,86.0,I
321,Irrigation water requirement,2007,49.19,I
322,Irrigation water requirement,2012,49.19,I
323,Irrigation water requirement,2017,49.19,I
324,Irrigation water requirement,2018,49.19,I
325,Municipal water withdrawal,1997,5.4,I
326,Municipal water withdrawal,2002,5.35,I
327,Municipal water withdrawal,2007,6.2,I
328,Municipal water withdrawal,2012,6.2,I
329,Municipal water withdrawal,2017,6.2,I
330,Municipal water withdrawal,2018,6.2,I
331,Industrial water withdrawal,1997,1.0,I
332,Industrial water withdrawal,2002,1.05,I
333,Industrial water withdrawal,2007,1.1,I
334,Industrial water withdrawal,2012,1.1,I
335,Industrial water withdrawal,2017,1.1,I
336,Industrial water withdrawal,2018,1.1,I
337,Total water withdrawal,1977,47.7821111111,I
338,Total water withdrawal,1982,54.7373888889,I
339,Total water withdrawal,1987,61.6926666667,I
340,Total water withdrawal,1992,68.6479444444,I
341,Total water withdrawal,1997,85.2,I
342,Total water withdrawal,2002,90.9,I
343,Total water withdrawal,2007,93.3,I
344,Total water withdrawal,2012,93.3,I
345,Total water withdrawal,2017,93.3,I
346,Total water withdrawal,2018,93.3,I
347,Fresh surface water withdrawal,2007,39.85,I
348,Fresh surface water withdrawal,2012,39.85,I
349,Fresh surface water withdrawal,2017,39.85,I
350,Fresh surface water withdrawal,2018,39.85,I
351,Fresh groundwater withdrawal,2007,53.1,I
352,Fresh groundwater withdrawal,2012,53.1,I
353,Fresh groundwater withdrawal,2017,53.1,I
354,Fresh groundwater withdrawal,2018,53.1,I
355,Total freshwater withdrawal,1977,47.7817777778,I
356,Total freshwater withdrawal,1982,54.7373888889,E
357,Total freshwater withdrawal,1987,61.6926666667,E
358,Total freshwater withdrawal,1992,68.6451111111,I
359,Total freshwater withdrawal,1997,85.197,I
360,Total freshwater withdrawal,2002,90.7985,E
361,Total freshwater withdrawal,2007,92.95,I
362,Total freshwater withdrawal,2012,92.95,I
363,Total freshwater withdrawal,2017,92.95,I
364,Total freshwater withdrawal,2018,92.95,I
365,Desalinated water produced,1992,0.003,I
366,Desalinated water produced,1997,0.003,I
367,Desalinated water produced,2002,0.1015,I
368,Desalinated water produced,2007,0.2,I
369,Desalinated water produced,2012,0.2,I
370,Desalinated water produced,2017,0.2,I
371,Desalinated water produced,2018,0.2,I
372,Produced municipal wastewater,1997,3.184,I
373,Produced municipal wastewater,2002,3.324,I
374,Produced municipal wastewater,2007,3.464,I
375,Produced municipal wastewater,2012,3.548,I
376,Produced municipal wastewater,2017,3.548,I
377,Produced municipal wastewater,2018,3.548,I
378,Collected municipal wastewater,2012,1.162,I
379,Collected municipal wastewater,2017,1.162,I
380,Collected municipal wastewater,2018,1.162,I
381,Not treated municipal wastewater,1997,2.9049375,I
382,Not treated municipal wastewater,2002,2.8365,I
383,Not treated municipal wastewater,2007,2.7680625,I
384,Not treated municipal wastewater,2012,2.727,I
385,Not treated municipal wastewater,2017,2.727,I
386,Not treated municipal wastewater,2018,2.727,I
387,Treated municipal wastewater,1997,0.2790625,I
388,Treated municipal wastewater,2002,0.4875,I
389,Treated municipal wastewater,2007,0.6959375,I
390,Treated municipal wastewater,2012,0.885,OF
391,Treated municipal wastewater,2017,0.885,I
392,Treated municipal wastewater,2018,0.885,I
393,Direct use of not treated municipal wastewater for irrigation purposes,2007,0.244,I
394,Direct use of not treated municipal wastewater for irrigation purposes,2012,0.244,I
395,Direct use of not treated municipal wastewater for irrigation purposes,2017,0.244,I
396,Direct use of not treated municipal wastewater for irrigation purposes,2018,0.244,I
409,SDG 6.4.2. Water Stress,1977,41.787378353,E
410,SDG 6.4.2. Water Stress,1982,47.8703825168,E
411,SDG 6.4.2. Water Stress,1987,53.9530951652,E
412,SDG 6.4.2. Water Stress,1992,60.0333299323,E
413,SDG 6.4.2. Water Stress,1997,74.5087235996,E
414,SDG 6.4.2. Water Stress,2002,79.407494862,E
415,SDG 6.4.2. Water Stress,2007,81.2890812891,E
416,SDG 6.4.2. Water Stress,2012,81.2890812891,E
417,SDG 6.4.2. Water Stress,2017,81.2890812891,E
418,SDG 6.4.2. Water Stress,2018,81.2890812891,E
419,SDG 6.4.1. Water Use Efficiency,1997,2.6469787711,I
420,SDG 6.4.1. Water Use Efficiency,2002,3.0349937977,I
421,SDG 6.4.1. Water Use Efficiency,2007,4.0522054202,I
422,SDG 6.4.1. Water Use Efficiency,2016,4.5980751533,I
423,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.1832631517,E
424,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.1755993948,E
425,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.2145225869,E
426,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.3661645017,E
427,SDG 6.4.1. Industrial Water Use Efficiency,1997,84.1959331902,E
428,SDG 6.4.1. Industrial Water Use Efficiency,2002,115.8814941586,E
429,SDG 6.4.1. Industrial Water Use Efficiency,2007,156.328999278,E
430,SDG 6.4.1. Industrial Water Use Efficiency,2017,129.2750653299,E
431,SDG 6.4.1. Services Water Use Efficiency,1997,23.4973188426,E
432,SDG 6.4.1. Services Water Use Efficiency,2002,26.056236539,E
433,SDG 6.4.1. Services Water Use Efficiency,2007,30.2677296823,E
434,SDG 6.4.1. Services Water Use Efficiency,2017,43.7083114334,E
435,Area salinized by irrigation,1997,2100.0,I
436,Area salinized by irrigation,2002,2100.0,I
437,Area salinized by irrigation,2007,2100.0,I
438,Area salinized by irrigation,2012,2100.0,I
439,Area salinized by irrigation,2017,2100.0,I
440,Area salinized by irrigation,2018,2100.0,I
441,Area waterlogged by irrigation,1997,1000.0,I
442,Area waterlogged by irrigation,2002,1000.0,I
443,Area waterlogged by irrigation,2007,1000.0,I
444,Area waterlogged by irrigation,2012,1000.0,I
445,Area waterlogged by irrigation,2017,1000.0,I
446,Area waterlogged by irrigation,2018,1000.0,I
447,Harvested irrigated temporary crop area: Wheat,1987,2204.5,I
448,Harvested irrigated temporary crop area: Wheat,1992,2318.25,I
449,Harvested irrigated temporary crop area: Wheat,1997,2458.2,I
450,Harvested irrigated temporary crop area: Wheat,2002,2604.7,I
451,Harvested irrigated temporary crop area: Wheat,2007,2634.0,I
452,Harvested irrigated temporary crop area: Wheat,2012,2634.0,I
453,Harvested irrigated temporary crop area: Wheat,2017,2634.0,I
454,Harvested irrigated temporary crop area: Wheat,2018,2634.0,I
455,Harvested irrigated temporary crop area: Rice,1987,515.375,I
456,Harvested irrigated temporary crop area: Rice,1992,576.3125,I
457,Harvested irrigated temporary crop area: Rice,1997,604.34,I
458,Harvested irrigated temporary crop area: Rice,2002,624.14,I
459,Harvested irrigated temporary crop area: Rice,2007,628.1,I
460,Harvested irrigated temporary crop area: Rice,2012,628.1,I
461,Harvested irrigated temporary crop area: Rice,2017,628.1,I
462,Harvested irrigated temporary crop area: Rice,2018,628.1,I
463,Harvested irrigated temporary crop area: Barley,1987,714.45,I
464,Harvested irrigated temporary crop area: Barley,1992,675.575,I
465,Harvested irrigated temporary crop area: Barley,1997,643.68,I
466,Harvested irrigated temporary crop area: Barley,2002,613.53,I
467,Harvested irrigated temporary crop area: Barley,2007,607.5,I
468,Harvested irrigated temporary crop area: Barley,2012,607.5,I
469,Harvested irrigated temporary crop area: Barley,2017,607.5,I
470,Harvested irrigated temporary crop area: Barley,2018,607.5,I
471,Harvested irrigated temporary crop area: Maize,2007,275.9,I
472,Harvested irrigated temporary crop area: Maize,2012,275.9,I
473,Harvested irrigated temporary crop area: Maize,2017,275.9,I
474,Harvested irrigated temporary crop area: Maize,2018,275.9,I
475,Harvested irrigated temporary crop area: Other cereals,2007,0.065,I
476,Harvested irrigated temporary crop area: Other cereals,2012,0.065,I
477,Harvested irrigated temporary crop area: Other cereals,2017,0.065,I
478,Harvested irrigated temporary crop area: Other cereals,2018,0.065,I
479,Harvested irrigated temporary crop area: Sweet potatoes,2007,186.7,I
480,Harvested irrigated temporary crop area: Sweet potatoes,2012,186.7,I
481,Harvested irrigated temporary crop area: Sweet potatoes,2017,186.7,I
482,Harvested irrigated temporary crop area: Sweet potatoes,2018,186.7,I
483,Harvested irrigated temporary crop area: Other roots and tubers,1987,187.75,I
484,Harvested irrigated temporary crop area: Other roots and tubers,1992,157.125,I
485,Harvested irrigated temporary crop area: Other roots and tubers,1997,110.104,I
486,Harvested irrigated temporary crop area: Other roots and tubers,2002,58.984,I
487,Harvested irrigated temporary crop area: Other roots and tubers,2007,48.76,I
488,Harvested irrigated temporary crop area: Other roots and tubers,2012,48.76,I
489,Harvested irrigated temporary crop area: Other roots and tubers,2017,48.76,I
490,Harvested irrigated temporary crop area: Other roots and tubers,2018,48.76,I
491,Harvested irrigated temporary crop area: Sugarcane,1987,27.54,I
492,Harvested irrigated temporary crop area: Sugarcane,1992,26.39,I
493,Harvested irrigated temporary crop area: Sugarcane,1997,41.048,I
494,Harvested irrigated temporary crop area: Sugarcane,2002,59.658,I
495,Harvested irrigated temporary crop area: Sugarcane,2007,63.38,I
496,Harvested irrigated temporary crop area: Sugarcane,2012,63.38,I
497,Harvested irrigated temporary crop area: Sugarcane,2017,63.38,I
498,Harvested irrigated temporary crop area: Sugarcane,2018,63.38,I
499,Harvested irrigated temporary crop area: Sugar beet,2007,152.9,I
500,Harvested irrigated temporary crop area: Sugar beet,2012,152.9,I
501,Harvested irrigated temporary crop area: Sugar beet,2017,152.9,I
502,Harvested irrigated temporary crop area: Sugar beet,2018,152.9,I
503,Harvested irrigated temporary crop area: Leguminous crops,1997,179.02,I
504,Harvested irrigated temporary crop area: Leguminous crops,2002,162.92,I
505,Harvested irrigated temporary crop area: Leguminous crops,2007,159.7,I
506,Harvested irrigated temporary crop area: Leguminous crops,2012,159.7,I
507,Harvested irrigated temporary crop area: Leguminous crops,2017,159.7,I
508,Harvested irrigated temporary crop area: Leguminous crops,2018,159.7,I
509,Harvested irrigated temporary crop area: Vegetables,1987,481.275,I
510,Harvested irrigated temporary crop area: Vegetables,1992,434.4625,I
511,Harvested irrigated temporary crop area: Vegetables,1997,480.26,I
512,Harvested irrigated temporary crop area: Vegetables,2002,549.21,I
513,Harvested irrigated temporary crop area: Vegetables,2007,563.0,I
514,Harvested irrigated temporary crop area: Vegetables,2012,563.0,I
515,Harvested irrigated temporary crop area: Vegetables,2017,563.0,I
516,Harvested irrigated temporary crop area: Vegetables,2018,563.0,I
517,Harvested irrigated permanent crop area: Bananas,2007,2.889,I
518,Harvested irrigated permanent crop area: Bananas,2012,2.889,I
519,Harvested irrigated permanent crop area: Bananas,2017,2.889,I
520,Harvested irrigated permanent crop area: Bananas,2018,2.889,I
521,Harvested irrigated permanent crop area: Citrus,2007,213.3,I
522,Harvested irrigated permanent crop area: Citrus,2012,213.3,I
523,Harvested irrigated permanent crop area: Citrus,2017,213.3,I
524,Harvested irrigated permanent crop area: Citrus,2018,213.3,I
525,Harvested irrigated permanent crop area: Tea,2007,2.934,I
526,Harvested irrigated permanent crop area: Tea,2012,2.934,I
527,Harvested irrigated permanent crop area: Tea,2017,2.934,I
528,Harvested irrigated permanent crop area: Tea,2018,2.934,I
529,Harvested irrigated temporary crop area: Tobacco,2007,10.14,I
530,Harvested irrigated temporary crop area: Tobacco,2012,10.14,I
531,Harvested irrigated temporary crop area: Tobacco,2017,10.14,I
532,Harvested irrigated temporary crop area: Tobacco,2018,10.14,I
533,Harvested irrigated temporary crop area: Cotton,1987,146.225,I
534,Harvested irrigated temporary crop area: Cotton,1992,131.7875,I
535,Harvested irrigated temporary crop area: Cotton,1997,134.62,I
536,Harvested irrigated temporary crop area: Cotton,2002,141.77,I
537,Harvested irrigated temporary crop area: Cotton,2007,143.2,I
538,Harvested irrigated temporary crop area: Cotton,2012,143.2,I
539,Harvested irrigated temporary crop area: Cotton,2017,143.2,I
540,Harvested irrigated temporary crop area: Cotton,2018,143.2,I
541,Harvested irrigated temporary crop area: Fodder,1997,825.34,I
542,Harvested irrigated temporary crop area: Fodder,2002,869.39,I
