Argentina,Variable Name,Year,Value,Symbol
45,Rural population,2012,3737.979,X
46,Rural population,2017,3652.804,X
47,Rural population,2018,3632.997,X
48,Urban population,1962,15916.204,X
49,Urban population,1967,17749.007,X
50,Urban population,1972,19762.737,X
51,Urban population,1977,21974.641,X
52,Urban population,1982,24284.936,X
53,Urban population,1987,26891.703,X
54,Urban population,1992,29462.297,X
55,Urban population,1997,31735.974,X
56,Urban population,2002,33914.629,X
57,Urban population,2007,36119.46,X
58,Urban population,2012,38358.76,X
59,Urban population,2017,40618.237,X
60,Urban population,2018,41055.867,X
61,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.4074,I
62,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3822,I
63,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.382,I
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3756,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3756,I
66,Gross Domestic Product (GDP),1962,24450604878.0,X
67,Gross Domestic Product (GDP),1967,24256667553.0,X
68,Gross Domestic Product (GDP),1972,38310473360.0,X
69,Gross Domestic Product (GDP),1977,61654971665.0,X
70,Gross Domestic Product (GDP),1982,87041466885.0,X
71,Gross Domestic Product (GDP),1987,117919338027.0,X
72,Gross Domestic Product (GDP),1992,247929419773.0,X
73,Gross Domestic Product (GDP),1997,317532579013.0,X
74,Gross Domestic Product (GDP),2002,110583590317.0,X
75,Gross Domestic Product (GDP),2007,289755142707.0,X
76,Gross Domestic Product (GDP),2012,581430904393.0,X
77,Gross Domestic Product (GDP),2017,642695596034.0,X
78,GDP per capita,1972,1545.839979,X
79,GDP per capita,1977,2293.834201,X
80,GDP per capita,1982,3002.052353,X
81,GDP per capita,1987,3764.20729,X
82,GDP per capita,1992,7366.759988,X
83,GDP per capita,1997,8861.217104,X
84,GDP per capita,2002,2918.591423,X
85,GDP per capita,2007,7249.274928,X
86,GDP per capita,2012,13811.780157,X
87,GDP per capita,2017,14517.291248,X
88,GDP per capita,2018,11601.890079,X
89,"Agriculture, value added (% GDP)",1967,9.98,X
90,"Agriculture, value added (% GDP)",1972,9.509485,X
91,"Agriculture, value added (% GDP)",1977,7.019216,X
92,"Agriculture, value added (% GDP)",1982,8.318905,X
93,"Agriculture, value added (% GDP)",1987,7.017414,X
94,"Agriculture, value added (% GDP)",1992,5.193747,X
95,"Agriculture, value added (% GDP)",1997,4.527197,X
96,"Agriculture, value added (% GDP)",2002,8.84866,X
97,"Agriculture, value added (% GDP)",2007,7.452354,X
98,"Agriculture, value added (% GDP)",2012,5.781744,X
99,"Agriculture, value added (% GDP)",2017,5.478382,X
100,"Agriculture, value added to GDP",1967,2420909129.0,X
101,"Agriculture, value added to GDP",1969,2871142801.0,X
102,Number of people undernourished (3-year average),2001,1300.0,X
103,Number of people undernourished (3-year average),2005,1600.0,X
104,Number of people undernourished (3-year average),2011,1400.0,X
105,Number of people undernourished (3-year average),2016,1100.0,X
106,Prevalence of undernourishment (3-year average),2001,3.5,X
107,Prevalence of undernourishment (3-year average),2007,3.4,X
108,Prevalence of undernourishment (3-year average),2012,3.3,X
109,Prevalence of undernourishment (3-year average),2016,2.6,X
110,Total population with access to safe drinking-water (JMP),1992,94.3,X
111,Total population with access to safe drinking-water (JMP),1997,95.6,X
112,Total population with access to safe drinking-water (JMP),2002,96.7,X
113,Total population with access to safe drinking-water (JMP),2007,97.7,X
114,Total population with access to safe drinking-water (JMP),2012,98.6,X
115,Total population with access to safe drinking-water (JMP),2017,99.1,I
116,Total population with access to safe drinking-water (JMP),2018,99.1,I
117,Population affected by water related disease,2012,5607.0,I
118,Population affected by water related disease,2017,5607.0,I
119,Population affected by water related disease,2018,5607.0,I
120,Long-term average annual precipitation in volume,1962,1643.0,OF
121,Long-term average annual precipitation in volume,1967,1643.0,OF
122,Long-term average annual precipitation in volume,1972,1643.0,OF
123,Long-term average annual precipitation in volume,1977,1643.0,OF
124,Long-term average annual precipitation in volume,1982,1643.0,OF
125,Long-term average annual precipitation in volume,1987,1643.0,OF
126,Long-term average annual precipitation in volume,1992,1643.0,OF
127,Long-term average annual precipitation in volume,1997,1643.0,OF
128,Long-term average annual precipitation in volume,2002,1643.0,OF
129,Long-term average annual precipitation in volume,2007,1643.0,OF
130,Long-term average annual precipitation in volume,2012,1643.0,OF
131,Long-term average annual precipitation in volume,2017,1643.0,OF
132,Long-term average annual precipitation in volume,2018,1643.2164,E
133,Interannual variability (WRI),2017,2.4,I
134,Interannual variability (WRI),2018,2.4,I
135,Seasonal variability (WRI),2017,1.8,I
136,Seasonal variability (WRI),2018,1.8,I
137,Flood occurrence (WRI),2017,2.5,I
138,Flood occurrence (WRI),2018,2.5,I
150,Surface water: entering the country (total),2017,516.3,OF
151,Surface water: leaving the country to other countries (total),1962,48.0,OF
152,Surface water: leaving the country to other countries (total),1967,48.0,OF
153,Surface water: leaving the country to other countries (total),1972,48.0,OF
154,Surface water: leaving the country to other countries (total),1977,48.0,OF
155,Surface water: leaving the country to other countries (total),1982,48.0,OF
156,Surface water: leaving the country to other countries (total),1987,48.0,OF
157,Surface water: leaving the country to other countries (total),1992,48.0,OF
158,Surface water: leaving the country to other countries (total),1997,48.0,OF
159,Surface water: leaving the country to other countries (total),2002,48.0,OF
160,Surface water: leaving the country to other countries (total),2007,48.0,OF
161,Surface water: leaving the country to other countries (total),2012,48.0,OF
162,Surface water: leaving the country to other countries (total),2017,48.0,OF
163,Groundwater: entering the country (total),1962,0.0,OF
164,Groundwater: entering the country (total),1967,0.0,OF
165,Groundwater: entering the country (total),1972,0.0,OF
166,Groundwater: entering the country (total),1977,0.0,OF
167,Groundwater: entering the country (total),1982,0.0,OF
168,Groundwater: entering the country (total),1987,0.0,OF
169,Groundwater: entering the country (total),1992,0.0,OF
170,Groundwater: entering the country (total),1997,0.0,OF
171,Groundwater: entering the country (total),2002,0.0,OF
172,Groundwater: entering the country (total),2007,0.0,OF
173,Groundwater: entering the country (total),2012,0.0,OF
174,Groundwater: entering the country (total),2017,0.0,OF
175,Groundwater: leaving the country to other countries (total),1962,0.0,OF
176,Groundwater: leaving the country to other countries (total),1967,0.0,OF
177,Groundwater: leaving the country to other countries (total),1972,0.0,OF
178,Groundwater: leaving the country to other countries (total),1977,0.0,OF
179,Groundwater: leaving the country to other countries (total),1982,0.0,OF
180,Groundwater: leaving the country to other countries (total),1987,0.0,OF
181,Groundwater: leaving the country to other countries (total),1992,0.0,OF
182,Groundwater: leaving the country to other countries (total),1997,0.0,OF
183,Groundwater: leaving the country to other countries (total),2002,0.0,OF
184,Groundwater: leaving the country to other countries (total),2007,0.0,OF
185,Groundwater: leaving the country to other countries (total),2012,0.0,OF
186,Groundwater: leaving the country to other countries (total),2017,0.0,OF
187,Dependency ratio,1962,66.6757965854,E
188,Dependency ratio,1967,66.6757965854,E
189,Dependency ratio,1972,66.6757965854,E
190,Dependency ratio,1977,66.6757965854,E
191,Dependency ratio,1982,66.6757965854,E
192,Dependency ratio,1987,66.6757965854,E
193,Dependency ratio,1992,66.6757965854,E
194,Dependency ratio,1997,66.6757965854,E
195,Dependency ratio,2002,66.6757965854,E
196,Dependency ratio,2007,66.6757965854,E
197,Dependency ratio,2012,66.6757965854,E
198,Dependency ratio,2017,66.6757965854,E
199,Dependency ratio,2018,66.6757965854,E
200,Total internal renewable water resources (IRWR),1962,292.0,E
201,Total internal renewable water resources (IRWR),1967,292.0,E
202,Total internal renewable water resources (IRWR),1972,292.0,E
203,Total internal renewable water resources (IRWR),1977,292.0,E
204,Total internal renewable water resources (IRWR),1982,292.0,E
205,Total internal renewable water resources (IRWR),1987,292.0,E
206,Total internal renewable water resources (IRWR),1992,292.0,E
207,Total internal renewable water resources (IRWR),1997,292.0,E
208,Total internal renewable water resources (IRWR),2002,292.0,E
209,Total internal renewable water resources (IRWR),2007,292.0,E
210,Total internal renewable water resources (IRWR),2012,292.0,E
211,Total internal renewable water resources (IRWR),2017,292.0,E
212,Total internal renewable water resources (IRWR),2018,292.0,E
213,Total internal renewable water resources per capita,1962,13804.1545966984,E
214,Total internal renewable water resources per capita,1967,12790.8220069947,E
215,Total internal renewable water resources per capita,1972,11844.3161986235,E
216,Total internal renewable water resources per capita,1977,10952.1638737774,E
217,Total internal renewable water resources per capita,1982,10140.8086002948,E
218,Total internal renewable water resources per capita,1987,9363.6516830603,E
219,Total internal renewable water resources per capita,1992,8708.7942060034,E
220,Total internal renewable water resources per capita,1997,8189.0368483942,E
221,Total internal renewable water resources per capita,2002,7749.1095224906,E
222,Total internal renewable water resources per capita,2007,7358.0745229316,E
223,Total internal renewable water resources per capita,2012,6993.1416439765,E
224,Total internal renewable water resources per capita,2017,6645.8581509857,E
225,Total internal renewable water resources per capita,2018,6582.3361206822,E
226,Total renewable surface water,1962,860.24,E
227,Total renewable surface water,1967,860.24,E
228,Total renewable surface water,1972,860.24,E
229,Total renewable surface water,1977,860.24,E
230,Total renewable surface water,1982,860.24,E
231,Total renewable surface water,1987,860.24,E
232,Total renewable surface water,1992,860.24,E
233,Total renewable surface water,1997,860.24,E
234,Total renewable surface water,2002,860.24,E
235,Total renewable surface water,2007,860.24,E
236,Total renewable surface water,2012,860.24,E
237,Total renewable surface water,2017,860.24,E
238,Total renewable surface water,2018,860.24,E
239,Total renewable groundwater,1962,128.0,E
240,Total renewable groundwater,1967,128.0,E
241,Total renewable groundwater,1972,128.0,E
242,Total renewable groundwater,1977,128.0,E
243,Total renewable groundwater,1982,128.0,E
244,Total renewable groundwater,1987,128.0,E
245,Total renewable groundwater,1992,128.0,E
246,Total renewable groundwater,1997,128.0,E
247,Total renewable groundwater,2002,128.0,E
248,Total renewable groundwater,2007,128.0,E
249,Total renewable groundwater,2012,128.0,E
250,Total renewable groundwater,2017,128.0,E
251,Total renewable groundwater,2018,128.0,E
252,Water resources: total external renewable,1962,584.24,E
253,Water resources: total external renewable,1967,584.24,E
254,Water resources: total external renewable,1972,584.24,E
255,Water resources: total external renewable,1977,584.24,E
256,Water resources: total external renewable,1982,584.24,E
257,Water resources: total external renewable,1987,584.24,E
258,Water resources: total external renewable,1992,584.24,E
259,Water resources: total external renewable,1997,584.24,E
260,Water resources: total external renewable,2002,584.24,E
261,Water resources: total external renewable,2007,584.24,E
262,Water resources: total external renewable,2012,584.24,E
263,Water resources: total external renewable,2017,584.24,E
264,Water resources: total external renewable,2018,584.24,E
265,Total renewable water resources,1962,876.24,E
266,Total renewable water resources,1967,876.24,E
267,Total renewable water resources,1972,876.24,E
268,Total renewable water resources,1977,876.24,E
269,Total renewable water resources,1982,876.24,E
270,Total renewable water resources,1987,876.24,E
271,Total renewable water resources,1992,876.24,E
272,Total renewable water resources,1997,876.24,E
273,Total renewable water resources,2002,876.24,E
274,Total renewable water resources,2007,876.24,E
275,Total renewable water resources,2012,876.24,E
276,Total renewable water resources,2017,876.24,E
277,Total renewable water resources,2018,876.24,E
278,Total renewable water resources per capita,1962,41423.8096705856,E
279,Total renewable water resources per capita,1967,38382.9790253735,E
280,Total renewable water resources per capita,1972,35542.6836502803,E
281,Total renewable water resources per capita,1977,32865.4933998585,E
282,Total renewable water resources per capita,1982,30430.7607120626,E
283,Total renewable water resources per capita,1987,28098.6512012491,E
284,Total renewable water resources per capita,1992,26133.5405310563,E
285,Total renewable water resources per capita,1997,24573.8412604005,E
286,Total renewable water resources per capita,2002,23253.6976985861,E
287,Total renewable water resources per capita,2007,22080.2713012793,E
288,Total renewable water resources per capita,2012,20985.172719582,E
289,Total renewable water resources per capita,2017,19943.0368021223,E
290,Total renewable water resources per capita,2018,19752.4185013238,E
291,Total agricultural water managed area,1992,1614.0816770186,E
292,Total agricultural water managed area,1997,1812.6712732919,E
293,Total agricultural water managed area,2002,2138.2608695652,E
294,Total agricultural water managed area,2007,2259.7826086956,E
295,Total agricultural water managed area,2012,2357.0,I
296,Total agricultural water managed area,2017,2357.0,I
297,Total agricultural water managed area,2018,2357.0,I
298,Area equipped for irrigation: total,1992,1614.0816770186,E
299,Area equipped for irrigation: total,1997,1812.6712732919,E
300,Area equipped for irrigation: total,2002,2138.2608695652,E
301,Area equipped for irrigation: total,2007,2259.7826086956,E
302,Area equipped for irrigation: total,2012,2357.0,I
303,Area equipped for irrigation: total,2017,2357.0,I
304,Area equipped for irrigation: total,2018,2357.0,I
305,% of agricultural GVA produced by irrigated agriculture,1972,6.6181483496,E
306,% of agricultural GVA produced by irrigated agriculture,1977,6.8800343074,E
307,% of agricultural GVA produced by irrigated agriculture,1982,6.8928813749,E
308,% of agricultural GVA produced by irrigated agriculture,1987,7.1941555104,E
309,% of agricultural GVA produced by irrigated agriculture,1992,7.4568506893,E
310,% of agricultural GVA produced by irrigated agriculture,1997,8.9085003996,E
311,% of agricultural GVA produced by irrigated agriculture,2002,7.6906761744,E
312,Ratio between rainfed and irrigated yields,1962,1.69,E
313,Ratio between rainfed and irrigated yields,1967,1.69,E
314,Ratio between rainfed and irrigated yields,1972,1.69,E
315,Ratio between rainfed and irrigated yields,1977,1.69,E
316,Ratio between rainfed and irrigated yields,1982,1.69,E
317,Ratio between rainfed and irrigated yields,1987,1.69,E
318,Ratio between rainfed and irrigated yields,1992,1.69,E
319,Ratio between rainfed and irrigated yields,1997,1.69,E
320,Ratio between rainfed and irrigated yields,2002,1.69,E
321,Ratio between rainfed and irrigated yields,2007,1.69,I
322,Ratio between rainfed and irrigated yields,2012,1.69,E
323,Ratio between rainfed and irrigated yields,2017,1.69,I
324,Ratio between rainfed and irrigated yields,2018,1.69,I
325,Agricultural water withdrawal as % of total renewable water resources,1997,2.4559481421,I
326,Agricultural water withdrawal as % of total renewable water resources,2002,2.5889544583,I
327,Agricultural water withdrawal as % of total renewable water resources,2007,2.9214702489,I
328,Agricultural water withdrawal as % of total renewable water resources,2012,3.1874828814,I
329,Agricultural water withdrawal as % of total renewable water resources,2017,3.1874828814,I
330,Agricultural water withdrawal as % of total renewable water resources,2018,3.1874828814,I
331,Agricultural water withdrawal,1997,21.52,I
332,Agricultural water withdrawal,2002,22.6854545455,I
333,Agricultural water withdrawal,2007,25.5990909091,I
334,Agricultural water withdrawal,2012,27.93,I
335,Agricultural water withdrawal,2017,27.93,I
336,Agricultural water withdrawal,2018,27.93,I
337,Irrigation water requirement,2012,12.23,I
338,Irrigation water requirement,2017,12.23,I
339,Irrigation water requirement,2018,12.23,I
340,Municipal water withdrawal,1997,4.72125,I
341,Municipal water withdrawal,2002,5.124375,I
342,Municipal water withdrawal,2007,5.5275,I
343,Municipal water withdrawal,2012,5.85,I
344,Municipal water withdrawal,2017,5.85,I
345,Municipal water withdrawal,2018,5.85,I
346,Industrial water withdrawal,1997,3.09,I
347,Industrial water withdrawal,2002,3.9795454545,I
348,Industrial water withdrawal,2007,3.9909090909,I
349,Industrial water withdrawal,2012,4.0,I
350,Industrial water withdrawal,2017,4.0,I
351,Industrial water withdrawal,2018,4.0,I
352,Total water withdrawal,1977,27.6515789474,I
353,Total water withdrawal,1982,27.9094736842,I
354,Total water withdrawal,1987,28.1673684211,I
355,Total water withdrawal,1992,28.4252631579,I
356,Total water withdrawal,1997,29.33125,E
357,Total water withdrawal,2002,31.789375,E
358,Total water withdrawal,2007,35.1175,E
359,Total water withdrawal,2012,37.78,I
360,Total water withdrawal,2017,37.78,I
361,Total water withdrawal,2018,37.78,I
362,Fresh surface water withdrawal,2012,26.36,I
363,Fresh surface water withdrawal,2017,26.36,I
364,Fresh surface water withdrawal,2018,26.36,I
365,Fresh groundwater withdrawal,2012,11.33,I
366,Fresh groundwater withdrawal,2017,11.33,I
367,Fresh groundwater withdrawal,2018,11.33,I
368,Total freshwater withdrawal,1976,27.6,E
369,Total freshwater withdrawal,1986,28.1157894737,E
370,Total freshwater withdrawal,1990,28.3214052632,E
371,Total freshwater withdrawal,1997,29.29427,E
372,Total freshwater withdrawal,2002,31.6979204545,E
373,Total freshwater withdrawal,2007,35.0259090909,E
374,Total freshwater withdrawal,2012,37.69,I
375,Total freshwater withdrawal,2017,37.69,I
376,Total freshwater withdrawal,2018,37.69,I
377,Desalinated water produced,1992,0.0007,I
378,Desalinated water produced,1997,0.0007,I
379,Desalinated water produced,2002,0.0007,I
380,Desalinated water produced,2007,0.0007,I
381,Desalinated water produced,2012,0.0007,I
382,Desalinated water produced,2017,0.0007,I
383,Desalinated water produced,2018,0.0007,I
384,Direct use of treated municipal wastewater,1977,0.0,I
385,Direct use of treated municipal wastewater,1982,0.0,I
386,Direct use of treated municipal wastewater,1987,0.0,I
387,Direct use of treated municipal wastewater,1992,0.0,
388,Direct use of treated municipal wastewater,1997,0.03628,I
389,Direct use of treated municipal wastewater,2002,0.0907545455,I
390,Direct use of treated municipal wastewater,2007,0.0908909091,I
391,Direct use of treated municipal wastewater,2012,0.091,I
392,Direct use of treated municipal wastewater,2017,0.091,I
393,Direct use of treated municipal wastewater,2018,0.091,I
394,Produced municipal wastewater,2012,2.458,I
395,Produced municipal wastewater,2017,2.458,I
396,Produced municipal wastewater,2018,2.458,I
397,Collected municipal wastewater,2012,1.596,I
398,Collected municipal wastewater,2017,1.596,I
399,Collected municipal wastewater,2018,1.596,I
400,Not treated municipal wastewater,2012,2.168,I
401,Not treated municipal wastewater,2017,2.168,I
402,Not treated municipal wastewater,2018,2.168,I
403,Treated municipal wastewater,2002,0.14136,I
404,Treated municipal wastewater,2007,0.23426,I
405,Treated municipal wastewater,2012,0.29,I
406,Treated municipal wastewater,2017,0.29,I
407,Treated municipal wastewater,2018,0.29,I
408,Treated municipal wastewater discharged (secondary water),2002,0.0135,I
409,Treated municipal wastewater discharged (secondary water),2007,0.0135,I
410,Treated municipal wastewater discharged (secondary water),2012,0.0135,I
411,Treated municipal wastewater discharged (secondary water),2017,0.0135,I
412,Treated municipal wastewater discharged (secondary water),2018,0.0135,I
425,SDG 6.4.2. Water Stress,1976,7.657307735,E
426,SDG 6.4.2. Water Stress,1990,7.8574534633,E
427,SDG 6.4.2. Water Stress,1997,8.1273637776,E
428,SDG 6.4.2. Water Stress,2002,8.7942294014,E
429,SDG 6.4.2. Water Stress,2007,9.7175421959,E
430,SDG 6.4.2. Water Stress,2012,10.4566640772,E
431,SDG 6.4.2. Water Stress,2017,10.4566640772,E
432,SDG 6.4.2. Water Stress,2018,10.4566640772,E
433,SDG 6.4.1. Water Use Efficiency,1997,12.1844518106,I
434,SDG 6.4.1. Water Use Efficiency,2002,9.2497026316,I
435,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.0807698546,E
436,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.1096187224,E
437,SDG 6.4.1. Industrial Water Use Efficiency,1997,29.856348455,E
438,SDG 6.4.1. Industrial Water Use Efficiency,2002,22.932636843,E
439,SDG 6.4.1. Industrial Water Use Efficiency,2007,35.9563172417,E
440,SDG 6.4.1. Industrial Water Use Efficiency,2012,36.6709421629,E
441,SDG 6.4.1. Industrial Water Use Efficiency,2017,32.6395950352,E
442,SDG 6.4.1. Services Water Use Efficiency,1997,55.7883861631,E
443,SDG 6.4.1. Services Water Use Efficiency,2002,39.0865313999,E
444,SDG 6.4.1. Services Water Use Efficiency,2007,51.4046339125,E
445,SDG 6.4.1. Services Water Use Efficiency,2012,58.8612358917,E
446,SDG 6.4.1. Services Water Use Efficiency,2017,65.0549562883,E
447,Area salinized by irrigation,1997,584.0,OF
448,Area salinized by irrigation,2002,584.0,I
449,Area salinized by irrigation,2007,584.0,I
450,Area salinized by irrigation,2012,584.0,I
451,Area salinized by irrigation,2017,584.0,I
452,Area salinized by irrigation,2018,584.0,I
453,Harvested irrigated temporary crop area: Wheat,2012,60.0,I
454,Harvested irrigated temporary crop area: Wheat,2017,60.0,I
455,Harvested irrigated temporary crop area: Wheat,2018,60.0,I
456,Harvested irrigated temporary crop area: Rice,1997,96.81,OF
457,Harvested irrigated temporary crop area: Rice,2002,127.3509090909,I
458,Harvested irrigated temporary crop area: Rice,2007,157.8918181818,I
459,Harvested irrigated temporary crop area: Rice,2012,164.0,I
460,Harvested irrigated temporary crop area: Rice,2017,164.0,I
461,Harvested irrigated temporary crop area: Rice,2018,164.0,I
462,Harvested irrigated temporary crop area: Maize,1997,171.2,OF
463,Harvested irrigated temporary crop area: Maize,2002,183.3818181818,I
464,Harvested irrigated temporary crop area: Maize,2007,195.5636363636,I
465,Harvested irrigated temporary crop area: Maize,2012,198.0,I
466,Harvested irrigated temporary crop area: Maize,2017,198.0,I
467,Harvested irrigated temporary crop area: Maize,2018,198.0,I
468,Harvested irrigated temporary crop area: Sorghum,2012,108.0,I
469,Harvested irrigated temporary crop area: Sorghum,2017,108.0,I
470,Harvested irrigated temporary crop area: Sorghum,2018,108.0,I
471,Harvested irrigated temporary crop area: Potatoes,2012,29.0,I
472,Harvested irrigated temporary crop area: Potatoes,2017,29.0,I
473,Harvested irrigated temporary crop area: Potatoes,2018,29.0,I
474,Harvested irrigated temporary crop area: Other roots and tubers,1997,162.9,OF
475,Harvested irrigated temporary crop area: Other roots and tubers,2002,162.9,I
476,Harvested irrigated temporary crop area: Other roots and tubers,2007,162.9,I
477,Harvested irrigated temporary crop area: Other roots and tubers,2012,162.9,I
478,Harvested irrigated temporary crop area: Other roots and tubers,2017,162.9,I
479,Harvested irrigated temporary crop area: Other roots and tubers,2018,162.9,I
480,Harvested irrigated temporary crop area: Sugarcane,1997,240.0,OF
481,Harvested irrigated temporary crop area: Sugarcane,2002,242.7272727273,I
482,Harvested irrigated temporary crop area: Sugarcane,2007,245.4545454545,I
483,Harvested irrigated temporary crop area: Sugarcane,2012,246.0,I
484,Harvested irrigated temporary crop area: Sugarcane,2017,246.0,I
485,Harvested irrigated temporary crop area: Sugarcane,2018,246.0,I
486,Harvested irrigated temporary crop area: Leguminous crops,2012,208.0,I
487,Harvested irrigated temporary crop area: Leguminous crops,2017,208.0,I
488,Harvested irrigated temporary crop area: Leguminous crops,2018,208.0,I
489,Harvested irrigated temporary crop area: Vegetables,1997,261.8,OF
490,Harvested irrigated temporary crop area: Vegetables,2002,284.6181818182,I
491,Harvested irrigated temporary crop area: Vegetables,2007,307.4363636364,I
492,Harvested irrigated temporary crop area: Vegetables,2012,312.0,I
493,Harvested irrigated temporary crop area: Vegetables,2017,312.0,I
494,Harvested irrigated temporary crop area: Vegetables,2018,312.0,I
495,Harvested irrigated permanent crop area: Citrus,2012,22.0,I
496,Harvested irrigated permanent crop area: Citrus,2017,22.0,I
497,Harvested irrigated permanent crop area: Citrus,2018,22.0,I
498,Harvested irrigated temporary crop area: Tobacco,2012,10.0,I
499,Harvested irrigated temporary crop area: Tobacco,2017,10.0,I
500,Harvested irrigated temporary crop area: Tobacco,2018,10.0,I
501,Harvested irrigated temporary crop area: Cotton,2012,17.0,I
502,Harvested irrigated temporary crop area: Cotton,2017,17.0,I
503,Harvested irrigated temporary crop area: Cotton,2018,17.0,I
504,Harvested irrigated temporary crop area: Fodder,2012,380.0,I
505,Harvested irrigated temporary crop area: Fodder,2017,380.0,I
506,Harvested irrigated temporary crop area: Fodder,2018,380.0,I
507,Harvested irrigated temporary crop area: Flowers,1997,2.952,OF
508,Harvested irrigated temporary crop area: Flowers,2002,2.952,I
509,Harvested irrigated temporary crop area: Flowers,2007,2.952,I
510,Harvested irrigated temporary crop area: Flowers,2012,2.952,I
511,Harvested irrigated temporary crop area: Flowers,2017,2.952,I
512,Harvested irrigated temporary crop area: Flowers,2018,2.952,I
513,Harvested irrigated temporary crop area: Other crops,1997,121.5,OF
514,Harvested irrigated temporary crop area: Other crops,2002,70.3636363636,I
515,Harvested irrigated temporary crop area: Other crops,2007,19.2272727273,I
516,Harvested irrigated temporary crop area: Other crops,2012,9.0,I
517,Harvested irrigated temporary crop area: Other crops,2017,9.0,I
518,Harvested irrigated temporary crop area: Other crops,2018,9.0,I
519,Harvested irrigated permanent crop area: Other crops,1997,493.1,OF
520,Harvested irrigated permanent crop area: Other crops,2002,493.1,I
521,Harvested irrigated permanent crop area: Other crops,2007,493.1,I
522,Harvested irrigated permanent crop area: Other crops,2012,493.1,I
523,Harvested irrigated permanent crop area: Other crops,2017,493.1,I
524,Harvested irrigated permanent crop area: Other crops,2018,493.1,I
