Germany,Variable Name,Year,Value,Symbol
196,Total internal renewable water resources (IRWR),2012,107.0,E
197,Total internal renewable water resources (IRWR),2017,107.0,E
198,Total internal renewable water resources (IRWR),2018,107.0,E
199,Total internal renewable water resources per capita,1962,1436.4449496435,E
200,Total internal renewable water resources per capita,1967,1383.1928239956,E
201,Total internal renewable water resources per capita,1972,1356.1157741638,E
202,Total internal renewable water resources per capita,1977,1359.8124312858,E
203,Total internal renewable water resources per capita,1982,1373.097360264,E
204,Total internal renewable water resources per capita,1987,1371.5182646946,E
205,Total internal renewable water resources per capita,1992,1338.1162192454,E
206,Total internal renewable water resources per capita,1997,1314.5084099115,E
207,Total internal renewable water resources per capita,2002,1312.3178990276,E
208,Total internal renewable water resources per capita,2007,1316.4721548299,E
209,Total internal renewable water resources per capita,2012,1321.434201197,E
210,Total internal renewable water resources per capita,2017,1294.4841461926,E
211,Total internal renewable water resources per capita,2018,1287.2270576379,E
212,Total renewable surface water,1962,153.3,E
213,Total renewable surface water,1967,153.3,E
214,Total renewable surface water,1972,153.3,E
215,Total renewable surface water,1977,153.3,E
216,Total renewable surface water,1982,153.3,E
217,Total renewable surface water,1987,153.3,E
218,Total renewable surface water,1992,153.3,E
219,Total renewable surface water,1997,153.3,E
220,Total renewable surface water,2002,153.3,E
221,Total renewable surface water,2007,153.3,E
222,Total renewable surface water,2012,153.3,E
223,Total renewable surface water,2017,153.3,E
224,Total renewable surface water,2018,153.3,E
225,Total renewable groundwater,1962,45.7,E
226,Total renewable groundwater,1967,45.7,E
227,Total renewable groundwater,1972,45.7,E
228,Total renewable groundwater,1977,45.7,E
229,Total renewable groundwater,1982,45.7,E
230,Total renewable groundwater,1987,45.7,E
231,Total renewable groundwater,1992,45.7,E
232,Total renewable groundwater,1997,45.7,E
233,Total renewable groundwater,2002,45.7,E
234,Total renewable groundwater,2007,45.7,E
235,Total renewable groundwater,2012,45.7,E
236,Total renewable groundwater,2017,45.7,E
237,Total renewable groundwater,2018,45.7,E
238,Total exploitable water resources,1962,101.0,OF
239,Total exploitable water resources,1967,101.0,OF
240,Total exploitable water resources,1972,101.0,OF
241,Total exploitable water resources,1977,101.0,OF
242,Total exploitable water resources,1982,101.0,OF
243,Total exploitable water resources,1987,101.0,OF
244,Total exploitable water resources,1992,101.0,OF
245,Total exploitable water resources,1997,101.0,OF
246,Total exploitable water resources,2002,101.0,OF
247,Total exploitable water resources,2007,101.0,OF
248,Total exploitable water resources,2012,101.0,OF
249,Water resources: total external renewable,1962,47.0,E
250,Water resources: total external renewable,1967,47.0,E
251,Water resources: total external renewable,1972,47.0,E
252,Water resources: total external renewable,1977,47.0,E
253,Water resources: total external renewable,1982,47.0,E
254,Water resources: total external renewable,1987,47.0,E
255,Water resources: total external renewable,1992,47.0,E
256,Water resources: total external renewable,1997,47.0,E
257,Water resources: total external renewable,2002,47.0,E
258,Water resources: total external renewable,2007,47.0,E
259,Water resources: total external renewable,2012,47.0,E
260,Water resources: total external renewable,2017,47.0,E
261,Water resources: total external renewable,2018,47.0,E
262,Total renewable water resources,1962,154.0,E
263,Total renewable water resources,1967,154.0,E
264,Total renewable water resources,1972,154.0,E
265,Total renewable water resources,1977,154.0,E
266,Total renewable water resources,1982,154.0,E
267,Total renewable water resources,1987,154.0,E
268,Total renewable water resources,1992,154.0,E
269,Total renewable water resources,1997,154.0,E
270,Total renewable water resources,2002,154.0,E
271,Total renewable water resources,2007,154.0,E
272,Total renewable water resources,2012,154.0,E
273,Total renewable water resources,2017,154.0,E
274,Total renewable water resources,2018,154.0,E
275,Total renewable water resources per capita,1962,2067.4067499542,E
276,Total renewable water resources per capita,1967,1990.7635036946,E
277,Total renewable water resources per capita,1972,1951.79279646,E
278,Total renewable water resources per capita,1977,1957.1132188599,E
279,Total renewable water resources per capita,1982,1976.2335839313,E
280,Total renewable water resources per capita,1987,1973.9608669436,E
281,Total renewable water resources per capita,1992,1925.8868949887,E
282,Total renewable water resources per capita,1997,1891.9093002465,E
283,Total renewable water resources per capita,2002,1888.7566023388,E
284,Total renewable water resources per capita,2007,1894.7356247085,E
285,Total renewable water resources per capita,2012,1901.8772615358,E
286,Total renewable water resources per capita,2017,1863.0893319033,E
287,Total renewable water resources per capita,2018,1852.6445502452,E
288,Total agricultural water managed area,1992,483.2,I
289,Total agricultural water managed area,1997,485.0,I
290,Total agricultural water managed area,2002,495.2333333333,I
291,Total agricultural water managed area,2006,515.7,E
292,Total agricultural water managed area,2010,639.03,E
293,Total agricultural water managed area,2015,676.4,E
294,Area equipped for irrigation: total,1992,483.2,I
295,Area equipped for irrigation: total,1997,485.0,I
296,Area equipped for irrigation: total,2002,495.2333333333,I
297,Area equipped for irrigation: total,2006,515.7,E
298,Area equipped for irrigation: total,2015,676.4,E
299,% of agricultural GVA produced by irrigated agriculture,2007,3.4029627595,E
300,% of agricultural GVA produced by irrigated agriculture,2012,3.4143834821,E
301,% of agricultural GVA produced by irrigated agriculture,2017,3.4320825669,E
302,% of agricultural GVA produced by irrigated agriculture,2018,3.4436999181,E
304,Ratio between rainfed and irrigated yields,1966,1.778,I
305,Ratio between rainfed and irrigated yields,1971,1.778,I
306,Ratio between rainfed and irrigated yields,1976,1.778,I
307,Ratio between rainfed and irrigated yields,1981,1.778,I
308,Ratio between rainfed and irrigated yields,1986,1.778,I
309,Ratio between rainfed and irrigated yields,1991,1.778,I
310,Ratio between rainfed and irrigated yields,1996,1.778,I
311,Ratio between rainfed and irrigated yields,2001,1.778,I
312,Ratio between rainfed and irrigated yields,2007,1.778,I
313,Ratio between rainfed and irrigated yields,2011,1.778,I
314,Ratio between rainfed and irrigated yields,2017,1.778,I
315,Ratio between rainfed and irrigated yields,2018,1.778,I
316,Agricultural water withdrawal as % of total renewable water resources,1992,0.7439935065,E
317,Agricultural water withdrawal as % of total renewable water resources,1997,0.2991341992,E
318,Agricultural water withdrawal as % of total renewable water resources,2002,0.1928845549,I
319,Agricultural water withdrawal as % of total renewable water resources,2007,0.1702727338,E
320,Agricultural water withdrawal as % of total renewable water resources,2012,0.236735064,I
321,Agricultural water withdrawal as % of total renewable water resources,2017,0.259295186,I
322,Agricultural water withdrawal as % of total renewable water resources,2018,0.259295186,I
323,Agricultural water withdrawal,2002,0.2970422146,I
324,Agricultural water withdrawal,2006,0.2658555547,I
325,Agricultural water withdrawal,2012,0.3645719985,I
326,Agricultural water withdrawal,2017,0.3993145864,I
327,Agricultural water withdrawal,2018,0.3993145864,I
328,Irrigation water requirement,2007,0.0479,I
329,Irrigation water requirement,2012,0.0479,I
330,Irrigation water requirement,2017,0.0479,I
331,Irrigation water requirement,2018,0.0479,I
333,Irrigation water withdrawal,2007,0.0944,X
334,Irrigation water withdrawal,2012,0.2407333333,I
335,Irrigation water withdrawal,2017,0.363,I
336,Irrigation water withdrawal,2018,0.363,I
338,Municipal water withdrawal,2002,11.1149781867,I
339,Municipal water withdrawal,2006,10.76416068,I
340,Municipal water withdrawal,2012,10.53752541,I
341,Municipal water withdrawal,2017,10.39974867,I
342,Municipal water withdrawal,2018,10.39974867,I
343,Industrial water withdrawal,2002,31.3664233,I
344,Industrial water withdrawal,2006,27.6470566067,I
345,Industrial water withdrawal,2012,21.5897183167,I
346,Industrial water withdrawal,2017,17.68317062,I
347,Industrial water withdrawal,2018,17.68317062,I
348,Total water withdrawal,2002,42.7784437033,I
349,Total water withdrawal,2006,38.6770728433,I
350,Total water withdrawal,2012,32.4918157267,I
351,Total water withdrawal,2017,28.48223388,I
352,Total water withdrawal,2018,28.48223388,I
353,Fresh surface water withdrawal,1992,42.293000787,I
354,Fresh surface water withdrawal,1997,40.120501912,I
355,Fresh surface water withdrawal,2002,36.2218928142,I
356,Fresh surface water withdrawal,2006,29.0613030161,I
357,Fresh surface water withdrawal,2012,21.99,I
358,Fresh surface water withdrawal,2017,18.48,I
359,Fresh surface water withdrawal,2018,18.48,I
360,Fresh groundwater withdrawal,1992,7.655486513,I
361,Fresh groundwater withdrawal,1997,7.262240928,I
362,Fresh groundwater withdrawal,2002,6.5565508892,I
363,Fresh groundwater withdrawal,2007,5.825,X
364,Fresh groundwater withdrawal,2012,5.891,I
365,Fresh groundwater withdrawal,2017,5.963,I
366,Fresh groundwater withdrawal,2018,5.963,I
367,Total freshwater withdrawal,1992,49.9484873,E
368,Total freshwater withdrawal,1997,47.38274284,E
369,Total freshwater withdrawal,2002,42.7784437033,I
370,Total freshwater withdrawal,2006,35.0156348433,E
371,Total freshwater withdrawal,2012,27.8806666667,I
372,Total freshwater withdrawal,2017,24.443,I
373,Total freshwater withdrawal,2018,24.443,I
374,Direct use of treated municipal wastewater,2002,0.042,I
375,Direct use of treated municipal wastewater,2007,0.042,I
376,Direct use of treated municipal wastewater,2012,0.042,I
377,Direct use of treated municipal wastewater,2017,0.042,I
378,Direct use of treated municipal wastewater,2018,0.042,I
379,Produced municipal wastewater,2002,5.3116666667,I
380,Produced municipal wastewater,2006,5.2816666667,I
381,Produced municipal wastewater,2012,4.1497777778,I
382,Produced municipal wastewater,2017,3.24,I
383,Produced municipal wastewater,2018,3.24,I
384,Collected municipal wastewater,1997,4.634,I
385,Collected municipal wastewater,2002,5.2373333333,I
386,Collected municipal wastewater,2006,5.21,I
387,Collected municipal wastewater,2012,5.213,I
388,Collected municipal wastewater,2017,5.213,I
389,Collected municipal wastewater,2018,5.213,I
390,Not treated municipal wastewater,2002,0.1206666667,I
391,Not treated municipal wastewater,2006,0.1046666667,I
392,Not treated municipal wastewater,2012,0.104,I
393,Not treated municipal wastewater,2017,0.104,I
394,Not treated municipal wastewater,2018,0.104,I
395,Treated municipal wastewater,2002,5.191,I
396,Treated municipal wastewater,2007,5.183,OF
397,Treated municipal wastewater,2012,5.183,I
398,Treated municipal wastewater,2017,5.183,I
399,Treated municipal wastewater,2018,5.183,I
412,SDG 6.4.2. Water Stress,1992,68.4600977248,E
413,SDG 6.4.2. Water Stress,1997,64.9434523575,E
414,SDG 6.4.2. Water Stress,2002,58.632735339,E
415,SDG 6.4.2. Water Stress,2007,44.2160087719,E
416,SDG 6.4.2. Water Stress,2012,38.2136330409,E
417,SDG 6.4.2. Water Stress,2017,33.5019188596,E
418,SDG 6.4.2. Water Stress,2018,33.5019188596,E
419,SDG 6.4.1. Water Use Efficiency,2015,103.9259472864,I
420,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,3.7724174164,E
421,SDG 6.4.1. Industrial Water Use Efficiency,2015,45.8520008834,E
422,SDG 6.4.1. Services Water Use Efficiency,2015,208.3449893639,E
423,Harvested irrigated temporary crop area: Barley,2007,19.0,I
424,Harvested irrigated temporary crop area: Barley,2012,19.0,I
425,Harvested irrigated temporary crop area: Barley,2017,19.0,I
426,Harvested irrigated temporary crop area: Barley,2018,19.0,I
427,Harvested irrigated temporary crop area: Maize,2007,41.0,I
428,Harvested irrigated temporary crop area: Maize,2012,41.0,I
429,Harvested irrigated temporary crop area: Maize,2017,41.0,I
430,Harvested irrigated temporary crop area: Maize,2018,41.0,I
431,Harvested irrigated temporary crop area: Other cereals,2007,30.0,I
432,Harvested irrigated temporary crop area: Other cereals,2012,30.0,I
433,Harvested irrigated temporary crop area: Other cereals,2017,30.0,I
434,Harvested irrigated temporary crop area: Other cereals,2018,30.0,I
435,Harvested irrigated temporary crop area: Potatoes,2007,22.7,I
436,Harvested irrigated temporary crop area: Potatoes,2012,22.7,I
437,Harvested irrigated temporary crop area: Potatoes,2017,22.7,I
438,Harvested irrigated temporary crop area: Potatoes,2018,22.7,I
439,Harvested irrigated temporary crop area: Sugar beet,2007,36.0,I
440,Harvested irrigated temporary crop area: Sugar beet,2012,36.0,I
441,Harvested irrigated temporary crop area: Sugar beet,2017,36.0,I
442,Harvested irrigated temporary crop area: Sugar beet,2018,36.0,I
443,Harvested irrigated temporary crop area: Leguminous crops,2007,13.6,I
444,Harvested irrigated temporary crop area: Leguminous crops,2012,13.6,I
445,Harvested irrigated temporary crop area: Leguminous crops,2017,13.6,I
446,Harvested irrigated temporary crop area: Leguminous crops,2018,13.6,I
447,Harvested irrigated temporary crop area: Vegetables,2007,10.9,I
448,Harvested irrigated temporary crop area: Vegetables,2012,10.9,I
449,Harvested irrigated temporary crop area: Vegetables,2017,10.9,I
450,Harvested irrigated temporary crop area: Vegetables,2018,10.9,I
451,Harvested irrigated temporary crop area: Sunflower,2007,2.4,I
452,Harvested irrigated temporary crop area: Sunflower,2012,2.4,I
453,Harvested irrigated temporary crop area: Sunflower,2017,2.4,I
454,Harvested irrigated temporary crop area: Sunflower,2018,2.4,I
455,Harvested irrigated temporary crop area: Other crops,2007,12.6,I
456,Harvested irrigated temporary crop area: Other crops,2012,12.6,I
457,Harvested irrigated temporary crop area: Other crops,2017,12.6,I
458,Harvested irrigated temporary crop area: Other crops,2018,12.6,I
459,Harvested irrigated permanent crop area: Other crops,2007,37.57,I
460,Harvested irrigated permanent crop area: Other crops,2012,37.57,I
461,Harvested irrigated permanent crop area: Other crops,2017,37.57,I
462,Harvested irrigated permanent crop area: Other crops,2018,37.57,I
