Qatar,Variable Name,Year,Value,Symbol
50,Rural population,2017,24.338,X
51,Rural population,2018,23.303,X
52,Urban population,1962,48.443,X
53,Urban population,1967,75.584,X
54,Urban population,1972,115.755,X
55,Urban population,1977,162.484,X
56,Urban population,1982,248.722,X
57,Urban population,1987,384.565,X
58,Urban population,1992,464.611,X
59,Urban population,1997,511.401,X
60,Urban population,2002,624.298,X
61,Urban population,2007,1164.857,X
62,Urban population,2012,2082.084,X
63,Urban population,2017,2614.873,X
64,Urban population,2018,2671.546,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5316666667,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5241,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5241,I
68,Gross Domestic Product (GDP),1972,1030063887.0,X
69,Gross Domestic Product (GDP),1977,3509457316.0,X
70,Gross Domestic Product (GDP),1982,7611263738.0,X
71,Gross Domestic Product (GDP),1987,5446428571.0,X
72,Gross Domestic Product (GDP),1992,7646153846.0,X
73,Gross Domestic Product (GDP),1997,11297802198.0,X
74,Gross Domestic Product (GDP),2002,19363736264.0,X
75,Gross Domestic Product (GDP),2007,79711970990.0,X
76,Gross Domestic Product (GDP),2012,186833502362.0,X
77,Gross Domestic Product (GDP),2017,166928689894.0,X
78,Gross Domestic Product (GDP),2018,191362087912.0,X
79,GDP per capita,1972,7891.153926,X
80,GDP per capita,1977,19235.911028,X
81,GDP per capita,1982,27438.260603,X
82,GDP per capita,1987,12895.808296,X
83,GDP per capita,1992,15430.658981,X
84,GDP per capita,1997,21132.871558,X
85,GDP per capita,2002,29990.654918,X
86,GDP per capita,2007,67005.514297,X
87,GDP per capita,2012,88564.816286,X
88,GDP per capita,2017,63249.46732,X
89,GDP per capita,2018,71010.319284,X
90,"Agriculture, value added (% GDP)",1972,0.720481,X
91,"Agriculture, value added (% GDP)",1977,0.698143,X
92,"Agriculture, value added (% GDP)",1982,0.685797,X
93,"Agriculture, value added (% GDP)",1987,1.19546,X
94,"Agriculture, value added (% GDP)",1992,0.966513,X
95,"Agriculture, value added (% GDP)",1997,0.705184,X
96,"Agriculture, value added (% GDP)",2002,0.256796,X
97,"Agriculture, value added (% GDP)",2007,0.109943,X
98,"Agriculture, value added (% GDP)",2012,0.094196,X
99,"Agriculture, value added (% GDP)",2017,0.185731,X
100,"Agriculture, value added (% GDP)",2018,0.175434,X
101,Total population with access to safe drinking-water (JMP),1992,98.7,X
102,Total population with access to safe drinking-water (JMP),1997,98.8,X
103,Total population with access to safe drinking-water (JMP),2002,99.4,X
104,Total population with access to safe drinking-water (JMP),2007,99.9,X
105,Total population with access to safe drinking-water (JMP),2012,100.0,X
106,Total population with access to safe drinking-water (JMP),2017,100.0,I
107,Total population with access to safe drinking-water (JMP),2018,100.0,I
108,Long-term average annual precipitation in volume,1962,0.85914,E
109,Long-term average annual precipitation in volume,1967,0.85914,E
110,Long-term average annual precipitation in volume,1972,0.85914,E
111,Long-term average annual precipitation in volume,1977,0.85914,E
112,Long-term average annual precipitation in volume,1982,0.85914,E
113,Long-term average annual precipitation in volume,1987,0.85914,E
114,Long-term average annual precipitation in volume,1992,0.85914,E
115,Long-term average annual precipitation in volume,1997,0.85914,E
116,Long-term average annual precipitation in volume,2002,0.85914,E
117,Long-term average annual precipitation in volume,2007,0.85914,E
118,Long-term average annual precipitation in volume,2012,0.85914,E
119,Long-term average annual precipitation in volume,2017,0.85026,E
120,Long-term average annual precipitation in volume,2018,0.85026,E
121,Interannual variability (WRI),2017,2.6,I
122,Interannual variability (WRI),2018,2.6,I
123,Seasonal variability (WRI),2017,0.4,I
124,Seasonal variability (WRI),2018,0.4,I
125,Flood occurrence (WRI),2017,0.0,I
126,Flood occurrence (WRI),2018,0.0,I
127,Surface water: entering the country (total),1962,0.0,OF
128,Surface water: entering the country (total),1967,0.0,OF
129,Surface water: entering the country (total),1972,0.0,OF
130,Surface water: entering the country (total),1977,0.0,OF
131,Surface water: entering the country (total),1982,0.0,OF
132,Surface water: entering the country (total),1987,0.0,OF
133,Surface water: entering the country (total),1992,0.0,OF
134,Surface water: entering the country (total),1997,0.0,OF
135,Surface water: entering the country (total),2002,0.0,OF
136,Surface water: entering the country (total),2007,0.0,OF
137,Surface water: entering the country (total),2012,0.0,OF
138,Surface water: entering the country (total),2017,0.0,OF
139,Surface water: leaving the country to other countries (total),1962,0.0,OF
140,Surface water: leaving the country to other countries (total),1967,0.0,OF
141,Surface water: leaving the country to other countries (total),1972,0.0,OF
142,Surface water: leaving the country to other countries (total),1977,0.0,OF
143,Surface water: leaving the country to other countries (total),1982,0.0,OF
144,Surface water: leaving the country to other countries (total),1987,0.0,OF
145,Surface water: leaving the country to other countries (total),1992,0.0,OF
146,Surface water: leaving the country to other countries (total),1997,0.0,OF
147,Surface water: leaving the country to other countries (total),2002,0.0,OF
148,Surface water: leaving the country to other countries (total),2007,0.0,OF
149,Surface water: leaving the country to other countries (total),2012,0.0,OF
150,Surface water: leaving the country to other countries (total),2017,0.0,OF
151,Groundwater: entering the country (total),1962,0.002,
152,Groundwater: entering the country (total),1967,0.002,
153,Groundwater: entering the country (total),1972,0.002,
154,Groundwater: entering the country (total),1977,0.002,
155,Groundwater: entering the country (total),1982,0.002,
156,Groundwater: entering the country (total),1987,0.002,
157,Groundwater: entering the country (total),1992,0.002,
158,Groundwater: entering the country (total),1997,0.002,
159,Groundwater: entering the country (total),2002,0.002,
160,Groundwater: entering the country (total),2007,0.002,
161,Groundwater: entering the country (total),2012,0.002,
162,Groundwater: entering the country (total),2017,0.002,OF
163,Groundwater: leaving the country to other countries (total),1962,0.0,OF
164,Groundwater: leaving the country to other countries (total),1967,0.0,OF
165,Groundwater: leaving the country to other countries (total),1972,0.0,OF
166,Groundwater: leaving the country to other countries (total),1977,0.0,OF
167,Groundwater: leaving the country to other countries (total),1982,0.0,OF
168,Groundwater: leaving the country to other countries (total),1987,0.0,OF
169,Groundwater: leaving the country to other countries (total),1992,0.0,OF
170,Groundwater: leaving the country to other countries (total),1997,0.0,OF
171,Groundwater: leaving the country to other countries (total),2002,0.0,OF
172,Groundwater: leaving the country to other countries (total),2007,0.0,OF
173,Groundwater: leaving the country to other countries (total),2012,0.0,OF
174,Groundwater: leaving the country to other countries (total),2017,0.0,OF
175,Dependency ratio,1962,3.4482758621,E
176,Dependency ratio,1967,3.4482758621,E
177,Dependency ratio,1972,3.4482758621,E
178,Dependency ratio,1977,3.4482758621,E
179,Dependency ratio,1982,3.4482758621,E
180,Dependency ratio,1987,3.4482758621,E
181,Dependency ratio,1992,3.4482758621,E
182,Dependency ratio,1997,3.4482758621,E
183,Dependency ratio,2002,3.4482758621,E
184,Dependency ratio,2007,3.4482758621,E
185,Dependency ratio,2012,3.4482758621,E
186,Dependency ratio,2017,3.4482758621,E
187,Dependency ratio,2018,3.4482758621,E
188,Total internal renewable water resources (IRWR),1962,0.056,E
189,Total internal renewable water resources (IRWR),1967,0.056,E
190,Total internal renewable water resources (IRWR),1972,0.056,E
191,Total internal renewable water resources (IRWR),1977,0.056,E
192,Total internal renewable water resources (IRWR),1982,0.056,E
193,Total internal renewable water resources (IRWR),1987,0.056,E
194,Total internal renewable water resources (IRWR),1992,0.056,E
195,Total internal renewable water resources (IRWR),1997,0.056,E
196,Total internal renewable water resources (IRWR),2002,0.056,E
197,Total internal renewable water resources (IRWR),2007,0.056,E
198,Total internal renewable water resources (IRWR),2012,0.056,E
199,Total internal renewable water resources (IRWR),2017,0.056,E
200,Total internal renewable water resources (IRWR),2018,0.056,E
201,Total internal renewable water resources per capita,1962,995.3432156695,E
202,Total internal renewable water resources per capita,1967,648.8841510046,E
203,Total internal renewable water resources per capita,1972,429.1187739464,E
204,Total internal renewable water resources per capita,1977,307.1556291754,E
205,Total internal renewable water resources per capita,1982,202.0012552935,E
206,Total internal renewable water resources per capita,1987,132.6548982821,E
207,Total internal renewable water resources per capita,1992,113.0411086103,E
208,Total internal renewable water resources per capita,1997,104.6101311176,E
209,Total internal renewable water resources per capita,2002,87.3814888557,E
210,Total internal renewable water resources per capita,2007,45.9606347164,E
211,Total internal renewable water resources per capita,2012,25.5000630671,E
212,Total internal renewable water resources per capita,2017,20.5525101955,E
213,Total internal renewable water resources per capita,2018,20.1317044867,E
214,Total renewable surface water,1962,0.0,E
215,Total renewable surface water,1967,0.0,E
216,Total renewable surface water,1972,0.0,E
217,Total renewable surface water,1977,0.0,E
218,Total renewable surface water,1982,0.0,E
219,Total renewable surface water,1987,0.0,E
220,Total renewable surface water,1992,0.0,E
221,Total renewable surface water,1997,0.0,E
222,Total renewable surface water,2002,0.0,E
223,Total renewable surface water,2007,0.0,E
224,Total renewable surface water,2012,0.0,E
225,Total renewable surface water,2017,0.0,E
226,Total renewable surface water,2018,0.0,E
227,Total renewable groundwater,1962,0.058,E
228,Total renewable groundwater,1967,0.058,E
229,Total renewable groundwater,1972,0.058,E
230,Total renewable groundwater,1977,0.058,E
231,Total renewable groundwater,1982,0.058,E
232,Total renewable groundwater,1987,0.058,E
233,Total renewable groundwater,1992,0.058,E
234,Total renewable groundwater,1997,0.058,E
235,Total renewable groundwater,2002,0.058,E
236,Total renewable groundwater,2007,0.058,E
237,Total renewable groundwater,2012,0.058,E
238,Total renewable groundwater,2017,0.058,E
239,Total renewable groundwater,2018,0.058,E
240,Water resources: total external renewable,1962,0.002,E
241,Water resources: total external renewable,1967,0.002,E
242,Water resources: total external renewable,1972,0.002,E
243,Water resources: total external renewable,1977,0.002,E
244,Water resources: total external renewable,1982,0.002,E
245,Water resources: total external renewable,1987,0.002,E
246,Water resources: total external renewable,1992,0.002,E
247,Water resources: total external renewable,1997,0.002,E
248,Water resources: total external renewable,2002,0.002,E
249,Water resources: total external renewable,2007,0.002,E
250,Water resources: total external renewable,2012,0.002,E
251,Water resources: total external renewable,2017,0.002,E
252,Water resources: total external renewable,2018,0.002,E
253,Total renewable water resources,1962,0.058,E
254,Total renewable water resources,1967,0.058,E
255,Total renewable water resources,1972,0.058,E
256,Total renewable water resources,1977,0.058,E
257,Total renewable water resources,1982,0.058,E
258,Total renewable water resources,1987,0.058,E
259,Total renewable water resources,1992,0.058,E
260,Total renewable water resources,1997,0.058,E
261,Total renewable water resources,2002,0.058,E
262,Total renewable water resources,2007,0.058,E
263,Total renewable water resources,2012,0.058,E
264,Total renewable water resources,2017,0.058,E
265,Total renewable water resources,2018,0.058,E
266,Total renewable water resources per capita,1962,1030.8911876577,E
267,Total renewable water resources per capita,1967,672.0585849691,E
268,Total renewable water resources per capita,1972,444.4444444444,E
269,Total renewable water resources per capita,1977,318.1254730745,E
270,Total renewable water resources per capita,1982,209.2155858397,E
271,Total renewable water resources per capita,1987,137.3925732208,E
272,Total renewable water resources per capita,1992,117.0782910607,E
273,Total renewable water resources per capita,1997,108.3462072289,E
274,Total renewable water resources per capita,2002,90.5022563149,E
275,Total renewable water resources per capita,2007,47.6020859562,E
276,Total renewable water resources per capita,2012,26.4107796052,E
277,Total renewable water resources per capita,2017,21.2865284168,E
278,Total renewable water resources per capita,2018,20.8506939327,E
279,Total agricultural water managed area,1992,10.2486666667,I
280,Total agricultural water managed area,1997,12.7275,I
281,Total agricultural water managed area,2001,12.935,E
282,Area equipped for irrigation: total,1992,10.2486666667,I
283,Area equipped for irrigation: total,1997,12.7275,I
284,Area equipped for irrigation: total,2001,12.935,E
285,% of agricultural GVA produced by irrigated agriculture,1962,100.0,E
286,% of agricultural GVA produced by irrigated agriculture,1967,100.0,E
287,% of agricultural GVA produced by irrigated agriculture,1972,100.0,E
288,% of agricultural GVA produced by irrigated agriculture,1977,100.0,E
289,% of agricultural GVA produced by irrigated agriculture,1982,100.0,E
290,% of agricultural GVA produced by irrigated agriculture,1987,100.0,E
291,% of agricultural GVA produced by irrigated agriculture,1992,100.0,E
292,% of agricultural GVA produced by irrigated agriculture,1997,100.0,E
293,% of agricultural GVA produced by irrigated agriculture,2002,100.0,E
294,% of agricultural GVA produced by irrigated agriculture,2007,100.0,E
295,% of agricultural GVA produced by irrigated agriculture,2012,100.0,E
296,% of agricultural GVA produced by irrigated agriculture,2017,100.0,I
297,% of agricultural GVA produced by irrigated agriculture,2018,100.0,I
298,Agricultural water withdrawal as % of total renewable water resources,1997,362.5862068966,I
299,Agricultural water withdrawal as % of total renewable water resources,2002,397.9310344828,I
300,Agricultural water withdrawal as % of total renewable water resources,2007,437.9310344828,E
301,Agricultural water withdrawal as % of total renewable water resources,2012,497.9310344828,E
302,Agricultural water withdrawal as % of total renewable water resources,2016,502.9310344828,E
303,Agricultural water withdrawal as % of total renewable water resources,2018,396.5517241379,E
304,Agricultural water withdrawal,1997,0.2103,I
305,Agricultural water withdrawal,2002,0.2308,I
306,Agricultural water withdrawal,2007,0.254,OF
307,Agricultural water withdrawal,2012,0.2888,OF
308,Agricultural water withdrawal,2016,0.2917,OF
309,Irrigation water requirement,2007,0.076,I
310,Irrigation water requirement,2012,0.076,I
311,Irrigation water requirement,2017,0.076,I
312,Irrigation water requirement,2018,0.076,I
313,Municipal water withdrawal,1977,0.0382526316,I
314,Municipal water withdrawal,1982,0.0463842105,I
315,Municipal water withdrawal,1987,0.0545157895,I
316,Municipal water withdrawal,1992,0.0626473684,I
317,Municipal water withdrawal,1997,0.06795,I
318,Municipal water withdrawal,2002,0.1116,I
319,Municipal water withdrawal,2007,0.250225,I
320,Municipal water withdrawal,2012,0.4407875,I
321,Municipal water withdrawal,2016,0.4772,OF
322,Industrial water withdrawal,1997,0.01115,I
323,Industrial water withdrawal,2002,0.01154,I
324,Industrial water withdrawal,2007,0.0108,I
325,Industrial water withdrawal,2012,0.0178,I
326,Industrial water withdrawal,2016,0.1437,OF
327,Total water withdrawal,1977,0.1642,I
328,Total water withdrawal,1982,0.1997,I
329,Total water withdrawal,1987,0.2352,I
330,Total water withdrawal,1992,0.2707,I
331,Total water withdrawal,1997,0.2894,I
332,Total water withdrawal,2002,0.35394,I
333,Total water withdrawal,2007,0.515025,E
334,Total water withdrawal,2012,0.7473875,E
335,Total water withdrawal,2016,0.9126,E
336,Fresh surface water withdrawal,2007,0.0,I
337,Fresh surface water withdrawal,2012,0.0,I
338,Fresh surface water withdrawal,2016,0.0,OF
339,Fresh groundwater withdrawal,2007,0.2253,I
340,Fresh groundwater withdrawal,2012,0.24605,I
341,Fresh groundwater withdrawal,2016,0.2508,OF
342,Total freshwater withdrawal,1977,0.1642,E
343,Total freshwater withdrawal,1982,0.1997,E
344,Total freshwater withdrawal,1987,0.2352,E
345,Total freshwater withdrawal,1992,0.1887,E
346,Total freshwater withdrawal,1997,0.1623,I
347,Total freshwater withdrawal,2002,0.18674,E
348,Total freshwater withdrawal,2007,0.2253,I
349,Total freshwater withdrawal,2012,0.24605,I
350,Total freshwater withdrawal,2016,0.2508,OF
351,Desalinated water produced,1992,0.082,I
352,Desalinated water produced,1997,0.099,I
353,Desalinated water produced,2002,0.1314,I
354,Desalinated water produced,2007,0.2483,I
355,Desalinated water produced,2012,0.41905,I
356,Desalinated water produced,2017,0.605,OF
357,Direct use of treated municipal wastewater,1997,0.0281,I
358,Direct use of treated municipal wastewater,2002,0.0358,I
359,Direct use of treated municipal wastewater,2007,0.047,OF
360,Direct use of treated municipal wastewater,2012,0.0744166667,I
361,Direct use of treated municipal wastewater,2017,0.1334,OF
362,Direct use of treated municipal wastewater,2018,0.1334,I
363,Produced municipal wastewater,1997,0.0496181818,I
364,Produced municipal wastewater,2002,0.0529818182,I
365,Produced municipal wastewater,2007,0.201,I
366,Produced municipal wastewater,2012,0.274,I
367,Produced municipal wastewater,2017,0.274,I
368,Produced municipal wastewater,2018,0.274,I
369,Collected municipal wastewater,2017,0.2315,OF
370,Treated municipal wastewater,2007,0.075,OF
371,Treated municipal wastewater,2012,0.117,OF
372,Treated municipal wastewater,2017,0.2287,OF
373,Treated municipal wastewater discharged (secondary water),2002,0.007,I
374,Treated municipal wastewater discharged (secondary water),2007,0.028,OF
375,Treated municipal wastewater discharged (secondary water),2012,0.013,OF
376,Treated municipal wastewater discharged (secondary water),2017,0.013,I
377,Treated municipal wastewater discharged (secondary water),2018,0.013,I
378,SDG 6.4.2. Water Stress,1977,283.1034482759,E
379,SDG 6.4.2. Water Stress,1982,344.3103448276,E
380,SDG 6.4.2. Water Stress,1987,405.5172413793,E
381,SDG 6.4.2. Water Stress,1992,325.3448275862,E
382,SDG 6.4.2. Water Stress,1997,279.8275862069,I
383,SDG 6.4.2. Water Stress,2002,321.9655172414,E
384,SDG 6.4.2. Water Stress,2007,388.4482758621,I
385,SDG 6.4.2. Water Stress,2012,424.224137931,I
386,SDG 6.4.2. Water Stress,2016,432.4137931034,E
387,SDG 6.4.1. Water Use Efficiency,1997,98.4313131134,E
388,SDG 6.4.1. Water Use Efficiency,2002,114.0065798619,E
389,SDG 6.4.1. Water Use Efficiency,2006,139.3978984263,E
390,SDG 6.4.1. Water Use Efficiency,2009,177.6930334286,E
391,SDG 6.4.1. Water Use Efficiency,2016,188.549993254,E
392,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.9594514409,E
393,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.4441977629,E
394,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,0.3165370367,E
395,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2009,0.5155748317,E
396,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,1.0412515148,E
397,SDG 6.4.1. Industrial Water Use Efficiency,1997,1478.7219960352,E
398,SDG 6.4.1. Industrial Water Use Efficiency,2002,2425.4737309692,E
399,SDG 6.4.1. Industrial Water Use Efficiency,2006,4789.5093447863,E
400,SDG 6.4.1. Industrial Water Use Efficiency,2009,4701.7106269209,E
401,SDG 6.4.1. Industrial Water Use Efficiency,2016,599.1637267676,E
402,SDG 6.4.1. Services Water Use Efficiency,1977,105.4747727295,E
403,SDG 6.4.1. Services Water Use Efficiency,1982,110.0079155897,E
404,SDG 6.4.1. Services Water Use Efficiency,1987,153.4893206401,E
405,SDG 6.4.1. Services Water Use Efficiency,1992,152.7383584204,E
406,SDG 6.4.1. Services Water Use Efficiency,1997,173.6055794141,E
407,SDG 6.4.1. Services Water Use Efficiency,2002,109.8476807998,E
408,SDG 6.4.1. Services Water Use Efficiency,2006,102.2959795592,E
409,SDG 6.4.1. Services Water Use Efficiency,2009,124.3091466872,E
410,SDG 6.4.1. Services Water Use Efficiency,2016,179.5204594305,E
411,Harvested irrigated temporary crop area: Wheat,1992,0.0925,I
412,Harvested irrigated temporary crop area: Wheat,1997,0.0457,I
413,Harvested irrigated temporary crop area: Wheat,2002,0.0202,I
414,Harvested irrigated temporary crop area: Wheat,2007,0.01,I
415,Harvested irrigated temporary crop area: Wheat,2012,0.01,I
416,Harvested irrigated temporary crop area: Wheat,2017,0.01,I
417,Harvested irrigated temporary crop area: Wheat,2018,0.01,I
418,Harvested irrigated temporary crop area: Barley,1992,1.066,I
419,Harvested irrigated temporary crop area: Barley,1997,1.1159,I
420,Harvested irrigated temporary crop area: Barley,2002,1.0524,I
421,Harvested irrigated temporary crop area: Barley,2007,1.027,I
422,Harvested irrigated temporary crop area: Barley,2012,1.027,I
423,Harvested irrigated temporary crop area: Barley,2017,1.027,I
424,Harvested irrigated temporary crop area: Barley,2018,1.027,I
425,Harvested irrigated temporary crop area: Maize,1992,0.021,I
426,Harvested irrigated temporary crop area: Maize,1997,0.0468,I
427,Harvested irrigated temporary crop area: Maize,2002,0.0798,I
428,Harvested irrigated temporary crop area: Maize,2007,0.093,I
429,Harvested irrigated temporary crop area: Maize,2012,0.093,I
430,Harvested irrigated temporary crop area: Maize,2017,0.093,I
431,Harvested irrigated temporary crop area: Maize,2018,0.093,I
432,Harvested irrigated temporary crop area: Other cereals,1977,0.143,I
433,Harvested irrigated temporary crop area: Other cereals,1982,0.2003333333,I
434,Harvested irrigated temporary crop area: Other cereals,1987,0.2011666667,I
435,Harvested irrigated temporary crop area: Other cereals,1992,0.202,I
436,Harvested irrigated temporary crop area: Other cereals,1997,0.2028333333,I
437,Harvested irrigated temporary crop area: Other cereals,2002,0.2036666667,I
438,Harvested irrigated temporary crop area: Other cereals,2007,0.204,I
439,Harvested irrigated temporary crop area: Other cereals,2012,0.204,I
440,Harvested irrigated temporary crop area: Other cereals,2017,0.204,I
441,Harvested irrigated temporary crop area: Other cereals,2018,0.204,I
442,Harvested irrigated temporary crop area: Potatoes,2007,0.002,I
443,Harvested irrigated temporary crop area: Potatoes,2012,0.002,I
444,Harvested irrigated temporary crop area: Potatoes,2017,0.002,I
445,Harvested irrigated temporary crop area: Potatoes,2018,0.002,I
446,Harvested irrigated temporary crop area: Other roots and tubers,1997,0.055,I
447,Harvested irrigated temporary crop area: Other roots and tubers,2002,0.055,I
448,Harvested irrigated temporary crop area: Other roots and tubers,2007,0.055,I
449,Harvested irrigated temporary crop area: Other roots and tubers,2012,0.055,I
450,Harvested irrigated temporary crop area: Other roots and tubers,2017,0.055,I
451,Harvested irrigated temporary crop area: Other roots and tubers,2018,0.055,I
452,Harvested irrigated temporary crop area: Leguminous crops,1997,0.029,I
453,Harvested irrigated temporary crop area: Leguminous crops,2002,0.029,I
454,Harvested irrigated temporary crop area: Leguminous crops,2007,0.029,I
455,Harvested irrigated temporary crop area: Leguminous crops,2012,0.029,I
456,Harvested irrigated temporary crop area: Leguminous crops,2017,0.029,I
457,Harvested irrigated temporary crop area: Leguminous crops,2018,0.029,I
458,Harvested irrigated temporary crop area: Vegetables,1977,0.9242,I
459,Harvested irrigated temporary crop area: Vegetables,1982,1.1248,I
460,Harvested irrigated temporary crop area: Vegetables,1987,1.8393,I
461,Harvested irrigated temporary crop area: Vegetables,1992,2.3045,I
462,Harvested irrigated temporary crop area: Vegetables,1997,2.0416,I
463,Harvested irrigated temporary crop area: Vegetables,2002,1.5426,I
464,Harvested irrigated temporary crop area: Vegetables,2007,1.343,I
465,Harvested irrigated temporary crop area: Vegetables,2012,1.343,I
466,Harvested irrigated temporary crop area: Vegetables,2017,1.343,I
467,Harvested irrigated temporary crop area: Vegetables,2018,1.343,I
468,Harvested irrigated permanent crop area: Citrus,2007,0.14,I
469,Harvested irrigated permanent crop area: Citrus,2012,0.14,I
470,Harvested irrigated permanent crop area: Citrus,2017,0.14,I
471,Harvested irrigated permanent crop area: Citrus,2018,0.14,I
472,Harvested irrigated temporary crop area: Fodder,1997,1.1423,I
473,Harvested irrigated temporary crop area: Fodder,2002,1.0878,I
474,Harvested irrigated temporary crop area: Fodder,2007,1.066,I
475,Harvested irrigated temporary crop area: Fodder,2012,1.066,I
476,Harvested irrigated temporary crop area: Fodder,2017,1.066,I
477,Harvested irrigated temporary crop area: Fodder,2018,1.066,I
478,Harvested irrigated permanent crop area: Other crops,1977,0.6476,I
479,Harvested irrigated permanent crop area: Other crops,1982,0.9388,I
480,Harvested irrigated permanent crop area: Other crops,1987,1.3608,I
481,Harvested irrigated permanent crop area: Other crops,1992,1.9705,I
482,Harvested irrigated permanent crop area: Other crops,1997,2.0984,I
483,Harvested irrigated permanent crop area: Other crops,2002,1.7174,I
484,Harvested irrigated permanent crop area: Other crops,2007,1.565,I
485,Harvested irrigated permanent crop area: Other crops,2012,1.565,I
486,Harvested irrigated permanent crop area: Other crops,2017,1.565,I
487,Harvested irrigated permanent crop area: Other crops,2018,1.565,I
