Djibouti,Variable Name,Year,Value,Symbol
57,Urban population,1987,369.421,X
58,Urban population,1992,468.428,X
59,Urban population,1997,504.921,X
60,Urban population,2002,571.782,X
61,Urban population,2007,622.049,X
62,Urban population,2012,679.729,X
63,Urban population,2017,743.079,X
64,Urban population,2018,755.533,X
65,Gross Domestic Product (GDP),1972,96978720.0,X
66,Gross Domestic Product (GDP),1977,217757046.0,X
67,Gross Domestic Product (GDP),1982,334136090.0,X
68,Gross Domestic Product (GDP),1987,398675951.0,X
69,Gross Domestic Product (GDP),1992,481591371.0,X
70,Gross Domestic Product (GDP),1997,491155238.0,X
71,Gross Domestic Product (GDP),2002,590022700.0,X
72,Gross Domestic Product (GDP),2007,847918929.0,X
73,Gross Domestic Product (GDP),2012,1705189898.0,X
74,Gross Domestic Product (GDP),2017,2766868072.0,X
75,Gross Domestic Product (GDP),2018,2923362593.0,X
76,GDP per capita,1972,541.103426,X
77,GDP per capita,1977,784.769464,X
78,GDP per capita,1982,867.275475,X
79,GDP per capita,1987,813.076807,X
80,GDP per capita,1992,783.006648,X
81,GDP per capita,1997,743.101609,X
82,GDP per capita,2002,790.68091,X
83,GDP per capita,2007,1047.586896,X
84,GDP per capita,2012,1935.109991,X
85,GDP per capita,2017,2891.234525,X
86,GDP per capita,2018,3009.407574,X
87,"Agriculture, value added (% GDP)",1972,4.376897,X
88,"Agriculture, value added (% GDP)",1977,4.523123,X
89,"Agriculture, value added (% GDP)",1982,3.968037,X
90,"Agriculture, value added (% GDP)",1987,3.255772,X
91,"Agriculture, value added (% GDP)",1992,2.878226,X
92,"Agriculture, value added (% GDP)",1997,3.139634,X
93,"Agriculture, value added (% GDP)",2002,3.134696,X
94,"Agriculture, value added (% GDP)",2007,3.633215,X
95,"Agriculture, value added (% GDP)",2012,1.493087,X
96,"Agriculture, value added (% GDP)",2017,1.428002,X
97,"Agriculture, value added (% GDP)",2018,1.264229,X
98,Number of people undernourished (3-year average),1992,500.0,X
99,Number of people undernourished (3-year average),1997,500.0,X
100,Number of people undernourished (3-year average),2002,300.0,X
101,Number of people undernourished (3-year average),2007,200.0,X
102,Number of people undernourished (3-year average),2012,200.0,X
103,Number of people undernourished (3-year average),2017,200.0,X
104,Number of people undernourished (3-year average),2018,200.0,X
105,Prevalence of undernourishment (3-year average),1992,74.8,X
106,Prevalence of undernourishment (3-year average),1997,68.0,X
107,Prevalence of undernourishment (3-year average),2001,48.1,X
108,Total population with access to safe drinking-water (JMP),1992,78.2,X
109,Total population with access to safe drinking-water (JMP),1997,80.2,X
110,Total population with access to safe drinking-water (JMP),2002,83.7,X
111,Total population with access to safe drinking-water (JMP),2007,87.1,X
112,Total population with access to safe drinking-water (JMP),2012,89.9,X
113,Total population with access to safe drinking-water (JMP),2017,90.0,I
114,Total population with access to safe drinking-water (JMP),2018,90.0,I
115,Long-term average annual precipitation in volume,1962,5.104,E
116,Long-term average annual precipitation in volume,1967,5.104,E
117,Long-term average annual precipitation in volume,1972,5.104,E
118,Long-term average annual precipitation in volume,1977,5.104,E
119,Long-term average annual precipitation in volume,1982,5.104,E
120,Long-term average annual precipitation in volume,1987,5.104,E
121,Long-term average annual precipitation in volume,1992,5.104,E
122,Long-term average annual precipitation in volume,1997,5.104,E
123,Long-term average annual precipitation in volume,2002,5.104,E
124,Long-term average annual precipitation in volume,2007,5.104,E
125,Long-term average annual precipitation in volume,2012,5.104,E
126,Long-term average annual precipitation in volume,2017,5.104,E
127,Long-term average annual precipitation in volume,2018,5.104,E
128,Interannual variability (WRI),2017,4.3,I
129,Interannual variability (WRI),2018,4.3,I
130,Seasonal variability (WRI),2017,2.0,I
131,Seasonal variability (WRI),2018,2.0,I
132,Flood occurrence (WRI),2017,2.9,I
133,Flood occurrence (WRI),2018,2.9,I
134,Surface water: entering the country (total),1962,0.0,OF
135,Surface water: entering the country (total),1967,0.0,OF
136,Surface water: entering the country (total),1972,0.0,OF
137,Surface water: entering the country (total),1977,0.0,OF
138,Surface water: entering the country (total),1982,0.0,OF
139,Surface water: entering the country (total),1987,0.0,OF
140,Surface water: entering the country (total),1992,0.0,OF
141,Surface water: entering the country (total),1997,0.0,OF
142,Surface water: entering the country (total),2002,0.0,OF
143,Surface water: entering the country (total),2007,0.0,OF
144,Surface water: entering the country (total),2012,0.0,OF
145,Surface water: entering the country (total),2017,0.0,OF
146,Surface water: leaving the country to other countries (total),1962,0.0,OF
147,Surface water: leaving the country to other countries (total),1967,0.0,OF
148,Surface water: leaving the country to other countries (total),1972,0.0,OF
149,Surface water: leaving the country to other countries (total),1977,0.0,OF
150,Surface water: leaving the country to other countries (total),1982,0.0,OF
151,Surface water: leaving the country to other countries (total),1987,0.0,OF
152,Surface water: leaving the country to other countries (total),1992,0.0,OF
153,Surface water: leaving the country to other countries (total),1997,0.0,OF
154,Surface water: leaving the country to other countries (total),2002,0.0,OF
155,Surface water: leaving the country to other countries (total),2007,0.0,OF
156,Surface water: leaving the country to other countries (total),2012,0.0,OF
157,Surface water: leaving the country to other countries (total),2017,0.0,OF
158,Groundwater: entering the country (total),1962,0.0,E
159,Groundwater: entering the country (total),1967,0.0,E
160,Groundwater: entering the country (total),1972,0.0,E
161,Groundwater: entering the country (total),1977,0.0,E
162,Groundwater: entering the country (total),1982,0.0,E
163,Groundwater: entering the country (total),1987,0.0,E
164,Groundwater: entering the country (total),1992,0.0,E
165,Groundwater: entering the country (total),1997,0.0,E
166,Groundwater: entering the country (total),2002,0.0,E
167,Groundwater: entering the country (total),2007,0.0,E
168,Groundwater: entering the country (total),2012,0.0,E
169,Groundwater: entering the country (total),2017,0.0,E
170,Dependency ratio,1962,0.0,E
171,Dependency ratio,1967,0.0,E
172,Dependency ratio,1972,0.0,E
173,Dependency ratio,1977,0.0,E
174,Dependency ratio,1982,0.0,E
175,Dependency ratio,1987,0.0,E
176,Dependency ratio,1992,0.0,E
177,Dependency ratio,1997,0.0,E
178,Dependency ratio,2002,0.0,E
179,Dependency ratio,2007,0.0,E
180,Dependency ratio,2012,0.0,E
181,Dependency ratio,2017,0.0,E
182,Dependency ratio,2018,0.0,E
183,Total internal renewable water resources (IRWR),1962,0.3,E
184,Total internal renewable water resources (IRWR),1967,0.3,E
185,Total internal renewable water resources (IRWR),1972,0.3,E
186,Total internal renewable water resources (IRWR),1977,0.3,E
187,Total internal renewable water resources (IRWR),1982,0.3,E
188,Total internal renewable water resources (IRWR),1987,0.3,E
189,Total internal renewable water resources (IRWR),1992,0.3,E
190,Total internal renewable water resources (IRWR),1997,0.3,E
191,Total internal renewable water resources (IRWR),2002,0.3,E
192,Total internal renewable water resources (IRWR),2007,0.3,E
193,Total internal renewable water resources (IRWR),2012,0.3,E
194,Total internal renewable water resources (IRWR),2017,0.3,E
195,Total internal renewable water resources (IRWR),2018,0.3,E
196,Total internal renewable water resources per capita,1962,3184.5781495478,E
197,Total internal renewable water resources per capita,1967,2283.1571497066,E
198,Total internal renewable water resources per capita,1972,1673.8829621033,E
199,Total internal renewable water resources per capita,1977,1081.162898814,E
200,Total internal renewable water resources per capita,1982,778.6726745589,E
201,Total internal renewable water resources per capita,1987,611.8328472661,E
202,Total internal renewable water resources per capita,1992,487.7620501614,E
203,Total internal renewable water resources per capita,1997,453.9518780746,E
204,Total internal renewable water resources per capita,2002,401.6376104169,E
205,Total internal renewable water resources per capita,2007,372.46213612,E
206,Total internal renewable water resources per capita,2012,345.5675774676,E
207,Total internal renewable water resources per capita,2017,317.7632854182,E
208,Total internal renewable water resources per capita,2018,312.8509796928,E
209,Total renewable surface water,1962,0.3,E
210,Total renewable surface water,1967,0.3,E
211,Total renewable surface water,1972,0.3,E
212,Total renewable surface water,1977,0.3,E
213,Total renewable surface water,1982,0.3,E
214,Total renewable surface water,1987,0.3,E
215,Total renewable surface water,1992,0.3,E
216,Total renewable surface water,1997,0.3,E
217,Total renewable surface water,2002,0.3,E
218,Total renewable surface water,2007,0.3,E
219,Total renewable surface water,2012,0.3,E
220,Total renewable surface water,2017,0.3,E
221,Total renewable surface water,2018,0.3,E
222,Total renewable groundwater,1962,0.015,E
223,Total renewable groundwater,1967,0.015,E
224,Total renewable groundwater,1972,0.015,E
225,Total renewable groundwater,1977,0.015,E
226,Total renewable groundwater,1982,0.015,E
227,Total renewable groundwater,1987,0.015,E
228,Total renewable groundwater,1992,0.015,E
229,Total renewable groundwater,1997,0.015,E
230,Total renewable groundwater,2002,0.015,E
231,Total renewable groundwater,2007,0.015,E
232,Total renewable groundwater,2012,0.015,E
233,Total renewable groundwater,2017,0.015,E
234,Total renewable groundwater,2018,0.015,E
235,Water resources: total external renewable,1962,0.0,E
236,Water resources: total external renewable,1967,0.0,E
237,Water resources: total external renewable,1972,0.0,E
238,Water resources: total external renewable,1977,0.0,E
239,Water resources: total external renewable,1982,0.0,E
240,Water resources: total external renewable,1987,0.0,E
241,Water resources: total external renewable,1992,0.0,E
242,Water resources: total external renewable,1997,0.0,E
243,Water resources: total external renewable,2002,0.0,E
244,Water resources: total external renewable,2007,0.0,E
245,Water resources: total external renewable,2012,0.0,E
246,Water resources: total external renewable,2017,0.0,E
247,Water resources: total external renewable,2018,0.0,E
248,Total renewable water resources,1962,0.3,E
249,Total renewable water resources,1967,0.3,E
250,Total renewable water resources,1972,0.3,E
251,Total renewable water resources,1977,0.3,E
252,Total renewable water resources,1982,0.3,E
253,Total renewable water resources,1987,0.3,E
254,Total renewable water resources,1992,0.3,E
255,Total renewable water resources,1997,0.3,E
256,Total renewable water resources,2002,0.3,E
257,Total renewable water resources,2007,0.3,E
258,Total renewable water resources,2012,0.3,E
259,Total renewable water resources,2017,0.3,E
260,Total renewable water resources,2018,0.3,E
261,Total renewable water resources per capita,1962,3184.5781495478,E
262,Total renewable water resources per capita,1967,2283.1571497066,E
263,Total renewable water resources per capita,1972,1673.8829621033,E
264,Total renewable water resources per capita,1977,1081.162898814,E
265,Total renewable water resources per capita,1982,778.6726745589,E
266,Total renewable water resources per capita,1987,611.8328472661,E
267,Total renewable water resources per capita,1992,487.7620501614,E
268,Total renewable water resources per capita,1997,453.9518780746,E
269,Total renewable water resources per capita,2002,401.6376104169,E
270,Total renewable water resources per capita,2007,372.46213612,E
271,Total renewable water resources per capita,2012,345.5675774676,E
272,Total renewable water resources per capita,2017,317.7632854182,E
273,Total renewable water resources per capita,2018,312.8509796928,E
274,Total agricultural water managed area,1992,0.7754,I
275,Total agricultural water managed area,1997,0.9444,I
276,Total agricultural water managed area,2002,1.012,I
277,Total agricultural water managed area,2007,1.012,I
278,Total agricultural water managed area,2012,1.012,I
279,Total agricultural water managed area,2017,1.012,I
280,Total agricultural water managed area,2018,1.012,I
281,Area equipped for irrigation: total,1992,0.7754,I
282,Area equipped for irrigation: total,1997,0.9444,I
283,Area equipped for irrigation: total,2002,1.012,I
284,Area equipped for irrigation: total,2007,1.012,I
285,Area equipped for irrigation: total,2012,1.012,I
286,Area equipped for irrigation: total,2017,1.012,I
287,Area equipped for irrigation: total,2018,1.012,I
288,% of agricultural GVA produced by irrigated agriculture,1962,100.0,E
289,% of agricultural GVA produced by irrigated agriculture,1967,100.0,E
290,% of agricultural GVA produced by irrigated agriculture,1972,100.0,E
291,% of agricultural GVA produced by irrigated agriculture,1977,100.0,E
292,% of agricultural GVA produced by irrigated agriculture,1982,100.0,E
293,% of agricultural GVA produced by irrigated agriculture,1987,100.0,E
294,% of agricultural GVA produced by irrigated agriculture,1992,100.0,E
295,% of agricultural GVA produced by irrigated agriculture,1997,100.0,E
296,% of agricultural GVA produced by irrigated agriculture,2002,100.0,E
297,% of agricultural GVA produced by irrigated agriculture,2007,100.0,E
298,% of agricultural GVA produced by irrigated agriculture,2012,100.0,E
299,% of agricultural GVA produced by irrigated agriculture,2017,100.0,I
300,% of agricultural GVA produced by irrigated agriculture,2018,100.0,I
301,Agricultural water withdrawal as % of total renewable water resources,1987,2.1555555556,I
302,Agricultural water withdrawal as % of total renewable water resources,1992,1.7111111111,I
303,Agricultural water withdrawal as % of total renewable water resources,1997,1.2666666667,I
304,Agricultural water withdrawal as % of total renewable water resources,2002,1.0,I
305,Agricultural water withdrawal as % of total renewable water resources,2007,1.0,I
306,Agricultural water withdrawal as % of total renewable water resources,2012,1.0,I
307,Agricultural water withdrawal as % of total renewable water resources,2017,1.0,I
308,Agricultural water withdrawal as % of total renewable water resources,2018,1.0,I
309,Agricultural water withdrawal,1987,0.0064666667,I
310,Agricultural water withdrawal,1992,0.0051333333,I
311,Agricultural water withdrawal,1997,0.0038,I
312,Agricultural water withdrawal,2002,0.003,I
313,Agricultural water withdrawal,2007,0.003,I
314,Agricultural water withdrawal,2012,0.003,I
315,Agricultural water withdrawal,2017,0.003,I
316,Agricultural water withdrawal,2018,0.003,I
317,Irrigation water requirement,2002,0.0008,I
318,Irrigation water requirement,2007,0.0008,I
319,Irrigation water requirement,2012,0.0008,I
320,Irrigation water requirement,2017,0.0008,I
321,Irrigation water requirement,2018,0.0008,I
322,Irrigation water withdrawal,2002,0.0025,I
323,Irrigation water withdrawal,2007,0.0025,I
324,Irrigation water withdrawal,2012,0.0025,I
325,Irrigation water withdrawal,2017,0.0025,I
326,Irrigation water withdrawal,2018,0.0025,I
327,Municipal water withdrawal,1987,0.003,I
328,Municipal water withdrawal,1992,0.008,I
329,Municipal water withdrawal,1997,0.013,I
330,Municipal water withdrawal,2002,0.016,I
331,Municipal water withdrawal,2007,0.016,I
332,Municipal water withdrawal,2012,0.016,I
333,Municipal water withdrawal,2017,0.016,I
334,Municipal water withdrawal,2018,0.016,I
335,Industrial water withdrawal,1987,0.0,I
336,Industrial water withdrawal,1992,0.0,I
337,Industrial water withdrawal,1997,0.0,I
338,Industrial water withdrawal,2002,0.0,I
339,Industrial water withdrawal,2007,0.0,I
340,Industrial water withdrawal,2012,0.0,I
341,Industrial water withdrawal,2017,0.0,I
342,Industrial water withdrawal,2018,0.0,I
343,Total water withdrawal,1987,0.0094666667,I
344,Total water withdrawal,1992,0.0131333333,I
345,Total water withdrawal,1997,0.0168,I
346,Total water withdrawal,2002,0.019,I
347,Total water withdrawal,2007,0.019,I
348,Total water withdrawal,2012,0.019,I
349,Total water withdrawal,2017,0.019,I
350,Total water withdrawal,2018,0.019,I
351,Fresh surface water withdrawal,2002,0.001,I
352,Fresh surface water withdrawal,2007,0.001,I
353,Fresh surface water withdrawal,2012,0.001,I
354,Fresh surface water withdrawal,2017,0.001,I
355,Fresh surface water withdrawal,2018,0.001,I
356,Fresh groundwater withdrawal,2002,0.018,I
357,Fresh groundwater withdrawal,2007,0.018,I
358,Fresh groundwater withdrawal,2012,0.018,I
359,Fresh groundwater withdrawal,2017,0.018,I
360,Fresh groundwater withdrawal,2018,0.018,I
361,Total freshwater withdrawal,1987,0.0094666667,I
362,Total freshwater withdrawal,1992,0.0131333333,I
363,Total freshwater withdrawal,1997,0.0168,I
364,Total freshwater withdrawal,2002,0.019,I
365,Total freshwater withdrawal,2007,0.019,I
366,Total freshwater withdrawal,2012,0.019,I
367,Total freshwater withdrawal,2017,0.019,I
368,Total freshwater withdrawal,2018,0.019,I
369,Desalinated water produced,1992,0.0001,I
370,Desalinated water produced,1997,0.0001,I
371,Desalinated water produced,2002,0.0001,I
372,Desalinated water produced,2007,0.0001,I
373,Desalinated water produced,2012,0.0001,I
374,Desalinated water produced,2017,0.0001,I
375,Desalinated water produced,2018,0.0001,I
376,Direct use of treated municipal wastewater,2002,0.0001,I
377,Direct use of treated municipal wastewater,2007,0.0001,I
378,Direct use of treated municipal wastewater,2012,0.0001,I
379,Direct use of treated municipal wastewater,2017,0.0001,I
380,Direct use of treated municipal wastewater,2018,0.0001,I
381,SDG 6.4.2. Water Stress,1987,3.1555555556,I
382,SDG 6.4.2. Water Stress,1992,4.3777777778,I
383,SDG 6.4.2. Water Stress,1997,5.6,I
384,SDG 6.4.2. Water Stress,2002,6.3333333333,I
385,SDG 6.4.2. Water Stress,2007,6.3333333333,I
386,SDG 6.4.2. Water Stress,2012,6.3333333333,I
387,SDG 6.4.2. Water Stress,2017,6.3333333333,I
388,SDG 6.4.2. Water Stress,2018,6.3333333333,I
389,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,9.47144947,E
390,SDG 6.4.1. Services Water Use Efficiency,2015,129.369077375,E
391,Harvested irrigated temporary crop area: Other cereals,1992,0.002,I
392,Harvested irrigated temporary crop area: Other cereals,1997,0.002,I
393,Harvested irrigated temporary crop area: Other cereals,2002,0.002,I
394,Harvested irrigated temporary crop area: Other cereals,2007,0.002,I
395,Harvested irrigated temporary crop area: Other cereals,2012,0.002,I
396,Harvested irrigated temporary crop area: Other cereals,2017,0.002,I
397,Harvested irrigated temporary crop area: Other cereals,2018,0.002,I
398,Harvested irrigated temporary crop area: Vegetables,1992,0.4081,I
399,Harvested irrigated temporary crop area: Vegetables,1997,0.4966,I
400,Harvested irrigated temporary crop area: Vegetables,2002,0.532,I
401,Harvested irrigated temporary crop area: Vegetables,2007,0.532,I
402,Harvested irrigated temporary crop area: Vegetables,2012,0.532,I
403,Harvested irrigated temporary crop area: Vegetables,2017,0.532,I
404,Harvested irrigated temporary crop area: Vegetables,2018,0.532,I
405,Harvested irrigated permanent crop area: Other crops,1992,0.05,I
406,Harvested irrigated permanent crop area: Other crops,1997,0.05,I
407,Harvested irrigated permanent crop area: Other crops,2002,0.05,I
408,Harvested irrigated permanent crop area: Other crops,2007,0.05,I
409,Harvested irrigated permanent crop area: Other crops,2012,0.05,I
410,Harvested irrigated permanent crop area: Other crops,2017,0.05,I
411,Harvested irrigated permanent crop area: Other crops,2018,0.05,I
