Lao People's Democratic Republic,Variable Name,Year,Value,Symbol
157,Groundwater: entering the country (total),1962,0.0,OF
158,Groundwater: entering the country (total),1967,0.0,OF
159,Groundwater: entering the country (total),1972,0.0,OF
160,Groundwater: entering the country (total),1977,0.0,OF
161,Groundwater: entering the country (total),1982,0.0,OF
162,Groundwater: entering the country (total),1987,0.0,OF
163,Groundwater: entering the country (total),1992,0.0,OF
164,Groundwater: entering the country (total),1997,0.0,OF
165,Groundwater: entering the country (total),2002,0.0,OF
166,Groundwater: entering the country (total),2007,0.0,OF
167,Groundwater: entering the country (total),2012,0.0,OF
168,Groundwater: entering the country (total),2017,0.0,OF
169,Groundwater: leaving the country to other countries (total),1962,0.0,E
170,Groundwater: leaving the country to other countries (total),1967,0.0,E
171,Groundwater: leaving the country to other countries (total),1972,0.0,E
172,Groundwater: leaving the country to other countries (total),1977,0.0,E
173,Groundwater: leaving the country to other countries (total),1982,0.0,E
174,Groundwater: leaving the country to other countries (total),1987,0.0,E
175,Groundwater: leaving the country to other countries (total),1992,0.0,E
176,Groundwater: leaving the country to other countries (total),1997,0.0,E
177,Groundwater: leaving the country to other countries (total),2002,0.0,E
178,Groundwater: leaving the country to other countries (total),2007,0.0,E
179,Groundwater: leaving the country to other countries (total),2012,0.0,E
180,Groundwater: leaving the country to other countries (total),2017,0.0,E
181,Dependency ratio,1962,42.9085457271,E
182,Dependency ratio,1967,42.9085457271,E
183,Dependency ratio,1972,42.9085457271,E
184,Dependency ratio,1977,42.9085457271,E
185,Dependency ratio,1982,42.9085457271,E
186,Dependency ratio,1987,42.9085457271,E
187,Dependency ratio,1992,42.9085457271,E
188,Dependency ratio,1997,42.9085457271,E
189,Dependency ratio,2002,42.9085457271,E
190,Dependency ratio,2007,42.9085457271,E
191,Dependency ratio,2012,42.9085457271,E
192,Dependency ratio,2017,42.9085457271,E
193,Dependency ratio,2018,42.9085457271,E
194,Total internal renewable water resources (IRWR),1962,190.4,E
195,Total internal renewable water resources (IRWR),1967,190.4,E
196,Total internal renewable water resources (IRWR),1972,190.4,E
197,Total internal renewable water resources (IRWR),1977,190.4,E
198,Total internal renewable water resources (IRWR),1982,190.4,E
199,Total internal renewable water resources (IRWR),1987,190.4,E
200,Total internal renewable water resources (IRWR),1992,190.4,E
201,Total internal renewable water resources (IRWR),1997,190.4,E
202,Total internal renewable water resources (IRWR),2002,190.4,E
203,Total internal renewable water resources (IRWR),2007,190.4,E
204,Total internal renewable water resources (IRWR),2012,190.4,E
205,Total internal renewable water resources (IRWR),2017,190.4,E
206,Total internal renewable water resources (IRWR),2018,190.4,E
207,Total internal renewable water resources per capita,1962,85722.3253981653,E
208,Total internal renewable water resources per capita,1967,76253.9448600676,E
209,Total internal renewable water resources per capita,1972,67022.4063930364,E
210,Total internal renewable water resources per capita,1977,60717.3448152043,E
211,Total internal renewable water resources per capita,1982,55980.3903985398,E
212,Total internal renewable water resources per capita,1987,48751.3858554409,E
213,Total internal renewable water resources per capita,1992,42307.8111018452,E
214,Total internal renewable water resources per capita,1997,37700.6186742807,E
215,Total internal renewable water resources per capita,2002,34660.7452133038,E
216,Total internal renewable water resources per capita,2007,32027.1935095143,E
217,Total internal renewable water resources per capita,2012,29544.4353583582,E
218,Total internal renewable water resources per capita,2017,27383.7252365334,E
219,Total internal renewable water resources per capita,2018,26963.0830926033,E
220,Total renewable surface water,1962,333.5,E
221,Total renewable surface water,1967,333.5,E
222,Total renewable surface water,1972,333.5,E
223,Total renewable surface water,1977,333.5,E
224,Total renewable surface water,1982,333.5,E
225,Total renewable surface water,1987,333.5,E
226,Total renewable surface water,1992,333.5,E
227,Total renewable surface water,1997,333.5,E
228,Total renewable surface water,2002,333.5,E
229,Total renewable surface water,2007,333.5,E
230,Total renewable surface water,2012,333.5,E
231,Total renewable surface water,2017,333.5,E
232,Total renewable surface water,2018,333.5,E
233,Total renewable groundwater,1962,37.9,E
234,Total renewable groundwater,1967,37.9,E
235,Total renewable groundwater,1972,37.9,E
236,Total renewable groundwater,1977,37.9,E
237,Total renewable groundwater,1982,37.9,E
238,Total renewable groundwater,1987,37.9,E
239,Total renewable groundwater,1992,37.9,E
240,Total renewable groundwater,1997,37.9,E
241,Total renewable groundwater,2002,37.9,E
242,Total renewable groundwater,2007,37.9,E
243,Total renewable groundwater,2012,37.9,E
244,Total renewable groundwater,2017,37.9,E
245,Total renewable groundwater,2018,37.9,E
246,Water resources: total external renewable,1962,143.1,E
247,Water resources: total external renewable,1967,143.1,E
248,Water resources: total external renewable,1972,143.1,E
249,Water resources: total external renewable,1977,143.1,E
250,Water resources: total external renewable,1982,143.1,E
251,Water resources: total external renewable,1987,143.1,E
252,Water resources: total external renewable,1992,143.1,E
253,Water resources: total external renewable,1997,143.1,E
254,Water resources: total external renewable,2002,143.1,E
255,Water resources: total external renewable,2007,143.1,E
256,Water resources: total external renewable,2012,143.1,E
257,Water resources: total external renewable,2017,143.1,E
258,Water resources: total external renewable,2018,143.1,E
259,Total renewable water resources,1962,333.5,E
260,Total renewable water resources,1967,333.5,E
261,Total renewable water resources,1972,333.5,E
262,Total renewable water resources,1977,333.5,E
263,Total renewable water resources,1982,333.5,E
264,Total renewable water resources,1987,333.5,E
265,Total renewable water resources,1992,333.5,E
266,Total renewable water resources,1997,333.5,E
267,Total renewable water resources,2002,333.5,E
268,Total renewable water resources,2007,333.5,E
269,Total renewable water resources,2012,333.5,E
270,Total renewable water resources,2017,333.5,E
271,Total renewable water resources,2018,333.5,E
272,Total renewable water resources per capita,1962,150149.136135967,E
273,Total renewable water resources per capita,1967,133564.551527482,E
274,Total renewable water resources per capita,1972,117394.813718895,E
275,Total renewable water resources per capita,1977,106351.021511926,E
276,Total renewable water resources per capita,1982,98053.887594081,E
277,Total renewable water resources per capita,1987,85391.7394054072,E
278,Total renewable water resources per capita,1992,74105.3308953013,E
279,Total renewable water resources per capita,1997,66035.4849152974,E
280,Total renewable water resources per capita,2002,60710.916642,E
281,Total renewable water resources per capita,2007,56098.0516566335,E
282,Total renewable water resources per capita,2012,51749.3129832587,E
283,Total renewable water resources per capita,2017,47964.6657898313,E
284,Total renewable water resources per capita,2018,47227.8792614664,E
285,Total agricultural water managed area,1997,411.5526315789,E
286,Total agricultural water managed area,2002,473.1842105263,E
287,Total agricultural water managed area,2007,509.3269005848,E
288,Total agricultural water managed area,2012,507.2362573099,E
289,Total agricultural water managed area,2017,547.93,E
290,Total agricultural water managed area,2018,547.93,I
291,Area equipped for irrigation: total,1997,180.0526315789,E
292,Area equipped for irrigation: total,2002,241.6842105263,E
293,Area equipped for irrigation: total,2007,303.3157894737,E
294,Area equipped for irrigation: total,2012,364.9473684211,E
295,Area equipped for irrigation: total,2017,439.03,E
296,Area equipped for irrigation: total,2018,439.03,I
297,% of agricultural GVA produced by irrigated agriculture,1992,19.8554111729,E
298,% of agricultural GVA produced by irrigated agriculture,1997,29.9607127225,E
299,% of agricultural GVA produced by irrigated agriculture,2002,35.7763527594,E
300,% of agricultural GVA produced by irrigated agriculture,2007,36.2828533064,E
301,% of agricultural GVA produced by irrigated agriculture,2012,33.8019257998,E
302,% of agricultural GVA produced by irrigated agriculture,2017,31.3419752965,E
303,% of agricultural GVA produced by irrigated agriculture,2018,32.1723860006,E
304,Ratio between rainfed and irrigated yields,1962,1.383,E
305,Ratio between rainfed and irrigated yields,1967,1.383,E
306,Ratio between rainfed and irrigated yields,1972,1.383,E
307,Ratio between rainfed and irrigated yields,1977,1.383,E
308,Ratio between rainfed and irrigated yields,1982,1.383,E
309,Ratio between rainfed and irrigated yields,1987,1.383,E
310,Ratio between rainfed and irrigated yields,1992,1.383,E
311,Ratio between rainfed and irrigated yields,1997,1.383,E
312,Ratio between rainfed and irrigated yields,2002,1.383,E
313,Ratio between rainfed and irrigated yields,2007,1.383,I
314,Ratio between rainfed and irrigated yields,2012,1.383,E
315,Ratio between rainfed and irrigated yields,2017,1.383,I
316,Ratio between rainfed and irrigated yields,2018,1.383,I
317,Agricultural water withdrawal as % of total renewable water resources,2007,1.2290854573,I
318,Agricultural water withdrawal as % of total renewable water resources,2012,1.9082458771,I
319,Agricultural water withdrawal as % of total renewable water resources,2017,2.1049475262,E
320,Agricultural water withdrawal as % of total renewable water resources,2018,2.1049475262,I
321,Agricultural water withdrawal,2007,4.099,I
322,Agricultural water withdrawal,2012,6.364,I
323,Agricultural water withdrawal,2017,7.02,OF
324,Agricultural water withdrawal,2018,7.02,I
325,Irrigation water requirement,2007,1.521,I
326,Irrigation water requirement,2012,1.521,I
327,Irrigation water requirement,2017,1.521,I
328,Irrigation water requirement,2018,1.521,I
329,Irrigation water withdrawal,2007,4.0012222222,I
330,Irrigation water withdrawal,2012,6.0217777778,I
331,Irrigation water withdrawal,2017,6.58,OF
332,Irrigation water withdrawal,2018,6.58,I
333,Municipal water withdrawal,1987,0.0792,OF
334,Municipal water withdrawal,1992,0.095075,I
335,Municipal water withdrawal,1997,0.11095,I
336,Municipal water withdrawal,2002,0.126825,I
337,Municipal water withdrawal,2007,0.13,I
338,Municipal water withdrawal,2012,0.13,I
339,Municipal water withdrawal,2017,0.13,I
340,Municipal water withdrawal,2018,0.13,I
341,Industrial water withdrawal,1987,0.099,OF
342,Industrial water withdrawal,1992,0.1211875,I
343,Industrial water withdrawal,1997,0.143375,I
344,Industrial water withdrawal,2002,0.1655625,I
345,Industrial water withdrawal,2007,0.17,I
346,Industrial water withdrawal,2012,0.17,I
347,Industrial water withdrawal,2017,0.17,I
348,Industrial water withdrawal,2018,0.17,I
349,Total water withdrawal,2007,4.399,E
350,Total water withdrawal,2012,6.664,E
351,Total water withdrawal,2017,7.32,E
352,Total water withdrawal,2018,7.32,E
353,Total freshwater withdrawal,2007,4.399,E
354,Total freshwater withdrawal,2012,6.664,E
355,Total freshwater withdrawal,2017,7.32,E
356,Total freshwater withdrawal,2018,7.32,E
357,Produced municipal wastewater,2012,0.0836,I
358,Produced municipal wastewater,2017,0.0836,I
359,Produced municipal wastewater,2018,0.0836,I
360,Collected municipal wastewater,2002,0.546,I
361,Collected municipal wastewater,2007,0.546,I
362,Collected municipal wastewater,2012,0.546,I
363,Collected municipal wastewater,2017,0.546,I
364,Collected municipal wastewater,2018,0.546,I
365,Treated municipal wastewater,1997,0.0,I
366,Treated municipal wastewater,2002,0.0,I
367,Treated municipal wastewater,2007,0.0,I
368,Treated municipal wastewater,2012,0.0,I
369,Treated municipal wastewater,2017,0.0,I
370,Treated municipal wastewater,2018,0.0,I
383,SDG 6.4.2. Water Stress,2007,2.8676662321,E
384,SDG 6.4.2. Water Stress,2012,4.3441981747,E
385,SDG 6.4.2. Water Stress,2017,4.7718383312,E
386,SDG 6.4.2. Water Stress,2018,4.7718383312,E
387,SDG 6.4.1. Water Use Efficiency,2007,1.3064075356,I
388,SDG 6.4.1. Water Use Efficiency,2012,1.3655961535,I
389,SDG 6.4.1. Water Use Efficiency,2016,1.5429748429,I
390,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.1666579029,E
391,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.1136913703,E
392,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.1152155857,E
393,SDG 6.4.1. Industrial Water Use Efficiency,1987,2.1707486627,E
394,SDG 6.4.1. Industrial Water Use Efficiency,1992,2.6920089434,E
395,SDG 6.4.1. Industrial Water Use Efficiency,1997,6.2040522463,E
396,SDG 6.4.1. Industrial Water Use Efficiency,2002,4.4638541509,E
397,SDG 6.4.1. Industrial Water Use Efficiency,2007,9.470448379,E
398,SDG 6.4.1. Industrial Water Use Efficiency,2012,17.4461649764,E
399,SDG 6.4.1. Industrial Water Use Efficiency,2016,17.9547783836,E
400,SDG 6.4.1. Services Water Use Efficiency,1987,13.4299345128,E
401,SDG 6.4.1. Services Water Use Efficiency,1992,12.8784366022,E
402,SDG 6.4.1. Services Water Use Efficiency,1997,20.5443288201,E
403,SDG 6.4.1. Services Water Use Efficiency,2002,21.2998915181,E
404,SDG 6.4.1. Services Water Use Efficiency,2007,26.5675367723,E
405,SDG 6.4.1. Services Water Use Efficiency,2012,41.622714157,E
406,SDG 6.4.1. Services Water Use Efficiency,2016,60.91452508,E
407,Harvested irrigated temporary crop area: Rice,1997,201.3181818182,I
408,Harvested irrigated temporary crop area: Rice,2002,269.6818181818,I
409,Harvested irrigated temporary crop area: Rice,2007,310.7,I
410,Harvested irrigated temporary crop area: Rice,2012,310.7,I
411,Harvested irrigated temporary crop area: Rice,2017,310.7,I
412,Harvested irrigated temporary crop area: Rice,2018,310.7,I
413,Harvested irrigated temporary crop area: Sugarcane,2007,5.0,I
414,Harvested irrigated temporary crop area: Sugarcane,2012,5.0,I
415,Harvested irrigated temporary crop area: Sugarcane,2017,5.0,I
416,Harvested irrigated temporary crop area: Sugarcane,2018,5.0,I
417,Harvested irrigated temporary crop area: Vegetables,1997,10.76,I
418,Harvested irrigated temporary crop area: Vegetables,2002,24.66,I
419,Harvested irrigated temporary crop area: Vegetables,2007,33.0,I
420,Harvested irrigated temporary crop area: Vegetables,2012,33.0,I
421,Harvested irrigated temporary crop area: Vegetables,2017,33.0,I
422,Harvested irrigated temporary crop area: Vegetables,2018,33.0,I
423,Harvested irrigated permanent crop area: Citrus,2007,15.0,I
424,Harvested irrigated permanent crop area: Citrus,2012,15.0,I
425,Harvested irrigated permanent crop area: Citrus,2017,15.0,I
426,Harvested irrigated permanent crop area: Citrus,2018,15.0,I
427,Harvested irrigated temporary crop area: Cotton,2007,8.0,I
428,Harvested irrigated temporary crop area: Cotton,2012,8.0,I
429,Harvested irrigated temporary crop area: Cotton,2017,8.0,I
430,Harvested irrigated temporary crop area: Cotton,2018,8.0,I
