Netherlands,Variable Name,Year,Value,Symbol
294,Total renewable water resources per capita,2018,5334.252466066,E
295,Total agricultural water managed area,1997,352.4,E
296,Total agricultural water managed area,2002,399.8333333333,I
297,Total agricultural water managed area,2007,457.2,E
298,Total agricultural water managed area,2012,494.9333333333,I
299,Total agricultural water managed area,2017,522.6,I
300,Total agricultural water managed area,2018,522.6,I
301,Area equipped for irrigation: total,1997,352.4,E
302,Area equipped for irrigation: total,2002,399.8333333333,I
303,Area equipped for irrigation: total,2007,457.2,E
304,Area equipped for irrigation: total,2012,494.9333333333,I
305,Area equipped for irrigation: total,2017,522.6,I
306,Area equipped for irrigation: total,2018,522.6,I
307,% of agricultural GVA produced by irrigated agriculture,2007,28.7500957166,E
308,% of agricultural GVA produced by irrigated agriculture,2010,20.939727028,E
309,% of agricultural GVA produced by irrigated agriculture,2013,15.6886831278,E
310,% of agricultural GVA produced by irrigated agriculture,2018,40.9169614648,E
312,Ratio between rainfed and irrigated yields,1966,1.778,I
313,Ratio between rainfed and irrigated yields,1971,1.778,I
314,Ratio between rainfed and irrigated yields,1976,1.778,I
315,Ratio between rainfed and irrigated yields,1981,1.778,I
316,Ratio between rainfed and irrigated yields,1986,1.778,I
317,Ratio between rainfed and irrigated yields,1991,1.778,I
318,Ratio between rainfed and irrigated yields,1996,1.778,I
319,Ratio between rainfed and irrigated yields,2001,1.778,I
320,Ratio between rainfed and irrigated yields,2007,1.778,I
321,Ratio between rainfed and irrigated yields,2011,1.778,I
322,Ratio between rainfed and irrigated yields,2017,1.778,I
323,Ratio between rainfed and irrigated yields,2018,1.778,I
324,Agricultural water withdrawal as % of total renewable water resources,1992,0.2230769231,I
325,Agricultural water withdrawal as % of total renewable water resources,1997,0.2139340659,I
326,Agricultural water withdrawal as % of total renewable water resources,2002,0.0578021978,E
327,Agricultural water withdrawal as % of total renewable water resources,2007,0.079010989,E
328,Agricultural water withdrawal as % of total renewable water resources,2012,0.0661538462,E
329,Agricultural water withdrawal as % of total renewable water resources,2016,0.0840659341,E
330,Agricultural water withdrawal as % of total renewable water resources,2018,0.3320879121,E
331,Agricultural water withdrawal,1992,0.203,I
332,Agricultural water withdrawal,1997,0.19468,I
333,Agricultural water withdrawal,2001,0.0534,X
334,Agricultural water withdrawal,2006,0.1218,X
335,Agricultural water withdrawal,2011,0.1194,X
336,Agricultural water withdrawal,2016,0.0765,OF
337,Irrigation water requirement,2012,0.0425,I
338,Irrigation water requirement,2017,0.0425,I
339,Irrigation water requirement,2018,0.0425,I
340,Irrigation water withdrawal,1997,0.2087555556,I
341,Irrigation water withdrawal,2002,0.1025333333,I
342,Irrigation water withdrawal,2006,0.0898,X
343,Irrigation water withdrawal,2011,0.05265,I
344,Irrigation water withdrawal,2016,0.0381,OF
345,Municipal water withdrawal,1992,1.2774,I
346,Municipal water withdrawal,1997,1.2785,I
347,Municipal water withdrawal,2002,1.29125,I
348,Municipal water withdrawal,2007,1.248,X
349,Municipal water withdrawal,2012,1.217,X
350,Municipal water withdrawal,2016,1.26,OF
351,Industrial water withdrawal,1992,6.2172,I
352,Industrial water withdrawal,1997,5.5196,I
353,Industrial water withdrawal,2002,8.2235,I
354,Industrial water withdrawal,2007,9.629,X
355,Industrial water withdrawal,2012,9.446,X
356,Industrial water withdrawal,2014,7.612,OF
357,Total water withdrawal,1982,9.2584,I
358,Total water withdrawal,1987,8.8936666667,I
359,Total water withdrawal,1992,7.6976,E
360,Total water withdrawal,1997,6.99278,E
361,Total water withdrawal,2002,9.56735,E
362,Total water withdrawal,2007,10.9489,E
363,Total water withdrawal,2012,10.7232,E
364,Total water withdrawal,2014,8.9187,E
365,Fresh surface water withdrawal,1982,8.2108,I
366,Fresh surface water withdrawal,1987,7.6664,I
367,Fresh surface water withdrawal,1992,6.5132,I
368,Fresh surface water withdrawal,1997,5.8708,I
369,Fresh surface water withdrawal,2002,8.5248795053,I
370,Fresh surface water withdrawal,2007,9.946,OF
371,Fresh surface water withdrawal,2012,9.776,OF
372,Fresh surface water withdrawal,2015,7.418,OF
373,Fresh groundwater withdrawal,1982,1.0476,I
374,Fresh groundwater withdrawal,1987,1.1362,I
375,Fresh groundwater withdrawal,1992,1.1746,I
376,Fresh groundwater withdrawal,1997,1.1177,I
377,Fresh groundwater withdrawal,2002,1.0486954947,I
378,Fresh groundwater withdrawal,2007,0.9956,X
379,Fresh groundwater withdrawal,2012,0.9403,X
380,Fresh groundwater withdrawal,2016,0.9834,OF
381,Total freshwater withdrawal,1982,9.2584,I
382,Total freshwater withdrawal,1987,8.8026,I
383,Total freshwater withdrawal,1992,7.6878,I
384,Total freshwater withdrawal,1997,6.9885,I
385,Total freshwater withdrawal,2002,9.573575,I
386,Total freshwater withdrawal,2006,11.2462,E
387,Total freshwater withdrawal,2011,10.19,X
388,Total freshwater withdrawal,2015,8.411,OF
389,Direct use of treated municipal wastewater,2000,0.008,OF
390,Produced municipal wastewater,1977,1.2362,I
391,Produced municipal wastewater,1982,1.4412,I
392,Produced municipal wastewater,1987,1.5792,I
393,Produced municipal wastewater,1992,1.6658947368,I
394,Produced municipal wastewater,1997,1.7403684211,I
395,Produced municipal wastewater,2002,1.8148421053,I
396,Produced municipal wastewater,2007,1.8893157895,I
397,Produced municipal wastewater,2012,1.9432,I
398,Produced municipal wastewater,2017,1.921,OF
399,Collected municipal wastewater,1982,1.2892,I
400,Collected municipal wastewater,1987,1.4574,I
401,Collected municipal wastewater,1989,1.4978,I
402,Collected municipal wastewater,1997,1.8512941176,I
403,Collected municipal wastewater,2002,1.8604117647,I
404,Collected municipal wastewater,2007,1.8695294118,I
405,Collected municipal wastewater,2012,1.9078,I
406,Collected municipal wastewater,2017,1.921,OF
407,Not treated municipal wastewater,1977,0.2074,I
408,Not treated municipal wastewater,1982,0.152,I
409,Not treated municipal wastewater,1987,0.1338,I
410,Not treated municipal wastewater,1992,0.0586,I
411,Not treated municipal wastewater,1997,0.0191,I
412,Not treated municipal wastewater,2002,0.0167777778,I
413,Not treated municipal wastewater,2007,0.0431666667,I
414,Not treated municipal wastewater,2012,0.059,I
415,Not treated municipal wastewater,2017,0.059,I
416,Not treated municipal wastewater,2018,0.059,I
417,Treated municipal wastewater,1977,1.0288,I
418,Treated municipal wastewater,1982,1.2892,I
419,Treated municipal wastewater,1987,1.4454,I
420,Treated municipal wastewater,1992,1.769,OF
421,Treated municipal wastewater,1997,1.773,I
422,Treated municipal wastewater,2002,1.888,OF
423,Treated municipal wastewater,2007,1.838,I
424,Treated municipal wastewater,2012,1.9078,I
425,Treated municipal wastewater,2017,1.921,OF
426,Treated municipal wastewater discharged (secondary water),2002,1.831,I
427,Treated municipal wastewater discharged (secondary water),2007,1.831,I
428,Treated municipal wastewater discharged (secondary water),2012,1.831,I
429,Treated municipal wastewater discharged (secondary water),2017,1.831,I
430,Treated municipal wastewater discharged (secondary water),2018,1.831,I
443,SDG 6.4.2. Water Stress,1982,17.5781279666,E
444,SDG 6.4.2. Water Stress,1987,16.7127397,E
445,SDG 6.4.2. Water Stress,1992,14.5961647997,E
446,SDG 6.4.2. Water Stress,1997,13.2684640213,E
447,SDG 6.4.2. Water Stress,2002,18.1765236377,E
448,SDG 6.4.2. Water Stress,2007,20.7708372888,E
449,SDG 6.4.2. Water Stress,2012,20.3531422062,E
450,SDG 6.4.2. Water Stress,2015,15.969242453,E
451,SDG 6.4.1. Water Use Efficiency,2005,52.2089845232,I
452,SDG 6.4.1. Water Use Efficiency,2010,59.7047411711,I
453,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2005,23.2739845491,E
454,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2010,22.5057532088,E
455,SDG 6.4.1. Industrial Water Use Efficiency,1992,17.9190143136,E
456,SDG 6.4.1. Industrial Water Use Efficiency,1997,21.3278400851,E
457,SDG 6.4.1. Industrial Water Use Efficiency,2002,15.7565013389,E
458,SDG 6.4.1. Industrial Water Use Efficiency,2005,13.1274623665,E
459,SDG 6.4.1. Industrial Water Use Efficiency,2010,13.7955200377,E
460,SDG 6.4.1. Services Water Use Efficiency,1992,247.9109741644,E
461,SDG 6.4.1. Services Water Use Efficiency,1997,291.6126180203,E
462,SDG 6.4.1. Services Water Use Efficiency,2002,346.679462082,E
463,SDG 6.4.1. Services Water Use Efficiency,2005,371.9362890136,E
464,SDG 6.4.1. Services Water Use Efficiency,2010,424.8981951006,E
465,SDG 6.4.1. Services Water Use Efficiency,2015,444.2012934519,E
466,Harvested irrigated temporary crop area: Wheat,2007,0.0,I
467,Harvested irrigated temporary crop area: Wheat,2012,0.0,I
468,Harvested irrigated temporary crop area: Wheat,2017,0.0,I
469,Harvested irrigated temporary crop area: Wheat,2018,0.0,I
470,Harvested irrigated temporary crop area: Maize,2007,24.922,I
471,Harvested irrigated temporary crop area: Maize,2012,31.0,I
472,Harvested irrigated temporary crop area: Maize,2017,31.0,I
473,Harvested irrigated temporary crop area: Maize,2018,31.0,I
474,Harvested irrigated temporary crop area: Potatoes,2007,45.678,I
475,Harvested irrigated temporary crop area: Potatoes,2012,55.0,I
476,Harvested irrigated temporary crop area: Potatoes,2017,55.0,I
477,Harvested irrigated temporary crop area: Potatoes,2018,55.0,I
478,Harvested irrigated temporary crop area: Sugar beet,2007,13.278,I
479,Harvested irrigated temporary crop area: Sugar beet,2012,16.0,I
480,Harvested irrigated temporary crop area: Sugar beet,2017,16.0,I
481,Harvested irrigated temporary crop area: Sugar beet,2018,16.0,I
482,Harvested irrigated temporary crop area: Vegetables,2012,40.9,I
483,Harvested irrigated temporary crop area: Vegetables,2017,40.9,I
484,Harvested irrigated temporary crop area: Vegetables,2018,40.9,I
485,Harvested irrigated temporary crop area: Sunflower,2007,0.0,I
486,Harvested irrigated temporary crop area: Sunflower,2012,0.0,I
487,Harvested irrigated temporary crop area: Sunflower,2017,0.0,I
488,Harvested irrigated temporary crop area: Sunflower,2018,0.0,I
489,Harvested irrigated permanent crop area: Other crops,2007,4.73,I
490,Harvested irrigated permanent crop area: Other crops,2012,4.73,I
491,Harvested irrigated permanent crop area: Other crops,2017,4.73,I
492,Harvested irrigated permanent crop area: Other crops,2018,4.73,I
