United Arab Emirates,Variable Name,Year,Value,Symbol
46,Rural population,1997,568.664,X
47,Rural population,2002,664.034,X
48,Rural population,2007,1026.131,X
49,Rural population,2012,1357.387,X
50,Rural population,2017,1292.709,X
51,Rural population,2018,1285.972,X
52,Urban population,1962,84.633,X
53,Urban population,1967,134.987,X
54,Urban population,1972,265.542,X
55,Urban population,1977,599.29,X
56,Urban population,1982,957.179,X
57,Urban population,1987,1240.488,X
58,Urban population,1992,1643.442,X
59,Urban population,1997,2131.346,X
60,Urban population,2002,2843.198,X
61,Urban population,2007,5017.936,X
62,Urban population,2012,7543.066,X
63,Urban population,2017,8107.436,X
64,Urban population,2018,8255.643,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.6166,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.456,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.2406666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2322,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2322,I
70,Gross Domestic Product (GDP),1972,2201609970.0,X
71,Gross Domestic Product (GDP),1977,25197030753.0,X
72,Gross Domestic Product (GDP),1982,47231997234.0,X
73,Gross Domestic Product (GDP),1987,36860291625.0,X
74,Gross Domestic Product (GDP),1992,54948005423.0,X
75,Gross Domestic Product (GDP),1997,79866461487.0,X
76,Gross Domestic Product (GDP),2002,111251308555.0,X
77,Gross Domestic Product (GDP),2007,261286649417.0,X
78,Gross Domestic Product (GDP),2012,374590657683.0,X
79,Gross Domestic Product (GDP),2016,357045156019.0,X
80,GDP per capita,1972,6616.209792,X
81,GDP per capita,1977,33680.601768,X
82,GDP per capita,1982,39705.935659,X
83,GDP per capita,1987,23617.521951,X
84,GDP per capita,1992,26333.259094,X
85,GDP per capita,1997,29580.061365,X
86,GDP per capita,2002,31720.544451,X
87,GDP per capita,2007,43230.270183,X
88,GDP per capita,2012,42086.695776,X
89,GDP per capita,2017,40180.344045,X
90,GDP per capita,2018,43407.635143,X
91,"Agriculture, value added (% GDP)",1972,0.476139,X
92,"Agriculture, value added (% GDP)",1977,0.432259,X
93,"Agriculture, value added (% GDP)",1982,0.571273,X
94,"Agriculture, value added (% GDP)",1987,1.019321,X
95,"Agriculture, value added (% GDP)",1992,1.229778,X
96,"Agriculture, value added (% GDP)",1997,1.787202,X
97,"Agriculture, value added (% GDP)",2002,1.96519,X
98,"Agriculture, value added (% GDP)",2007,0.871103,X
99,"Agriculture, value added (% GDP)",2012,0.638887,X
100,"Agriculture, value added (% GDP)",2016,0.776041,X
101,Number of people undernourished (3-year average),2002,100.0,X
102,Number of people undernourished (3-year average),2007,500.0,X
103,Number of people undernourished (3-year average),2012,500.0,X
104,Number of people undernourished (3-year average),2017,300.0,X
105,Number of people undernourished (3-year average),2018,300.0,X
106,Prevalence of undernourishment (3-year average),2005,7.7,X
107,Prevalence of undernourishment (3-year average),2012,5.5,X
108,Prevalence of undernourishment (3-year average),2014,3.6,X
109,Total population with access to safe drinking-water (JMP),1992,99.7,X
110,Total population with access to safe drinking-water (JMP),1997,99.7,X
111,Total population with access to safe drinking-water (JMP),2002,99.7,X
112,Total population with access to safe drinking-water (JMP),2007,99.6,X
113,Total population with access to safe drinking-water (JMP),2012,99.6,X
114,Total population with access to safe drinking-water (JMP),2017,99.6,I
115,Total population with access to safe drinking-water (JMP),2018,99.6,I
116,Long-term average annual precipitation in volume,1962,6.5208,E
117,Long-term average annual precipitation in volume,1967,6.5208,E
118,Long-term average annual precipitation in volume,1972,6.5208,E
119,Long-term average annual precipitation in volume,1977,6.5208,E
120,Long-term average annual precipitation in volume,1982,6.5208,E
121,Long-term average annual precipitation in volume,1987,6.5208,E
122,Long-term average annual precipitation in volume,1992,6.5208,E
123,Long-term average annual precipitation in volume,1997,6.5208,E
124,Long-term average annual precipitation in volume,2002,6.5208,E
125,Long-term average annual precipitation in volume,2007,6.5208,E
126,Long-term average annual precipitation in volume,2012,6.5208,E
127,Long-term average annual precipitation in volume,2017,5.55376653,E
128,Long-term average annual precipitation in volume,2018,5.55376653,E
129,Interannual variability (WRI),2017,3.6,I
130,Interannual variability (WRI),2018,3.6,I
131,Seasonal variability (WRI),2017,0.6,I
132,Seasonal variability (WRI),2018,0.6,I
133,Flood occurrence (WRI),2017,1.2,I
134,Flood occurrence (WRI),2018,1.2,I
135,Surface water: entering the country (total),1962,0.0,OF
136,Surface water: entering the country (total),1967,0.0,OF
137,Surface water: entering the country (total),1972,0.0,OF
138,Surface water: entering the country (total),1977,0.0,OF
139,Surface water: entering the country (total),1982,0.0,OF
140,Surface water: entering the country (total),1987,0.0,OF
141,Surface water: entering the country (total),1992,0.0,OF
142,Surface water: entering the country (total),1997,0.0,OF
143,Surface water: entering the country (total),2002,0.0,OF
144,Surface water: entering the country (total),2007,0.0,OF
145,Surface water: entering the country (total),2012,0.0,OF
146,Surface water: entering the country (total),2017,0.0,OF
147,Surface water: leaving the country to other countries (total),1962,0.0,OF
148,Surface water: leaving the country to other countries (total),1967,0.0,OF
149,Surface water: leaving the country to other countries (total),1972,0.0,OF
150,Surface water: leaving the country to other countries (total),1977,0.0,OF
151,Surface water: leaving the country to other countries (total),1982,0.0,OF
152,Surface water: leaving the country to other countries (total),1987,0.0,OF
153,Surface water: leaving the country to other countries (total),1992,0.0,OF
154,Surface water: leaving the country to other countries (total),1997,0.0,OF
155,Surface water: leaving the country to other countries (total),2002,0.0,OF
156,Surface water: leaving the country to other countries (total),2007,0.0,OF
157,Surface water: leaving the country to other countries (total),2012,0.0,OF
158,Surface water: leaving the country to other countries (total),2017,0.0,OF
159,Groundwater: entering the country (total),1962,0.0,OF
160,Groundwater: entering the country (total),1967,0.0,OF
161,Groundwater: entering the country (total),1972,0.0,OF
162,Groundwater: entering the country (total),1977,0.0,OF
163,Groundwater: entering the country (total),1982,0.0,OF
164,Groundwater: entering the country (total),1987,0.0,OF
165,Groundwater: entering the country (total),1992,0.0,OF
166,Groundwater: entering the country (total),1997,0.0,OF
167,Groundwater: entering the country (total),2002,0.0,OF
168,Groundwater: entering the country (total),2007,0.0,OF
169,Groundwater: entering the country (total),2012,0.0,OF
170,Groundwater: entering the country (total),2017,0.0,OF
171,Groundwater: leaving the country to other countries (total),1962,0.0,OF
172,Groundwater: leaving the country to other countries (total),1967,0.0,OF
173,Groundwater: leaving the country to other countries (total),1972,0.0,OF
174,Groundwater: leaving the country to other countries (total),1977,0.0,OF
175,Groundwater: leaving the country to other countries (total),1982,0.0,OF
176,Groundwater: leaving the country to other countries (total),1987,0.0,OF
177,Groundwater: leaving the country to other countries (total),1992,0.0,OF
178,Groundwater: leaving the country to other countries (total),1997,0.0,OF
179,Groundwater: leaving the country to other countries (total),2002,0.0,OF
180,Groundwater: leaving the country to other countries (total),2007,0.0,OF
181,Groundwater: leaving the country to other countries (total),2012,0.0,OF
182,Groundwater: leaving the country to other countries (total),2017,0.0,OF
183,Dependency ratio,1962,0.0,E
184,Dependency ratio,1967,0.0,E
185,Dependency ratio,1972,0.0,E
186,Dependency ratio,1977,0.0,E
187,Dependency ratio,1982,0.0,E
188,Dependency ratio,1987,0.0,E
189,Dependency ratio,1992,0.0,E
190,Dependency ratio,1997,0.0,E
191,Dependency ratio,2002,0.0,E
192,Dependency ratio,2007,0.0,E
193,Dependency ratio,2012,0.0,E
194,Dependency ratio,2017,0.0,E
195,Dependency ratio,2018,0.0,E
196,Total internal renewable water resources (IRWR),1962,0.15,E
197,Total internal renewable water resources (IRWR),1967,0.15,E
198,Total internal renewable water resources (IRWR),1972,0.15,E
199,Total internal renewable water resources (IRWR),1977,0.15,E
200,Total internal renewable water resources (IRWR),1982,0.15,E
201,Total internal renewable water resources (IRWR),1987,0.15,E
202,Total internal renewable water resources (IRWR),1992,0.15,E
203,Total internal renewable water resources (IRWR),1997,0.15,E
204,Total internal renewable water resources (IRWR),2002,0.15,E
205,Total internal renewable water resources (IRWR),2007,0.15,E
206,Total internal renewable water resources (IRWR),2012,0.15,E
207,Total internal renewable water resources (IRWR),2017,0.15,E
208,Total internal renewable water resources (IRWR),2018,0.15,E
209,Total internal renewable water resources per capita,1962,1337.8761661821,E
210,Total internal renewable water resources per capita,1967,883.54312574,E
211,Total internal renewable water resources per capita,1972,453.2078048427,E
212,Total internal renewable water resources per capita,1977,203.9861615788,E
213,Total internal renewable water resources per capita,1982,128.7768091854,E
214,Total internal renewable water resources per capita,1987,97.8131586086,E
215,Total internal renewable water resources per capita,1992,73.0676884452,E
216,Total internal renewable water resources per capita,1997,56.1511318945,E
217,Total internal renewable water resources per capita,2002,43.1186017385,E
218,Total internal renewable water resources per capita,2007,24.3157625472,E
219,Total internal renewable water resources per capita,2012,16.4085133493,E
220,Total internal renewable water resources per capita,2017,15.8107716257,E
221,Total internal renewable water resources per capita,2018,15.5747729795,E
222,Total renewable surface water,1962,0.15,E
223,Total renewable surface water,1967,0.15,E
224,Total renewable surface water,1972,0.15,E
225,Total renewable surface water,1977,0.15,E
226,Total renewable surface water,1982,0.15,E
227,Total renewable surface water,1987,0.15,E
228,Total renewable surface water,1992,0.15,E
229,Total renewable surface water,1997,0.15,E
230,Total renewable surface water,2002,0.15,E
231,Total renewable surface water,2007,0.15,E
232,Total renewable surface water,2012,0.15,E
233,Total renewable surface water,2017,0.15,E
234,Total renewable surface water,2018,0.15,E
235,Total renewable groundwater,1962,0.12,E
236,Total renewable groundwater,1967,0.12,E
237,Total renewable groundwater,1972,0.12,E
238,Total renewable groundwater,1977,0.12,E
239,Total renewable groundwater,1982,0.12,E
240,Total renewable groundwater,1987,0.12,E
241,Total renewable groundwater,1992,0.12,E
242,Total renewable groundwater,1997,0.12,E
243,Total renewable groundwater,2002,0.12,E
244,Total renewable groundwater,2007,0.12,E
245,Total renewable groundwater,2012,0.12,E
246,Total renewable groundwater,2017,0.12,E
247,Total renewable groundwater,2018,0.12,E
248,Water resources: total external renewable,1962,0.0,E
249,Water resources: total external renewable,1967,0.0,E
250,Water resources: total external renewable,1972,0.0,E
251,Water resources: total external renewable,1977,0.0,E
252,Water resources: total external renewable,1982,0.0,E
253,Water resources: total external renewable,1987,0.0,E
254,Water resources: total external renewable,1992,0.0,E
255,Water resources: total external renewable,1997,0.0,E
256,Water resources: total external renewable,2002,0.0,E
257,Water resources: total external renewable,2007,0.0,E
258,Water resources: total external renewable,2012,0.0,E
259,Water resources: total external renewable,2017,0.0,E
260,Water resources: total external renewable,2018,0.0,E
261,Total renewable water resources,1962,0.15,E
262,Total renewable water resources,1967,0.15,E
263,Total renewable water resources,1972,0.15,E
264,Total renewable water resources,1977,0.15,E
265,Total renewable water resources,1982,0.15,E
266,Total renewable water resources,1987,0.15,E
267,Total renewable water resources,1992,0.15,E
268,Total renewable water resources,1997,0.15,E
269,Total renewable water resources,2002,0.15,E
270,Total renewable water resources,2007,0.15,E
271,Total renewable water resources,2012,0.15,E
272,Total renewable water resources,2017,0.15,E
273,Total renewable water resources,2018,0.15,E
274,Total renewable water resources per capita,1962,1337.8761661821,E
275,Total renewable water resources per capita,1967,883.54312574,E
276,Total renewable water resources per capita,1972,453.2078048427,E
277,Total renewable water resources per capita,1977,203.9861615788,E
278,Total renewable water resources per capita,1982,128.7768091854,E
279,Total renewable water resources per capita,1987,97.8131586086,E
280,Total renewable water resources per capita,1992,73.0676884452,E
281,Total renewable water resources per capita,1997,56.1511318945,E
282,Total renewable water resources per capita,2002,43.1186017385,E
283,Total renewable water resources per capita,2007,24.3157625472,E
284,Total renewable water resources per capita,2012,16.4085133493,E
285,Total renewable water resources per capita,2017,15.8107716257,E
286,Total renewable water resources per capita,2018,15.5747729795,E
287,Total agricultural water managed area,1997,130.6468,I
288,Total agricultural water managed area,2002,210.6078,I
289,Total agricultural water managed area,2007,149.6857142857,I
290,Total agricultural water managed area,2012,77.871,I
291,Total agricultural water managed area,2017,57.0307,E
292,Area equipped for irrigation: total,1997,130.6468,I
293,Area equipped for irrigation: total,2002,210.6078,I
294,Area equipped for irrigation: total,2007,149.6857142857,I
295,Area equipped for irrigation: total,2012,77.871,I
296,Area equipped for irrigation: total,2017,57.0307,E
297,% of agricultural GVA produced by irrigated agriculture,1962,100.0,E
298,% of agricultural GVA produced by irrigated agriculture,1967,100.0,E
299,% of agricultural GVA produced by irrigated agriculture,1972,100.0,E
300,% of agricultural GVA produced by irrigated agriculture,1977,100.0,E
301,% of agricultural GVA produced by irrigated agriculture,1982,100.0,E
302,% of agricultural GVA produced by irrigated agriculture,1987,100.0,E
303,% of agricultural GVA produced by irrigated agriculture,1992,100.0,E
304,% of agricultural GVA produced by irrigated agriculture,1997,100.0,E
305,% of agricultural GVA produced by irrigated agriculture,2002,100.0,E
306,% of agricultural GVA produced by irrigated agriculture,2007,100.0,E
307,% of agricultural GVA produced by irrigated agriculture,2012,100.0,E
308,% of agricultural GVA produced by irrigated agriculture,2017,100.0,I
309,% of agricultural GVA produced by irrigated agriculture,2018,100.0,I
310,Agricultural water withdrawal as % of total renewable water resources,1982,541.1555555556,I
311,Agricultural water withdrawal as % of total renewable water resources,1987,694.0444444444,I
312,Agricultural water withdrawal as % of total renewable water resources,1992,846.9333333333,I
313,Agricultural water withdrawal as % of total renewable water resources,1997,1170.9333333333,I
314,Agricultural water withdrawal as % of total renewable water resources,2002,1751.3333333333,I
315,Agricultural water withdrawal as % of total renewable water resources,2007,2176.0,I
316,Agricultural water withdrawal as % of total renewable water resources,2012,2096.0,I
317,Agricultural water withdrawal as % of total renewable water resources,2017,2016.0,I
318,Agricultural water withdrawal as % of total renewable water resources,2018,2000.0,E
319,Agricultural water withdrawal,1982,0.8117333333,I
320,Agricultural water withdrawal,1987,1.0410666667,I
321,Agricultural water withdrawal,1992,1.2704,I
322,Agricultural water withdrawal,1997,1.7564,I
323,Agricultural water withdrawal,2002,2.627,I
324,Agricultural water withdrawal,2007,3.264,I
325,Agricultural water withdrawal,2012,3.144,I
326,Agricultural water withdrawal,2017,3.024,I
327,Irrigation water requirement,2007,1.815,I
328,Irrigation water requirement,2012,1.815,I
329,Irrigation water requirement,2017,1.815,I
330,Irrigation water requirement,2018,1.815,I
331,Municipal water withdrawal,1982,0.1524666667,I
332,Municipal water withdrawal,1987,0.2861333333,I
333,Municipal water withdrawal,1992,0.4198,I
334,Municipal water withdrawal,1997,0.50552,I
335,Municipal water withdrawal,2002,0.5192666667,I
336,Municipal water withdrawal,2007,0.8297692308,I
337,Municipal water withdrawal,2012,1.3616923077,I
338,Municipal water withdrawal,2017,1.8936153846,I
339,Industrial water withdrawal,1982,0.0968666667,I
340,Industrial water withdrawal,1987,0.1365333333,I
341,Industrial water withdrawal,1992,0.1762,I
342,Industrial water withdrawal,1997,0.16452,I
343,Industrial water withdrawal,2002,0.0757666667,I
344,Industrial water withdrawal,2007,0.0743846154,I
345,Industrial water withdrawal,2012,0.0878461538,I
346,Industrial water withdrawal,2017,0.1013076923,I
347,Total water withdrawal,1982,1.0610666667,I
348,Total water withdrawal,1987,1.4637333333,I
349,Total water withdrawal,1992,1.8664,I
350,Total water withdrawal,1997,2.42644,I
351,Total water withdrawal,2002,3.2220333333,I
352,Total water withdrawal,2005,3.998,E
353,Fresh surface water withdrawal,2007,0.0,I
354,Fresh surface water withdrawal,2012,0.0,I
355,Fresh surface water withdrawal,2017,0.0,OF
356,Fresh groundwater withdrawal,2007,2.7707272727,I
357,Fresh groundwater withdrawal,2012,2.6975454545,I
358,Fresh groundwater withdrawal,2017,2.562,OF
359,Total freshwater withdrawal,1982,1.0610666667,E
360,Total freshwater withdrawal,1987,1.4637333333,E
361,Total freshwater withdrawal,1992,1.6146,E
362,Total freshwater withdrawal,1997,2.04144,E
363,Total freshwater withdrawal,2002,2.2499866667,E
364,Total freshwater withdrawal,2007,2.7707272727,I
365,Total freshwater withdrawal,2012,2.6975454545,I
366,Total freshwater withdrawal,2017,2.562,OF
367,Desalinated water produced,1992,0.2518,I
368,Desalinated water produced,1997,0.385,I
369,Desalinated water produced,2002,0.7616666667,I
370,Desalinated water produced,2007,1.515,OF
371,Desalinated water produced,2012,1.819,OF
372,Desalinated water produced,2017,1.975,OF
373,Direct use of treated municipal wastewater,2002,0.21038,I
374,Direct use of treated municipal wastewater,2007,0.2938181818,I
375,Direct use of treated municipal wastewater,2012,0.4083636364,I
376,Direct use of treated municipal wastewater,2017,0.5492,OF
377,Produced municipal wastewater,1997,0.5,I
378,Produced municipal wastewater,2002,0.5,I
379,Produced municipal wastewater,2007,0.5,I
380,Produced municipal wastewater,2012,0.5,I
381,Produced municipal wastewater,2017,0.5,I
382,Produced municipal wastewater,2018,0.5,I
383,Not treated municipal wastewater,1997,0.3495,I
384,Not treated municipal wastewater,2002,0.307,I
385,Not treated municipal wastewater,2007,0.307,I
386,Not treated municipal wastewater,2012,0.307,I
387,Not treated municipal wastewater,2017,0.307,I
388,Not treated municipal wastewater,2018,0.307,I
389,Treated municipal wastewater,2002,0.2698,I
390,Treated municipal wastewater,2007,0.3342285714,I
391,Treated municipal wastewater,2012,0.5603714286,I
392,Treated municipal wastewater,2017,0.7356,OF
393,Treated municipal wastewater discharged (secondary water),2002,0.0139166667,I
394,Treated municipal wastewater discharged (secondary water),2007,0.0304583333,I
395,Treated municipal wastewater discharged (secondary water),2012,0.047,OF
396,Treated municipal wastewater discharged (secondary water),2017,0.047,I
397,Treated municipal wastewater discharged (secondary water),2018,0.047,I
398,SDG 6.4.2. Water Stress,1982,707.3777777778,E
399,SDG 6.4.2. Water Stress,1987,975.8222222222,E
400,SDG 6.4.2. Water Stress,1992,1076.4,E
401,SDG 6.4.2. Water Stress,1997,1360.96,E
402,SDG 6.4.2. Water Stress,2002,1499.9911111111,E
403,SDG 6.4.2. Water Stress,2007,1847.1515151515,I
404,SDG 6.4.2. Water Stress,2012,1798.3636363636,I
405,SDG 6.4.2. Water Stress,2017,1708.0,E
406,SDG 6.4.2. Water Stress,2018,1667.3333333333,E
407,SDG 6.4.1. Water Use Efficiency,1982,95.2890185703,E
408,SDG 6.4.1. Water Use Efficiency,1987,56.9438456632,E
409,SDG 6.4.1. Water Use Efficiency,1992,60.9774816249,E
410,SDG 6.4.1. Water Use Efficiency,1997,64.1481571661,E
411,SDG 6.4.1. Water Use Efficiency,2002,59.8917538657,E
412,SDG 6.4.1. Water Use Efficiency,2007,66.4566999678,E
413,SDG 6.4.1. Water Use Efficiency,2009,63.3787815634,E
414,SDG 6.4.1. Water Use Efficiency,2016,74.8093800754,E
415,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1982,0.726126929,E
416,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1987,0.841227698,E
417,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,1.1311406057,E
418,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,1.6275352008,E
419,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,1.4791680197,E
420,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.7475758132,E
421,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2009,0.7875937235,E
422,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.9397459144,E
423,SDG 6.4.1. Industrial Water Use Efficiency,1982,631.0584152524,E
424,SDG 6.4.1. Industrial Water Use Efficiency,1987,316.3448325282,E
425,SDG 6.4.1. Industrial Water Use Efficiency,1992,339.2491899177,E
426,SDG 6.4.1. Industrial Water Use Efficiency,1997,434.0472239584,E
427,SDG 6.4.1. Industrial Water Use Efficiency,2002,1129.8553937754,E
428,SDG 6.4.1. Industrial Water Use Efficiency,2007,1907.8659591517,E
429,SDG 6.4.1. Industrial Water Use Efficiency,2009,1616.4192303147,E
430,SDG 6.4.1. Industrial Water Use Efficiency,2016,1412.2813702279,E
431,SDG 6.4.1. Services Water Use Efficiency,1982,258.3519111133,E
432,SDG 6.4.1. Services Water Use Efficiency,1987,137.2898990289,E
433,SDG 6.4.1. Services Water Use Efficiency,1992,125.2874307191,E
434,SDG 6.4.1. Services Water Use Efficiency,1997,160.9898764875,E
435,SDG 6.4.1. Services Water Use Efficiency,2002,199.2850352248,E
436,SDG 6.4.1. Services Water Use Efficiency,2007,159.8586469873,E
437,SDG 6.4.1. Services Water Use Efficiency,2009,137.6287214921,E
438,SDG 6.4.1. Services Water Use Efficiency,2016,126.9902913529,E
439,Harvested irrigated temporary crop area: Wheat,1997,0.34248,I
440,Harvested irrigated temporary crop area: Wheat,2002,0.06183,I
441,Harvested irrigated temporary crop area: Wheat,2007,0.0057,I
442,Harvested irrigated temporary crop area: Wheat,2012,0.0057,I
443,Harvested irrigated temporary crop area: Wheat,2017,0.0057,I
444,Harvested irrigated temporary crop area: Wheat,2018,0.0057,I
445,Harvested irrigated temporary crop area: Potatoes,1997,0.21252,I
446,Harvested irrigated temporary crop area: Potatoes,2002,0.26067,I
447,Harvested irrigated temporary crop area: Potatoes,2007,0.2703,I
448,Harvested irrigated temporary crop area: Potatoes,2012,0.2703,I
449,Harvested irrigated temporary crop area: Potatoes,2017,0.2703,I
450,Harvested irrigated temporary crop area: Potatoes,2018,0.2703,I
451,Harvested irrigated temporary crop area: Vegetables,1997,10.8832,I
452,Harvested irrigated temporary crop area: Vegetables,2002,8.3247,I
453,Harvested irrigated temporary crop area: Vegetables,2007,7.813,I
454,Harvested irrigated temporary crop area: Vegetables,2012,7.813,I
455,Harvested irrigated temporary crop area: Vegetables,2017,7.813,I
456,Harvested irrigated temporary crop area: Vegetables,2018,7.813,I
457,Harvested irrigated permanent crop area: Bananas,2007,0.0131,I
458,Harvested irrigated permanent crop area: Bananas,2012,0.0131,I
459,Harvested irrigated permanent crop area: Bananas,2017,0.0131,I
460,Harvested irrigated permanent crop area: Bananas,2018,0.0131,I
461,Harvested irrigated permanent crop area: Citrus,2007,0.9692,I
462,Harvested irrigated permanent crop area: Citrus,2012,0.9692,I
463,Harvested irrigated permanent crop area: Citrus,2017,0.9692,I
464,Harvested irrigated permanent crop area: Citrus,2018,0.9692,I
465,Harvested irrigated temporary crop area: Tobacco,2007,0.012,I
466,Harvested irrigated temporary crop area: Tobacco,2012,0.012,I
467,Harvested irrigated temporary crop area: Tobacco,2017,0.012,I
468,Harvested irrigated temporary crop area: Tobacco,2018,0.012,I
469,Harvested irrigated temporary crop area: Fodder,1997,16.7728,I
470,Harvested irrigated temporary crop area: Fodder,2002,27.9788,I
471,Harvested irrigated temporary crop area: Fodder,2007,30.22,I
472,Harvested irrigated temporary crop area: Fodder,2012,30.22,I
473,Harvested irrigated temporary crop area: Fodder,2017,30.22,I
474,Harvested irrigated temporary crop area: Fodder,2018,30.22,I
475,Harvested irrigated temporary crop area: Other crops,1997,0.1476,I
476,Harvested irrigated temporary crop area: Other crops,2002,0.07335,I
477,Harvested irrigated temporary crop area: Other crops,2007,0.0585,I
478,Harvested irrigated temporary crop area: Other crops,2012,0.0585,I
479,Harvested irrigated temporary crop area: Other crops,2017,0.0585,I
480,Harvested irrigated temporary crop area: Other crops,2018,0.0585,I
481,Harvested irrigated permanent crop area: Other crops,1997,94.258,I
482,Harvested irrigated permanent crop area: Other crops,2002,171.043,I
483,Harvested irrigated permanent crop area: Other crops,2007,186.4,I
484,Harvested irrigated permanent crop area: Other crops,2012,186.4,I
485,Harvested irrigated permanent crop area: Other crops,2017,186.4,I
486,Harvested irrigated permanent crop area: Other crops,2018,186.4,I
