Mauritius,Variable Name,Year,Value,Symbol
157,Groundwater: entering the country (total),1972,0.0,OF
158,Groundwater: entering the country (total),1977,0.0,OF
159,Groundwater: entering the country (total),1982,0.0,OF
160,Groundwater: entering the country (total),1987,0.0,OF
161,Groundwater: entering the country (total),1992,0.0,OF
162,Groundwater: entering the country (total),1997,0.0,OF
163,Groundwater: entering the country (total),2002,0.0,OF
164,Groundwater: entering the country (total),2007,0.0,OF
165,Groundwater: entering the country (total),2012,0.0,OF
166,Groundwater: entering the country (total),2017,0.0,OF
167,Groundwater: leaving the country to other countries (total),1962,0.0,OF
168,Groundwater: leaving the country to other countries (total),1967,0.0,OF
169,Groundwater: leaving the country to other countries (total),1972,0.0,OF
170,Groundwater: leaving the country to other countries (total),1977,0.0,OF
171,Groundwater: leaving the country to other countries (total),1982,0.0,OF
172,Groundwater: leaving the country to other countries (total),1987,0.0,OF
173,Groundwater: leaving the country to other countries (total),1992,0.0,OF
174,Groundwater: leaving the country to other countries (total),1997,0.0,OF
175,Groundwater: leaving the country to other countries (total),2002,0.0,OF
176,Groundwater: leaving the country to other countries (total),2007,0.0,OF
177,Groundwater: leaving the country to other countries (total),2012,0.0,OF
178,Groundwater: leaving the country to other countries (total),2017,0.0,OF
179,Dependency ratio,1962,0.0,E
180,Dependency ratio,1967,0.0,E
181,Dependency ratio,1972,0.0,E
182,Dependency ratio,1977,0.0,E
183,Dependency ratio,1982,0.0,E
184,Dependency ratio,1987,0.0,E
185,Dependency ratio,1992,0.0,E
186,Dependency ratio,1997,0.0,E
187,Dependency ratio,2002,0.0,E
188,Dependency ratio,2007,0.0,E
189,Dependency ratio,2012,0.0,E
190,Dependency ratio,2017,0.0,E
191,Dependency ratio,2018,0.0,E
192,Total internal renewable water resources (IRWR),1962,2.751,E
193,Total internal renewable water resources (IRWR),1967,2.751,E
194,Total internal renewable water resources (IRWR),1972,2.751,E
195,Total internal renewable water resources (IRWR),1977,2.751,E
196,Total internal renewable water resources (IRWR),1982,2.751,E
197,Total internal renewable water resources (IRWR),1987,2.751,E
198,Total internal renewable water resources (IRWR),1992,2.751,E
199,Total internal renewable water resources (IRWR),1997,2.751,E
200,Total internal renewable water resources (IRWR),2002,2.751,E
201,Total internal renewable water resources (IRWR),2007,2.751,E
202,Total internal renewable water resources (IRWR),2012,2.751,E
203,Total internal renewable water resources (IRWR),2017,2.751,E
204,Total internal renewable water resources (IRWR),2018,2.751,E
205,Total internal renewable water resources per capita,1962,3939.5505962312,E
206,Total internal renewable water resources per capita,1967,3505.4410153164,E
207,Total internal renewable water resources per capita,1972,3227.3580478648,E
208,Total internal renewable water resources per capita,1977,2982.6958105647,E
209,Total internal renewable water resources per capita,1982,2781.9013603103,E
210,Total internal renewable water resources per capita,1987,2670.4122976806,E
211,Total internal renewable water resources per capita,1992,2540.2694107609,E
212,Total internal renewable water resources per capita,1997,2383.5929783215,E
213,Total internal renewable water resources per capita,2002,2289.0435442482,E
214,Total internal renewable water resources per capita,2007,2229.536044166,E
215,Total internal renewable water resources per capita,2012,2194.6759761561,E
216,Total internal renewable water resources per capita,2017,2175.5651843141,E
217,Total internal renewable water resources per capita,2018,2170.9537281455,E
218,Total renewable surface water,1962,2.358,E
219,Total renewable surface water,1967,2.358,E
220,Total renewable surface water,1972,2.358,E
221,Total renewable surface water,1977,2.358,E
222,Total renewable surface water,1982,2.358,E
223,Total renewable surface water,1987,2.358,E
224,Total renewable surface water,1992,2.358,E
225,Total renewable surface water,1997,2.358,E
226,Total renewable surface water,2002,2.358,E
227,Total renewable surface water,2007,2.358,E
228,Total renewable surface water,2012,2.358,E
229,Total renewable surface water,2017,2.358,E
230,Total renewable surface water,2018,2.358,E
231,Total renewable groundwater,1962,0.893,E
232,Total renewable groundwater,1967,0.893,E
233,Total renewable groundwater,1972,0.893,E
234,Total renewable groundwater,1977,0.893,E
235,Total renewable groundwater,1982,0.893,E
236,Total renewable groundwater,1987,0.893,E
237,Total renewable groundwater,1992,0.893,E
238,Total renewable groundwater,1997,0.893,E
239,Total renewable groundwater,2002,0.893,E
240,Total renewable groundwater,2007,0.893,E
241,Total renewable groundwater,2012,0.893,E
242,Total renewable groundwater,2017,0.893,E
243,Total renewable groundwater,2018,0.893,E
244,Total exploitable water resources,1962,1.083,E
245,Total exploitable water resources,1967,1.083,E
246,Total exploitable water resources,1972,1.083,E
247,Total exploitable water resources,1977,1.083,E
248,Total exploitable water resources,1982,1.083,E
249,Total exploitable water resources,1987,1.083,E
250,Total exploitable water resources,1992,1.083,E
251,Total exploitable water resources,1997,1.083,E
252,Total exploitable water resources,2002,1.083,E
253,Total exploitable water resources,2007,1.083,E
254,Total exploitable water resources,2012,1.083,E
255,Total exploitable water resources,2017,1.083,E
256,Total exploitable water resources,2018,1.083,E
257,Water resources: total external renewable,1962,0.0,E
258,Water resources: total external renewable,1967,0.0,E
259,Water resources: total external renewable,1972,0.0,E
260,Water resources: total external renewable,1977,0.0,E
261,Water resources: total external renewable,1982,0.0,E
262,Water resources: total external renewable,1987,0.0,E
263,Water resources: total external renewable,1992,0.0,E
264,Water resources: total external renewable,1997,0.0,E
265,Water resources: total external renewable,2002,0.0,E
266,Water resources: total external renewable,2007,0.0,E
267,Water resources: total external renewable,2012,0.0,E
268,Water resources: total external renewable,2017,0.0,E
269,Water resources: total external renewable,2018,0.0,E
270,Total renewable water resources,1962,2.751,E
271,Total renewable water resources,1967,2.751,E
272,Total renewable water resources,1972,2.751,E
273,Total renewable water resources,1977,2.751,E
274,Total renewable water resources,1982,2.751,E
275,Total renewable water resources,1987,2.751,E
276,Total renewable water resources,1992,2.751,E
277,Total renewable water resources,1997,2.751,E
278,Total renewable water resources,2002,2.751,E
279,Total renewable water resources,2007,2.751,E
280,Total renewable water resources,2012,2.751,E
281,Total renewable water resources,2017,2.751,E
282,Total renewable water resources,2018,2.751,E
283,Total renewable water resources per capita,1962,3939.5505962312,E
284,Total renewable water resources per capita,1967,3505.4410153164,E
285,Total renewable water resources per capita,1972,3227.3580478648,E
286,Total renewable water resources per capita,1977,2982.6958105647,E
287,Total renewable water resources per capita,1982,2781.9013603103,E
288,Total renewable water resources per capita,1987,2670.4122976806,E
289,Total renewable water resources per capita,1992,2540.2694107609,E
290,Total renewable water resources per capita,1997,2383.5929783215,E
291,Total renewable water resources per capita,2002,2289.0435442482,E
292,Total renewable water resources per capita,2007,2229.536044166,E
293,Total renewable water resources per capita,2012,2194.6759761561,E
294,Total renewable water resources per capita,2017,2175.5651843141,E
295,Total renewable water resources per capita,2018,2170.9537281455,E
296,Total agricultural water managed area,1987,16.95875,I
297,Total agricultural water managed area,1992,17.555625,I
298,Total agricultural water managed area,1997,18.287,E
299,Total agricultural water managed area,2002,21.224,E
300,Total agricultural water managed area,2007,21.319,E
301,Total agricultural water managed area,2012,19.458,E
302,Total agricultural water managed area,2014,17.179,E
303,Area equipped for irrigation: total,1987,16.95875,I
304,Area equipped for irrigation: total,1992,17.555625,I
305,Area equipped for irrigation: total,1997,18.287,E
306,Area equipped for irrigation: total,2002,21.224,E
307,Area equipped for irrigation: total,2007,21.319,E
308,Area equipped for irrigation: total,2012,19.458,E
309,Area equipped for irrigation: total,2014,17.179,E
310,% of agricultural GVA produced by irrigated agriculture,2002,32.8296676671,E
311,% of agricultural GVA produced by irrigated agriculture,2007,33.1880343151,E
312,% of agricultural GVA produced by irrigated agriculture,2012,32.5250954282,E
313,% of agricultural GVA produced by irrigated agriculture,2016,31.2802796613,E
314,% of agricultural GVA produced by irrigated agriculture,2018,32.1699966899,E
315,Ratio between rainfed and irrigated yields,1962,1.684,E
316,Ratio between rainfed and irrigated yields,1967,1.684,E
317,Ratio between rainfed and irrigated yields,1972,1.684,E
318,Ratio between rainfed and irrigated yields,1977,1.684,E
319,Ratio between rainfed and irrigated yields,1982,1.684,E
320,Ratio between rainfed and irrigated yields,1987,1.684,E
321,Ratio between rainfed and irrigated yields,1992,1.684,E
322,Ratio between rainfed and irrigated yields,1997,1.684,E
323,Ratio between rainfed and irrigated yields,2002,1.684,E
324,Ratio between rainfed and irrigated yields,2007,1.684,I
325,Ratio between rainfed and irrigated yields,2012,1.684,E
326,Ratio between rainfed and irrigated yields,2017,1.684,I
327,Ratio between rainfed and irrigated yields,2018,1.684,I
328,Agricultural water withdrawal as % of total renewable water resources,1977,10.8294734575,E
329,Agricultural water withdrawal as % of total renewable water resources,1982,12.7486678245,E
330,Agricultural water withdrawal as % of total renewable water resources,1987,14.6678621915,E
331,Agricultural water withdrawal as % of total renewable water resources,1992,16.1801042045,E
332,Agricultural water withdrawal as % of total renewable water resources,1997,16.6668144326,E
333,Agricultural water withdrawal as % of total renewable water resources,2002,17.4271193821,E
334,Agricultural water withdrawal as % of total renewable water resources,2007,15.3762268266,E
335,Agricultural water withdrawal as % of total renewable water resources,2012,13.2679025809,E
336,Agricultural water withdrawal as % of total renewable water resources,2017,12.5045438023,E
337,Agricultural water withdrawal as % of total renewable water resources,2018,11.0505270811,E
338,Agricultural water withdrawal,1977,0.2979188148,I
339,Agricultural water withdrawal,1982,0.3507158519,I
340,Agricultural water withdrawal,1987,0.4035128889,I
341,Agricultural water withdrawal,1992,0.4451146667,I
342,Agricultural water withdrawal,1997,0.458504065,I
343,Agricultural water withdrawal,2002,0.4794200542,I
344,Agricultural water withdrawal,2007,0.423,OF
345,Agricultural water withdrawal,2012,0.365,OF
346,Agricultural water withdrawal,2017,0.344,OF
347,Irrigation water requirement,2007,0.132,I
348,Irrigation water requirement,2012,0.132,I
349,Irrigation water requirement,2017,0.132,I
350,Irrigation water requirement,2018,0.132,I
351,Municipal water withdrawal,1977,0.0628557037,I
352,Municipal water withdrawal,1982,0.073994963,I
353,Municipal water withdrawal,1987,0.0851342222,I
354,Municipal water withdrawal,1992,0.0982906667,I
355,Municipal water withdrawal,1997,0.1076487805,I
356,Municipal water withdrawal,2002,0.1783739837,I
357,Municipal water withdrawal,2007,0.201,OF
358,Municipal water withdrawal,2012,0.206,OF
359,Municipal water withdrawal,2017,0.26,OF
360,Industrial water withdrawal,1977,0.0266921481,I
361,Industrial water withdrawal,1982,0.0314225185,I
362,Industrial water withdrawal,1987,0.0361528889,I
363,Industrial water withdrawal,1992,0.0421946667,I
364,Industrial water withdrawal,1997,0.0468471545,I
365,Industrial water withdrawal,2002,0.0288726287,I
366,Industrial water withdrawal,2007,0.006,OF
367,Industrial water withdrawal,2012,0.011,OF
368,Industrial water withdrawal,2017,0.012,OF
369,Total water withdrawal,1977,0.3874666667,I
370,Total water withdrawal,1982,0.4561333333,I
371,Total water withdrawal,1987,0.5248,I
372,Total water withdrawal,1992,0.5856,I
373,Total water withdrawal,1997,0.613,I
374,Total water withdrawal,2002,0.6866666667,I
375,Total water withdrawal,2007,0.63,E
376,Total water withdrawal,2012,0.582,E
377,Total water withdrawal,2014,0.62,E
378,Fresh surface water withdrawal,2007,0.518,OF
379,Fresh surface water withdrawal,2012,0.46,OF
380,Fresh surface water withdrawal,2017,0.468,OF
381,Fresh groundwater withdrawal,2007,0.112,OF
382,Fresh groundwater withdrawal,2012,0.122,OF
383,Fresh groundwater withdrawal,2017,0.142,OF
384,Total freshwater withdrawal,1977,0.3874666667,I
385,Total freshwater withdrawal,1982,0.4561333333,I
386,Total freshwater withdrawal,1987,0.5248,I
387,Total freshwater withdrawal,1992,0.5856,I
388,Total freshwater withdrawal,1997,0.613,I
389,Total freshwater withdrawal,2002,0.6866666667,I
390,Total freshwater withdrawal,2007,0.63,OF
391,Total freshwater withdrawal,2012,0.582,OF
392,Total freshwater withdrawal,2017,0.61,OF
393,Direct use of treated municipal wastewater,2017,0.006,OF
395,Treated municipal wastewater,2002,0.0206,OF
396,Treated municipal wastewater,2007,0.0335,I
397,Treated municipal wastewater,2012,0.036,OF
398,Treated municipal wastewater,2017,0.051,I
399,Treated municipal wastewater,2018,0.051,I
400,SDG 6.4.2. Water Stress,1977,14.0845753059,I
401,SDG 6.4.2. Water Stress,1982,16.580637344,I
402,SDG 6.4.2. Water Stress,1987,19.076699382,I
403,SDG 6.4.2. Water Stress,1992,21.2868047983,I
404,SDG 6.4.2. Water Stress,1997,22.2828062523,I
405,SDG 6.4.2. Water Stress,2002,24.9606203805,I
406,SDG 6.4.2. Water Stress,2007,22.9007633588,E
407,SDG 6.4.2. Water Stress,2012,21.1559432933,E
408,SDG 6.4.2. Water Stress,2017,22.1737549982,E
409,SDG 6.4.2. Water Stress,2018,21.4830970556,E
410,SDG 6.4.1. Water Use Efficiency,2002,8.1599653611,I
411,SDG 6.4.1. Water Use Efficiency,2007,11.7268543207,I
412,SDG 6.4.1. Water Use Efficiency,2009,12.8699625235,I
413,SDG 6.4.1. Water Use Efficiency,2015,16.5288164147,E
414,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.2350136794,E
415,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.2953222961,E
416,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2009,0.296880634,E
417,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.3326343231,E
418,SDG 6.4.1. Industrial Water Use Efficiency,1977,19.6729564265,E
419,SDG 6.4.1. Industrial Water Use Efficiency,1982,17.9280606718,E
420,SDG 6.4.1. Industrial Water Use Efficiency,1987,25.1496845404,E
421,SDG 6.4.1. Industrial Water Use Efficiency,1992,25.6387481369,E
422,SDG 6.4.1. Industrial Water Use Efficiency,1997,28.5121677125,E
423,SDG 6.4.1. Industrial Water Use Efficiency,2002,54.8108178414,E
424,SDG 6.4.1. Industrial Water Use Efficiency,2007,302.520248031,E
425,SDG 6.4.1. Industrial Water Use Efficiency,2009,199.9972991578,E
426,SDG 6.4.1. Industrial Water Use Efficiency,2015,143.3331065,E
427,SDG 6.4.1. Services Water Use Efficiency,1977,16.5067789168,E
428,SDG 6.4.1. Services Water Use Efficiency,1982,16.6755065504,E
429,SDG 6.4.1. Services Water Use Efficiency,1987,17.2040615736,E
430,SDG 6.4.1. Services Water Use Efficiency,1992,21.2375332513,E
431,SDG 6.4.1. Services Water Use Efficiency,1997,26.9422138014,E
432,SDG 6.4.1. Services Water Use Efficiency,2002,21.9088763286,E
433,SDG 6.4.1. Services Water Use Efficiency,2007,27.1038577245,E
434,SDG 6.4.1. Services Water Use Efficiency,2009,26.974833858,E
435,SDG 6.4.1. Services Water Use Efficiency,2015,31.3524650275,E
436,Area salinized by irrigation,2002,0.0,OF
437,Area salinized by irrigation,2007,0.0,I
438,Area salinized by irrigation,2012,0.0,I
439,Area salinized by irrigation,2014,0.0,I
440,Area waterlogged by irrigation,2002,0.0,OF
441,Area waterlogged by irrigation,2007,0.0,I
442,Area waterlogged by irrigation,2012,0.0,I
443,Area waterlogged by irrigation,2015,0.0,I
444,Harvested irrigated temporary crop area: Maize,2002,0.038,OF
445,Harvested irrigated temporary crop area: Maize,2007,0.038,I
446,Harvested irrigated temporary crop area: Maize,2012,0.038,I
447,Harvested irrigated temporary crop area: Maize,2017,0.038,I
448,Harvested irrigated temporary crop area: Maize,2018,0.038,I
449,Harvested irrigated temporary crop area: Vegetables,2002,0.758,OF
450,Harvested irrigated temporary crop area: Vegetables,2007,0.758,I
451,Harvested irrigated temporary crop area: Vegetables,2012,0.758,I
452,Harvested irrigated temporary crop area: Vegetables,2017,0.758,I
453,Harvested irrigated temporary crop area: Vegetables,2018,0.758,I
454,Harvested irrigated permanent crop area: Citrus,2002,0.042,OF
455,Harvested irrigated permanent crop area: Citrus,2007,0.042,I
456,Harvested irrigated permanent crop area: Citrus,2012,0.042,I
457,Harvested irrigated permanent crop area: Citrus,2017,0.042,I
458,Harvested irrigated permanent crop area: Citrus,2018,0.042,I
459,Harvested irrigated temporary crop area: Tobacco,2002,0.34,OF
460,Harvested irrigated temporary crop area: Tobacco,2007,0.34,I
461,Harvested irrigated temporary crop area: Tobacco,2012,0.34,I
462,Harvested irrigated temporary crop area: Tobacco,2017,0.34,I
463,Harvested irrigated temporary crop area: Tobacco,2018,0.34,I
464,Harvested irrigated temporary crop area: Groundnuts,2002,0.116,OF
465,Harvested irrigated temporary crop area: Groundnuts,2007,0.116,I
466,Harvested irrigated temporary crop area: Groundnuts,2012,0.116,I
467,Harvested irrigated temporary crop area: Groundnuts,2017,0.116,I
468,Harvested irrigated temporary crop area: Groundnuts,2018,0.116,I
469,Harvested irrigated temporary crop area: Flowers,2002,0.135,OF
470,Harvested irrigated temporary crop area: Flowers,2007,0.135,I
471,Harvested irrigated temporary crop area: Flowers,2012,0.135,I
472,Harvested irrigated temporary crop area: Flowers,2017,0.135,I
473,Harvested irrigated temporary crop area: Flowers,2018,0.135,I
