Slovenia,Variable Name,Year,Value,Symbol
69,Long-term average annual precipitation in volume,2012,23.55374,E
70,Long-term average annual precipitation in volume,2017,23.5544372,E
71,Long-term average annual precipitation in volume,2018,23.5547858,E
72,Interannual variability (WRI),2017,0.9,I
73,Interannual variability (WRI),2018,0.9,I
74,Seasonal variability (WRI),2017,1.0,I
75,Seasonal variability (WRI),2018,1.0,I
76,Flood occurrence (WRI),2017,3.5,I
77,Flood occurrence (WRI),2018,3.5,I
78,Surface water: entering the country (total),1992,13.2,OF
79,Surface water: entering the country (total),1997,13.2,OF
80,Surface water: entering the country (total),2002,13.2,OF
81,Surface water: entering the country (total),2007,13.2,OF
82,Surface water: entering the country (total),2012,13.2,OF
83,Surface water: entering the country (total),2017,13.2,OF
85,Surface water: leaving the country to other countries (total),1996,18.27,OF
86,Surface water: leaving the country to other countries (total),2001,18.27,OF
87,Surface water: leaving the country to other countries (total),2006,18.27,OF
89,Surface water: leaving the country to other countries (total),2017,18.27,OF
90,Groundwater: entering the country (total),1992,0.0,E
91,Groundwater: entering the country (total),1997,0.0,E
92,Groundwater: entering the country (total),2002,0.0,E
93,Groundwater: entering the country (total),2007,0.0,E
94,Groundwater: entering the country (total),2012,0.0,E
95,Groundwater: entering the country (total),2017,0.0,E
96,Groundwater: leaving the country to other countries (total),1992,0.95,OF
97,Groundwater: leaving the country to other countries (total),1997,0.95,OF
98,Groundwater: leaving the country to other countries (total),2002,0.95,OF
99,Groundwater: leaving the country to other countries (total),2007,0.95,OF
100,Groundwater: leaving the country to other countries (total),2012,0.95,OF
101,Groundwater: leaving the country to other countries (total),2017,0.95,OF
102,Dependency ratio,1992,41.4182616881,E
103,Dependency ratio,1997,41.4182616881,E
104,Dependency ratio,2002,41.4182616881,E
105,Dependency ratio,2007,41.4182616881,E
106,Dependency ratio,2012,41.4182616881,E
107,Dependency ratio,2017,41.4182616881,E
108,Dependency ratio,2018,41.4182616881,E
109,Total internal renewable water resources (IRWR),1992,18.67,E
110,Total internal renewable water resources (IRWR),1997,18.67,E
111,Total internal renewable water resources (IRWR),2002,18.67,E
112,Total internal renewable water resources (IRWR),2007,18.67,E
113,Total internal renewable water resources (IRWR),2012,18.67,E
114,Total internal renewable water resources (IRWR),2017,18.67,E
115,Total internal renewable water resources (IRWR),2018,18.67,E
116,Total internal renewable water resources per capita,1992,9310.0769240742,E
117,Total internal renewable water resources per capita,1997,9393.9233844288,E
118,Total internal renewable water resources per capita,2002,9394.8120710503,E
119,Total internal renewable water resources per capita,2007,9278.779872751,E
120,Total internal renewable water resources per capita,2012,9072.6947847312,E
121,Total internal renewable water resources per capita,2017,8991.5497733089,E
122,Total internal renewable water resources per capita,2018,8985.3053920976,E
123,Total renewable surface water,1992,31.72,E
124,Total renewable surface water,1997,31.72,E
125,Total renewable surface water,2002,31.72,E
126,Total renewable surface water,2007,31.72,E
127,Total renewable surface water,2012,31.72,E
128,Total renewable surface water,2017,31.72,E
129,Total renewable surface water,2018,31.72,E
130,Total renewable groundwater,1992,13.5,E
131,Total renewable groundwater,1997,13.5,E
132,Total renewable groundwater,2002,13.5,E
133,Total renewable groundwater,2007,13.5,E
134,Total renewable groundwater,2012,13.5,E
135,Total renewable groundwater,2017,13.5,E
136,Total renewable groundwater,2018,13.5,E
137,Water resources: total external renewable,1992,13.2,E
138,Water resources: total external renewable,1997,13.2,E
139,Water resources: total external renewable,2002,13.2,E
140,Water resources: total external renewable,2007,13.2,E
141,Water resources: total external renewable,2012,13.2,E
142,Water resources: total external renewable,2017,13.2,E
143,Water resources: total external renewable,2018,13.2,E
144,Total renewable water resources,1992,31.87,E
145,Total renewable water resources,1997,31.87,E
146,Total renewable water resources,2002,31.87,E
147,Total renewable water resources,2007,31.87,E
148,Total renewable water resources,2012,31.87,E
149,Total renewable water resources,2017,31.87,E
150,Total renewable water resources,2018,31.87,E
151,Total renewable water resources per capita,1992,15892.4558955676,E
152,Total renewable water resources per capita,1997,16035.5831955944,E
153,Total renewable water resources per capita,2002,16037.1001984132,E
154,Total renewable water resources per capita,2007,15839.031309297,E
155,Total renewable water resources per capita,2012,15487.2406421738,E
156,Total renewable water resources per capita,2017,15348.7247603297,E
157,Total renewable water resources per capita,2018,15338.0654979192,E
158,Total agricultural water managed area,1997,2.0,I
159,Total agricultural water managed area,2002,5.0,I
160,Total agricultural water managed area,2007,9.0,E
161,Total agricultural water managed area,2012,4.5635,I
162,Total agricultural water managed area,2014,1.523,E
163,Area equipped for irrigation: total,1997,2.0,I
164,Area equipped for irrigation: total,2002,5.0,I
165,Area equipped for irrigation: total,2007,9.0,E
166,Area equipped for irrigation: total,2012,4.5635,I
167,Area equipped for irrigation: total,2014,1.523,E
168,% of agricultural GVA produced by irrigated agriculture,2012,1.8795785294,E
169,% of agricultural GVA produced by irrigated agriculture,2017,1.8603599502,E
170,% of agricultural GVA produced by irrigated agriculture,2018,1.9086156,E
172,Ratio between rainfed and irrigated yields,1996,1.778,I
173,Ratio between rainfed and irrigated yields,2001,1.778,I
174,Ratio between rainfed and irrigated yields,2007,1.778,I
175,Ratio between rainfed and irrigated yields,2011,1.778,I
176,Ratio between rainfed and irrigated yields,2017,1.778,I
177,Ratio between rainfed and irrigated yields,2018,1.778,I
178,Agricultural water withdrawal as % of total renewable water resources,1992,0.0116096643,E
179,Agricultural water withdrawal as % of total renewable water resources,1997,0.0166748846,I
180,Agricultural water withdrawal as % of total renewable water resources,2002,0.0207091308,E
181,Agricultural water withdrawal as % of total renewable water resources,2007,0.0144336366,E
182,Agricultural water withdrawal as % of total renewable water resources,2012,0.0072168183,E
183,Agricultural water withdrawal as % of total renewable water resources,2017,0.0122372137,E
184,Agricultural water withdrawal as % of total renewable water resources,2018,0.0094132413,E
186,Agricultural water withdrawal,1997,0.0053142857,I
187,Agricultural water withdrawal,2002,0.0066,X
188,Agricultural water withdrawal,2006,0.0063,X
189,Agricultural water withdrawal,2011,0.0032,X
190,Agricultural water withdrawal,2017,0.0039,OF
191,Irrigation water requirement,2012,0.0006,I
192,Irrigation water requirement,2017,0.0006,I
193,Irrigation water requirement,2018,0.0006,I
195,Irrigation water withdrawal,1997,0.0053142857,I
196,Irrigation water withdrawal,2002,0.0066,X
197,Irrigation water withdrawal,2006,0.0063,X
198,Irrigation water withdrawal,2011,0.00195,I
199,Irrigation water withdrawal,2017,0.00315,I
200,Municipal water withdrawal,1992,0.2593,X
201,Municipal water withdrawal,1997,0.2536,X
202,Municipal water withdrawal,2002,0.1871,X
203,Municipal water withdrawal,2007,0.1674,X
204,Municipal water withdrawal,2012,0.1617,X
205,Municipal water withdrawal,2017,0.1695,OF
206,Industrial water withdrawal,2002,0.7055,X
207,Industrial water withdrawal,2007,0.7629,X
208,Industrial water withdrawal,2012,0.7641,X
209,Industrial water withdrawal,2017,0.758,OF
210,Total water withdrawal,2002,0.8992,E
211,Total water withdrawal,2007,0.9349,E
212,Total water withdrawal,2012,0.9281,E
213,Total water withdrawal,2014,0.9803,E
214,Fresh surface water withdrawal,2002,0.6913,X
215,Fresh surface water withdrawal,2007,0.7449,X
216,Fresh surface water withdrawal,2012,0.7484,X
217,Fresh surface water withdrawal,2017,0.7414,OF
218,Fresh groundwater withdrawal,2002,0.2079,X
219,Fresh groundwater withdrawal,2007,0.1905,X
220,Fresh groundwater withdrawal,2012,0.1796,X
221,Fresh groundwater withdrawal,2017,0.19,OF
222,Total freshwater withdrawal,2002,0.8992,E
223,Total freshwater withdrawal,2007,0.9354,E
224,Total freshwater withdrawal,2012,0.928,E
225,Total freshwater withdrawal,2017,0.9314,OF
226,Produced municipal wastewater,2002,0.185,OF
228,Produced municipal wastewater,2012,0.201,OF
229,Produced municipal wastewater,2017,0.2177,OF
230,Not treated municipal wastewater,2007,0.038,OF
231,Not treated municipal wastewater,2012,0.0464,I
232,Not treated municipal wastewater,2017,0.0464,I
233,Not treated municipal wastewater,2018,0.0464,I
234,Treated municipal wastewater,2007,0.114,
235,Treated municipal wastewater,2012,0.1029,I
236,Treated municipal wastewater,2017,0.156,OF
237,SDG 6.4.2. Water Stress,2002,6.0797836376,E
238,SDG 6.4.2. Water Stress,2007,6.3245436105,E
239,SDG 6.4.2. Water Stress,2012,6.2745098039,E
240,SDG 6.4.2. Water Stress,2017,6.2974983097,E
241,SDG 6.4.2. Water Stress,2018,6.4976335362,E
242,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,4.528466058,E
243,SDG 6.4.1. Industrial Water Use Efficiency,2002,13.2446156394,E
244,SDG 6.4.1. Industrial Water Use Efficiency,2006,14.4888772441,E
245,SDG 6.4.1. Industrial Water Use Efficiency,2008,15.7187566375,E
246,SDG 6.4.1. Industrial Water Use Efficiency,2015,14.7223919734,E
247,SDG 6.4.1. Services Water Use Efficiency,1992,45.9611832768,E
248,SDG 6.4.1. Services Water Use Efficiency,1997,61.8319213637,E
249,SDG 6.4.1. Services Water Use Efficiency,2002,105.583088076,E
250,SDG 6.4.1. Services Water Use Efficiency,2006,144.2444207825,E
251,SDG 6.4.1. Services Water Use Efficiency,2008,159.159012868,E
252,SDG 6.4.1. Services Water Use Efficiency,2015,155.8179626521,E
253,Harvested irrigated temporary crop area: Wheat,2007,0.0,I
254,Harvested irrigated temporary crop area: Wheat,2012,0.0,I
255,Harvested irrigated temporary crop area: Wheat,2017,0.0,I
256,Harvested irrigated temporary crop area: Wheat,2018,0.0,I
257,Harvested irrigated temporary crop area: Maize,2007,0.2337142857,I
258,Harvested irrigated temporary crop area: Maize,2012,0.289,I
259,Harvested irrigated temporary crop area: Maize,2017,0.289,I
260,Harvested irrigated temporary crop area: Maize,2018,0.289,I
261,Harvested irrigated temporary crop area: Potatoes,2007,0.0705714286,I
262,Harvested irrigated temporary crop area: Potatoes,2012,0.056,I
263,Harvested irrigated temporary crop area: Potatoes,2017,0.056,I
264,Harvested irrigated temporary crop area: Potatoes,2018,0.056,I
265,Harvested irrigated temporary crop area: Sugar beet,2007,0.06,I
266,Harvested irrigated temporary crop area: Sugar beet,2012,0.06,I
267,Harvested irrigated temporary crop area: Sugar beet,2017,0.06,I
268,Harvested irrigated temporary crop area: Sugar beet,2018,0.06,I
269,Harvested irrigated temporary crop area: Vegetables,2012,0.757,I
270,Harvested irrigated temporary crop area: Vegetables,2017,0.757,I
271,Harvested irrigated temporary crop area: Vegetables,2018,0.757,I
272,Harvested irrigated temporary crop area: Fodder,2007,0.1114285714,I
273,Harvested irrigated temporary crop area: Fodder,2012,0.15,I
274,Harvested irrigated temporary crop area: Fodder,2017,0.15,I
275,Harvested irrigated temporary crop area: Fodder,2018,0.15,I
276,Harvested irrigated temporary crop area: Flowers,2012,0.078,I
277,Harvested irrigated temporary crop area: Flowers,2017,0.078,I
278,Harvested irrigated temporary crop area: Flowers,2018,0.078,I
279,Harvested irrigated temporary crop area: Other crops,2012,0.399,I
280,Harvested irrigated temporary crop area: Other crops,2017,0.399,I
281,Harvested irrigated temporary crop area: Other crops,2018,0.399,I
282,Harvested irrigated permanent crop area: Other crops,2007,0.9694285714,I
283,Harvested irrigated permanent crop area: Other crops,2012,1.104,I
284,Harvested irrigated permanent crop area: Other crops,2017,1.104,I
285,Harvested irrigated permanent crop area: Other crops,2018,1.104,I
