Andorra,Variable Name,Year,Value,Symbol
45,Rural population,1992,3.343,X
46,Rural population,1997,4.387,X
47,Rural population,2002,5.855,X
48,Rural population,2007,8.84,X
49,Rural population,2012,9.371,X
50,Rural population,2017,9.12,X
51,Rural population,2018,9.187,X
52,Urban population,1962,9.754,X
53,Urban population,1967,15.494,X
54,Urban population,1972,22.401,X
55,Urban population,1977,29.304,X
56,Urban population,1982,36.561,X
57,Urban population,1987,46.119,X
58,Urban population,1992,55.545,X
59,Urban population,1997,59.94,X
60,Urban population,2002,64.194,X
61,Urban population,2007,73.843,X
62,Urban population,2012,73.06,X
63,Urban population,2017,67.845,X
64,Urban population,2018,67.766,X
65,Gross Domestic Product (GDP),1972,143506004.0,X
66,Gross Domestic Product (GDP),1977,321390137.0,X
67,Gross Domestic Product (GDP),1982,475654368.0,X
68,Gross Domestic Product (GDP),1987,773493497.0,X
69,Gross Domestic Product (GDP),1992,1531034035.0,X
70,Gross Domestic Product (GDP),1997,1493901088.0,X
71,Gross Domestic Product (GDP),1999,1568801032.0,X
72,GDP per capita,1972,5336.382732,X
73,GDP per capita,1977,9807.150739,X
74,GDP per capita,1982,12160.719128,X
75,GDP per capita,1987,15963.130682,X
76,GDP per capita,1992,25999.083598,X
77,GDP per capita,1997,23223.546684,X
78,GDP per capita,2002,24742.619011,X
79,GDP per capita,2007,48580.374532,X
80,GDP per capita,2012,38391.432342,X
81,GDP per capita,2017,39249.689016,X
82,GDP per capita,2018,42080.55769,X
83,"Agriculture, value added (% GDP)",1972,0.397362,X
84,"Agriculture, value added (% GDP)",1977,0.397396,X
85,"Agriculture, value added (% GDP)",1982,0.397593,X
86,"Agriculture, value added (% GDP)",1987,0.398209,X
87,"Agriculture, value added (% GDP)",1992,0.396444,X
88,"Agriculture, value added (% GDP)",1997,0.352469,X
89,"Agriculture, value added (% GDP)",1999,0.245847,X
90,Total population with access to safe drinking-water (JMP),1992,100.0,X
91,Total population with access to safe drinking-water (JMP),1997,100.0,X
92,Total population with access to safe drinking-water (JMP),2002,100.0,X
93,Total population with access to safe drinking-water (JMP),2007,100.0,X
94,Total population with access to safe drinking-water (JMP),2012,100.0,X
95,Total population with access to safe drinking-water (JMP),2017,100.0,I
96,Total population with access to safe drinking-water (JMP),2018,100.0,I
97,Long-term average annual precipitation in volume,1962,0.4724,X
98,Long-term average annual precipitation in volume,1967,0.4724,X
99,Long-term average annual precipitation in volume,1972,0.4724,X
100,Long-term average annual precipitation in volume,1977,0.4724,X
101,Long-term average annual precipitation in volume,1982,0.4724,X
102,Long-term average annual precipitation in volume,1987,0.4724,X
103,Long-term average annual precipitation in volume,1992,0.4724,X
104,Long-term average annual precipitation in volume,1997,0.4724,X
105,Long-term average annual precipitation in volume,2002,0.4724,X
106,Long-term average annual precipitation in volume,2007,0.4724,X
107,Long-term average annual precipitation in volume,2012,0.4724,X
108,Long-term average annual precipitation in volume,2017,0.4724,X
109,Long-term average annual precipitation in volume,2018,0.4724,I
110,Interannual variability (WRI),2017,1.5,I
111,Interannual variability (WRI),2018,1.5,I
112,Seasonal variability (WRI),2017,1.6,I
113,Seasonal variability (WRI),2018,1.6,I
114,Flood occurrence (WRI),2017,3.3,I
115,Flood occurrence (WRI),2018,3.3,I
116,Total internal renewable water resources (IRWR),1962,0.3156,X
117,Total internal renewable water resources (IRWR),1967,0.3156,X
118,Total internal renewable water resources (IRWR),1972,0.3156,X
119,Total internal renewable water resources (IRWR),1977,0.3156,X
120,Total internal renewable water resources (IRWR),1982,0.3156,X
121,Total internal renewable water resources (IRWR),1987,0.3156,X
122,Total internal renewable water resources (IRWR),1992,0.3156,X
123,Total internal renewable water resources (IRWR),1997,0.3156,X
124,Total internal renewable water resources (IRWR),2002,0.3156,X
125,Total internal renewable water resources (IRWR),2007,0.3156,X
126,Total internal renewable water resources (IRWR),2012,0.3156,X
127,Total internal renewable water resources (IRWR),2017,0.3156,X
128,Total internal renewable water resources per capita,1962,20533.5068314899,E
129,Total internal renewable water resources per capita,1967,15203.7768571153,E
130,Total internal renewable water resources per capita,1972,11735.8322177599,E
131,Total internal renewable water resources per capita,1977,9630.465960758,E
132,Total internal renewable water resources per capita,1982,8068.7221966559,E
133,Total internal renewable water resources per capita,1987,6513.2597255185,E
134,Total internal renewable water resources per capita,1992,5359.3261785084,E
135,Total internal renewable water resources per capita,1997,4906.1824739223,E
136,Total internal renewable water resources per capita,2002,4505.4176362261,E
137,Total internal renewable water resources per capita,2007,3816.9416090175,E
138,Total internal renewable water resources per capita,2012,3828.8424909314,E
139,Total internal renewable water resources per capita,2017,4098.6480695056,E
140,Total internal renewable water resources per capita,2018,4098.3819442641,E
141,Total renewable water resources,1962,0.3156,X
142,Total renewable water resources,1967,0.3156,X
143,Total renewable water resources,1972,0.3156,X
144,Total renewable water resources,1977,0.3156,X
145,Total renewable water resources,1982,0.3156,X
146,Total renewable water resources,1987,0.3156,X
147,Total renewable water resources,1992,0.3156,X
148,Total renewable water resources,1997,0.3156,X
149,Total renewable water resources,2002,0.3156,X
150,Total renewable water resources,2007,0.3156,X
151,Total renewable water resources,2012,0.3156,X
152,Total renewable water resources,2017,0.3156,X
153,Total renewable water resources per capita,1962,20533.5068314899,E
154,Total renewable water resources per capita,1967,15203.7768571153,E
155,Total renewable water resources per capita,1972,11735.8322177599,E
156,Total renewable water resources per capita,1977,9630.465960758,E
157,Total renewable water resources per capita,1982,8068.7221966559,E
158,Total renewable water resources per capita,1987,6513.2597255185,E
159,Total renewable water resources per capita,1992,5359.3261785084,E
160,Total renewable water resources per capita,1997,4906.1824739223,E
161,Total renewable water resources per capita,2002,4505.4176362261,E
162,Total renewable water resources per capita,2007,3816.9416090175,E
163,Total renewable water resources per capita,2012,3828.8424909314,E
164,Total renewable water resources per capita,2017,4098.6480695056,E
165,Total renewable water resources per capita,2018,4098.3819442641,E
166,Total agricultural water managed area,2002,0.15,I
167,Total agricultural water managed area,2007,0.15,I
168,Total agricultural water managed area,2012,0.15,I
169,Total agricultural water managed area,2017,0.15,I
170,Total agricultural water managed area,2018,0.15,I
171,Area equipped for irrigation: total,2002,0.15,I
172,Area equipped for irrigation: total,2007,0.15,I
173,Area equipped for irrigation: total,2012,0.15,I
174,Area equipped for irrigation: total,2017,0.15,I
175,Area equipped for irrigation: total,2018,0.15,I
177,Ratio between rainfed and irrigated yields,1966,1.778,I
178,Ratio between rainfed and irrigated yields,1971,1.778,I
179,Ratio between rainfed and irrigated yields,1976,1.778,I
180,Ratio between rainfed and irrigated yields,1981,1.778,I
181,Ratio between rainfed and irrigated yields,1986,1.778,I
182,Ratio between rainfed and irrigated yields,1991,1.778,I
183,Ratio between rainfed and irrigated yields,1996,1.778,I
184,Ratio between rainfed and irrigated yields,2001,1.778,I
185,Ratio between rainfed and irrigated yields,2007,1.778,I
186,Ratio between rainfed and irrigated yields,2011,1.778,I
187,Ratio between rainfed and irrigated yields,2017,1.778,I
188,Ratio between rainfed and irrigated yields,2018,1.778,I
