China,Variable Name,Year,Value,Symbol
80,Gross Domestic Product (GDP),2013,9897719344278.0,X
81,GDP per capita,1972,137.531931,X
82,GDP per capita,1977,199.883753,X
83,GDP per capita,1982,308.819441,X
84,GDP per capita,1987,339.836305,X
85,GDP per capita,1992,497.641729,X
86,GDP per capita,1997,905.469488,X
87,GDP per capita,2002,1259.120525,X
88,GDP per capita,2007,2812.2728,X
89,GDP per capita,2012,6390.956972,X
90,GDP per capita,2017,8843.579277,X
91,GDP per capita,2018,9855.461832,X
92,"Agriculture, value added (% GDP)",1962,39.42,X
93,"Agriculture, value added (% GDP)",1967,40.26,X
94,"Agriculture, value added (% GDP)",1969,37.99,X
95,"Agriculture, value added to GDP",1962,18405231944.0,X
96,"Agriculture, value added to GDP",1967,29011292550.0,X
97,"Agriculture, value added to GDP",1969,29904947599.0,X
98,Number of people undernourished (3-year average),1992,289000.0,X
99,Number of people undernourished (3-year average),1997,236100.0,X
100,Number of people undernourished (3-year average),2001,208300.0,X
101,Number of people undernourished (3-year average),2012,155000.0,X
102,Number of people undernourished (3-year average),2017,123100.0,X
103,Number of people undernourished (3-year average),2018,122400.0,X
104,Prevalence of undernourishment (3-year average),1992,23.9,X
105,Prevalence of undernourishment (3-year average),1997,18.5,X
106,Prevalence of undernourishment (3-year average),2001,15.9,X
107,Prevalence of undernourishment (3-year average),2012,11.1,X
108,Prevalence of undernourishment (3-year average),2017,8.6,X
109,Prevalence of undernourishment (3-year average),2018,8.5,X
110,Total population with access to safe drinking-water (JMP),1992,69.8,X
111,Total population with access to safe drinking-water (JMP),1997,76.5,X
112,Total population with access to safe drinking-water (JMP),2002,82.8,X
113,Total population with access to safe drinking-water (JMP),2007,88.5,X
114,Total population with access to safe drinking-water (JMP),2012,93.2,X
115,Total population with access to safe drinking-water (JMP),2017,95.5,I
116,Total population with access to safe drinking-water (JMP),2018,95.5,I
117,Long-term average annual precipitation in volume,1962,6192.0,E
118,Long-term average annual precipitation in volume,1967,6192.0,E
119,Long-term average annual precipitation in volume,1972,6192.0,E
120,Long-term average annual precipitation in volume,1977,6192.0,E
121,Long-term average annual precipitation in volume,1982,6192.0,E
122,Long-term average annual precipitation in volume,1987,6192.0,E
123,Long-term average annual precipitation in volume,1992,6192.0,E
124,Long-term average annual precipitation in volume,1997,6192.0,E
125,Long-term average annual precipitation in volume,2002,6192.0,E
126,Long-term average annual precipitation in volume,2007,6192.0,E
127,Long-term average annual precipitation in volume,2012,6192.0,E
128,Long-term average annual precipitation in volume,2017,6192.006966,E
129,Long-term average annual precipitation in volume,2018,6192.0083205,E
130,Interannual variability (WRI),2017,1.8,I
131,Interannual variability (WRI),2018,1.8,I
132,Seasonal variability (WRI),2017,2.7,I
133,Seasonal variability (WRI),2018,2.7,I
134,Flood occurrence (WRI),2017,3.5,I
135,Flood occurrence (WRI),2018,3.5,I
136,Surface water: entering the country (total),1961,17.17,OF
137,Surface water: entering the country (total),1966,17.17,OF
138,Surface water: entering the country (total),1971,17.17,OF
139,Surface water: entering the country (total),1976,17.17,OF
140,Surface water: entering the country (total),1981,17.17,OF
141,Surface water: entering the country (total),1986,17.17,OF
142,Surface water: entering the country (total),1991,17.17,OF
143,Surface water: entering the country (total),1996,17.17,OF
144,Surface water: entering the country (total),2001,17.17,OF
145,Surface water: entering the country (total),2006,17.17,OF
147,Surface water: entering the country (total),2017,17.17,OF
159,Surface water: leaving the country to other countries (total),2017,718.8,OF
160,Groundwater: entering the country (total),1962,0.0,OF
161,Groundwater: entering the country (total),1967,0.0,OF
162,Groundwater: entering the country (total),1972,0.0,OF
163,Groundwater: entering the country (total),1977,0.0,OF
164,Groundwater: entering the country (total),1982,0.0,OF
165,Groundwater: entering the country (total),1987,0.0,OF
166,Groundwater: entering the country (total),1992,0.0,OF
167,Groundwater: entering the country (total),1997,0.0,OF
168,Groundwater: entering the country (total),2002,0.0,OF
169,Groundwater: entering the country (total),2007,0.0,OF
170,Groundwater: entering the country (total),2012,0.0,OF
171,Groundwater: entering the country (total),2017,0.0,OF
172,Groundwater: leaving the country to other countries (total),1962,0.0,OF
173,Groundwater: leaving the country to other countries (total),1967,0.0,OF
174,Groundwater: leaving the country to other countries (total),1972,0.0,OF
175,Groundwater: leaving the country to other countries (total),1977,0.0,OF
176,Groundwater: leaving the country to other countries (total),1982,0.0,OF
177,Groundwater: leaving the country to other countries (total),1987,0.0,OF
178,Groundwater: leaving the country to other countries (total),1992,0.0,OF
179,Groundwater: leaving the country to other countries (total),1997,0.0,OF
180,Groundwater: leaving the country to other countries (total),2002,0.0,OF
181,Groundwater: leaving the country to other countries (total),2007,0.0,OF
182,Groundwater: leaving the country to other countries (total),2012,0.0,OF
183,Groundwater: leaving the country to other countries (total),2017,0.0,OF
184,Dependency ratio,1962,0.9618973178,E
185,Dependency ratio,1967,0.9618973178,E
186,Dependency ratio,1972,0.9618973178,E
187,Dependency ratio,1977,0.9618973178,E
188,Dependency ratio,1982,0.9618973178,E
189,Dependency ratio,1987,0.9618973178,E
190,Dependency ratio,1992,0.9618973178,E
191,Dependency ratio,1997,0.9618973178,E
192,Dependency ratio,2002,0.9618973178,E
193,Dependency ratio,2007,0.9618973178,E
194,Dependency ratio,2012,0.9618973178,E
195,Dependency ratio,2017,0.9618973178,E
196,Dependency ratio,2018,0.9618973178,E
197,Total internal renewable water resources (IRWR),1962,2812.9,E
198,Total internal renewable water resources (IRWR),1967,2812.9,E
199,Total internal renewable water resources (IRWR),1972,2812.9,E
200,Total internal renewable water resources (IRWR),1977,2812.9,E
201,Total internal renewable water resources (IRWR),1982,2812.9,E
202,Total internal renewable water resources (IRWR),1987,2812.9,E
203,Total internal renewable water resources (IRWR),1992,2812.9,E
204,Total internal renewable water resources (IRWR),1997,2812.9,E
205,Total internal renewable water resources (IRWR),2002,2812.9,E
206,Total internal renewable water resources (IRWR),2007,2812.9,E
207,Total internal renewable water resources (IRWR),2012,2812.9,E
208,Total internal renewable water resources (IRWR),2017,2812.9,E
209,Total internal renewable water resources (IRWR),2018,2812.9,E
210,Total internal renewable water resources per capita,1962,4034.7721769742,E
211,Total internal renewable water resources per capita,1967,3605.4833627586,E
212,Total internal renewable water resources per capita,1972,3163.0671139454,E
213,Total internal renewable water resources per capita,1977,2871.3792564964,E
214,Total internal renewable water resources per capita,1982,2674.5313042912,E
215,Total internal renewable water resources per capita,1987,2463.8358275336,E
216,Total internal renewable water resources per capita,1992,2279.8551735881,E
217,Total internal renewable water resources per capita,1997,2180.0262043505,E
218,Total internal renewable water resources per capita,2002,2104.2589237096,E
219,Total internal renewable water resources per capita,2007,2043.8641645391,E
220,Total internal renewable water resources per capita,2012,1987.6845611293,E
221,Total internal renewable water resources per capita,2017,1936.4251114446,E
222,Total internal renewable water resources per capita,2018,1927.4655009577,E
223,Total renewable surface water,1962,2739.32,E
224,Total renewable surface water,1967,2739.32,E
225,Total renewable surface water,1972,2739.32,E
226,Total renewable surface water,1977,2739.32,E
227,Total renewable surface water,1982,2739.32,E
228,Total renewable surface water,1987,2739.32,E
229,Total renewable surface water,1992,2739.32,E
230,Total renewable surface water,1997,2739.32,E
231,Total renewable surface water,2002,2739.32,E
232,Total renewable surface water,2007,2739.32,E
233,Total renewable surface water,2012,2739.32,E
234,Total renewable surface water,2017,2739.32,E
235,Total renewable surface water,2018,2739.32,E
236,Total renewable groundwater,1962,828.8,E
237,Total renewable groundwater,1967,828.8,E
238,Total renewable groundwater,1972,828.8,E
239,Total renewable groundwater,1977,828.8,E
240,Total renewable groundwater,1982,828.8,E
241,Total renewable groundwater,1987,828.8,E
242,Total renewable groundwater,1992,828.8,E
243,Total renewable groundwater,1997,828.8,E
244,Total renewable groundwater,2002,828.8,E
245,Total renewable groundwater,2007,828.8,E
246,Total renewable groundwater,2012,828.8,E
247,Total renewable groundwater,2017,828.8,E
248,Total renewable groundwater,2018,828.8,E
249,Water resources: total external renewable,1962,27.32,E
250,Water resources: total external renewable,1967,27.32,E
251,Water resources: total external renewable,1972,27.32,E
252,Water resources: total external renewable,1977,27.32,E
253,Water resources: total external renewable,1982,27.32,E
254,Water resources: total external renewable,1987,27.32,E
255,Water resources: total external renewable,1992,27.32,E
256,Water resources: total external renewable,1997,27.32,E
257,Water resources: total external renewable,2002,27.32,E
258,Water resources: total external renewable,2007,27.32,E
259,Water resources: total external renewable,2012,27.32,E
260,Water resources: total external renewable,2017,27.32,E
261,Water resources: total external renewable,2018,27.32,E
262,Total renewable water resources,1962,2840.22,E
263,Total renewable water resources,1967,2840.22,E
264,Total renewable water resources,1972,2840.22,E
265,Total renewable water resources,1977,2840.22,E
266,Total renewable water resources,1982,2840.22,E
267,Total renewable water resources,1987,2840.22,E
268,Total renewable water resources,1992,2840.22,E
269,Total renewable water resources,1997,2840.22,E
270,Total renewable water resources,2002,2840.22,E
271,Total renewable water resources,2007,2840.22,E
272,Total renewable water resources,2012,2840.22,E
273,Total renewable water resources,2017,2840.22,E
274,Total renewable water resources,2018,2840.22,E
275,Total renewable water resources per capita,1962,4073.9594839794,E
276,Total renewable water resources per capita,1967,3640.5012466046,E
277,Total renewable water resources per capita,1972,3193.788075783,E
278,Total renewable water resources per capita,1977,2899.2672302201,E
279,Total renewable water resources per capita,1982,2700.507412661,E
280,Total renewable water resources per capita,1987,2487.7655779009,E
281,Total renewable water resources per capita,1992,2301.9980309035,E
282,Total renewable water resources per capita,1997,2201.1994831386,E
283,Total renewable water resources per capita,2002,2124.6963206294,E
284,Total renewable water resources per capita,2007,2063.7149836138,E
285,Total renewable water resources per capita,2012,2006.9897416228,E
286,Total renewable water resources per capita,2017,1955.2324398405,E
287,Total renewable water resources per capita,2018,1946.1858100644,E
288,Total agricultural water managed area,1977,47240.0,I
289,Total agricultural water managed area,1982,49529.0,E
290,Total agricultural water managed area,1987,49859.0,E
291,Total agricultural water managed area,1992,50429.0,E
292,Total agricultural water managed area,1997,53340.1818181818,E
293,Total agricultural water managed area,2002,58250.6363636364,E
294,Total agricultural water managed area,2007,63927.7142857143,I
295,Total agricultural water managed area,2012,68873.7857142857,I
296,Total agricultural water managed area,2017,69863.0,I
297,Total agricultural water managed area,2018,69863.0,I
298,Area equipped for irrigation: total,1977,47240.0,I
299,Area equipped for irrigation: total,1982,49529.0,E
300,Area equipped for irrigation: total,1987,49859.0,E
301,Area equipped for irrigation: total,1992,50429.0,E
302,Area equipped for irrigation: total,1997,53340.1818181818,E
303,Area equipped for irrigation: total,2002,58250.6363636364,E
304,Area equipped for irrigation: total,2007,63927.7142857143,I
305,Area equipped for irrigation: total,2012,68873.7857142857,I
306,Area equipped for irrigation: total,2017,69863.0,I
307,Area equipped for irrigation: total,2018,69863.0,I
308,% of agricultural GVA produced by irrigated agriculture,1977,50.8583310284,E
309,% of agricultural GVA produced by irrigated agriculture,1982,48.8790473501,E
310,% of agricultural GVA produced by irrigated agriculture,1987,42.9108591433,E
311,% of agricultural GVA produced by irrigated agriculture,1992,43.9380852638,E
312,% of agricultural GVA produced by irrigated agriculture,1997,46.0229322761,E
313,% of agricultural GVA produced by irrigated agriculture,2002,49.0700936267,E
314,% of agricultural GVA produced by irrigated agriculture,2007,78.7864577173,E
315,% of agricultural GVA produced by irrigated agriculture,2012,78.3921452172,E
316,% of agricultural GVA produced by irrigated agriculture,2016,78.4954723057,E
317,Ratio between rainfed and irrigated yields,1962,1.538,E
318,Ratio between rainfed and irrigated yields,1967,1.538,E
319,Ratio between rainfed and irrigated yields,1972,1.538,E
320,Ratio between rainfed and irrigated yields,1977,1.538,E
321,Ratio between rainfed and irrigated yields,1982,1.538,E
322,Ratio between rainfed and irrigated yields,1987,1.538,E
323,Ratio between rainfed and irrigated yields,1992,1.538,E
324,Ratio between rainfed and irrigated yields,1997,1.538,E
325,Ratio between rainfed and irrigated yields,2002,1.538,E
326,Ratio between rainfed and irrigated yields,2007,1.538,I
327,Ratio between rainfed and irrigated yields,2012,1.538,E
328,Ratio between rainfed and irrigated yields,2017,1.538,I
329,Ratio between rainfed and irrigated yields,2018,1.538,I
330,Agricultural water withdrawal as % of total renewable water resources,1982,14.196083402,I
331,Agricultural water withdrawal as % of total renewable water resources,1987,14.615769201,I
332,Agricultural water withdrawal as % of total renewable water resources,1992,14.4401959473,I
333,Agricultural water withdrawal as % of total renewable water resources,1997,13.7650302743,I
334,Agricultural water withdrawal as % of total renewable water resources,2002,13.0356099175,I
335,Agricultural water withdrawal as % of total renewable water resources,2007,12.6750744661,E
336,Agricultural water withdrawal as % of total renewable water resources,2012,13.6609135912,E
337,Agricultural water withdrawal as % of total renewable water resources,2017,13.5623296787,I
338,Agricultural water withdrawal as % of total renewable water resources,2018,13.5623296787,I
339,Agricultural water withdrawal,1982,403.2,I
340,Agricultural water withdrawal,1987,415.12,I
341,Agricultural water withdrawal,1992,410.1333333333,I
342,Agricultural water withdrawal,1997,390.9571428571,I
343,Agricultural water withdrawal,2002,370.24,I
344,Agricultural water withdrawal,2007,360.0,OF
345,Agricultural water withdrawal,2012,388.0,OF
346,Agricultural water withdrawal,2017,385.2,I
347,Agricultural water withdrawal,2018,385.2,I
348,Irrigation water requirement,2007,256.9,I
349,Irrigation water requirement,2012,256.9,I
350,Irrigation water requirement,2017,256.9,I
351,Irrigation water requirement,2018,256.9,I
352,Municipal water withdrawal,1982,17.6995,I
353,Municipal water withdrawal,1987,31.814,I
354,Municipal water withdrawal,1992,28.44,I
355,Municipal water withdrawal,1997,43.64,I
356,Municipal water withdrawal,2002,61.512,I
357,Municipal water withdrawal,2007,71.0,OF
358,Municipal water withdrawal,2012,72.9,OF
359,Municipal water withdrawal,2017,79.4,I
360,Municipal water withdrawal,2018,79.4,I
361,Industrial water withdrawal,1982,39.565,I
362,Industrial water withdrawal,1987,41.702,I
363,Industrial water withdrawal,1992,78.3666666667,I
364,Industrial water withdrawal,1997,104.75,I
365,Industrial water withdrawal,2002,119.78,I
366,Industrial water withdrawal,2007,140.3,OF
367,Industrial water withdrawal,2012,142.4,OF
368,Industrial water withdrawal,2017,133.5,I
369,Industrial water withdrawal,2018,133.5,I
370,Total water withdrawal,1982,460.4645,I
371,Total water withdrawal,1987,488.636,I
372,Total water withdrawal,1992,516.94,I
373,Total water withdrawal,1997,539.3471428571,I
374,Total water withdrawal,2002,551.532,I
375,Total water withdrawal,2007,571.3,E
376,Total water withdrawal,2012,603.3,E
377,Total water withdrawal,2017,598.1,I
378,Total water withdrawal,2018,598.1,I
379,Fresh surface water withdrawal,1982,396.1223585756,I
380,Fresh surface water withdrawal,1987,420.3569105251,I
381,Fresh surface water withdrawal,1992,435.6443242431,I
382,Fresh surface water withdrawal,1997,441.6,I
383,Fresh surface water withdrawal,2002,447.48,I
384,Fresh surface water withdrawal,2004,450.96,I
385,Fresh surface water withdrawal,2010,476.648441358,I
386,Fresh surface water withdrawal,2017,484.9,I
387,Fresh surface water withdrawal,2018,484.9,I
388,Fresh groundwater withdrawal,1982,64.3426414244,I
389,Fresh groundwater withdrawal,1987,68.2790894749,I
390,Fresh groundwater withdrawal,1992,81.2890090902,I
391,Fresh groundwater withdrawal,1997,98.3714285714,I
392,Fresh groundwater withdrawal,2002,104.7,I
393,Fresh groundwater withdrawal,2007,106.9,OF
394,Fresh groundwater withdrawal,2012,113.4,OF
395,Fresh groundwater withdrawal,2017,106.9,I
396,Fresh groundwater withdrawal,2018,106.9,I
397,Total freshwater withdrawal,1982,460.465,I
398,Total freshwater withdrawal,1987,488.636,I
399,Total freshwater withdrawal,1992,516.9333333333,I
400,Total freshwater withdrawal,1997,539.9714285714,I
401,Total freshwater withdrawal,2002,552.18,I
402,Total freshwater withdrawal,2007,568.7,E
403,Total freshwater withdrawal,2012,598.8,E
404,Total freshwater withdrawal,2017,591.8,I
405,Total freshwater withdrawal,2018,591.8,I
406,Desalinated water produced,2007,0.0109,I
407,Desalinated water produced,2012,0.0109,I
408,Desalinated water produced,2017,0.0109,I
409,Desalinated water produced,2018,0.0109,I
410,Direct use of treated municipal wastewater,2011,3.45,I
411,Direct use of treated municipal wastewater,2017,3.86,I
412,Direct use of treated municipal wastewater,2018,3.86,I
414,Produced municipal wastewater,1997,18.91,OF
415,Produced municipal wastewater,2002,23.23,OF
417,Produced municipal wastewater,2012,46.27,OF
418,Produced municipal wastewater,2017,48.51,I
419,Produced municipal wastewater,2018,48.51,I
421,Collected municipal wastewater,2012,31.14,I
422,Collected municipal wastewater,2017,31.14,I
423,Collected municipal wastewater,2018,31.14,I
424,Not treated municipal wastewater,2002,17.98,I
426,Not treated municipal wastewater,2010,4.925,I
427,Not treated municipal wastewater,2017,2.49,I
428,Not treated municipal wastewater,2018,2.49,I
429,Treated municipal wastewater,2002,5.785,I
430,Treated municipal wastewater,2007,19.03,OF
431,Treated municipal wastewater,2012,42.37,OF
432,Treated municipal wastewater,2017,49.31,I
433,Treated municipal wastewater,2018,49.31,I
434,Treated municipal wastewater discharged (secondary water),2010,33.5766666667,I
435,Treated municipal wastewater discharged (secondary water),2017,42.16,I
436,Treated municipal wastewater discharged (secondary water),2018,42.16,I
449,SDG 6.4.2. Water Stress,1982,33.6297307956,E
450,SDG 6.4.2. Water Stress,1987,35.6871795621,E
451,SDG 6.4.2. Water Stress,1992,37.7538549929,E
452,SDG 6.4.2. Water Stress,1997,39.436425744,E
453,SDG 6.4.2. Water Stress,2002,40.3280699961,E
454,SDG 6.4.2. Water Stress,2007,41.5345963395,E
455,SDG 6.4.2. Water Stress,2012,43.7329282365,E
456,SDG 6.4.2. Water Stress,2017,43.2216882605,E
457,SDG 6.4.2. Water Stress,2018,43.2216882605,E
458,SDG 6.4.1. Water Use Efficiency,1982,0.882251551,I
459,SDG 6.4.1. Water Use Efficiency,1987,1.4949218611,I
460,SDG 6.4.1. Water Use Efficiency,1992,2.2103050473,I
461,SDG 6.4.1. Water Use Efficiency,1997,3.7321631399,I
462,SDG 6.4.1. Water Use Efficiency,2002,5.5998115342,I
463,SDG 6.4.1. Water Use Efficiency,2007,9.8483346525,E
464,SDG 6.4.1. Water Use Efficiency,2012,14.6774704714,E
465,SDG 6.4.1. Water Use Efficiency,2016,19.6247069775,E
466,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1982,0.196049471,E
467,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1987,0.2363352447,E
468,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,0.3003740351,E
469,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.4757880399,E
470,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.597428321,E
471,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,1.3282700591,E
472,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,1.7150165205,E
473,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,2.0557043181,E
474,SDG 6.4.1. Industrial Water Use Efficiency,1982,5.5301333115,E
475,SDG 6.4.1. Industrial Water Use Efficiency,1987,8.9689881385,E
476,SDG 6.4.1. Industrial Water Use Efficiency,1992,7.1714231452,E
477,SDG 6.4.1. Industrial Water Use Efficiency,1997,10.0602583768,E
478,SDG 6.4.1. Industrial Water Use Efficiency,2002,12.3484511014,E
479,SDG 6.4.1. Industrial Water Use Efficiency,2007,19.2943888504,E
480,SDG 6.4.1. Industrial Water Use Efficiency,2012,28.9676222386,E
481,SDG 6.4.1. Industrial Water Use Efficiency,2017,38.8823119366,E
482,SDG 6.4.1. Industrial Water Use Efficiency,2018,43.6891582683,E
483,SDG 6.4.1. Services Water Use Efficiency,1982,6.1243904153,E
484,SDG 6.4.1. Services Water Use Efficiency,1987,8.1203372209,E
485,SDG 6.4.1. Services Water Use Efficiency,1992,16.0830224939,E
486,SDG 6.4.1. Services Water Use Efficiency,1997,17.7155528996,E
487,SDG 6.4.1. Services Water Use Efficiency,2002,22.5677253313,E
488,SDG 6.4.1. Services Water Use Efficiency,2007,34.3827269012,E
489,SDG 6.4.1. Services Water Use Efficiency,2012,55.7544872242,E
490,SDG 6.4.1. Services Water Use Efficiency,2017,82.7769787603,E
491,SDG 6.4.1. Services Water Use Efficiency,2018,93.241371273,E
492,Area salinized by irrigation,2002,6700.0,I
493,Area salinized by irrigation,2007,6700.0,I
494,Area salinized by irrigation,2012,6700.0,I
495,Area salinized by irrigation,2017,6700.0,I
496,Area salinized by irrigation,2018,6700.0,I
497,Harvested irrigated temporary crop area: Wheat,2007,22299.0,I
498,Harvested irrigated temporary crop area: Wheat,2012,22299.0,I
499,Harvested irrigated temporary crop area: Wheat,2017,22299.0,I
500,Harvested irrigated temporary crop area: Wheat,2018,22299.0,I
501,Harvested irrigated temporary crop area: Rice,2007,29047.0,I
502,Harvested irrigated temporary crop area: Rice,2012,29047.0,I
503,Harvested irrigated temporary crop area: Rice,2017,29047.0,I
504,Harvested irrigated temporary crop area: Rice,2018,29047.0,I
505,Harvested irrigated temporary crop area: Maize,2007,12949.0,I
506,Harvested irrigated temporary crop area: Maize,2012,12949.0,I
507,Harvested irrigated temporary crop area: Maize,2017,12949.0,I
508,Harvested irrigated temporary crop area: Maize,2018,12949.0,I
509,Harvested irrigated temporary crop area: Other cereals,2007,1352.0,I
510,Harvested irrigated temporary crop area: Other cereals,2012,1352.0,I
511,Harvested irrigated temporary crop area: Other cereals,2017,1352.0,I
512,Harvested irrigated temporary crop area: Other cereals,2018,1352.0,I
513,Harvested irrigated temporary crop area: Other roots and tubers,2007,607.0,I
514,Harvested irrigated temporary crop area: Other roots and tubers,2012,607.0,I
515,Harvested irrigated temporary crop area: Other roots and tubers,2017,607.0,I
516,Harvested irrigated temporary crop area: Other roots and tubers,2018,607.0,I
517,Harvested irrigated temporary crop area: Sugarcane,2007,500.0,I
518,Harvested irrigated temporary crop area: Sugarcane,2012,500.0,I
519,Harvested irrigated temporary crop area: Sugarcane,2017,500.0,I
520,Harvested irrigated temporary crop area: Sugarcane,2018,500.0,I
521,Harvested irrigated temporary crop area: Sugar beet,2007,193.0,I
522,Harvested irrigated temporary crop area: Sugar beet,2012,193.0,I
523,Harvested irrigated temporary crop area: Sugar beet,2017,193.0,I
524,Harvested irrigated temporary crop area: Sugar beet,2018,193.0,I
525,Harvested irrigated temporary crop area: Leguminous crops,2007,185.0,I
526,Harvested irrigated temporary crop area: Leguminous crops,2012,185.0,I
527,Harvested irrigated temporary crop area: Leguminous crops,2017,185.0,I
528,Harvested irrigated temporary crop area: Leguminous crops,2018,185.0,I
529,Harvested irrigated temporary crop area: Vegetables,2007,9000.0,I
530,Harvested irrigated temporary crop area: Vegetables,2012,9000.0,I
531,Harvested irrigated temporary crop area: Vegetables,2017,9000.0,I
532,Harvested irrigated temporary crop area: Vegetables,2018,9000.0,I
533,Harvested irrigated permanent crop area: Citrus,2007,459.0,I
534,Harvested irrigated permanent crop area: Citrus,2012,459.0,I
535,Harvested irrigated permanent crop area: Citrus,2017,459.0,I
536,Harvested irrigated permanent crop area: Citrus,2018,459.0,I
537,Harvested irrigated temporary crop area: Tobacco,2007,400.0,I
538,Harvested irrigated temporary crop area: Tobacco,2012,400.0,I
539,Harvested irrigated temporary crop area: Tobacco,2017,400.0,I
540,Harvested irrigated temporary crop area: Tobacco,2018,400.0,I
541,Harvested irrigated temporary crop area: Cotton,2007,2189.0,I
542,Harvested irrigated temporary crop area: Cotton,2012,2189.0,I
543,Harvested irrigated temporary crop area: Cotton,2017,2189.0,I
544,Harvested irrigated temporary crop area: Cotton,2018,2189.0,I
545,Harvested irrigated temporary crop area: Soybeans,2007,3225.0,I
546,Harvested irrigated temporary crop area: Soybeans,2012,3225.0,I
547,Harvested irrigated temporary crop area: Soybeans,2017,3225.0,I
548,Harvested irrigated temporary crop area: Soybeans,2018,3225.0,I
549,Harvested irrigated temporary crop area: Groundnuts,2007,2088.0,I
550,Harvested irrigated temporary crop area: Groundnuts,2012,2088.0,I
551,Harvested irrigated temporary crop area: Groundnuts,2017,2088.0,I
552,Harvested irrigated temporary crop area: Groundnuts,2018,2088.0,I
