Mexico,Variable Name,Year,Value,Symbol
134,Flood occurrence (WRI),2017,2.9,I
135,Flood occurrence (WRI),2018,2.9,I
147,Surface water: entering the country (total),2017,53.31,OF
159,Surface water: leaving the country to other countries (total),2017,19.14,OF
160,Groundwater: entering the country (total),1962,0.0,OF
161,Groundwater: entering the country (total),1967,0.0,OF
162,Groundwater: entering the country (total),1972,0.0,OF
163,Groundwater: entering the country (total),1977,0.0,OF
164,Groundwater: entering the country (total),1982,0.0,OF
165,Groundwater: entering the country (total),1987,0.0,OF
166,Groundwater: entering the country (total),1992,0.0,OF
167,Groundwater: entering the country (total),1997,0.0,OF
168,Groundwater: entering the country (total),2002,0.0,OF
169,Groundwater: entering the country (total),2007,0.0,OF
170,Groundwater: entering the country (total),2012,0.0,OF
171,Groundwater: entering the country (total),2017,0.0,OF
172,Groundwater: leaving the country to other countries (total),1962,0.0,OF
173,Groundwater: leaving the country to other countries (total),1967,0.0,OF
174,Groundwater: leaving the country to other countries (total),1972,0.0,OF
175,Groundwater: leaving the country to other countries (total),1977,0.0,OF
176,Groundwater: leaving the country to other countries (total),1982,0.0,OF
177,Groundwater: leaving the country to other countries (total),1987,0.0,OF
178,Groundwater: leaving the country to other countries (total),1992,0.0,OF
179,Groundwater: leaving the country to other countries (total),1997,0.0,OF
180,Groundwater: leaving the country to other countries (total),2002,0.0,OF
181,Groundwater: leaving the country to other countries (total),2007,0.0,OF
182,Groundwater: leaving the country to other countries (total),2012,0.0,OF
183,Groundwater: leaving the country to other countries (total),2017,0.0,OF
184,Dependency ratio,1962,11.53,OF
185,Dependency ratio,1967,11.53,OF
186,Dependency ratio,1972,11.53,OF
187,Dependency ratio,1977,11.53,OF
188,Dependency ratio,1982,11.53,OF
189,Dependency ratio,1987,11.53,OF
190,Dependency ratio,1992,11.53,OF
191,Dependency ratio,1997,11.53,OF
192,Dependency ratio,2002,11.53,OF
193,Dependency ratio,2007,11.53,OF
194,Dependency ratio,2012,11.53,OF
195,Dependency ratio,2017,11.53,OF
196,Total internal renewable water resources (IRWR),1962,409.0,E
197,Total internal renewable water resources (IRWR),1967,409.0,E
198,Total internal renewable water resources (IRWR),1972,409.0,E
199,Total internal renewable water resources (IRWR),1977,409.0,E
200,Total internal renewable water resources (IRWR),1982,409.0,E
201,Total internal renewable water resources (IRWR),1987,409.0,E
202,Total internal renewable water resources (IRWR),1992,409.0,E
203,Total internal renewable water resources (IRWR),1997,409.0,E
204,Total internal renewable water resources (IRWR),2002,409.0,E
205,Total internal renewable water resources (IRWR),2007,409.0,E
206,Total internal renewable water resources (IRWR),2012,409.0,E
207,Total internal renewable water resources (IRWR),2017,409.0,E
208,Total internal renewable water resources (IRWR),2018,409.0,E
209,Total internal renewable water resources per capita,1962,10175.3141951678,E
210,Total internal renewable water resources per capita,1967,8710.243382515,E
211,Total internal renewable water resources per capita,1972,7478.5230622749,E
212,Total internal renewable water resources per capita,1977,6505.4975510301,E
213,Total internal renewable water resources per capita,1982,5755.8084339734,E
214,Total internal renewable water resources per capita,1987,5164.1361326386,E
215,Total internal renewable water resources per capita,1992,4697.0927568326,E
216,Total internal renewable water resources per capita,1997,4322.9644687623,E
217,Total internal renewable water resources per capita,2002,4022.2350728317,E
218,Total internal renewable water resources per capita,2007,3746.4332627141,E
219,Total internal renewable water resources per capita,2012,3487.5544402771,E
220,Total internal renewable water resources per capita,2017,3277.8391689182,E
221,Total internal renewable water resources per capita,2018,3241.1240668376,E
222,Total renewable surface water,1962,402.888,E
223,Total renewable surface water,1967,402.888,E
224,Total renewable surface water,1972,402.888,E
225,Total renewable surface water,1977,402.888,E
226,Total renewable surface water,1982,402.888,E
227,Total renewable surface water,1987,402.888,E
228,Total renewable surface water,1992,402.888,E
229,Total renewable surface water,1997,402.888,E
230,Total renewable surface water,2002,402.888,E
231,Total renewable surface water,2007,402.888,E
232,Total renewable surface water,2012,402.888,E
233,Total renewable surface water,2017,402.888,E
234,Total renewable surface water,2018,402.888,E
235,Total renewable groundwater,1962,150.0,E
236,Total renewable groundwater,1967,150.0,E
237,Total renewable groundwater,1972,150.0,E
238,Total renewable groundwater,1977,150.0,E
239,Total renewable groundwater,1982,150.0,E
240,Total renewable groundwater,1987,150.0,E
241,Total renewable groundwater,1992,150.0,E
242,Total renewable groundwater,1997,150.0,E
243,Total renewable groundwater,2002,150.0,E
244,Total renewable groundwater,2007,150.0,E
245,Total renewable groundwater,2012,150.0,E
246,Total renewable groundwater,2017,150.0,E
247,Total renewable groundwater,2018,150.0,E
248,Water resources: total external renewable,1962,52.888,E
249,Water resources: total external renewable,1967,52.888,E
250,Water resources: total external renewable,1972,52.888,E
251,Water resources: total external renewable,1977,52.888,E
252,Water resources: total external renewable,1982,52.888,E
253,Water resources: total external renewable,1987,52.888,E
254,Water resources: total external renewable,1992,52.888,E
255,Water resources: total external renewable,1997,52.888,E
256,Water resources: total external renewable,2002,52.888,E
257,Water resources: total external renewable,2007,52.888,E
258,Water resources: total external renewable,2012,52.888,E
259,Water resources: total external renewable,2017,52.888,E
260,Water resources: total external renewable,2018,52.888,E
261,Total renewable water resources,1962,461.888,E
262,Total renewable water resources,1967,461.888,E
263,Total renewable water resources,1972,461.888,E
264,Total renewable water resources,1977,461.888,E
265,Total renewable water resources,1982,461.888,E
266,Total renewable water resources,1987,461.888,E
267,Total renewable water resources,1992,461.888,E
268,Total renewable water resources,1997,461.888,E
269,Total renewable water resources,2002,461.888,E
270,Total renewable water resources,2007,461.888,E
271,Total renewable water resources,2012,461.888,E
272,Total renewable water resources,2017,461.888,E
273,Total renewable water resources,2018,461.888,E
274,Total renewable water resources per capita,1962,11491.089298234,E
275,Total renewable water resources per capita,1967,9836.5694265602,E
276,Total renewable water resources per capita,1972,8445.5747192861,E
277,Total renewable water resources per capita,1977,7346.7267795848,E
278,Total renewable water resources per capita,1982,6500.0949778756,E
279,Total renewable water resources per capita,1987,5831.9132274625,E
280,Total renewable water resources per capita,1992,5304.4762329288,E
281,Total renewable water resources per capita,1997,4881.969223833,E
282,Total renewable water resources per capita,2002,4542.3523553058,E
283,Total renewable water resources per capita,2007,4230.8864715122,E
284,Total renewable water resources per capita,2012,3938.5318956253,E
285,Total renewable water resources per capita,2017,3701.6982348492,E
286,Total renewable water resources per capita,2018,3660.2354840672,E
287,Total agricultural water managed area,1997,6255.9,E
288,Total agricultural water managed area,2002,6313.3333333333,I
289,Total agricultural water managed area,2007,5863.0828381644,E
290,Total agricultural water managed area,2012,5669.3809818513,E
291,Total agricultural water managed area,2015,6611.0,E
292,Area equipped for irrigation: total,1997,6255.9,E
293,Area equipped for irrigation: total,2002,6313.3333333333,I
294,Area equipped for irrigation: total,2007,5863.0828381644,E
295,Area equipped for irrigation: total,2012,5669.3809818513,E
296,Area equipped for irrigation: total,2015,6611.0,E
297,% of agricultural GVA produced by irrigated agriculture,1992,34.0487063201,E
298,% of agricultural GVA produced by irrigated agriculture,1997,34.7428441235,E
299,% of agricultural GVA produced by irrigated agriculture,2002,34.3510669669,E
300,% of agricultural GVA produced by irrigated agriculture,2007,33.3277885855,E
301,Ratio between rainfed and irrigated yields,1962,1.903,E
302,Ratio between rainfed and irrigated yields,1967,1.903,E
303,Ratio between rainfed and irrigated yields,1972,1.903,E
304,Ratio between rainfed and irrigated yields,1977,1.903,E
305,Ratio between rainfed and irrigated yields,1982,1.903,E
306,Ratio between rainfed and irrigated yields,1987,1.903,E
307,Ratio between rainfed and irrigated yields,1992,1.903,E
308,Ratio between rainfed and irrigated yields,1997,1.903,E
309,Ratio between rainfed and irrigated yields,2002,1.903,E
310,Ratio between rainfed and irrigated yields,2007,1.903,I
311,Ratio between rainfed and irrigated yields,2012,1.903,E
312,Ratio between rainfed and irrigated yields,2017,1.903,I
313,Ratio between rainfed and irrigated yields,2018,1.903,I
314,Agricultural water withdrawal as % of total renewable water resources,1997,13.1209297492,E
315,Agricultural water withdrawal as % of total renewable water resources,2002,12.1458015796,E
316,Agricultural water withdrawal as % of total renewable water resources,2007,13.1135686573,E
317,Agricultural water withdrawal as % of total renewable water resources,2012,13.7154461688,E
318,Agricultural water withdrawal as % of total renewable water resources,2017,14.4623804905,E
319,Agricultural water withdrawal,1997,60.604,I
320,Agricultural water withdrawal,2002,56.1,OF
321,Agricultural water withdrawal,2007,60.57,OF
322,Agricultural water withdrawal,2012,63.35,OF
323,Agricultural water withdrawal,2017,66.8,OF
324,Irrigation water requirement,1997,38.73,I
325,Irrigation water requirement,2002,32.38,I
326,Irrigation water requirement,2007,26.03,E
327,Irrigation water requirement,2012,26.03,I
328,Irrigation water requirement,2017,26.03,I
329,Irrigation water requirement,2018,26.03,I
330,Irrigation water withdrawal,2007,58.78,X
331,Irrigation water withdrawal,2008,59.38,X
332,Municipal water withdrawal,2002,9.6,OF
333,Municipal water withdrawal,2007,11.16,OF
334,Municipal water withdrawal,2012,11.98,OF
335,Municipal water withdrawal,2017,14.23,OF
336,Industrial water withdrawal,2002,6.9,OF
337,Industrial water withdrawal,2012,7.403,OF
338,Industrial water withdrawal,2017,6.814,OF
339,Total water withdrawal,1982,57.219047619,I
340,Total water withdrawal,1987,60.2666666667,I
341,Total water withdrawal,1992,63.3142857143,I
342,Total water withdrawal,1997,66.3619047619,I
343,Total water withdrawal,2002,72.6,E
344,Total water withdrawal,2007,78.95,E
345,Total water withdrawal,2012,82.733,E
346,Total water withdrawal,2015,85.665,E
347,Fresh surface water withdrawal,1982,40.1975696266,I
348,Fresh surface water withdrawal,1987,42.341493693,I
349,Fresh surface water withdrawal,1992,44.4854177595,I
350,Fresh surface water withdrawal,1997,46.629341826,I
351,Fresh surface water withdrawal,2001,48.3444810791,I
352,Fresh surface water withdrawal,2003,48.2502074689,I
353,Fresh surface water withdrawal,2012,50.95,OF
354,Fresh surface water withdrawal,2017,53.45,OF
355,Fresh groundwater withdrawal,1982,16.9925160877,I
356,Fresh groundwater withdrawal,1987,17.898806307,I
357,Fresh groundwater withdrawal,1992,18.8050965262,I
358,Fresh groundwater withdrawal,1997,19.7113867455,I
359,Fresh groundwater withdrawal,2001,20.4364189209,I
360,Fresh groundwater withdrawal,2003,26.4497925311,I
361,Fresh groundwater withdrawal,2012,31.78,OF
362,Fresh groundwater withdrawal,2017,34.39,OF
363,Total freshwater withdrawal,1982,57.1900857143,I
364,Total freshwater withdrawal,1987,60.2403,I
365,Total freshwater withdrawal,1992,63.2905142857,I
366,Total freshwater withdrawal,1997,66.3407285714,I
367,Total freshwater withdrawal,2002,72.3,E
368,Total freshwater withdrawal,2006,77.0,E
369,Total freshwater withdrawal,2012,82.73,E
370,Total freshwater withdrawal,2017,87.84,OF
371,Desalinated water produced,1982,0.0307,I
372,Desalinated water produced,1987,0.0307,I
373,Desalinated water produced,1992,0.0307,I
374,Desalinated water produced,1997,0.0307,I
375,Desalinated water produced,2002,0.0191,I
376,Desalinated water produced,2007,0.0191,E
377,Desalinated water produced,2008,0.0191,E
378,Direct use of treated municipal wastewater,2002,0.416,I
379,Direct use of treated municipal wastewater,2007,0.586,I
380,Direct use of treated municipal wastewater,2012,0.7646666667,I
381,Direct use of treated municipal wastewater,2016,0.8982,OF
382,Produced municipal wastewater,1997,7.320625,I
383,Produced municipal wastewater,2002,7.355,I
384,Produced municipal wastewater,2007,7.389375,I
385,Produced municipal wastewater,2012,7.359,I
386,Produced municipal wastewater,2017,7.41,OF
387,Collected municipal wastewater,1997,5.764,I
388,Collected municipal wastewater,2002,6.204,I
389,Collected municipal wastewater,2007,6.528,OF
390,Collected municipal wastewater,2012,6.643,I
391,Collected municipal wastewater,2015,6.692,OF
392,Not treated municipal wastewater,1997,6.336875,I
393,Not treated municipal wastewater,2002,5.615,I
394,Not treated municipal wastewater,2007,4.893125,I
395,Not treated municipal wastewater,2012,4.1485,I
396,Not treated municipal wastewater,2017,3.92,I
397,Not treated municipal wastewater,2018,3.92,I
398,Treated municipal wastewater,1997,1.92,OF
399,Treated municipal wastewater,2002,2.596,OF
400,Treated municipal wastewater,2007,2.48,OF
401,Treated municipal wastewater,2012,3.2105,I
402,Treated municipal wastewater,2017,4.28,OF
403,Treated municipal wastewater discharged (secondary water),2002,1.8873333333,I
404,Treated municipal wastewater discharged (secondary water),2007,2.1215,I
405,Treated municipal wastewater discharged (secondary water),2012,2.277,I
406,Treated municipal wastewater discharged (secondary water),2017,2.277,I
407,Treated municipal wastewater discharged (secondary water),2018,2.277,I
408,Not treated municipal wastewater discharged (secondary water),1997,6.8,I
409,Not treated municipal wastewater discharged (secondary water),2002,6.8,I
410,Not treated municipal wastewater discharged (secondary water),2007,6.8,I
411,Not treated municipal wastewater discharged (secondary water),2012,6.8,I
412,Not treated municipal wastewater discharged (secondary water),2017,6.8,I
413,Not treated municipal wastewater discharged (secondary water),2018,6.8,I
414,Direct use of not treated municipal wastewater for irrigation purposes,2007,4.33,I
415,Direct use of not treated municipal wastewater for irrigation purposes,2012,4.33,I
416,Direct use of not treated municipal wastewater for irrigation purposes,2017,4.33,I
417,Direct use of not treated municipal wastewater for irrigation purposes,2018,4.33,I
430,SDG 6.4.2. Water Stress,1982,21.452610663,E
431,SDG 6.4.2. Water Stress,1987,22.5967785497,E
432,SDG 6.4.2. Water Stress,1992,23.7409464363,E
433,SDG 6.4.2. Water Stress,1997,24.885114323,E
434,SDG 6.4.2. Water Stress,2002,27.1205005477,E
435,SDG 6.4.2. Water Stress,2007,29.5024532237,E
436,SDG 6.4.2. Water Stress,2012,31.0329047069,E
437,SDG 6.4.2. Water Stress,2017,32.9497201674,E
438,SDG 6.4.1. Water Use Efficiency,2002,11.1318036512,I
439,SDG 6.4.1. Water Use Efficiency,2006,11.975912684,E
440,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.1970558658,E
441,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.1750423142,E
442,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,0.1710538126,E
443,SDG 6.4.1. Industrial Water Use Efficiency,2002,39.1346789626,E
444,SDG 6.4.1. Industrial Water Use Efficiency,2006,44.1855199314,E
445,SDG 6.4.1. Industrial Water Use Efficiency,2012,47.4816152608,E
446,SDG 6.4.1. Industrial Water Use Efficiency,2015,42.4968690096,E
447,SDG 6.4.1. Services Water Use Efficiency,2002,55.0333110845,E
448,SDG 6.4.1. Services Water Use Efficiency,2006,55.8356738782,E
449,SDG 6.4.1. Services Water Use Efficiency,2012,55.7952986237,E
450,SDG 6.4.1. Services Water Use Efficiency,2015,58.7260416667,E
451,Area salinized by irrigation,1997,384.2,I
452,Area salinized by irrigation,2002,384.2,I
453,Area salinized by irrigation,2007,384.2,I
454,Area salinized by irrigation,2012,384.2,I
455,Area salinized by irrigation,2017,384.2,I
456,Area salinized by irrigation,2018,384.2,I
457,Harvested irrigated temporary crop area: Wheat,1997,642.75,I
458,Harvested irrigated temporary crop area: Wheat,2002,619.875,I
459,Harvested irrigated temporary crop area: Wheat,2007,597.0,E
460,Harvested irrigated temporary crop area: Wheat,2012,597.0,I
461,Harvested irrigated temporary crop area: Wheat,2017,597.0,I
462,Harvested irrigated temporary crop area: Wheat,2018,597.0,I
463,Harvested irrigated temporary crop area: Rice,1997,45.9083333333,I
464,Harvested irrigated temporary crop area: Rice,2002,55.9541666667,I
465,Harvested irrigated temporary crop area: Rice,2007,66.0,E
466,Harvested irrigated temporary crop area: Rice,2012,66.0,I
467,Harvested irrigated temporary crop area: Rice,2017,66.0,I
468,Harvested irrigated temporary crop area: Rice,2018,66.0,I
469,Harvested irrigated temporary crop area: Barley,2007,195.0,E
470,Harvested irrigated temporary crop area: Barley,2012,195.0,I
471,Harvested irrigated temporary crop area: Barley,2017,195.0,I
472,Harvested irrigated temporary crop area: Barley,2018,195.0,I
473,Harvested irrigated temporary crop area: Maize,1997,1414.8333333333,I
474,Harvested irrigated temporary crop area: Maize,2002,1381.9166666667,I
475,Harvested irrigated temporary crop area: Maize,2007,1349.0,E
476,Harvested irrigated temporary crop area: Maize,2012,1349.0,I
477,Harvested irrigated temporary crop area: Maize,2017,1349.0,I
478,Harvested irrigated temporary crop area: Maize,2018,1349.0,I
479,Harvested irrigated temporary crop area: Sorghum,1997,386.25,I
480,Harvested irrigated temporary crop area: Sorghum,2002,552.125,I
481,Harvested irrigated temporary crop area: Sorghum,2007,718.0,E
482,Harvested irrigated temporary crop area: Sorghum,2012,718.0,I
483,Harvested irrigated temporary crop area: Sorghum,2017,718.0,I
484,Harvested irrigated temporary crop area: Sorghum,2018,718.0,I
485,Harvested irrigated temporary crop area: Other cereals,2007,55.0,E
486,Harvested irrigated temporary crop area: Other cereals,2012,3208.0,I
487,Harvested irrigated temporary crop area: Other cereals,2017,3208.0,I
488,Harvested irrigated temporary crop area: Other cereals,2018,3208.0,I
489,Harvested irrigated temporary crop area: Sugarcane,1997,239.1545454545,I
490,Harvested irrigated temporary crop area: Sugarcane,2002,284.7909090909,I
491,Harvested irrigated temporary crop area: Sugarcane,2007,300.3666666667,I
492,Harvested irrigated temporary crop area: Sugarcane,2012,258.5,I
493,Harvested irrigated temporary crop area: Sugarcane,2017,258.5,I
494,Harvested irrigated temporary crop area: Sugarcane,2018,258.5,I
495,Harvested irrigated temporary crop area: Leguminous crops,1997,300.0,I
496,Harvested irrigated temporary crop area: Leguminous crops,2002,300.0,I
497,Harvested irrigated temporary crop area: Leguminous crops,2007,300.0,I
498,Harvested irrigated temporary crop area: Leguminous crops,2012,300.0,I
499,Harvested irrigated temporary crop area: Leguminous crops,2017,300.0,I
500,Harvested irrigated temporary crop area: Leguminous crops,2018,300.0,I
501,Harvested irrigated temporary crop area: Vegetables,2007,546.1,I
502,Harvested irrigated temporary crop area: Vegetables,2012,513.9,I
503,Harvested irrigated temporary crop area: Vegetables,2017,513.9,I
504,Harvested irrigated temporary crop area: Vegetables,2018,513.9,I
505,Harvested irrigated permanent crop area: Citrus,2007,190.7666666667,I
506,Harvested irrigated permanent crop area: Citrus,2012,182.3,I
507,Harvested irrigated permanent crop area: Citrus,2017,182.3,I
508,Harvested irrigated permanent crop area: Citrus,2018,182.3,I
509,Harvested irrigated temporary crop area: Cotton,2007,126.5333333333,I
510,Harvested irrigated temporary crop area: Cotton,2012,157.8,I
511,Harvested irrigated temporary crop area: Cotton,2017,157.8,I
512,Harvested irrigated temporary crop area: Cotton,2018,157.8,I
513,Harvested irrigated temporary crop area: Fodder,1997,243.8,I
514,Harvested irrigated temporary crop area: Fodder,2002,243.8,I
515,Harvested irrigated temporary crop area: Fodder,2007,243.8,I
516,Harvested irrigated temporary crop area: Fodder,2012,243.8,I
517,Harvested irrigated temporary crop area: Fodder,2017,243.8,I
518,Harvested irrigated temporary crop area: Fodder,2018,243.8,I
519,Harvested irrigated temporary crop area: Soybeans,2007,82.7533333333,I
520,Harvested irrigated temporary crop area: Soybeans,2012,76.84,I
521,Harvested irrigated temporary crop area: Soybeans,2017,76.84,I
522,Harvested irrigated temporary crop area: Soybeans,2018,76.84,I
523,Harvested irrigated temporary crop area: Flowers,2007,8.9936666667,I
524,Harvested irrigated temporary crop area: Flowers,2012,8.033,I
525,Harvested irrigated temporary crop area: Flowers,2017,8.033,I
526,Harvested irrigated temporary crop area: Flowers,2018,8.033,I
527,Harvested irrigated temporary crop area: Other crops,1997,199.9363636364,I
528,Harvested irrigated temporary crop area: Other crops,2002,147.5272727273,I
529,Harvested irrigated temporary crop area: Other crops,2007,91.0766666667,I
530,Harvested irrigated temporary crop area: Other crops,2012,62.03,I
531,Harvested irrigated temporary crop area: Other crops,2017,62.03,I
532,Harvested irrigated temporary crop area: Other crops,2018,62.03,I
