Puerto Rico,Variable Name,Year,Value,Symbol
184,Total internal renewable water resources (IRWR),1987,7.1,OF
185,Total internal renewable water resources (IRWR),1992,7.1,OF
186,Total internal renewable water resources (IRWR),1997,7.1,OF
187,Total internal renewable water resources (IRWR),2002,7.1,OF
188,Total internal renewable water resources (IRWR),2007,7.1,OF
189,Total internal renewable water resources (IRWR),2012,7.1,OF
190,Total internal renewable water resources (IRWR),2017,7.1,OF
191,Total internal renewable water resources per capita,1962,2985.2327682694,E
192,Total internal renewable water resources per capita,1967,2772.3112485553,E
193,Total internal renewable water resources per capita,1972,2623.9599325014,E
194,Total internal renewable water resources per capita,1977,2410.1694213319,E
195,Total internal renewable water resources per capita,1982,2240.9189914097,E
196,Total internal renewable water resources per capita,1987,2139.305551287,E
197,Total internal renewable water resources per capita,1992,2046.6592179802,E
198,Total internal renewable water resources per capita,1997,1960.2976228768,E
199,Total internal renewable water resources per capita,2002,1937.5994725363,E
200,Total internal renewable water resources per capita,2007,1963.3109718666,E
201,Total internal renewable water resources per capita,2012,2007.5937942166,E
202,Total internal renewable water resources per capita,2017,2244.2311406352,E
203,Total internal renewable water resources per capita,2018,2335.8367361978,E
204,Total renewable surface water,1962,0.0,E
205,Total renewable surface water,1967,0.0,E
206,Total renewable surface water,1972,0.0,E
207,Total renewable surface water,1977,0.0,E
208,Total renewable surface water,1982,0.0,E
209,Total renewable surface water,1987,0.0,E
210,Total renewable surface water,1992,0.0,E
211,Total renewable surface water,1997,0.0,E
212,Total renewable surface water,2002,0.0,E
213,Total renewable surface water,2007,0.0,E
214,Total renewable surface water,2012,0.0,E
215,Total renewable surface water,2017,0.0,E
216,Total renewable surface water,2018,0.0,E
217,Total renewable groundwater,1962,0.0,E
218,Total renewable groundwater,1967,0.0,E
219,Total renewable groundwater,1972,0.0,E
220,Total renewable groundwater,1977,0.0,E
221,Total renewable groundwater,1982,0.0,E
222,Total renewable groundwater,1987,0.0,E
223,Total renewable groundwater,1992,0.0,E
224,Total renewable groundwater,1997,0.0,E
225,Total renewable groundwater,2002,0.0,E
226,Total renewable groundwater,2007,0.0,E
227,Total renewable groundwater,2012,0.0,E
228,Total renewable groundwater,2017,0.0,E
229,Total renewable groundwater,2018,0.0,E
230,Water resources: total external renewable,1962,0.0,E
231,Water resources: total external renewable,1967,0.0,E
232,Water resources: total external renewable,1972,0.0,E
233,Water resources: total external renewable,1977,0.0,E
234,Water resources: total external renewable,1982,0.0,E
235,Water resources: total external renewable,1987,0.0,E
236,Water resources: total external renewable,1992,0.0,E
237,Water resources: total external renewable,1997,0.0,E
238,Water resources: total external renewable,2002,0.0,E
239,Water resources: total external renewable,2007,0.0,E
240,Water resources: total external renewable,2012,0.0,E
241,Water resources: total external renewable,2017,0.0,E
242,Water resources: total external renewable,2018,0.0,E
243,Total renewable water resources,1962,7.1,OF
244,Total renewable water resources,1967,7.1,OF
245,Total renewable water resources,1972,7.1,OF
246,Total renewable water resources,1977,7.1,OF
247,Total renewable water resources,1982,7.1,OF
248,Total renewable water resources,1987,7.1,OF
249,Total renewable water resources,1992,7.1,OF
250,Total renewable water resources,1997,7.1,OF
251,Total renewable water resources,2002,7.1,OF
252,Total renewable water resources,2007,7.1,OF
253,Total renewable water resources,2012,7.1,OF
254,Total renewable water resources,2017,7.1,OF
255,Total renewable water resources per capita,1962,2985.2327682694,E
256,Total renewable water resources per capita,1967,2772.3112485553,E
257,Total renewable water resources per capita,1972,2623.9599325014,E
258,Total renewable water resources per capita,1977,2410.1694213319,E
259,Total renewable water resources per capita,1982,2240.9189914097,E
260,Total renewable water resources per capita,1987,2139.305551287,E
261,Total renewable water resources per capita,1992,2046.6592179802,E
262,Total renewable water resources per capita,1997,1960.2976228768,E
263,Total renewable water resources per capita,2002,1937.5994725363,E
264,Total renewable water resources per capita,2007,1963.3109718666,E
265,Total renewable water resources per capita,2012,2007.5937942166,E
266,Total renewable water resources per capita,2017,2244.2311406352,E
267,Total renewable water resources per capita,2018,2335.8367361978,E
268,Total agricultural water managed area,1992,4.9658,E
269,Total agricultural water managed area,1997,3.2153,E
270,Total agricultural water managed area,2002,21.8948,I
271,Total agricultural water managed area,2007,22.04,I
272,Total agricultural water managed area,2012,22.04,I
273,Total agricultural water managed area,2017,22.04,I
274,Total agricultural water managed area,2018,22.04,I
275,Area equipped for irrigation: total,1992,4.9658,E
276,Area equipped for irrigation: total,1997,3.2153,E
277,Area equipped for irrigation: total,2002,21.8948,I
278,Area equipped for irrigation: total,2007,22.04,I
279,Area equipped for irrigation: total,2012,22.04,I
280,Area equipped for irrigation: total,2017,22.04,I
281,Area equipped for irrigation: total,2018,22.04,I
282,% of agricultural GVA produced by irrigated agriculture,2007,32.557285693,E
283,% of agricultural GVA produced by irrigated agriculture,2012,31.2122124997,E
284,% of agricultural GVA produced by irrigated agriculture,2017,38.0855145488,E
285,% of agricultural GVA produced by irrigated agriculture,2018,39.701756475,E
287,Ratio between rainfed and irrigated yields,1966,1.778,I
288,Ratio between rainfed and irrigated yields,1971,1.778,I
289,Ratio between rainfed and irrigated yields,1976,1.778,I
290,Ratio between rainfed and irrigated yields,1981,1.778,I
291,Ratio between rainfed and irrigated yields,1986,1.778,I
292,Ratio between rainfed and irrigated yields,1991,1.778,I
293,Ratio between rainfed and irrigated yields,1996,1.778,I
294,Ratio between rainfed and irrigated yields,2001,1.778,I
295,Ratio between rainfed and irrigated yields,2007,1.778,I
296,Ratio between rainfed and irrigated yields,2011,1.778,I
297,Ratio between rainfed and irrigated yields,2017,1.778,I
298,Ratio between rainfed and irrigated yields,2018,1.778,I
299,Agricultural water withdrawal as % of total renewable water resources,1992,2.6923943662,I
300,Agricultural water withdrawal as % of total renewable water resources,1997,2.1592957746,I
301,Agricultural water withdrawal as % of total renewable water resources,2002,1.52,I
302,Agricultural water withdrawal as % of total renewable water resources,2007,0.9856338028,I
303,Agricultural water withdrawal as % of total renewable water resources,2012,1.1811267606,I
304,Agricultural water withdrawal as % of total renewable water resources,2017,1.5985915493,I
305,Agricultural water withdrawal as % of total renewable water resources,2018,1.5985915493,I
306,Agricultural water withdrawal,1992,0.19116,I
307,Agricultural water withdrawal,1997,0.15331,I
308,Agricultural water withdrawal,2002,0.10792,I
309,Agricultural water withdrawal,2007,0.06998,I
310,Agricultural water withdrawal,2012,0.08386,I
311,Agricultural water withdrawal,2017,0.1135,I
312,Agricultural water withdrawal,2018,0.1135,I
313,Irrigation water requirement,2007,0.0483,E
314,Irrigation water requirement,2012,0.0483,I
315,Irrigation water requirement,2017,0.0483,I
316,Irrigation water requirement,2018,0.0483,I
317,Irrigation water withdrawal,1992,0.18196,I
318,Irrigation water withdrawal,1997,0.14986,I
319,Irrigation water withdrawal,2002,0.10332,I
320,Irrigation water withdrawal,2007,0.05856,I
321,Irrigation water withdrawal,2012,0.0528,I
322,Irrigation water withdrawal,2017,0.0528,I
323,Irrigation water withdrawal,2018,0.0528,I
324,Municipal water withdrawal,1992,0.5971,I
325,Municipal water withdrawal,1997,0.6676,I
326,Municipal water withdrawal,2002,0.78742,I
327,Municipal water withdrawal,2007,0.91766,I
328,Municipal water withdrawal,2012,0.88156,I
329,Municipal water withdrawal,2017,0.796,I
330,Municipal water withdrawal,2018,0.796,I
331,Industrial water withdrawal,1992,3.3562,I
332,Industrial water withdrawal,1997,3.1592,I
333,Industrial water withdrawal,2002,3.0982,I
334,Industrial water withdrawal,2007,3.1704,I
335,Industrial water withdrawal,2012,2.836,I
336,Industrial water withdrawal,2017,2.365,I
337,Industrial water withdrawal,2018,2.365,I
338,Total water withdrawal,1992,4.14446,I
339,Total water withdrawal,1997,3.98011,I
340,Total water withdrawal,2002,3.99354,I
341,Total water withdrawal,2007,4.15804,I
342,Total water withdrawal,2012,3.80142,I
343,Total water withdrawal,2017,3.2745,I
344,Total water withdrawal,2018,3.2745,I
345,Fresh surface water withdrawal,1992,0.59696,I
346,Fresh surface water withdrawal,1997,0.64086,I
347,Fresh surface water withdrawal,2002,0.71848,I
348,Fresh surface water withdrawal,2007,0.81484,I
349,Fresh surface water withdrawal,2012,0.7996,I
350,Fresh surface water withdrawal,2017,0.733,I
351,Fresh surface water withdrawal,2018,0.733,I
352,Fresh groundwater withdrawal,1992,0.21232,I
353,Fresh groundwater withdrawal,1997,0.19787,I
354,Fresh groundwater withdrawal,2002,0.19472,I
355,Fresh groundwater withdrawal,2007,0.19088,I
356,Fresh groundwater withdrawal,2012,0.16042,I
357,Fresh groundwater withdrawal,2017,0.142,I
358,Fresh groundwater withdrawal,2018,0.142,I
359,Total freshwater withdrawal,1992,0.80936,I
360,Total freshwater withdrawal,1997,0.83876,I
361,Total freshwater withdrawal,2002,0.9132,I
362,Total freshwater withdrawal,2007,1.00584,I
363,Total freshwater withdrawal,2012,0.9602,I
364,Total freshwater withdrawal,2017,0.875,I
365,Total freshwater withdrawal,2018,0.875,I
366,Environmental Flow Requirements,1962,2.621,X
367,Environmental Flow Requirements,1967,2.621,X
368,Environmental Flow Requirements,1972,2.621,X
369,Environmental Flow Requirements,1977,2.621,X
370,Environmental Flow Requirements,1982,2.621,X
371,Environmental Flow Requirements,1987,2.621,X
372,Environmental Flow Requirements,1992,2.621,X
373,Environmental Flow Requirements,1997,2.621,X
374,Environmental Flow Requirements,2002,2.621,X
375,Environmental Flow Requirements,2007,2.621,X
376,Environmental Flow Requirements,2012,2.621,X
377,Environmental Flow Requirements,2017,2.621,X
378,SDG 6.4.2. Water Stress,1992,18.0701049341,E
379,SDG 6.4.2. Water Stress,1997,18.7265014512,E
380,SDG 6.4.2. Water Stress,2002,20.3884795713,E
381,SDG 6.4.2. Water Stress,2007,22.4567983925,E
382,SDG 6.4.2. Water Stress,2012,21.4378209422,E
383,SDG 6.4.2. Water Stress,2017,19.5356106274,E
384,SDG 6.4.2. Water Stress,2018,19.5356106274,E
385,SDG 6.4.1. Water Use Efficiency,2007,26.7530088354,I
386,SDG 6.4.1. Water Use Efficiency,2012,27.5862469034,I
387,SDG 6.4.1. Water Use Efficiency,2015,31.2884868783,I
388,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,2.4820917816,E
389,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,3.1729561192,E
390,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,2.6823813492,E
391,SDG 6.4.1. Industrial Water Use Efficiency,1992,9.6756892744,E
392,SDG 6.4.1. Industrial Water Use Efficiency,1997,12.4189378295,E
393,SDG 6.4.1. Industrial Water Use Efficiency,2002,16.7624905144,E
394,SDG 6.4.1. Industrial Water Use Efficiency,2007,15.5149027827,E
395,SDG 6.4.1. Industrial Water Use Efficiency,2012,17.7991752135,E
396,SDG 6.4.1. Industrial Water Use Efficiency,2015,21.3755179704,E
397,SDG 6.4.1. Services Water Use Efficiency,1992,67.7422844601,E
398,SDG 6.4.1. Services Water Use Efficiency,1997,76.0157058515,E
399,SDG 6.4.1. Services Water Use Efficiency,2002,73.9415217189,E
400,SDG 6.4.1. Services Water Use Efficiency,2007,67.4289912646,E
401,SDG 6.4.1. Services Water Use Efficiency,2012,61.3938537341,E
402,SDG 6.4.1. Services Water Use Efficiency,2015,64.8198492462,E
403,Harvested irrigated temporary crop area: Rice,2012,4.64,I
404,Harvested irrigated temporary crop area: Rice,2017,4.64,I
405,Harvested irrigated temporary crop area: Rice,2018,4.64,I
406,Harvested irrigated temporary crop area: Sugarcane,2012,7.424,I
407,Harvested irrigated temporary crop area: Sugarcane,2017,7.424,I
408,Harvested irrigated temporary crop area: Sugarcane,2018,7.424,I
409,Harvested irrigated temporary crop area: Vegetables,2012,1.392,I
410,Harvested irrigated temporary crop area: Vegetables,2017,1.392,I
411,Harvested irrigated temporary crop area: Vegetables,2018,1.392,I
