Saudi Arabia,Variable Name,Year,Value,Symbol
90,"Agriculture, value added (% GDP)",1972,2.816058,X
91,"Agriculture, value added (% GDP)",1977,1.172372,X
92,"Agriculture, value added (% GDP)",1982,1.593653,X
93,"Agriculture, value added (% GDP)",1987,5.705899,X
94,"Agriculture, value added (% GDP)",1992,5.606805,X
95,"Agriculture, value added (% GDP)",1997,5.37381,X
96,"Agriculture, value added (% GDP)",2002,5.077337,X
97,"Agriculture, value added (% GDP)",2007,2.770159,X
98,"Agriculture, value added (% GDP)",2012,2.079346,X
99,"Agriculture, value added (% GDP)",2017,2.528473,X
100,"Agriculture, value added to GDP",1969,220666667.0,X
101,Number of people undernourished (3-year average),2001,1300.0,X
102,Number of people undernourished (3-year average),2007,1100.0,X
103,Number of people undernourished (3-year average),2012,1500.0,X
104,Number of people undernourished (3-year average),2013,1600.0,X
105,Prevalence of undernourishment (3-year average),2001,6.1,X
106,Prevalence of undernourishment (3-year average),2006,4.8,X
107,Prevalence of undernourishment (3-year average),2012,5.4,X
108,Total population with access to safe drinking-water (JMP),1992,92.3,X
109,Total population with access to safe drinking-water (JMP),1997,94.0,X
110,Total population with access to safe drinking-water (JMP),2002,95.7,X
111,Total population with access to safe drinking-water (JMP),2007,97.0,X
112,Total population with access to safe drinking-water (JMP),2012,97.0,X
113,Total population with access to safe drinking-water (JMP),2017,97.0,I
114,Total population with access to safe drinking-water (JMP),2018,97.0,I
115,Long-term average annual precipitation in volume,1962,126.83171,E
116,Long-term average annual precipitation in volume,1967,126.83171,E
117,Long-term average annual precipitation in volume,1972,126.83171,E
118,Long-term average annual precipitation in volume,1977,126.83171,E
119,Long-term average annual precipitation in volume,1982,126.83171,E
120,Long-term average annual precipitation in volume,1987,126.83171,E
121,Long-term average annual precipitation in volume,1992,126.83171,E
122,Long-term average annual precipitation in volume,1997,126.83171,E
123,Long-term average annual precipitation in volume,2002,126.83171,E
124,Long-term average annual precipitation in volume,2007,126.83171,E
125,Long-term average annual precipitation in volume,2012,126.83171,E
126,Long-term average annual precipitation in volume,2017,126.83171,E
127,Long-term average annual precipitation in volume,2018,126.83171,E
128,Interannual variability (WRI),2017,3.5,I
129,Interannual variability (WRI),2018,3.5,I
130,Seasonal variability (WRI),2017,1.6,I
131,Seasonal variability (WRI),2018,1.6,I
132,Flood occurrence (WRI),2017,1.2,I
133,Flood occurrence (WRI),2018,1.2,I
134,Surface water: entering the country (total),1962,0.0,OF
135,Surface water: entering the country (total),1967,0.0,OF
136,Surface water: entering the country (total),1972,0.0,OF
137,Surface water: entering the country (total),1977,0.0,OF
138,Surface water: entering the country (total),1982,0.0,OF
139,Surface water: entering the country (total),1987,0.0,OF
140,Surface water: entering the country (total),1992,0.0,OF
141,Surface water: entering the country (total),1997,0.0,OF
142,Surface water: entering the country (total),2002,0.0,OF
143,Surface water: entering the country (total),2007,0.0,OF
144,Surface water: entering the country (total),2012,0.0,OF
145,Surface water: entering the country (total),2017,0.0,OF
146,Groundwater: entering the country (total),1962,0.0,OF
147,Groundwater: entering the country (total),1967,0.0,OF
148,Groundwater: entering the country (total),1972,0.0,OF
149,Groundwater: entering the country (total),1977,0.0,OF
150,Groundwater: entering the country (total),1982,0.0,OF
151,Groundwater: entering the country (total),1987,0.0,OF
152,Groundwater: entering the country (total),1992,0.0,OF
153,Groundwater: entering the country (total),1997,0.0,OF
154,Groundwater: entering the country (total),2002,0.0,OF
155,Groundwater: entering the country (total),2007,0.0,OF
156,Groundwater: entering the country (total),2012,0.0,OF
157,Groundwater: entering the country (total),2017,0.0,OF
158,Groundwater: leaving the country to other countries (total),1961,0.394,OF
159,Groundwater: leaving the country to other countries (total),1966,0.394,OF
160,Groundwater: leaving the country to other countries (total),1971,0.394,OF
161,Groundwater: leaving the country to other countries (total),1976,0.394,OF
162,Groundwater: leaving the country to other countries (total),1981,0.394,OF
163,Groundwater: leaving the country to other countries (total),1986,0.394,OF
164,Groundwater: leaving the country to other countries (total),1991,0.394,OF
165,Groundwater: leaving the country to other countries (total),1996,0.394,OF
166,Groundwater: leaving the country to other countries (total),2001,0.394,OF
167,Groundwater: leaving the country to other countries (total),2006,0.394,OF
169,Groundwater: leaving the country to other countries (total),2017,0.394,OF
170,Dependency ratio,1962,0.0,E
171,Dependency ratio,1967,0.0,E
172,Dependency ratio,1972,0.0,E
173,Dependency ratio,1977,0.0,E
174,Dependency ratio,1982,0.0,E
175,Dependency ratio,1987,0.0,E
176,Dependency ratio,1992,0.0,E
177,Dependency ratio,1997,0.0,E
178,Dependency ratio,2002,0.0,E
179,Dependency ratio,2007,0.0,E
180,Dependency ratio,2012,0.0,E
181,Dependency ratio,2017,0.0,E
182,Dependency ratio,2018,0.0,E
183,Total internal renewable water resources (IRWR),1962,2.4,E
184,Total internal renewable water resources (IRWR),1967,2.4,E
185,Total internal renewable water resources (IRWR),1972,2.4,E
186,Total internal renewable water resources (IRWR),1977,2.4,E
187,Total internal renewable water resources (IRWR),1982,2.4,E
188,Total internal renewable water resources (IRWR),1987,2.4,E
189,Total internal renewable water resources (IRWR),1992,2.4,E
190,Total internal renewable water resources (IRWR),1997,2.4,E
191,Total internal renewable water resources (IRWR),2002,2.4,E
192,Total internal renewable water resources (IRWR),2007,2.4,E
193,Total internal renewable water resources (IRWR),2012,2.4,E
194,Total internal renewable water resources (IRWR),2017,2.4,E
195,Total internal renewable water resources (IRWR),2018,2.4,E
196,Total internal renewable water resources per capita,1962,550.107202141,E
197,Total internal renewable water resources per capita,1967,461.970670637,E
198,Total internal renewable water resources per capita,1972,375.4123670219,E
199,Total internal renewable water resources per capita,1977,292.4084551367,E
200,Total internal renewable water resources per capita,1982,218.4031399819,E
201,Total internal renewable water resources per capita,1987,166.1397383341,E
202,Total internal renewable water resources per capita,1992,138.8672632057,E
203,Total internal renewable water resources per capita,1997,123.6658133382,E
204,Total internal renewable water resources per capita,2002,110.064918582,E
205,Total internal renewable water resources per capita,2007,95.2963432371,E
206,Total internal renewable water resources per capita,2012,82.3189240917,E
207,Total internal renewable water resources per capita,2017,72.5049702912,E
208,Total internal renewable water resources per capita,2018,71.2107935624,E
209,Total renewable surface water,1962,2.2,E
210,Total renewable surface water,1967,2.2,E
211,Total renewable surface water,1972,2.2,E
212,Total renewable surface water,1977,2.2,E
213,Total renewable surface water,1982,2.2,E
214,Total renewable surface water,1987,2.2,E
215,Total renewable surface water,1992,2.2,E
216,Total renewable surface water,1997,2.2,E
217,Total renewable surface water,2002,2.2,E
218,Total renewable surface water,2007,2.2,E
219,Total renewable surface water,2012,2.2,E
220,Total renewable surface water,2017,2.2,E
221,Total renewable surface water,2018,2.2,E
222,Total renewable groundwater,1962,2.2,E
223,Total renewable groundwater,1967,2.2,E
224,Total renewable groundwater,1972,2.2,E
225,Total renewable groundwater,1977,2.2,E
226,Total renewable groundwater,1982,2.2,E
227,Total renewable groundwater,1987,2.2,E
228,Total renewable groundwater,1992,2.2,E
229,Total renewable groundwater,1997,2.2,E
230,Total renewable groundwater,2002,2.2,E
231,Total renewable groundwater,2007,2.2,E
232,Total renewable groundwater,2012,2.2,E
233,Total renewable groundwater,2017,2.2,E
234,Total renewable groundwater,2018,2.2,E
235,Water resources: total external renewable,1962,0.0,E
236,Water resources: total external renewable,1967,0.0,E
237,Water resources: total external renewable,1972,0.0,E
238,Water resources: total external renewable,1977,0.0,E
239,Water resources: total external renewable,1982,0.0,E
240,Water resources: total external renewable,1987,0.0,E
241,Water resources: total external renewable,1992,0.0,E
242,Water resources: total external renewable,1997,0.0,E
243,Water resources: total external renewable,2002,0.0,E
244,Water resources: total external renewable,2007,0.0,E
245,Water resources: total external renewable,2012,0.0,E
246,Water resources: total external renewable,2017,0.0,E
247,Water resources: total external renewable,2018,0.0,E
248,Total renewable water resources,1962,2.4,E
249,Total renewable water resources,1967,2.4,E
250,Total renewable water resources,1972,2.4,E
251,Total renewable water resources,1977,2.4,E
252,Total renewable water resources,1982,2.4,E
253,Total renewable water resources,1987,2.4,E
254,Total renewable water resources,1992,2.4,E
255,Total renewable water resources,1997,2.4,E
256,Total renewable water resources,2002,2.4,E
257,Total renewable water resources,2007,2.4,E
258,Total renewable water resources,2012,2.4,E
259,Total renewable water resources,2017,2.4,E
260,Total renewable water resources,2018,2.4,E
261,Total renewable water resources per capita,1962,550.107202141,E
262,Total renewable water resources per capita,1967,461.970670637,E
263,Total renewable water resources per capita,1972,375.4123670219,E
264,Total renewable water resources per capita,1977,292.4084551367,E
265,Total renewable water resources per capita,1982,218.4031399819,E
266,Total renewable water resources per capita,1987,166.1397383341,E
267,Total renewable water resources per capita,1992,138.8672632057,E
268,Total renewable water resources per capita,1997,123.6658133382,E
269,Total renewable water resources per capita,2002,110.064918582,E
270,Total renewable water resources per capita,2007,95.2963432371,E
271,Total renewable water resources per capita,2012,82.3189240917,E
272,Total renewable water resources per capita,2017,72.5049702912,E
273,Total renewable water resources per capita,2018,71.2107935624,E
274,Total agricultural water managed area,1992,1608.0,E
275,Total agricultural water managed area,1997,1613.0,I
276,Total agricultural water managed area,2002,1618.0,I
277,Total agricultural water managed area,2004,1620.0,E
278,Area equipped for irrigation: total,1992,1608.0,E
279,Area equipped for irrigation: total,1997,1613.0,I
280,Area equipped for irrigation: total,2002,1618.0,I
281,Area equipped for irrigation: total,2004,1620.0,E
282,% of agricultural GVA produced by irrigated agriculture,1962,100.0,E
283,% of agricultural GVA produced by irrigated agriculture,1967,100.0,E
284,% of agricultural GVA produced by irrigated agriculture,1972,100.0,E
285,% of agricultural GVA produced by irrigated agriculture,1977,100.0,E
286,% of agricultural GVA produced by irrigated agriculture,1982,100.0,E
287,% of agricultural GVA produced by irrigated agriculture,1987,100.0,E
288,% of agricultural GVA produced by irrigated agriculture,1992,100.0,E
289,% of agricultural GVA produced by irrigated agriculture,1997,100.0,E
290,% of agricultural GVA produced by irrigated agriculture,2002,100.0,E
291,% of agricultural GVA produced by irrigated agriculture,2007,100.0,E
292,% of agricultural GVA produced by irrigated agriculture,2012,100.0,E
293,% of agricultural GVA produced by irrigated agriculture,2017,100.0,I
294,% of agricultural GVA produced by irrigated agriculture,2018,100.0,I
295,Agricultural water withdrawal as % of total renewable water resources,1992,637.9166666667,E
296,Agricultural water withdrawal as % of total renewable water resources,1997,717.0833333333,I
297,Agricultural water withdrawal as % of total renewable water resources,2002,796.25,I
298,Agricultural water withdrawal as % of total renewable water resources,2007,844.8611111111,I
299,Agricultural water withdrawal as % of total renewable water resources,2012,729.5833333333,E
300,Agricultural water withdrawal as % of total renewable water resources,2017,800.0,E
301,Agricultural water withdrawal as % of total renewable water resources,2018,791.6666666667,E
302,Agricultural water withdrawal,1992,15.31,OF
303,Agricultural water withdrawal,1997,17.21,I
304,Agricultural water withdrawal,2002,19.11,I
305,Agricultural water withdrawal,2007,20.2766666667,I
306,Agricultural water withdrawal,2012,17.51,
307,Agricultural water withdrawal,2017,19.2,
308,Irrigation water requirement,2007,11.6,I
309,Irrigation water requirement,2012,11.6,I
310,Irrigation water requirement,2017,11.6,I
311,Irrigation water requirement,2018,11.6,I
312,Municipal water withdrawal,1992,1.517,OF
313,Municipal water withdrawal,1997,1.992,I
314,Municipal water withdrawal,2002,2.1535,I
315,Municipal water withdrawal,2007,2.1961666667,I
316,Municipal water withdrawal,2012,2.527,
317,Municipal water withdrawal,2017,3.15,
318,Industrial water withdrawal,1992,0.193,OF
319,Industrial water withdrawal,1997,0.2534375,I
320,Industrial water withdrawal,2002,0.44885,I
321,Industrial water withdrawal,2007,0.7321666667,I
322,Industrial water withdrawal,2012,0.843,
323,Industrial water withdrawal,2017,1.0,
324,Total water withdrawal,1992,17.02,E
325,Total water withdrawal,1997,19.4554375,E
326,Total water withdrawal,2002,21.71235,E
327,Total water withdrawal,2007,23.205,I
328,Total water withdrawal,2012,20.88,E
329,Total water withdrawal,2017,23.35,E
330,Fresh surface water withdrawal,2007,0.9508333333,I
331,Fresh surface water withdrawal,2012,0.205,OF
332,Fresh surface water withdrawal,2017,0.19,OF
333,Fresh groundwater withdrawal,2007,21.51625,I
334,Fresh groundwater withdrawal,2012,21.3975,I
335,Fresh groundwater withdrawal,2017,21.01,OF
336,Total freshwater withdrawal,1992,16.12,E
337,Total freshwater withdrawal,1997,18.368625,E
338,Total freshwater withdrawal,2002,20.346725,E
339,Total freshwater withdrawal,2007,22.4670833333,E
340,Total freshwater withdrawal,2012,21.6025,E
341,Total freshwater withdrawal,2017,21.2,OF
342,Desalinated water produced,1982,0.112,OF
343,Desalinated water produced,1987,0.508,OF
344,Desalinated water produced,1992,0.683,OF
345,Desalinated water produced,1997,0.727,OF
346,Desalinated water produced,2002,0.863,OF
347,Desalinated water produced,2007,1.1183333333,I
348,Desalinated water produced,2012,1.545,OF
349,Desalinated water produced,2017,2.18,OF
350,Desalinated water produced,2018,2.18,I
351,Direct use of treated municipal wastewater,1992,0.217,
352,Direct use of treated municipal wastewater,1997,0.3598125,I
353,Direct use of treated municipal wastewater,2002,0.502625,I
354,Direct use of treated municipal wastewater,2007,0.6454375,I
355,Direct use of treated municipal wastewater,2012,0.194,OF
356,Direct use of treated municipal wastewater,2017,0.254,OF
357,Direct use of treated municipal wastewater,2018,0.254,I
358,Produced municipal wastewater,2002,0.9852,I
359,Produced municipal wastewater,2007,1.3357,I
360,Produced municipal wastewater,2012,1.546,I
361,Produced municipal wastewater,2017,1.546,I
362,Produced municipal wastewater,2018,1.546,I
363,Collected municipal wastewater,2012,1.144,I
364,Collected municipal wastewater,2017,1.144,I
365,Collected municipal wastewater,2018,1.144,I
366,Not treated municipal wastewater,2002,0.2334,I
367,Not treated municipal wastewater,2007,0.3894,I
368,Not treated municipal wastewater,2012,0.483,I
369,Not treated municipal wastewater,2017,0.483,I
370,Not treated municipal wastewater,2018,0.483,I
371,Treated municipal wastewater,1992,0.4642222222,I
372,Treated municipal wastewater,1997,0.5953333333,I
373,Treated municipal wastewater,2002,0.674,I
374,Treated municipal wastewater,2007,0.8962857143,I
375,Treated municipal wastewater,2012,1.274,OF
376,Treated municipal wastewater,2017,1.6,OF
377,Treated municipal wastewater,2018,1.6,I
378,Treated municipal wastewater discharged (secondary water),2007,0.0498,I
379,Treated municipal wastewater discharged (secondary water),2012,0.06,I
380,Treated municipal wastewater discharged (secondary water),2017,0.06,I
381,Treated municipal wastewater discharged (secondary water),2018,0.06,I
382,SDG 6.4.2. Water Stress,1992,671.6666666667,E
383,SDG 6.4.2. Water Stress,1997,765.359375,E
384,SDG 6.4.2. Water Stress,2002,847.7802083333,E
385,SDG 6.4.2. Water Stress,2007,936.1284722222,E
386,SDG 6.4.2. Water Stress,2012,900.1041666667,E
387,SDG 6.4.2. Water Stress,2017,883.3333333333,E
388,SDG 6.4.1. Water Use Efficiency,1992,19.9052831545,E
389,SDG 6.4.1. Water Use Efficiency,1997,18.0154705116,E
390,SDG 6.4.1. Water Use Efficiency,2001,17.1112678979,E
391,SDG 6.4.1. Water Use Efficiency,2007,20.1576363251,E
392,SDG 6.4.1. Water Use Efficiency,2012,28.2665234348,E
393,SDG 6.4.1. Water Use Efficiency,2016,27.754236862,E
394,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,1.240936008,E
395,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,1.0913397088,E
396,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2001,0.9970550434,E
397,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.6363977768,E
398,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.7010888649,E
399,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.9027195837,E
400,SDG 6.4.1. Industrial Water Use Efficiency,1992,874.2588481011,E
401,SDG 6.4.1. Industrial Water Use Efficiency,1997,675.9279925486,E
402,SDG 6.4.1. Industrial Water Use Efficiency,2001,485.2670551072,E
403,SDG 6.4.1. Industrial Water Use Efficiency,2007,393.4665762816,E
404,SDG 6.4.1. Industrial Water Use Efficiency,2012,431.4153126815,E
405,SDG 6.4.1. Industrial Water Use Efficiency,2016,272.4364498201,E
406,SDG 6.4.1. Services Water Use Efficiency,1992,99.5762896003,E
407,SDG 6.4.1. Services Water Use Efficiency,1997,80.5278130376,E
408,SDG 6.4.1. Services Water Use Efficiency,2001,75.3173297166,E
409,SDG 6.4.1. Services Water Use Efficiency,2007,75.9372302053,E
410,SDG 6.4.1. Services Water Use Efficiency,2012,84.7826809275,E
411,SDG 6.4.1. Services Water Use Efficiency,2016,118.2109581101,E
412,Area waterlogged by irrigation,1982,15.0,I
413,Area waterlogged by irrigation,1987,15.0,I
414,Area waterlogged by irrigation,1992,15.0,I
415,Area waterlogged by irrigation,1997,15.0,I
416,Area waterlogged by irrigation,2002,15.0,I
417,Area waterlogged by irrigation,2007,15.0,I
418,Area waterlogged by irrigation,2012,15.0,I
419,Area waterlogged by irrigation,2017,15.0,I
420,Area waterlogged by irrigation,2018,15.0,I
421,Harvested irrigated temporary crop area: Wheat,1992,907.3,OF
422,Harvested irrigated temporary crop area: Wheat,1997,758.3714285714,I
423,Harvested irrigated temporary crop area: Wheat,2002,609.4428571429,I
424,Harvested irrigated temporary crop area: Wheat,2007,490.3,I
425,Harvested irrigated temporary crop area: Wheat,2012,490.3,I
426,Harvested irrigated temporary crop area: Wheat,2017,490.3,I
427,Harvested irrigated temporary crop area: Wheat,2018,490.3,I
428,Harvested irrigated temporary crop area: Barley,1992,60.7,OF
429,Harvested irrigated temporary crop area: Barley,1997,46.9107142857,I
430,Harvested irrigated temporary crop area: Barley,2002,33.1214285714,I
431,Harvested irrigated temporary crop area: Barley,2007,22.09,I
432,Harvested irrigated temporary crop area: Barley,2012,22.09,I
433,Harvested irrigated temporary crop area: Barley,2017,22.09,I
434,Harvested irrigated temporary crop area: Barley,2018,22.09,I
435,Harvested irrigated temporary crop area: Maize,1992,2.4,OF
436,Harvested irrigated temporary crop area: Maize,1997,5.8714285714,I
437,Harvested irrigated temporary crop area: Maize,2002,9.3428571429,I
438,Harvested irrigated temporary crop area: Maize,2007,12.12,I
439,Harvested irrigated temporary crop area: Maize,2012,12.12,I
440,Harvested irrigated temporary crop area: Maize,2017,12.12,I
441,Harvested irrigated temporary crop area: Maize,2018,12.12,I
442,Harvested irrigated temporary crop area: Sorghum,2007,143.7,I
443,Harvested irrigated temporary crop area: Sorghum,2012,143.7,I
444,Harvested irrigated temporary crop area: Sorghum,2017,143.7,I
445,Harvested irrigated temporary crop area: Sorghum,2018,143.7,I
446,Harvested irrigated temporary crop area: Other cereals,1992,132.3,OF
447,Harvested irrigated temporary crop area: Other cereals,1997,532.7285714286,I
448,Harvested irrigated temporary crop area: Other cereals,2002,494.0857142857,I
449,Harvested irrigated temporary crop area: Other cereals,2007,229.0,I
450,Harvested irrigated temporary crop area: Other cereals,2012,229.0,I
451,Harvested irrigated temporary crop area: Other cereals,2017,229.0,I
452,Harvested irrigated temporary crop area: Other cereals,2018,229.0,I
453,Harvested irrigated temporary crop area: Potatoes,2007,14.71,I
454,Harvested irrigated temporary crop area: Potatoes,2012,14.71,I
455,Harvested irrigated temporary crop area: Potatoes,2017,14.71,I
456,Harvested irrigated temporary crop area: Potatoes,2018,14.71,I
457,Harvested irrigated temporary crop area: Other roots and tubers,1992,4.9,OF
458,Harvested irrigated temporary crop area: Other roots and tubers,1997,4.9,I
459,Harvested irrigated temporary crop area: Other roots and tubers,2002,4.9,I
460,Harvested irrigated temporary crop area: Other roots and tubers,2007,4.9,I
461,Harvested irrigated temporary crop area: Other roots and tubers,2012,4.9,I
462,Harvested irrigated temporary crop area: Other roots and tubers,2017,4.9,I
463,Harvested irrigated temporary crop area: Other roots and tubers,2018,4.9,I
464,Harvested irrigated temporary crop area: Vegetables,1992,109.1,OF
465,Harvested irrigated temporary crop area: Vegetables,1997,95.7142857143,I
466,Harvested irrigated temporary crop area: Vegetables,2002,100.1057142857,I
467,Harvested irrigated temporary crop area: Vegetables,2007,113.1,I
468,Harvested irrigated temporary crop area: Vegetables,2012,113.1,I
469,Harvested irrigated temporary crop area: Vegetables,2017,113.1,I
470,Harvested irrigated temporary crop area: Vegetables,2018,113.1,I
471,Harvested irrigated permanent crop area: Citrus,2002,9.2374285714,I
472,Harvested irrigated permanent crop area: Citrus,2007,10.85,I
473,Harvested irrigated permanent crop area: Citrus,2012,10.85,I
474,Harvested irrigated permanent crop area: Citrus,2017,10.85,I
475,Harvested irrigated permanent crop area: Citrus,2018,10.85,I
476,Harvested irrigated temporary crop area: Fodder,1992,293.1,OF
477,Harvested irrigated temporary crop area: Fodder,1997,253.8857142857,I
478,Harvested irrigated temporary crop area: Fodder,2002,224.9571428571,I
479,Harvested irrigated temporary crop area: Fodder,2007,207.3,I
480,Harvested irrigated temporary crop area: Fodder,2012,207.3,I
481,Harvested irrigated temporary crop area: Fodder,2017,207.3,I
482,Harvested irrigated temporary crop area: Fodder,2018,207.3,I
483,Harvested irrigated permanent crop area: Oil palm,1992,2.7,OF
484,Harvested irrigated permanent crop area: Oil palm,1997,2.7,I
485,Harvested irrigated permanent crop area: Oil palm,2002,2.7,I
486,Harvested irrigated permanent crop area: Oil palm,2007,2.7,I
487,Harvested irrigated permanent crop area: Oil palm,2012,2.7,I
488,Harvested irrigated permanent crop area: Oil palm,2017,2.7,I
489,Harvested irrigated permanent crop area: Oil palm,2018,2.7,I
490,Harvested irrigated permanent crop area: Other crops,1992,95.5,OF
491,Harvested irrigated permanent crop area: Other crops,1997,152.6428571429,I
492,Harvested irrigated permanent crop area: Other crops,2002,182.0571428571,I
493,Harvested irrigated permanent crop area: Other crops,2007,190.8,I
494,Harvested irrigated permanent crop area: Other crops,2012,190.8,I
495,Harvested irrigated permanent crop area: Other crops,2017,190.8,I
496,Harvested irrigated permanent crop area: Other crops,2018,190.8,I
