Barbados,Variable Name,Year,Value,Symbol
56,Urban population,1982,100.404,X
57,Urban population,1987,98.391,X
58,Urban population,1992,96.073,X
59,Urban population,1997,93.045,X
60,Urban population,2002,90.758,X
61,Urban population,2007,89.613,X
62,Urban population,2012,88.849,X
63,Urban population,2017,89.026,X
64,Urban population,2018,89.201,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.3544,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3522,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3523333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.357,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.357,I
70,Gross Domestic Product (GDP),1962,96949756.0,X
71,Gross Domestic Product (GDP),1967,137103730.0,X
72,Gross Domestic Product (GDP),1972,280300467.0,X
73,Gross Domestic Product (GDP),1977,593439439.0,X
74,Gross Domestic Product (GDP),1982,1188551211.0,X
75,Gross Domestic Product (GDP),1986,1580355027.0,X
76,Gross Domestic Product (GDP),1992,1970028303.0,X
77,Gross Domestic Product (GDP),1997,2588836721.0,X
78,Gross Domestic Product (GDP),2002,3200677486.0,X
79,Gross Domestic Product (GDP),2007,4674000000.0,X
80,Gross Domestic Product (GDP),2009,4465650000.0,X
81,GDP per capita,1972,1160.948086,X
82,GDP per capita,1977,2385.360146,X
83,GDP per capita,1982,4682.266501,X
84,GDP per capita,1987,6755.309523,X
85,GDP per capita,1992,7513.915046,X
86,GDP per capita,1997,9698.0154,X
87,GDP per capita,2002,11789.822696,X
88,GDP per capita,2007,16925.583922,X
89,GDP per capita,2012,16371.951613,X
90,GDP per capita,2017,17423.251128,X
91,GDP per capita,2018,17761.54481,X
92,"Agriculture, value added (% GDP)",1972,6.329247,X
93,"Agriculture, value added (% GDP)",1977,6.752507,X
94,"Agriculture, value added (% GDP)",1982,4.489209,X
95,"Agriculture, value added (% GDP)",1987,4.309032,X
96,"Agriculture, value added (% GDP)",1992,3.413657,X
97,"Agriculture, value added (% GDP)",1997,2.593829,X
98,"Agriculture, value added (% GDP)",2002,1.833987,X
99,"Agriculture, value added (% GDP)",2005,1.539825,X
100,Prevalence of undernourishment (3-year average),2001,5.4,X
101,Prevalence of undernourishment (3-year average),2007,5.3,X
102,Prevalence of undernourishment (3-year average),2011,4.8,X
103,Prevalence of undernourishment (3-year average),2013,4.5,X
104,Total population with access to safe drinking-water (JMP),1992,96.4,X
105,Total population with access to safe drinking-water (JMP),1997,97.2,X
106,Total population with access to safe drinking-water (JMP),2002,97.9,X
107,Total population with access to safe drinking-water (JMP),2007,98.7,X
108,Total population with access to safe drinking-water (JMP),2012,99.4,X
109,Total population with access to safe drinking-water (JMP),2017,99.7,I
110,Total population with access to safe drinking-water (JMP),2018,99.7,I
111,Long-term average annual precipitation in volume,1962,0.61146,E
112,Long-term average annual precipitation in volume,1967,0.61146,E
113,Long-term average annual precipitation in volume,1972,0.61146,E
114,Long-term average annual precipitation in volume,1977,0.61146,E
115,Long-term average annual precipitation in volume,1982,0.61146,E
116,Long-term average annual precipitation in volume,1987,0.61146,E
117,Long-term average annual precipitation in volume,1992,0.61146,E
118,Long-term average annual precipitation in volume,1997,0.61146,E
119,Long-term average annual precipitation in volume,2002,0.61146,E
120,Long-term average annual precipitation in volume,2007,0.61146,E
121,Long-term average annual precipitation in volume,2012,0.61146,E
122,Long-term average annual precipitation in volume,2017,0.61146,E
123,Long-term average annual precipitation in volume,2018,0.61146,E
124,Flood occurrence (WRI),2017,3.6,I
125,Flood occurrence (WRI),2018,3.6,I
126,Surface water: entering the country (total),1962,0.0,OF
127,Surface water: entering the country (total),1967,0.0,OF
128,Surface water: entering the country (total),1972,0.0,OF
129,Surface water: entering the country (total),1977,0.0,OF
130,Surface water: entering the country (total),1982,0.0,OF
131,Surface water: entering the country (total),1987,0.0,OF
132,Surface water: entering the country (total),1992,0.0,OF
133,Surface water: entering the country (total),1997,0.0,OF
134,Surface water: entering the country (total),2002,0.0,OF
135,Surface water: entering the country (total),2007,0.0,OF
136,Surface water: entering the country (total),2012,0.0,OF
137,Surface water: entering the country (total),2017,0.0,OF
138,Surface water: leaving the country to other countries (total),1962,0.0,OF
139,Surface water: leaving the country to other countries (total),1967,0.0,OF
140,Surface water: leaving the country to other countries (total),1972,0.0,OF
141,Surface water: leaving the country to other countries (total),1977,0.0,OF
142,Surface water: leaving the country to other countries (total),1982,0.0,OF
143,Surface water: leaving the country to other countries (total),1987,0.0,OF
144,Surface water: leaving the country to other countries (total),1992,0.0,OF
145,Surface water: leaving the country to other countries (total),1997,0.0,OF
146,Surface water: leaving the country to other countries (total),2002,0.0,OF
147,Surface water: leaving the country to other countries (total),2007,0.0,OF
148,Surface water: leaving the country to other countries (total),2012,0.0,OF
149,Surface water: leaving the country to other countries (total),2017,0.0,OF
150,Groundwater: entering the country (total),1962,0.0,OF
151,Groundwater: entering the country (total),1967,0.0,OF
152,Groundwater: entering the country (total),1972,0.0,OF
153,Groundwater: entering the country (total),1977,0.0,OF
154,Groundwater: entering the country (total),1982,0.0,OF
155,Groundwater: entering the country (total),1987,0.0,OF
156,Groundwater: entering the country (total),1992,0.0,OF
157,Groundwater: entering the country (total),1997,0.0,OF
158,Groundwater: entering the country (total),2002,0.0,OF
159,Groundwater: entering the country (total),2007,0.0,OF
160,Groundwater: entering the country (total),2012,0.0,OF
161,Groundwater: entering the country (total),2017,0.0,OF
162,Groundwater: leaving the country to other countries (total),1962,0.0,OF
163,Groundwater: leaving the country to other countries (total),1967,0.0,OF
164,Groundwater: leaving the country to other countries (total),1972,0.0,OF
165,Groundwater: leaving the country to other countries (total),1977,0.0,OF
166,Groundwater: leaving the country to other countries (total),1982,0.0,OF
167,Groundwater: leaving the country to other countries (total),1987,0.0,OF
168,Groundwater: leaving the country to other countries (total),1992,0.0,OF
169,Groundwater: leaving the country to other countries (total),1997,0.0,OF
170,Groundwater: leaving the country to other countries (total),2002,0.0,OF
171,Groundwater: leaving the country to other countries (total),2007,0.0,OF
172,Groundwater: leaving the country to other countries (total),2012,0.0,OF
173,Groundwater: leaving the country to other countries (total),2017,0.0,OF
174,Dependency ratio,1962,0.0,E
175,Dependency ratio,1967,0.0,E
176,Dependency ratio,1972,0.0,E
177,Dependency ratio,1977,0.0,E
178,Dependency ratio,1982,0.0,E
179,Dependency ratio,1987,0.0,E
180,Dependency ratio,1992,0.0,E
181,Dependency ratio,1997,0.0,E
182,Dependency ratio,2002,0.0,E
183,Dependency ratio,2007,0.0,E
184,Dependency ratio,2012,0.0,E
185,Dependency ratio,2017,0.0,E
186,Dependency ratio,2018,0.0,E
187,Total internal renewable water resources (IRWR),1962,0.08,E
188,Total internal renewable water resources (IRWR),1967,0.08,E
189,Total internal renewable water resources (IRWR),1972,0.08,E
190,Total internal renewable water resources (IRWR),1977,0.08,E
191,Total internal renewable water resources (IRWR),1982,0.08,E
192,Total internal renewable water resources (IRWR),1987,0.08,E
193,Total internal renewable water resources (IRWR),1992,0.08,E
194,Total internal renewable water resources (IRWR),1997,0.08,E
195,Total internal renewable water resources (IRWR),2002,0.08,E
196,Total internal renewable water resources (IRWR),2007,0.08,E
197,Total internal renewable water resources (IRWR),2012,0.08,E
198,Total internal renewable water resources (IRWR),2017,0.08,E
199,Total internal renewable water resources (IRWR),2018,0.08,E
200,Total internal renewable water resources per capita,1962,343.8893020337,E
201,Total internal renewable water resources per capita,1967,338.0391195771,E
202,Total internal renewable water resources per capita,1972,331.2423658986,E
203,Total internal renewable water resources per capita,1977,321.366450146,E
204,Total internal renewable water resources per capita,1982,314.8589825332,E
205,Total internal renewable water resources per capita,1987,310.0546858952,E
206,Total internal renewable water resources per capita,1992,304.3144176563,E
207,Total internal renewable water resources per capita,1997,298.2993209962,E
208,Total internal renewable water resources per capita,2002,292.5848038767,E
209,Total internal renewable water resources per capita,2007,287.0470039469,E
210,Total internal renewable water resources per capita,2012,281.9870215473,E
211,Total internal renewable water resources per capita,2017,279.4935576735,E
212,Total internal renewable water resources per capita,2018,279.0947561584,E
213,Total renewable surface water,1962,0.008,E
214,Total renewable surface water,1967,0.008,E
215,Total renewable surface water,1972,0.008,E
216,Total renewable surface water,1977,0.008,E
217,Total renewable surface water,1982,0.008,E
218,Total renewable surface water,1987,0.008,E
219,Total renewable surface water,1992,0.008,E
220,Total renewable surface water,1997,0.008,E
221,Total renewable surface water,2002,0.008,E
222,Total renewable surface water,2007,0.008,E
223,Total renewable surface water,2012,0.008,E
224,Total renewable surface water,2017,0.008,E
225,Total renewable surface water,2018,0.008,E
226,Total renewable groundwater,1962,0.074,E
227,Total renewable groundwater,1967,0.074,E
228,Total renewable groundwater,1972,0.074,E
229,Total renewable groundwater,1977,0.074,E
230,Total renewable groundwater,1982,0.074,E
231,Total renewable groundwater,1987,0.074,E
232,Total renewable groundwater,1992,0.074,E
233,Total renewable groundwater,1997,0.074,E
234,Total renewable groundwater,2002,0.074,E
235,Total renewable groundwater,2007,0.074,E
236,Total renewable groundwater,2012,0.074,E
237,Total renewable groundwater,2017,0.074,E
238,Total renewable groundwater,2018,0.074,E
239,Water resources: total external renewable,1962,0.0,E
240,Water resources: total external renewable,1967,0.0,E
241,Water resources: total external renewable,1972,0.0,E
242,Water resources: total external renewable,1977,0.0,E
243,Water resources: total external renewable,1982,0.0,E
244,Water resources: total external renewable,1987,0.0,E
245,Water resources: total external renewable,1992,0.0,E
246,Water resources: total external renewable,1997,0.0,E
247,Water resources: total external renewable,2002,0.0,E
248,Water resources: total external renewable,2007,0.0,E
249,Water resources: total external renewable,2012,0.0,E
250,Water resources: total external renewable,2017,0.0,E
251,Water resources: total external renewable,2018,0.0,E
252,Total renewable water resources,1962,0.08,E
253,Total renewable water resources,1967,0.08,E
254,Total renewable water resources,1972,0.08,E
255,Total renewable water resources,1977,0.08,E
256,Total renewable water resources,1982,0.08,E
257,Total renewable water resources,1987,0.08,E
258,Total renewable water resources,1992,0.08,E
259,Total renewable water resources,1997,0.08,E
260,Total renewable water resources,2002,0.08,E
261,Total renewable water resources,2007,0.08,E
262,Total renewable water resources,2012,0.08,E
263,Total renewable water resources,2017,0.08,E
264,Total renewable water resources,2018,0.08,E
265,Total renewable water resources per capita,1962,343.8893020337,E
266,Total renewable water resources per capita,1967,338.0391195771,E
267,Total renewable water resources per capita,1972,331.2423658986,E
268,Total renewable water resources per capita,1977,321.366450146,E
269,Total renewable water resources per capita,1982,314.8589825332,E
270,Total renewable water resources per capita,1987,310.0546858952,E
271,Total renewable water resources per capita,1992,304.3144176563,E
272,Total renewable water resources per capita,1997,298.2993209962,E
273,Total renewable water resources per capita,2002,292.5848038767,E
274,Total renewable water resources per capita,2007,287.0470039469,E
275,Total renewable water resources per capita,2012,281.9870215473,E
276,Total renewable water resources per capita,2017,279.4935576735,E
277,Total renewable water resources per capita,2018,279.0947561584,E
278,Total agricultural water managed area,1992,5.435,I
279,Total agricultural water managed area,1997,5.435,I
280,Total agricultural water managed area,2002,5.435,I
281,Total agricultural water managed area,2007,5.435,I
282,Total agricultural water managed area,2012,5.435,I
283,Total agricultural water managed area,2017,5.435,I
284,Total agricultural water managed area,2018,5.435,I
285,Area equipped for irrigation: total,1992,5.435,I
286,Area equipped for irrigation: total,1997,5.435,I
287,Area equipped for irrigation: total,2002,5.435,I
288,Area equipped for irrigation: total,2007,5.435,I
289,Area equipped for irrigation: total,2012,5.435,I
290,Area equipped for irrigation: total,2017,5.435,I
291,Area equipped for irrigation: total,2018,5.435,I
292,% of agricultural GVA produced by irrigated agriculture,2007,53.0129583294,E
293,% of agricultural GVA produced by irrigated agriculture,2012,63.4565086486,E
294,% of agricultural GVA produced by irrigated agriculture,2017,79.0242901174,E
295,% of agricultural GVA produced by irrigated agriculture,2018,79.0242901174,E
297,Ratio between rainfed and irrigated yields,1966,1.778,I
298,Ratio between rainfed and irrigated yields,1971,1.778,I
299,Ratio between rainfed and irrigated yields,1976,1.778,I
300,Ratio between rainfed and irrigated yields,1981,1.778,I
301,Ratio between rainfed and irrigated yields,1986,1.778,I
302,Ratio between rainfed and irrigated yields,1991,1.778,I
303,Ratio between rainfed and irrigated yields,1996,1.778,I
304,Ratio between rainfed and irrigated yields,2001,1.778,I
305,Ratio between rainfed and irrigated yields,2007,1.778,I
306,Ratio between rainfed and irrigated yields,2011,1.778,I
307,Ratio between rainfed and irrigated yields,2017,1.778,I
308,Ratio between rainfed and irrigated yields,2018,1.778,I
309,Agricultural water withdrawal as % of total renewable water resources,1992,68.5,I
310,Agricultural water withdrawal as % of total renewable water resources,1997,68.5,I
311,Agricultural water withdrawal as % of total renewable water resources,2002,68.5,I
312,Agricultural water withdrawal as % of total renewable water resources,2007,68.5,I
313,Agricultural water withdrawal as % of total renewable water resources,2012,68.5,I
314,Agricultural water withdrawal as % of total renewable water resources,2017,68.5,I
315,Agricultural water withdrawal as % of total renewable water resources,2018,68.5,I
316,Agricultural water withdrawal,1992,0.0548,I
317,Agricultural water withdrawal,1997,0.0548,I
318,Agricultural water withdrawal,2002,0.0548,I
319,Agricultural water withdrawal,2007,0.0548,I
320,Agricultural water withdrawal,2012,0.0548,I
321,Agricultural water withdrawal,2017,0.0548,I
322,Agricultural water withdrawal,2018,0.0548,I
323,Irrigation water requirement,1992,0.0137,I
324,Irrigation water requirement,1997,0.0137,I
325,Irrigation water requirement,2002,0.0137,I
326,Irrigation water requirement,2007,0.0137,I
327,Irrigation water requirement,2012,0.0137,I
328,Irrigation water requirement,2017,0.0137,I
329,Irrigation water requirement,2018,0.0137,I
330,Irrigation water withdrawal,1992,0.0548,I
331,Irrigation water withdrawal,1997,0.0548,I
332,Irrigation water withdrawal,2002,0.0548,I
333,Irrigation water withdrawal,2007,0.0548,I
334,Irrigation water withdrawal,2012,0.0548,I
335,Irrigation water withdrawal,2017,0.0548,I
336,Irrigation water withdrawal,2018,0.0548,I
337,Municipal water withdrawal,1997,0.02,I
338,Municipal water withdrawal,2002,0.02,I
339,Municipal water withdrawal,2007,0.02,I
340,Municipal water withdrawal,2012,0.02,I
341,Municipal water withdrawal,2017,0.02,I
342,Municipal water withdrawal,2018,0.02,I
343,Industrial water withdrawal,1997,0.0062,I
344,Industrial water withdrawal,2002,0.0062,I
345,Industrial water withdrawal,2007,0.0062,I
346,Industrial water withdrawal,2012,0.0062,I
347,Industrial water withdrawal,2017,0.0062,I
348,Industrial water withdrawal,2018,0.0062,I
349,Total water withdrawal,1962,0.03,OF
350,Total water withdrawal,1967,0.0375,I
351,Total water withdrawal,1972,0.045,I
352,Total water withdrawal,1977,0.0525,I
353,Total water withdrawal,1982,0.06,I
354,Total water withdrawal,1987,0.0675,I
355,Total water withdrawal,1992,0.075,I
356,Total water withdrawal,1997,0.081,I
357,Total water withdrawal,2002,0.081,I
358,Total water withdrawal,2007,0.081,I
359,Total water withdrawal,2012,0.081,I
360,Total water withdrawal,2017,0.081,I
361,Total water withdrawal,2018,0.081,I
362,Total freshwater withdrawal,1962,0.03,E
363,Total freshwater withdrawal,1967,0.0375,I
364,Total freshwater withdrawal,1972,0.045,I
365,Total freshwater withdrawal,1977,0.0525,I
366,Total freshwater withdrawal,1982,0.06,I
367,Total freshwater withdrawal,1987,0.0675,I
368,Total freshwater withdrawal,1992,0.075,I
369,Total freshwater withdrawal,1997,0.081,E
370,Total freshwater withdrawal,2002,0.081,E
371,Total freshwater withdrawal,2007,0.07,I
372,Total freshwater withdrawal,2012,0.07,I
373,Total freshwater withdrawal,2017,0.07,I
374,Total freshwater withdrawal,2018,0.07,I
375,Desalinated water produced,2007,0.011,I
376,Desalinated water produced,2012,0.011,I
377,Desalinated water produced,2017,0.011,I
378,Desalinated water produced,2018,0.011,I
379,Produced municipal wastewater,1997,0.011,I
380,Produced municipal wastewater,2002,0.011,I
381,Produced municipal wastewater,2007,0.011,I
382,Produced municipal wastewater,2012,0.011,I
383,Produced municipal wastewater,2017,0.011,I
384,Produced municipal wastewater,2018,0.011,I
385,Treated municipal wastewater,2007,0.003,I
386,Treated municipal wastewater,2012,0.003,I
387,Treated municipal wastewater,2017,0.003,I
388,Treated municipal wastewater,2018,0.003,I
389,SDG 6.4.2. Water Stress,1962,37.5,E
390,SDG 6.4.2. Water Stress,1967,46.875,I
391,SDG 6.4.2. Water Stress,1972,56.25,I
392,SDG 6.4.2. Water Stress,1977,65.625,I
393,SDG 6.4.2. Water Stress,1982,75.0,I
394,SDG 6.4.2. Water Stress,1987,84.375,I
395,SDG 6.4.2. Water Stress,1992,93.75,I
396,SDG 6.4.2. Water Stress,1997,101.25,E
397,SDG 6.4.2. Water Stress,2002,101.25,E
398,SDG 6.4.2. Water Stress,2007,87.5,I
399,SDG 6.4.2. Water Stress,2012,87.5,I
400,SDG 6.4.2. Water Stress,2017,87.5,I
401,SDG 6.4.2. Water Stress,2018,87.5,I
402,SDG 6.4.1. Water Use Efficiency,2015,51.4646372026,I
403,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.821817763,E
404,SDG 6.4.1. Industrial Water Use Efficiency,2015,85.8064516129,E
405,SDG 6.4.1. Services Water Use Efficiency,2015,179.58,E
