Czechia,Variable Name,Year,Value,Symbol
43,Total population with access to safe drinking-water (JMP),2018,100.0,I
44,Long-term average annual precipitation in volume,1997,53.39499,E
45,Long-term average annual precipitation in volume,2002,53.39499,E
46,Long-term average annual precipitation in volume,2007,53.39499,E
47,Long-term average annual precipitation in volume,2012,53.39499,E
48,Long-term average annual precipitation in volume,2017,53.39499,E
49,Interannual variability (WRI),2017,1.3,I
50,Interannual variability (WRI),2018,1.3,I
51,Seasonal variability (WRI),2017,0.6,I
52,Seasonal variability (WRI),2018,0.6,I
53,Flood occurrence (WRI),2017,3.2,I
54,Flood occurrence (WRI),2018,3.2,I
62,Surface water: entering the country (total),1996,0.0,E
63,Surface water: entering the country (total),2001,0.0,E
64,Surface water: entering the country (total),2006,0.0,E
66,Surface water: entering the country (total),2017,0.0,E
67,Surface water: leaving the country to other countries (total),1997,13.2,OF
68,Surface water: leaving the country to other countries (total),2002,13.2,OF
69,Surface water: leaving the country to other countries (total),2007,13.2,OF
70,Surface water: leaving the country to other countries (total),2012,13.2,OF
71,Surface water: leaving the country to other countries (total),2017,13.2,OF
72,Groundwater: entering the country (total),1997,0.0,E
73,Groundwater: entering the country (total),2002,0.0,E
74,Groundwater: entering the country (total),2007,0.0,E
75,Groundwater: entering the country (total),2012,0.0,E
76,Groundwater: entering the country (total),2017,0.0,E
77,Groundwater: leaving the country to other countries (total),1997,0.0,OF
78,Groundwater: leaving the country to other countries (total),2002,0.0,OF
79,Groundwater: leaving the country to other countries (total),2007,0.0,OF
80,Groundwater: leaving the country to other countries (total),2012,0.0,OF
81,Groundwater: leaving the country to other countries (total),2017,0.0,OF
82,Dependency ratio,1997,0.0,E
83,Dependency ratio,2002,0.0,E
84,Dependency ratio,2007,0.0,E
85,Dependency ratio,2012,0.0,E
86,Dependency ratio,2017,0.0,E
87,Dependency ratio,2018,0.0,E
88,Total internal renewable water resources (IRWR),1997,13.15,E
89,Total internal renewable water resources (IRWR),2002,13.15,E
90,Total internal renewable water resources (IRWR),2007,13.15,E
91,Total internal renewable water resources (IRWR),2012,13.15,E
92,Total internal renewable water resources (IRWR),2017,13.15,E
93,Total internal renewable water resources (IRWR),2018,13.15,E
94,Total internal renewable water resources per capita,1997,1271.964480948,E
95,Total internal renewable water resources per capita,2002,1282.6438967951,E
96,Total internal renewable water resources per capita,2007,1269.6067347279,E
97,Total internal renewable water resources per capita,2012,1242.7592733705,E
98,Total internal renewable water resources per capita,2017,1235.7821617711,E
99,Total internal renewable water resources per capita,2018,1232.9268924982,E
100,Total renewable surface water,1997,13.15,E
101,Total renewable surface water,2002,13.15,E
102,Total renewable surface water,2007,13.15,E
103,Total renewable surface water,2012,13.15,E
104,Total renewable surface water,2017,13.15,E
105,Total renewable surface water,2018,13.15,E
106,Total renewable groundwater,1997,1.43,E
107,Total renewable groundwater,2002,1.43,E
108,Total renewable groundwater,2007,1.43,E
109,Total renewable groundwater,2012,1.43,E
110,Total renewable groundwater,2017,1.43,E
111,Total renewable groundwater,2018,1.43,E
112,Water resources: total external renewable,1997,0.0,E
113,Water resources: total external renewable,2002,0.0,E
114,Water resources: total external renewable,2007,0.0,E
115,Water resources: total external renewable,2012,0.0,E
116,Water resources: total external renewable,2017,0.0,E
117,Water resources: total external renewable,2018,0.0,E
118,Total renewable water resources,1997,13.15,E
119,Total renewable water resources,2002,13.15,E
120,Total renewable water resources,2007,13.15,E
121,Total renewable water resources,2012,13.15,E
122,Total renewable water resources,2017,13.15,E
123,Total renewable water resources,2018,13.15,E
124,Total renewable water resources per capita,1997,1271.964480948,E
125,Total renewable water resources per capita,2002,1282.6438967951,E
126,Total renewable water resources per capita,2007,1269.6067347279,E
127,Total renewable water resources per capita,2012,1242.7592733705,E
128,Total renewable water resources per capita,2017,1235.7821617711,E
129,Total renewable water resources per capita,2018,1232.9268924982,E
130,Total agricultural water managed area,1997,36.5842857143,E
131,Total agricultural water managed area,2002,47.0057142857,E
132,Total agricultural water managed area,2007,38.53,E
133,Total agricultural water managed area,2012,33.4566666667,I
134,Total agricultural water managed area,2013,34.07,E
135,Area equipped for irrigation: total,1997,36.5842857143,I
136,Area equipped for irrigation: total,2002,47.0057142857,I
137,Area equipped for irrigation: total,2006,42.78,I
138,Area equipped for irrigation: total,2012,33.4566666667,I
139,% of agricultural GVA produced by irrigated agriculture,2017,1.3836278538,E
140,% of agricultural GVA produced by irrigated agriculture,2018,1.3890570604,E
142,Ratio between rainfed and irrigated yields,2001,1.778,I
143,Ratio between rainfed and irrigated yields,2007,1.778,I
144,Ratio between rainfed and irrigated yields,2011,1.778,I
145,Ratio between rainfed and irrigated yields,2017,1.778,I
146,Ratio between rainfed and irrigated yields,2018,1.778,I
147,Agricultural water withdrawal as % of total renewable water resources,1997,0.1520912548,E
148,Agricultural water withdrawal as % of total renewable water resources,2002,0.1422053232,E
149,Agricultural water withdrawal as % of total renewable water resources,2007,0.2266159696,E
150,Agricultural water withdrawal as % of total renewable water resources,2012,0.3285171103,E
151,Agricultural water withdrawal as % of total renewable water resources,2017,0.3543726236,E
152,Agricultural water withdrawal as % of total renewable water resources,2018,0.3650190114,E
155,Agricultural water withdrawal,1996,0.0285,I
156,Agricultural water withdrawal,2002,0.0187,X
157,Agricultural water withdrawal,2007,0.0298,X
158,Agricultural water withdrawal,2011,0.039,X
159,Agricultural water withdrawal,2017,0.0466,OF
160,Irrigation water requirement,2012,0.0029,I
161,Irrigation water requirement,2017,0.0029,I
162,Irrigation water requirement,2018,0.0029,I
165,Irrigation water withdrawal,1996,0.022,I
166,Irrigation water withdrawal,2002,0.0113,X
167,Irrigation water withdrawal,2007,0.0088,X
168,Irrigation water withdrawal,2012,0.0253,X
169,Irrigation water withdrawal,2013,0.0139,X
170,Municipal water withdrawal,1997,0.9585,X
171,Municipal water withdrawal,2002,0.8325454545,I
172,Municipal water withdrawal,2007,0.7065909091,I
173,Municipal water withdrawal,2012,0.6371,X
174,Municipal water withdrawal,2017,0.6166,OF
175,Industrial water withdrawal,1997,1.514,X
176,Industrial water withdrawal,2002,1.3625588235,I
177,Industrial water withdrawal,2007,1.2111176471,I
178,Industrial water withdrawal,2012,1.0596764706,I
179,Industrial water withdrawal,2017,0.9672,OF
180,Total water withdrawal,1997,2.4925,E
181,Total water withdrawal,2002,1.908,X
182,Total water withdrawal,2007,1.969,X
183,Total water withdrawal,2012,1.841,X
184,Total water withdrawal,2014,1.6496,E
185,Fresh surface water withdrawal,1997,1.906,X
186,Fresh surface water withdrawal,2002,1.368,X
187,Fresh surface water withdrawal,2007,1.589,X
188,Fresh surface water withdrawal,2012,1.461,X
189,Fresh surface water withdrawal,2017,1.261,OF
190,Fresh groundwater withdrawal,1997,0.5865,X
191,Fresh groundwater withdrawal,2002,0.5401,X
192,Fresh groundwater withdrawal,2007,0.3806,X
193,Fresh groundwater withdrawal,2012,0.3794,X
194,Fresh groundwater withdrawal,2017,0.3694,OF
195,Total freshwater withdrawal,1997,2.4925,E
196,Total freshwater withdrawal,2002,1.9081,E
197,Total freshwater withdrawal,2007,1.9696,E
198,Total freshwater withdrawal,2012,1.8404,E
199,Total freshwater withdrawal,2017,1.63,OF
200,Desalinated water produced,1997,0.0002,E
201,Desalinated water produced,2002,0.0002,I
202,Desalinated water produced,2007,0.0002,E
203,Desalinated water produced,2012,0.0002,I
204,Desalinated water produced,2017,0.0002,I
205,Desalinated water produced,2018,0.0002,I
208,Produced municipal wastewater,2012,1.196,OF
209,Produced municipal wastewater,2013,1.299,OF
210,Collected municipal wastewater,2007,0.3408,OF
211,Collected municipal wastewater,2012,0.3238,OF
212,Collected municipal wastewater,2015,0.3021,OF
213,Treated municipal wastewater,2016,0.2941,OF
219,SDG 6.4.2. Water Stress,1997,37.9029805353,E
220,SDG 6.4.2. Water Stress,2002,29.0161192214,E
221,SDG 6.4.2. Water Stress,2007,29.9513381995,E
222,SDG 6.4.2. Water Stress,2012,27.9866180049,E
223,SDG 6.4.2. Water Stress,2017,24.7871046229,E
224,SDG 6.4.2. Water Stress,2018,24.1940389294,E
225,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,1.0655022403,E
226,SDG 6.4.1. Industrial Water Use Efficiency,2015,59.8767357419,E
227,SDG 6.4.1. Services Water Use Efficiency,2015,176.0613476913,E
228,Harvested irrigated temporary crop area: Potatoes,2012,2.8,I
229,Harvested irrigated temporary crop area: Potatoes,2017,2.8,I
230,Harvested irrigated temporary crop area: Potatoes,2018,2.8,I
231,Harvested irrigated temporary crop area: Sugar beet,2012,4.5,I
232,Harvested irrigated temporary crop area: Sugar beet,2017,4.5,I
233,Harvested irrigated temporary crop area: Sugar beet,2018,4.5,I
234,Harvested irrigated temporary crop area: Vegetables,2012,3.3,I
235,Harvested irrigated temporary crop area: Vegetables,2017,3.3,I
236,Harvested irrigated temporary crop area: Vegetables,2018,3.3,I
237,Harvested irrigated permanent crop area: Other crops,2012,9.3,I
238,Harvested irrigated permanent crop area: Other crops,2017,9.3,I
239,Harvested irrigated permanent crop area: Other crops,2018,9.3,I
