Democratic Republic of the Congo,Variable Name,Year,Value,Symbol
50,Rural population,2017,45647.604,X
51,Rural population,2018,46656.05,X
52,Urban population,1962,3649.178,X
53,Urban population,1967,4392.189,X
54,Urban population,1972,5298.767,X
55,Urban population,1977,6381.12,X
56,Urban population,1982,7645.2,X
57,Urban population,1987,9254.031,X
58,Urban population,1992,11766.095,X
59,Urban population,1997,14789.33,X
60,Urban population,2002,17968.327,X
61,Urban population,2007,22473.029,X
62,Urban population,2012,28337.627,X
63,Urban population,2017,35692.384,X
64,Urban population,2018,37348.939,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.6726,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.67,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.673,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.673,I
69,Gross Domestic Product (GDP),1969,5032434970.0,X
70,Gross Domestic Product (GDP),1997,9419104879.0,X
71,Gross Domestic Product (GDP),2002,8728022248.0,X
72,Gross Domestic Product (GDP),2007,16737110427.0,X
73,Gross Domestic Product (GDP),2012,29306269641.0,X
74,Gross Domestic Product (GDP),2017,37642464497.0,X
75,Gross Domestic Product (GDP),2018,47146003693.0,X
76,GDP per capita,1972,278.573157,X
77,GDP per capita,1977,485.290149,X
78,GDP per capita,1982,497.411143,X
79,GDP per capita,1987,235.077838,X
80,GDP per capita,1992,348.348228,X
81,GDP per capita,1997,214.900148,X
82,GDP per capita,2002,175.135745,X
83,GDP per capita,2007,286.508198,X
84,GDP per capita,2012,424.859809,X
85,GDP per capita,2017,462.779322,X
86,GDP per capita,2018,561.228616,X
87,"Agriculture, value added (% GDP)",1997,47.500001,X
88,"Agriculture, value added (% GDP)",2002,26.583826,X
89,"Agriculture, value added (% GDP)",2007,21.601591,X
90,"Agriculture, value added (% GDP)",2012,20.441038,X
91,"Agriculture, value added (% GDP)",2017,19.893042,X
92,Total population with access to safe drinking-water (JMP),1992,44.2,X
93,Total population with access to safe drinking-water (JMP),1997,46.0,X
94,Total population with access to safe drinking-water (JMP),2002,47.9,X
95,Total population with access to safe drinking-water (JMP),2007,49.7,X
96,Total population with access to safe drinking-water (JMP),2012,51.4,X
97,Total population with access to safe drinking-water (JMP),2017,52.4,I
98,Total population with access to safe drinking-water (JMP),2018,52.4,I
99,Long-term average annual precipitation in volume,1962,3618.11898,E
100,Long-term average annual precipitation in volume,1967,3618.11898,E
101,Long-term average annual precipitation in volume,1972,3618.11898,E
102,Long-term average annual precipitation in volume,1977,3618.11898,E
103,Long-term average annual precipitation in volume,1982,3618.11898,E
104,Long-term average annual precipitation in volume,1987,3618.11898,E
105,Long-term average annual precipitation in volume,1992,3618.11898,E
106,Long-term average annual precipitation in volume,1997,3618.11898,E
107,Long-term average annual precipitation in volume,2002,3618.11898,E
108,Long-term average annual precipitation in volume,2007,3618.11898,E
109,Long-term average annual precipitation in volume,2012,3618.11898,E
110,Long-term average annual precipitation in volume,2017,3618.11898,E
111,Long-term average annual precipitation in volume,2018,3618.11898,E
112,Interannual variability (WRI),2017,1.2,I
113,Interannual variability (WRI),2018,1.2,I
114,Seasonal variability (WRI),2017,2.3,I
115,Seasonal variability (WRI),2018,2.3,I
116,Flood occurrence (WRI),2017,1.9,I
117,Flood occurrence (WRI),2018,1.9,I
118,Surface water: entering the country (total),1961,383.0,OF
119,Surface water: entering the country (total),1966,383.0,OF
120,Surface water: entering the country (total),1971,383.0,OF
121,Surface water: entering the country (total),1976,383.0,OF
122,Surface water: entering the country (total),1981,383.0,OF
123,Surface water: entering the country (total),1986,383.0,OF
124,Surface water: entering the country (total),1991,383.0,OF
125,Surface water: entering the country (total),1996,383.0,OF
126,Surface water: entering the country (total),2001,383.0,OF
127,Surface water: entering the country (total),2006,383.0,OF
129,Surface water: entering the country (total),2017,383.0,OF
141,Surface water: leaving the country to other countries (total),2017,3.301,OF
142,Groundwater: entering the country (total),1962,0.0,E
143,Groundwater: entering the country (total),1967,0.0,E
144,Groundwater: entering the country (total),1972,0.0,E
145,Groundwater: entering the country (total),1977,0.0,E
146,Groundwater: entering the country (total),1982,0.0,E
147,Groundwater: entering the country (total),1987,0.0,E
148,Groundwater: entering the country (total),1992,0.0,E
149,Groundwater: entering the country (total),1997,0.0,E
150,Groundwater: entering the country (total),2002,0.0,E
151,Groundwater: entering the country (total),2007,0.0,E
152,Groundwater: entering the country (total),2012,0.0,E
153,Groundwater: entering the country (total),2017,0.0,E
154,Groundwater: leaving the country to other countries (total),1962,0.0,OF
155,Groundwater: leaving the country to other countries (total),1967,0.0,OF
156,Groundwater: leaving the country to other countries (total),1972,0.0,OF
157,Groundwater: leaving the country to other countries (total),1977,0.0,OF
158,Groundwater: leaving the country to other countries (total),1982,0.0,OF
159,Groundwater: leaving the country to other countries (total),1987,0.0,OF
160,Groundwater: leaving the country to other countries (total),1992,0.0,OF
161,Groundwater: leaving the country to other countries (total),1997,0.0,OF
162,Groundwater: leaving the country to other countries (total),2002,0.0,OF
163,Groundwater: leaving the country to other countries (total),2007,0.0,OF
164,Groundwater: leaving the country to other countries (total),2012,0.0,OF
165,Groundwater: leaving the country to other countries (total),2017,0.0,OF
166,Dependency ratio,1962,29.8519095869,E
167,Dependency ratio,1967,29.8519095869,E
168,Dependency ratio,1972,29.8519095869,E
169,Dependency ratio,1977,29.8519095869,E
170,Dependency ratio,1982,29.8519095869,E
171,Dependency ratio,1987,29.8519095869,E
172,Dependency ratio,1992,29.8519095869,E
173,Dependency ratio,1997,29.8519095869,E
174,Dependency ratio,2002,29.8519095869,E
175,Dependency ratio,2007,29.8519095869,E
176,Dependency ratio,2012,29.8519095869,E
177,Dependency ratio,2017,29.8519095869,E
178,Dependency ratio,2018,29.8519095869,E
179,Total internal renewable water resources (IRWR),1962,900.0,E
180,Total internal renewable water resources (IRWR),1967,900.0,E
181,Total internal renewable water resources (IRWR),1972,900.0,E
182,Total internal renewable water resources (IRWR),1977,900.0,E
183,Total internal renewable water resources (IRWR),1982,900.0,E
184,Total internal renewable water resources (IRWR),1987,900.0,E
185,Total internal renewable water resources (IRWR),1992,900.0,E
186,Total internal renewable water resources (IRWR),1997,900.0,E
187,Total internal renewable water resources (IRWR),2002,900.0,E
188,Total internal renewable water resources (IRWR),2007,900.0,E
189,Total internal renewable water resources (IRWR),2012,900.0,E
190,Total internal renewable water resources (IRWR),2017,900.0,E
191,Total internal renewable water resources (IRWR),2018,900.0,E
192,Total internal renewable water resources per capita,1962,56105.5632406324,E
193,Total internal renewable water resources per capita,1967,48969.9311020275,E
194,Total internal renewable water resources per capita,1972,42610.8864281155,E
195,Total internal renewable water resources per capita,1977,37114.7336007519,E
196,Total internal renewable water resources per capita,1982,32470.7057410481,E
197,Total internal renewable water resources per capita,1987,28545.4132785904,E
198,Total internal renewable water resources per capita,1992,24106.7679108062,E
199,Total internal renewable water resources per capita,1997,20535.2021279945,E
200,Total internal renewable water resources per capita,2002,18046.3191263753,E
201,Total internal renewable water resources per capita,2007,15396.8057068363,E
202,Total internal renewable water resources per capita,2012,13039.5575115987,E
203,Total internal renewable water resources per capita,2017,11056.6789441668,E
204,Total internal renewable water resources per capita,2018,10705.607672238,E
205,Total renewable surface water,1962,1282.0,E
206,Total renewable surface water,1967,1282.0,E
207,Total renewable surface water,1972,1282.0,E
208,Total renewable surface water,1977,1282.0,E
209,Total renewable surface water,1982,1282.0,E
210,Total renewable surface water,1987,1282.0,E
211,Total renewable surface water,1992,1282.0,E
212,Total renewable surface water,1997,1282.0,E
213,Total renewable surface water,2002,1282.0,E
214,Total renewable surface water,2007,1282.0,E
215,Total renewable surface water,2012,1282.0,E
216,Total renewable surface water,2017,1282.0,E
217,Total renewable surface water,2018,1282.0,E
218,Total renewable groundwater,1962,421.0,E
219,Total renewable groundwater,1967,421.0,E
220,Total renewable groundwater,1972,421.0,E
221,Total renewable groundwater,1977,421.0,E
222,Total renewable groundwater,1982,421.0,E
223,Total renewable groundwater,1987,421.0,E
224,Total renewable groundwater,1992,421.0,E
225,Total renewable groundwater,1997,421.0,E
226,Total renewable groundwater,2002,421.0,E
227,Total renewable groundwater,2007,421.0,E
228,Total renewable groundwater,2012,421.0,E
229,Total renewable groundwater,2017,421.0,E
230,Total renewable groundwater,2018,421.0,E
231,Water resources: total external renewable,1962,383.0,E
232,Water resources: total external renewable,1967,383.0,E
233,Water resources: total external renewable,1972,383.0,E
234,Water resources: total external renewable,1977,383.0,E
235,Water resources: total external renewable,1982,383.0,E
236,Water resources: total external renewable,1987,383.0,E
237,Water resources: total external renewable,1992,383.0,E
238,Water resources: total external renewable,1997,383.0,E
239,Water resources: total external renewable,2002,383.0,E
240,Water resources: total external renewable,2007,383.0,E
241,Water resources: total external renewable,2012,383.0,E
242,Water resources: total external renewable,2017,383.0,E
243,Water resources: total external renewable,2018,383.0,E
244,Total renewable water resources,1962,1283.0,E
245,Total renewable water resources,1967,1283.0,E
246,Total renewable water resources,1972,1283.0,E
247,Total renewable water resources,1977,1283.0,E
248,Total renewable water resources,1982,1283.0,E
249,Total renewable water resources,1987,1283.0,E
250,Total renewable water resources,1992,1283.0,E
251,Total renewable water resources,1997,1283.0,E
252,Total renewable water resources,2002,1283.0,E
253,Total renewable water resources,2007,1283.0,E
254,Total renewable water resources,2012,1283.0,E
255,Total renewable water resources,2017,1283.0,E
256,Total renewable water resources,2018,1283.0,E
257,Total renewable water resources per capita,1962,79981.5973752571,E
258,Total renewable water resources per capita,1967,69809.3573376681,E
259,Total renewable water resources per capita,1972,60744.1858747468,E
260,Total renewable water resources per capita,1977,52909.1146775163,E
261,Total renewable water resources per capita,1982,46288.7949619607,E
262,Total renewable water resources per capita,1987,40693.0724849239,E
263,Total renewable water resources per capita,1992,34365.5369217382,E
264,Total renewable water resources per capita,1997,29274.0714780189,E
265,Total renewable water resources per capita,2002,25726.0304879328,E
266,Total renewable water resources per capita,2007,21949.00191319,E
267,Total renewable water resources per capita,2012,18588.6136526456,E
268,Total renewable water resources per capita,2017,15761.9100948511,E
269,Total renewable water resources per capita,2018,15261.438492757,E
270,Total agricultural water managed area,1997,13.5,I
271,Total agricultural water managed area,2002,13.5,I
272,Total agricultural water managed area,2007,13.5,I
273,Total agricultural water managed area,2012,13.5,I
274,Total agricultural water managed area,2017,13.5,I
275,Total agricultural water managed area,2018,13.5,I
276,Area equipped for irrigation: total,1997,10.5,I
277,Area equipped for irrigation: total,2002,10.5,I
278,Area equipped for irrigation: total,2007,10.5,I
279,Area equipped for irrigation: total,2012,10.5,I
280,Area equipped for irrigation: total,2017,10.5,I
281,Area equipped for irrigation: total,2018,10.5,I
282,% of agricultural GVA produced by irrigated agriculture,1997,0.5032620786,E
283,% of agricultural GVA produced by irrigated agriculture,2002,0.4164823888,E
284,% of agricultural GVA produced by irrigated agriculture,2007,0.3194780685,E
285,% of agricultural GVA produced by irrigated agriculture,2012,0.1894242435,E
286,% of agricultural GVA produced by irrigated agriculture,2017,0.1791251587,E
287,% of agricultural GVA produced by irrigated agriculture,2018,0.1791251587,E
288,Ratio between rainfed and irrigated yields,1962,3.058,E
289,Ratio between rainfed and irrigated yields,1967,3.058,E
290,Ratio between rainfed and irrigated yields,1972,3.058,E
291,Ratio between rainfed and irrigated yields,1977,3.058,E
292,Ratio between rainfed and irrigated yields,1982,3.058,E
293,Ratio between rainfed and irrigated yields,1987,3.058,E
294,Ratio between rainfed and irrigated yields,1992,3.058,E
295,Ratio between rainfed and irrigated yields,1997,3.058,E
296,Ratio between rainfed and irrigated yields,2002,3.058,E
297,Ratio between rainfed and irrigated yields,2007,3.058,I
298,Ratio between rainfed and irrigated yields,2012,3.058,E
299,Ratio between rainfed and irrigated yields,2017,3.058,I
300,Ratio between rainfed and irrigated yields,2018,3.058,I
301,Agricultural water withdrawal as % of total renewable water resources,1997,0.0061231489,I
302,Agricultural water withdrawal as % of total renewable water resources,2002,0.005604053,I
303,Agricultural water withdrawal as % of total renewable water resources,2007,0.005604053,I
304,Agricultural water withdrawal as % of total renewable water resources,2012,0.005604053,I
305,Agricultural water withdrawal as % of total renewable water resources,2017,0.005604053,I
306,Agricultural water withdrawal as % of total renewable water resources,2018,0.005604053,I
307,Agricultural water withdrawal,1997,0.07856,I
308,Agricultural water withdrawal,2002,0.0719,I
309,Agricultural water withdrawal,2007,0.0719,I
310,Agricultural water withdrawal,2012,0.0719,I
311,Agricultural water withdrawal,2017,0.0719,I
312,Agricultural water withdrawal,2018,0.0719,I
313,Irrigation water requirement,2002,0.0196,I
314,Irrigation water requirement,2007,0.0196,I
315,Irrigation water requirement,2012,0.0196,I
316,Irrigation water requirement,2017,0.0196,I
317,Irrigation water requirement,2018,0.0196,I
318,Irrigation water withdrawal,2002,0.0719,I
319,Irrigation water withdrawal,2007,0.0719,I
320,Irrigation water withdrawal,2012,0.0719,I
321,Irrigation water withdrawal,2017,0.0719,I
322,Irrigation water withdrawal,2018,0.0719,I
323,Municipal water withdrawal,1992,0.25066,I
324,Municipal water withdrawal,1997,0.33731,I
325,Municipal water withdrawal,2002,0.41954,I
326,Municipal water withdrawal,2007,0.4649,I
327,Municipal water withdrawal,2012,0.4649,I
328,Municipal water withdrawal,2017,0.4649,I
329,Municipal water withdrawal,2018,0.4649,I
330,Industrial water withdrawal,1992,0.07098,I
331,Industrial water withdrawal,1997,0.10343,I
332,Industrial water withdrawal,2002,0.13246,I
333,Industrial water withdrawal,2007,0.1468,I
334,Industrial water withdrawal,2012,0.1468,I
335,Industrial water withdrawal,2017,0.1468,I
336,Industrial water withdrawal,2018,0.1468,I
337,Total water withdrawal,1997,0.5193,E
338,Total water withdrawal,2002,0.6239,I
339,Total water withdrawal,2007,0.6836,I
340,Total water withdrawal,2012,0.6836,I
341,Total water withdrawal,2017,0.6836,I
342,Total water withdrawal,2018,0.6836,I
343,Total freshwater withdrawal,1997,0.5193,E
344,Total freshwater withdrawal,2002,0.6239,I
345,Total freshwater withdrawal,2007,0.6836,I
346,Total freshwater withdrawal,2012,0.6836,I
347,Total freshwater withdrawal,2017,0.6836,I
348,Total freshwater withdrawal,2018,0.6836,I
361,SDG 6.4.2. Water Stress,1997,0.1723531364,E
362,SDG 6.4.2. Water Stress,2002,0.2070693661,E
363,SDG 6.4.2. Water Stress,2007,0.2268835048,E
364,SDG 6.4.2. Water Stress,2012,0.2268835048,E
365,SDG 6.4.2. Water Stress,2017,0.2268835048,E
366,SDG 6.4.2. Water Stress,2018,0.2268835048,E
367,SDG 6.4.1. Water Use Efficiency,1997,18.6663917375,I
368,SDG 6.4.1. Water Use Efficiency,2002,18.9412847165,I
369,SDG 6.4.1. Water Use Efficiency,2007,24.0830577008,I
370,SDG 6.4.1. Water Use Efficiency,2012,32.0984754441,I
371,SDG 6.4.1. Water Use Efficiency,2017,44.6133404193,I
372,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.5736839251,E
373,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.2565092041,E
374,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.2140190646,E
375,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.1608249072,E
376,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2017,0.199548416,E
377,SDG 6.4.1. Industrial Water Use Efficiency,1991,66.3817570005,E
378,SDG 6.4.1. Industrial Water Use Efficiency,1997,34.6314149274,E
379,SDG 6.4.1. Industrial Water Use Efficiency,2002,38.9378195426,E
380,SDG 6.4.1. Industrial Water Use Efficiency,2007,44.0413406326,E
381,SDG 6.4.1. Industrial Water Use Efficiency,2012,72.347274172,E
382,SDG 6.4.1. Industrial Water Use Efficiency,2017,104.2548819544,E
383,SDG 6.4.1. Services Water Use Efficiency,1991,48.4330848631,E
384,SDG 6.4.1. Services Water Use Efficiency,1997,17.9848251584,E
385,SDG 6.4.1. Services Water Use Efficiency,2002,15.8300065459,E
386,SDG 6.4.1. Services Water Use Efficiency,2007,21.4724058263,E
387,SDG 6.4.1. Services Water Use Efficiency,2012,24.3286183143,E
388,SDG 6.4.1. Services Water Use Efficiency,2017,32.6494198938,E
389,Area waterlogged by irrigation,1997,2.0,I
390,Area waterlogged by irrigation,2002,2.0,I
391,Area waterlogged by irrigation,2007,2.0,I
392,Area waterlogged by irrigation,2012,2.0,I
393,Area waterlogged by irrigation,2017,2.0,I
394,Area waterlogged by irrigation,2018,2.0,I
395,Harvested irrigated temporary crop area: Rice,1997,2.3,I
396,Harvested irrigated temporary crop area: Rice,2002,2.3,I
397,Harvested irrigated temporary crop area: Rice,2006,2.3,I
398,Harvested irrigated temporary crop area: Rice,2012,2.3,I
399,Harvested irrigated temporary crop area: Rice,2017,2.3,I
400,Harvested irrigated temporary crop area: Rice,2018,2.3,I
401,Harvested irrigated temporary crop area: Sugarcane,1997,10.1666666667,I
402,Harvested irrigated temporary crop area: Sugarcane,2002,7.5833333333,I
403,Harvested irrigated temporary crop area: Sugarcane,2006,5.5166666667,I
404,Harvested irrigated temporary crop area: Sugarcane,2012,5.0,I
405,Harvested irrigated temporary crop area: Sugarcane,2017,5.0,I
406,Harvested irrigated temporary crop area: Sugarcane,2018,5.0,I
407,Harvested irrigated temporary crop area: Vegetables,2012,0.5,I
408,Harvested irrigated temporary crop area: Vegetables,2017,0.5,I
409,Harvested irrigated temporary crop area: Vegetables,2018,0.5,I
