Austria,Variable Name,Year,Value,Symbol
152,Groundwater: entering the country (total),1962,0.0,E
153,Groundwater: entering the country (total),1967,0.0,E
154,Groundwater: entering the country (total),1972,0.0,E
155,Groundwater: entering the country (total),1977,0.0,E
156,Groundwater: entering the country (total),1982,0.0,E
157,Groundwater: entering the country (total),1987,0.0,E
158,Groundwater: entering the country (total),1992,0.0,E
159,Groundwater: entering the country (total),1997,0.0,E
160,Groundwater: entering the country (total),2002,0.0,E
161,Groundwater: entering the country (total),2007,0.0,E
162,Groundwater: entering the country (total),2012,0.0,E
163,Groundwater: entering the country (total),2017,0.0,E
164,Groundwater: leaving the country to other countries (total),1962,0.0,OF
165,Groundwater: leaving the country to other countries (total),1967,0.0,OF
166,Groundwater: leaving the country to other countries (total),1972,0.0,OF
167,Groundwater: leaving the country to other countries (total),1977,0.0,OF
168,Groundwater: leaving the country to other countries (total),1982,0.0,OF
169,Groundwater: leaving the country to other countries (total),1987,0.0,OF
170,Groundwater: leaving the country to other countries (total),1992,0.0,OF
171,Groundwater: leaving the country to other countries (total),1997,0.0,OF
172,Groundwater: leaving the country to other countries (total),2002,0.0,OF
173,Groundwater: leaving the country to other countries (total),2007,0.0,OF
174,Groundwater: leaving the country to other countries (total),2012,0.0,OF
175,Groundwater: leaving the country to other countries (total),2017,0.0,OF
176,Dependency ratio,1962,29.2149292149,E
177,Dependency ratio,1967,29.2149292149,E
178,Dependency ratio,1972,29.2149292149,E
179,Dependency ratio,1977,29.2149292149,E
180,Dependency ratio,1982,29.2149292149,E
181,Dependency ratio,1987,29.2149292149,E
182,Dependency ratio,1992,29.2149292149,E
183,Dependency ratio,1997,29.2149292149,E
184,Dependency ratio,2002,29.2149292149,E
185,Dependency ratio,2007,29.2149292149,E
186,Dependency ratio,2012,29.2149292149,E
187,Dependency ratio,2017,29.2149292149,E
188,Dependency ratio,2018,29.2149292149,E
189,Total internal renewable water resources (IRWR),1962,55.0,E
190,Total internal renewable water resources (IRWR),1967,55.0,E
191,Total internal renewable water resources (IRWR),1972,55.0,E
192,Total internal renewable water resources (IRWR),1977,55.0,E
193,Total internal renewable water resources (IRWR),1982,55.0,E
194,Total internal renewable water resources (IRWR),1987,55.0,E
195,Total internal renewable water resources (IRWR),1992,55.0,E
196,Total internal renewable water resources (IRWR),1997,55.0,E
197,Total internal renewable water resources (IRWR),2002,55.0,E
198,Total internal renewable water resources (IRWR),2007,55.0,E
199,Total internal renewable water resources (IRWR),2012,55.0,E
200,Total internal renewable water resources (IRWR),2017,55.0,E
201,Total internal renewable water resources (IRWR),2018,55.0,E
202,Total internal renewable water resources per capita,1962,7684.9634468207,E
203,Total internal renewable water resources per capita,1967,7435.2749179382,E
204,Total internal renewable water resources per capita,1972,7254.8675874545,E
205,Total internal renewable water resources per capita,1977,7202.1806631663,E
206,Total internal renewable water resources per capita,1982,7234.7659178333,E
207,Total internal renewable water resources per capita,1987,7199.5635231889,E
208,Total internal renewable water resources per capita,1992,7023.4287536364,E
209,Total internal renewable water resources per capita,1997,6846.8628172525,E
210,Total internal renewable water resources per capita,2002,6761.3983653643,E
211,Total internal renewable water resources per capita,2007,6615.5568789342,E
212,Total internal renewable water resources per capita,2012,6468.8933852272,E
213,Total internal renewable water resources per capita,2017,6235.8976591687,E
214,Total internal renewable water resources per capita,2018,6185.7608733305,E
215,Total renewable surface water,1962,77.7,E
216,Total renewable surface water,1967,77.7,E
217,Total renewable surface water,1972,77.7,E
218,Total renewable surface water,1977,77.7,E
219,Total renewable surface water,1982,77.7,E
220,Total renewable surface water,1987,77.7,E
221,Total renewable surface water,1992,77.7,E
222,Total renewable surface water,1997,77.7,E
223,Total renewable surface water,2002,77.7,E
224,Total renewable surface water,2007,77.7,E
225,Total renewable surface water,2012,77.7,E
226,Total renewable surface water,2017,77.7,E
227,Total renewable surface water,2018,77.7,E
228,Total renewable groundwater,1962,6.0,E
229,Total renewable groundwater,1967,6.0,E
230,Total renewable groundwater,1972,6.0,E
231,Total renewable groundwater,1977,6.0,E
232,Total renewable groundwater,1982,6.0,E
233,Total renewable groundwater,1987,6.0,E
234,Total renewable groundwater,1992,6.0,E
235,Total renewable groundwater,1997,6.0,E
236,Total renewable groundwater,2002,6.0,E
237,Total renewable groundwater,2007,6.0,E
238,Total renewable groundwater,2012,6.0,E
239,Total renewable groundwater,2017,6.0,E
240,Total renewable groundwater,2018,6.0,E
241,Total exploitable water resources,1962,93.0,E
242,Total exploitable water resources,1967,93.0,E
243,Total exploitable water resources,1972,93.0,E
244,Total exploitable water resources,1977,93.0,E
245,Total exploitable water resources,1982,93.0,E
246,Total exploitable water resources,1987,93.0,E
247,Total exploitable water resources,1992,93.0,E
248,Total exploitable water resources,1997,93.0,E
249,Total exploitable water resources,2002,93.0,E
250,Total exploitable water resources,2007,93.0,E
251,Total exploitable water resources,2012,93.0,E
252,Total exploitable water resources,2017,93.0,E
253,Total exploitable water resources,2018,93.0,E
254,Water resources: total external renewable,1962,22.7,E
255,Water resources: total external renewable,1967,22.7,E
256,Water resources: total external renewable,1972,22.7,E
257,Water resources: total external renewable,1977,22.7,E
258,Water resources: total external renewable,1982,22.7,E
259,Water resources: total external renewable,1987,22.7,E
260,Water resources: total external renewable,1992,22.7,E
261,Water resources: total external renewable,1997,22.7,E
262,Water resources: total external renewable,2002,22.7,E
263,Water resources: total external renewable,2007,22.7,E
264,Water resources: total external renewable,2012,22.7,E
265,Water resources: total external renewable,2017,22.7,E
266,Water resources: total external renewable,2018,22.7,E
267,Total renewable water resources,1962,77.7,E
268,Total renewable water resources,1967,77.7,E
269,Total renewable water resources,1972,77.7,E
270,Total renewable water resources,1977,77.7,E
271,Total renewable water resources,1982,77.7,E
272,Total renewable water resources,1987,77.7,E
273,Total renewable water resources,1992,77.7,E
274,Total renewable water resources,1997,77.7,E
275,Total renewable water resources,2002,77.7,E
276,Total renewable water resources,2007,77.7,E
277,Total renewable water resources,2012,77.7,E
278,Total renewable water resources,2017,77.7,E
279,Total renewable water resources,2018,77.7,E
280,Total renewable water resources per capita,1962,10856.7574512358,E
281,Total renewable water resources per capita,1967,10504.0156567964,E
282,Total renewable water resources per capita,1972,10249.149300822,E
283,Total renewable water resources per capita,1977,10174.7170459641,E
284,Total renewable water resources per capita,1982,10220.7511239209,E
285,Total renewable water resources per capita,1987,10171.0197409414,E
286,Total renewable water resources per capita,1992,9922.189348319,E
287,Total renewable water resources per capita,1997,9672.7498345549,E
288,Total renewable water resources per capita,2002,9552.0118725238,E
289,Total renewable water resources per capita,2007,9345.9776271489,E
290,Total renewable water resources per capita,2012,9138.7821096755,E
291,Total renewable water resources per capita,2017,8809.6226930438,E
292,Total renewable water resources per capita,2018,8738.7930883232,E
293,Total agricultural water managed area,1997,96.26,E
294,Total agricultural water managed area,2002,91.9933333333,I
295,Total agricultural water managed area,2007,117.0,E
296,Total agricultural water managed area,2010,91.97,E
297,Total agricultural water managed area,2017,99.76,I
298,Total agricultural water managed area,2018,99.76,I
299,Area equipped for irrigation: total,1997,96.26,E
300,Area equipped for irrigation: total,2002,91.9933333333,I
301,Area equipped for irrigation: total,2007,117.0,E
302,Area equipped for irrigation: total,2009,100.3133333333,I
303,Area equipped for irrigation: total,2017,99.76,I
304,Area equipped for irrigation: total,2018,99.76,I
305,% of agricultural GVA produced by irrigated agriculture,1997,5.0374313308,E
306,% of agricultural GVA produced by irrigated agriculture,2002,4.2739452968,E
307,% of agricultural GVA produced by irrigated agriculture,2007,5.2264523165,E
308,% of agricultural GVA produced by irrigated agriculture,2012,5.3064947504,E
309,% of agricultural GVA produced by irrigated agriculture,2017,5.39777131,E
310,% of agricultural GVA produced by irrigated agriculture,2018,5.4045384418,E
312,Ratio between rainfed and irrigated yields,1966,1.778,I
313,Ratio between rainfed and irrigated yields,1971,1.778,I
314,Ratio between rainfed and irrigated yields,1976,1.778,I
315,Ratio between rainfed and irrigated yields,1981,1.778,I
316,Ratio between rainfed and irrigated yields,1986,1.778,I
317,Ratio between rainfed and irrigated yields,1991,1.778,I
318,Ratio between rainfed and irrigated yields,1996,1.778,I
319,Ratio between rainfed and irrigated yields,2001,1.778,I
320,Ratio between rainfed and irrigated yields,2007,1.778,I
321,Ratio between rainfed and irrigated yields,2011,1.778,I
322,Ratio between rainfed and irrigated yields,2017,1.778,I
323,Ratio between rainfed and irrigated yields,2018,1.778,I
324,Agricultural water withdrawal as % of total renewable water resources,1982,0.1724581725,I
325,Agricultural water withdrawal as % of total renewable water resources,1987,0.2059202059,I
326,Agricultural water withdrawal as % of total renewable water resources,1992,0.1287001287,I
327,Agricultural water withdrawal as % of total renewable water resources,1997,0.1287001287,E
328,Agricultural water withdrawal as % of total renewable water resources,2002,0.1287001287,E
329,Agricultural water withdrawal as % of total renewable water resources,2007,0.1102799228,I
330,Agricultural water withdrawal as % of total renewable water resources,2012,0.0992277992,I
331,Agricultural water withdrawal as % of total renewable water resources,2017,0.0992277992,I
332,Agricultural water withdrawal as % of total renewable water resources,2018,0.0992277992,I
333,Agricultural water withdrawal,1982,0.134,I
334,Agricultural water withdrawal,1987,0.16,I
335,Agricultural water withdrawal,1992,0.1,I
336,Agricultural water withdrawal,1997,0.1,X
337,Agricultural water withdrawal,2002,0.1,X
338,Agricultural water withdrawal,2007,0.0856875,I
339,Agricultural water withdrawal,2012,0.0771,I
340,Agricultural water withdrawal,2017,0.0771,I
341,Agricultural water withdrawal,2018,0.0771,I
342,Irrigation water requirement,2012,0.0599,I
343,Irrigation water requirement,2017,0.0599,I
344,Irrigation water requirement,2018,0.0599,I
345,Irrigation water withdrawal,1982,0.052,I
346,Irrigation water withdrawal,1987,0.053,I
347,Irrigation water withdrawal,1991,0.05,I
348,Irrigation water withdrawal,1997,0.0675,X
349,Irrigation water withdrawal,2002,0.054,I
350,Irrigation water withdrawal,2007,0.0315,I
351,Irrigation water withdrawal,2012,0.018,I
352,Irrigation water withdrawal,2017,0.018,I
353,Irrigation water withdrawal,2018,0.018,I
354,Municipal water withdrawal,1982,0.61844,I
355,Municipal water withdrawal,1987,0.69932,I
356,Municipal water withdrawal,1992,0.6879,I
357,Municipal water withdrawal,1997,0.6871,X
358,Municipal water withdrawal,2002,0.6484333333,I
359,Municipal water withdrawal,2007,0.6146555556,I
360,Municipal water withdrawal,2012,0.72,I
361,Municipal water withdrawal,2017,0.72,I
362,Municipal water withdrawal,2018,0.72,I
363,Industrial water withdrawal,1982,2.6848,I
364,Industrial water withdrawal,1987,2.8114,I
365,Industrial water withdrawal,1992,2.876,I
366,Industrial water withdrawal,1997,2.857,X
367,Industrial water withdrawal,2002,2.831,I
368,Industrial water withdrawal,2007,2.7176666667,I
369,Industrial water withdrawal,2012,2.695,I
370,Industrial water withdrawal,2017,2.695,I
371,Industrial water withdrawal,2018,2.695,I
372,Total water withdrawal,1982,3.43724,I
373,Total water withdrawal,1987,3.67072,I
374,Total water withdrawal,1992,3.6639,I
375,Total water withdrawal,1997,3.6441,E
376,Total water withdrawal,2002,3.5794333333,E
377,Total water withdrawal,2007,3.4180097222,E
378,Total water withdrawal,2012,3.4921,E
379,Total water withdrawal,2017,3.4921,E
380,Total water withdrawal,2018,3.4921,E
381,Fresh surface water withdrawal,1982,2.2002,I
382,Fresh surface water withdrawal,1987,2.3394,I
383,Fresh surface water withdrawal,1992,2.4486,I
384,Fresh surface water withdrawal,1996,2.3885,I
385,Fresh surface water withdrawal,2002,2.4890690125,I
386,Fresh surface water withdrawal,2007,2.4512319626,I
387,Fresh surface water withdrawal,2012,2.4285297327,I
388,Fresh surface water withdrawal,2017,2.4285297327,I
389,Fresh surface water withdrawal,2018,2.4285297327,I
390,Fresh groundwater withdrawal,1982,1.2346,I
391,Fresh groundwater withdrawal,1987,1.3288,I
392,Fresh groundwater withdrawal,1992,1.2132,I
393,Fresh groundwater withdrawal,1997,1.148,X
394,Fresh groundwater withdrawal,2002,1.0879309875,I
395,Fresh groundwater withdrawal,2007,1.0713930374,I
396,Fresh groundwater withdrawal,2012,1.0614702673,I
397,Fresh groundwater withdrawal,2017,1.0614702673,I
398,Fresh groundwater withdrawal,2018,1.0614702673,I
399,Total freshwater withdrawal,1982,3.4348,I
400,Total freshwater withdrawal,1987,3.6682,I
401,Total freshwater withdrawal,1992,3.6618,I
402,Total freshwater withdrawal,1997,3.642,E
403,Total freshwater withdrawal,1999,3.666,E
404,Total freshwater withdrawal,2007,3.522625,I
405,Total freshwater withdrawal,2012,3.49,I
406,Total freshwater withdrawal,2017,3.49,I
407,Total freshwater withdrawal,2018,3.49,I
408,Desalinated water produced,1982,0.0022,I
409,Desalinated water produced,1987,0.0022,I
410,Desalinated water produced,1992,0.0022,I
411,Desalinated water produced,1997,0.0022,E
412,Desalinated water produced,2002,0.0022,I
413,Desalinated water produced,2007,0.0022,I
414,Desalinated water produced,2012,0.0022,I
415,Desalinated water produced,2017,0.0022,I
416,Desalinated water produced,2018,0.0022,I
417,Produced municipal wastewater,2002,1.0503333333,I
418,Produced municipal wastewater,2007,1.054,I
419,Produced municipal wastewater,2012,1.054,I
420,Produced municipal wastewater,2017,1.054,I
421,Produced municipal wastewater,2018,1.054,I
422,Collected municipal wastewater,2002,0.9943333333,I
423,Collected municipal wastewater,2007,1.25,I
424,Collected municipal wastewater,2012,1.919,I
425,Collected municipal wastewater,2017,1.919,I
426,Collected municipal wastewater,2018,1.919,I
427,Not treated municipal wastewater,2002,0.13035,I
428,Not treated municipal wastewater,2007,0.2,I
429,Not treated municipal wastewater,2012,0.02,I
430,Not treated municipal wastewater,2017,0.02,I
431,Not treated municipal wastewater,2018,0.02,I
432,Treated municipal wastewater,2007,0.8,I
433,Treated municipal wastewater,2012,1.919,I
434,Treated municipal wastewater,2017,1.919,I
435,Treated municipal wastewater,2018,1.919,I
436,Treated municipal wastewater discharged (secondary water),2007,0.8,I
437,Treated municipal wastewater discharged (secondary water),2012,0.806,I
438,Treated municipal wastewater discharged (secondary water),2017,0.806,I
439,Treated municipal wastewater discharged (secondary water),2018,0.806,I
440,Not treated municipal wastewater discharged (secondary water),2002,0.0007,I
441,Not treated municipal wastewater discharged (secondary water),2007,0.0007,I
442,Not treated municipal wastewater discharged (secondary water),2012,0.0007,I
443,Not treated municipal wastewater discharged (secondary water),2017,0.0007,I
444,Not treated municipal wastewater discharged (secondary water),2018,0.0007,I
457,SDG 6.4.2. Water Stress,1982,9.4910196187,E
458,SDG 6.4.2. Water Stress,1987,10.1359491572,E
459,SDG 6.4.2. Water Stress,1992,10.118264714,E
460,SDG 6.4.2. Water Stress,1997,10.0635534678,E
461,SDG 6.4.2. Water Stress,2002,9.8839458414,E
462,SDG 6.4.2. Water Stress,2007,9.7336971539,E
463,SDG 6.4.2. Water Stress,2012,9.6435479414,E
464,SDG 6.4.2. Water Stress,2017,9.6435479414,E
465,SDG 6.4.2. Water Stress,2018,9.6435479414,E
466,SDG 6.4.1. Water Use Efficiency,1997,67.1770648176,I
467,SDG 6.4.1. Water Use Efficiency,2002,78.500721439,I
468,SDG 6.4.1. Water Use Efficiency,2006,89.6142342102,I
469,SDG 6.4.1. Water Use Efficiency,2015,96.3437901959,I
470,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,2.6927215731,E
471,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,2.1387619582,E
472,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,2.5954133641,E
473,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,2.9870756687,E
474,SDG 6.4.1. Industrial Water Use Efficiency,1982,20.1167822954,E
475,SDG 6.4.1. Industrial Water Use Efficiency,1987,19.8323492655,E
476,SDG 6.4.1. Industrial Water Use Efficiency,1992,22.5966680856,E
477,SDG 6.4.1. Industrial Water Use Efficiency,1997,24.7835527115,E
478,SDG 6.4.1. Industrial Water Use Efficiency,2002,27.5016015752,E
479,SDG 6.4.1. Industrial Water Use Efficiency,2006,31.072133205,E
480,SDG 6.4.1. Industrial Water Use Efficiency,2015,32.008848315,E
481,SDG 6.4.1. Services Water Use Efficiency,1982,183.1437541118,E
482,SDG 6.4.1. Services Water Use Efficiency,1987,182.5154218297,E
483,SDG 6.4.1. Services Water Use Efficiency,1992,224.5649286871,E
484,SDG 6.4.1. Services Water Use Efficiency,1997,252.8366462637,E
485,SDG 6.4.1. Services Water Use Efficiency,2002,312.9345428794,E
486,SDG 6.4.1. Services Water Use Efficiency,2006,360.1764825633,E
487,SDG 6.4.1. Services Water Use Efficiency,2015,347.15,E
488,Harvested irrigated temporary crop area: Wheat,1997,2.0275,I
489,Harvested irrigated temporary crop area: Wheat,2002,2.54625,I
490,Harvested irrigated temporary crop area: Wheat,2007,2.65,I
491,Harvested irrigated temporary crop area: Wheat,2012,2.65,I
492,Harvested irrigated temporary crop area: Wheat,2017,2.65,I
493,Harvested irrigated temporary crop area: Wheat,2018,2.65,I
494,Harvested irrigated temporary crop area: Maize,1997,7.885,I
495,Harvested irrigated temporary crop area: Maize,2002,9.4475,I
496,Harvested irrigated temporary crop area: Maize,2007,7.872,I
497,Harvested irrigated temporary crop area: Maize,2012,7.4,I
498,Harvested irrigated temporary crop area: Maize,2017,7.4,I
499,Harvested irrigated temporary crop area: Maize,2018,7.4,I
500,Harvested irrigated temporary crop area: Other cereals,2012,8.5,I
501,Harvested irrigated temporary crop area: Other cereals,2017,8.5,I
502,Harvested irrigated temporary crop area: Other cereals,2018,8.5,I
503,Harvested irrigated temporary crop area: Potatoes,1997,4.54,I
504,Harvested irrigated temporary crop area: Potatoes,2002,4.34,I
505,Harvested irrigated temporary crop area: Potatoes,2007,3.42,I
506,Harvested irrigated temporary crop area: Potatoes,2012,3.2,I
507,Harvested irrigated temporary crop area: Potatoes,2017,3.2,I
508,Harvested irrigated temporary crop area: Potatoes,2018,3.2,I
509,Harvested irrigated temporary crop area: Sugar beet,1997,11.425,I
510,Harvested irrigated temporary crop area: Sugar beet,2002,9.5125,I
511,Harvested irrigated temporary crop area: Sugar beet,2007,7.186,I
512,Harvested irrigated temporary crop area: Sugar beet,2012,6.7,I
513,Harvested irrigated temporary crop area: Sugar beet,2017,6.7,I
514,Harvested irrigated temporary crop area: Sugar beet,2018,6.7,I
515,Harvested irrigated temporary crop area: Leguminous crops,2012,6.5,I
516,Harvested irrigated temporary crop area: Leguminous crops,2017,6.5,I
517,Harvested irrigated temporary crop area: Leguminous crops,2018,6.5,I
518,Harvested irrigated temporary crop area: Vegetables,2012,2.2,I
519,Harvested irrigated temporary crop area: Vegetables,2017,2.2,I
520,Harvested irrigated temporary crop area: Vegetables,2018,2.2,I
521,Harvested irrigated permanent crop area: Citrus,1997,0.0,I
522,Harvested irrigated permanent crop area: Citrus,2002,0.0,I
523,Harvested irrigated permanent crop area: Citrus,2007,0.0,I
524,Harvested irrigated permanent crop area: Citrus,2012,0.0,I
525,Harvested irrigated permanent crop area: Citrus,2017,0.0,I
526,Harvested irrigated permanent crop area: Citrus,2018,0.0,I
527,Harvested irrigated temporary crop area: Fodder,1997,0.5375,I
528,Harvested irrigated temporary crop area: Fodder,2002,0.60625,I
529,Harvested irrigated temporary crop area: Fodder,2007,0.62,I
530,Harvested irrigated temporary crop area: Fodder,2012,0.62,I
531,Harvested irrigated temporary crop area: Fodder,2017,0.62,I
532,Harvested irrigated temporary crop area: Fodder,2018,0.62,I
533,Harvested irrigated temporary crop area: Soybeans,1997,0.5225,I
534,Harvested irrigated temporary crop area: Soybeans,2002,0.35375,I
535,Harvested irrigated temporary crop area: Soybeans,2007,0.32,I
536,Harvested irrigated temporary crop area: Soybeans,2012,0.32,I
537,Harvested irrigated temporary crop area: Soybeans,2017,0.32,I
538,Harvested irrigated temporary crop area: Soybeans,2018,0.32,I
539,Harvested irrigated temporary crop area: Sunflower,1997,1.4925,I
540,Harvested irrigated temporary crop area: Sunflower,2002,1.22375,I
541,Harvested irrigated temporary crop area: Sunflower,2007,1.17,I
542,Harvested irrigated temporary crop area: Sunflower,2012,1.17,I
543,Harvested irrigated temporary crop area: Sunflower,2017,1.17,I
544,Harvested irrigated temporary crop area: Sunflower,2018,1.17,I
545,Harvested irrigated temporary crop area: Other crops,2012,4.2,I
546,Harvested irrigated temporary crop area: Other crops,2017,4.2,I
547,Harvested irrigated temporary crop area: Other crops,2018,4.2,I
548,Harvested irrigated permanent crop area: Other crops,1997,1.315,I
549,Harvested irrigated permanent crop area: Other crops,2002,1.7025,I
550,Harvested irrigated permanent crop area: Other crops,2007,1.78,I
