Armenia,Variable Name,Year,Value,Symbol
137,Total renewable surface water,2002,4.858,E
138,Total renewable surface water,2007,4.858,E
139,Total renewable surface water,2012,4.858,E
140,Total renewable surface water,2017,4.858,E
141,Total renewable surface water,2018,4.858,E
142,Total renewable groundwater,1992,4.311,E
143,Total renewable groundwater,1997,4.311,E
144,Total renewable groundwater,2002,4.311,E
145,Total renewable groundwater,2007,4.311,E
146,Total renewable groundwater,2012,4.311,E
147,Total renewable groundwater,2017,4.311,E
148,Total renewable groundwater,2018,4.311,E
149,Water resources: total external renewable,1992,0.91,E
150,Water resources: total external renewable,1997,0.91,E
151,Water resources: total external renewable,2002,0.91,E
152,Water resources: total external renewable,2007,0.91,E
153,Water resources: total external renewable,2012,0.91,E
154,Water resources: total external renewable,2017,0.91,E
155,Water resources: total external renewable,2018,0.91,E
156,Total renewable water resources,1992,7.769,E
157,Total renewable water resources,1997,7.769,E
158,Total renewable water resources,2002,7.769,E
159,Total renewable water resources,2007,7.769,E
160,Total renewable water resources,2012,7.769,E
161,Total renewable water resources,2017,7.769,E
162,Total renewable water resources,2018,7.769,E
163,Total renewable water resources per capita,1992,2256.5823277856,E
164,Total renewable water resources per capita,1997,2479.6614459404,E
165,Total renewable water resources per capita,2002,2560.6645796377,E
166,Total renewable water resources per capita,2007,2649.1687632007,E
167,Total renewable water resources per capita,2012,2693.6094644193,E
168,Total renewable water resources per capita,2017,2638.2177886308,E
169,Total renewable water resources per capita,2018,2632.0024256838,E
170,Total agricultural water managed area,1992,275.8,E
171,Total agricultural water managed area,1997,284.5,E
172,Total agricultural water managed area,2002,273.5,E
173,Total agricultural water managed area,2007,255.9777777778,I
174,Total agricultural water managed area,2012,168.3666666667,I
175,Total agricultural water managed area,2017,97.5,E
176,Area equipped for irrigation: total,1992,275.8,E
177,Area equipped for irrigation: total,1997,284.5,E
178,Area equipped for irrigation: total,2002,273.5,E
179,Area equipped for irrigation: total,2007,255.9777777778,I
180,Area equipped for irrigation: total,2012,168.3666666667,I
181,Area equipped for irrigation: total,2017,97.5,E
182,% of agricultural GVA produced by irrigated agriculture,1997,48.6724989358,E
183,% of agricultural GVA produced by irrigated agriculture,2002,49.560852006,E
184,% of agricultural GVA produced by irrigated agriculture,2007,47.9315260444,E
185,% of agricultural GVA produced by irrigated agriculture,2012,44.2443715393,E
186,% of agricultural GVA produced by irrigated agriculture,2017,37.5761443407,E
187,% of agricultural GVA produced by irrigated agriculture,2018,25.6459148349,E
189,Ratio between rainfed and irrigated yields,1996,1.778,I
190,Ratio between rainfed and irrigated yields,2001,1.778,I
191,Ratio between rainfed and irrigated yields,2007,1.778,I
192,Ratio between rainfed and irrigated yields,2011,1.778,I
193,Ratio between rainfed and irrigated yields,2017,1.778,I
194,Ratio between rainfed and irrigated yields,2018,1.778,I
195,Agricultural water withdrawal as % of total renewable water resources,1997,22.0311494401,I
196,Agricultural water withdrawal as % of total renewable water resources,2002,14.6737031793,E
197,Agricultural water withdrawal as % of total renewable water resources,2007,24.3274552709,E
198,Agricultural water withdrawal as % of total renewable water resources,2012,27.1334792123,E
199,Agricultural water withdrawal as % of total renewable water resources,2016,32.7455270949,E
200,Agricultural water withdrawal as % of total renewable water resources,2018,24.2244819153,E
201,Agricultural water withdrawal,1997,1.7116,I
202,Agricultural water withdrawal,2002,1.14,E
203,Agricultural water withdrawal,2007,1.89,OF
204,Agricultural water withdrawal,2012,2.108,OF
205,Agricultural water withdrawal,2016,2.544,OF
206,Irrigation water requirement,2007,0.624,I
207,Irrigation water requirement,2012,0.624,I
208,Irrigation water requirement,2017,0.624,I
209,Irrigation water requirement,2018,0.624,I
210,Irrigation water withdrawal,2012,1.496,OF
211,Irrigation water withdrawal,2017,1.612,OF
212,Municipal water withdrawal,1997,0.76552,I
213,Municipal water withdrawal,2002,0.5168,E
214,Municipal water withdrawal,2007,0.79498,I
215,Municipal water withdrawal,2012,0.6005,OF
216,Municipal water withdrawal,2016,0.5302,OF
217,Industrial water withdrawal,1997,0.1076,I
218,Industrial water withdrawal,2002,0.0766,E
219,Industrial water withdrawal,2007,0.13802,I
220,Industrial water withdrawal,2012,0.2322,OF
221,Industrial water withdrawal,2017,0.1224,OF
222,Total water withdrawal,1997,2.58472,I
223,Total water withdrawal,2002,1.7334,E
224,Total water withdrawal,2007,2.823,E
225,Total water withdrawal,2012,2.941,OF
226,Total water withdrawal,2014,2.8595,E
227,Fresh surface water withdrawal,1997,1.33,OF
228,Fresh surface water withdrawal,2002,1.158,OF
229,Fresh surface water withdrawal,2007,2.154,OF
230,Fresh surface water withdrawal,2012,1.627,OF
231,Fresh surface water withdrawal,2017,1.72,OF
232,Fresh groundwater withdrawal,1997,0.52,OF
233,Fresh groundwater withdrawal,2002,0.575,OF
234,Fresh groundwater withdrawal,2007,0.858,OF
235,Fresh groundwater withdrawal,2012,1.314,OF
236,Fresh groundwater withdrawal,2017,1.15,OF
237,Total freshwater withdrawal,1997,1.85,OF
238,Total freshwater withdrawal,2002,1.732,OF
239,Total freshwater withdrawal,2007,3.012,OF
240,Total freshwater withdrawal,2012,2.941,OF
241,Total freshwater withdrawal,2017,2.865,OF
242,Desalinated water produced,2017,0.0,I
243,Desalinated water produced,2018,0.0,I
244,Direct use of treated municipal wastewater,1997,0.0001,I
245,Direct use of treated municipal wastewater,2002,0.0001,I
246,Direct use of treated municipal wastewater,2007,9.09091e-05,I
247,Direct use of treated municipal wastewater,2012,4.54545e-05,I
248,Direct use of treated municipal wastewater,2016,9.0909e-06,I
249,Direct use of treated municipal wastewater,2018,0.0,I
250,Produced municipal wastewater,2002,0.237,
251,Produced municipal wastewater,2007,0.347,I
252,Produced municipal wastewater,2012,0.267,I
253,Produced municipal wastewater,2017,0.236,I
254,Produced municipal wastewater,2018,0.236,I
255,Collected municipal wastewater,2018,0.1,I
257,Not treated municipal wastewater,2007,0.274,I
258,Not treated municipal wastewater,2012,0.274,I
259,Not treated municipal wastewater,2017,0.274,I
260,Not treated municipal wastewater,2018,0.274,I
261,Treated municipal wastewater,2002,0.128,OF
262,Treated municipal wastewater,2007,0.0942,I
263,Treated municipal wastewater,2012,0.1196666667,I
264,Treated municipal wastewater,2017,0.17,OF
265,Treated municipal wastewater discharged (secondary water),2007,0.0889,I
266,Treated municipal wastewater discharged (secondary water),2012,0.0889,I
267,Treated municipal wastewater discharged (secondary water),2017,0.0889,I
268,Treated municipal wastewater discharged (secondary water),2018,0.0889,I
275,SDG 6.4.2. Water Stress,1997,37.3209602582,E
276,SDG 6.4.2. Water Stress,2002,34.9404881985,E
277,SDG 6.4.2. Water Stress,2007,60.7625579988,E
278,SDG 6.4.2. Water Stress,2012,59.3302400646,E
279,SDG 6.4.2. Water Stress,2017,57.7970546702,E
280,SDG 6.4.2. Water Stress,2018,54.7508573734,E
281,SDG 6.4.1. Water Use Efficiency,1997,0.9911500642,I
282,SDG 6.4.1. Water Use Efficiency,2002,2.2095662575,I
283,SDG 6.4.1. Water Use Efficiency,2006,2.2931166916,E
284,SDG 6.4.1. Water Use Efficiency,2010,3.4739340661,E
285,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.2603730985,E
286,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.4698988262,E
287,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,0.3674125245,E
288,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2010,0.5404258518,E
289,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.2619773325,E
290,SDG 6.4.1. Industrial Water Use Efficiency,1997,7.5849721199,E
291,SDG 6.4.1. Industrial Water Use Efficiency,2002,17.448563067,E
292,SDG 6.4.1. Industrial Water Use Efficiency,2006,22.3240177279,E
293,SDG 6.4.1. Industrial Water Use Efficiency,2010,13.4581512003,E
294,SDG 6.4.1. Industrial Water Use Efficiency,2016,19.9674125472,E
295,SDG 6.4.1. Services Water Use Efficiency,1997,1.6982545178,E
296,SDG 6.4.1. Services Water Use Efficiency,2002,3.788346668,E
297,SDG 6.4.1. Services Water Use Efficiency,2006,3.5695359291,E
298,SDG 6.4.1. Services Water Use Efficiency,2010,5.9540081167,E
299,SDG 6.4.1. Services Water Use Efficiency,2016,10.9387337018,E
300,Area salinized by irrigation,1997,31.2836363636,I
301,Area salinized by irrigation,2002,25.2427272727,I
302,Area salinized by irrigation,2007,20.41,I
303,Area salinized by irrigation,2012,20.41,I
304,Area salinized by irrigation,2017,20.41,I
305,Area salinized by irrigation,2018,20.41,I
306,Area waterlogged by irrigation,1992,20.58,OF
307,Area waterlogged by irrigation,1997,29.82,OF
308,Area waterlogged by irrigation,2002,17.96,OF
309,Area waterlogged by irrigation,2007,18.72,I
310,Area waterlogged by irrigation,2012,18.72,I
311,Area waterlogged by irrigation,2017,18.72,I
312,Area waterlogged by irrigation,2018,18.72,I
313,Harvested irrigated temporary crop area: Wheat,1997,31.7272727273,I
314,Harvested irrigated temporary crop area: Wheat,2002,33.5454545455,I
315,Harvested irrigated temporary crop area: Wheat,2007,35.0,I
316,Harvested irrigated temporary crop area: Wheat,2012,35.0,I
317,Harvested irrigated temporary crop area: Wheat,2017,35.0,I
318,Harvested irrigated temporary crop area: Wheat,2018,35.0,I
319,Harvested irrigated temporary crop area: Barley,1997,23.9818181818,I
320,Harvested irrigated temporary crop area: Barley,2002,13.9363636364,I
321,Harvested irrigated temporary crop area: Barley,2007,5.9,I
322,Harvested irrigated temporary crop area: Barley,2012,5.9,I
323,Harvested irrigated temporary crop area: Barley,2017,5.9,I
324,Harvested irrigated temporary crop area: Barley,2018,5.9,I
325,Harvested irrigated temporary crop area: Maize,1997,1.3,I
326,Harvested irrigated temporary crop area: Maize,2002,2.3,I
327,Harvested irrigated temporary crop area: Maize,2007,3.1,I
328,Harvested irrigated temporary crop area: Maize,2012,3.1,I
329,Harvested irrigated temporary crop area: Maize,2017,3.1,I
330,Harvested irrigated temporary crop area: Maize,2018,3.1,I
331,Harvested irrigated temporary crop area: Other cereals,2007,0.3,I
332,Harvested irrigated temporary crop area: Other cereals,2012,0.3,I
333,Harvested irrigated temporary crop area: Other cereals,2017,0.3,I
334,Harvested irrigated temporary crop area: Other cereals,2018,0.3,I
335,Harvested irrigated temporary crop area: Potatoes,2007,24.0,I
336,Harvested irrigated temporary crop area: Potatoes,2012,24.0,I
337,Harvested irrigated temporary crop area: Potatoes,2017,24.0,I
338,Harvested irrigated temporary crop area: Potatoes,2018,24.0,I
339,Harvested irrigated temporary crop area: Other roots and tubers,1997,32.6,I
340,Harvested irrigated temporary crop area: Other roots and tubers,2002,32.6,I
341,Harvested irrigated temporary crop area: Other roots and tubers,2007,32.6,I
342,Harvested irrigated temporary crop area: Other roots and tubers,2012,32.6,I
343,Harvested irrigated temporary crop area: Other roots and tubers,2017,32.6,I
344,Harvested irrigated temporary crop area: Other roots and tubers,2018,32.6,I
345,Harvested irrigated temporary crop area: Sugar beet,2007,0.2,I
346,Harvested irrigated temporary crop area: Sugar beet,2012,0.2,I
347,Harvested irrigated temporary crop area: Sugar beet,2017,0.2,I
348,Harvested irrigated temporary crop area: Sugar beet,2018,0.2,I
349,Harvested irrigated temporary crop area: Leguminous crops,2007,2.0,I
350,Harvested irrigated temporary crop area: Leguminous crops,2012,2.0,I
351,Harvested irrigated temporary crop area: Leguminous crops,2017,2.0,I
352,Harvested irrigated temporary crop area: Leguminous crops,2018,2.0,I
353,Harvested irrigated temporary crop area: Vegetables,1997,21.4,I
354,Harvested irrigated temporary crop area: Vegetables,2002,22.4,I
355,Harvested irrigated temporary crop area: Vegetables,2007,23.2,I
356,Harvested irrigated temporary crop area: Vegetables,2012,23.2,I
357,Harvested irrigated temporary crop area: Vegetables,2017,23.2,I
358,Harvested irrigated temporary crop area: Vegetables,2018,23.2,I
359,Harvested irrigated temporary crop area: Tobacco,2007,0.2,I
360,Harvested irrigated temporary crop area: Tobacco,2012,0.2,I
361,Harvested irrigated temporary crop area: Tobacco,2017,0.2,I
362,Harvested irrigated temporary crop area: Tobacco,2018,0.2,I
363,Harvested irrigated temporary crop area: Fodder,2007,26.0,I
364,Harvested irrigated temporary crop area: Fodder,2012,26.0,I
365,Harvested irrigated temporary crop area: Fodder,2017,26.0,I
366,Harvested irrigated temporary crop area: Fodder,2018,26.0,I
367,Harvested irrigated temporary crop area: Sunflower,2007,0.2,I
368,Harvested irrigated temporary crop area: Sunflower,2012,0.2,I
369,Harvested irrigated temporary crop area: Sunflower,2017,0.2,I
370,Harvested irrigated temporary crop area: Sunflower,2018,0.2,I
371,Harvested irrigated temporary crop area: Other crops,1997,4.2456363636,I
372,Harvested irrigated temporary crop area: Other crops,2002,4.6647272727,I
373,Harvested irrigated temporary crop area: Other crops,2007,5.0,I
374,Harvested irrigated temporary crop area: Other crops,2012,5.0,I
375,Harvested irrigated temporary crop area: Other crops,2017,5.0,I
376,Harvested irrigated temporary crop area: Other crops,2018,5.0,I
377,Harvested irrigated permanent crop area: Other crops,1997,54.2545454545,I
378,Harvested irrigated permanent crop area: Other crops,2002,52.3909090909,I
379,Harvested irrigated permanent crop area: Other crops,2007,50.9,I
380,Harvested irrigated permanent crop area: Other crops,2012,50.9,I
381,Harvested irrigated permanent crop area: Other crops,2017,50.9,I
382,Harvested irrigated permanent crop area: Other crops,2018,50.9,I
