Thailand,Variable Name,Year,Value,Symbol
90,GDP per capita,2007,3972.206958,X
91,GDP per capita,2012,5859.89206,X
92,GDP per capita,2017,6594.608057,X
93,GDP per capita,2018,7299.352335,X
94,"Agriculture, value added (% GDP)",1962,34.0,X
95,"Agriculture, value added (% GDP)",1967,29.24,X
96,"Agriculture, value added (% GDP)",1972,25.359251,X
97,"Agriculture, value added (% GDP)",1977,24.773932,X
98,"Agriculture, value added (% GDP)",1982,18.548449,X
99,"Agriculture, value added (% GDP)",1987,15.733438,X
100,"Agriculture, value added (% GDP)",1992,10.075777,X
101,"Agriculture, value added (% GDP)",1997,9.064902,X
102,"Agriculture, value added (% GDP)",2002,8.692178,X
103,"Agriculture, value added (% GDP)",2007,9.347683,X
104,"Agriculture, value added (% GDP)",2012,11.504106,X
105,"Agriculture, value added (% GDP)",2017,8.32367,X
106,"Agriculture, value added (% GDP)",2018,8.116788,X
107,"Agriculture, value added to GDP",1962,1125119708.0,X
108,"Agriculture, value added to GDP",1967,1648899053.0,X
109,"Agriculture, value added to GDP",1969,1920538389.0,X
110,Number of people undernourished (3-year average),1992,19800.0,X
111,Number of people undernourished (3-year average),1997,14700.0,X
112,Number of people undernourished (3-year average),2002,11000.0,X
113,Number of people undernourished (3-year average),2007,7000.0,X
114,Number of people undernourished (3-year average),2009,7100.0,X
115,Prevalence of undernourishment (3-year average),1992,34.6,X
116,Prevalence of undernourishment (3-year average),1997,24.7,X
117,Prevalence of undernourishment (3-year average),2001,18.8,X
118,Prevalence of undernourishment (3-year average),2005,13.7,X
119,Prevalence of undernourishment (3-year average),2008,10.2,X
120,Total population with access to safe drinking-water (JMP),1992,88.2,X
121,Total population with access to safe drinking-water (JMP),1997,90.5,X
122,Total population with access to safe drinking-water (JMP),2002,92.9,X
123,Total population with access to safe drinking-water (JMP),2007,95.2,X
124,Total population with access to safe drinking-water (JMP),2012,97.1,X
125,Total population with access to safe drinking-water (JMP),2017,97.8,I
126,Total population with access to safe drinking-water (JMP),2018,97.8,I
127,Population affected by water related disease,1997,960.0,I
128,Population affected by water related disease,2002,960.0,I
129,Population affected by water related disease,2007,960.0,I
130,Population affected by water related disease,2012,960.0,I
131,Population affected by water related disease,2017,960.0,I
132,Population affected by water related disease,2018,960.0,I
133,Long-term average annual precipitation in volume,1962,832.28064,E
134,Long-term average annual precipitation in volume,1967,832.28064,E
135,Long-term average annual precipitation in volume,1972,832.28064,E
136,Long-term average annual precipitation in volume,1977,832.28064,E
137,Long-term average annual precipitation in volume,1982,832.28064,E
138,Long-term average annual precipitation in volume,1987,832.28064,E
139,Long-term average annual precipitation in volume,1992,832.28064,E
140,Long-term average annual precipitation in volume,1997,832.28064,E
141,Long-term average annual precipitation in volume,2002,832.28064,E
142,Long-term average annual precipitation in volume,2007,832.28064,E
143,Long-term average annual precipitation in volume,2012,832.28064,E
144,Long-term average annual precipitation in volume,2017,832.28064,E
145,Long-term average annual precipitation in volume,2018,832.28064,E
146,Interannual variability (WRI),2017,1.0,I
147,Interannual variability (WRI),2018,1.0,I
148,Seasonal variability (WRI),2017,3.5,I
149,Seasonal variability (WRI),2018,3.5,I
150,Flood occurrence (WRI),2017,3.7,I
151,Flood occurrence (WRI),2018,3.7,I
152,Surface water: entering the country (total),1962,0.0,E
153,Surface water: entering the country (total),1967,0.0,E
154,Surface water: entering the country (total),1972,0.0,E
155,Surface water: entering the country (total),1977,0.0,E
156,Surface water: entering the country (total),1982,0.0,E
157,Surface water: entering the country (total),1987,0.0,E
158,Surface water: entering the country (total),1992,0.0,E
159,Surface water: entering the country (total),1997,0.0,E
160,Surface water: entering the country (total),2002,0.0,E
161,Surface water: entering the country (total),2007,0.0,E
162,Surface water: entering the country (total),2012,0.0,E
163,Surface water: entering the country (total),2017,0.0,E
164,Surface water: leaving the country to other countries (total),1962,61.25,E
165,Surface water: leaving the country to other countries (total),1967,61.25,E
166,Surface water: leaving the country to other countries (total),1972,61.25,E
167,Surface water: leaving the country to other countries (total),1977,61.25,E
168,Surface water: leaving the country to other countries (total),1982,61.25,E
169,Surface water: leaving the country to other countries (total),1987,61.25,E
170,Surface water: leaving the country to other countries (total),1992,61.25,E
171,Surface water: leaving the country to other countries (total),1997,61.25,E
172,Surface water: leaving the country to other countries (total),2002,61.25,E
173,Surface water: leaving the country to other countries (total),2007,61.25,E
174,Surface water: leaving the country to other countries (total),2012,61.25,E
175,Surface water: leaving the country to other countries (total),2017,61.25,E
176,Groundwater: entering the country (total),1962,0.0,E
177,Groundwater: entering the country (total),1967,0.0,E
178,Groundwater: entering the country (total),1972,0.0,E
179,Groundwater: entering the country (total),1977,0.0,E
180,Groundwater: entering the country (total),1982,0.0,E
181,Groundwater: entering the country (total),1987,0.0,E
182,Groundwater: entering the country (total),1992,0.0,E
183,Groundwater: entering the country (total),1997,0.0,E
184,Groundwater: entering the country (total),2002,0.0,E
185,Groundwater: entering the country (total),2007,0.0,E
186,Groundwater: entering the country (total),2012,0.0,E
187,Groundwater: entering the country (total),2017,0.0,E
188,Dependency ratio,1962,48.8132965505,E
189,Dependency ratio,1967,48.8132965505,E
190,Dependency ratio,1972,48.8132965505,E
191,Dependency ratio,1977,48.8132965505,E
192,Dependency ratio,1982,48.8132965505,E
193,Dependency ratio,1987,48.8132965505,E
194,Dependency ratio,1992,48.8132965505,E
195,Dependency ratio,1997,48.8132965505,E
196,Dependency ratio,2002,48.8132965505,E
197,Dependency ratio,2007,48.8132965505,E
198,Dependency ratio,2012,48.8132965505,E
199,Dependency ratio,2017,48.8132965505,E
200,Dependency ratio,2018,48.8132965505,E
201,Total internal renewable water resources (IRWR),1962,224.51,E
202,Total internal renewable water resources (IRWR),1967,224.51,E
203,Total internal renewable water resources (IRWR),1972,224.51,E
204,Total internal renewable water resources (IRWR),1977,224.51,E
205,Total internal renewable water resources (IRWR),1982,224.51,E
206,Total internal renewable water resources (IRWR),1987,224.51,E
207,Total internal renewable water resources (IRWR),1992,224.51,E
208,Total internal renewable water resources (IRWR),1997,224.51,E
209,Total internal renewable water resources (IRWR),2002,224.51,E
210,Total internal renewable water resources (IRWR),2007,224.51,E
211,Total internal renewable water resources (IRWR),2012,224.51,E
212,Total internal renewable water resources (IRWR),2017,224.51,E
213,Total internal renewable water resources (IRWR),2018,224.51,E
214,Total internal renewable water resources per capita,1962,7720.1773890512,E
215,Total internal renewable water resources per capita,1967,6646.4766849763,E
216,Total internal renewable water resources per capita,1972,5748.0294418108,E
217,Total internal renewable water resources per capita,1977,5055.8592388976,E
218,Total internal renewable water resources per capita,1982,4558.0326417749,E
219,Total internal renewable water resources per capita,1987,4161.7635274137,E
220,Total internal renewable water resources per capita,1992,3883.5155670404,E
221,Total internal renewable water resources per capita,1997,3689.7717607211,E
222,Total internal renewable water resources per capita,2002,3504.1860359271,E
223,Total internal renewable water resources per capita,2007,3392.3086747956,E
224,Total internal renewable water resources per capita,2012,3309.6014765737,E
225,Total internal renewable water resources per capita,2017,3243.9042962262,E
226,Total internal renewable water resources per capita,2018,3233.688643473,E
227,Total renewable surface water,1962,427.4,E
228,Total renewable surface water,1967,427.4,E
229,Total renewable surface water,1972,427.4,E
230,Total renewable surface water,1977,427.4,E
231,Total renewable surface water,1982,427.4,E
232,Total renewable surface water,1987,427.4,E
233,Total renewable surface water,1992,427.4,E
234,Total renewable surface water,1997,427.4,E
235,Total renewable surface water,2002,427.4,E
236,Total renewable surface water,2007,427.4,E
237,Total renewable surface water,2012,427.4,E
238,Total renewable surface water,2017,427.4,E
239,Total renewable surface water,2018,427.4,E
240,Total renewable groundwater,1962,41.9,E
241,Total renewable groundwater,1967,41.9,E
242,Total renewable groundwater,1972,41.9,E
243,Total renewable groundwater,1977,41.9,E
244,Total renewable groundwater,1982,41.9,E
245,Total renewable groundwater,1987,41.9,E
246,Total renewable groundwater,1992,41.9,E
247,Total renewable groundwater,1997,41.9,E
248,Total renewable groundwater,2002,41.9,E
249,Total renewable groundwater,2007,41.9,E
250,Total renewable groundwater,2012,41.9,E
251,Total renewable groundwater,2017,41.9,E
252,Total renewable groundwater,2018,41.9,E
253,Total exploitable water resources,2007,125.98,E
254,Total exploitable water resources,2012,125.98,E
255,Total exploitable water resources,2017,125.98,E
256,Total exploitable water resources,2018,125.98,E
257,Water resources: total external renewable,1962,214.1,E
258,Water resources: total external renewable,1967,214.1,E
259,Water resources: total external renewable,1972,214.1,E
260,Water resources: total external renewable,1977,214.1,E
261,Water resources: total external renewable,1982,214.1,E
262,Water resources: total external renewable,1987,214.1,E
263,Water resources: total external renewable,1992,214.1,E
264,Water resources: total external renewable,1997,214.1,E
265,Water resources: total external renewable,2002,214.1,E
266,Water resources: total external renewable,2007,214.1,E
267,Water resources: total external renewable,2012,214.1,E
268,Water resources: total external renewable,2017,214.1,E
269,Water resources: total external renewable,2018,214.1,E
270,Total renewable water resources,1962,438.61,E
271,Total renewable water resources,1967,438.61,E
272,Total renewable water resources,1972,438.61,E
273,Total renewable water resources,1977,438.61,E
274,Total renewable water resources,1982,438.61,E
275,Total renewable water resources,1987,438.61,E
276,Total renewable water resources,1992,438.61,E
277,Total renewable water resources,1997,438.61,E
278,Total renewable water resources,2002,438.61,E
279,Total renewable water resources,2007,438.61,E
280,Total renewable water resources,2012,438.61,E
281,Total renewable water resources,2017,438.61,E
282,Total renewable water resources,2018,438.61,E
283,Total renewable water resources per capita,1962,15082.388332866,E
284,Total renewable water resources per capita,1967,12984.7718978996,E
285,Total renewable water resources per capita,1972,11229.5362944753,E
286,Total renewable water resources per capita,1977,9877.290190962,E
287,Total renewable water resources per capita,1982,8904.7200436902,E
288,Total renewable water resources per capita,1987,8130.5558806241,E
289,Total renewable water resources per capita,1992,7586.9616625522,E
290,Total renewable water resources per capita,1997,7208.4574939641,E
291,Total renewable water resources per capita,2002,6845.8912173979,E
292,Total renewable water resources per capita,2007,6627.3239849097,E
293,Total renewable water resources per capita,2012,6465.7445264799,E
294,Total renewable water resources per capita,2017,6337.3963893269,E
295,Total renewable water resources per capita,2018,6317.4387595818,E
296,Total agricultural water managed area,1987,3982.6666666667,I
297,Total agricultural water managed area,1992,4621.0,I
298,Total agricultural water managed area,1997,4937.5,E
299,Total agricultural water managed area,2002,5676.25,E
300,Total agricultural water managed area,2007,6415.0,E
301,Total agricultural water managed area,2012,6415.0,I
302,Total agricultural water managed area,2017,6415.0,I
303,Total agricultural water managed area,2018,6415.0,I
304,Area equipped for irrigation: total,1987,3982.6666666667,I
305,Area equipped for irrigation: total,1992,4621.0,I
306,Area equipped for irrigation: total,1997,4937.5,E
307,Area equipped for irrigation: total,2002,5676.25,E
308,Area equipped for irrigation: total,2007,6415.0,E
309,Area equipped for irrigation: total,2012,6415.0,I
310,Area equipped for irrigation: total,2017,6415.0,I
311,Area equipped for irrigation: total,2018,6415.0,I
312,% of agricultural GVA produced by irrigated agriculture,1972,24.6107888241,E
313,% of agricultural GVA produced by irrigated agriculture,1977,25.7668031409,E
314,% of agricultural GVA produced by irrigated agriculture,1982,27.240179732,E
315,% of agricultural GVA produced by irrigated agriculture,1987,32.3615638631,E
316,% of agricultural GVA produced by irrigated agriculture,1992,38.4247898033,E
317,% of agricultural GVA produced by irrigated agriculture,1997,45.7170878825,E
318,% of agricultural GVA produced by irrigated agriculture,2002,52.5993888465,E
319,% of agricultural GVA produced by irrigated agriculture,2007,57.46619381,E
320,% of agricultural GVA produced by irrigated agriculture,2012,53.4345755275,E
321,% of agricultural GVA produced by irrigated agriculture,2017,52.9834679297,E
322,% of agricultural GVA produced by irrigated agriculture,2018,52.9834679297,E
323,Ratio between rainfed and irrigated yields,1962,2.124,E
324,Ratio between rainfed and irrigated yields,1967,2.124,E
325,Ratio between rainfed and irrigated yields,1972,2.124,E
326,Ratio between rainfed and irrigated yields,1977,2.124,E
327,Ratio between rainfed and irrigated yields,1982,2.124,E
328,Ratio between rainfed and irrigated yields,1987,2.124,E
329,Ratio between rainfed and irrigated yields,1992,2.124,E
330,Ratio between rainfed and irrigated yields,1997,2.124,E
331,Ratio between rainfed and irrigated yields,2002,2.124,E
332,Ratio between rainfed and irrigated yields,2007,2.124,I
333,Ratio between rainfed and irrigated yields,2012,2.124,E
334,Ratio between rainfed and irrigated yields,2017,2.124,I
335,Ratio between rainfed and irrigated yields,2018,2.124,I
336,Agricultural water withdrawal as % of total renewable water resources,2007,11.8077563211,E
337,Agricultural water withdrawal as % of total renewable water resources,2012,11.8077563211,I
338,Agricultural water withdrawal as % of total renewable water resources,2017,11.8077563211,I
339,Agricultural water withdrawal as % of total renewable water resources,2018,11.8077563211,I
340,Agricultural water withdrawal,2007,51.79,OF
341,Agricultural water withdrawal,2012,51.79,I
342,Agricultural water withdrawal,2017,51.79,I
343,Agricultural water withdrawal,2018,51.79,I
344,Irrigation water requirement,2007,34.19,E
345,Irrigation water requirement,2012,34.19,I
346,Irrigation water requirement,2017,34.19,I
347,Irrigation water requirement,2018,34.19,I
348,Municipal water withdrawal,1982,0.898,OF
349,Municipal water withdrawal,1987,1.262,OF
350,Municipal water withdrawal,1992,1.6422352941,I
351,Municipal water withdrawal,1997,2.0078235294,I
352,Municipal water withdrawal,2002,2.3734117647,I
353,Municipal water withdrawal,2007,2.739,OF
354,Municipal water withdrawal,2012,2.739,I
355,Municipal water withdrawal,2017,2.739,I
356,Municipal water withdrawal,2018,2.739,I
357,Industrial water withdrawal,1982,1.123,OF
358,Industrial water withdrawal,1987,1.297,OF
359,Industrial water withdrawal,1992,1.5937647059,I
360,Industrial water withdrawal,1997,1.9881764706,I
361,Industrial water withdrawal,2002,2.3825882353,I
362,Industrial water withdrawal,2007,2.777,OF
363,Industrial water withdrawal,2012,2.777,I
364,Industrial water withdrawal,2017,2.777,I
365,Industrial water withdrawal,2018,2.777,I
366,Total water withdrawal,2007,57.306,E
367,Total water withdrawal,2012,57.306,I
368,Total water withdrawal,2017,57.306,I
369,Total water withdrawal,2018,57.306,I
370,Fresh surface water withdrawal,2007,47.48,E
371,Fresh surface water withdrawal,2012,47.48,I
372,Fresh surface water withdrawal,2017,47.48,I
373,Fresh surface water withdrawal,2018,47.48,I
374,Fresh groundwater withdrawal,2007,9.827,OF
375,Fresh groundwater withdrawal,2012,9.827,I
376,Fresh groundwater withdrawal,2017,9.827,I
377,Fresh groundwater withdrawal,2018,9.827,I
378,Total freshwater withdrawal,2007,57.307,E
379,Total freshwater withdrawal,2012,57.307,I
380,Total freshwater withdrawal,2017,57.307,I
381,Total freshwater withdrawal,2018,57.307,I
382,Produced municipal wastewater,2007,5.1044444444,I
383,Produced municipal wastewater,2012,5.11,OF
384,Produced municipal wastewater,2017,5.11,I
385,Produced municipal wastewater,2018,5.11,I
387,Collected municipal wastewater,2017,1.168,I
388,Collected municipal wastewater,2018,1.168,I
389,Not treated municipal wastewater,2012,3.942,OF
390,Not treated municipal wastewater,2017,3.942,I
391,Not treated municipal wastewater,2018,3.942,I
392,Treated municipal wastewater,1992,0.1061818182,I
393,Treated municipal wastewater,1997,0.3716363636,I
394,Treated municipal wastewater,2002,0.6370909091,I
395,Treated municipal wastewater,2007,0.9025454545,I
396,Treated municipal wastewater,2012,1.168,OF
397,Treated municipal wastewater,2017,1.168,I
398,Treated municipal wastewater,2018,1.168,I
411,SDG 6.4.2. Water Stress,2007,23.0139351833,E
412,SDG 6.4.2. Water Stress,2012,23.0139351833,E
413,SDG 6.4.2. Water Stress,2017,23.0139351833,E
414,SDG 6.4.2. Water Stress,2018,23.0139351833,E
415,SDG 6.4.1. Water Use Efficiency,2010,5.7675297878,I
416,SDG 6.4.1. Water Use Efficiency,2016,6.9502580325,I
417,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2010,0.3872293435,E
418,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.3584668382,E
419,SDG 6.4.1. Industrial Water Use Efficiency,1982,18.3440424591,E
420,SDG 6.4.1. Industrial Water Use Efficiency,1987,23.8757174573,E
421,SDG 6.4.1. Industrial Water Use Efficiency,1992,36.0445309424,E
422,SDG 6.4.1. Industrial Water Use Efficiency,1997,37.531021718,E
423,SDG 6.4.1. Industrial Water Use Efficiency,2001,32.9360317216,E
424,SDG 6.4.1. Industrial Water Use Efficiency,2006,40.6977448972,E
425,SDG 6.4.1. Industrial Water Use Efficiency,2010,46.3885290429,E
426,SDG 6.4.1. Industrial Water Use Efficiency,2016,48.8414982358,E
427,SDG 6.4.1. Services Water Use Efficiency,1982,44.6227538224,E
428,SDG 6.4.1. Services Water Use Efficiency,1987,42.6329221449,E
429,SDG 6.4.1. Services Water Use Efficiency,1992,57.1713592974,E
430,SDG 6.4.1. Services Water Use Efficiency,1997,62.2466466321,E
431,SDG 6.4.1. Services Water Use Efficiency,2001,58.059488714,E
432,SDG 6.4.1. Services Water Use Efficiency,2006,61.7770467993,E
433,SDG 6.4.1. Services Water Use Efficiency,2010,66.3156294876,E
434,SDG 6.4.1. Services Water Use Efficiency,2016,89.1177979776,E
435,Area salinized by irrigation,2002,400.0,I
436,Area salinized by irrigation,2007,400.0,I
437,Area salinized by irrigation,2012,400.0,I
438,Area salinized by irrigation,2017,400.0,I
439,Area salinized by irrigation,2018,400.0,I
441,Harvested irrigated temporary crop area: Rice,2012,6268.0,I
442,Harvested irrigated temporary crop area: Rice,2017,6268.0,I
443,Harvested irrigated temporary crop area: Rice,2018,6268.0,I
444,Harvested irrigated temporary crop area: Sugarcane,2007,256.0,OF
445,Harvested irrigated temporary crop area: Sugarcane,2012,256.0,I
446,Harvested irrigated temporary crop area: Sugarcane,2017,256.0,I
447,Harvested irrigated temporary crop area: Sugarcane,2018,256.0,I
448,Harvested irrigated temporary crop area: Vegetables,2007,83.42,OF
449,Harvested irrigated temporary crop area: Vegetables,2012,83.42,I
450,Harvested irrigated temporary crop area: Vegetables,2017,83.42,I
451,Harvested irrigated temporary crop area: Vegetables,2018,83.42,I
452,Harvested irrigated temporary crop area: Other crops,2007,37.4,OF
453,Harvested irrigated temporary crop area: Other crops,2012,37.4,I
454,Harvested irrigated temporary crop area: Other crops,2017,37.4,I
455,Harvested irrigated temporary crop area: Other crops,2018,37.4,I
456,Harvested irrigated permanent crop area: Other crops,2007,742.2,OF
457,Harvested irrigated permanent crop area: Other crops,2012,742.2,I
458,Harvested irrigated permanent crop area: Other crops,2017,742.2,I
459,Harvested irrigated permanent crop area: Other crops,2018,742.2,I
