Spain,Variable Name,Year,Value,Symbol
146,Surface water: leaving the country to other countries (total),1986,34.4,OF
147,Surface water: leaving the country to other countries (total),1991,34.4,OF
148,Surface water: leaving the country to other countries (total),1996,34.4,OF
149,Surface water: leaving the country to other countries (total),2001,34.4,OF
150,Surface water: leaving the country to other countries (total),2006,34.4,OF
152,Surface water: leaving the country to other countries (total),2017,34.4,OF
153,Groundwater: entering the country (total),1962,0.0,E
154,Groundwater: entering the country (total),1967,0.0,E
155,Groundwater: entering the country (total),1972,0.0,E
156,Groundwater: entering the country (total),1977,0.0,E
157,Groundwater: entering the country (total),1982,0.0,E
158,Groundwater: entering the country (total),1987,0.0,E
159,Groundwater: entering the country (total),1992,0.0,E
160,Groundwater: entering the country (total),1997,0.0,E
161,Groundwater: entering the country (total),2002,0.0,E
162,Groundwater: entering the country (total),2007,0.0,E
163,Groundwater: entering the country (total),2012,0.0,E
164,Groundwater: entering the country (total),2017,0.0,E
165,Groundwater: leaving the country to other countries (total),1962,0.0,OF
166,Groundwater: leaving the country to other countries (total),1967,0.0,OF
167,Groundwater: leaving the country to other countries (total),1972,0.0,OF
168,Groundwater: leaving the country to other countries (total),1977,0.0,OF
169,Groundwater: leaving the country to other countries (total),1982,0.0,OF
170,Groundwater: leaving the country to other countries (total),1987,0.0,OF
171,Groundwater: leaving the country to other countries (total),1992,0.0,OF
172,Groundwater: leaving the country to other countries (total),1997,0.0,OF
173,Groundwater: leaving the country to other countries (total),2002,0.0,OF
174,Groundwater: leaving the country to other countries (total),2007,0.0,OF
175,Groundwater: leaving the country to other countries (total),2012,0.0,OF
176,Groundwater: leaving the country to other countries (total),2017,0.0,OF
177,Dependency ratio,1962,0.269058296,E
178,Dependency ratio,1967,0.269058296,E
179,Dependency ratio,1972,0.269058296,E
180,Dependency ratio,1977,0.269058296,E
181,Dependency ratio,1982,0.269058296,E
182,Dependency ratio,1987,0.269058296,E
183,Dependency ratio,1992,0.269058296,E
184,Dependency ratio,1997,0.269058296,E
185,Dependency ratio,2002,0.269058296,E
186,Dependency ratio,2007,0.269058296,E
187,Dependency ratio,2012,0.269058296,E
188,Dependency ratio,2017,0.269058296,E
189,Dependency ratio,2018,0.269058296,E
190,Total internal renewable water resources (IRWR),1962,111.2,E
191,Total internal renewable water resources (IRWR),1967,111.2,E
192,Total internal renewable water resources (IRWR),1972,111.2,E
193,Total internal renewable water resources (IRWR),1977,111.2,E
194,Total internal renewable water resources (IRWR),1982,111.2,E
195,Total internal renewable water resources (IRWR),1987,111.2,E
196,Total internal renewable water resources (IRWR),1992,111.2,E
197,Total internal renewable water resources (IRWR),1997,111.2,E
198,Total internal renewable water resources (IRWR),2002,111.2,E
199,Total internal renewable water resources (IRWR),2007,111.2,E
200,Total internal renewable water resources (IRWR),2012,111.2,E
201,Total internal renewable water resources (IRWR),2017,111.2,E
202,Total internal renewable water resources (IRWR),2018,111.2,E
203,Total internal renewable water resources per capita,1962,3578.3843317996,E
204,Total internal renewable water resources per capita,1967,3387.1266100312,E
205,Total internal renewable water resources per capita,1972,3207.917417128,E
206,Total internal renewable water resources per capita,1977,3032.7189741054,E
207,Total internal renewable water resources per capita,1982,2910.2563059065,E
208,Total internal renewable water resources per capita,1987,2854.6126522953,E
209,Total internal renewable water resources per capita,1992,2821.5575215733,E
210,Total internal renewable water resources per capita,1997,2777.5492988149,E
211,Total internal renewable water resources per capita,2002,2652.6980169293,E
212,Total internal renewable water resources per capita,2007,2447.7715549398,E
213,Total internal renewable water resources per capita,2012,2362.7872900742,E
214,Total internal renewable water resources per capita,2017,2383.8398978825,E
215,Total internal renewable water resources per capita,2018,2381.5205314697,E
216,Total renewable surface water,1962,109.8,E
217,Total renewable surface water,1967,109.8,E
218,Total renewable surface water,1972,109.8,E
219,Total renewable surface water,1977,109.8,E
220,Total renewable surface water,1982,109.8,E
221,Total renewable surface water,1987,109.8,E
222,Total renewable surface water,1992,109.8,E
223,Total renewable surface water,1997,109.8,E
224,Total renewable surface water,2002,109.8,E
225,Total renewable surface water,2007,109.8,E
226,Total renewable surface water,2012,109.8,E
227,Total renewable surface water,2017,109.8,E
228,Total renewable surface water,2018,109.8,E
229,Total renewable groundwater,1962,29.9,E
230,Total renewable groundwater,1967,29.9,E
231,Total renewable groundwater,1972,29.9,E
232,Total renewable groundwater,1977,29.9,E
233,Total renewable groundwater,1982,29.9,E
234,Total renewable groundwater,1987,29.9,E
235,Total renewable groundwater,1992,29.9,E
236,Total renewable groundwater,1997,29.9,E
237,Total renewable groundwater,2002,29.9,E
238,Total renewable groundwater,2007,29.9,E
239,Total renewable groundwater,2012,29.9,E
240,Total renewable groundwater,2017,29.9,E
241,Total renewable groundwater,2018,29.9,E
242,Total exploitable water resources,1962,46.3,E
243,Total exploitable water resources,1967,46.3,E
244,Total exploitable water resources,1972,46.3,E
245,Total exploitable water resources,1977,46.3,E
246,Total exploitable water resources,1982,46.3,E
247,Total exploitable water resources,1987,46.3,E
248,Total exploitable water resources,1992,46.3,E
249,Total exploitable water resources,1997,46.3,E
250,Total exploitable water resources,2002,46.3,E
251,Total exploitable water resources,2007,46.3,E
252,Total exploitable water resources,2012,46.3,E
253,Total exploitable water resources,2017,46.3,E
254,Total exploitable water resources,2018,46.3,E
255,Water resources: total external renewable,1962,0.3,E
256,Water resources: total external renewable,1967,0.3,E
257,Water resources: total external renewable,1972,0.3,E
258,Water resources: total external renewable,1977,0.3,E
259,Water resources: total external renewable,1982,0.3,E
260,Water resources: total external renewable,1987,0.3,E
261,Water resources: total external renewable,1992,0.3,E
262,Water resources: total external renewable,1997,0.3,E
263,Water resources: total external renewable,2002,0.3,E
264,Water resources: total external renewable,2007,0.3,E
265,Water resources: total external renewable,2012,0.3,E
266,Water resources: total external renewable,2017,0.3,E
267,Water resources: total external renewable,2018,0.3,E
268,Total renewable water resources,1962,111.5,E
269,Total renewable water resources,1967,111.5,E
270,Total renewable water resources,1972,111.5,E
271,Total renewable water resources,1977,111.5,E
272,Total renewable water resources,1982,111.5,E
273,Total renewable water resources,1987,111.5,E
274,Total renewable water resources,1992,111.5,E
275,Total renewable water resources,1997,111.5,E
276,Total renewable water resources,2002,111.5,E
277,Total renewable water resources,2007,111.5,E
278,Total renewable water resources,2012,111.5,E
279,Total renewable water resources,2017,111.5,E
280,Total renewable water resources,2018,111.5,E
281,Total renewable water resources per capita,1962,3588.0382463638,E
282,Total renewable water resources per capita,1967,3396.2645415331,E
283,Total renewable water resources per capita,1972,3216.5718705915,E
284,Total renewable water resources per capita,1977,3040.9007698988,E
285,Total renewable water resources per capita,1982,2918.1077168037,E
286,Total renewable water resources per capita,1987,2862.313945422,E
287,Total renewable water resources per capita,1992,2829.1696371891,E
288,Total renewable water resources per capita,1997,2785.042687211,E
289,Total renewable water resources per capita,2002,2659.8545763275,E
290,Total renewable water resources per capita,2007,2454.375255178,E
291,Total renewable water resources per capita,2012,2369.1617162165,E
292,Total renewable water resources per capita,2017,2390.2711206286,E
293,Total renewable water resources per capita,2018,2387.9454969323,E
294,Total agricultural water managed area,1992,3436.0,I
295,Total agricultural water managed area,1997,3634.0,E
296,Total agricultural water managed area,2002,3759.6666666667,I
297,Total agricultural water managed area,2003,3772.0,E
298,Total agricultural water managed area,2008,3818.0,E
299,Area equipped for irrigation: total,1992,3436.0,I
300,Area equipped for irrigation: total,1997,3634.0,E
301,Area equipped for irrigation: total,2002,3759.6666666667,I
302,Area equipped for irrigation: total,2003,3772.0,E
303,Area equipped for irrigation: total,2008,3818.0,E
304,% of agricultural GVA produced by irrigated agriculture,1962,14.8438804475,E
305,% of agricultural GVA produced by irrigated agriculture,1967,16.5399004312,E
306,% of agricultural GVA produced by irrigated agriculture,1972,17.440999114,E
307,% of agricultural GVA produced by irrigated agriculture,1977,18.1519927191,E
308,% of agricultural GVA produced by irrigated agriculture,1982,18.5189092649,E
309,% of agricultural GVA produced by irrigated agriculture,1987,18.62085962,E
310,% of agricultural GVA produced by irrigated agriculture,1992,21.0177285786,E
311,% of agricultural GVA produced by irrigated agriculture,1997,25.2881801617,E
312,% of agricultural GVA produced by irrigated agriculture,2002,29.8054349399,E
313,% of agricultural GVA produced by irrigated agriculture,2007,29.5768727087,E
314,% of agricultural GVA produced by irrigated agriculture,2009,28.0259646727,E
315,% of agricultural GVA produced by irrigated agriculture,2016,28.5059328266,E
317,Ratio between rainfed and irrigated yields,1966,1.778,I
318,Ratio between rainfed and irrigated yields,1971,1.778,I
319,Ratio between rainfed and irrigated yields,1976,1.778,I
320,Ratio between rainfed and irrigated yields,1981,1.778,I
321,Ratio between rainfed and irrigated yields,1986,1.778,I
322,Ratio between rainfed and irrigated yields,1991,1.778,I
323,Ratio between rainfed and irrigated yields,1996,1.778,I
324,Ratio between rainfed and irrigated yields,2001,1.778,I
325,Ratio between rainfed and irrigated yields,2007,1.778,I
326,Ratio between rainfed and irrigated yields,2011,1.778,I
327,Ratio between rainfed and irrigated yields,2017,1.778,I
328,Ratio between rainfed and irrigated yields,2018,1.778,I
329,Agricultural water withdrawal as % of total renewable water resources,1987,24.6493273543,I
330,Agricultural water withdrawal as % of total renewable water resources,1992,21.2122571001,I
331,Agricultural water withdrawal as % of total renewable water resources,1997,20.9955156951,E
332,Agricultural water withdrawal as % of total renewable water resources,2002,20.66367713,E
333,Agricultural water withdrawal as % of total renewable water resources,2007,20.7892376682,E
334,Agricultural water withdrawal as % of total renewable water resources,2012,22.8430493274,E
335,Agricultural water withdrawal as % of total renewable water resources,2017,18.264573991,I
336,Agricultural water withdrawal as % of total renewable water resources,2018,18.264573991,I
337,Agricultural water withdrawal,1987,27.484,I
338,Agricultural water withdrawal,1992,23.6516666667,I
339,Agricultural water withdrawal,1996,23.4583333333,I
340,Agricultural water withdrawal,2001,23.35,X
341,Agricultural water withdrawal,2006,23.21,X
342,Agricultural water withdrawal,2011,23.7,X
343,Agricultural water withdrawal,2017,20.365,I
344,Agricultural water withdrawal,2018,20.365,I
345,Irrigation water requirement,2012,14.06,I
346,Irrigation water requirement,2017,14.06,I
347,Irrigation water requirement,2018,14.06,I
348,Irrigation water withdrawal,1992,23.5983333333,I
349,Irrigation water withdrawal,1996,23.1916666667,I
350,Irrigation water withdrawal,2001,23.23,X
351,Irrigation water withdrawal,2006,20.89,X
352,Irrigation water withdrawal,2011,22.335,I
353,Irrigation water withdrawal,2017,18.645,I
354,Irrigation water withdrawal,2018,18.645,I
355,Municipal water withdrawal,1987,5.7616,I
356,Municipal water withdrawal,1992,6.4181666667,I
357,Municipal water withdrawal,1997,4.509,X
358,Municipal water withdrawal,2002,5.448,X
359,Municipal water withdrawal,2007,5.898,X
360,Municipal water withdrawal,2012,4.599,X
361,Municipal water withdrawal,2017,4.89,I
362,Municipal water withdrawal,2018,4.89,I
363,Industrial water withdrawal,1987,10.816,I
364,Industrial water withdrawal,1992,6.4466666667,I
365,Industrial water withdrawal,1997,6.68,X
366,Industrial water withdrawal,2002,7.447,X
367,Industrial water withdrawal,2007,6.495,X
368,Industrial water withdrawal,2012,6.572,X
369,Industrial water withdrawal,2017,5.966,I
370,Industrial water withdrawal,2018,5.966,I
371,Total water withdrawal,1977,37.616,I
372,Total water withdrawal,1982,42.052,I
373,Total water withdrawal,1987,44.0616,I
374,Total water withdrawal,1992,36.5165,I
375,Total water withdrawal,1997,34.599,E
376,Total water withdrawal,2002,35.935,E
377,Total water withdrawal,2007,35.573,E
378,Total water withdrawal,2012,36.641,E
379,Total water withdrawal,2017,31.221,I
380,Total water withdrawal,2018,31.221,I
381,Fresh surface water withdrawal,1977,32.604,I
382,Fresh surface water withdrawal,1982,36.6585571142,I
383,Fresh surface water withdrawal,1987,38.2369458918,I
384,Fresh surface water withdrawal,1992,31.125,I
385,Fresh surface water withdrawal,1996,30.425,I
386,Fresh surface water withdrawal,2001,29.875,I
387,Fresh surface water withdrawal,2006,29.765,I
388,Fresh surface water withdrawal,2011,28.93,X
389,Fresh surface water withdrawal,2017,24.827,I
390,Fresh surface water withdrawal,2018,24.827,I
391,Fresh groundwater withdrawal,1977,5.012,I
392,Fresh groundwater withdrawal,1982,5.3934428858,I
393,Fresh groundwater withdrawal,1987,5.8046541082,I
394,Fresh groundwater withdrawal,1992,5.2916666667,I
395,Fresh groundwater withdrawal,1997,4.25,X
396,Fresh groundwater withdrawal,2002,5.897,X
397,Fresh groundwater withdrawal,2007,6.496,X
398,Fresh groundwater withdrawal,2012,6.496,X
399,Fresh groundwater withdrawal,2017,6.394,I
400,Fresh groundwater withdrawal,2018,6.394,I
401,Total freshwater withdrawal,1977,37.616,I
402,Total freshwater withdrawal,1982,42.052,I
403,Total freshwater withdrawal,1987,44.0416,I
404,Total freshwater withdrawal,1992,36.4166666667,I
405,Total freshwater withdrawal,1997,34.5,E
406,Total freshwater withdrawal,2002,35.507,E
407,Total freshwater withdrawal,2007,34.976,E
408,Total freshwater withdrawal,2011,35.07,X
409,Total freshwater withdrawal,2017,31.221,I
410,Total freshwater withdrawal,2018,31.221,I
411,Desalinated water produced,1992,0.1002,I
412,Desalinated water produced,1997,0.1002,E
413,Desalinated water produced,2002,0.1002,I
414,Desalinated water produced,2007,0.1002,I
415,Desalinated water produced,2012,0.2607333333,I
416,Desalinated water produced,2017,0.364,I
417,Desalinated water produced,2018,0.364,I
418,Direct use of treated municipal wastewater,2002,0.331,OF
419,Direct use of treated municipal wastewater,2007,0.50025,I
420,Direct use of treated municipal wastewater,2012,0.5215,I
421,Direct use of treated municipal wastewater,2015,0.511,OF
422,Produced municipal wastewater,2000,2.841,
423,Produced municipal wastewater,2007,3.9081,I
424,Produced municipal wastewater,2012,5.1166,I
425,Produced municipal wastewater,2017,5.206,I
426,Produced municipal wastewater,2018,5.206,I
428,Not treated municipal wastewater,2007,0.023,I
429,Not treated municipal wastewater,2012,0.023,I
430,Not treated municipal wastewater,2017,0.023,I
431,Not treated municipal wastewater,2018,0.023,I
432,Treated municipal wastewater,2002,2.954,OF
433,Treated municipal wastewater,2007,3.6946,I
434,Treated municipal wastewater,2012,4.5856,I
435,Treated municipal wastewater,2015,4.834,OF
437,Treated municipal wastewater discharged (secondary water),2007,2.767,I
438,Treated municipal wastewater discharged (secondary water),2012,2.767,I
439,Treated municipal wastewater discharged (secondary water),2017,2.767,I
440,Treated municipal wastewater discharged (secondary water),2018,2.767,I
441,Environmental Flow Requirements,1962,38.15,X
442,Environmental Flow Requirements,1967,38.15,X
443,Environmental Flow Requirements,1972,38.15,X
444,Environmental Flow Requirements,1977,38.15,X
445,Environmental Flow Requirements,1982,38.15,X
446,Environmental Flow Requirements,1987,38.15,X
447,Environmental Flow Requirements,1992,38.15,X
448,Environmental Flow Requirements,1997,38.15,X
449,Environmental Flow Requirements,2002,38.15,X
450,Environmental Flow Requirements,2007,38.15,X
451,Environmental Flow Requirements,2012,38.15,X
452,Environmental Flow Requirements,2017,38.15,X
453,SDG 6.4.2. Water Stress,1977,51.2828902522,E
454,SDG 6.4.2. Water Stress,1982,57.3306066803,E
455,SDG 6.4.2. Water Stress,1987,60.0430811179,E
456,SDG 6.4.2. Water Stress,1992,49.6478073165,E
457,SDG 6.4.2. Water Stress,1997,47.0347648262,E
458,SDG 6.4.2. Water Stress,2002,48.4076346285,E
459,SDG 6.4.2. Water Stress,2007,47.6837082481,E
460,SDG 6.4.2. Water Stress,2012,50.1022494888,E
461,SDG 6.4.2. Water Stress,2017,42.5644171779,E
462,SDG 6.4.2. Water Stress,2018,42.5644171779,E
463,SDG 6.4.1. Water Use Efficiency,1987,13.0137404272,I
464,SDG 6.4.1. Water Use Efficiency,1992,18.8088024375,I
465,SDG 6.4.1. Water Use Efficiency,1997,21.6876023716,E
466,SDG 6.4.1. Water Use Efficiency,2002,25.5856063909,E
467,SDG 6.4.1. Water Use Efficiency,2004,26.8464232541,E
468,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1987,0.2238696589,E
469,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,0.2661526404,E
470,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.392965551,E
471,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.4678120758,E
472,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2004,0.4503396893,E
473,SDG 6.4.1. Industrial Water Use Efficiency,1987,17.0502263167,E
474,SDG 6.4.1. Industrial Water Use Efficiency,1992,31.6453603882,E
475,SDG 6.4.1. Industrial Water Use Efficiency,1997,31.8810306606,E
476,SDG 6.4.1. Industrial Water Use Efficiency,2002,35.4844032778,E
477,SDG 6.4.1. Industrial Water Use Efficiency,2004,36.168476934,E
478,SDG 6.4.1. Industrial Water Use Efficiency,2015,32.903087337,E
479,SDG 6.4.1. Services Water Use Efficiency,1987,66.446498136,E
480,SDG 6.4.1. Services Water Use Efficiency,1992,74.246995358,E
481,SDG 6.4.1. Services Water Use Efficiency,1997,117.1445433788,E
482,SDG 6.4.1. Services Water Use Efficiency,2002,118.2797401284,E
483,SDG 6.4.1. Services Water Use Efficiency,2004,118.120072056,E
484,SDG 6.4.1. Services Water Use Efficiency,2015,180.1907074974,E
485,Harvested irrigated temporary crop area: Wheat,1992,41.5566666667,I
486,Harvested irrigated temporary crop area: Wheat,1997,67.12,X
487,Harvested irrigated temporary crop area: Wheat,2002,71.4366666667,I
488,Harvested irrigated temporary crop area: Wheat,2007,188.1233333333,I
489,Harvested irrigated temporary crop area: Wheat,2012,248.4,I
490,Harvested irrigated temporary crop area: Wheat,2017,248.4,I
491,Harvested irrigated temporary crop area: Wheat,2018,248.4,I
492,Harvested irrigated temporary crop area: Rice,2012,116.6,I
493,Harvested irrigated temporary crop area: Rice,2017,116.6,I
494,Harvested irrigated temporary crop area: Rice,2018,116.6,I
495,Harvested irrigated temporary crop area: Barley,2012,330.8,I
496,Harvested irrigated temporary crop area: Barley,2017,330.8,I
497,Harvested irrigated temporary crop area: Barley,2018,330.8,I
498,Harvested irrigated temporary crop area: Maize,1992,223.6666666667,I
499,Harvested irrigated temporary crop area: Maize,1997,451.6,X
500,Harvested irrigated temporary crop area: Maize,2002,434.6333333333,I
501,Harvested irrigated temporary crop area: Maize,2007,361.0666666667,I
502,Harvested irrigated temporary crop area: Maize,2012,303.8,I
503,Harvested irrigated temporary crop area: Maize,2017,303.8,I
504,Harvested irrigated temporary crop area: Maize,2018,303.8,I
505,Harvested irrigated temporary crop area: Other cereals,2012,65.05,I
506,Harvested irrigated temporary crop area: Other cereals,2017,65.05,I
507,Harvested irrigated temporary crop area: Other cereals,2018,65.05,I
508,Harvested irrigated temporary crop area: Potatoes,1992,46.72,I
509,Harvested irrigated temporary crop area: Potatoes,1997,45.7,X
510,Harvested irrigated temporary crop area: Potatoes,2002,44.2466666667,I
511,Harvested irrigated temporary crop area: Potatoes,2007,39.0433333333,I
512,Harvested irrigated temporary crop area: Potatoes,2012,38.22,I
513,Harvested irrigated temporary crop area: Potatoes,2017,38.22,I
514,Harvested irrigated temporary crop area: Potatoes,2018,38.22,I
515,Harvested irrigated temporary crop area: Sugar beet,1992,121.1666666667,I
516,Harvested irrigated temporary crop area: Sugar beet,1997,119.4,X
517,Harvested irrigated temporary crop area: Sugar beet,2002,89.9333333333,I
518,Harvested irrigated temporary crop area: Sugar beet,2007,54.4133333333,I
519,Harvested irrigated temporary crop area: Sugar beet,2012,39.57,I
520,Harvested irrigated temporary crop area: Sugar beet,2017,39.57,I
521,Harvested irrigated temporary crop area: Sugar beet,2018,39.57,I
522,Harvested irrigated temporary crop area: Leguminous crops,2012,38.66,I
523,Harvested irrigated temporary crop area: Leguminous crops,2017,38.66,I
524,Harvested irrigated temporary crop area: Leguminous crops,2018,38.66,I
525,Harvested irrigated temporary crop area: Vegetables,2012,219.0,I
526,Harvested irrigated temporary crop area: Vegetables,2017,219.0,I
527,Harvested irrigated temporary crop area: Vegetables,2018,219.0,I
528,Harvested irrigated permanent crop area: Citrus,1992,251.3666666667,I
529,Harvested irrigated permanent crop area: Citrus,1997,277.6,X
530,Harvested irrigated permanent crop area: Citrus,2002,273.3333333333,I
531,Harvested irrigated permanent crop area: Citrus,2007,282.7333333333,I
532,Harvested irrigated permanent crop area: Citrus,2012,287.4,I
533,Harvested irrigated permanent crop area: Citrus,2017,287.4,I
534,Harvested irrigated permanent crop area: Citrus,2018,287.4,I
535,Harvested irrigated temporary crop area: Tobacco,2012,11.49,I
536,Harvested irrigated temporary crop area: Tobacco,2017,11.49,I
537,Harvested irrigated temporary crop area: Tobacco,2018,11.49,I
538,Harvested irrigated temporary crop area: Cotton,2012,49.65,I
539,Harvested irrigated temporary crop area: Cotton,2017,49.65,I
540,Harvested irrigated temporary crop area: Cotton,2018,49.65,I
