Saint Vincent and the Grenadines,Variable Name,Year,Value,Symbol
55,Urban population,1977,33.466,X
56,Urban population,1982,37.767,X
57,Urban population,1987,42.059,X
58,Urban population,1992,45.692,X
59,Urban population,1997,47.63,X
60,Urban population,2002,49.654,X
61,Urban population,2007,52.118,X
62,Urban population,2012,54.395,X
63,Urban population,2017,56.909,X
64,Urban population,2018,57.522,X
65,Gross Domestic Product (GDP),1962,14524963.0,X
66,Gross Domestic Product (GDP),1967,15835088.0,X
67,Gross Domestic Product (GDP),1972,31679579.0,X
68,Gross Domestic Product (GDP),1977,42472384.0,X
69,Gross Domestic Product (GDP),1982,99525493.0,X
70,Gross Domestic Product (GDP),1987,168006739.0,X
71,Gross Domestic Product (GDP),1992,275851566.0,X
72,Gross Domestic Product (GDP),1997,347222685.0,X
73,Gross Domestic Product (GDP),2002,461896296.0,X
74,Gross Domestic Product (GDP),2007,684418519.0,X
75,Gross Domestic Product (GDP),2012,692948148.0,X
76,Gross Domestic Product (GDP),2017,792177778.0,X
77,Gross Domestic Product (GDP),2018,811300000.0,X
78,GDP per capita,1972,342.618978,X
79,GDP per capita,1977,434.9495,X
80,GDP per capita,1982,973.792546,X
81,GDP per capita,1987,1586.52583,X
82,GDP per capita,1992,2554.110215,X
83,GDP per capita,1997,3214.905789,X
84,GDP per capita,2002,4271.04374,X
85,GDP per capita,2007,6276.362656,X
86,GDP per capita,2012,6338.249562,X
87,GDP per capita,2017,7208.365813,X
88,GDP per capita,2018,7362.068966,X
89,"Agriculture, value added (% GDP)",1972,12.751095,X
90,"Agriculture, value added (% GDP)",1977,12.426564,X
91,"Agriculture, value added (% GDP)",1982,11.507916,X
92,"Agriculture, value added (% GDP)",1987,11.582783,X
93,"Agriculture, value added (% GDP)",1992,13.536246,X
94,"Agriculture, value added (% GDP)",1997,6.927987,X
95,"Agriculture, value added (% GDP)",2002,6.359933,X
96,"Agriculture, value added (% GDP)",2007,5.381427,X
97,"Agriculture, value added (% GDP)",2012,6.162719,X
98,"Agriculture, value added (% GDP)",2017,6.933535,X
99,"Agriculture, value added (% GDP)",2018,7.241693,X
100,Prevalence of undernourishment (3-year average),1992,20.7,X
101,Prevalence of undernourishment (3-year average),1997,23.0,X
102,Prevalence of undernourishment (3-year average),2001,16.7,X
103,Prevalence of undernourishment (3-year average),2012,5.5,X
104,Total population with access to safe drinking-water (JMP),1992,89.2,X
105,Total population with access to safe drinking-water (JMP),1997,91.9,X
106,Total population with access to safe drinking-water (JMP),2002,94.5,X
107,Total population with access to safe drinking-water (JMP),2007,95.1,X
108,Total population with access to safe drinking-water (JMP),2012,95.1,X
109,Total population with access to safe drinking-water (JMP),2017,95.1,I
110,Total population with access to safe drinking-water (JMP),2018,95.1,I
111,Long-term average annual precipitation in volume,1962,0.61737,E
112,Long-term average annual precipitation in volume,1967,0.61737,E
113,Long-term average annual precipitation in volume,1972,0.61737,E
114,Long-term average annual precipitation in volume,1977,0.61737,E
115,Long-term average annual precipitation in volume,1982,0.61737,E
116,Long-term average annual precipitation in volume,1987,0.61737,E
117,Long-term average annual precipitation in volume,1992,0.61737,E
118,Long-term average annual precipitation in volume,1997,0.61737,E
119,Long-term average annual precipitation in volume,2002,0.61737,E
120,Long-term average annual precipitation in volume,2007,0.61737,E
121,Long-term average annual precipitation in volume,2012,0.61737,E
122,Long-term average annual precipitation in volume,2017,0.61737,E
123,Long-term average annual precipitation in volume,2018,0.61737,E
124,Flood occurrence (WRI),2017,3.6,I
125,Flood occurrence (WRI),2018,3.6,I
126,Surface water: entering the country (total),1962,0.0,OF
127,Surface water: entering the country (total),1967,0.0,OF
128,Surface water: entering the country (total),1972,0.0,OF
129,Surface water: entering the country (total),1977,0.0,OF
130,Surface water: entering the country (total),1982,0.0,OF
131,Surface water: entering the country (total),1987,0.0,OF
132,Surface water: entering the country (total),1992,0.0,OF
133,Surface water: entering the country (total),1997,0.0,OF
134,Surface water: entering the country (total),2002,0.0,OF
135,Surface water: entering the country (total),2007,0.0,OF
136,Surface water: entering the country (total),2012,0.0,OF
137,Surface water: entering the country (total),2017,0.0,OF
138,Surface water: leaving the country to other countries (total),1962,0.0,OF
139,Surface water: leaving the country to other countries (total),1967,0.0,OF
140,Surface water: leaving the country to other countries (total),1972,0.0,OF
141,Surface water: leaving the country to other countries (total),1977,0.0,OF
142,Surface water: leaving the country to other countries (total),1982,0.0,OF
143,Surface water: leaving the country to other countries (total),1987,0.0,OF
144,Surface water: leaving the country to other countries (total),1992,0.0,OF
145,Surface water: leaving the country to other countries (total),1997,0.0,OF
146,Surface water: leaving the country to other countries (total),2002,0.0,OF
147,Surface water: leaving the country to other countries (total),2007,0.0,OF
148,Surface water: leaving the country to other countries (total),2012,0.0,OF
149,Surface water: leaving the country to other countries (total),2017,0.0,OF
150,Groundwater: entering the country (total),1962,0.0,OF
151,Groundwater: entering the country (total),1967,0.0,OF
152,Groundwater: entering the country (total),1972,0.0,OF
153,Groundwater: entering the country (total),1977,0.0,OF
154,Groundwater: entering the country (total),1982,0.0,OF
155,Groundwater: entering the country (total),1987,0.0,OF
156,Groundwater: entering the country (total),1992,0.0,OF
157,Groundwater: entering the country (total),1997,0.0,OF
158,Groundwater: entering the country (total),2002,0.0,OF
159,Groundwater: entering the country (total),2007,0.0,OF
160,Groundwater: entering the country (total),2012,0.0,OF
161,Groundwater: entering the country (total),2017,0.0,OF
162,Groundwater: leaving the country to other countries (total),1962,0.0,OF
163,Groundwater: leaving the country to other countries (total),1967,0.0,OF
164,Groundwater: leaving the country to other countries (total),1972,0.0,OF
165,Groundwater: leaving the country to other countries (total),1977,0.0,OF
166,Groundwater: leaving the country to other countries (total),1982,0.0,OF
167,Groundwater: leaving the country to other countries (total),1987,0.0,OF
168,Groundwater: leaving the country to other countries (total),1992,0.0,OF
169,Groundwater: leaving the country to other countries (total),1997,0.0,OF
170,Groundwater: leaving the country to other countries (total),2002,0.0,OF
171,Groundwater: leaving the country to other countries (total),2007,0.0,OF
172,Groundwater: leaving the country to other countries (total),2012,0.0,OF
173,Groundwater: leaving the country to other countries (total),2017,0.0,OF
174,Dependency ratio,1962,0.0,OF
175,Dependency ratio,1967,0.0,OF
176,Dependency ratio,1972,0.0,OF
177,Dependency ratio,1977,0.0,OF
178,Dependency ratio,1982,0.0,OF
179,Dependency ratio,1987,0.0,OF
180,Dependency ratio,1992,0.0,OF
181,Dependency ratio,1997,0.0,OF
182,Dependency ratio,2002,0.0,OF
183,Dependency ratio,2007,0.0,OF
184,Dependency ratio,2012,0.0,OF
185,Dependency ratio,2017,0.0,OF
186,Total internal renewable water resources (IRWR),2017,0.1,E
187,Total internal renewable water resources per capita,1962,1201.3888054591,E
188,Total internal renewable water resources per capita,1967,1139.2506009547,E
189,Total internal renewable water resources per capita,1972,1080.9291667117,E
190,Total internal renewable water resources per capita,1977,1023.530977165,E
191,Total internal renewable water resources per capita,1982,977.9377249257,E
192,Total internal renewable water resources per capita,1987,944.2335656148,E
193,Total internal renewable water resources per capita,1992,926.3547938861,E
194,Total internal renewable water resources per capita,1997,926.827007739,E
195,Total internal renewable water resources per capita,2002,925.0950535167,E
196,Total internal renewable water resources per capita,2007,921.5061095855,E
197,Total internal renewable water resources per capita,2012,922.2114630885,E
198,Total internal renewable water resources per capita,2017,910.5229133091,E
199,Total internal renewable water resources per capita,2018,907.3504459627,E
200,Total renewable surface water,1962,0.0,E
201,Total renewable surface water,1967,0.0,E
202,Total renewable surface water,1972,0.0,E
203,Total renewable surface water,1977,0.0,E
204,Total renewable surface water,1982,0.0,E
205,Total renewable surface water,1987,0.0,E
206,Total renewable surface water,1992,0.0,E
207,Total renewable surface water,1997,0.0,E
208,Total renewable surface water,2002,0.0,E
209,Total renewable surface water,2007,0.0,E
210,Total renewable surface water,2012,0.0,E
211,Total renewable surface water,2017,0.0,E
212,Total renewable surface water,2018,0.0,E
213,Total renewable groundwater,1962,0.0,E
214,Total renewable groundwater,1967,0.0,E
215,Total renewable groundwater,1972,0.0,E
216,Total renewable groundwater,1977,0.0,E
217,Total renewable groundwater,1982,0.0,E
218,Total renewable groundwater,1987,0.0,E
219,Total renewable groundwater,1992,0.0,E
220,Total renewable groundwater,1997,0.0,E
221,Total renewable groundwater,2002,0.0,E
222,Total renewable groundwater,2007,0.0,E
223,Total renewable groundwater,2012,0.0,E
224,Total renewable groundwater,2017,0.0,E
225,Total renewable groundwater,2018,0.0,E
226,Water resources: total external renewable,1962,0.0,E
227,Water resources: total external renewable,1967,0.0,E
228,Water resources: total external renewable,1972,0.0,E
229,Water resources: total external renewable,1977,0.0,E
230,Water resources: total external renewable,1982,0.0,E
231,Water resources: total external renewable,1987,0.0,E
232,Water resources: total external renewable,1992,0.0,E
233,Water resources: total external renewable,1997,0.0,E
234,Water resources: total external renewable,2002,0.0,E
235,Water resources: total external renewable,2007,0.0,E
236,Water resources: total external renewable,2012,0.0,E
237,Water resources: total external renewable,2017,0.0,E
238,Water resources: total external renewable,2018,0.0,E
239,Total renewable water resources,1962,0.1,E
240,Total renewable water resources,1967,0.1,E
241,Total renewable water resources,1972,0.1,E
242,Total renewable water resources,1977,0.1,E
243,Total renewable water resources,1982,0.1,E
244,Total renewable water resources,1987,0.1,E
245,Total renewable water resources,1992,0.1,E
246,Total renewable water resources,1997,0.1,E
247,Total renewable water resources,2002,0.1,E
248,Total renewable water resources,2007,0.1,E
249,Total renewable water resources,2012,0.1,E
250,Total renewable water resources,2017,0.1,E
251,Total renewable water resources per capita,1962,1201.3888054591,E
252,Total renewable water resources per capita,1967,1139.2506009547,E
253,Total renewable water resources per capita,1972,1080.9291667117,E
254,Total renewable water resources per capita,1977,1023.530977165,E
255,Total renewable water resources per capita,1982,977.9377249257,E
256,Total renewable water resources per capita,1987,944.2335656148,E
257,Total renewable water resources per capita,1992,926.3547938861,E
258,Total renewable water resources per capita,1997,926.827007739,E
259,Total renewable water resources per capita,2002,925.0950535167,E
260,Total renewable water resources per capita,2007,921.5061095855,E
261,Total renewable water resources per capita,2012,922.2114630885,E
262,Total renewable water resources per capita,2017,910.5229133091,E
263,Total renewable water resources per capita,2018,907.3504459627,E
264,Total agricultural water managed area,2007,0.478,I
265,Total agricultural water managed area,2012,0.478,I
266,Total agricultural water managed area,2017,0.478,I
267,Total agricultural water managed area,2018,0.478,I
268,Area equipped for irrigation: total,2007,0.478,I
269,Area equipped for irrigation: total,2012,0.478,I
270,Area equipped for irrigation: total,2017,0.478,I
271,Area equipped for irrigation: total,2018,0.478,I
272,Agricultural water withdrawal as % of total renewable water resources,1992,9.2217391304,I
273,Agricultural water withdrawal as % of total renewable water resources,1997,7.0260869565,I
274,Agricultural water withdrawal as % of total renewable water resources,2002,4.8304347826,I
275,Agricultural water withdrawal as % of total renewable water resources,2007,2.6347826087,I
276,Agricultural water withdrawal as % of total renewable water resources,2012,0.4391304348,I
277,Agricultural water withdrawal as % of total renewable water resources,2017,0.0,I
278,Agricultural water withdrawal as % of total renewable water resources,2018,0.0,I
279,Agricultural water withdrawal,1992,0.0092217391,I
280,Agricultural water withdrawal,1997,0.007026087,I
281,Agricultural water withdrawal,2002,0.0048304348,I
282,Agricultural water withdrawal,2007,0.0026347826,I
283,Agricultural water withdrawal,2012,0.0004391304,I
284,Agricultural water withdrawal,2017,0.0,I
285,Agricultural water withdrawal,2018,0.0,I
286,Irrigation water requirement,1992,0.0025,I
287,Irrigation water requirement,1997,0.0025,I
288,Irrigation water requirement,2002,0.0025,I
289,Irrigation water requirement,2007,0.0025,I
290,Irrigation water requirement,2012,0.0025,I
291,Irrigation water requirement,2017,0.0025,I
292,Irrigation water requirement,2018,0.0025,I
293,Irrigation water withdrawal,1992,0.0101,I
294,Irrigation water withdrawal,1997,0.0101,I
295,Irrigation water withdrawal,2002,0.0101,I
296,Irrigation water withdrawal,2007,0.0101,I
297,Irrigation water withdrawal,2012,0.0101,I
298,Irrigation water withdrawal,2017,0.0101,I
299,Irrigation water withdrawal,2018,0.0101,I
300,Municipal water withdrawal,2017,0.0085,I
301,Municipal water withdrawal,2018,0.0085,I
302,Industrial water withdrawal,2017,2e-06,I
303,Industrial water withdrawal,2018,2e-06,I
304,Total water withdrawal,1997,0.0098335556,I
305,Total water withdrawal,2002,0.0094174444,I
306,Total water withdrawal,2007,0.0090013333,I
307,Total water withdrawal,2012,0.0085852222,I
308,Total water withdrawal,2017,0.008502,I
309,Total water withdrawal,2018,0.008502,I
310,Fresh surface water withdrawal,2007,0.0091,I
311,Fresh surface water withdrawal,2012,0.0081,I
312,Fresh surface water withdrawal,2017,0.0079,I
313,Fresh surface water withdrawal,2018,0.0079,I
314,Fresh groundwater withdrawal,2007,0.0,I
315,Fresh groundwater withdrawal,2012,0.0,I
316,Fresh groundwater withdrawal,2017,0.0,I
317,Fresh groundwater withdrawal,2018,0.0,I
318,Total freshwater withdrawal,1997,0.0099,I
319,Total freshwater withdrawal,2002,0.0094174444,E
320,Total freshwater withdrawal,2007,0.0091,I
321,Total freshwater withdrawal,2012,0.0081,I
322,Total freshwater withdrawal,2017,0.0079,I
323,Total freshwater withdrawal,2018,0.0079,I
324,Desalinated water produced,2017,0.0006,I
325,Desalinated water produced,2018,0.0006,I
326,SDG 6.4.2. Water Stress,1997,9.9,I
327,SDG 6.4.2. Water Stress,2002,9.4174444444,E
328,SDG 6.4.2. Water Stress,2007,9.1,I
329,SDG 6.4.2. Water Stress,2012,8.1,I
330,SDG 6.4.2. Water Stress,2017,7.9,I
331,SDG 6.4.2. Water Stress,2018,7.9,I
332,SDG 6.4.1. Industrial Water Use Efficiency,2015,44692.592595,E
333,SDG 6.4.1. Services Water Use Efficiency,2015,59.8165577294,E
