Sao Tome and Principe,Variable Name,Year,Value,Symbol
50,Rural population,2017,57.276,X
51,Rural population,2018,56.792,X
52,Urban population,1962,11.578,X
53,Urban population,1967,16.781,X
54,Urban population,1972,23.696,X
55,Urban population,1977,28.302,X
56,Urban population,1982,34.376,X
57,Urban population,1987,43.245,X
58,Urban population,1992,54.375,X
59,Urban population,1997,66.274,X
60,Urban population,2002,80.492,X
61,Urban population,2007,100.34,X
62,Urban population,2012,122.828,X
63,Urban population,2017,147.051,X
64,Urban population,2018,152.026,X
65,Gross Domestic Product (GDP),1972,39400569.0,X
66,Gross Domestic Product (GDP),1977,46796999.0,X
67,Gross Domestic Product (GDP),1982,76373482.0,X
68,Gross Domestic Product (GDP),1987,110272385.0,X
69,Gross Domestic Product (GDP),1992,90214496.0,X
70,Gross Domestic Product (GDP),1997,87417090.0,X
71,Gross Domestic Product (GDP),2002,81053329.0,X
72,Gross Domestic Product (GDP),2007,145827416.0,X
73,Gross Domestic Product (GDP),2012,252560581.0,X
74,Gross Domestic Product (GDP),2013,302925497.0,X
75,GDP per capita,1972,508.151832,X
76,GDP per capita,1977,535.226557,X
77,GDP per capita,1982,773.747109,X
78,GDP per capita,1987,1026.60136,X
79,GDP per capita,1992,759.279019,X
80,GDP per capita,1997,666.761421,X
81,GDP per capita,2002,559.416722,X
82,GDP per capita,2007,894.092714,X
83,GDP per capita,2012,1380.950092,X
84,GDP per capita,2017,1788.765113,X
85,GDP per capita,2018,1968.732492,X
86,"Agriculture, value added (% GDP)",1972,27.608451,X
87,"Agriculture, value added (% GDP)",1977,27.608422,X
88,"Agriculture, value added (% GDP)",1982,27.608436,X
89,"Agriculture, value added (% GDP)",1987,27.608431,X
90,"Agriculture, value added (% GDP)",1992,26.446961,X
91,"Agriculture, value added (% GDP)",1997,24.768707,X
92,"Agriculture, value added (% GDP)",2002,22.096712,X
93,"Agriculture, value added (% GDP)",2007,18.825955,X
94,"Agriculture, value added (% GDP)",2012,11.502493,X
95,"Agriculture, value added (% GDP)",2013,11.866267,X
96,Prevalence of undernourishment (3-year average),1992,22.9,X
97,Prevalence of undernourishment (3-year average),1997,27.4,X
98,Prevalence of undernourishment (3-year average),2001,17.8,X
99,Total population with access to safe drinking-water (JMP),1997,74.4,X
100,Total population with access to safe drinking-water (JMP),2002,81.8,X
101,Total population with access to safe drinking-water (JMP),2007,90.4,X
102,Total population with access to safe drinking-water (JMP),2012,97.0,X
103,Total population with access to safe drinking-water (JMP),2017,97.1,I
104,Total population with access to safe drinking-water (JMP),2018,97.1,I
105,Long-term average annual precipitation in volume,1962,3.072,E
106,Long-term average annual precipitation in volume,1967,3.072,E
107,Long-term average annual precipitation in volume,1972,3.072,E
108,Long-term average annual precipitation in volume,1977,3.072,E
109,Long-term average annual precipitation in volume,1982,3.072,E
110,Long-term average annual precipitation in volume,1987,3.072,E
111,Long-term average annual precipitation in volume,1992,3.072,E
112,Long-term average annual precipitation in volume,1997,3.072,E
113,Long-term average annual precipitation in volume,2002,3.072,E
114,Long-term average annual precipitation in volume,2007,3.072,E
115,Long-term average annual precipitation in volume,2012,3.072,E
116,Long-term average annual precipitation in volume,2017,3.072,E
117,Long-term average annual precipitation in volume,2018,3.072,E
118,Surface water: entering the country (total),1962,0.0,OF
119,Surface water: entering the country (total),1967,0.0,OF
120,Surface water: entering the country (total),1972,0.0,OF
121,Surface water: entering the country (total),1977,0.0,OF
122,Surface water: entering the country (total),1982,0.0,OF
123,Surface water: entering the country (total),1987,0.0,OF
124,Surface water: entering the country (total),1992,0.0,OF
125,Surface water: entering the country (total),1997,0.0,OF
126,Surface water: entering the country (total),2002,0.0,OF
127,Surface water: entering the country (total),2007,0.0,OF
128,Surface water: entering the country (total),2012,0.0,OF
129,Surface water: entering the country (total),2017,0.0,OF
130,Surface water: leaving the country to other countries (total),1962,0.0,OF
131,Surface water: leaving the country to other countries (total),1967,0.0,OF
132,Surface water: leaving the country to other countries (total),1972,0.0,OF
133,Surface water: leaving the country to other countries (total),1977,0.0,OF
134,Surface water: leaving the country to other countries (total),1982,0.0,OF
135,Surface water: leaving the country to other countries (total),1987,0.0,OF
136,Surface water: leaving the country to other countries (total),1992,0.0,OF
137,Surface water: leaving the country to other countries (total),1997,0.0,OF
138,Surface water: leaving the country to other countries (total),2002,0.0,OF
139,Surface water: leaving the country to other countries (total),2007,0.0,OF
140,Surface water: leaving the country to other countries (total),2012,0.0,OF
141,Surface water: leaving the country to other countries (total),2017,0.0,OF
142,Groundwater: entering the country (total),1962,0.0,OF
143,Groundwater: entering the country (total),1967,0.0,OF
144,Groundwater: entering the country (total),1972,0.0,OF
145,Groundwater: entering the country (total),1977,0.0,OF
146,Groundwater: entering the country (total),1982,0.0,OF
147,Groundwater: entering the country (total),1987,0.0,OF
148,Groundwater: entering the country (total),1992,0.0,OF
149,Groundwater: entering the country (total),1997,0.0,OF
150,Groundwater: entering the country (total),2002,0.0,OF
151,Groundwater: entering the country (total),2007,0.0,OF
152,Groundwater: entering the country (total),2012,0.0,OF
153,Groundwater: entering the country (total),2017,0.0,OF
154,Groundwater: leaving the country to other countries (total),1962,0.0,OF
155,Groundwater: leaving the country to other countries (total),1967,0.0,OF
156,Groundwater: leaving the country to other countries (total),1972,0.0,OF
157,Groundwater: leaving the country to other countries (total),1977,0.0,OF
158,Groundwater: leaving the country to other countries (total),1982,0.0,OF
159,Groundwater: leaving the country to other countries (total),1987,0.0,OF
160,Groundwater: leaving the country to other countries (total),1992,0.0,OF
161,Groundwater: leaving the country to other countries (total),1997,0.0,OF
162,Groundwater: leaving the country to other countries (total),2002,0.0,OF
163,Groundwater: leaving the country to other countries (total),2007,0.0,OF
164,Groundwater: leaving the country to other countries (total),2012,0.0,OF
165,Groundwater: leaving the country to other countries (total),2017,0.0,OF
166,Dependency ratio,1962,0.0,E
167,Dependency ratio,1967,0.0,E
168,Dependency ratio,1972,0.0,E
169,Dependency ratio,1977,0.0,E
170,Dependency ratio,1982,0.0,E
171,Dependency ratio,1987,0.0,E
172,Dependency ratio,1992,0.0,E
173,Dependency ratio,1997,0.0,E
174,Dependency ratio,2002,0.0,E
175,Dependency ratio,2007,0.0,E
176,Dependency ratio,2012,0.0,E
177,Dependency ratio,2017,0.0,E
178,Dependency ratio,2018,0.0,E
179,Total internal renewable water resources (IRWR),1962,2.18,OF
180,Total internal renewable water resources (IRWR),1967,2.18,OF
181,Total internal renewable water resources (IRWR),1972,2.18,OF
182,Total internal renewable water resources (IRWR),1977,2.18,OF
183,Total internal renewable water resources (IRWR),1982,2.18,OF
184,Total internal renewable water resources (IRWR),1987,2.18,OF
185,Total internal renewable water resources (IRWR),1992,2.18,OF
186,Total internal renewable water resources (IRWR),1997,2.18,OF
187,Total internal renewable water resources (IRWR),2002,2.18,OF
188,Total internal renewable water resources (IRWR),2007,2.18,OF
189,Total internal renewable water resources (IRWR),2012,2.18,OF
190,Total internal renewable water resources (IRWR),2017,2.18,OF
191,Total internal renewable water resources per capita,1962,33809.4573427007,E
192,Total internal renewable water resources per capita,1967,32036.6805296339,E
193,Total internal renewable water resources per capita,1972,27972.3868914723,E
194,Total internal renewable water resources per capita,1977,24741.8000226989,E
195,Total internal renewable water resources per capita,1982,21915.4946568416,E
196,Total internal renewable water resources per capita,1987,19772.5252598545,E
197,Total internal renewable water resources per capita,1992,17499.3578217313,E
198,Total internal renewable water resources per capita,1997,16049.2372931268,E
199,Total internal renewable water resources per capita,2002,14784.9735837284,E
200,Total internal renewable water resources per capita,2007,13108.8394467829,E
201,Total internal renewable water resources per capita,2012,11570.8795991593,E
202,Total internal renewable water resources per capita,2017,10526.8749185133,E
203,Total internal renewable water resources per capita,2018,10330.3826980306,E
204,Total renewable surface water,1962,0.0,E
205,Total renewable surface water,1967,0.0,E
206,Total renewable surface water,1972,0.0,E
207,Total renewable surface water,1977,0.0,E
208,Total renewable surface water,1982,0.0,E
209,Total renewable surface water,1987,0.0,E
210,Total renewable surface water,1992,0.0,E
211,Total renewable surface water,1997,0.0,E
212,Total renewable surface water,2002,0.0,E
213,Total renewable surface water,2007,0.0,E
214,Total renewable surface water,2012,0.0,E
215,Total renewable surface water,2017,0.0,E
216,Total renewable surface water,2018,0.0,E
217,Total renewable groundwater,1962,0.0,E
218,Total renewable groundwater,1967,0.0,E
219,Total renewable groundwater,1972,0.0,E
220,Total renewable groundwater,1977,0.0,E
221,Total renewable groundwater,1982,0.0,E
222,Total renewable groundwater,1987,0.0,E
223,Total renewable groundwater,1992,0.0,E
224,Total renewable groundwater,1997,0.0,E
225,Total renewable groundwater,2002,0.0,E
226,Total renewable groundwater,2007,0.0,E
227,Total renewable groundwater,2012,0.0,E
228,Total renewable groundwater,2017,0.0,E
229,Total renewable groundwater,2018,0.0,E
230,Water resources: total external renewable,1962,0.0,E
231,Water resources: total external renewable,1967,0.0,E
232,Water resources: total external renewable,1972,0.0,E
233,Water resources: total external renewable,1977,0.0,E
234,Water resources: total external renewable,1982,0.0,E
235,Water resources: total external renewable,1987,0.0,E
236,Water resources: total external renewable,1992,0.0,E
237,Water resources: total external renewable,1997,0.0,E
238,Water resources: total external renewable,2002,0.0,E
239,Water resources: total external renewable,2007,0.0,E
240,Water resources: total external renewable,2012,0.0,E
241,Water resources: total external renewable,2017,0.0,E
242,Water resources: total external renewable,2018,0.0,E
243,Total renewable water resources,1962,2.18,OF
244,Total renewable water resources,1967,2.18,OF
245,Total renewable water resources,1972,2.18,OF
246,Total renewable water resources,1977,2.18,OF
247,Total renewable water resources,1982,2.18,OF
248,Total renewable water resources,1987,2.18,OF
249,Total renewable water resources,1992,2.18,OF
250,Total renewable water resources,1997,2.18,OF
251,Total renewable water resources,2002,2.18,OF
252,Total renewable water resources,2007,2.18,OF
253,Total renewable water resources,2012,2.18,OF
254,Total renewable water resources,2017,2.18,OF
255,Total renewable water resources per capita,1962,33809.4573427007,E
256,Total renewable water resources per capita,1967,32036.6805296339,E
257,Total renewable water resources per capita,1972,27972.3868914723,E
258,Total renewable water resources per capita,1977,24741.8000226989,E
259,Total renewable water resources per capita,1982,21915.4946568416,E
260,Total renewable water resources per capita,1987,19772.5252598545,E
261,Total renewable water resources per capita,1992,17499.3578217313,E
262,Total renewable water resources per capita,1997,16049.2372931268,E
263,Total renewable water resources per capita,2002,14784.9735837284,E
264,Total renewable water resources per capita,2007,13108.8394467829,E
265,Total renewable water resources per capita,2012,11570.8795991593,E
266,Total renewable water resources per capita,2017,10526.8749185133,E
267,Total renewable water resources per capita,2018,10330.3826980306,E
268,Total agricultural water managed area,1992,9.512,E
269,Total agricultural water managed area,1997,8.572,E
270,Total agricultural water managed area,2002,7.632,E
271,Total agricultural water managed area,2007,6.692,E
272,Total agricultural water managed area,2012,5.752,E
273,Total agricultural water managed area,2017,7.336,I
274,Total agricultural water managed area,2018,7.336,I
275,Area equipped for irrigation: total,1992,9.512,E
276,Area equipped for irrigation: total,1997,8.572,E
277,Area equipped for irrigation: total,2002,7.632,E
278,Area equipped for irrigation: total,2007,6.692,E
279,Area equipped for irrigation: total,2012,5.752,E
280,Area equipped for irrigation: total,2017,7.336,I
281,Area equipped for irrigation: total,2018,7.336,I
282,% of agricultural GVA produced by irrigated agriculture,1992,34.9426003985,E
283,% of agricultural GVA produced by irrigated agriculture,1997,29.4973993699,E
284,% of agricultural GVA produced by irrigated agriculture,2002,24.2585894135,E
285,% of agricultural GVA produced by irrigated agriculture,2007,22.7910399297,E
286,% of agricultural GVA produced by irrigated agriculture,2012,21.5419566856,E
287,% of agricultural GVA produced by irrigated agriculture,2017,18.9592663681,E
288,% of agricultural GVA produced by irrigated agriculture,2018,18.9592663681,E
290,Ratio between rainfed and irrigated yields,1966,1.778,I
291,Ratio between rainfed and irrigated yields,1971,1.778,I
292,Ratio between rainfed and irrigated yields,1976,1.778,I
293,Ratio between rainfed and irrigated yields,1981,1.778,I
294,Ratio between rainfed and irrigated yields,1986,1.778,I
295,Ratio between rainfed and irrigated yields,1991,1.778,I
296,Ratio between rainfed and irrigated yields,1996,1.778,I
297,Ratio between rainfed and irrigated yields,2001,1.778,I
298,Ratio between rainfed and irrigated yields,2007,1.778,I
299,Ratio between rainfed and irrigated yields,2011,1.778,I
300,Ratio between rainfed and irrigated yields,2017,1.778,I
301,Ratio between rainfed and irrigated yields,2018,1.778,I
302,Agricultural water withdrawal as % of total renewable water resources,2017,1.1743119266,I
303,Agricultural water withdrawal as % of total renewable water resources,2018,1.1743119266,I
304,Agricultural water withdrawal,2017,0.0256,I
305,Agricultural water withdrawal,2018,0.0256,I
306,Irrigation water withdrawal,2017,0.0224,I
307,Irrigation water withdrawal,2018,0.0224,I
308,Municipal water withdrawal,2017,0.0147,I
309,Municipal water withdrawal,2018,0.0147,I
310,Industrial water withdrawal,2017,0.0006,I
311,Industrial water withdrawal,2018,0.0006,I
312,Total water withdrawal,1997,0.0128956522,I
313,Total water withdrawal,2002,0.0202652174,I
314,Total water withdrawal,2007,0.0276347826,I
315,Total water withdrawal,2012,0.0350043478,I
316,Total water withdrawal,2017,0.0409,I
317,Total water withdrawal,2018,0.0409,I
318,Total freshwater withdrawal,1997,0.0128956522,I
319,Total freshwater withdrawal,2002,0.0202652174,I
320,Total freshwater withdrawal,2007,0.0276347826,I
321,Total freshwater withdrawal,2012,0.0350043478,I
322,Total freshwater withdrawal,2017,0.0409,I
323,Total freshwater withdrawal,2018,0.0409,I
324,SDG 6.4.2. Water Stress,1997,0.5915436777,I
325,SDG 6.4.2. Water Stress,2002,0.929597128,I
326,SDG 6.4.2. Water Stress,2007,1.2676505784,I
327,SDG 6.4.2. Water Stress,2012,1.6057040287,I
328,SDG 6.4.2. Water Stress,2017,1.876146789,I
329,SDG 6.4.2. Water Stress,2018,1.876146789,I
330,SDG 6.4.1. Services Water Use Efficiency,2015,15.6645710204,E
331,Harvested irrigated permanent crop area: Cocoa beans,1992,9.5,I
332,Harvested irrigated permanent crop area: Cocoa beans,1997,9.5,I
333,Harvested irrigated permanent crop area: Cocoa beans,2002,9.5,I
334,Harvested irrigated permanent crop area: Cocoa beans,2007,9.5,I
335,Harvested irrigated permanent crop area: Cocoa beans,2012,9.5,I
336,Harvested irrigated permanent crop area: Cocoa beans,2017,9.5,I
337,Harvested irrigated permanent crop area: Cocoa beans,2018,9.5,I
338,Harvested irrigated temporary crop area: Other crops,1992,0.2,I
339,Harvested irrigated temporary crop area: Other crops,1997,0.2,I
340,Harvested irrigated temporary crop area: Other crops,2002,0.2,I
341,Harvested irrigated temporary crop area: Other crops,2007,0.2,I
342,Harvested irrigated temporary crop area: Other crops,2012,0.2,I
343,Harvested irrigated temporary crop area: Other crops,2017,0.2,I
344,Harvested irrigated temporary crop area: Other crops,2018,0.2,I
