Belarus,Variable Name,Year,Value,Symbol
121,Total internal renewable water resources per capita,2007,3586.3030647597,E
122,Total internal renewable water resources per capita,2012,3610.4740276303,E
123,Total internal renewable water resources per capita,2017,3597.7956517677,E
124,Total internal renewable water resources per capita,2018,3596.887507449,E
125,Total renewable surface water,1992,57.9,E
126,Total renewable surface water,1997,57.9,E
127,Total renewable surface water,2002,57.9,E
128,Total renewable surface water,2007,57.9,E
129,Total renewable surface water,2012,57.9,E
130,Total renewable surface water,2017,57.9,E
131,Total renewable surface water,2018,57.9,E
132,Total renewable groundwater,1992,15.9,E
133,Total renewable groundwater,1997,15.9,E
134,Total renewable groundwater,2002,15.9,E
135,Total renewable groundwater,2007,15.9,E
136,Total renewable groundwater,2012,15.9,E
137,Total renewable groundwater,2017,15.9,E
138,Total renewable groundwater,2018,15.9,E
139,Water resources: total external renewable,1992,23.9,E
140,Water resources: total external renewable,1997,23.9,E
141,Water resources: total external renewable,2002,23.9,E
142,Water resources: total external renewable,2007,23.9,E
143,Water resources: total external renewable,2012,23.9,E
144,Water resources: total external renewable,2017,23.9,E
145,Water resources: total external renewable,2018,23.9,E
146,Total renewable water resources,1992,57.9,E
147,Total renewable water resources,1997,57.9,E
148,Total renewable water resources,2002,57.9,E
149,Total renewable water resources,2007,57.9,E
150,Total renewable water resources,2012,57.9,E
151,Total renewable water resources,2017,57.9,E
152,Total renewable water resources,2018,57.9,E
153,Total renewable water resources per capita,1992,5701.9987721499,E
154,Total renewable water resources per capita,1997,5784.5659787196,E
155,Total renewable water resources per capita,2002,5940.9457677841,E
156,Total renewable water resources per capita,2007,6107.2631602819,E
157,Total renewable water resources per capita,2012,6148.4248882293,E
158,Total renewable water resources per capita,2017,6126.834359922,E
159,Total renewable water resources per capita,2018,6125.2878435676,E
160,Total agricultural water managed area,1997,123.0,I
161,Total agricultural water managed area,2002,115.0,I
162,Total agricultural water managed area,2007,93.7,I
163,Total agricultural water managed area,2012,30.5,E
164,Total agricultural water managed area,2015,30.2,E
165,Area equipped for irrigation: total,1997,123.0,I
166,Area equipped for irrigation: total,2002,115.0,I
167,Area equipped for irrigation: total,2007,93.7,I
168,Area equipped for irrigation: total,2012,30.5,E
169,Area equipped for irrigation: total,2015,30.2,E
170,% of agricultural GVA produced by irrigated agriculture,2012,0.8039114951,E
171,% of agricultural GVA produced by irrigated agriculture,2017,0.6646969287,E
172,% of agricultural GVA produced by irrigated agriculture,2018,0.66370998,E
174,Ratio between rainfed and irrigated yields,1996,1.778,I
175,Ratio between rainfed and irrigated yields,2001,1.778,I
176,Ratio between rainfed and irrigated yields,2007,1.778,I
177,Ratio between rainfed and irrigated yields,2011,1.778,I
178,Ratio between rainfed and irrigated yields,2017,1.778,I
179,Ratio between rainfed and irrigated yields,2018,1.778,I
180,Agricultural water withdrawal as % of total renewable water resources,1997,0.893955095,I
181,Agricultural water withdrawal as % of total renewable water resources,2002,0.7405872193,I
182,Agricultural water withdrawal as % of total renewable water resources,2007,0.7492227979,I
183,Agricultural water withdrawal as % of total renewable water resources,2012,0.8341968912,I
184,Agricultural water withdrawal as % of total renewable water resources,2017,0.7443868739,E
185,Agricultural water withdrawal as % of total renewable water resources,2018,0.7184801382,E
186,Agricultural water withdrawal,1997,0.5176,I
187,Agricultural water withdrawal,2002,0.4288,I
188,Agricultural water withdrawal,2007,0.4338,I
189,Agricultural water withdrawal,2012,0.483,I
190,Agricultural water withdrawal,2017,0.431,OF
191,Irrigation water requirement,2012,0.043,I
192,Irrigation water requirement,2017,0.043,I
193,Irrigation water requirement,2018,0.043,I
194,Irrigation water withdrawal,2017,0.004,I
195,Irrigation water withdrawal,2018,0.004,I
196,Municipal water withdrawal,1997,0.7914,I
197,Municipal water withdrawal,2002,0.8315,I
198,Municipal water withdrawal,2007,0.7176,I
199,Municipal water withdrawal,2012,0.5611666667,I
200,Municipal water withdrawal,2017,0.523,OF
201,Industrial water withdrawal,1997,0.6138,I
202,Industrial water withdrawal,2002,0.5243,I
203,Industrial water withdrawal,2007,0.4914,I
204,Industrial water withdrawal,2012,0.4811666667,I
205,Industrial water withdrawal,2017,0.443,OF
206,Total water withdrawal,1997,1.9228,I
207,Total water withdrawal,2002,1.7846,I
208,Total water withdrawal,2007,1.6428,I
209,Total water withdrawal,2012,1.5253333333,I
210,Total water withdrawal,2015,1.447,E
211,Fresh surface water withdrawal,2002,0.7306,I
212,Fresh surface water withdrawal,2007,0.694,I
213,Fresh surface water withdrawal,2012,0.6733333333,I
214,Fresh surface water withdrawal,2017,0.589,OF
215,Fresh groundwater withdrawal,2002,1.054,I
216,Fresh groundwater withdrawal,2007,0.9488,I
217,Fresh groundwater withdrawal,2012,0.852,I
218,Fresh groundwater withdrawal,2017,0.811,OF
219,Total freshwater withdrawal,1997,1.9228,I
220,Total freshwater withdrawal,2002,1.7846,I
221,Total freshwater withdrawal,2007,1.6428,I
222,Total freshwater withdrawal,2012,1.5253333333,I
223,Total freshwater withdrawal,2017,1.397,OF
224,Produced municipal wastewater,1997,1.1724285714,I
225,Produced municipal wastewater,2002,1.2778,I
226,Produced municipal wastewater,2004,1.2486,I
227,Produced municipal wastewater,2012,1.099,OF
228,Produced municipal wastewater,2015,0.948,OF
229,Not treated municipal wastewater,1997,0.111,I
230,Not treated municipal wastewater,2002,0.111,I
231,Not treated municipal wastewater,2007,0.111,I
232,Not treated municipal wastewater,2012,0.111,I
233,Not treated municipal wastewater,2017,0.111,I
234,Not treated municipal wastewater,2018,0.111,I
235,Treated municipal wastewater,1997,0.8825714286,I
236,Treated municipal wastewater,2002,0.8682,I
237,Treated municipal wastewater,2004,0.8534,I
239,Treated municipal wastewater,2015,0.624,OF
240,Environmental Flow Requirements,1992,27.56,X
241,Environmental Flow Requirements,1997,27.56,X
242,Environmental Flow Requirements,2002,27.56,X
243,Environmental Flow Requirements,2007,27.56,X
244,Environmental Flow Requirements,2012,27.56,X
245,Environmental Flow Requirements,2017,27.56,X
246,SDG 6.4.2. Water Stress,1997,6.3375082399,E
247,SDG 6.4.2. Water Stress,2002,5.8820039552,E
248,SDG 6.4.2. Water Stress,2007,5.4146341463,E
249,SDG 6.4.2. Water Stress,2012,5.0274664909,E
250,SDG 6.4.2. Water Stress,2017,4.6044825313,E
251,SDG 6.4.2. Water Stress,2018,4.581410679,E
252,SDG 6.4.1. Water Use Efficiency,2012,29.840030687,I
253,SDG 6.4.1. Water Use Efficiency,2017,32.027394763,E
254,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.0773445933,E
255,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2017,0.0658847843,E
256,SDG 6.4.1. Industrial Water Use Efficiency,1997,12.196369048,E
257,SDG 6.4.1. Industrial Water Use Efficiency,2002,15.9150672166,E
258,SDG 6.4.1. Industrial Water Use Efficiency,2006,26.4213881675,E
259,SDG 6.4.1. Industrial Water Use Efficiency,2012,39.3134883714,E
260,SDG 6.4.1. Industrial Water Use Efficiency,2017,35.1418820482,E
261,SDG 6.4.1. Services Water Use Efficiency,1997,10.730140494,E
262,SDG 6.4.1. Services Water Use Efficiency,2002,16.0551800804,E
263,SDG 6.4.1. Services Water Use Efficiency,2006,24.7425580603,E
264,SDG 6.4.1. Services Water Use Efficiency,2012,47.3336364818,E
265,SDG 6.4.1. Services Water Use Efficiency,2017,55.7285284788,E
266,Harvested irrigated temporary crop area: Potatoes,2012,2.9,I
267,Harvested irrigated temporary crop area: Potatoes,2017,2.9,I
268,Harvested irrigated temporary crop area: Potatoes,2018,2.9,I
269,Harvested irrigated temporary crop area: Leguminous crops,2012,2.3,I
270,Harvested irrigated temporary crop area: Leguminous crops,2017,2.3,I
271,Harvested irrigated temporary crop area: Leguminous crops,2018,2.3,I
272,Harvested irrigated temporary crop area: Vegetables,2012,3.0,I
273,Harvested irrigated temporary crop area: Vegetables,2017,3.0,I
274,Harvested irrigated temporary crop area: Vegetables,2018,3.0,I
