Republic of Korea,Variable Name,Year,Value,Symbol
51,Rural population,2018,9486.209,X
52,Urban population,1962,7902.124,X
53,Urban population,1967,10578.545,X
54,Urban population,1972,14644.994,X
55,Urban population,1977,18779.397,X
56,Urban population,1982,23531.74,X
57,Urban population,1987,28584.352,X
58,Urban population,1992,33249.557,X
59,Urban population,1997,36456.033,X
60,Urban population,2002,38547.232,X
61,Urban population,2007,40050.079,X
62,Urban population,2012,40886.3,X
63,Urban population,2017,41552.264,X
64,Urban population,2018,41678.226,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1104,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.1013333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1247,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1247,I
69,Gross Domestic Product (GDP),1962,2745939978.0,X
70,Gross Domestic Product (GDP),1967,4702747059.0,X
71,Gross Domestic Product (GDP),1969,7475692344.0,X
72,Gross Domestic Product (GDP),2002,627246917018.0,X
73,Gross Domestic Product (GDP),2007,1172614134912.0,X
74,Gross Domestic Product (GDP),2012,1278427604741.0,X
75,Gross Domestic Product (GDP),2017,1623901466309.0,X
76,GDP per capita,1972,331.844471,X
77,GDP per capita,1977,1076.051357,X
78,GDP per capita,1982,2036.448531,X
79,GDP per capita,1987,3595.953733,X
80,GDP per capita,1992,8189.007975,X
81,GDP per capita,1997,12378.990704,X
82,GDP per capita,2002,13066.341281,X
83,GDP per capita,2007,23900.450076,X
84,GDP per capita,2012,25592.996478,X
85,GDP per capita,2017,31852.31481,X
86,GDP per capita,2018,33626.657541,X
87,"Agriculture, value added (% GDP)",1967,32.37,X
88,"Agriculture, value added (% GDP)",1969,29.95,X
89,"Agriculture, value added (% GDP)",2002,3.206802,X
90,"Agriculture, value added (% GDP)",2007,2.283409,X
91,"Agriculture, value added (% GDP)",2012,2.186185,X
92,"Agriculture, value added (% GDP)",2017,1.850756,X
93,"Agriculture, value added to GDP",1967,1409276445.0,X
94,"Agriculture, value added to GDP",1969,2039353511.0,X
95,Number of people undernourished (3-year average),2007,1200.0,I
96,Number of people undernourished (3-year average),2012,1200.0,I
97,Number of people undernourished (3-year average),2017,1200.0,I
98,Number of people undernourished (3-year average),2018,1200.0,I
99,Prevalence of undernourishment (3-year average),2007,2.5,I
100,Prevalence of undernourishment (3-year average),2012,2.5,I
101,Prevalence of undernourishment (3-year average),2017,2.5,I
102,Prevalence of undernourishment (3-year average),2018,2.5,I
103,Total population with access to safe drinking-water (JMP),1992,89.8,X
104,Total population with access to safe drinking-water (JMP),1997,91.8,X
105,Total population with access to safe drinking-water (JMP),2002,94.5,X
106,Total population with access to safe drinking-water (JMP),2007,97.1,X
107,Total population with access to safe drinking-water (JMP),2012,97.6,X
108,Total population with access to safe drinking-water (JMP),2017,97.6,I
109,Total population with access to safe drinking-water (JMP),2018,97.6,I
110,Long-term average annual precipitation in volume,1962,126.45724,E
111,Long-term average annual precipitation in volume,1967,126.45724,E
112,Long-term average annual precipitation in volume,1972,126.45724,E
113,Long-term average annual precipitation in volume,1977,126.45724,E
114,Long-term average annual precipitation in volume,1982,126.45724,E
115,Long-term average annual precipitation in volume,1987,126.45724,E
116,Long-term average annual precipitation in volume,1992,126.45724,E
117,Long-term average annual precipitation in volume,1997,126.45724,E
118,Long-term average annual precipitation in volume,2002,126.87766,E
119,Long-term average annual precipitation in volume,2007,127.04328,E
120,Long-term average annual precipitation in volume,2012,127.5911,E
121,Long-term average annual precipitation in volume,2017,127.79494,E
122,Long-term average annual precipitation in volume,2018,127.80768,E
123,Interannual variability (WRI),2017,1.5,I
124,Interannual variability (WRI),2018,1.5,I
125,Seasonal variability (WRI),2017,3.3,I
126,Seasonal variability (WRI),2018,3.3,I
127,Flood occurrence (WRI),2017,3.5,I
128,Flood occurrence (WRI),2018,3.5,I
129,Surface water: entering the country (total),1961,4.85,OF
130,Surface water: entering the country (total),1966,4.85,OF
131,Surface water: entering the country (total),1971,4.85,OF
132,Surface water: entering the country (total),1976,4.85,OF
133,Surface water: entering the country (total),1981,4.85,OF
134,Surface water: entering the country (total),1986,4.85,OF
135,Surface water: entering the country (total),1991,4.85,OF
136,Surface water: entering the country (total),1996,4.85,OF
137,Surface water: entering the country (total),2001,4.85,OF
138,Surface water: entering the country (total),2006,4.85,OF
140,Surface water: entering the country (total),2017,4.85,OF
141,Surface water: leaving the country to other countries (total),1962,0.0,E
142,Surface water: leaving the country to other countries (total),1967,0.0,E
143,Surface water: leaving the country to other countries (total),1972,0.0,E
144,Surface water: leaving the country to other countries (total),1977,0.0,E
145,Surface water: leaving the country to other countries (total),1982,0.0,E
146,Surface water: leaving the country to other countries (total),1987,0.0,E
147,Surface water: leaving the country to other countries (total),1992,0.0,E
148,Surface water: leaving the country to other countries (total),1997,0.0,E
149,Surface water: leaving the country to other countries (total),2002,0.0,E
150,Surface water: leaving the country to other countries (total),2007,0.0,E
151,Surface water: leaving the country to other countries (total),2012,0.0,E
152,Surface water: leaving the country to other countries (total),2017,0.0,E
153,Groundwater: entering the country (total),1962,0.0,OF
154,Groundwater: entering the country (total),1967,0.0,OF
155,Groundwater: entering the country (total),1972,0.0,OF
156,Groundwater: entering the country (total),1977,0.0,OF
157,Groundwater: entering the country (total),1982,0.0,OF
158,Groundwater: entering the country (total),1987,0.0,OF
159,Groundwater: entering the country (total),1992,0.0,OF
160,Groundwater: entering the country (total),1997,0.0,OF
161,Groundwater: entering the country (total),2002,0.0,OF
162,Groundwater: entering the country (total),2007,0.0,OF
163,Groundwater: entering the country (total),2012,0.0,OF
164,Groundwater: entering the country (total),2017,0.0,OF
165,Groundwater: leaving the country to other countries (total),1962,0.0,OF
166,Groundwater: leaving the country to other countries (total),1967,0.0,OF
167,Groundwater: leaving the country to other countries (total),1972,0.0,OF
168,Groundwater: leaving the country to other countries (total),1977,0.0,OF
169,Groundwater: leaving the country to other countries (total),1982,0.0,OF
170,Groundwater: leaving the country to other countries (total),1987,0.0,OF
171,Groundwater: leaving the country to other countries (total),1992,0.0,OF
172,Groundwater: leaving the country to other countries (total),1997,0.0,OF
173,Groundwater: leaving the country to other countries (total),2002,0.0,OF
174,Groundwater: leaving the country to other countries (total),2007,0.0,OF
175,Groundwater: leaving the country to other countries (total),2012,0.0,OF
176,Groundwater: leaving the country to other countries (total),2017,0.0,OF
177,Dependency ratio,1962,6.9583931133,E
178,Dependency ratio,1967,6.9583931133,E
179,Dependency ratio,1972,6.9583931133,E
180,Dependency ratio,1977,6.9583931133,E
181,Dependency ratio,1982,6.9583931133,E
182,Dependency ratio,1987,6.9583931133,E
183,Dependency ratio,1992,6.9583931133,E
184,Dependency ratio,1997,6.9583931133,E
185,Dependency ratio,2002,6.9583931133,E
186,Dependency ratio,2007,6.9583931133,E
187,Dependency ratio,2012,6.9583931133,E
188,Dependency ratio,2017,6.9583931133,E
189,Dependency ratio,2018,6.9583931133,E
190,Total internal renewable water resources (IRWR),1962,64.85,E
191,Total internal renewable water resources (IRWR),1967,64.85,E
192,Total internal renewable water resources (IRWR),1972,64.85,E
193,Total internal renewable water resources (IRWR),1977,64.85,E
194,Total internal renewable water resources (IRWR),1982,64.85,E
195,Total internal renewable water resources (IRWR),1987,64.85,E
196,Total internal renewable water resources (IRWR),1992,64.85,E
197,Total internal renewable water resources (IRWR),1997,64.85,E
198,Total internal renewable water resources (IRWR),2002,64.85,E
199,Total internal renewable water resources (IRWR),2007,64.85,E
200,Total internal renewable water resources (IRWR),2012,64.85,E
201,Total internal renewable water resources (IRWR),2017,64.85,E
202,Total internal renewable water resources (IRWR),2018,64.85,E
203,Total internal renewable water resources per capita,1962,2418.6853645032,E
204,Total internal renewable water resources per capita,1967,2144.7448443195,E
205,Total internal renewable water resources per capita,1972,1935.4440327933,E
206,Total internal renewable water resources per capita,1977,1777.9099581408,E
207,Total internal renewable water resources per capita,1982,1655.3835113898,E
208,Total internal renewable water resources per capita,1987,1555.6572669944,E
209,Total internal renewable water resources per capita,1992,1478.9654621768,E
210,Total internal renewable water resources per capita,1997,1403.7995539619,E
211,Total internal renewable water resources per capita,2002,1351.0544172427,E
212,Total internal renewable water resources per capita,2007,1322.5298517523,E
213,Total internal renewable water resources per capita,2012,1295.4289297026,E
214,Total internal renewable water resources per capita,2017,1269.1692753787,E
215,Total internal renewable water resources per capita,2018,1267.3018953091,E
216,Total renewable surface water,1962,67.1,E
217,Total renewable surface water,1967,67.1,E
218,Total renewable surface water,1972,67.1,E
219,Total renewable surface water,1977,67.1,E
220,Total renewable surface water,1982,67.1,E
221,Total renewable surface water,1987,67.1,E
222,Total renewable surface water,1992,67.1,E
223,Total renewable surface water,1997,67.1,E
224,Total renewable surface water,2002,67.1,E
225,Total renewable surface water,2007,67.1,E
226,Total renewable surface water,2012,67.1,E
227,Total renewable surface water,2017,67.1,E
228,Total renewable surface water,2018,67.1,E
229,Total renewable groundwater,1962,13.3,E
230,Total renewable groundwater,1967,13.3,E
231,Total renewable groundwater,1972,13.3,E
232,Total renewable groundwater,1977,13.3,E
233,Total renewable groundwater,1982,13.3,E
234,Total renewable groundwater,1987,13.3,E
235,Total renewable groundwater,1992,13.3,E
236,Total renewable groundwater,1997,13.3,E
237,Total renewable groundwater,2002,13.3,E
238,Total renewable groundwater,2007,13.3,E
239,Total renewable groundwater,2012,13.3,E
240,Total renewable groundwater,2017,13.3,E
241,Total renewable groundwater,2018,13.3,E
242,Water resources: total external renewable,1962,4.85,E
243,Water resources: total external renewable,1967,4.85,E
244,Water resources: total external renewable,1972,4.85,E
245,Water resources: total external renewable,1977,4.85,E
246,Water resources: total external renewable,1982,4.85,E
247,Water resources: total external renewable,1987,4.85,E
248,Water resources: total external renewable,1992,4.85,E
249,Water resources: total external renewable,1997,4.85,E
250,Water resources: total external renewable,2002,4.85,E
251,Water resources: total external renewable,2007,4.85,E
252,Water resources: total external renewable,2012,4.85,E
253,Water resources: total external renewable,2017,4.85,E
254,Water resources: total external renewable,2018,4.85,E
255,Total renewable water resources,1962,69.7,E
256,Total renewable water resources,1967,69.7,E
257,Total renewable water resources,1972,69.7,E
258,Total renewable water resources,1977,69.7,E
259,Total renewable water resources,1982,69.7,E
260,Total renewable water resources,1987,69.7,E
261,Total renewable water resources,1992,69.7,E
262,Total renewable water resources,1997,69.7,E
263,Total renewable water resources,2002,69.7,E
264,Total renewable water resources,2007,69.7,E
265,Total renewable water resources,2012,69.7,E
266,Total renewable water resources,2017,69.7,E
267,Total renewable water resources,2018,69.7,E
268,Total renewable water resources per capita,1962,2599.5739384097,E
269,Total renewable water resources per capita,1967,2305.1459622061,E
270,Total renewable water resources per capita,1972,2080.1919673969,E
271,Total renewable water resources per capita,1977,1910.876238742,E
272,Total renewable water resources per capita,1982,1779.1862874922,E
273,Total renewable water resources per capita,1987,1672.001719499,E
274,Total renewable water resources per capita,1992,1589.5742901114,E
275,Total renewable water resources per capita,1997,1508.7868760392,E
276,Total renewable water resources per capita,2002,1452.0970374991,E
277,Total renewable water resources per capita,2007,1421.4391775965,E
278,Total renewable water resources per capita,2012,1392.3114325408,E
279,Total renewable water resources per capita,2017,1364.0878719182,E
280,Total renewable water resources per capita,2018,1362.0808342798,E
281,Total agricultural water managed area,1992,952.2666666667,I
282,Total agricultural water managed area,1997,888.8,E
283,Total agricultural water managed area,2002,880.4,E
284,Total agricultural water managed area,2007,888.8,E
285,Total agricultural water managed area,2012,888.8,E
286,Total agricultural water managed area,2017,888.8,E
287,Total agricultural water managed area,2018,888.8,E
288,Area equipped for irrigation: total,1992,952.2666666667,I
289,Area equipped for irrigation: total,1997,888.8,E
290,Area equipped for irrigation: total,2002,880.4,E
291,Area equipped for irrigation: total,2007,888.8,E
292,Area equipped for irrigation: total,2012,888.8,E
293,Area equipped for irrigation: total,2017,888.8,E
294,Area equipped for irrigation: total,2018,888.8,E
295,% of agricultural GVA produced by irrigated agriculture,1997,58.5835620059,E
296,% of agricultural GVA produced by irrigated agriculture,2002,71.3145513098,E
297,% of agricultural GVA produced by irrigated agriculture,2007,82.176432921,E
298,% of agricultural GVA produced by irrigated agriculture,2012,83.9570632675,E
299,% of agricultural GVA produced by irrigated agriculture,2017,87.9633793347,E
300,% of agricultural GVA produced by irrigated agriculture,2018,88.9222838632,E
301,Ratio between rainfed and irrigated yields,1962,1.498,E
302,Ratio between rainfed and irrigated yields,1967,1.498,E
303,Ratio between rainfed and irrigated yields,1972,1.498,E
304,Ratio between rainfed and irrigated yields,1977,1.498,E
305,Ratio between rainfed and irrigated yields,1982,1.498,E
306,Ratio between rainfed and irrigated yields,1987,1.498,E
307,Ratio between rainfed and irrigated yields,1992,1.498,E
308,Ratio between rainfed and irrigated yields,1997,1.498,E
309,Ratio between rainfed and irrigated yields,2002,1.498,E
310,Ratio between rainfed and irrigated yields,2007,1.498,I
311,Ratio between rainfed and irrigated yields,2012,1.498,E
312,Ratio between rainfed and irrigated yields,2017,1.498,I
313,Ratio between rainfed and irrigated yields,2018,1.498,I
314,Agricultural water withdrawal as % of total renewable water resources,1992,20.8106169297,I
315,Agricultural water withdrawal as % of total renewable water resources,1997,21.9368723099,E
316,Agricultural water withdrawal as % of total renewable water resources,2002,23.0989956958,E
317,Agricultural water withdrawal as % of total renewable water resources,2007,22.8981348637,I
318,Agricultural water withdrawal as % of total renewable water resources,2012,22.8981348637,I
319,Agricultural water withdrawal as % of total renewable water resources,2017,22.8981348637,I
320,Agricultural water withdrawal as % of total renewable water resources,2018,22.8981348637,I
321,Agricultural water withdrawal,1992,14.505,I
322,Agricultural water withdrawal,1997,15.29,X
323,Agricultural water withdrawal,2001,16.0275,I
324,Agricultural water withdrawal,2007,15.96,I
325,Agricultural water withdrawal,2012,15.96,I
326,Agricultural water withdrawal,2017,15.96,I
327,Agricultural water withdrawal,2018,15.96,I
328,Irrigation water requirement,2007,3.932,I
329,Irrigation water requirement,2012,3.932,I
330,Irrigation water requirement,2017,3.932,I
331,Irrigation water requirement,2018,3.932,I
332,Irrigation water withdrawal,1992,14.44,I
333,Irrigation water withdrawal,1997,15.29,X
334,Irrigation water withdrawal,2001,15.938,I
335,Irrigation water withdrawal,2007,14.49,I
336,Irrigation water withdrawal,2012,14.49,I
337,Irrigation water withdrawal,2017,14.49,I
338,Irrigation water withdrawal,2018,14.49,I
339,Municipal water withdrawal,1977,2.5633333333,I
340,Municipal water withdrawal,1982,3.2966666667,I
341,Municipal water withdrawal,1987,4.03,I
342,Municipal water withdrawal,1992,5.1557142857,I
343,Municipal water withdrawal,1997,6.87,X
344,Municipal water withdrawal,2001,7.2265,I
345,Municipal water withdrawal,2007,7.0075555556,I
346,Municipal water withdrawal,2012,7.2164444444,I
347,Municipal water withdrawal,2017,6.672,I
348,Municipal water withdrawal,2018,6.672,I
349,Industrial water withdrawal,1992,2.3657142857,I
350,Industrial water withdrawal,1997,3.28,X
351,Industrial water withdrawal,2002,4.45,X
352,Industrial water withdrawal,2007,4.45,I
353,Industrial water withdrawal,2012,4.45,I
354,Industrial water withdrawal,2017,4.45,I
355,Industrial water withdrawal,2018,4.45,I
356,Total water withdrawal,1992,22.0264285714,E
357,Total water withdrawal,1997,25.44,E
358,Total water withdrawal,2002,29.163,E
359,Total water withdrawal,2007,27.4175555556,E
360,Total water withdrawal,2012,27.6264444444,E
361,Total water withdrawal,2017,27.082,E
362,Total water withdrawal,2018,27.082,E
363,Fresh surface water withdrawal,1992,19.9857142857,I
364,Fresh surface water withdrawal,1997,22.2,X
365,Fresh surface water withdrawal,2002,25.7,X
366,Fresh surface water withdrawal,2007,25.48,I
367,Fresh surface water withdrawal,2012,25.48,I
368,Fresh surface water withdrawal,2017,25.48,I
369,Fresh surface water withdrawal,2018,25.48,I
370,Fresh groundwater withdrawal,1992,1.9757142857,I
371,Fresh groundwater withdrawal,1997,3.24,X
372,Fresh groundwater withdrawal,2002,3.468,X
373,Fresh groundwater withdrawal,2007,3.717,I
374,Fresh groundwater withdrawal,2012,3.717,I
375,Fresh groundwater withdrawal,2017,3.717,I
376,Fresh groundwater withdrawal,2018,3.717,I
377,Total freshwater withdrawal,1992,21.9614285714,I
378,Total freshwater withdrawal,1997,25.44,E
379,Total freshwater withdrawal,2002,29.168,E
380,Total freshwater withdrawal,2007,29.197,I
381,Total freshwater withdrawal,2012,29.197,I
382,Total freshwater withdrawal,2017,29.197,I
383,Total freshwater withdrawal,2018,29.197,I
384,Desalinated water produced,2002,0.0002,E
385,Desalinated water produced,2007,0.0002,I
386,Desalinated water produced,2012,0.0002,I
387,Desalinated water produced,2017,0.0002,I
388,Desalinated water produced,2018,0.0002,I
389,Direct use of treated municipal wastewater,2007,0.4427818182,I
390,Direct use of treated municipal wastewater,2012,0.8000090909,I
391,Direct use of treated municipal wastewater,2017,1.118,I
392,Direct use of treated municipal wastewater,2018,1.118,I
393,Produced municipal wastewater,2002,6.2842727273,I
394,Produced municipal wastewater,2007,7.1474545455,I
395,Produced municipal wastewater,2012,7.838,I
396,Produced municipal wastewater,2017,7.838,I
397,Produced municipal wastewater,2018,7.838,I
398,Not treated municipal wastewater,2012,1.255,I
399,Not treated municipal wastewater,2017,1.255,I
400,Not treated municipal wastewater,2018,1.255,I
401,Treated municipal wastewater,1997,4.3402,I
402,Treated municipal wastewater,2002,5.1412,I
403,Treated municipal wastewater,2007,5.9422,I
404,Treated municipal wastewater,2012,6.583,I
405,Treated municipal wastewater,2017,6.583,I
406,Treated municipal wastewater,2018,6.583,I
419,SDG 6.4.2. Water Stress,1992,64.1022433492,E
420,SDG 6.4.2. Water Stress,1997,74.2556917688,E
421,SDG 6.4.2. Water Stress,2002,85.137186223,E
422,SDG 6.4.2. Water Stress,2007,85.2218330414,E
423,SDG 6.4.2. Water Stress,2012,85.2218330414,E
424,SDG 6.4.2. Water Stress,2017,85.2218330414,E
425,SDG 6.4.2. Water Stress,2018,85.2218330414,E
426,SDG 6.4.1. Water Use Efficiency,2002,27.4441444013,I
427,SDG 6.4.1. Water Use Efficiency,2006,35.4395464394,I
428,SDG 6.4.1. Water Use Efficiency,2012,44.1303838698,I
429,SDG 6.4.1. Water Use Efficiency,2016,50.8571486347,I
430,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,1.2815910112,E
431,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2006,1.3722297221,E
432,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,1.5400169162,E
433,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,1.5305269969,E
434,SDG 6.4.1. Industrial Water Use Efficiency,2002,61.3650462088,E
435,SDG 6.4.1. Industrial Water Use Efficiency,2006,75.501394149,E
436,SDG 6.4.1. Industrial Water Use Efficiency,2012,97.3322437693,E
437,SDG 6.4.1. Industrial Water Use Efficiency,2016,107.670796308,E
438,SDG 6.4.1. Services Water Use Efficiency,2002,58.8233498509,E
439,SDG 6.4.1. Services Water Use Efficiency,2006,87.9016209067,E
440,SDG 6.4.1. Services Water Use Efficiency,2012,105.5171212634,E
441,SDG 6.4.1. Services Water Use Efficiency,2016,130.95789042,E
442,Harvested irrigated temporary crop area: Rice,1997,896.12,I
443,Harvested irrigated temporary crop area: Rice,2002,932.72,I
444,Harvested irrigated temporary crop area: Rice,2007,962.0,I
445,Harvested irrigated temporary crop area: Rice,2012,962.0,I
446,Harvested irrigated temporary crop area: Rice,2017,962.0,I
447,Harvested irrigated temporary crop area: Rice,2018,962.0,I
448,Harvested irrigated temporary crop area: Maize,2007,5.0,I
449,Harvested irrigated temporary crop area: Maize,2012,5.0,I
450,Harvested irrigated temporary crop area: Maize,2017,5.0,I
451,Harvested irrigated temporary crop area: Maize,2018,5.0,I
452,Harvested irrigated temporary crop area: Potatoes,2007,19.0,I
453,Harvested irrigated temporary crop area: Potatoes,2012,19.0,I
454,Harvested irrigated temporary crop area: Potatoes,2017,19.0,I
455,Harvested irrigated temporary crop area: Potatoes,2018,19.0,I
456,Harvested irrigated temporary crop area: Sweet potatoes,2007,14.0,I
457,Harvested irrigated temporary crop area: Sweet potatoes,2012,14.0,I
458,Harvested irrigated temporary crop area: Sweet potatoes,2017,14.0,I
459,Harvested irrigated temporary crop area: Sweet potatoes,2018,14.0,I
460,Harvested irrigated temporary crop area: Vegetables,2007,229.0,I
461,Harvested irrigated temporary crop area: Vegetables,2012,229.0,I
462,Harvested irrigated temporary crop area: Vegetables,2017,229.0,I
463,Harvested irrigated temporary crop area: Vegetables,2018,229.0,I
464,Harvested irrigated permanent crop area: Citrus,2007,11.0,I
465,Harvested irrigated permanent crop area: Citrus,2012,11.0,I
466,Harvested irrigated permanent crop area: Citrus,2017,11.0,I
467,Harvested irrigated permanent crop area: Citrus,2018,11.0,I
468,Harvested irrigated temporary crop area: Tobacco,2007,1.0,I
469,Harvested irrigated temporary crop area: Tobacco,2012,1.0,I
470,Harvested irrigated temporary crop area: Tobacco,2017,1.0,I
471,Harvested irrigated temporary crop area: Tobacco,2018,1.0,I
472,Harvested irrigated temporary crop area: Fodder,2007,12.0,I
473,Harvested irrigated temporary crop area: Fodder,2012,12.0,I
474,Harvested irrigated temporary crop area: Fodder,2017,12.0,I
475,Harvested irrigated temporary crop area: Fodder,2018,12.0,I
476,Harvested irrigated temporary crop area: Soybeans,2007,52.0,I
477,Harvested irrigated temporary crop area: Soybeans,2012,52.0,I
478,Harvested irrigated temporary crop area: Soybeans,2017,52.0,I
479,Harvested irrigated temporary crop area: Soybeans,2018,52.0,I
