Russian Federation,Variable Name,Year,Value,Symbol
130,Total internal renewable water resources per capita,2007,30097.8153872038,E
131,Total internal renewable water resources per capita,2012,29945.7146418405,E
132,Total internal renewable water resources per capita,2017,29629.6129345959,E
133,Total internal renewable water resources per capita,2018,29588.1460445088,E
134,Total renewable surface water,1992,4249.445,E
135,Total renewable surface water,1997,4249.445,E
136,Total renewable surface water,2002,4249.445,E
137,Total renewable surface water,2007,4249.445,E
138,Total renewable surface water,2012,4249.445,E
139,Total renewable surface water,2017,4249.445,E
140,Total renewable surface water,2018,4249.445,E
141,Total renewable groundwater,1992,788.0,E
142,Total renewable groundwater,1997,788.0,E
143,Total renewable groundwater,2002,788.0,E
144,Total renewable groundwater,2007,788.0,E
145,Total renewable groundwater,2012,788.0,E
146,Total renewable groundwater,2017,788.0,E
147,Total renewable groundwater,2018,788.0,E
148,Water resources: total external renewable,1992,213.445,E
149,Water resources: total external renewable,1997,213.445,E
150,Water resources: total external renewable,2002,213.445,E
151,Water resources: total external renewable,2007,213.445,E
152,Water resources: total external renewable,2012,213.445,E
153,Water resources: total external renewable,2017,213.445,E
154,Water resources: total external renewable,2018,213.445,E
155,Total renewable water resources,1992,4525.445,E
156,Total renewable water resources,1997,4525.445,E
157,Total renewable water resources,2002,4525.445,E
158,Total renewable water resources,2007,4525.445,E
159,Total renewable water resources,2012,4525.445,E
160,Total renewable water resources,2017,4525.445,E
161,Total renewable water resources,2018,4525.445,E
162,Total renewable water resources per capita,1992,30521.9417996588,E
163,Total renewable water resources per capita,1997,30633.2120623365,E
164,Total renewable water resources per capita,2002,31163.6069653626,E
165,Total renewable water resources per capita,2007,31587.6642288832,E
166,Total renewable water resources per capita,2012,31428.0344613506,E
167,Total renewable water resources per capita,2017,31096.28564629,E
168,Total renewable water resources per capita,2018,31052.766135527,E
169,Total agricultural water managed area,1997,4462.25,I
170,Total agricultural water managed area,2002,3302.6666666667,I
171,Total agricultural water managed area,2007,2553.4444444444,I
172,Total agricultural water managed area,2012,3445.6666666667,I
173,Total agricultural water managed area,2015,3981.0,E
174,Area equipped for irrigation: total,1997,4462.25,I
175,Area equipped for irrigation: total,2002,3302.6666666667,I
176,Area equipped for irrigation: total,2007,2553.4444444444,I
177,Area equipped for irrigation: total,2012,3445.6666666667,I
178,Area equipped for irrigation: total,2015,3981.0,E
179,% of agricultural GVA produced by irrigated agriculture,1997,4.9119327727,E
180,% of agricultural GVA produced by irrigated agriculture,2002,3.0826860882,E
181,% of agricultural GVA produced by irrigated agriculture,2007,1.5606689367,E
182,% of agricultural GVA produced by irrigated agriculture,2012,1.9219441119,E
183,% of agricultural GVA produced by irrigated agriculture,2017,2.0990189057,E
184,Ratio between rainfed and irrigated yields,1992,1.97,E
185,Ratio between rainfed and irrigated yields,1997,1.97,E
186,Ratio between rainfed and irrigated yields,2002,1.97,E
187,Ratio between rainfed and irrigated yields,2007,1.97,I
188,Ratio between rainfed and irrigated yields,2012,1.97,E
189,Ratio between rainfed and irrigated yields,2017,1.97,I
190,Ratio between rainfed and irrigated yields,2018,1.97,I
191,Agricultural water withdrawal as % of total renewable water resources,1997,0.3197475607,I
192,Agricultural water withdrawal as % of total renewable water resources,2002,0.2897747109,E
193,Agricultural water withdrawal as % of total renewable water resources,2007,0.2802281543,E
194,Agricultural water withdrawal as % of total renewable water resources,2012,0.2706815977,E
195,Agricultural water withdrawal as % of total renewable water resources,2017,0.4123351405,E
196,Agricultural water withdrawal,1997,14.47,I
197,Agricultural water withdrawal,2002,13.1135951662,I
198,Agricultural water withdrawal,2007,12.681570997,I
199,Agricultural water withdrawal,2012,12.2495468278,I
200,Agricultural water withdrawal,2015,17.5,OF
201,Irrigation water requirement,2012,9.227,I
202,Irrigation water requirement,2017,9.227,I
203,Irrigation water requirement,2018,9.227,I
204,Irrigation water withdrawal,2015,10.96,OF
205,Municipal water withdrawal,1997,13.9142857143,I
206,Municipal water withdrawal,2002,13.312286002,I
207,Municipal water withdrawal,2007,12.8737160121,I
208,Municipal water withdrawal,2012,12.4351460222,I
209,Municipal water withdrawal,2015,16.38,OF
210,Industrial water withdrawal,1997,44.1142857143,I
211,Industrial water withdrawal,2002,39.3407854985,I
212,Industrial water withdrawal,2007,38.0447129909,I
213,Industrial water withdrawal,2012,36.7486404834,I
214,Industrial water withdrawal,2015,28.58,OF
215,Total water withdrawal,1997,72.4985714286,E
216,Total water withdrawal,2002,65.7666666667,I
217,Total water withdrawal,2007,63.6,I
218,Total water withdrawal,2012,61.4333333333,I
219,Total water withdrawal,2015,62.46,E
220,Fresh surface water withdrawal,2015,52.32,OF
221,Fresh groundwater withdrawal,2015,10.12,OF
222,Total freshwater withdrawal,1992,99.6,OF
223,Total freshwater withdrawal,1997,72.4985714286,E
224,Total freshwater withdrawal,2002,65.7666666667,E
225,Total freshwater withdrawal,2007,63.6,E
226,Total freshwater withdrawal,2012,64.0,OF
227,Total freshwater withdrawal,2015,62.44,OF
228,Produced municipal wastewater,2012,12.32,I
229,Produced municipal wastewater,2017,12.32,I
230,Produced municipal wastewater,2018,12.32,I
238,SDG 6.4.2. Water Stress,1992,6.334084817,E
239,SDG 6.4.2. Water Stress,1997,4.6105632584,E
240,SDG 6.4.2. Water Stress,2002,4.1824462329,E
241,SDG 6.4.2. Water Stress,2007,4.0446565699,E
242,SDG 6.4.2. Water Stress,2012,4.0700946615,E
243,SDG 6.4.2. Water Stress,2017,4.0961687054,E
244,SDG 6.4.1. Water Use Efficiency,2015,18.7804345725,I
245,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0644539083,E
246,SDG 6.4.1. Industrial Water Use Efficiency,2015,12.9637158852,E
247,SDG 6.4.1. Services Water Use Efficiency,2015,48.9252136752,E
248,Harvested irrigated temporary crop area: Wheat,2007,61.3,I
249,Harvested irrigated temporary crop area: Wheat,2012,61.3,I
250,Harvested irrigated temporary crop area: Wheat,2017,61.3,I
251,Harvested irrigated temporary crop area: Wheat,2018,61.3,I
252,Harvested irrigated temporary crop area: Rice,1997,205.25,I
253,Harvested irrigated temporary crop area: Rice,2002,112.3333333333,I
254,Harvested irrigated temporary crop area: Rice,2007,38.0,I
255,Harvested irrigated temporary crop area: Rice,2012,38.0,I
256,Harvested irrigated temporary crop area: Rice,2017,38.0,I
257,Harvested irrigated temporary crop area: Rice,2018,38.0,I
258,Harvested irrigated temporary crop area: Barley,2007,26.0,I
259,Harvested irrigated temporary crop area: Barley,2012,26.0,I
260,Harvested irrigated temporary crop area: Barley,2017,26.0,I
261,Harvested irrigated temporary crop area: Barley,2018,26.0,I
262,Harvested irrigated temporary crop area: Maize,2007,15.0,I
263,Harvested irrigated temporary crop area: Maize,2012,15.0,I
264,Harvested irrigated temporary crop area: Maize,2017,15.0,I
265,Harvested irrigated temporary crop area: Maize,2018,15.0,I
266,Harvested irrigated temporary crop area: Other cereals,1997,634.25,I
267,Harvested irrigated temporary crop area: Other cereals,2002,294.6666666667,I
268,Harvested irrigated temporary crop area: Other cereals,2007,23.0,I
269,Harvested irrigated temporary crop area: Other cereals,2012,23.0,I
270,Harvested irrigated temporary crop area: Other cereals,2017,23.0,I
271,Harvested irrigated temporary crop area: Other cereals,2018,23.0,I
272,Harvested irrigated temporary crop area: Potatoes,2007,82.0,I
273,Harvested irrigated temporary crop area: Potatoes,2012,82.0,I
274,Harvested irrigated temporary crop area: Potatoes,2017,82.0,I
275,Harvested irrigated temporary crop area: Potatoes,2018,82.0,I
276,Harvested irrigated temporary crop area: Sugar beet,1997,95.75,I
277,Harvested irrigated temporary crop area: Sugar beet,2002,60.3333333333,I
278,Harvested irrigated temporary crop area: Sugar beet,2007,32.0,I
279,Harvested irrigated temporary crop area: Sugar beet,2012,32.0,I
280,Harvested irrigated temporary crop area: Sugar beet,2017,32.0,I
281,Harvested irrigated temporary crop area: Sugar beet,2018,32.0,I
282,Harvested irrigated temporary crop area: Leguminous crops,1997,96.5,I
283,Harvested irrigated temporary crop area: Leguminous crops,2002,60.6666666667,I
284,Harvested irrigated temporary crop area: Leguminous crops,2007,32.0,I
285,Harvested irrigated temporary crop area: Leguminous crops,2012,32.0,I
286,Harvested irrigated temporary crop area: Leguminous crops,2017,32.0,I
287,Harvested irrigated temporary crop area: Leguminous crops,2018,32.0,I
288,Harvested irrigated temporary crop area: Vegetables,1997,170.25,I
289,Harvested irrigated temporary crop area: Vegetables,2002,107.3333333333,I
290,Harvested irrigated temporary crop area: Vegetables,2007,57.0,I
291,Harvested irrigated temporary crop area: Vegetables,2012,57.0,I
292,Harvested irrigated temporary crop area: Vegetables,2017,57.0,I
293,Harvested irrigated temporary crop area: Vegetables,2018,57.0,I
294,Harvested irrigated temporary crop area: Fodder,1997,1326.4,I
295,Harvested irrigated temporary crop area: Fodder,2002,772.0666666667,I
296,Harvested irrigated temporary crop area: Fodder,2007,328.6,I
297,Harvested irrigated temporary crop area: Fodder,2012,328.6,I
298,Harvested irrigated temporary crop area: Fodder,2017,328.6,I
299,Harvested irrigated temporary crop area: Fodder,2018,328.6,I
