Faroe Islands,Variable Name,Year,Value,Symbol
75,Surface water: entering the country (total),1987,0.0,OF
76,Surface water: entering the country (total),1992,0.0,OF
77,Surface water: entering the country (total),1997,0.0,OF
78,Surface water: entering the country (total),2002,0.0,OF
79,Surface water: entering the country (total),2007,0.0,OF
80,Surface water: entering the country (total),2012,0.0,OF
81,Surface water: entering the country (total),2017,0.0,OF
82,Surface water: leaving the country to other countries (total),1962,0.0,OF
83,Surface water: leaving the country to other countries (total),1967,0.0,OF
84,Surface water: leaving the country to other countries (total),1972,0.0,OF
85,Surface water: leaving the country to other countries (total),1977,0.0,OF
86,Surface water: leaving the country to other countries (total),1982,0.0,OF
87,Surface water: leaving the country to other countries (total),1987,0.0,OF
88,Surface water: leaving the country to other countries (total),1992,0.0,OF
89,Surface water: leaving the country to other countries (total),1997,0.0,OF
90,Surface water: leaving the country to other countries (total),2002,0.0,OF
91,Surface water: leaving the country to other countries (total),2007,0.0,OF
92,Surface water: leaving the country to other countries (total),2012,0.0,OF
93,Surface water: leaving the country to other countries (total),2017,0.0,OF
94,Groundwater: entering the country (total),1962,0.0,OF
95,Groundwater: entering the country (total),1967,0.0,OF
96,Groundwater: entering the country (total),1972,0.0,OF
97,Groundwater: entering the country (total),1977,0.0,OF
98,Groundwater: entering the country (total),1982,0.0,OF
99,Groundwater: entering the country (total),1987,0.0,OF
100,Groundwater: entering the country (total),1992,0.0,OF
101,Groundwater: entering the country (total),1997,0.0,OF
102,Groundwater: entering the country (total),2002,0.0,OF
103,Groundwater: entering the country (total),2007,0.0,OF
104,Groundwater: entering the country (total),2012,0.0,OF
105,Groundwater: entering the country (total),2017,0.0,OF
106,Groundwater: leaving the country to other countries (total),1962,0.0,OF
107,Groundwater: leaving the country to other countries (total),1967,0.0,OF
108,Groundwater: leaving the country to other countries (total),1972,0.0,OF
109,Groundwater: leaving the country to other countries (total),1977,0.0,OF
110,Groundwater: leaving the country to other countries (total),1982,0.0,OF
111,Groundwater: leaving the country to other countries (total),1987,0.0,OF
112,Groundwater: leaving the country to other countries (total),1992,0.0,OF
113,Groundwater: leaving the country to other countries (total),1997,0.0,OF
114,Groundwater: leaving the country to other countries (total),2002,0.0,OF
115,Groundwater: leaving the country to other countries (total),2007,0.0,OF
116,Groundwater: leaving the country to other countries (total),2012,0.0,OF
117,Groundwater: leaving the country to other countries (total),2017,0.0,OF
118,Dependency ratio,1962,0.0,OF
119,Dependency ratio,1967,0.0,OF
120,Dependency ratio,1972,0.0,OF
121,Dependency ratio,1977,0.0,OF
122,Dependency ratio,1982,0.0,OF
123,Dependency ratio,1987,0.0,OF
124,Dependency ratio,1992,0.0,OF
125,Dependency ratio,1997,0.0,OF
126,Dependency ratio,2002,0.0,OF
127,Dependency ratio,2007,0.0,OF
128,Dependency ratio,2012,0.0,OF
129,Dependency ratio,2017,0.0,OF
130,Total renewable surface water,1962,0.0,E
131,Total renewable surface water,1967,0.0,E
132,Total renewable surface water,1972,0.0,E
133,Total renewable surface water,1977,0.0,E
134,Total renewable surface water,1982,0.0,E
135,Total renewable surface water,1987,0.0,E
136,Total renewable surface water,1992,0.0,E
137,Total renewable surface water,1997,0.0,E
138,Total renewable surface water,2002,0.0,E
139,Total renewable surface water,2007,0.0,E
140,Total renewable surface water,2012,0.0,E
141,Total renewable surface water,2017,0.0,E
142,Total renewable surface water,2018,0.0,E
143,Total renewable groundwater,1962,0.0,E
144,Total renewable groundwater,1967,0.0,E
145,Total renewable groundwater,1972,0.0,E
146,Total renewable groundwater,1977,0.0,E
147,Total renewable groundwater,1982,0.0,E
148,Total renewable groundwater,1987,0.0,E
149,Total renewable groundwater,1992,0.0,E
150,Total renewable groundwater,1997,0.0,E
151,Total renewable groundwater,2002,0.0,E
152,Total renewable groundwater,2007,0.0,E
153,Total renewable groundwater,2012,0.0,E
154,Total renewable groundwater,2017,0.0,E
155,Total renewable groundwater,2018,0.0,E
156,Water resources: total external renewable,1962,0.0,E
157,Water resources: total external renewable,1967,0.0,E
158,Water resources: total external renewable,1972,0.0,E
159,Water resources: total external renewable,1977,0.0,E
160,Water resources: total external renewable,1982,0.0,E
161,Water resources: total external renewable,1987,0.0,E
162,Water resources: total external renewable,1992,0.0,E
163,Water resources: total external renewable,1997,0.0,E
164,Water resources: total external renewable,2002,0.0,E
165,Water resources: total external renewable,2007,0.0,E
166,Water resources: total external renewable,2012,0.0,E
167,Water resources: total external renewable,2017,0.0,E
168,Water resources: total external renewable,2018,0.0,E
169,Total renewable water resources,1962,0.0,E
170,Total renewable water resources,1967,0.0,E
171,Total renewable water resources,1972,0.0,E
172,Total renewable water resources,1977,0.0,E
173,Total renewable water resources,1982,0.0,E
174,Total renewable water resources,1987,0.0,E
175,Total renewable water resources,1992,0.0,E
176,Total renewable water resources,1997,0.0,E
177,Total renewable water resources,2002,0.0,E
178,Total renewable water resources,2007,0.0,E
179,Total renewable water resources,2012,0.0,E
180,Total renewable water resources,2017,0.0,E
181,Total renewable water resources,2018,0.0,E
182,Total renewable water resources per capita,1962,0.0,E
183,Total renewable water resources per capita,1967,0.0,E
184,Total renewable water resources per capita,1972,0.0,E
185,Total renewable water resources per capita,1977,0.0,E
186,Total renewable water resources per capita,1982,0.0,E
187,Total renewable water resources per capita,1987,0.0,E
188,Total renewable water resources per capita,1992,0.0,E
189,Total renewable water resources per capita,1997,0.0,E
190,Total renewable water resources per capita,2002,0.0,E
191,Total renewable water resources per capita,2007,0.0,E
192,Total renewable water resources per capita,2012,0.0,E
193,Total renewable water resources per capita,2017,0.0,E
194,Total renewable water resources per capita,2018,0.0,E
