Liberia,Variable Name,Year,Value,Symbol
75,Gross Domestic Product (GDP),1987,1111321328.0,X
76,Gross Domestic Product (GDP),1992,346067230.0,X
77,Gross Domestic Product (GDP),1997,418607741.0,X
78,Gross Domestic Product (GDP),2002,686682868.0,X
79,Gross Domestic Product (GDP),2007,949000000.0,X
80,Gross Domestic Product (GDP),2012,1734000000.0,X
81,Gross Domestic Product (GDP),2014,2053000000.0,X
82,GDP per capita,1972,242.127569,X
83,GDP per capita,1977,418.685796,X
84,GDP per capita,1982,548.858152,X
85,GDP per capita,1987,507.215729,X
86,GDP per capita,1992,171.089271,X
87,GDP per capita,1997,177.491305,X
88,GDP per capita,2002,224.196403,X
89,GDP per capita,2007,270.144711,X
90,GDP per capita,2012,414.677478,X
91,GDP per capita,2017,453.383621,X
92,GDP per capita,2018,437.118973,X
93,"Agriculture, value added (% GDP)",1972,20.55794,X
94,"Agriculture, value added (% GDP)",1977,13.622203,X
95,"Agriculture, value added (% GDP)",1982,26.049575,X
96,"Agriculture, value added (% GDP)",1987,35.043598,X
97,"Agriculture, value added (% GDP)",1992,47.553771,X
98,"Agriculture, value added (% GDP)",1997,66.241172,X
99,"Agriculture, value added (% GDP)",2002,76.33452,X
100,"Agriculture, value added (% GDP)",2007,54.373024,X
101,"Agriculture, value added (% GDP)",2012,55.824683,X
102,"Agriculture, value added (% GDP)",2014,79.688261,X
103,"Agriculture, value added to GDP",1967,62843900.0,X
104,"Agriculture, value added to GDP",1969,75566400.0,X
105,Number of people undernourished (3-year average),1992,600.0,X
106,Number of people undernourished (3-year average),1997,900.0,X
107,Number of people undernourished (3-year average),2002,1100.0,X
108,Number of people undernourished (3-year average),2007,1200.0,X
109,Number of people undernourished (3-year average),2011,1300.0,X
110,Number of people undernourished (3-year average),2015,1600.0,X
111,Prevalence of undernourishment (3-year average),1992,29.0,X
112,Prevalence of undernourishment (3-year average),1997,40.2,X
113,Prevalence of undernourishment (3-year average),2001,38.4,X
114,Prevalence of undernourishment (3-year average),2007,35.3,X
115,Total population with access to safe drinking-water (JMP),1997,60.6,X
116,Total population with access to safe drinking-water (JMP),2002,64.2,X
117,Total population with access to safe drinking-water (JMP),2007,68.5,X
118,Total population with access to safe drinking-water (JMP),2012,72.9,X
119,Total population with access to safe drinking-water (JMP),2017,75.6,I
120,Total population with access to safe drinking-water (JMP),2018,75.6,I
121,Long-term average annual precipitation in volume,1962,266.28567,E
122,Long-term average annual precipitation in volume,1967,266.28567,E
123,Long-term average annual precipitation in volume,1972,266.28567,E
124,Long-term average annual precipitation in volume,1977,266.28567,E
125,Long-term average annual precipitation in volume,1982,266.28567,E
126,Long-term average annual precipitation in volume,1987,266.28567,E
127,Long-term average annual precipitation in volume,1992,266.28567,E
128,Long-term average annual precipitation in volume,1997,266.28567,E
129,Long-term average annual precipitation in volume,2002,266.28567,E
130,Long-term average annual precipitation in volume,2007,266.28567,E
131,Long-term average annual precipitation in volume,2012,266.28567,E
132,Long-term average annual precipitation in volume,2017,266.28567,E
133,Long-term average annual precipitation in volume,2018,266.28567,E
134,Interannual variability (WRI),2017,0.8,I
135,Interannual variability (WRI),2018,0.8,I
136,Seasonal variability (WRI),2017,2.8,I
137,Seasonal variability (WRI),2018,2.8,I
138,Flood occurrence (WRI),2017,1.9,I
139,Flood occurrence (WRI),2018,1.9,I
140,Surface water: entering the country (total),1962,32.0,OF
141,Surface water: entering the country (total),1967,32.0,OF
142,Surface water: entering the country (total),1972,32.0,OF
143,Surface water: entering the country (total),1977,32.0,OF
144,Surface water: entering the country (total),1982,32.0,OF
145,Surface water: entering the country (total),1987,32.0,OF
146,Surface water: entering the country (total),1992,32.0,OF
147,Surface water: entering the country (total),1997,32.0,OF
148,Surface water: entering the country (total),2002,32.0,OF
149,Surface water: entering the country (total),2007,32.0,OF
150,Surface water: entering the country (total),2012,32.0,OF
151,Surface water: entering the country (total),2017,32.0,OF
152,Surface water: leaving the country to other countries (total),1962,0.0,OF
153,Surface water: leaving the country to other countries (total),1967,0.0,OF
154,Surface water: leaving the country to other countries (total),1972,0.0,OF
155,Surface water: leaving the country to other countries (total),1977,0.0,OF
156,Surface water: leaving the country to other countries (total),1982,0.0,OF
157,Surface water: leaving the country to other countries (total),1987,0.0,OF
158,Surface water: leaving the country to other countries (total),1992,0.0,OF
159,Surface water: leaving the country to other countries (total),1997,0.0,OF
160,Surface water: leaving the country to other countries (total),2002,0.0,OF
161,Surface water: leaving the country to other countries (total),2007,0.0,OF
162,Surface water: leaving the country to other countries (total),2012,0.0,OF
163,Surface water: leaving the country to other countries (total),2017,0.0,OF
164,Groundwater: entering the country (total),1962,0.0,E
165,Groundwater: entering the country (total),1967,0.0,E
166,Groundwater: entering the country (total),1972,0.0,E
167,Groundwater: entering the country (total),1977,0.0,E
168,Groundwater: entering the country (total),1982,0.0,E
169,Groundwater: entering the country (total),1987,0.0,E
170,Groundwater: entering the country (total),1992,0.0,E
171,Groundwater: entering the country (total),1997,0.0,E
172,Groundwater: entering the country (total),2002,0.0,E
173,Groundwater: entering the country (total),2007,0.0,E
174,Groundwater: entering the country (total),2012,0.0,E
175,Groundwater: entering the country (total),2017,0.0,E
176,Groundwater: leaving the country to other countries (total),1962,0.0,OF
177,Groundwater: leaving the country to other countries (total),1967,0.0,OF
178,Groundwater: leaving the country to other countries (total),1972,0.0,OF
179,Groundwater: leaving the country to other countries (total),1977,0.0,OF
180,Groundwater: leaving the country to other countries (total),1982,0.0,OF
181,Groundwater: leaving the country to other countries (total),1987,0.0,OF
182,Groundwater: leaving the country to other countries (total),1992,0.0,OF
183,Groundwater: leaving the country to other countries (total),1997,0.0,OF
184,Groundwater: leaving the country to other countries (total),2002,0.0,OF
185,Groundwater: leaving the country to other countries (total),2007,0.0,OF
186,Groundwater: leaving the country to other countries (total),2012,0.0,OF
187,Groundwater: leaving the country to other countries (total),2017,0.0,OF
188,Dependency ratio,1962,13.7931034483,E
189,Dependency ratio,1967,13.7931034483,E
190,Dependency ratio,1972,13.7931034483,E
191,Dependency ratio,1977,13.7931034483,E
192,Dependency ratio,1982,13.7931034483,E
193,Dependency ratio,1987,13.7931034483,E
194,Dependency ratio,1992,13.7931034483,E
195,Dependency ratio,1997,13.7931034483,E
196,Dependency ratio,2002,13.7931034483,E
197,Dependency ratio,2007,13.7931034483,E
198,Dependency ratio,2012,13.7931034483,E
199,Dependency ratio,2017,13.7931034483,E
200,Dependency ratio,2018,13.7931034483,E
201,Total internal renewable water resources (IRWR),1962,200.0,E
202,Total internal renewable water resources (IRWR),1967,200.0,E
203,Total internal renewable water resources (IRWR),1972,200.0,E
204,Total internal renewable water resources (IRWR),1977,200.0,E
205,Total internal renewable water resources (IRWR),1982,200.0,E
206,Total internal renewable water resources (IRWR),1987,200.0,E
207,Total internal renewable water resources (IRWR),1992,200.0,E
208,Total internal renewable water resources (IRWR),1997,200.0,E
209,Total internal renewable water resources (IRWR),2002,200.0,E
210,Total internal renewable water resources (IRWR),2007,200.0,E
211,Total internal renewable water resources (IRWR),2012,200.0,E
212,Total internal renewable water resources (IRWR),2017,200.0,E
213,Total internal renewable water resources (IRWR),2018,200.0,E
214,Total internal renewable water resources per capita,1962,171431.314329601,E
215,Total internal renewable water resources per capita,1967,153487.818822979,E
216,Total internal renewable water resources per capita,1972,135633.036681277,E
217,Total internal renewable water resources per capita,1977,118193.530086163,E
218,Total internal renewable water resources per capita,1982,100528.629799802,E
219,Total internal renewable water resources per capita,1987,92880.0046068482,E
220,Total internal renewable water resources per capita,1992,99918.8658809047,E
221,Total internal renewable water resources per capita,1997,85977.0561627924,E
222,Total internal renewable water resources per capita,2002,66121.6261027021,E
223,Total internal renewable water resources per capita,2007,57771.5602740798,E
224,Total internal renewable water resources per capita,2012,48359.8865380342,E
225,Total internal renewable water resources per capita,2017,42533.0471142816,E
226,Total internal renewable water resources per capita,2018,41502.6189190103,E
227,Total renewable surface water,1962,232.0,E
228,Total renewable surface water,1967,232.0,E
229,Total renewable surface water,1972,232.0,E
230,Total renewable surface water,1977,232.0,E
231,Total renewable surface water,1982,232.0,E
232,Total renewable surface water,1987,232.0,E
233,Total renewable surface water,1992,232.0,E
234,Total renewable surface water,1997,232.0,E
235,Total renewable surface water,2002,232.0,E
236,Total renewable surface water,2007,232.0,E
237,Total renewable surface water,2012,232.0,E
238,Total renewable surface water,2017,232.0,E
239,Total renewable surface water,2018,232.0,E
240,Total renewable groundwater,1962,45.0,E
241,Total renewable groundwater,1967,45.0,E
242,Total renewable groundwater,1972,45.0,E
243,Total renewable groundwater,1977,45.0,E
244,Total renewable groundwater,1982,45.0,E
245,Total renewable groundwater,1987,45.0,E
246,Total renewable groundwater,1992,45.0,E
247,Total renewable groundwater,1997,45.0,E
248,Total renewable groundwater,2002,45.0,E
249,Total renewable groundwater,2007,45.0,E
250,Total renewable groundwater,2012,45.0,E
251,Total renewable groundwater,2017,45.0,E
252,Total renewable groundwater,2018,45.0,E
253,Water resources: total external renewable,1962,32.0,E
254,Water resources: total external renewable,1967,32.0,E
255,Water resources: total external renewable,1972,32.0,E
256,Water resources: total external renewable,1977,32.0,E
257,Water resources: total external renewable,1982,32.0,E
258,Water resources: total external renewable,1987,32.0,E
259,Water resources: total external renewable,1992,32.0,E
260,Water resources: total external renewable,1997,32.0,E
261,Water resources: total external renewable,2002,32.0,E
262,Water resources: total external renewable,2007,32.0,E
263,Water resources: total external renewable,2012,32.0,E
264,Water resources: total external renewable,2017,32.0,E
265,Water resources: total external renewable,2018,32.0,E
266,Total renewable water resources,1962,232.0,E
267,Total renewable water resources,1967,232.0,E
268,Total renewable water resources,1972,232.0,E
269,Total renewable water resources,1977,232.0,E
270,Total renewable water resources,1982,232.0,E
271,Total renewable water resources,1987,232.0,E
272,Total renewable water resources,1992,232.0,E
273,Total renewable water resources,1997,232.0,E
274,Total renewable water resources,2002,232.0,E
275,Total renewable water resources,2007,232.0,E
276,Total renewable water resources,2012,232.0,E
277,Total renewable water resources,2017,232.0,E
278,Total renewable water resources,2018,232.0,E
279,Total renewable water resources per capita,1962,198860.324622337,E
280,Total renewable water resources per capita,1967,178045.869834655,E
281,Total renewable water resources per capita,1972,157334.322550281,E
282,Total renewable water resources per capita,1977,137104.494899949,E
283,Total renewable water resources per capita,1982,116613.210567771,E
284,Total renewable water resources per capita,1987,107740.805343944,E
285,Total renewable water resources per capita,1992,115905.884421849,E
286,Total renewable water resources per capita,1997,99733.3851488392,E
287,Total renewable water resources per capita,2002,76701.0862791344,E
288,Total renewable water resources per capita,2007,67015.0099179326,E
289,Total renewable water resources per capita,2012,56097.4683841197,E
290,Total renewable water resources per capita,2017,49338.3346525667,E
291,Total renewable water resources per capita,2018,48143.037946052,E
292,Total agricultural water managed area,1987,20.1,E
293,Total agricultural water managed area,1992,20.1,I
294,Total agricultural water managed area,1997,20.1,I
295,Total agricultural water managed area,2002,20.1,I
296,Total agricultural water managed area,2007,20.1,I
297,Total agricultural water managed area,2012,20.1,I
298,Total agricultural water managed area,2017,20.1,I
299,Total agricultural water managed area,2018,20.1,I
300,Area equipped for irrigation: total,1987,2.1,E
301,Area equipped for irrigation: total,1992,2.1,I
302,Area equipped for irrigation: total,1997,2.1,I
303,Area equipped for irrigation: total,2002,2.1,I
304,Area equipped for irrigation: total,2007,2.1,I
305,Area equipped for irrigation: total,2012,2.1,I
306,Area equipped for irrigation: total,2017,2.1,I
307,Area equipped for irrigation: total,2018,2.1,I
308,% of agricultural GVA produced by irrigated agriculture,1987,0.0286035261,E
309,% of agricultural GVA produced by irrigated agriculture,1992,0.0344949982,E
310,% of agricultural GVA produced by irrigated agriculture,1997,0.0331684525,E
311,% of agricultural GVA produced by irrigated agriculture,2002,0.0282753279,E
312,% of agricultural GVA produced by irrigated agriculture,2007,0.0280454743,E
313,% of agricultural GVA produced by irrigated agriculture,2012,0.024293294,E
314,% of agricultural GVA produced by irrigated agriculture,2017,0.0246403051,E
315,% of agricultural GVA produced by irrigated agriculture,2018,0.0246403051,E
316,Ratio between rainfed and irrigated yields,1962,1.725,E
317,Ratio between rainfed and irrigated yields,1967,1.725,E
318,Ratio between rainfed and irrigated yields,1972,1.725,E
319,Ratio between rainfed and irrigated yields,1977,1.725,E
320,Ratio between rainfed and irrigated yields,1982,1.725,E
321,Ratio between rainfed and irrigated yields,1987,1.725,E
322,Ratio between rainfed and irrigated yields,1992,1.725,E
323,Ratio between rainfed and irrigated yields,1997,1.725,E
324,Ratio between rainfed and irrigated yields,2002,1.725,E
325,Ratio between rainfed and irrigated yields,2007,1.725,I
326,Ratio between rainfed and irrigated yields,2012,1.725,E
327,Ratio between rainfed and irrigated yields,2017,1.725,I
328,Ratio between rainfed and irrigated yields,2018,1.725,I
329,Agricultural water withdrawal as % of total renewable water resources,1987,0.0336206897,E
330,Agricultural water withdrawal as % of total renewable water resources,1992,0.0227287798,I
331,Agricultural water withdrawal as % of total renewable water resources,1997,0.01183687,I
332,Agricultural water withdrawal as % of total renewable water resources,2002,0.0053017241,I
333,Agricultural water withdrawal as % of total renewable water resources,2007,0.0053017241,I
334,Agricultural water withdrawal as % of total renewable water resources,2012,0.0053017241,I
335,Agricultural water withdrawal as % of total renewable water resources,2017,0.0053017241,I
336,Agricultural water withdrawal as % of total renewable water resources,2018,0.0053017241,I
337,Agricultural water withdrawal,1987,0.078,OF
338,Agricultural water withdrawal,1992,0.0527307692,I
339,Agricultural water withdrawal,1997,0.0274615385,I
340,Agricultural water withdrawal,2002,0.0123,I
341,Agricultural water withdrawal,2007,0.0123,I
342,Agricultural water withdrawal,2012,0.0123,I
343,Agricultural water withdrawal,2017,0.0123,I
344,Agricultural water withdrawal,2018,0.0123,I
345,Irrigation water requirement,1992,0.003,I
346,Irrigation water requirement,1997,0.003,I
347,Irrigation water requirement,2002,0.003,I
348,Irrigation water requirement,2007,0.003,I
349,Irrigation water requirement,2012,0.003,I
350,Irrigation water requirement,2017,0.003,I
351,Irrigation water requirement,2018,0.003,I
352,Irrigation water withdrawal,2002,0.0123,I
353,Irrigation water withdrawal,2007,0.0123,I
354,Irrigation water withdrawal,2012,0.0123,I
355,Irrigation water withdrawal,2017,0.0123,I
356,Irrigation water withdrawal,2018,0.0123,I
357,Municipal water withdrawal,1987,0.0351,OF
358,Municipal water withdrawal,1992,0.0489461538,I
359,Municipal water withdrawal,1997,0.0627923077,I
360,Municipal water withdrawal,2002,0.07474,I
361,Municipal water withdrawal,2007,0.0802,I
362,Municipal water withdrawal,2012,0.0802,I
363,Municipal water withdrawal,2017,0.0802,I
364,Municipal water withdrawal,2018,0.0802,I
365,Industrial water withdrawal,1987,0.0169,OF
366,Industrial water withdrawal,1992,0.0286307692,I
367,Industrial water withdrawal,1997,0.0403615385,I
368,Industrial water withdrawal,2002,0.0498,I
369,Industrial water withdrawal,2007,0.0534,I
370,Industrial water withdrawal,2012,0.0534,I
371,Industrial water withdrawal,2017,0.0534,I
372,Industrial water withdrawal,2018,0.0534,I
373,Total water withdrawal,1987,0.13,E
374,Total water withdrawal,1992,0.1303076923,I
375,Total water withdrawal,1997,0.1306153846,I
376,Total water withdrawal,2002,0.13684,E
377,Total water withdrawal,2007,0.1459,E
378,Total water withdrawal,2012,0.1459,E
379,Total water withdrawal,2017,0.1459,E
380,Total water withdrawal,2018,0.1459,E
381,Total freshwater withdrawal,1987,0.13,E
382,Total freshwater withdrawal,1992,0.1303076923,I
383,Total freshwater withdrawal,1997,0.1306153846,I
384,Total freshwater withdrawal,2002,0.13684,E
385,Total freshwater withdrawal,2007,0.1459,E
386,Total freshwater withdrawal,2012,0.1459,E
387,Total freshwater withdrawal,2017,0.1459,E
388,Total freshwater withdrawal,2018,0.1459,E
401,SDG 6.4.2. Water Stress,1987,0.2355072464,E
402,SDG 6.4.2. Water Stress,1992,0.23606466,E
403,SDG 6.4.2. Water Stress,1997,0.2366220736,E
404,SDG 6.4.2. Water Stress,2002,0.2478985507,E
405,SDG 6.4.2. Water Stress,2007,0.2643115942,E
406,SDG 6.4.2. Water Stress,2012,0.2643115942,E
407,SDG 6.4.2. Water Stress,2017,0.2643115942,E
408,SDG 6.4.2. Water Stress,2018,0.2643115942,E
409,SDG 6.4.1. Water Use Efficiency,2015,4.6758785843,E
410,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0318242644,E
411,SDG 6.4.1. Industrial Water Use Efficiency,2015,3.9744764794,E
412,SDG 6.4.1. Services Water Use Efficiency,2015,5.8551396883,E
413,Harvested irrigated temporary crop area: Vegetables,1987,0.1,E
414,Harvested irrigated temporary crop area: Vegetables,1992,0.1,I
415,Harvested irrigated temporary crop area: Vegetables,1997,0.1,I
416,Harvested irrigated temporary crop area: Vegetables,2002,0.1,I
417,Harvested irrigated temporary crop area: Vegetables,2007,0.1,I
418,Harvested irrigated temporary crop area: Vegetables,2012,0.1,I
419,Harvested irrigated temporary crop area: Vegetables,2017,0.1,I
420,Harvested irrigated temporary crop area: Vegetables,2018,0.1,I
