Mauritania,Variable Name,Year,Value,Symbol
54,Urban population,1972,204.28,X
55,Urban population,1977,328.308,X
56,Urban population,1982,492.329,X
57,Urban population,1987,716.673,X
58,Urban population,1992,836.774,X
59,Urban population,1997,950.563,X
60,Urban population,2002,1134.364,X
61,Urban population,2007,1453.941,X
62,Urban population,2012,1853.842,X
63,Urban population,2017,2334.906,X
64,Urban population,2018,2436.744,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.7406,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.6846,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.6463333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6105,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6105,I
70,Gross Domestic Product (GDP),1962,111148586.0,X
71,Gross Domestic Product (GDP),1967,191221778.0,X
72,Gross Domestic Product (GDP),1969,199643445.0,X
73,GDP per capita,1972,428.482004,X
74,GDP per capita,1977,795.461955,X
75,GDP per capita,1982,1035.474476,X
76,GDP per capita,1987,992.822259,X
77,GDP per capita,1992,1058.184959,X
78,GDP per capita,1997,859.47882,X
79,GDP per capita,2002,592.611716,X
80,GDP per capita,2007,1294.647068,X
81,GDP per capita,2012,1642.687687,X
82,GDP per capita,2017,1597.806534,X
83,GDP per capita,2018,1678.315035,X
84,"Agriculture, value added (% GDP)",1962,43.02,X
85,"Agriculture, value added (% GDP)",1967,32.17,X
86,"Agriculture, value added (% GDP)",1969,27.81,X
87,"Agriculture, value added to GDP",1962,44132690.0,X
88,"Agriculture, value added to GDP",1967,58203479.0,X
89,"Agriculture, value added to GDP",1969,48737427.0,X
90,Number of people undernourished (3-year average),1992,300.0,X
91,Number of people undernourished (3-year average),1997,300.0,X
92,Number of people undernourished (3-year average),2002,200.0,X
93,Number of people undernourished (3-year average),2007,300.0,X
94,Number of people undernourished (3-year average),2012,300.0,X
95,Number of people undernourished (3-year average),2015,300.0,X
96,Prevalence of undernourishment (3-year average),1992,14.6,X
97,Prevalence of undernourishment (3-year average),1997,13.9,X
98,Prevalence of undernourishment (3-year average),2001,11.6,X
99,Total population with access to safe drinking-water (JMP),1992,31.8,X
100,Total population with access to safe drinking-water (JMP),1997,38.2,X
101,Total population with access to safe drinking-water (JMP),2002,44.6,X
102,Total population with access to safe drinking-water (JMP),2007,50.7,X
103,Total population with access to safe drinking-water (JMP),2012,56.7,X
104,Total population with access to safe drinking-water (JMP),2017,57.9,I
105,Total population with access to safe drinking-water (JMP),2018,57.9,I
106,Population affected by water related disease,2007,111.6,I
107,Population affected by water related disease,2012,111.6,I
108,Population affected by water related disease,2017,111.6,I
109,Population affected by water related disease,2018,111.6,I
110,Long-term average annual precipitation in volume,1962,94.8244,E
111,Long-term average annual precipitation in volume,1967,94.8244,E
112,Long-term average annual precipitation in volume,1972,94.8244,E
113,Long-term average annual precipitation in volume,1977,94.8244,E
114,Long-term average annual precipitation in volume,1982,94.8244,E
115,Long-term average annual precipitation in volume,1987,94.8244,E
116,Long-term average annual precipitation in volume,1992,94.8244,E
117,Long-term average annual precipitation in volume,1997,94.8244,E
118,Long-term average annual precipitation in volume,2002,94.8244,E
119,Long-term average annual precipitation in volume,2007,94.8244,E
120,Long-term average annual precipitation in volume,2012,94.8244,E
121,Long-term average annual precipitation in volume,2017,94.8244,E
122,Long-term average annual precipitation in volume,2018,94.8244,E
123,Interannual variability (WRI),2017,1.8,I
124,Interannual variability (WRI),2018,1.8,I
125,Seasonal variability (WRI),2017,3.2,I
126,Seasonal variability (WRI),2018,3.2,I
127,Flood occurrence (WRI),2017,2.5,I
128,Flood occurrence (WRI),2018,2.5,I
129,Surface water: entering the country (total),1962,0.0,OF
130,Surface water: entering the country (total),1967,0.0,OF
131,Surface water: entering the country (total),1972,0.0,OF
132,Surface water: entering the country (total),1977,0.0,OF
133,Surface water: entering the country (total),1982,0.0,OF
134,Surface water: entering the country (total),1987,0.0,OF
135,Surface water: entering the country (total),1992,0.0,OF
136,Surface water: entering the country (total),1997,0.0,OF
137,Surface water: entering the country (total),2002,0.0,OF
138,Surface water: entering the country (total),2007,0.0,OF
139,Surface water: entering the country (total),2012,0.0,OF
140,Surface water: entering the country (total),2017,0.0,OF
141,Surface water: leaving the country to other countries (total),1962,0.0,OF
142,Surface water: leaving the country to other countries (total),1967,0.0,OF
143,Surface water: leaving the country to other countries (total),1972,0.0,OF
144,Surface water: leaving the country to other countries (total),1977,0.0,OF
145,Surface water: leaving the country to other countries (total),1982,0.0,OF
146,Surface water: leaving the country to other countries (total),1987,0.0,OF
147,Surface water: leaving the country to other countries (total),1992,0.0,OF
148,Surface water: leaving the country to other countries (total),1997,0.0,OF
149,Surface water: leaving the country to other countries (total),2002,0.0,OF
150,Surface water: leaving the country to other countries (total),2007,0.0,OF
151,Surface water: leaving the country to other countries (total),2012,0.0,OF
152,Surface water: leaving the country to other countries (total),2017,0.0,OF
153,Groundwater: entering the country (total),1962,0.0,E
154,Groundwater: entering the country (total),1967,0.0,E
155,Groundwater: entering the country (total),1972,0.0,E
156,Groundwater: entering the country (total),1977,0.0,E
157,Groundwater: entering the country (total),1982,0.0,E
158,Groundwater: entering the country (total),1987,0.0,E
159,Groundwater: entering the country (total),1992,0.0,E
160,Groundwater: entering the country (total),1997,0.0,E
161,Groundwater: entering the country (total),2002,0.0,E
162,Groundwater: entering the country (total),2007,0.0,E
163,Groundwater: entering the country (total),2012,0.0,E
164,Groundwater: entering the country (total),2017,0.0,E
165,Groundwater: leaving the country to other countries (total),1962,0.0,OF
166,Groundwater: leaving the country to other countries (total),1967,0.0,OF
167,Groundwater: leaving the country to other countries (total),1972,0.0,OF
168,Groundwater: leaving the country to other countries (total),1977,0.0,OF
169,Groundwater: leaving the country to other countries (total),1982,0.0,OF
170,Groundwater: leaving the country to other countries (total),1987,0.0,OF
171,Groundwater: leaving the country to other countries (total),1992,0.0,OF
172,Groundwater: leaving the country to other countries (total),1997,0.0,OF
173,Groundwater: leaving the country to other countries (total),2002,0.0,OF
174,Groundwater: leaving the country to other countries (total),2007,0.0,OF
175,Groundwater: leaving the country to other countries (total),2012,0.0,OF
176,Groundwater: leaving the country to other countries (total),2017,0.0,OF
177,Dependency ratio,1962,96.4912280702,E
178,Dependency ratio,1967,96.4912280702,E
179,Dependency ratio,1972,96.4912280702,E
180,Dependency ratio,1977,96.4912280702,E
181,Dependency ratio,1982,96.4912280702,E
182,Dependency ratio,1987,96.4912280702,E
183,Dependency ratio,1992,96.4912280702,E
184,Dependency ratio,1997,96.4912280702,E
185,Dependency ratio,2002,96.4912280702,E
186,Dependency ratio,2007,96.4912280702,E
187,Dependency ratio,2012,96.4912280702,E
188,Dependency ratio,2017,96.4912280702,E
189,Dependency ratio,2018,96.4912280702,E
190,Total internal renewable water resources (IRWR),1962,0.4,E
191,Total internal renewable water resources (IRWR),1967,0.4,E
192,Total internal renewable water resources (IRWR),1972,0.4,E
193,Total internal renewable water resources (IRWR),1977,0.4,E
194,Total internal renewable water resources (IRWR),1982,0.4,E
195,Total internal renewable water resources (IRWR),1987,0.4,E
196,Total internal renewable water resources (IRWR),1992,0.4,E
197,Total internal renewable water resources (IRWR),1997,0.4,E
198,Total internal renewable water resources (IRWR),2002,0.4,E
199,Total internal renewable water resources (IRWR),2007,0.4,E
200,Total internal renewable water resources (IRWR),2012,0.4,E
201,Total internal renewable water resources (IRWR),2017,0.4,E
202,Total internal renewable water resources (IRWR),2018,0.4,E
203,Total internal renewable water resources per capita,1962,443.6134086589,E
204,Total internal renewable water resources per capita,1967,381.918452772,E
205,Total internal renewable water resources per capita,1972,328.5566669897,E
206,Total internal renewable water resources per capita,1977,283.4587638363,E
207,Total internal renewable water resources per capita,1982,244.8501884122,E
208,Total internal renewable water resources per capita,1987,212.79278292,E
209,Total internal renewable water resources per capita,1992,186.6851484964,E
210,Total internal renewable water resources per capita,1997,164.368048002,E
211,Total internal renewable water resources per capita,2002,143.9833497654,E
212,Total internal renewable water resources per capita,2007,124.9017569618,E
213,Total internal renewable water resources per capita,2012,107.916920159,E
214,Total internal renewable water resources per capita,2017,93.401859164,E
215,Total internal renewable water resources per capita,2018,90.8406919971,E
216,Total renewable surface water,1962,11.1,E
217,Total renewable surface water,1967,11.1,E
218,Total renewable surface water,1972,11.1,E
219,Total renewable surface water,1977,11.1,E
220,Total renewable surface water,1982,11.1,E
221,Total renewable surface water,1987,11.1,E
222,Total renewable surface water,1992,11.1,E
223,Total renewable surface water,1997,11.1,E
224,Total renewable surface water,2002,11.1,E
225,Total renewable surface water,2007,11.1,E
226,Total renewable surface water,2012,11.1,E
227,Total renewable surface water,2017,11.1,E
228,Total renewable surface water,2018,11.1,E
229,Total renewable groundwater,1962,0.3,E
230,Total renewable groundwater,1967,0.3,E
231,Total renewable groundwater,1972,0.3,E
232,Total renewable groundwater,1977,0.3,E
233,Total renewable groundwater,1982,0.3,E
234,Total renewable groundwater,1987,0.3,E
235,Total renewable groundwater,1992,0.3,E
236,Total renewable groundwater,1997,0.3,E
237,Total renewable groundwater,2002,0.3,E
238,Total renewable groundwater,2007,0.3,E
239,Total renewable groundwater,2012,0.3,E
240,Total renewable groundwater,2017,0.3,E
241,Total renewable groundwater,2018,0.3,E
242,Total exploitable water resources,1962,0.88,E
243,Total exploitable water resources,1967,0.88,E
244,Total exploitable water resources,1972,0.88,E
245,Total exploitable water resources,1977,0.88,E
246,Total exploitable water resources,1982,0.88,E
247,Total exploitable water resources,1987,0.88,E
248,Total exploitable water resources,1992,0.88,E
249,Total exploitable water resources,1997,0.88,E
250,Total exploitable water resources,2002,0.88,E
251,Total exploitable water resources,2007,0.88,E
252,Total exploitable water resources,2012,0.88,E
253,Total exploitable water resources,2017,0.88,E
254,Total exploitable water resources,2018,0.88,E
255,Water resources: total external renewable,1962,11.0,E
256,Water resources: total external renewable,1967,11.0,E
257,Water resources: total external renewable,1972,11.0,E
258,Water resources: total external renewable,1977,11.0,E
259,Water resources: total external renewable,1982,11.0,E
260,Water resources: total external renewable,1987,11.0,E
261,Water resources: total external renewable,1992,11.0,E
262,Water resources: total external renewable,1997,11.0,E
263,Water resources: total external renewable,2002,11.0,E
264,Water resources: total external renewable,2007,11.0,E
265,Water resources: total external renewable,2012,11.0,E
266,Water resources: total external renewable,2017,11.0,E
267,Water resources: total external renewable,2018,11.0,E
268,Total renewable water resources,1962,11.4,E
269,Total renewable water resources,1967,11.4,E
270,Total renewable water resources,1972,11.4,E
271,Total renewable water resources,1977,11.4,E
272,Total renewable water resources,1982,11.4,E
273,Total renewable water resources,1987,11.4,E
274,Total renewable water resources,1992,11.4,E
275,Total renewable water resources,1997,11.4,E
276,Total renewable water resources,2002,11.4,E
277,Total renewable water resources,2007,11.4,E
278,Total renewable water resources,2012,11.4,E
279,Total renewable water resources,2017,11.4,E
280,Total renewable water resources,2018,11.4,E
281,Total renewable water resources per capita,1962,12642.9821467784,E
282,Total renewable water resources per capita,1967,10884.675904001,E
283,Total renewable water resources per capita,1972,9363.8650092078,E
284,Total renewable water resources per capita,1977,8078.5747693354,E
285,Total renewable water resources per capita,1982,6978.2303697483,E
286,Total renewable water resources per capita,1987,6064.5943132193,E
287,Total renewable water resources per capita,1992,5320.5267321465,E
288,Total renewable water resources per capita,1997,4684.4893680583,E
289,Total renewable water resources per capita,2002,4103.5254683148,E
290,Total renewable water resources per capita,2007,3559.700073411,E
291,Total renewable water resources per capita,2012,3075.6322245319,E
292,Total renewable water resources per capita,2017,2661.9529861742,E
293,Total renewable water resources per capita,2018,2588.9597219185,E
294,Total agricultural water managed area,1997,99.104,E
295,Total agricultural water managed area,2002,82.594,E
296,Total agricultural water managed area,2007,108.78,I
297,Total agricultural water managed area,2012,108.78,I
298,Total agricultural water managed area,2017,108.78,I
299,Total agricultural water managed area,2018,108.78,I
300,Area equipped for irrigation: total,1997,45.01,I
301,Area equipped for irrigation: total,2002,45.01,I
302,Area equipped for irrigation: total,2007,45.01,I
303,Area equipped for irrigation: total,2012,45.01,I
304,Area equipped for irrigation: total,2017,45.01,I
305,Area equipped for irrigation: total,2018,45.01,I
306,% of agricultural GVA produced by irrigated agriculture,1997,16.1363148226,E
307,% of agricultural GVA produced by irrigated agriculture,2002,17.8357537526,E
308,% of agricultural GVA produced by irrigated agriculture,2007,27.7650598286,E
309,% of agricultural GVA produced by irrigated agriculture,2012,27.7650598286,E
310,% of agricultural GVA produced by irrigated agriculture,2017,27.7650598286,E
311,% of agricultural GVA produced by irrigated agriculture,2018,27.7650598286,E
312,Ratio between rainfed and irrigated yields,1962,3.569,E
313,Ratio between rainfed and irrigated yields,1967,3.569,E
314,Ratio between rainfed and irrigated yields,1972,3.569,E
315,Ratio between rainfed and irrigated yields,1977,3.569,E
316,Ratio between rainfed and irrigated yields,1982,3.569,E
317,Ratio between rainfed and irrigated yields,1987,3.569,E
318,Ratio between rainfed and irrigated yields,1992,3.569,E
319,Ratio between rainfed and irrigated yields,1997,3.569,E
320,Ratio between rainfed and irrigated yields,2002,3.569,E
321,Ratio between rainfed and irrigated yields,2007,3.569,I
322,Ratio between rainfed and irrigated yields,2012,3.569,E
323,Ratio between rainfed and irrigated yields,2017,3.569,I
324,Ratio between rainfed and irrigated yields,2018,3.569,I
325,Agricultural water withdrawal as % of total renewable water resources,1982,8.4894736842,I
326,Agricultural water withdrawal as % of total renewable water resources,1987,13.1578947368,I
327,Agricultural water withdrawal as % of total renewable water resources,1992,13.1578947368,I
328,Agricultural water withdrawal as % of total renewable water resources,1997,13.1578947368,I
329,Agricultural water withdrawal as % of total renewable water resources,2002,11.9429824561,I
330,Agricultural water withdrawal as % of total renewable water resources,2007,10.7280701754,I
331,Agricultural water withdrawal as % of total renewable water resources,2012,10.7280701754,I
332,Agricultural water withdrawal as % of total renewable water resources,2017,10.7280701754,I
333,Agricultural water withdrawal as % of total renewable water resources,2018,10.7280701754,I
334,Agricultural water withdrawal,1982,0.9678,I
335,Agricultural water withdrawal,1987,1.5,I
336,Agricultural water withdrawal,1992,1.5,I
337,Agricultural water withdrawal,1997,1.5,I
338,Agricultural water withdrawal,2002,1.3615,I
339,Agricultural water withdrawal,2007,1.223,I
340,Agricultural water withdrawal,2012,1.223,I
341,Agricultural water withdrawal,2017,1.223,I
342,Agricultural water withdrawal,2018,1.223,I
343,Irrigation water requirement,2007,0.3748,I
344,Irrigation water requirement,2012,0.3748,I
345,Irrigation water requirement,2017,0.3748,I
346,Irrigation water requirement,2018,0.3748,I
347,Irrigation water withdrawal,2007,1.223,I
348,Irrigation water withdrawal,2012,1.223,I
349,Irrigation water withdrawal,2017,1.223,I
350,Irrigation water withdrawal,2018,1.223,I
351,Municipal water withdrawal,1982,0.0928,I
352,Municipal water withdrawal,1987,0.0967866667,I
353,Municipal water withdrawal,1992,0.0887533333,I
354,Municipal water withdrawal,1997,0.08072,I
355,Municipal water withdrawal,2002,0.0837,I
356,Municipal water withdrawal,2007,0.0954,I
357,Municipal water withdrawal,2012,0.0954,I
358,Municipal water withdrawal,2017,0.0954,I
359,Municipal water withdrawal,2018,0.0954,I
360,Industrial water withdrawal,1982,0.02863,I
361,Industrial water withdrawal,1987,0.027705,I
362,Industrial water withdrawal,1992,0.02678,I
363,Industrial water withdrawal,1997,0.025855,I
364,Industrial water withdrawal,2002,0.0279,I
365,Industrial water withdrawal,2007,0.0318,I
366,Industrial water withdrawal,2012,0.0318,I
367,Industrial water withdrawal,2017,0.0318,I
368,Industrial water withdrawal,2018,0.0318,I
369,Total water withdrawal,1982,1.08923,E
370,Total water withdrawal,1987,1.6244916667,E
371,Total water withdrawal,1992,1.6155333333,E
372,Total water withdrawal,1997,1.606575,E
373,Total water withdrawal,2002,1.4731,E
374,Total water withdrawal,2007,1.3502,E
375,Total water withdrawal,2012,1.3502,E
376,Total water withdrawal,2017,1.3502,E
377,Total water withdrawal,2018,1.3502,E
378,Total freshwater withdrawal,1982,1.08923,E
379,Total freshwater withdrawal,1987,1.6244916667,E
380,Total freshwater withdrawal,1992,1.6135333333,E
381,Total freshwater withdrawal,1997,1.604575,E
382,Total freshwater withdrawal,2002,1.4711,E
383,Total freshwater withdrawal,2007,1.3482,E
384,Total freshwater withdrawal,2012,1.3482,E
385,Total freshwater withdrawal,2017,1.3482,E
386,Total freshwater withdrawal,2018,1.3482,E
387,Desalinated water produced,1992,0.002,I
388,Desalinated water produced,1997,0.002,I
389,Desalinated water produced,2002,0.002,I
390,Desalinated water produced,2007,0.002,I
391,Desalinated water produced,2012,0.002,I
392,Desalinated water produced,2017,0.002,I
393,Desalinated water produced,2018,0.002,I
395,Produced municipal wastewater,2012,0.0214,I
396,Produced municipal wastewater,2017,0.0214,I
397,Produced municipal wastewater,2018,0.0214,I
398,Treated municipal wastewater,2002,0.0007,I
399,Treated municipal wastewater,2007,0.0007,I
400,Treated municipal wastewater,2012,0.0007,I
401,Treated municipal wastewater,2017,0.0007,I
402,Treated municipal wastewater,2018,0.0007,I
415,SDG 6.4.2. Water Stress,1982,10.7018078208,E
416,SDG 6.4.2. Water Stress,1987,15.9608141744,E
417,SDG 6.4.2. Water Stress,1992,15.8531473112,E
418,SDG 6.4.2. Water Stress,1997,15.765130674,E
419,SDG 6.4.2. Water Stress,2002,14.4537237178,E
420,SDG 6.4.2. Water Stress,2007,13.2462173315,E
421,SDG 6.4.2. Water Stress,2012,13.2462173315,E
422,SDG 6.4.2. Water Stress,2017,13.2462173315,E
423,SDG 6.4.2. Water Stress,2018,13.2462173315,E
424,SDG 6.4.1. Water Use Efficiency,2015,3.5361541032,I
425,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.2895807589,E
426,SDG 6.4.1. Industrial Water Use Efficiency,2015,39.6539939308,E
427,SDG 6.4.1. Services Water Use Efficiency,2015,33.1169915618,E
428,Area waterlogged by irrigation,1997,19.3,I
429,Area waterlogged by irrigation,2002,19.3,I
430,Area waterlogged by irrigation,2007,19.3,I
431,Area waterlogged by irrigation,2012,19.3,I
432,Area waterlogged by irrigation,2017,19.3,I
433,Area waterlogged by irrigation,2018,19.3,I
434,Harvested irrigated temporary crop area: Rice,2007,33.76,I
435,Harvested irrigated temporary crop area: Rice,2012,33.76,I
436,Harvested irrigated temporary crop area: Rice,2017,33.76,I
437,Harvested irrigated temporary crop area: Rice,2018,33.76,I
438,Harvested irrigated temporary crop area: Maize,2007,0.532,I
439,Harvested irrigated temporary crop area: Maize,2012,0.532,I
440,Harvested irrigated temporary crop area: Maize,2017,0.532,I
441,Harvested irrigated temporary crop area: Maize,2018,0.532,I
442,Harvested irrigated temporary crop area: Sorghum,2007,0.678,I
443,Harvested irrigated temporary crop area: Sorghum,2012,0.678,I
444,Harvested irrigated temporary crop area: Sorghum,2017,0.678,I
445,Harvested irrigated temporary crop area: Sorghum,2018,0.678,I
446,Harvested irrigated temporary crop area: Vegetables,2007,0.244,I
447,Harvested irrigated temporary crop area: Vegetables,2012,0.244,I
448,Harvested irrigated temporary crop area: Vegetables,2017,0.244,I
449,Harvested irrigated temporary crop area: Vegetables,2018,0.244,I
450,Harvested irrigated permanent crop area: Other crops,1997,4.751,I
451,Harvested irrigated permanent crop area: Other crops,2002,4.751,I
452,Harvested irrigated permanent crop area: Other crops,2007,4.751,I
453,Harvested irrigated permanent crop area: Other crops,2012,4.751,I
454,Harvested irrigated permanent crop area: Other crops,2017,4.751,I
455,Harvested irrigated permanent crop area: Other crops,2018,4.751,I
