Zimbabwe,Variable Name,Year,Value,Symbol
111,Number of people undernourished (3-year average),2012,5900.0,X
112,Number of people undernourished (3-year average),2017,8200.0,X
113,Number of people undernourished (3-year average),2018,8500.0,X
114,Prevalence of undernourishment (3-year average),1992,42.7,X
115,Prevalence of undernourishment (3-year average),1997,45.8,X
116,Prevalence of undernourishment (3-year average),2002,40.4,X
117,Prevalence of undernourishment (3-year average),2007,42.1,X
118,Prevalence of undernourishment (3-year average),2012,41.3,X
119,Prevalence of undernourishment (3-year average),2017,50.9,X
120,Prevalence of undernourishment (3-year average),2018,51.3,X
121,Total population with access to safe drinking-water (JMP),1992,79.6,X
122,Total population with access to safe drinking-water (JMP),1997,79.5,X
123,Total population with access to safe drinking-water (JMP),2002,79.4,X
124,Total population with access to safe drinking-water (JMP),2007,78.4,X
125,Total population with access to safe drinking-water (JMP),2012,77.5,X
126,Total population with access to safe drinking-water (JMP),2017,76.9,I
127,Total population with access to safe drinking-water (JMP),2018,76.9,I
128,Long-term average annual precipitation in volume,1962,256.72932,E
129,Long-term average annual precipitation in volume,1967,256.72932,E
130,Long-term average annual precipitation in volume,1972,256.72932,E
131,Long-term average annual precipitation in volume,1977,256.72932,E
132,Long-term average annual precipitation in volume,1982,256.72932,E
133,Long-term average annual precipitation in volume,1987,256.72932,E
134,Long-term average annual precipitation in volume,1992,256.72932,E
135,Long-term average annual precipitation in volume,1997,256.72932,E
136,Long-term average annual precipitation in volume,2002,256.72932,E
137,Long-term average annual precipitation in volume,2007,256.72932,E
138,Long-term average annual precipitation in volume,2012,256.72932,E
139,Long-term average annual precipitation in volume,2017,256.72932,E
140,Long-term average annual precipitation in volume,2018,256.72932,E
141,Interannual variability (WRI),2017,3.1,I
142,Interannual variability (WRI),2018,3.1,I
143,Seasonal variability (WRI),2017,3.7,I
144,Seasonal variability (WRI),2018,3.7,I
145,Flood occurrence (WRI),2017,2.8,I
146,Flood occurrence (WRI),2018,2.8,I
147,Surface water: entering the country (total),1962,0.0,OF
148,Surface water: entering the country (total),1967,0.0,OF
149,Surface water: entering the country (total),1972,0.0,OF
150,Surface water: entering the country (total),1977,0.0,OF
151,Surface water: entering the country (total),1982,0.0,OF
152,Surface water: entering the country (total),1987,0.0,OF
153,Surface water: entering the country (total),1992,0.0,OF
154,Surface water: entering the country (total),1997,0.0,OF
155,Surface water: entering the country (total),2002,0.0,OF
156,Surface water: entering the country (total),2007,0.0,OF
157,Surface water: entering the country (total),2012,0.0,OF
158,Surface water: entering the country (total),2014,0.0,OF
170,Surface water: leaving the country to other countries (total),2017,14.14,OF
171,Groundwater: entering the country (total),1962,0.0,OF
172,Groundwater: entering the country (total),1967,0.0,OF
173,Groundwater: entering the country (total),1972,0.0,OF
174,Groundwater: entering the country (total),1977,0.0,OF
175,Groundwater: entering the country (total),1982,0.0,OF
176,Groundwater: entering the country (total),1987,0.0,OF
177,Groundwater: entering the country (total),1992,0.0,OF
178,Groundwater: entering the country (total),1997,0.0,OF
179,Groundwater: entering the country (total),2002,0.0,OF
180,Groundwater: entering the country (total),2007,0.0,OF
181,Groundwater: entering the country (total),2012,0.0,OF
182,Groundwater: entering the country (total),2017,0.0,OF
183,Dependency ratio,1962,38.7,E
184,Dependency ratio,1967,38.7,E
185,Dependency ratio,1972,38.7,E
186,Dependency ratio,1977,38.7,E
187,Dependency ratio,1982,38.7,E
188,Dependency ratio,1987,38.7,E
189,Dependency ratio,1992,38.7,E
190,Dependency ratio,1997,38.7,E
191,Dependency ratio,2002,38.7,E
192,Dependency ratio,2007,38.7,E
193,Dependency ratio,2012,38.7,E
194,Dependency ratio,2017,38.7,E
195,Dependency ratio,2018,38.7,E
196,Total internal renewable water resources (IRWR),1962,12.26,E
197,Total internal renewable water resources (IRWR),1967,12.26,E
198,Total internal renewable water resources (IRWR),1972,12.26,E
199,Total internal renewable water resources (IRWR),1977,12.26,E
200,Total internal renewable water resources (IRWR),1982,12.26,E
201,Total internal renewable water resources (IRWR),1987,12.26,E
202,Total internal renewable water resources (IRWR),1992,12.26,E
203,Total internal renewable water resources (IRWR),1997,12.26,E
204,Total internal renewable water resources (IRWR),2002,12.26,E
205,Total internal renewable water resources (IRWR),2007,12.26,E
206,Total internal renewable water resources (IRWR),2012,12.26,E
207,Total internal renewable water resources (IRWR),2017,12.26,E
208,Total internal renewable water resources (IRWR),2018,12.26,E
209,Total internal renewable water resources per capita,1962,3035.2537543935,E
210,Total internal renewable water resources per capita,1967,2564.946388227,E
211,Total internal renewable water resources per capita,1972,2160.7670617322,E
212,Total internal renewable water resources per capita,1977,1826.3542319801,E
213,Total internal renewable water resources per capita,1982,1540.5414337163,E
214,Total internal renewable water resources per capita,1987,1286.8414790784,E
215,Total internal renewable water resources per capita,1992,1124.7188432239,E
216,Total internal renewable water resources per capita,1997,1052.0677421785,E
217,Total internal renewable water resources per capita,2002,1025.5732460899,E
218,Total internal renewable water resources per capita,2007,1000.3327371046,E
219,Total internal renewable water resources per capita,2012,934.7967808222,E
220,Total internal renewable water resources per capita,2017,861.1609728309,E
221,Total internal renewable water resources per capita,2018,849.1009157131,E
222,Total renewable surface water,1962,19.0,E
223,Total renewable surface water,1967,19.0,E
224,Total renewable surface water,1972,19.0,E
225,Total renewable surface water,1977,19.0,E
226,Total renewable surface water,1982,19.0,E
227,Total renewable surface water,1987,19.0,E
228,Total renewable surface water,1992,19.0,E
229,Total renewable surface water,1997,19.0,E
230,Total renewable surface water,2002,19.0,E
231,Total renewable surface water,2007,19.0,E
232,Total renewable surface water,2012,19.0,E
233,Total renewable surface water,2017,19.0,E
234,Total renewable surface water,2018,19.0,E
235,Total renewable groundwater,1962,6.0,E
236,Total renewable groundwater,1967,6.0,E
237,Total renewable groundwater,1972,6.0,E
238,Total renewable groundwater,1977,6.0,E
239,Total renewable groundwater,1982,6.0,E
240,Total renewable groundwater,1987,6.0,E
241,Total renewable groundwater,1992,6.0,E
242,Total renewable groundwater,1997,6.0,E
243,Total renewable groundwater,2002,6.0,E
244,Total renewable groundwater,2007,6.0,E
245,Total renewable groundwater,2012,6.0,E
246,Total renewable groundwater,2017,6.0,E
247,Total renewable groundwater,2018,6.0,E
248,Total exploitable water resources,1962,1.5,E
249,Total exploitable water resources,1967,1.5,E
250,Total exploitable water resources,1972,1.5,E
251,Total exploitable water resources,1977,1.5,E
252,Total exploitable water resources,1982,1.5,E
253,Total exploitable water resources,1987,1.5,E
254,Total exploitable water resources,1992,1.5,E
255,Total exploitable water resources,1997,1.5,E
256,Total exploitable water resources,2002,1.5,E
257,Total exploitable water resources,2007,1.5,E
258,Total exploitable water resources,2012,1.5,E
259,Total exploitable water resources,2017,1.5,E
260,Total exploitable water resources,2018,1.5,E
261,Water resources: total external renewable,1962,7.74,E
262,Water resources: total external renewable,1967,7.74,E
263,Water resources: total external renewable,1972,7.74,E
264,Water resources: total external renewable,1977,7.74,E
265,Water resources: total external renewable,1982,7.74,E
266,Water resources: total external renewable,1987,7.74,E
267,Water resources: total external renewable,1992,7.74,E
268,Water resources: total external renewable,1997,7.74,E
269,Water resources: total external renewable,2002,7.74,E
270,Water resources: total external renewable,2007,7.74,E
271,Water resources: total external renewable,2012,7.74,E
272,Water resources: total external renewable,2017,7.74,E
273,Water resources: total external renewable,2018,7.74,E
274,Total renewable water resources,1962,20.0,E
275,Total renewable water resources,1967,20.0,E
276,Total renewable water resources,1972,20.0,E
277,Total renewable water resources,1977,20.0,E
278,Total renewable water resources,1982,20.0,E
279,Total renewable water resources,1987,20.0,E
280,Total renewable water resources,1992,20.0,E
281,Total renewable water resources,1997,20.0,E
282,Total renewable water resources,2002,20.0,E
283,Total renewable water resources,2007,20.0,E
284,Total renewable water resources,2012,20.0,E
285,Total renewable water resources,2017,20.0,E
286,Total renewable water resources,2018,20.0,E
287,Total renewable water resources per capita,1962,4951.4743138556,E
288,Total renewable water resources per capita,1967,4184.2518568141,E
289,Total renewable water resources per capita,1972,3524.9054840656,E
290,Total renewable water resources per capita,1977,2979.3706883851,E
291,Total renewable water resources per capita,1982,2513.1181626694,E
292,Total renewable water resources per capita,1987,2099.2520050218,E
293,Total renewable water resources per capita,1992,1834.7778845415,E
294,Total renewable water resources per capita,1997,1716.2605908296,E
295,Total renewable water resources per capita,2002,1673.0395531646,E
296,Total renewable water resources per capita,2007,1631.8641714593,E
297,Total renewable water resources per capita,2012,1524.9539654522,E
298,Total renewable water resources per capita,2017,1404.830298256,E
299,Total renewable water resources per capita,2018,1385.1564693525,E
300,Total agricultural water managed area,1992,134.0466666667,E
301,Total agricultural water managed area,1997,174.5433333333,E
302,Total agricultural water managed area,2002,187.824,E
303,Total agricultural water managed area,2007,178.314,E
304,Total agricultural water managed area,2012,168.804,E
305,Total agricultural water managed area,2017,183.83,E
306,Area equipped for irrigation: total,1992,114.0466666667,I
307,Area equipped for irrigation: total,1997,154.5433333333,I
308,Area equipped for irrigation: total,2002,168.824,E
309,Area equipped for irrigation: total,2007,160.9806666667,E
310,Area equipped for irrigation: total,2012,153.1373333333,E
311,Area equipped for irrigation: total,2017,167.83,E
312,% of agricultural GVA produced by irrigated agriculture,1977,9.6904508055,E
313,% of agricultural GVA produced by irrigated agriculture,1982,9.9584456617,E
314,% of agricultural GVA produced by irrigated agriculture,1987,9.6763438368,E
315,% of agricultural GVA produced by irrigated agriculture,1992,9.578350204,E
316,% of agricultural GVA produced by irrigated agriculture,1997,8.7793755583,E
317,% of agricultural GVA produced by irrigated agriculture,2002,8.4962414891,E
318,% of agricultural GVA produced by irrigated agriculture,2007,7.5770763587,E
319,% of agricultural GVA produced by irrigated agriculture,2012,7.3604050878,E
320,% of agricultural GVA produced by irrigated agriculture,2017,7.1433496607,E
321,% of agricultural GVA produced by irrigated agriculture,2018,7.0998923866,E
322,Ratio between rainfed and irrigated yields,1962,1.657,E
323,Ratio between rainfed and irrigated yields,1967,1.657,E
324,Ratio between rainfed and irrigated yields,1972,1.657,E
325,Ratio between rainfed and irrigated yields,1977,1.657,E
326,Ratio between rainfed and irrigated yields,1982,1.657,E
327,Ratio between rainfed and irrigated yields,1987,1.657,E
328,Ratio between rainfed and irrigated yields,1992,1.657,E
329,Ratio between rainfed and irrigated yields,1997,1.657,E
330,Ratio between rainfed and irrigated yields,2002,1.657,E
331,Ratio between rainfed and irrigated yields,2007,1.657,I
332,Ratio between rainfed and irrigated yields,2012,1.657,E
333,Ratio between rainfed and irrigated yields,2017,1.657,I
334,Ratio between rainfed and irrigated yields,2018,1.657,I
335,Agricultural water withdrawal as % of total renewable water resources,1987,4.82,E
336,Agricultural water withdrawal as % of total renewable water resources,1992,8.7433333333,I
337,Agricultural water withdrawal as % of total renewable water resources,1997,12.6666666667,I
338,Agricultural water withdrawal as % of total renewable water resources,2002,16.59,E
339,Agricultural water withdrawal as % of total renewable water resources,2007,14.65,E
340,Agricultural water withdrawal as % of total renewable water resources,2012,13.878125,I
341,Agricultural water withdrawal as % of total renewable water resources,2017,13.85,E
342,Agricultural water withdrawal as % of total renewable water resources,2018,15.20535,E
343,Agricultural water withdrawal,1987,0.964,OF
344,Agricultural water withdrawal,1992,1.7486666667,I
345,Agricultural water withdrawal,1997,2.5333333333,I
346,Agricultural water withdrawal,2001,3.1610666667,I
347,Agricultural water withdrawal,2007,2.93,
348,Agricultural water withdrawal,2012,2.775625,I
349,Agricultural water withdrawal,2017,2.77,OF
350,Irrigation water requirement,2002,0.836,I
351,Irrigation water requirement,2007,0.836,I
352,Irrigation water requirement,2012,0.836,I
353,Irrigation water requirement,2017,0.836,I
354,Irrigation water requirement,2018,0.836,I
355,Irrigation water withdrawal,2017,2.662,OF
356,Municipal water withdrawal,1987,0.171,OF
357,Municipal water withdrawal,1992,0.3103333333,I
358,Municipal water withdrawal,1997,0.4496666667,I
359,Municipal water withdrawal,2002,0.589,OF
360,Municipal water withdrawal,2007,0.425,
361,Municipal water withdrawal,2012,0.5539375,I
362,Municipal water withdrawal,2017,0.4877,OF
363,Industrial water withdrawal,1987,0.085,OF
364,Industrial water withdrawal,1992,0.156,I
365,Industrial water withdrawal,1997,0.227,I
366,Industrial water withdrawal,2002,0.298,OF
367,Industrial water withdrawal,2007,0.215,
368,Industrial water withdrawal,2012,0.1315,I
369,Industrial water withdrawal,2017,0.0814,OF
370,Total water withdrawal,1987,1.22,E
371,Total water withdrawal,1992,2.215,I
372,Total water withdrawal,1997,3.21,I
373,Total water withdrawal,2002,4.205,E
374,Total water withdrawal,2007,3.57,E
375,Total water withdrawal,2012,3.4610625,I
376,Total water withdrawal,2017,3.3391,E
377,Fresh surface water withdrawal,2002,3.785,E
378,Fresh surface water withdrawal,2007,3.2134244946,I
379,Fresh surface water withdrawal,2012,2.7331591855,I
380,Fresh surface water withdrawal,2017,2.404,OF
381,Fresh groundwater withdrawal,2002,0.42,E
382,Fresh groundwater withdrawal,2007,0.3565755054,I
383,Fresh groundwater withdrawal,2012,0.7279033145,I
384,Fresh groundwater withdrawal,2017,0.935,OF
385,Total freshwater withdrawal,1987,1.22,E
386,Total freshwater withdrawal,1992,2.215,I
387,Total freshwater withdrawal,1997,3.21,I
388,Total freshwater withdrawal,2002,4.205,E
389,Total freshwater withdrawal,2007,3.57,E
390,Total freshwater withdrawal,2012,3.460625,I
391,Total freshwater withdrawal,2017,3.339,OF
393,Produced municipal wastewater,2017,0.1473333333,I
394,Not treated municipal wastewater,2012,0.099,OF
395,Not treated municipal wastewater,2017,0.099,I
396,Not treated municipal wastewater,2018,0.099,I
397,Treated municipal wastewater,2012,0.095,OF
398,Treated municipal wastewater,2017,0.0785833333,I
411,SDG 6.4.2. Water Stress,1987,11.4532482163,E
412,SDG 6.4.2. Water Stress,1992,20.7942170484,E
413,SDG 6.4.2. Water Stress,1997,30.1351858806,E
414,SDG 6.4.2. Water Stress,2002,39.4761547127,E
415,SDG 6.4.2. Water Stress,2007,33.5148328952,E
416,SDG 6.4.2. Water Stress,2012,32.4880304168,E
417,SDG 6.4.2. Water Stress,2017,31.3462260608,E
418,SDG 6.4.2. Water Stress,2018,35.4053698836,E
419,SDG 6.4.1. Water Use Efficiency,2002,1.6411602971,I
420,SDG 6.4.1. Water Use Efficiency,2007,1.5974683031,I
421,SDG 6.4.1. Water Use Efficiency,2012,4.3967037417,I
422,SDG 6.4.1. Water Use Efficiency,2016,4.9131037195,I
423,SDG 6.4.1. Water Use Efficiency,2018,4.8301757128,I
424,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.0617766989,E
425,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.0448982291,E
426,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2012,0.0400728193,E
427,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.041831158,E
428,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2018,0.042805095,E
429,SDG 6.4.1. Industrial Water Use Efficiency,2002,3.5171605986,E
430,SDG 6.4.1. Industrial Water Use Efficiency,2007,9.8279175902,E
431,SDG 6.4.1. Industrial Water Use Efficiency,2012,32.0787359567,E
432,SDG 6.4.1. Industrial Water Use Efficiency,2016,48.6243546854,E
433,SDG 6.4.1. Industrial Water Use Efficiency,2018,50.1332606816,E
434,SDG 6.4.1. Services Water Use Efficiency,2002,9.5891173242,E
435,SDG 6.4.1. Services Water Use Efficiency,2007,8.1374299967,E
436,SDG 6.4.1. Services Water Use Efficiency,2012,19.6550794031,E
437,SDG 6.4.1. Services Water Use Efficiency,2016,21.0930416656,E
438,SDG 6.4.1. Services Water Use Efficiency,2018,21.5851732509,E
439,Harvested irrigated temporary crop area: Wheat,1992,47.98,I
440,Harvested irrigated temporary crop area: Wheat,1997,48.78,I
441,Harvested irrigated temporary crop area: Wheat,2002,49.1,I
442,Harvested irrigated temporary crop area: Wheat,2007,49.1,I
443,Harvested irrigated temporary crop area: Wheat,2012,49.1,I
444,Harvested irrigated temporary crop area: Wheat,2017,49.1,I
445,Harvested irrigated temporary crop area: Wheat,2018,49.1,I
446,Harvested irrigated temporary crop area: Barley,2002,5.7,I
447,Harvested irrigated temporary crop area: Barley,2007,5.7,I
448,Harvested irrigated temporary crop area: Barley,2012,5.7,I
449,Harvested irrigated temporary crop area: Barley,2017,5.7,I
450,Harvested irrigated temporary crop area: Barley,2018,5.7,I
451,Harvested irrigated temporary crop area: Maize,2002,18.0,I
452,Harvested irrigated temporary crop area: Maize,2007,18.0,I
453,Harvested irrigated temporary crop area: Maize,2012,18.0,I
454,Harvested irrigated temporary crop area: Maize,2017,18.0,I
455,Harvested irrigated temporary crop area: Maize,2018,18.0,I
456,Harvested irrigated temporary crop area: Sorghum,2002,0.5,I
457,Harvested irrigated temporary crop area: Sorghum,2007,0.5,I
458,Harvested irrigated temporary crop area: Sorghum,2012,0.5,I
459,Harvested irrigated temporary crop area: Sorghum,2017,0.5,I
460,Harvested irrigated temporary crop area: Sorghum,2018,0.5,I
461,Harvested irrigated temporary crop area: Potatoes,2002,2.1,I
462,Harvested irrigated temporary crop area: Potatoes,2007,2.1,I
463,Harvested irrigated temporary crop area: Potatoes,2012,2.1,I
464,Harvested irrigated temporary crop area: Potatoes,2017,2.1,I
465,Harvested irrigated temporary crop area: Potatoes,2018,2.1,I
466,Harvested irrigated temporary crop area: Sugarcane,1992,32.349,I
467,Harvested irrigated temporary crop area: Sugarcane,1997,33.314,I
468,Harvested irrigated temporary crop area: Sugarcane,2002,33.7,I
469,Harvested irrigated temporary crop area: Sugarcane,2007,33.7,I
470,Harvested irrigated temporary crop area: Sugarcane,2012,33.7,I
471,Harvested irrigated temporary crop area: Sugarcane,2017,33.7,I
472,Harvested irrigated temporary crop area: Sugarcane,2018,33.7,I
473,Harvested irrigated temporary crop area: Leguminous crops,2002,3.1,I
474,Harvested irrigated temporary crop area: Leguminous crops,2007,3.1,I
475,Harvested irrigated temporary crop area: Leguminous crops,2012,3.1,I
476,Harvested irrigated temporary crop area: Leguminous crops,2017,3.1,I
477,Harvested irrigated temporary crop area: Leguminous crops,2018,3.1,I
478,Harvested irrigated temporary crop area: Vegetables,2002,3.7,I
479,Harvested irrigated temporary crop area: Vegetables,2007,3.7,I
480,Harvested irrigated temporary crop area: Vegetables,2012,3.7,I
481,Harvested irrigated temporary crop area: Vegetables,2017,3.7,I
482,Harvested irrigated temporary crop area: Vegetables,2018,3.7,I
483,Harvested irrigated permanent crop area: Coffee,2002,5.2,I
484,Harvested irrigated permanent crop area: Coffee,2007,5.2,I
485,Harvested irrigated permanent crop area: Coffee,2012,5.2,I
486,Harvested irrigated permanent crop area: Coffee,2017,5.2,I
487,Harvested irrigated permanent crop area: Coffee,2018,5.2,I
488,Harvested irrigated permanent crop area: Tea,2002,3.5,I
489,Harvested irrigated permanent crop area: Tea,2007,3.5,I
490,Harvested irrigated permanent crop area: Tea,2012,3.5,I
491,Harvested irrigated permanent crop area: Tea,2017,3.5,I
492,Harvested irrigated permanent crop area: Tea,2018,3.5,I
493,Harvested irrigated temporary crop area: Tobacco,2002,12.15,I
494,Harvested irrigated temporary crop area: Tobacco,2007,12.15,I
495,Harvested irrigated temporary crop area: Tobacco,2012,12.15,I
496,Harvested irrigated temporary crop area: Tobacco,2017,12.15,I
497,Harvested irrigated temporary crop area: Tobacco,2018,12.15,I
498,Harvested irrigated temporary crop area: Cotton,1992,35.833,I
499,Harvested irrigated temporary crop area: Cotton,1997,29.738,I
500,Harvested irrigated temporary crop area: Cotton,2002,27.3,I
501,Harvested irrigated temporary crop area: Cotton,2007,27.3,I
502,Harvested irrigated temporary crop area: Cotton,2012,27.3,I
503,Harvested irrigated temporary crop area: Cotton,2017,27.3,I
504,Harvested irrigated temporary crop area: Cotton,2018,27.3,I
505,Harvested irrigated temporary crop area: Fodder,2002,8.6,I
506,Harvested irrigated temporary crop area: Fodder,2007,8.6,I
507,Harvested irrigated temporary crop area: Fodder,2012,8.6,I
508,Harvested irrigated temporary crop area: Fodder,2017,8.6,I
509,Harvested irrigated temporary crop area: Fodder,2018,8.6,I
510,Harvested irrigated temporary crop area: Soybeans,1992,16.32,I
511,Harvested irrigated temporary crop area: Soybeans,1997,18.52,I
512,Harvested irrigated temporary crop area: Soybeans,2002,19.4,I
513,Harvested irrigated temporary crop area: Soybeans,2007,19.4,I
514,Harvested irrigated temporary crop area: Soybeans,2012,19.4,I
515,Harvested irrigated temporary crop area: Soybeans,2017,19.4,I
516,Harvested irrigated temporary crop area: Soybeans,2018,19.4,I
517,Harvested irrigated temporary crop area: Groundnuts,2002,4.2,I
518,Harvested irrigated temporary crop area: Groundnuts,2007,4.2,I
519,Harvested irrigated temporary crop area: Groundnuts,2012,4.2,I
520,Harvested irrigated temporary crop area: Groundnuts,2017,4.2,I
521,Harvested irrigated temporary crop area: Groundnuts,2018,4.2,I
522,Harvested irrigated temporary crop area: Sunflower,2002,0.4,I
523,Harvested irrigated temporary crop area: Sunflower,2007,0.4,I
524,Harvested irrigated temporary crop area: Sunflower,2012,0.4,I
525,Harvested irrigated temporary crop area: Sunflower,2017,0.4,I
526,Harvested irrigated temporary crop area: Sunflower,2018,0.4,I
527,Harvested irrigated temporary crop area: Flowers,2002,0.8,I
528,Harvested irrigated temporary crop area: Flowers,2007,0.8,I
529,Harvested irrigated temporary crop area: Flowers,2012,0.8,I
530,Harvested irrigated temporary crop area: Flowers,2017,0.8,I
531,Harvested irrigated temporary crop area: Flowers,2018,0.8,I
532,Harvested irrigated temporary crop area: Other crops,1992,44.79,I
533,Harvested irrigated temporary crop area: Other crops,1997,44.79,I
534,Harvested irrigated temporary crop area: Other crops,2002,44.79,I
535,Harvested irrigated temporary crop area: Other crops,2007,44.79,I
536,Harvested irrigated temporary crop area: Other crops,2012,44.79,I
537,Harvested irrigated temporary crop area: Other crops,2017,44.79,I
538,Harvested irrigated temporary crop area: Other crops,2018,44.79,I
539,Harvested irrigated permanent crop area: Other crops,2002,4.98,I
540,Harvested irrigated permanent crop area: Other crops,2007,4.98,I
541,Harvested irrigated permanent crop area: Other crops,2012,4.98,I
542,Harvested irrigated permanent crop area: Other crops,2017,4.98,I
543,Harvested irrigated permanent crop area: Other crops,2018,4.98,I
