Azerbaijan,Variable Name,Year,Value,Symbol
94,Groundwater: entering the country (total),2002,0.0,E
95,Groundwater: entering the country (total),2007,0.0,E
96,Groundwater: entering the country (total),2012,0.0,E
97,Groundwater: entering the country (total),2017,0.0,E
98,Dependency ratio,1992,76.5969718818,E
99,Dependency ratio,1997,76.5969718818,E
100,Dependency ratio,2002,76.5969718818,E
101,Dependency ratio,2007,76.5969718818,E
102,Dependency ratio,2012,76.5969718818,E
103,Dependency ratio,2017,76.5969718818,E
104,Dependency ratio,2018,76.5969718818,E
105,Total internal renewable water resources (IRWR),1992,8.115,E
106,Total internal renewable water resources (IRWR),1997,8.115,E
107,Total internal renewable water resources (IRWR),2002,8.115,E
108,Total internal renewable water resources (IRWR),2007,8.115,E
109,Total internal renewable water resources (IRWR),2012,8.115,E
110,Total internal renewable water resources (IRWR),2017,8.115,E
111,Total internal renewable water resources (IRWR),2018,8.115,E
112,Total internal renewable water resources per capita,1992,1086.065359855,E
113,Total internal renewable water resources per capita,1997,1023.8884596226,E
114,Total internal renewable water resources per capita,2002,980.4204656701,E
115,Total internal renewable water resources per capita,2007,930.1666631707,E
116,Total internal renewable water resources per capita,2012,875.9060743735,E
117,Total internal renewable water resources per capita,2017,824.2494911288,E
118,Total internal renewable water resources per capita,2018,815.6158422246,E
119,Total renewable surface water,1992,32.515,E
120,Total renewable surface water,1997,32.515,E
121,Total renewable surface water,2002,32.515,E
122,Total renewable surface water,2007,32.515,E
123,Total renewable surface water,2012,32.515,E
124,Total renewable surface water,2017,32.515,E
125,Total renewable surface water,2018,32.515,E
126,Total renewable groundwater,1992,6.51,E
127,Total renewable groundwater,1997,6.51,E
128,Total renewable groundwater,2002,6.51,E
129,Total renewable groundwater,2007,6.51,E
130,Total renewable groundwater,2012,6.51,E
131,Total renewable groundwater,2017,6.51,E
132,Total renewable groundwater,2018,6.51,E
133,Water resources: total external renewable,1992,26.56,E
134,Water resources: total external renewable,1997,26.56,E
135,Water resources: total external renewable,2002,26.56,E
136,Water resources: total external renewable,2007,26.56,E
137,Water resources: total external renewable,2012,26.56,E
138,Water resources: total external renewable,2017,26.56,E
139,Water resources: total external renewable,2018,26.56,E
140,Total renewable water resources,1992,34.675,E
141,Total renewable water resources,1997,34.675,E
142,Total renewable water resources,2002,34.675,E
143,Total renewable water resources,2007,34.675,E
144,Total renewable water resources,2012,34.675,E
145,Total renewable water resources,2017,34.675,E
146,Total renewable water resources,2018,34.675,E
147,Total renewable water resources per capita,1992,4640.7044181112,E
148,Total renewable water resources per capita,1997,4375.0255498969,E
149,Total renewable water resources per capita,2002,4189.2889275553,E
150,Total renewable water resources per capita,2007,3974.5568755937,E
151,Total renewable water resources per capita,2012,3742.7040208136,E
152,Total renewable water resources per capita,2017,3521.9779550081,E
153,Total renewable water resources per capita,2018,3485.086793486,E
154,Total agricultural water managed area,1992,1450.0,E
155,Total agricultural water managed area,1997,1441.0,E
156,Total agricultural water managed area,2002,1426.0,E
157,Total agricultural water managed area,2007,1433.0,E
158,Total agricultural water managed area,2012,1428.0,E
159,Total agricultural water managed area,2014,1439.0,E
160,Area equipped for irrigation: total,1992,1450.0,OF
161,Area equipped for irrigation: total,1997,1441.0,E
162,Area equipped for irrigation: total,2002,1426.0,OF
163,Area equipped for irrigation: total,2007,1433.0,E
164,Area equipped for irrigation: total,2012,1428.0,E
165,Area equipped for irrigation: total,2014,1439.0,E
166,% of agricultural GVA produced by irrigated agriculture,1992,77.9283817199,E
167,% of agricultural GVA produced by irrigated agriculture,1997,76.4004599812,E
168,% of agricultural GVA produced by irrigated agriculture,2002,77.1689497717,E
169,% of agricultural GVA produced by irrigated agriculture,2007,77.0128067404,E
170,% of agricultural GVA produced by irrigated agriculture,2012,75.9768031987,E
171,% of agricultural GVA produced by irrigated agriculture,2017,65.6801129647,E
172,% of agricultural GVA produced by irrigated agriculture,2018,65.4682770917,E
174,Ratio between rainfed and irrigated yields,1996,1.778,I
175,Ratio between rainfed and irrigated yields,2001,1.778,I
176,Ratio between rainfed and irrigated yields,2007,1.778,I
177,Ratio between rainfed and irrigated yields,2011,1.778,I
178,Ratio between rainfed and irrigated yields,2017,1.778,I
179,Ratio between rainfed and irrigated yields,2018,1.778,I
180,Agricultural water withdrawal as % of total renewable water resources,1992,31.5212689257,E
181,Agricultural water withdrawal as % of total renewable water resources,1997,26.687815429,E
182,Agricultural water withdrawal as % of total renewable water resources,2002,18.387887527,E
183,Agricultural water withdrawal as % of total renewable water resources,2007,24.7469358327,E
184,Agricultural water withdrawal as % of total renewable water resources,2012,25.6294160058,E
185,Agricultural water withdrawal as % of total renewable water resources,2014,24.3749098774,E
186,Agricultural water withdrawal as % of total renewable water resources,2018,32.4066330209,E
187,Agricultural water withdrawal,1992,10.93,OF
188,Agricultural water withdrawal,1997,9.254,OF
189,Agricultural water withdrawal,2002,6.376,OF
190,Agricultural water withdrawal,2007,8.581,OF
191,Agricultural water withdrawal,2012,8.887,OF
192,Agricultural water withdrawal,2014,8.452,OF
193,Irrigation water requirement,2007,3.62,I
194,Irrigation water requirement,2012,3.62,I
195,Irrigation water requirement,2017,3.62,I
196,Irrigation water requirement,2018,3.62,I
197,Municipal water withdrawal,1992,1.013,OF
198,Municipal water withdrawal,1997,0.3559,OF
199,Municipal water withdrawal,2002,0.8189,OF
200,Municipal water withdrawal,2007,0.601,OF
201,Municipal water withdrawal,2012,0.4888,OF
202,Municipal water withdrawal,2014,0.5408,OF
203,Industrial water withdrawal,1992,4.259,OF
204,Industrial water withdrawal,1997,2.904,OF
205,Industrial water withdrawal,2002,2.88,OF
206,Industrial water withdrawal,2007,3.088,OF
207,Industrial water withdrawal,2012,3.109,OF
208,Industrial water withdrawal,2014,3.13,OF
209,Total water withdrawal,1992,16.202,E
210,Total water withdrawal,1997,12.5139,E
211,Total water withdrawal,2002,10.0749,E
212,Total water withdrawal,2007,12.27,E
213,Total water withdrawal,2012,11.97,OF
214,Total water withdrawal,2014,12.1228,E
215,Fresh surface water withdrawal,1997,11.42,OF
216,Fresh surface water withdrawal,2002,9.53,OF
217,Fresh surface water withdrawal,2007,11.5154649039,I
218,Fresh surface water withdrawal,2012,11.2339131947,I
219,Fresh surface water withdrawal,2017,9.9375,I
220,Fresh groundwater withdrawal,1997,1.098,OF
221,Fresh groundwater withdrawal,2002,0.545,OF
222,Fresh groundwater withdrawal,2007,0.7545350961,I
223,Fresh groundwater withdrawal,2012,0.7360868053,I
224,Fresh groundwater withdrawal,2014,0.7454831347,I
225,Total freshwater withdrawal,1992,16.202,E
226,Total freshwater withdrawal,1997,12.518,E
227,Total freshwater withdrawal,2002,10.075,E
228,Total freshwater withdrawal,2007,12.27,E
229,Total freshwater withdrawal,2012,11.97,E
230,Total freshwater withdrawal,2017,12.0035,E
231,Produced municipal wastewater,1997,0.5806,I
232,Produced municipal wastewater,2002,0.6296,I
233,Produced municipal wastewater,2007,0.659,I
234,Produced municipal wastewater,2012,0.659,I
235,Produced municipal wastewater,2017,0.659,I
236,Produced municipal wastewater,2018,0.659,I
237,Not treated municipal wastewater,1997,0.4714222222,I
238,Not treated municipal wastewater,2002,0.4880333333,I
239,Not treated municipal wastewater,2007,0.498,I
240,Not treated municipal wastewater,2012,0.498,I
241,Not treated municipal wastewater,2017,0.498,I
242,Not treated municipal wastewater,2018,0.498,I
243,Treated municipal wastewater,1997,0.1091777778,I
244,Treated municipal wastewater,2002,0.1415666667,I
245,Treated municipal wastewater,2007,0.161,I
246,Treated municipal wastewater,2012,0.161,I
247,Treated municipal wastewater,2017,0.161,I
248,Treated municipal wastewater,2018,0.161,I
255,SDG 6.4.2. Water Stress,1992,71.547803047,E
256,SDG 6.4.2. Water Stress,1997,55.2793111062,E
257,SDG 6.4.2. Water Stress,2002,44.4910576286,E
258,SDG 6.4.2. Water Stress,2007,54.1841466107,E
259,SDG 6.4.2. Water Stress,2012,52.8593508501,E
260,SDG 6.4.2. Water Stress,2017,53.0072863767,E
261,SDG 6.4.2. Water Stress,2018,53.7293000662,E
262,SDG 6.4.1. Water Use Efficiency,2009,3.6981773106,E
263,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2009,0.2550589026,E
264,SDG 6.4.1. Industrial Water Use Efficiency,2009,10.5954371413,E
265,SDG 6.4.1. Services Water Use Efficiency,2009,23.1403512935,E
266,Area salinized by irrigation,1997,296.95,I
267,Area salinized by irrigation,2002,579.325,I
268,Area salinized by irrigation,2007,542.4181818182,I
269,Area salinized by irrigation,2012,425.6909090909,I
270,Area salinized by irrigation,2016,288.2,OF
271,Area salinized by irrigation,2018,270.12,I
272,Harvested irrigated temporary crop area: Wheat,1997,366.0555555556,I
273,Harvested irrigated temporary crop area: Wheat,2002,540.9444444444,I
274,Harvested irrigated temporary crop area: Wheat,2007,610.9,I
275,Harvested irrigated temporary crop area: Wheat,2012,610.9,I
276,Harvested irrigated temporary crop area: Wheat,2017,610.9,I
277,Harvested irrigated temporary crop area: Wheat,2018,610.9,I
278,Harvested irrigated temporary crop area: Rice,1997,2.0557777778,I
279,Harvested irrigated temporary crop area: Rice,2002,2.4252222222,I
280,Harvested irrigated temporary crop area: Rice,2007,2.573,I
281,Harvested irrigated temporary crop area: Rice,2012,2.573,I
282,Harvested irrigated temporary crop area: Rice,2017,2.573,I
283,Harvested irrigated temporary crop area: Rice,2018,2.573,I
284,Harvested irrigated temporary crop area: Barley,1997,121.4111111111,I
285,Harvested irrigated temporary crop area: Barley,2002,148.1888888889,I
286,Harvested irrigated temporary crop area: Barley,2007,158.9,I
287,Harvested irrigated temporary crop area: Barley,2012,158.9,I
288,Harvested irrigated temporary crop area: Barley,2017,158.9,I
289,Harvested irrigated temporary crop area: Barley,2018,158.9,I
290,Harvested irrigated temporary crop area: Maize,1997,12.6395555556,I
291,Harvested irrigated temporary crop area: Maize,2002,27.3184444444,I
292,Harvested irrigated temporary crop area: Maize,2007,33.19,I
293,Harvested irrigated temporary crop area: Maize,2012,33.19,I
294,Harvested irrigated temporary crop area: Maize,2017,33.19,I
295,Harvested irrigated temporary crop area: Maize,2018,33.19,I
296,Harvested irrigated temporary crop area: Other cereals,1997,3.212,I
297,Harvested irrigated temporary crop area: Other cereals,2002,7.562,I
298,Harvested irrigated temporary crop area: Other cereals,2007,9.302,I
299,Harvested irrigated temporary crop area: Other cereals,2012,9.302,I
300,Harvested irrigated temporary crop area: Other cereals,2017,9.302,I
301,Harvested irrigated temporary crop area: Other cereals,2018,9.302,I
302,Harvested irrigated temporary crop area: Potatoes,2007,65.8,I
303,Harvested irrigated temporary crop area: Potatoes,2012,65.8,I
304,Harvested irrigated temporary crop area: Potatoes,2017,65.8,I
305,Harvested irrigated temporary crop area: Potatoes,2018,65.8,I
306,Harvested irrigated temporary crop area: Other roots and tubers,1997,6.091,I
307,Harvested irrigated temporary crop area: Other roots and tubers,2002,6.091,I
308,Harvested irrigated temporary crop area: Other roots and tubers,2007,6.091,I
309,Harvested irrigated temporary crop area: Other roots and tubers,2012,6.091,I
310,Harvested irrigated temporary crop area: Other roots and tubers,2017,6.091,I
311,Harvested irrigated temporary crop area: Other roots and tubers,2018,6.091,I
312,Harvested irrigated temporary crop area: Sugar beet,2007,3.202,I
313,Harvested irrigated temporary crop area: Sugar beet,2012,3.202,I
314,Harvested irrigated temporary crop area: Sugar beet,2017,3.202,I
315,Harvested irrigated temporary crop area: Sugar beet,2018,3.202,I
316,Harvested irrigated temporary crop area: Leguminous crops,1997,0.041,I
317,Harvested irrigated temporary crop area: Leguminous crops,2002,0.041,I
318,Harvested irrigated temporary crop area: Leguminous crops,2007,0.041,I
319,Harvested irrigated temporary crop area: Leguminous crops,2012,0.041,I
320,Harvested irrigated temporary crop area: Leguminous crops,2017,0.041,I
321,Harvested irrigated temporary crop area: Leguminous crops,2018,0.041,I
322,Harvested irrigated temporary crop area: Vegetables,1997,20.3143333333,I
323,Harvested irrigated temporary crop area: Vegetables,2002,60.9826666667,I
324,Harvested irrigated temporary crop area: Vegetables,2007,77.25,I
325,Harvested irrigated temporary crop area: Vegetables,2012,77.25,I
326,Harvested irrigated temporary crop area: Vegetables,2017,77.25,I
327,Harvested irrigated temporary crop area: Vegetables,2018,77.25,I
328,Harvested irrigated permanent crop area: Tea,2007,3.658,I
329,Harvested irrigated permanent crop area: Tea,2012,3.658,I
330,Harvested irrigated permanent crop area: Tea,2017,3.658,I
331,Harvested irrigated permanent crop area: Tea,2018,3.658,I
332,Harvested irrigated temporary crop area: Tobacco,2007,2.649,I
333,Harvested irrigated temporary crop area: Tobacco,2012,2.649,I
334,Harvested irrigated temporary crop area: Tobacco,2017,2.649,I
335,Harvested irrigated temporary crop area: Tobacco,2018,2.649,I
336,Harvested irrigated temporary crop area: Cotton,1997,181.0133333333,I
337,Harvested irrigated temporary crop area: Cotton,2002,107.5466666667,I
338,Harvested irrigated temporary crop area: Cotton,2007,78.16,I
339,Harvested irrigated temporary crop area: Cotton,2012,78.16,I
340,Harvested irrigated temporary crop area: Cotton,2017,78.16,I
341,Harvested irrigated temporary crop area: Cotton,2018,78.16,I
342,Harvested irrigated permanent crop area: Oil palm,1997,11.14,I
343,Harvested irrigated permanent crop area: Oil palm,2002,11.14,I
344,Harvested irrigated permanent crop area: Oil palm,2007,11.14,I
345,Harvested irrigated permanent crop area: Oil palm,2012,11.14,I
346,Harvested irrigated permanent crop area: Oil palm,2017,11.14,I
347,Harvested irrigated permanent crop area: Oil palm,2018,11.14,I
348,Harvested irrigated temporary crop area: Sunflower,2007,11.38,I
349,Harvested irrigated temporary crop area: Sunflower,2012,11.38,I
350,Harvested irrigated temporary crop area: Sunflower,2017,11.38,I
351,Harvested irrigated temporary crop area: Sunflower,2018,11.38,I
352,Harvested irrigated temporary crop area: Other crops,2007,236.8,I
353,Harvested irrigated temporary crop area: Other crops,2012,236.8,I
354,Harvested irrigated temporary crop area: Other crops,2017,236.8,I
355,Harvested irrigated temporary crop area: Other crops,2018,236.8,I
356,Harvested irrigated permanent crop area: Other crops,1997,100.6666666667,I
357,Harvested irrigated permanent crop area: Other crops,2002,98.5833333333,I
358,Harvested irrigated permanent crop area: Other crops,2007,97.75,I
359,Harvested irrigated permanent crop area: Other crops,2012,97.75,I
360,Harvested irrigated permanent crop area: Other crops,2017,97.75,I
361,Harvested irrigated permanent crop area: Other crops,2018,97.75,I
