Maldives,Variable Name,Year,Value,Symbol
100,Prevalence of undernourishment (3-year average),2007,18.1,X
101,Prevalence of undernourishment (3-year average),2012,11.0,X
102,Prevalence of undernourishment (3-year average),2017,10.5,X
103,Prevalence of undernourishment (3-year average),2018,10.3,X
104,Total population with access to safe drinking-water (JMP),1992,93.2,X
105,Total population with access to safe drinking-water (JMP),1997,94.2,X
106,Total population with access to safe drinking-water (JMP),2002,95.9,X
107,Total population with access to safe drinking-water (JMP),2007,97.5,X
108,Total population with access to safe drinking-water (JMP),2012,98.6,X
109,Total population with access to safe drinking-water (JMP),2017,98.6,I
110,Total population with access to safe drinking-water (JMP),2018,98.6,I
111,Long-term average annual precipitation in volume,1962,0.5916,E
112,Long-term average annual precipitation in volume,1967,0.5916,E
113,Long-term average annual precipitation in volume,1972,0.5916,E
114,Long-term average annual precipitation in volume,1977,0.5916,E
115,Long-term average annual precipitation in volume,1982,0.5916,E
116,Long-term average annual precipitation in volume,1987,0.5916,E
117,Long-term average annual precipitation in volume,1992,0.5916,E
118,Long-term average annual precipitation in volume,1997,0.5916,E
119,Long-term average annual precipitation in volume,2002,0.5916,E
120,Long-term average annual precipitation in volume,2007,0.5916,E
121,Long-term average annual precipitation in volume,2012,0.5916,E
122,Long-term average annual precipitation in volume,2017,0.5916,E
123,Long-term average annual precipitation in volume,2018,0.5916,E
124,Surface water: entering the country (total),1962,0.0,OF
125,Surface water: entering the country (total),1967,0.0,OF
126,Surface water: entering the country (total),1972,0.0,OF
127,Surface water: entering the country (total),1977,0.0,OF
128,Surface water: entering the country (total),1982,0.0,OF
129,Surface water: entering the country (total),1987,0.0,OF
130,Surface water: entering the country (total),1992,0.0,OF
131,Surface water: entering the country (total),1997,0.0,OF
132,Surface water: entering the country (total),2002,0.0,OF
133,Surface water: entering the country (total),2007,0.0,OF
134,Surface water: entering the country (total),2012,0.0,OF
135,Surface water: entering the country (total),2017,0.0,OF
136,Surface water: leaving the country to other countries (total),1962,0.0,OF
137,Surface water: leaving the country to other countries (total),1967,0.0,OF
138,Surface water: leaving the country to other countries (total),1972,0.0,OF
139,Surface water: leaving the country to other countries (total),1977,0.0,OF
140,Surface water: leaving the country to other countries (total),1982,0.0,OF
141,Surface water: leaving the country to other countries (total),1987,0.0,OF
142,Surface water: leaving the country to other countries (total),1992,0.0,OF
143,Surface water: leaving the country to other countries (total),1997,0.0,OF
144,Surface water: leaving the country to other countries (total),2002,0.0,OF
145,Surface water: leaving the country to other countries (total),2007,0.0,OF
146,Surface water: leaving the country to other countries (total),2012,0.0,OF
147,Surface water: leaving the country to other countries (total),2017,0.0,OF
148,Groundwater: entering the country (total),1962,0.0,OF
149,Groundwater: entering the country (total),1967,0.0,OF
150,Groundwater: entering the country (total),1972,0.0,OF
151,Groundwater: entering the country (total),1977,0.0,OF
152,Groundwater: entering the country (total),1982,0.0,OF
153,Groundwater: entering the country (total),1987,0.0,OF
154,Groundwater: entering the country (total),1992,0.0,OF
155,Groundwater: entering the country (total),1997,0.0,OF
156,Groundwater: entering the country (total),2002,0.0,OF
157,Groundwater: entering the country (total),2007,0.0,OF
158,Groundwater: entering the country (total),2012,0.0,OF
159,Groundwater: entering the country (total),2017,0.0,OF
160,Groundwater: leaving the country to other countries (total),1962,0.0,OF
161,Groundwater: leaving the country to other countries (total),1967,0.0,OF
162,Groundwater: leaving the country to other countries (total),1972,0.0,OF
163,Groundwater: leaving the country to other countries (total),1977,0.0,OF
164,Groundwater: leaving the country to other countries (total),1982,0.0,OF
165,Groundwater: leaving the country to other countries (total),1987,0.0,OF
166,Groundwater: leaving the country to other countries (total),1992,0.0,OF
167,Groundwater: leaving the country to other countries (total),1997,0.0,OF
168,Groundwater: leaving the country to other countries (total),2002,0.0,OF
169,Groundwater: leaving the country to other countries (total),2007,0.0,OF
170,Groundwater: leaving the country to other countries (total),2012,0.0,OF
171,Groundwater: leaving the country to other countries (total),2017,0.0,OF
172,Dependency ratio,1962,0.0,E
173,Dependency ratio,1967,0.0,E
174,Dependency ratio,1972,0.0,E
175,Dependency ratio,1977,0.0,E
176,Dependency ratio,1982,0.0,E
177,Dependency ratio,1987,0.0,E
178,Dependency ratio,1992,0.0,E
179,Dependency ratio,1997,0.0,E
180,Dependency ratio,2002,0.0,E
181,Dependency ratio,2007,0.0,E
182,Dependency ratio,2012,0.0,E
183,Dependency ratio,2017,0.0,E
184,Dependency ratio,2018,0.0,E
185,Total internal renewable water resources (IRWR),1962,0.03,E
186,Total internal renewable water resources (IRWR),1967,0.03,E
187,Total internal renewable water resources (IRWR),1972,0.03,E
188,Total internal renewable water resources (IRWR),1977,0.03,E
189,Total internal renewable water resources (IRWR),1982,0.03,E
190,Total internal renewable water resources (IRWR),1987,0.03,E
191,Total internal renewable water resources (IRWR),1992,0.03,E
192,Total internal renewable water resources (IRWR),1997,0.03,E
193,Total internal renewable water resources (IRWR),2002,0.03,E
194,Total internal renewable water resources (IRWR),2007,0.03,E
195,Total internal renewable water resources (IRWR),2012,0.03,E
196,Total internal renewable water resources (IRWR),2017,0.03,E
197,Total internal renewable water resources (IRWR),2018,0.03,E
198,Total internal renewable water resources per capita,1962,316.1055792635,E
199,Total internal renewable water resources per capita,1967,279.1268910847,E
200,Total internal renewable water resources per capita,1972,243.2024903935,E
201,Total internal renewable water resources per capita,1977,207.4244110875,E
202,Total internal renewable water resources per capita,1982,176.6253951993,E
203,Total internal renewable water resources per capita,1987,147.762870146,E
204,Total internal renewable water resources per capita,1992,126.9760650117,E
205,Total internal renewable water resources per capita,1997,113.7044140054,E
206,Total internal renewable water resources per capita,2002,101.9763007077,E
207,Total internal renewable water resources per capita,2007,89.5070844857,E
208,Total internal renewable water resources per capita,2012,75.5216659073,E
209,Total internal renewable water resources per capita,2017,60.4348894646,E
210,Total internal renewable water resources per capita,2018,58.1738078248,E
211,Total renewable surface water,1962,0.0,E
212,Total renewable surface water,1967,0.0,E
213,Total renewable surface water,1972,0.0,E
214,Total renewable surface water,1977,0.0,E
215,Total renewable surface water,1982,0.0,E
216,Total renewable surface water,1987,0.0,E
217,Total renewable surface water,1992,0.0,E
218,Total renewable surface water,1997,0.0,E
219,Total renewable surface water,2002,0.0,E
220,Total renewable surface water,2007,0.0,E
221,Total renewable surface water,2012,0.0,E
222,Total renewable surface water,2017,0.0,E
223,Total renewable surface water,2018,0.0,E
224,Total renewable groundwater,1962,0.03,E
225,Total renewable groundwater,1967,0.03,E
226,Total renewable groundwater,1972,0.03,E
227,Total renewable groundwater,1977,0.03,E
228,Total renewable groundwater,1982,0.03,E
229,Total renewable groundwater,1987,0.03,E
230,Total renewable groundwater,1992,0.03,E
231,Total renewable groundwater,1997,0.03,E
232,Total renewable groundwater,2002,0.03,E
233,Total renewable groundwater,2007,0.03,E
234,Total renewable groundwater,2012,0.03,E
235,Total renewable groundwater,2017,0.03,E
236,Total renewable groundwater,2018,0.03,E
237,Water resources: total external renewable,1962,0.0,E
238,Water resources: total external renewable,1967,0.0,E
239,Water resources: total external renewable,1972,0.0,E
240,Water resources: total external renewable,1977,0.0,E
241,Water resources: total external renewable,1982,0.0,E
242,Water resources: total external renewable,1987,0.0,E
243,Water resources: total external renewable,1992,0.0,E
244,Water resources: total external renewable,1997,0.0,E
245,Water resources: total external renewable,2002,0.0,E
246,Water resources: total external renewable,2007,0.0,E
247,Water resources: total external renewable,2012,0.0,E
248,Water resources: total external renewable,2017,0.0,E
249,Water resources: total external renewable,2018,0.0,E
250,Total renewable water resources,1962,0.03,E
251,Total renewable water resources,1967,0.03,E
252,Total renewable water resources,1972,0.03,E
253,Total renewable water resources,1977,0.03,E
254,Total renewable water resources,1982,0.03,E
255,Total renewable water resources,1987,0.03,E
256,Total renewable water resources,1992,0.03,E
257,Total renewable water resources,1997,0.03,E
258,Total renewable water resources,2002,0.03,E
259,Total renewable water resources,2007,0.03,E
260,Total renewable water resources,2012,0.03,E
261,Total renewable water resources,2017,0.03,E
262,Total renewable water resources,2018,0.03,E
263,Total renewable water resources per capita,1962,316.1055792635,E
264,Total renewable water resources per capita,1967,279.1268910847,E
265,Total renewable water resources per capita,1972,243.2024903935,E
266,Total renewable water resources per capita,1977,207.4244110875,E
267,Total renewable water resources per capita,1982,176.6253951993,E
268,Total renewable water resources per capita,1987,147.762870146,E
269,Total renewable water resources per capita,1992,126.9760650117,E
270,Total renewable water resources per capita,1997,113.7044140054,E
271,Total renewable water resources per capita,2002,101.9763007077,E
272,Total renewable water resources per capita,2007,89.5070844857,E
273,Total renewable water resources per capita,2012,75.5216659073,E
274,Total renewable water resources per capita,2017,60.4348894646,E
275,Total renewable water resources per capita,2018,58.1738078248,E
276,Total agricultural water managed area,2002,0.0,I
277,Total agricultural water managed area,2007,0.0,I
278,Total agricultural water managed area,2012,0.0,I
279,Total agricultural water managed area,2017,0.0,I
280,Total agricultural water managed area,2018,0.0,I
281,Area equipped for irrigation: total,2002,0.0,I
282,Area equipped for irrigation: total,2007,0.0,I
283,Area equipped for irrigation: total,2012,0.0,I
284,Area equipped for irrigation: total,2017,0.0,I
285,Area equipped for irrigation: total,2018,0.0,I
286,Agricultural water withdrawal as % of total renewable water resources,1987,0.0,E
287,Agricultural water withdrawal as % of total renewable water resources,1992,0.0,I
288,Agricultural water withdrawal as % of total renewable water resources,1997,0.0,I
289,Agricultural water withdrawal as % of total renewable water resources,2002,0.0,I
290,Agricultural water withdrawal as % of total renewable water resources,2007,0.0,I
291,Agricultural water withdrawal as % of total renewable water resources,2012,0.0,I
292,Agricultural water withdrawal as % of total renewable water resources,2017,0.0,I
293,Agricultural water withdrawal as % of total renewable water resources,2018,0.0,I
294,Agricultural water withdrawal,1987,0.0,OF
295,Agricultural water withdrawal,1992,0.0,I
296,Agricultural water withdrawal,1997,0.0,I
297,Agricultural water withdrawal,2002,0.0,I
298,Agricultural water withdrawal,2007,0.0,I
299,Agricultural water withdrawal,2012,0.0,I
300,Agricultural water withdrawal,2017,0.0,I
301,Agricultural water withdrawal,2018,0.0,I
302,Irrigation water withdrawal,2012,0.0,I
303,Irrigation water withdrawal,2017,0.0,I
304,Irrigation water withdrawal,2018,0.0,I
305,Municipal water withdrawal,1987,0.0033,OF
306,Municipal water withdrawal,1992,0.0044153846,I
307,Municipal water withdrawal,1997,0.0055307692,I
308,Municipal water withdrawal,2002,0.00605,I
309,Municipal water withdrawal,2007,0.005675,I
310,Municipal water withdrawal,2012,0.0056,I
311,Municipal water withdrawal,2017,0.0056,I
312,Municipal water withdrawal,2018,0.0056,I
313,Industrial water withdrawal,1987,0.0001,OF
314,Industrial water withdrawal,1992,0.0001384615,I
315,Industrial water withdrawal,1997,0.0001769231,I
316,Industrial water withdrawal,2002,0.000225,I
317,Industrial water withdrawal,2007,0.0002875,I
318,Industrial water withdrawal,2012,0.0003,I
319,Industrial water withdrawal,2017,0.0003,I
320,Industrial water withdrawal,2018,0.0003,I
321,Total water withdrawal,1987,0.0034,E
322,Total water withdrawal,1992,0.0045538462,E
323,Total water withdrawal,1997,0.0057076923,E
324,Total water withdrawal,2002,0.006275,E
325,Total water withdrawal,2007,0.0057809524,I
326,Total water withdrawal,2012,0.0059,I
327,Total water withdrawal,2017,0.0059,I
328,Total water withdrawal,2018,0.0059,I
329,Total freshwater withdrawal,1987,0.0034,E
330,Total freshwater withdrawal,1992,0.0037095238,I
331,Total freshwater withdrawal,1997,0.0049326923,E
332,Total freshwater withdrawal,2002,0.005075,E
333,Total freshwater withdrawal,2007,0.0046380952,I
334,Total freshwater withdrawal,2012,0.0047,I
335,Total freshwater withdrawal,2017,0.0047,I
336,Total freshwater withdrawal,2018,0.0047,I
337,Desalinated water produced,1992,0.0004625,I
338,Desalinated water produced,1997,0.000775,I
339,Desalinated water produced,2002,0.0012,I
340,Desalinated water produced,2007,0.0012,I
341,Desalinated water produced,2012,0.0085714286,I
342,Desalinated water produced,2017,0.0153,OF
343,Desalinated water produced,2018,0.0153,I
344,Produced municipal wastewater,2002,0.0037,I
345,Produced municipal wastewater,2007,0.0037,I
346,Produced municipal wastewater,2012,0.0037,I
347,Produced municipal wastewater,2017,0.0037,I
348,Produced municipal wastewater,2018,0.0037,I
349,SDG 6.4.2. Water Stress,1987,11.3333333333,E
350,SDG 6.4.2. Water Stress,1992,12.3650793651,I
351,SDG 6.4.2. Water Stress,1997,16.4423076923,E
352,SDG 6.4.2. Water Stress,2002,16.9166666667,E
353,SDG 6.4.2. Water Stress,2007,15.4603174603,I
354,SDG 6.4.2. Water Stress,2012,15.6666666667,I
355,SDG 6.4.2. Water Stress,2017,15.6666666667,I
356,SDG 6.4.2. Water Stress,2018,15.6666666667,I
357,SDG 6.4.1. Industrial Water Use Efficiency,2015,1240.981777,E
358,SDG 6.4.1. Services Water Use Efficiency,2015,542.6894776786,E
