Rwanda,Variable Name,Year,Value,Symbol
131,Flood occurrence (WRI),2017,3.6,I
132,Flood occurrence (WRI),2018,3.6,I
144,Surface water: entering the country (total),2017,3.8,OF
156,Surface water: leaving the country to other countries (total),2017,6.145,OF
157,Groundwater: entering the country (total),1962,0.0,E
158,Groundwater: entering the country (total),1967,0.0,E
159,Groundwater: entering the country (total),1972,0.0,E
160,Groundwater: entering the country (total),1977,0.0,E
161,Groundwater: entering the country (total),1982,0.0,E
162,Groundwater: entering the country (total),1987,0.0,E
163,Groundwater: entering the country (total),1992,0.0,E
164,Groundwater: entering the country (total),1997,0.0,E
165,Groundwater: entering the country (total),2002,0.0,E
166,Groundwater: entering the country (total),2007,0.0,E
167,Groundwater: entering the country (total),2012,0.0,E
168,Groundwater: entering the country (total),2017,0.0,E
169,Groundwater: leaving the country to other countries (total),1962,0.0,OF
170,Groundwater: leaving the country to other countries (total),1967,0.0,OF
171,Groundwater: leaving the country to other countries (total),1972,0.0,OF
172,Groundwater: leaving the country to other countries (total),1977,0.0,OF
173,Groundwater: leaving the country to other countries (total),1982,0.0,OF
174,Groundwater: leaving the country to other countries (total),1987,0.0,OF
175,Groundwater: leaving the country to other countries (total),1992,0.0,OF
176,Groundwater: leaving the country to other countries (total),1997,0.0,OF
177,Groundwater: leaving the country to other countries (total),2002,0.0,OF
178,Groundwater: leaving the country to other countries (total),2007,0.0,OF
179,Groundwater: leaving the country to other countries (total),2012,0.0,OF
180,Groundwater: leaving the country to other countries (total),2017,0.0,OF
181,Dependency ratio,1962,28.5714285714,E
182,Dependency ratio,1967,28.5714285714,E
183,Dependency ratio,1972,28.5714285714,E
184,Dependency ratio,1977,28.5714285714,E
185,Dependency ratio,1982,28.5714285714,E
186,Dependency ratio,1987,28.5714285714,E
187,Dependency ratio,1992,28.5714285714,E
188,Dependency ratio,1997,28.5714285714,E
189,Dependency ratio,2002,28.5714285714,E
190,Dependency ratio,2007,28.5714285714,E
191,Dependency ratio,2012,28.5714285714,E
192,Dependency ratio,2017,28.5714285714,E
193,Dependency ratio,2018,28.5714285714,E
194,Total internal renewable water resources (IRWR),1962,9.5,E
195,Total internal renewable water resources (IRWR),1967,9.5,E
196,Total internal renewable water resources (IRWR),1972,9.5,E
197,Total internal renewable water resources (IRWR),1977,9.5,E
198,Total internal renewable water resources (IRWR),1982,9.5,E
199,Total internal renewable water resources (IRWR),1987,9.5,E
200,Total internal renewable water resources (IRWR),1992,9.5,E
201,Total internal renewable water resources (IRWR),1997,9.5,E
202,Total internal renewable water resources (IRWR),2002,9.5,E
203,Total internal renewable water resources (IRWR),2007,9.5,E
204,Total internal renewable water resources (IRWR),2012,9.5,E
205,Total internal renewable water resources (IRWR),2017,9.5,E
206,Total internal renewable water resources (IRWR),2018,9.5,E
207,Total internal renewable water resources per capita,1962,3111.7586480686,E
208,Total internal renewable water resources per capita,1967,2777.05103489,E
209,Total internal renewable water resources per capita,1972,2382.6100565205,E
210,Total internal renewable water resources per capita,1977,2040.6484278522,E
211,Total internal renewable water resources per capita,1982,1725.7534367017,E
212,Total internal renewable water resources per capita,1987,1401.1834542948,E
213,Total internal renewable water resources per capita,1992,1417.4357125763,E
214,Total internal renewable water resources per capita,1997,1479.7735977549,E
215,Total internal renewable water resources per capita,2002,1127.3207975261,E
216,Total internal renewable water resources per capita,2007,1024.396045745,E
217,Total internal renewable water resources per capita,2012,900.5018449387,E
218,Total internal renewable water resources per capita,2017,792.9247077926,E
219,Total internal renewable water resources per capita,2018,772.2340405642,E
220,Total renewable surface water,1962,13.3,E
221,Total renewable surface water,1967,13.3,E
222,Total renewable surface water,1972,13.3,E
223,Total renewable surface water,1977,13.3,E
224,Total renewable surface water,1982,13.3,E
225,Total renewable surface water,1987,13.3,E
226,Total renewable surface water,1992,13.3,E
227,Total renewable surface water,1997,13.3,E
228,Total renewable surface water,2002,13.3,E
229,Total renewable surface water,2007,13.3,E
230,Total renewable surface water,2012,13.3,E
231,Total renewable surface water,2017,13.3,E
232,Total renewable surface water,2018,13.3,E
233,Total renewable groundwater,1962,7.0,E
234,Total renewable groundwater,1967,7.0,E
235,Total renewable groundwater,1972,7.0,E
236,Total renewable groundwater,1977,7.0,E
237,Total renewable groundwater,1982,7.0,E
238,Total renewable groundwater,1987,7.0,E
239,Total renewable groundwater,1992,7.0,E
240,Total renewable groundwater,1997,7.0,E
241,Total renewable groundwater,2002,7.0,E
242,Total renewable groundwater,2007,7.0,E
243,Total renewable groundwater,2012,7.0,E
244,Total renewable groundwater,2017,7.0,E
245,Total renewable groundwater,2018,7.0,E
246,Water resources: total external renewable,1962,3.8,E
247,Water resources: total external renewable,1967,3.8,E
248,Water resources: total external renewable,1972,3.8,E
249,Water resources: total external renewable,1977,3.8,E
250,Water resources: total external renewable,1982,3.8,E
251,Water resources: total external renewable,1987,3.8,E
252,Water resources: total external renewable,1992,3.8,E
253,Water resources: total external renewable,1997,3.8,E
254,Water resources: total external renewable,2002,3.8,E
255,Water resources: total external renewable,2007,3.8,E
256,Water resources: total external renewable,2012,3.8,E
257,Water resources: total external renewable,2017,3.8,E
258,Water resources: total external renewable,2018,3.8,E
259,Total renewable water resources,1962,13.3,E
260,Total renewable water resources,1967,13.3,E
261,Total renewable water resources,1972,13.3,E
262,Total renewable water resources,1977,13.3,E
263,Total renewable water resources,1982,13.3,E
264,Total renewable water resources,1987,13.3,E
265,Total renewable water resources,1992,13.3,E
266,Total renewable water resources,1997,13.3,E
267,Total renewable water resources,2002,13.3,E
268,Total renewable water resources,2007,13.3,E
269,Total renewable water resources,2012,13.3,E
270,Total renewable water resources,2017,13.3,E
271,Total renewable water resources,2018,13.3,E
272,Total renewable water resources per capita,1962,4356.4621072961,E
273,Total renewable water resources per capita,1967,3887.871448846,E
274,Total renewable water resources per capita,1972,3335.6540791287,E
275,Total renewable water resources per capita,1977,2856.9077989931,E
276,Total renewable water resources per capita,1982,2416.0548113824,E
277,Total renewable water resources per capita,1987,1961.6568360127,E
278,Total renewable water resources per capita,1992,1984.4099976068,E
279,Total renewable water resources per capita,1997,2071.6830368568,E
280,Total renewable water resources per capita,2002,1578.2491165365,E
281,Total renewable water resources per capita,2007,1434.154464043,E
282,Total renewable water resources per capita,2012,1260.7025829142,E
283,Total renewable water resources per capita,2017,1110.0945909097,E
284,Total renewable water resources per capita,2018,1081.1276567899,E
285,Total agricultural water managed area,1987,160.0,E
286,Total agricultural water managed area,1992,128.0555555556,I
287,Total agricultural water managed area,1997,102.5,I
288,Total agricultural water managed area,2002,102.5,E
289,Total agricultural water managed area,2007,103.625,E
290,Total agricultural water managed area,2012,102.5,E
291,Total agricultural water managed area,2017,102.5,E
292,Total agricultural water managed area,2018,102.5,E
293,Area equipped for irrigation: total,1987,4.0,E
294,Area equipped for irrigation: total,1992,6.5,I
295,Area equipped for irrigation: total,1997,8.5,I
296,Area equipped for irrigation: total,2002,8.5,E
297,Area equipped for irrigation: total,2007,9.625,E
298,Area equipped for irrigation: total,2012,8.5,E
299,Area equipped for irrigation: total,2017,8.5,E
300,Area equipped for irrigation: total,2018,8.5,E
301,% of agricultural GVA produced by irrigated agriculture,2007,0.4092290219,E
302,% of agricultural GVA produced by irrigated agriculture,2012,0.3987671876,E
303,% of agricultural GVA produced by irrigated agriculture,2017,0.398491547,E
304,% of agricultural GVA produced by irrigated agriculture,2018,0.398491547,E
305,Ratio between rainfed and irrigated yields,1962,1.398,E
306,Ratio between rainfed and irrigated yields,1967,1.398,E
307,Ratio between rainfed and irrigated yields,1972,1.398,E
308,Ratio between rainfed and irrigated yields,1977,1.398,E
309,Ratio between rainfed and irrigated yields,1982,1.398,E
310,Ratio between rainfed and irrigated yields,1987,1.398,E
311,Ratio between rainfed and irrigated yields,1992,1.398,E
312,Ratio between rainfed and irrigated yields,1997,1.398,E
313,Ratio between rainfed and irrigated yields,2002,1.398,E
314,Ratio between rainfed and irrigated yields,2007,1.398,I
315,Ratio between rainfed and irrigated yields,2012,1.398,E
316,Ratio between rainfed and irrigated yields,2017,1.398,I
317,Ratio between rainfed and irrigated yields,2018,1.398,I
318,Agricultural water withdrawal as % of total renewable water resources,2002,0.7669172932,I
319,Agricultural water withdrawal as % of total renewable water resources,2007,0.7669172932,I
320,Agricultural water withdrawal as % of total renewable water resources,2012,0.7669172932,I
321,Agricultural water withdrawal as % of total renewable water resources,2017,0.7669172932,I
322,Agricultural water withdrawal as % of total renewable water resources,2018,0.7669172932,I
323,Agricultural water withdrawal,2002,0.102,I
324,Agricultural water withdrawal,2007,0.102,I
325,Agricultural water withdrawal,2012,0.102,I
326,Agricultural water withdrawal,2017,0.102,I
327,Agricultural water withdrawal,2018,0.102,I
328,Irrigation water requirement,1997,0.0258,I
329,Irrigation water requirement,2002,0.0258,I
330,Irrigation water requirement,2007,0.0258,I
331,Irrigation water requirement,2012,0.0258,I
332,Irrigation water requirement,2017,0.0258,I
333,Irrigation water requirement,2018,0.0258,I
334,Municipal water withdrawal,1987,0.036,OF
335,Municipal water withdrawal,1992,0.036,I
336,Municipal water withdrawal,1997,0.036,I
337,Municipal water withdrawal,2002,0.04616,I
338,Municipal water withdrawal,2007,0.0614,I
339,Municipal water withdrawal,2012,0.0614,I
340,Municipal water withdrawal,2017,0.0614,I
341,Municipal water withdrawal,2018,0.0614,I
342,Industrial water withdrawal,1987,0.012,OF
343,Industrial water withdrawal,1992,0.012,I
344,Industrial water withdrawal,1997,0.012,I
345,Industrial water withdrawal,2002,0.0154,I
346,Industrial water withdrawal,2007,0.0205,I
347,Industrial water withdrawal,2012,0.0205,I
348,Industrial water withdrawal,2017,0.0205,I
349,Industrial water withdrawal,2018,0.0205,I
350,Total water withdrawal,2002,0.16356,E
351,Total water withdrawal,2007,0.1839,E
352,Total water withdrawal,2012,0.1839,E
353,Total water withdrawal,2017,0.1839,E
354,Total water withdrawal,2018,0.1839,E
355,Total freshwater withdrawal,2002,0.16356,E
356,Total freshwater withdrawal,2007,0.1839,E
357,Total freshwater withdrawal,2012,0.1839,E
358,Total freshwater withdrawal,2017,0.1839,E
359,Total freshwater withdrawal,2018,0.1839,E
372,SDG 6.4.2. Water Stress,2002,5.4158940397,E
373,SDG 6.4.2. Water Stress,2007,6.0894039735,E
374,SDG 6.4.2. Water Stress,2012,6.0894039735,E
375,SDG 6.4.2. Water Stress,2017,6.0894039735,E
376,SDG 6.4.2. Water Stress,2018,6.0894039735,E
377,SDG 6.4.1. Water Use Efficiency,2015,29.253617316,I
378,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0905472198,E
379,SDG 6.4.1. Industrial Water Use Efficiency,2015,62.5169581951,E
380,SDG 6.4.1. Services Water Use Efficiency,2015,66.5945727199,E
381,Harvested irrigated temporary crop area: Rice,2007,2.0,E
382,Harvested irrigated temporary crop area: Rice,2012,2.0,I
383,Harvested irrigated temporary crop area: Rice,2017,2.0,I
384,Harvested irrigated temporary crop area: Rice,2018,2.0,I
385,Harvested irrigated temporary crop area: Vegetables,2007,2.0,E
386,Harvested irrigated temporary crop area: Vegetables,2012,2.0,I
387,Harvested irrigated temporary crop area: Vegetables,2017,2.0,I
388,Harvested irrigated temporary crop area: Vegetables,2018,2.0,I
