Nigeria,Variable Name,Year,Value,Symbol
315,% of agricultural GVA produced by irrigated agriculture,2012,1.1468846243,E
316,% of agricultural GVA produced by irrigated agriculture,2017,1.1806534557,E
317,% of agricultural GVA produced by irrigated agriculture,2018,1.1806534557,E
318,Ratio between rainfed and irrigated yields,1962,2.131,E
319,Ratio between rainfed and irrigated yields,1967,2.131,E
320,Ratio between rainfed and irrigated yields,1972,2.131,E
321,Ratio between rainfed and irrigated yields,1977,2.131,E
322,Ratio between rainfed and irrigated yields,1982,2.131,E
323,Ratio between rainfed and irrigated yields,1987,2.131,E
324,Ratio between rainfed and irrigated yields,1992,2.131,E
325,Ratio between rainfed and irrigated yields,1997,2.131,E
326,Ratio between rainfed and irrigated yields,2002,2.131,E
327,Ratio between rainfed and irrigated yields,2007,2.131,I
328,Ratio between rainfed and irrigated yields,2012,2.131,E
329,Ratio between rainfed and irrigated yields,2017,2.131,I
330,Ratio between rainfed and irrigated yields,2018,2.131,I
331,Agricultural water withdrawal as % of total renewable water resources,1987,1.3696715584,E
332,Agricultural water withdrawal as % of total renewable water resources,1992,1.583346772,I
333,Agricultural water withdrawal as % of total renewable water resources,1997,1.7970219857,I
334,Agricultural water withdrawal as % of total renewable water resources,2002,1.9252271139,I
335,Agricultural water withdrawal as % of total renewable water resources,2007,1.9252271139,I
336,Agricultural water withdrawal as % of total renewable water resources,2012,1.9252271139,I
337,Agricultural water withdrawal as % of total renewable water resources,2017,1.9252271139,I
338,Agricultural water withdrawal as % of total renewable water resources,2018,1.9252271139,I
339,Agricultural water withdrawal,1987,3.92,E
340,Agricultural water withdrawal,1992,4.5315384615,I
341,Agricultural water withdrawal,1997,5.1430769231,I
342,Agricultural water withdrawal,2002,5.51,I
343,Agricultural water withdrawal,2007,5.51,I
344,Agricultural water withdrawal,2012,5.51,I
345,Agricultural water withdrawal,2017,5.51,I
346,Agricultural water withdrawal,2018,5.51,I
347,Irrigation water requirement,2007,1.695,I
348,Irrigation water requirement,2012,1.695,I
349,Irrigation water requirement,2017,1.695,I
350,Irrigation water requirement,2018,1.695,I
351,Irrigation water withdrawal,2007,5.798,I
352,Irrigation water withdrawal,2012,4.549,I
353,Irrigation water withdrawal,2017,4.549,I
354,Irrigation water withdrawal,2018,4.549,I
355,Municipal water withdrawal,1987,1.125,OF
356,Municipal water withdrawal,1992,1.9392307692,I
357,Municipal water withdrawal,1997,2.7534615385,I
358,Municipal water withdrawal,2002,3.5848,I
359,Municipal water withdrawal,2007,4.4594,I
360,Municipal water withdrawal,2012,5.0,I
361,Municipal water withdrawal,2017,5.0,I
362,Municipal water withdrawal,2018,5.0,I
363,Industrial water withdrawal,1987,0.545,OF
364,Industrial water withdrawal,1992,0.9330769231,I
365,Industrial water withdrawal,1997,1.3211538462,I
366,Industrial water withdrawal,2002,1.7184,I
367,Industrial water withdrawal,2007,1.965,I
368,Industrial water withdrawal,2012,1.965,I
369,Industrial water withdrawal,2017,1.965,I
370,Industrial water withdrawal,2018,1.965,I
371,Total water withdrawal,1987,5.59,E
372,Total water withdrawal,1992,7.4038461538,I
373,Total water withdrawal,1997,9.2176923077,I
374,Total water withdrawal,2002,10.8132,E
375,Total water withdrawal,2007,11.9344,E
376,Total water withdrawal,2012,12.475,I
377,Total water withdrawal,2017,12.475,I
378,Total water withdrawal,2018,12.475,I
379,Total freshwater withdrawal,1987,5.59,E
380,Total freshwater withdrawal,1992,7.4008461538,E
381,Total freshwater withdrawal,1997,9.2153846154,I
382,Total freshwater withdrawal,2002,10.8102,E
383,Total freshwater withdrawal,2007,11.9314,E
384,Total freshwater withdrawal,2012,12.472,E
385,Total freshwater withdrawal,2017,12.472,E
386,Total freshwater withdrawal,2018,12.472,E
387,Desalinated water produced,1992,0.003,I
388,Desalinated water produced,1997,0.003,I
389,Desalinated water produced,2002,0.003,I
390,Desalinated water produced,2007,0.003,I
391,Desalinated water produced,2012,0.003,I
392,Desalinated water produced,2017,0.003,I
393,Desalinated water produced,2018,0.003,I
406,SDG 6.4.2. Water Stress,1987,4.3333333333,E
407,SDG 6.4.2. Water Stress,1992,5.7370900417,E
408,SDG 6.4.2. Water Stress,1997,7.1437090042,E
409,SDG 6.4.2. Water Stress,2002,8.38,E
410,SDG 6.4.2. Water Stress,2007,9.2491472868,E
411,SDG 6.4.2. Water Stress,2012,9.6682170543,E
412,SDG 6.4.2. Water Stress,2017,9.6682170543,E
413,SDG 6.4.2. Water Stress,2018,9.6682170543,E
414,SDG 6.4.1. Water Use Efficiency,2002,12.7138555054,I
415,SDG 6.4.1. Water Use Efficiency,2007,19.4161752171,I
416,SDG 6.4.1. Water Use Efficiency,2010,23.6669585887,I
417,SDG 6.4.1. Water Use Efficiency,2017,30.8160380143,I
418,SDG 6.4.1. Water Use Efficiency,2018,31.2651523358,I
419,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.1717552115,E
420,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2007,0.1532867205,E
421,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2010,0.1193789996,E
422,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2017,0.2191090251,E
423,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2018,0.227130815,E
424,SDG 6.4.1. Industrial Water Use Efficiency,1987,71.8816930789,E
425,SDG 6.4.1. Industrial Water Use Efficiency,1992,63.4269114764,E
426,SDG 6.4.1. Industrial Water Use Efficiency,1997,43.9456763711,E
427,SDG 6.4.1. Industrial Water Use Efficiency,2002,28.8187874681,E
428,SDG 6.4.1. Industrial Water Use Efficiency,2007,37.8283825098,E
429,SDG 6.4.1. Industrial Water Use Efficiency,2010,49.0696761381,E
430,SDG 6.4.1. Industrial Water Use Efficiency,2017,53.9138867763,E
431,SDG 6.4.1. Industrial Water Use Efficiency,2018,63.3832477012,E
432,SDG 6.4.1. Services Water Use Efficiency,1987,52.8195037223,E
433,SDG 6.4.1. Services Water Use Efficiency,1992,34.9604027296,E
434,SDG 6.4.1. Services Water Use Efficiency,1997,22.1589905618,E
435,SDG 6.4.1. Services Water Use Efficiency,2002,24.2716153623,E
436,SDG 6.4.1. Services Water Use Efficiency,2007,35.1040543682,E
437,SDG 6.4.1. Services Water Use Efficiency,2010,39.6331232989,E
438,SDG 6.4.1. Services Water Use Efficiency,2017,55.4563991969,E
439,SDG 6.4.1. Services Water Use Efficiency,2018,52.846640573,E
440,Area salinized by irrigation,2002,100.0,I
441,Area salinized by irrigation,2007,100.0,I
442,Area salinized by irrigation,2012,100.0,I
443,Area salinized by irrigation,2017,100.0,I
444,Area salinized by irrigation,2018,100.0,I
445,Harvested irrigated temporary crop area: Wheat,1992,40.7,I
446,Harvested irrigated temporary crop area: Wheat,1997,25.2,I
447,Harvested irrigated temporary crop area: Wheat,2002,19.0,I
448,Harvested irrigated temporary crop area: Wheat,2007,19.0,I
449,Harvested irrigated temporary crop area: Wheat,2012,19.0,I
450,Harvested irrigated temporary crop area: Wheat,2017,19.0,I
451,Harvested irrigated temporary crop area: Wheat,2018,19.0,I
452,Harvested irrigated temporary crop area: Rice,1992,501.9,I
453,Harvested irrigated temporary crop area: Rice,1997,148.4,I
454,Harvested irrigated temporary crop area: Rice,2002,11.2,I
455,Harvested irrigated temporary crop area: Rice,2007,14.0,I
456,Harvested irrigated temporary crop area: Rice,2012,14.0,I
457,Harvested irrigated temporary crop area: Rice,2017,14.0,I
458,Harvested irrigated temporary crop area: Rice,2018,14.0,I
459,Harvested irrigated temporary crop area: Maize,1992,19.7,I
460,Harvested irrigated temporary crop area: Maize,1997,19.2,I
461,Harvested irrigated temporary crop area: Maize,2002,19.0,I
462,Harvested irrigated temporary crop area: Maize,2007,19.0,I
463,Harvested irrigated temporary crop area: Maize,2012,19.0,I
464,Harvested irrigated temporary crop area: Maize,2017,19.0,I
465,Harvested irrigated temporary crop area: Maize,2018,19.0,I
466,Harvested irrigated temporary crop area: Potatoes,1992,19.4,I
467,Harvested irrigated temporary crop area: Potatoes,1997,8.4,I
468,Harvested irrigated temporary crop area: Potatoes,2002,16.0,I
469,Harvested irrigated temporary crop area: Potatoes,2007,24.0,I
470,Harvested irrigated temporary crop area: Potatoes,2012,24.0,I
471,Harvested irrigated temporary crop area: Potatoes,2017,24.0,I
472,Harvested irrigated temporary crop area: Potatoes,2018,24.0,I
473,Harvested irrigated temporary crop area: Sugarcane,2002,22.6,I
474,Harvested irrigated temporary crop area: Sugarcane,2007,25.0,I
475,Harvested irrigated temporary crop area: Sugarcane,2012,25.0,I
476,Harvested irrigated temporary crop area: Sugarcane,2017,25.0,I
477,Harvested irrigated temporary crop area: Sugarcane,2018,25.0,I
478,Harvested irrigated temporary crop area: Vegetables,1992,115.1,I
479,Harvested irrigated temporary crop area: Vegetables,1997,78.6,I
480,Harvested irrigated temporary crop area: Vegetables,2002,95.8,I
481,Harvested irrigated temporary crop area: Vegetables,2007,117.0,I
482,Harvested irrigated temporary crop area: Vegetables,2012,117.0,I
483,Harvested irrigated temporary crop area: Vegetables,2017,117.0,I
484,Harvested irrigated temporary crop area: Vegetables,2018,117.0,I
485,Harvested irrigated temporary crop area: Cotton,2002,8.0,I
486,Harvested irrigated temporary crop area: Cotton,2007,8.0,I
487,Harvested irrigated temporary crop area: Cotton,2012,8.0,I
488,Harvested irrigated temporary crop area: Cotton,2017,8.0,I
489,Harvested irrigated temporary crop area: Cotton,2018,8.0,I
490,Harvested irrigated temporary crop area: Other crops,1992,9.3,I
491,Harvested irrigated temporary crop area: Other crops,1997,19.8,I
492,Harvested irrigated temporary crop area: Other crops,2002,24.0,I
493,Harvested irrigated temporary crop area: Other crops,2007,24.0,I
494,Harvested irrigated temporary crop area: Other crops,2012,24.0,I
495,Harvested irrigated temporary crop area: Other crops,2017,24.0,I
496,Harvested irrigated temporary crop area: Other crops,2018,24.0,I
