United States of America,Variable Name,Year,Value,Symbol
167,Groundwater: leaving the country to other countries (total),1967,0.0,OF
168,Groundwater: leaving the country to other countries (total),1972,0.0,OF
169,Groundwater: leaving the country to other countries (total),1977,0.0,OF
170,Groundwater: leaving the country to other countries (total),1982,0.0,OF
171,Groundwater: leaving the country to other countries (total),1987,0.0,OF
172,Groundwater: leaving the country to other countries (total),1992,0.0,OF
173,Groundwater: leaving the country to other countries (total),1997,0.0,OF
174,Groundwater: leaving the country to other countries (total),2002,0.0,OF
175,Groundwater: leaving the country to other countries (total),2007,0.0,OF
176,Groundwater: leaving the country to other countries (total),2012,0.0,OF
177,Groundwater: leaving the country to other countries (total),2017,0.0,OF
178,Dependency ratio,1962,8.1785597915,E
179,Dependency ratio,1967,8.1785597915,E
180,Dependency ratio,1972,8.1785597915,E
181,Dependency ratio,1977,8.1785597915,E
182,Dependency ratio,1982,8.1785597915,E
183,Dependency ratio,1987,8.1785597915,E
184,Dependency ratio,1992,8.1785597915,E
185,Dependency ratio,1997,8.1785597915,E
186,Dependency ratio,2002,8.1785597915,E
187,Dependency ratio,2007,8.1785597915,E
188,Dependency ratio,2012,8.1785597915,E
189,Dependency ratio,2017,8.1785597915,E
190,Dependency ratio,2018,8.1785597915,E
191,Total internal renewable water resources (IRWR),1962,2818.0,E
192,Total internal renewable water resources (IRWR),1967,2818.0,E
193,Total internal renewable water resources (IRWR),1972,2818.0,E
194,Total internal renewable water resources (IRWR),1977,2818.0,E
195,Total internal renewable water resources (IRWR),1982,2818.0,E
196,Total internal renewable water resources (IRWR),1987,2818.0,E
197,Total internal renewable water resources (IRWR),1992,2818.0,E
198,Total internal renewable water resources (IRWR),1997,2818.0,E
199,Total internal renewable water resources (IRWR),2002,2818.0,E
200,Total internal renewable water resources (IRWR),2007,2818.0,E
201,Total internal renewable water resources (IRWR),2012,2818.0,E
202,Total internal renewable water resources (IRWR),2017,2818.0,E
203,Total internal renewable water resources (IRWR),2018,2818.0,E
204,Total internal renewable water resources per capita,1962,14653.1387309153,E
205,Total internal renewable water resources per capita,1967,13820.1559274541,E
206,Total internal renewable water resources per capita,1972,13213.3099649992,E
207,Total internal renewable water resources per capita,1977,12629.0883407553,E
208,Total internal renewable water resources per capita,1982,12051.9107701503,E
209,Total internal renewable water resources per capita,1987,11499.5630594517,E
210,Total internal renewable water resources per capita,1992,10965.3810584903,E
211,Total internal renewable water resources per capita,1997,10371.2130603972,E
212,Total internal renewable water resources per capita,2002,9809.268622672,E
213,Total internal renewable water resources per capita,2007,9374.3213035454,E
214,Total internal renewable water resources per capita,2012,8973.2681787452,E
215,Total internal renewable water resources per capita,2017,8668.5085904182,E
216,Total internal renewable water resources per capita,2018,8615.2007880616,E
217,Total renewable surface water,1962,2913.0,E
218,Total renewable surface water,1967,2913.0,E
219,Total renewable surface water,1972,2913.0,E
220,Total renewable surface water,1977,2913.0,E
221,Total renewable surface water,1982,2913.0,E
222,Total renewable surface water,1987,2913.0,E
223,Total renewable surface water,1992,2913.0,E
224,Total renewable surface water,1997,2913.0,E
225,Total renewable surface water,2002,2913.0,E
226,Total renewable surface water,2007,2913.0,E
227,Total renewable surface water,2012,2913.0,E
228,Total renewable surface water,2017,2913.0,E
229,Total renewable surface water,2018,2913.0,E
230,Total renewable groundwater,1962,1383.0,E
231,Total renewable groundwater,1967,1383.0,E
232,Total renewable groundwater,1972,1383.0,E
233,Total renewable groundwater,1977,1383.0,E
234,Total renewable groundwater,1982,1383.0,E
235,Total renewable groundwater,1987,1383.0,E
236,Total renewable groundwater,1992,1383.0,E
237,Total renewable groundwater,1997,1383.0,E
238,Total renewable groundwater,2002,1383.0,E
239,Total renewable groundwater,2007,1383.0,E
240,Total renewable groundwater,2012,1383.0,E
241,Total renewable groundwater,2017,1383.0,E
242,Total renewable groundwater,2018,1383.0,E
243,Total exploitable water resources,1962,1829.0,E
244,Total exploitable water resources,1967,1829.0,E
245,Total exploitable water resources,1972,1829.0,E
246,Total exploitable water resources,1977,1829.0,E
247,Total exploitable water resources,1982,1829.0,E
248,Total exploitable water resources,1987,1829.0,E
249,Total exploitable water resources,1992,1829.0,E
250,Total exploitable water resources,1997,1829.0,E
251,Total exploitable water resources,2002,1829.0,E
252,Total exploitable water resources,2007,1829.0,E
253,Total exploitable water resources,2012,1829.0,E
254,Water resources: total external renewable,1962,251.0,E
255,Water resources: total external renewable,1967,251.0,E
256,Water resources: total external renewable,1972,251.0,E
257,Water resources: total external renewable,1977,251.0,E
258,Water resources: total external renewable,1982,251.0,E
259,Water resources: total external renewable,1987,251.0,E
260,Water resources: total external renewable,1992,251.0,E
261,Water resources: total external renewable,1997,251.0,E
262,Water resources: total external renewable,2002,251.0,E
263,Water resources: total external renewable,2007,251.0,E
264,Water resources: total external renewable,2012,251.0,E
265,Water resources: total external renewable,2017,251.0,E
266,Water resources: total external renewable,2018,251.0,E
267,Total renewable water resources,1962,3069.0,E
268,Total renewable water resources,1967,3069.0,E
269,Total renewable water resources,1972,3069.0,E
270,Total renewable water resources,1977,3069.0,E
271,Total renewable water resources,1982,3069.0,E
272,Total renewable water resources,1987,3069.0,E
273,Total renewable water resources,1992,3069.0,E
274,Total renewable water resources,1997,3069.0,E
275,Total renewable water resources,2002,3069.0,E
276,Total renewable water resources,2007,3069.0,E
277,Total renewable water resources,2012,3069.0,E
278,Total renewable water resources,2017,3069.0,E
279,Total renewable water resources,2018,3069.0,E
280,Total renewable water resources per capita,1962,15958.2976455568,E
281,Total renewable water resources per capita,1967,15051.120845052,E
282,Total renewable water resources per capita,1972,14390.222953365,E
283,Total renewable water resources per capita,1977,13753.9645556345,E
284,Total renewable water resources per capita,1982,13125.3776272503,E
285,Total renewable water resources per capita,1987,12523.8321609145,E
286,Total renewable water resources per capita,1992,11942.0704288526,E
287,Total renewable water resources per capita,1997,11294.9797311423,E
288,Total renewable water resources per capita,2002,10682.9827547836,E
289,Total renewable water resources per capita,2007,10209.2945637263,E
290,Total renewable water resources per capita,2012,9772.5195317846,E
291,Total renewable water resources per capita,2017,9440.6149268962,E
292,Total renewable water resources per capita,2018,9382.5589845852,E
293,Total agricultural water managed area,1967,15504.2,I
294,Total agricultural water managed area,1972,16351.2,I
295,Total agricultural water managed area,1977,20514.25,I
296,Total agricultural water managed area,1982,26888.0,E
297,Total agricultural water managed area,1987,26667.0,E
298,Total agricultural water managed area,1992,27012.0,E
299,Total agricultural water managed area,1997,27070.0,E
300,Total agricultural water managed area,2002,26937.0,E
301,Total agricultural water managed area,2007,26916.8,E
302,Total agricultural water managed area,2012,26708.0,E
303,Total agricultural water managed area,2017,26708.0,I
304,Total agricultural water managed area,2018,26708.0,I
305,Area equipped for irrigation: total,1967,15504.2,I
306,Area equipped for irrigation: total,1972,16351.2,I
307,Area equipped for irrigation: total,1977,20514.25,I
308,Area equipped for irrigation: total,1982,26888.0,E
309,Area equipped for irrigation: total,1987,26667.0,E
310,Area equipped for irrigation: total,1992,27012.0,E
311,Area equipped for irrigation: total,1997,27070.0,E
312,Area equipped for irrigation: total,2002,26937.0,E
313,Area equipped for irrigation: total,2007,26916.8,E
314,Area equipped for irrigation: total,2012,26708.0,E
315,Area equipped for irrigation: total,2017,26708.0,I
316,Area equipped for irrigation: total,2018,26708.0,I
317,% of agricultural GVA produced by irrigated agriculture,1997,18.6091925074,E
318,% of agricultural GVA produced by irrigated agriculture,2002,18.7336805349,E
319,% of agricultural GVA produced by irrigated agriculture,2007,20.3480303009,E
320,% of agricultural GVA produced by irrigated agriculture,2012,20.8800560858,E
321,% of agricultural GVA produced by irrigated agriculture,2017,21.3020611874,E
322,% of agricultural GVA produced by irrigated agriculture,2018,20.7024718114,E
323,Ratio between rainfed and irrigated yields,1962,1.579,E
324,Ratio between rainfed and irrigated yields,1967,1.579,E
325,Ratio between rainfed and irrigated yields,1972,1.579,E
326,Ratio between rainfed and irrigated yields,1977,1.579,E
327,Ratio between rainfed and irrigated yields,1982,1.579,E
328,Ratio between rainfed and irrigated yields,1987,1.579,E
329,Ratio between rainfed and irrigated yields,1992,1.579,E
330,Ratio between rainfed and irrigated yields,1997,1.579,E
331,Ratio between rainfed and irrigated yields,2002,1.579,E
332,Ratio between rainfed and irrigated yields,2007,1.579,I
333,Ratio between rainfed and irrigated yields,2012,1.579,E
334,Ratio between rainfed and irrigated yields,2017,1.579,I
335,Ratio between rainfed and irrigated yields,2018,1.579,I
336,Agricultural water withdrawal as % of total renewable water resources,1972,3.3867709352,I
337,Agricultural water withdrawal as % of total renewable water resources,1977,3.6774193548,I
338,Agricultural water withdrawal as % of total renewable water resources,1982,4.505168992,I
339,Agricultural water withdrawal as % of total renewable water resources,1987,5.6544921354,I
340,Agricultural water withdrawal as % of total renewable water resources,1992,6.3558162268,I
341,Agricultural water withdrawal as % of total renewable water resources,1997,6.38514174,I
342,Agricultural water withdrawal as % of total renewable water resources,2002,6.3427826654,I
343,Agricultural water withdrawal as % of total renewable water resources,2007,6.0338872597,I
344,Agricultural water withdrawal as % of total renewable water resources,2012,5.7197784295,I
345,Agricultural water withdrawal as % of total renewable water resources,2017,5.7412838058,I
346,Agricultural water withdrawal as % of total renewable water resources,2018,5.7412838058,I
347,Agricultural water withdrawal,1972,103.94,I
348,Agricultural water withdrawal,1977,112.86,I
349,Agricultural water withdrawal,1982,138.2636363636,I
350,Agricultural water withdrawal,1987,173.5363636364,I
351,Agricultural water withdrawal,1992,195.06,I
352,Agricultural water withdrawal,1997,195.96,I
353,Agricultural water withdrawal,2002,194.66,I
354,Agricultural water withdrawal,2007,185.18,I
355,Agricultural water withdrawal,2012,175.54,I
356,Agricultural water withdrawal,2017,176.2,I
357,Agricultural water withdrawal,2018,176.2,I
358,Irrigation water requirement,2012,108.5,I
359,Irrigation water requirement,2017,108.5,I
360,Irrigation water requirement,2018,108.5,I
361,Irrigation water withdrawal,1992,188.62,I
362,Irrigation water withdrawal,1997,188.92,I
363,Irrigation water withdrawal,2002,184.18,I
364,Irrigation water withdrawal,2007,169.8,I
365,Irrigation water withdrawal,2012,160.78,I
366,Irrigation water withdrawal,2017,163.0,I
367,Irrigation water withdrawal,2018,163.0,I
368,Municipal water withdrawal,1992,61.336,I
369,Municipal water withdrawal,1997,63.001,I
370,Municipal water withdrawal,2002,64.576,I
371,Municipal water withdrawal,2007,64.1,I
372,Municipal water withdrawal,2012,60.61,I
373,Municipal water withdrawal,2017,58.39,I
374,Municipal water withdrawal,2018,58.39,I
375,Industrial water withdrawal,1992,302.88,I
376,Industrial water withdrawal,1997,300.33,I
377,Industrial water withdrawal,2002,301.32,I
378,Industrial water withdrawal,2007,282.42,I
379,Industrial water withdrawal,2012,232.92,I
380,Industrial water withdrawal,2017,209.7,I
381,Industrial water withdrawal,2018,209.7,I
382,Total water withdrawal,1982,526.014,I
383,Total water withdrawal,1987,546.799,I
384,Total water withdrawal,1992,559.276,I
385,Total water withdrawal,1997,559.291,I
386,Total water withdrawal,2002,560.556,I
387,Total water withdrawal,2007,531.7,I
388,Total water withdrawal,2012,469.07,I
389,Total water withdrawal,2017,444.29,I
390,Total water withdrawal,2018,444.29,I
391,Fresh surface water withdrawal,1982,393.2,I
392,Fresh surface water withdrawal,1987,369.7,I
393,Fresh surface water withdrawal,1992,356.2,I
394,Fresh surface water withdrawal,1997,357.7,I
395,Fresh surface water withdrawal,2002,362.72,I
396,Fresh surface water withdrawal,2007,346.9,I
397,Fresh surface water withdrawal,2012,321.5739441127,I
398,Fresh surface water withdrawal,2017,333.0848602818,I
399,Fresh surface water withdrawal,2018,333.0848602818,I
400,Fresh groundwater withdrawal,1982,113.9,I
401,Fresh groundwater withdrawal,1987,111.15,I
402,Fresh groundwater withdrawal,1992,110.6,I
403,Fresh groundwater withdrawal,1997,113.35,I
404,Fresh groundwater withdrawal,2002,112.88,I
405,Fresh groundwater withdrawal,2007,107.78,I
406,Fresh groundwater withdrawal,2012,107.4645005971,I
407,Fresh groundwater withdrawal,2017,111.3112514927,I
408,Fresh groundwater withdrawal,2018,111.3112514927,I
409,Total freshwater withdrawal,1982,507.1,I
410,Total freshwater withdrawal,1987,480.85,I
411,Total freshwater withdrawal,1992,466.8,E
412,Total freshwater withdrawal,1997,471.05,E
413,Total freshwater withdrawal,2002,475.6,E
414,Total freshwater withdrawal,2007,454.68,E
415,Total freshwater withdrawal,2012,429.0384447098,E
416,Total freshwater withdrawal,2017,444.3961117745,E
417,Total freshwater withdrawal,2018,444.3961117745,E
418,Desalinated water produced,1982,0.138,I
419,Desalinated water produced,1987,0.3148,I
420,Desalinated water produced,1992,0.58,I
421,Desalinated water produced,1997,0.58,I
422,Desalinated water produced,2002,0.58,I
423,Desalinated water produced,2007,0.58,I
424,Desalinated water produced,2012,0.58,I
425,Desalinated water produced,2017,0.58,I
426,Desalinated water produced,2018,0.58,I
427,Direct use of treated municipal wastewater,1992,1.3184,I
428,Direct use of treated municipal wastewater,1997,1.6485714286,I
429,Direct use of treated municipal wastewater,2002,2.345,OF
430,Direct use of treated municipal wastewater,2007,2.7025,I
431,Direct use of treated municipal wastewater,2012,2.774,I
432,Direct use of treated municipal wastewater,2017,2.774,I
433,Direct use of treated municipal wastewater,2018,2.774,I
434,Produced municipal wastewater,2012,60.41,I
435,Produced municipal wastewater,2017,60.41,I
436,Produced municipal wastewater,2018,60.41,I
437,Collected municipal wastewater,2012,47.24,I
438,Collected municipal wastewater,2017,47.24,I
439,Collected municipal wastewater,2018,47.24,I
440,Not treated municipal wastewater,2012,15.72,I
441,Not treated municipal wastewater,2017,15.72,I
442,Not treated municipal wastewater,2018,15.72,I
443,Treated municipal wastewater,1987,39.0,I
444,Treated municipal wastewater,1992,40.8,
445,Treated municipal wastewater,1997,45.43,I
446,Treated municipal wastewater,2002,47.36,I
447,Treated municipal wastewater,2007,45.1425,I
448,Treated municipal wastewater,2011,45.185,I
449,Treated municipal wastewater,2017,45.35,I
450,Treated municipal wastewater,2018,45.35,I
451,Treated municipal wastewater discharged (secondary water),1992,47.9555555556,I
452,Treated municipal wastewater discharged (secondary water),1997,46.0694444444,I
453,Treated municipal wastewater discharged (secondary water),2002,44.1833333333,I
454,Treated municipal wastewater discharged (secondary water),2007,42.2972222222,I
455,Treated municipal wastewater discharged (secondary water),2012,41.92,I
456,Treated municipal wastewater discharged (secondary water),2017,41.92,I
457,Treated municipal wastewater discharged (secondary water),2018,41.92,I
470,SDG 6.4.2. Water Stress,1982,32.1356147022,E
471,SDG 6.4.2. Water Stress,1987,30.4721166033,E
472,SDG 6.4.2. Water Stress,1992,29.5817490494,E
473,SDG 6.4.2. Water Stress,1997,29.8510773131,E
474,SDG 6.4.2. Water Stress,2002,30.1394169835,E
475,SDG 6.4.2. Water Stress,2007,28.8136882129,E
476,SDG 6.4.2. Water Stress,2012,27.1887480805,E
477,SDG 6.4.2. Water Stress,2017,28.1619842696,E
478,SDG 6.4.2. Water Stress,2018,28.1619842696,E
479,SDG 6.4.1. Water Use Efficiency,2015,40.6973096832,I
480,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.212302606,E
481,SDG 6.4.1. Industrial Water Use Efficiency,2015,14.6971864568,E
482,SDG 6.4.1. Services Water Use Efficiency,2015,256.2425072786,E
483,Area salinized by irrigation,1987,4200.0,OF
484,Area salinized by irrigation,1992,4200.0,I
485,Area salinized by irrigation,1997,4200.0,I
486,Area salinized by irrigation,2002,4200.0,I
487,Area salinized by irrigation,2007,4200.0,I
488,Area salinized by irrigation,2012,4200.0,I
489,Area salinized by irrigation,2017,4200.0,I
490,Area salinized by irrigation,2018,4200.0,I
491,Harvested irrigated temporary crop area: Wheat,2012,1662.0,I
492,Harvested irrigated temporary crop area: Wheat,2017,1662.0,I
493,Harvested irrigated temporary crop area: Wheat,2018,1662.0,I
494,Harvested irrigated temporary crop area: Rice,2012,1085.0,I
495,Harvested irrigated temporary crop area: Rice,2017,1085.0,I
496,Harvested irrigated temporary crop area: Rice,2018,1085.0,I
497,Harvested irrigated temporary crop area: Barley,2012,307.8,I
498,Harvested irrigated temporary crop area: Barley,2017,307.8,I
499,Harvested irrigated temporary crop area: Barley,2018,307.8,I
500,Harvested irrigated temporary crop area: Maize,2012,4831.0,I
501,Harvested irrigated temporary crop area: Maize,2017,4831.0,I
502,Harvested irrigated temporary crop area: Maize,2018,4831.0,I
503,Harvested irrigated temporary crop area: Sorghum,2012,420.5,I
504,Harvested irrigated temporary crop area: Sorghum,2017,420.5,I
505,Harvested irrigated temporary crop area: Sorghum,2018,420.5,I
506,Harvested irrigated temporary crop area: Other cereals,2012,138.3,I
507,Harvested irrigated temporary crop area: Other cereals,2017,138.3,I
508,Harvested irrigated temporary crop area: Other cereals,2018,138.3,I
509,Harvested irrigated temporary crop area: Potatoes,2012,386.9,I
510,Harvested irrigated temporary crop area: Potatoes,2017,386.9,I
511,Harvested irrigated temporary crop area: Potatoes,2018,386.9,I
512,Harvested irrigated temporary crop area: Sugar beet,2012,154.7,I
513,Harvested irrigated temporary crop area: Sugar beet,2017,154.7,I
514,Harvested irrigated temporary crop area: Sugar beet,2018,154.7,I
515,Harvested irrigated temporary crop area: Leguminous crops,2012,173.8,I
516,Harvested irrigated temporary crop area: Leguminous crops,2017,173.8,I
517,Harvested irrigated temporary crop area: Leguminous crops,2018,173.8,I
518,Harvested irrigated temporary crop area: Vegetables,2012,1594.0,I
519,Harvested irrigated temporary crop area: Vegetables,2017,1594.0,I
520,Harvested irrigated temporary crop area: Vegetables,2018,1594.0,I
521,Harvested irrigated temporary crop area: Tobacco,2012,9.351,I
522,Harvested irrigated temporary crop area: Tobacco,2017,9.351,I
523,Harvested irrigated temporary crop area: Tobacco,2018,9.351,I
524,Harvested irrigated temporary crop area: Cotton,2012,1264.0,I
525,Harvested irrigated temporary crop area: Cotton,2017,1264.0,I
526,Harvested irrigated temporary crop area: Cotton,2018,1264.0,I
527,Harvested irrigated temporary crop area: Fodder,2012,4520.0,I
528,Harvested irrigated temporary crop area: Fodder,2017,4520.0,I
529,Harvested irrigated temporary crop area: Fodder,2018,4520.0,I
530,Harvested irrigated temporary crop area: Soybeans,2012,2850.0,I
531,Harvested irrigated temporary crop area: Soybeans,2017,2850.0,I
532,Harvested irrigated temporary crop area: Soybeans,2018,2850.0,I
533,Harvested irrigated temporary crop area: Groundnuts,2012,216.5,I
534,Harvested irrigated temporary crop area: Groundnuts,2017,216.5,I
535,Harvested irrigated temporary crop area: Groundnuts,2018,216.5,I
536,Harvested irrigated temporary crop area: Other crops,2012,601.1,I
537,Harvested irrigated temporary crop area: Other crops,2017,601.1,I
538,Harvested irrigated temporary crop area: Other crops,2018,601.1,I
