Gabon,Variable Name,Year,Value,Symbol
158,Surface water: leaving the country to other countries (total),1987,0.0,
159,Surface water: leaving the country to other countries (total),1992,0.0,
160,Surface water: leaving the country to other countries (total),1997,0.0,
161,Surface water: leaving the country to other countries (total),2002,0.0,
162,Surface water: leaving the country to other countries (total),2007,0.0,
163,Surface water: leaving the country to other countries (total),2012,0.0,
164,Surface water: leaving the country to other countries (total),2017,0.0,OF
165,Groundwater: entering the country (total),1962,0.0,E
166,Groundwater: entering the country (total),1967,0.0,E
167,Groundwater: entering the country (total),1972,0.0,E
168,Groundwater: entering the country (total),1977,0.0,E
169,Groundwater: entering the country (total),1982,0.0,E
170,Groundwater: entering the country (total),1987,0.0,E
171,Groundwater: entering the country (total),1992,0.0,E
172,Groundwater: entering the country (total),1997,0.0,E
173,Groundwater: entering the country (total),2002,0.0,E
174,Groundwater: entering the country (total),2007,0.0,E
175,Groundwater: entering the country (total),2012,0.0,E
176,Groundwater: entering the country (total),2017,0.0,E
177,Groundwater: leaving the country to other countries (total),1962,0.0,OF
178,Groundwater: leaving the country to other countries (total),1967,0.0,OF
179,Groundwater: leaving the country to other countries (total),1972,0.0,OF
180,Groundwater: leaving the country to other countries (total),1977,0.0,OF
181,Groundwater: leaving the country to other countries (total),1982,0.0,OF
182,Groundwater: leaving the country to other countries (total),1987,0.0,OF
183,Groundwater: leaving the country to other countries (total),1992,0.0,OF
184,Groundwater: leaving the country to other countries (total),1997,0.0,OF
185,Groundwater: leaving the country to other countries (total),2002,0.0,OF
186,Groundwater: leaving the country to other countries (total),2007,0.0,OF
187,Groundwater: leaving the country to other countries (total),2012,0.0,OF
188,Groundwater: leaving the country to other countries (total),2017,0.0,OF
189,Dependency ratio,1962,1.2048192771,E
190,Dependency ratio,1967,1.2048192771,E
191,Dependency ratio,1972,1.2048192771,E
192,Dependency ratio,1977,1.2048192771,E
193,Dependency ratio,1982,1.2048192771,E
194,Dependency ratio,1987,1.2048192771,E
195,Dependency ratio,1992,1.2048192771,E
196,Dependency ratio,1997,1.2048192771,E
197,Dependency ratio,2002,1.2048192771,E
198,Dependency ratio,2007,1.2048192771,E
199,Dependency ratio,2012,1.2048192771,E
200,Dependency ratio,2017,1.2048192771,E
201,Dependency ratio,2018,1.2048192771,E
202,Total internal renewable water resources (IRWR),1962,164.0,E
203,Total internal renewable water resources (IRWR),1967,164.0,E
204,Total internal renewable water resources (IRWR),1972,164.0,E
205,Total internal renewable water resources (IRWR),1977,164.0,E
206,Total internal renewable water resources (IRWR),1982,164.0,E
207,Total internal renewable water resources (IRWR),1987,164.0,E
208,Total internal renewable water resources (IRWR),1992,164.0,E
209,Total internal renewable water resources (IRWR),1997,164.0,E
210,Total internal renewable water resources (IRWR),2002,164.0,E
211,Total internal renewable water resources (IRWR),2007,164.0,E
212,Total internal renewable water resources (IRWR),2012,164.0,E
213,Total internal renewable water resources (IRWR),2017,164.0,E
214,Total internal renewable water resources (IRWR),2018,164.0,E
215,Total internal renewable water resources per capita,1962,320759.182220553,E
216,Total internal renewable water resources per capita,1967,295997.357682124,E
217,Total internal renewable water resources per capita,1972,268103.52719616,E
218,Total internal renewable water resources per capita,1977,242512.070151052,E
219,Total internal renewable water resources per capita,1982,214679.355438326,E
220,Total internal renewable water resources per capita,1987,187671.579313557,E
221,Total internal renewable water resources per capita,1992,163578.131997578,E
222,Total internal renewable water resources per capita,1997,143691.001263429,E
223,Total internal renewable water resources per capita,2002,127298.059868899,E
224,Total internal renewable water resources per capita,2007,111369.539751795,E
225,Total internal renewable water resources per capita,2012,93731.3180337913,E
226,Total internal renewable water resources per capita,2017,79425.6941151857,E
227,Total internal renewable water resources per capita,2018,77384.9547604723,E
228,Total renewable surface water,1962,164.0,E
229,Total renewable surface water,1967,164.0,E
230,Total renewable surface water,1972,164.0,E
231,Total renewable surface water,1977,164.0,E
232,Total renewable surface water,1982,164.0,E
233,Total renewable surface water,1987,164.0,E
234,Total renewable surface water,1992,164.0,E
235,Total renewable surface water,1997,164.0,E
236,Total renewable surface water,2002,164.0,E
237,Total renewable surface water,2007,164.0,E
238,Total renewable surface water,2012,164.0,E
239,Total renewable surface water,2017,164.0,E
240,Total renewable surface water,2018,164.0,E
241,Total renewable groundwater,1962,62.0,E
242,Total renewable groundwater,1967,62.0,E
243,Total renewable groundwater,1972,62.0,E
244,Total renewable groundwater,1977,62.0,E
245,Total renewable groundwater,1982,62.0,E
246,Total renewable groundwater,1987,62.0,E
247,Total renewable groundwater,1992,62.0,E
248,Total renewable groundwater,1997,62.0,E
249,Total renewable groundwater,2002,62.0,E
250,Total renewable groundwater,2007,62.0,E
251,Total renewable groundwater,2012,62.0,E
252,Total renewable groundwater,2017,62.0,E
253,Total renewable groundwater,2018,62.0,E
254,Water resources: total external renewable,1962,2.0,E
255,Water resources: total external renewable,1967,2.0,E
256,Water resources: total external renewable,1972,2.0,E
257,Water resources: total external renewable,1977,2.0,E
258,Water resources: total external renewable,1982,2.0,E
259,Water resources: total external renewable,1987,2.0,E
260,Water resources: total external renewable,1992,2.0,E
261,Water resources: total external renewable,1997,2.0,E
262,Water resources: total external renewable,2002,2.0,E
263,Water resources: total external renewable,2007,2.0,E
264,Water resources: total external renewable,2012,2.0,E
265,Water resources: total external renewable,2017,2.0,E
266,Water resources: total external renewable,2018,2.0,E
267,Total renewable water resources,1962,166.0,E
268,Total renewable water resources,1967,166.0,E
269,Total renewable water resources,1972,166.0,E
270,Total renewable water resources,1977,166.0,E
271,Total renewable water resources,1982,166.0,E
272,Total renewable water resources,1987,166.0,E
273,Total renewable water resources,1992,166.0,E
274,Total renewable water resources,1997,166.0,E
275,Total renewable water resources,2002,166.0,E
276,Total renewable water resources,2007,166.0,E
277,Total renewable water resources,2012,166.0,E
278,Total renewable water resources,2017,166.0,E
279,Total renewable water resources,2018,166.0,E
280,Total renewable water resources per capita,1962,324670.879564706,E
281,Total renewable water resources per capita,1967,299607.081556296,E
282,Total renewable water resources per capita,1972,271373.082405869,E
283,Total renewable water resources per capita,1977,245469.534421187,E
284,Total renewable water resources per capita,1982,217297.396358305,E
285,Total renewable water resources per capita,1987,189960.257110064,E
286,Total renewable water resources per capita,1992,165572.987265841,E
287,Total renewable water resources per capita,1997,145443.33054713,E
288,Total renewable water resources per capita,2002,128850.475233153,E
289,Total renewable water resources per capita,2007,112727.70487072,E
290,Total renewable water resources per capita,2012,94874.3828878619,E
291,Total renewable water resources per capita,2017,80394.3001409806,E
292,Total renewable water resources per capita,2018,78328.6737209659,E
293,Total agricultural water managed area,1987,4.45,E
294,Total agricultural water managed area,1992,4.45,I
295,Total agricultural water managed area,1997,4.45,I
296,Total agricultural water managed area,2002,4.45,I
297,Total agricultural water managed area,2007,4.45,I
298,Total agricultural water managed area,2012,4.45,I
299,Total agricultural water managed area,2017,4.45,I
300,Total agricultural water managed area,2018,4.45,I
301,Area equipped for irrigation: total,1987,4.45,E
302,Area equipped for irrigation: total,1992,4.45,I
303,Area equipped for irrigation: total,1997,4.45,I
304,Area equipped for irrigation: total,2002,4.45,I
305,Area equipped for irrigation: total,2007,4.45,I
306,Area equipped for irrigation: total,2012,4.45,I
307,Area equipped for irrigation: total,2017,4.45,I
308,Area equipped for irrigation: total,2018,4.45,I
309,% of agricultural GVA produced by irrigated agriculture,1987,1.3419522544,E
310,% of agricultural GVA produced by irrigated agriculture,1992,1.3186967439,E
311,% of agricultural GVA produced by irrigated agriculture,1997,1.2257630111,E
312,% of agricultural GVA produced by irrigated agriculture,2002,1.2257630111,E
313,% of agricultural GVA produced by irrigated agriculture,2007,1.2257630111,E
314,% of agricultural GVA produced by irrigated agriculture,2012,1.2257630111,E
315,% of agricultural GVA produced by irrigated agriculture,2017,1.2257630111,E
316,% of agricultural GVA produced by irrigated agriculture,2018,1.2257630111,E
317,Ratio between rainfed and irrigated yields,1962,1.368,E
318,Ratio between rainfed and irrigated yields,1967,1.368,E
319,Ratio between rainfed and irrigated yields,1972,1.368,E
320,Ratio between rainfed and irrigated yields,1977,1.368,E
321,Ratio between rainfed and irrigated yields,1982,1.368,E
322,Ratio between rainfed and irrigated yields,1987,1.368,E
323,Ratio between rainfed and irrigated yields,1992,1.368,E
324,Ratio between rainfed and irrigated yields,1997,1.368,E
325,Ratio between rainfed and irrigated yields,2002,1.368,E
326,Ratio between rainfed and irrigated yields,2007,1.368,I
327,Ratio between rainfed and irrigated yields,2012,1.368,E
328,Ratio between rainfed and irrigated yields,2017,1.368,I
329,Ratio between rainfed and irrigated yields,2018,1.368,I
330,Agricultural water withdrawal as % of total renewable water resources,1987,0.0021686747,E
331,Agricultural water withdrawal as % of total renewable water resources,1992,0.0106719184,I
332,Agricultural water withdrawal as % of total renewable water resources,1997,0.0191751622,I
333,Agricultural water withdrawal as % of total renewable water resources,2002,0.0242771084,I
334,Agricultural water withdrawal as % of total renewable water resources,2007,0.0242771084,I
335,Agricultural water withdrawal as % of total renewable water resources,2012,0.0242771084,I
336,Agricultural water withdrawal as % of total renewable water resources,2017,0.0242771084,I
337,Agricultural water withdrawal as % of total renewable water resources,2018,0.0242771084,I
338,Agricultural water withdrawal,1987,0.0036,OF
339,Agricultural water withdrawal,1992,0.0177153846,I
340,Agricultural water withdrawal,1997,0.0318307692,I
341,Agricultural water withdrawal,2002,0.0403,I
342,Agricultural water withdrawal,2007,0.0403,I
343,Agricultural water withdrawal,2012,0.0403,I
344,Agricultural water withdrawal,2017,0.0403,I
345,Agricultural water withdrawal,2018,0.0403,I
346,Irrigation water requirement,2002,0.011,I
347,Irrigation water requirement,2007,0.011,I
348,Irrigation water requirement,2012,0.011,I
349,Irrigation water requirement,2017,0.011,I
350,Irrigation water requirement,2018,0.011,I
351,Irrigation water withdrawal,2002,0.0403,I
352,Irrigation water withdrawal,2007,0.0403,I
353,Irrigation water withdrawal,2012,0.0403,I
354,Irrigation water withdrawal,2017,0.0403,I
355,Irrigation water withdrawal,2018,0.0403,I
356,Municipal water withdrawal,1987,0.0432,OF
357,Municipal water withdrawal,1992,0.0529692308,I
358,Municipal water withdrawal,1997,0.0627384615,I
359,Municipal water withdrawal,2002,0.07504,I
360,Municipal water withdrawal,2007,0.0847,I
361,Municipal water withdrawal,2012,0.0847,I
362,Municipal water withdrawal,2017,0.0847,I
363,Municipal water withdrawal,2018,0.0847,I
364,Industrial water withdrawal,1987,0.0132,OF
365,Industrial water withdrawal,1992,0.0125076923,I
366,Industrial water withdrawal,1997,0.0118153846,I
367,Industrial water withdrawal,2002,0.01248,I
368,Industrial water withdrawal,2007,0.0141,I
369,Industrial water withdrawal,2012,0.0141,I
370,Industrial water withdrawal,2017,0.0141,I
371,Industrial water withdrawal,2018,0.0141,I
372,Total water withdrawal,1987,0.06,E
373,Total water withdrawal,1992,0.0831923077,I
374,Total water withdrawal,1997,0.1063846154,I
375,Total water withdrawal,2002,0.12782,I
376,Total water withdrawal,2007,0.1391,I
377,Total water withdrawal,2012,0.1391,I
378,Total water withdrawal,2017,0.1391,I
379,Total water withdrawal,2018,0.1391,I
380,Total freshwater withdrawal,1987,0.06,E
381,Total freshwater withdrawal,1992,0.0831923077,I
382,Total freshwater withdrawal,1997,0.1063846154,I
383,Total freshwater withdrawal,2002,0.12782,I
384,Total freshwater withdrawal,2007,0.1391,I
385,Total freshwater withdrawal,2012,0.1391,I
386,Total freshwater withdrawal,2017,0.1391,I
387,Total freshwater withdrawal,2018,0.1391,I
400,SDG 6.4.2. Water Stress,1987,0.2166064982,E
401,SDG 6.4.2. Water Stress,1992,0.3003332408,E
402,SDG 6.4.2. Water Stress,1997,0.3840599833,E
403,SDG 6.4.2. Water Stress,2002,0.4614440433,E
404,SDG 6.4.2. Water Stress,2007,0.502166065,E
405,SDG 6.4.2. Water Stress,2012,0.502166065,E
406,SDG 6.4.2. Water Stress,2017,0.502166065,E
407,SDG 6.4.2. Water Stress,2018,0.502166065,E
408,SDG 6.4.1. Water Use Efficiency,1987,98.4670205581,E
409,SDG 6.4.1. Water Use Efficiency,1992,91.1439907004,E
410,SDG 6.4.1. Water Use Efficiency,1997,87.2875594844,E
411,SDG 6.4.1. Water Use Efficiency,2002,69.2504858355,E
412,SDG 6.4.1. Water Use Efficiency,2005,68.3469258952,E
413,SDG 6.4.1. Water Use Efficiency,2016,92.9495511669,E
414,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1987,1.9116377074,E
415,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1992,0.4559091544,E
416,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,1997,0.2553751255,E
417,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2002,0.1709463459,E
418,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2005,0.1587539736,E
419,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2016,0.221945968,E
420,SDG 6.4.1. Industrial Water Use Efficiency,1987,184.9103759831,E
421,SDG 6.4.1. Industrial Water Use Efficiency,1992,272.9989559241,E
422,SDG 6.4.1. Industrial Water Use Efficiency,1997,468.5633990577,E
423,SDG 6.4.1. Industrial Water Use Efficiency,2002,391.9349553378,E
424,SDG 6.4.1. Industrial Water Use Efficiency,2005,439.3033590847,E
425,SDG 6.4.1. Industrial Water Use Efficiency,2016,457.0900123847,E
426,SDG 6.4.1. Services Water Use Efficiency,1987,80.1000549713,E
427,SDG 6.4.1. Services Water Use Efficiency,1992,78.5326747472,E
428,SDG 6.4.1. Services Water Use Efficiency,1997,59.6391398293,E
429,SDG 6.4.1. Services Water Use Efficiency,2002,52.6833651272,E
430,SDG 6.4.1. Services Water Use Efficiency,2005,39.037570765,E
431,SDG 6.4.1. Services Water Use Efficiency,2016,76.4506371922,E
432,Harvested irrigated temporary crop area: Rice,1992,3.0,I
433,Harvested irrigated temporary crop area: Rice,1997,3.0,I
434,Harvested irrigated temporary crop area: Rice,2002,3.0,I
435,Harvested irrigated temporary crop area: Rice,2007,3.0,I
436,Harvested irrigated temporary crop area: Rice,2012,3.0,I
437,Harvested irrigated temporary crop area: Rice,2017,3.0,I
438,Harvested irrigated temporary crop area: Rice,2018,3.0,I
439,Harvested irrigated temporary crop area: Vegetables,1992,1.45,I
440,Harvested irrigated temporary crop area: Vegetables,1997,1.45,I
441,Harvested irrigated temporary crop area: Vegetables,2002,1.45,I
442,Harvested irrigated temporary crop area: Vegetables,2007,1.45,I
443,Harvested irrigated temporary crop area: Vegetables,2012,1.45,I
444,Harvested irrigated temporary crop area: Vegetables,2017,1.45,I
445,Harvested irrigated temporary crop area: Vegetables,2018,1.45,I
