Sweden,Variable Name,Year,Value,Symbol
109,Surface water: entering the country (total),1987,3.0,OF
110,Surface water: entering the country (total),1992,3.0,OF
111,Surface water: entering the country (total),1997,3.0,OF
112,Surface water: entering the country (total),2002,3.0,OF
113,Surface water: entering the country (total),2007,3.0,OF
114,Surface water: entering the country (total),2012,3.0,OF
115,Surface water: entering the country (total),2017,3.0,OF
116,Surface water: leaving the country to other countries (total),1962,3.0,OF
117,Surface water: leaving the country to other countries (total),1967,3.0,OF
118,Surface water: leaving the country to other countries (total),1972,3.0,OF
119,Surface water: leaving the country to other countries (total),1977,3.0,OF
120,Surface water: leaving the country to other countries (total),1982,3.0,OF
121,Surface water: leaving the country to other countries (total),1987,3.0,OF
122,Surface water: leaving the country to other countries (total),1992,3.0,OF
123,Surface water: leaving the country to other countries (total),1997,3.0,OF
124,Surface water: leaving the country to other countries (total),2002,3.0,OF
125,Surface water: leaving the country to other countries (total),2007,3.0,OF
126,Surface water: leaving the country to other countries (total),2012,3.0,OF
127,Surface water: leaving the country to other countries (total),2017,3.0,OF
128,Groundwater: entering the country (total),1962,0.0,E
129,Groundwater: entering the country (total),1967,0.0,E
130,Groundwater: entering the country (total),1972,0.0,E
131,Groundwater: entering the country (total),1977,0.0,E
132,Groundwater: entering the country (total),1982,0.0,E
133,Groundwater: entering the country (total),1987,0.0,E
134,Groundwater: entering the country (total),1992,0.0,E
135,Groundwater: entering the country (total),1997,0.0,E
136,Groundwater: entering the country (total),2002,0.0,E
137,Groundwater: entering the country (total),2007,0.0,E
138,Groundwater: entering the country (total),2012,0.0,E
139,Groundwater: entering the country (total),2017,0.0,E
140,Groundwater: leaving the country to other countries (total),1962,0.0,OF
141,Groundwater: leaving the country to other countries (total),1967,0.0,OF
142,Groundwater: leaving the country to other countries (total),1972,0.0,OF
143,Groundwater: leaving the country to other countries (total),1977,0.0,OF
144,Groundwater: leaving the country to other countries (total),1982,0.0,OF
145,Groundwater: leaving the country to other countries (total),1987,0.0,OF
146,Groundwater: leaving the country to other countries (total),1992,0.0,OF
147,Groundwater: leaving the country to other countries (total),1997,0.0,OF
148,Groundwater: leaving the country to other countries (total),2002,0.0,OF
149,Groundwater: leaving the country to other countries (total),2007,0.0,OF
150,Groundwater: leaving the country to other countries (total),2012,0.0,OF
151,Groundwater: leaving the country to other countries (total),2017,0.0,OF
152,Dependency ratio,1962,1.724137931,E
153,Dependency ratio,1967,1.724137931,E
154,Dependency ratio,1972,1.724137931,E
155,Dependency ratio,1977,1.724137931,E
156,Dependency ratio,1982,1.724137931,E
157,Dependency ratio,1987,1.724137931,E
158,Dependency ratio,1992,1.724137931,E
159,Dependency ratio,1997,1.724137931,E
160,Dependency ratio,2002,1.724137931,E
161,Dependency ratio,2007,1.724137931,E
162,Dependency ratio,2012,1.724137931,E
163,Dependency ratio,2017,1.724137931,E
164,Dependency ratio,2018,1.724137931,E
165,Total internal renewable water resources (IRWR),1962,171.0,E
166,Total internal renewable water resources (IRWR),1967,171.0,E
167,Total internal renewable water resources (IRWR),1972,171.0,E
168,Total internal renewable water resources (IRWR),1977,171.0,E
169,Total internal renewable water resources (IRWR),1982,171.0,E
170,Total internal renewable water resources (IRWR),1987,171.0,E
171,Total internal renewable water resources (IRWR),1992,171.0,E
172,Total internal renewable water resources (IRWR),1997,171.0,E
173,Total internal renewable water resources (IRWR),2002,171.0,E
174,Total internal renewable water resources (IRWR),2007,171.0,E
175,Total internal renewable water resources (IRWR),2012,171.0,E
176,Total internal renewable water resources (IRWR),2017,171.0,E
177,Total internal renewable water resources (IRWR),2018,171.0,E
178,Total internal renewable water resources per capita,1962,22560.6584862511,E
179,Total internal renewable water resources per capita,1967,21711.7850680563,E
180,Total internal renewable water resources per capita,1972,21040.8865029973,E
181,Total internal renewable water resources per capita,1977,20725.5267586549,E
182,Total internal renewable water resources per capita,1982,20529.6283957176,E
183,Total internal renewable water resources per capita,1987,20306.2418775032,E
184,Total internal renewable water resources per capita,1992,19685.1798684385,E
185,Total internal renewable water resources per capita,1997,19280.9600068915,E
186,Total internal renewable water resources per capita,2002,19168.8778135373,E
187,Total internal renewable water resources per capita,2007,18662.1344963663,E
188,Total internal renewable water resources per capita,2012,17919.2464443395,E
189,Total internal renewable water resources per capita,2017,17264.1893463596,E
190,Total internal renewable water resources per capita,2018,17148.6369641577,E
191,Total renewable surface water,1962,173.0,E
192,Total renewable surface water,1967,173.0,E
193,Total renewable surface water,1972,173.0,E
194,Total renewable surface water,1977,173.0,E
195,Total renewable surface water,1982,173.0,E
196,Total renewable surface water,1987,173.0,E
197,Total renewable surface water,1992,173.0,E
198,Total renewable surface water,1997,173.0,E
199,Total renewable surface water,2002,173.0,E
200,Total renewable surface water,2007,173.0,E
201,Total renewable surface water,2012,173.0,E
202,Total renewable surface water,2017,173.0,E
203,Total renewable surface water,2018,173.0,E
204,Total renewable groundwater,1962,20.0,E
205,Total renewable groundwater,1967,20.0,E
206,Total renewable groundwater,1972,20.0,E
207,Total renewable groundwater,1977,20.0,E
208,Total renewable groundwater,1982,20.0,E
209,Total renewable groundwater,1987,20.0,E
210,Total renewable groundwater,1992,20.0,E
211,Total renewable groundwater,1997,20.0,E
212,Total renewable groundwater,2002,20.0,E
213,Total renewable groundwater,2007,20.0,E
214,Total renewable groundwater,2012,20.0,E
215,Total renewable groundwater,2017,20.0,E
216,Total renewable groundwater,2018,20.0,E
217,Total exploitable water resources,1962,3.0,E
218,Total exploitable water resources,1967,3.0,E
219,Total exploitable water resources,1972,3.0,E
220,Total exploitable water resources,1977,3.0,E
221,Total exploitable water resources,1982,3.0,E
222,Total exploitable water resources,1987,3.0,E
223,Total exploitable water resources,1992,3.0,E
224,Total exploitable water resources,1997,3.0,E
225,Total exploitable water resources,2002,3.0,E
226,Total exploitable water resources,2007,3.0,E
227,Total exploitable water resources,2012,3.0,E
228,Total exploitable water resources,2017,3.0,E
229,Total exploitable water resources,2018,3.0,E
230,Water resources: total external renewable,1962,3.0,E
231,Water resources: total external renewable,1967,3.0,E
232,Water resources: total external renewable,1972,3.0,E
233,Water resources: total external renewable,1977,3.0,E
234,Water resources: total external renewable,1982,3.0,E
235,Water resources: total external renewable,1987,3.0,E
236,Water resources: total external renewable,1992,3.0,E
237,Water resources: total external renewable,1997,3.0,E
238,Water resources: total external renewable,2002,3.0,E
239,Water resources: total external renewable,2007,3.0,E
240,Water resources: total external renewable,2012,3.0,E
241,Water resources: total external renewable,2017,3.0,E
242,Water resources: total external renewable,2018,3.0,E
243,Total renewable water resources,1962,174.0,E
244,Total renewable water resources,1967,174.0,E
245,Total renewable water resources,1972,174.0,E
246,Total renewable water resources,1977,174.0,E
247,Total renewable water resources,1982,174.0,E
248,Total renewable water resources,1987,174.0,E
249,Total renewable water resources,1992,174.0,E
250,Total renewable water resources,1997,174.0,E
251,Total renewable water resources,2002,174.0,E
252,Total renewable water resources,2007,174.0,E
253,Total renewable water resources,2012,174.0,E
254,Total renewable water resources,2017,174.0,E
255,Total renewable water resources,2018,174.0,E
256,Total renewable water resources per capita,1962,22956.4595123256,E
257,Total renewable water resources per capita,1967,22092.6935780222,E
258,Total renewable water resources per capita,1972,21410.024862699,E
259,Total renewable water resources per capita,1977,21089.1324912629,E
260,Total renewable water resources per capita,1982,20889.7973149407,E
261,Total renewable water resources per capita,1987,20662.4917350033,E
262,Total renewable water resources per capita,1992,20030.5339012182,E
263,Total renewable water resources per capita,1997,19619.2224631528,E
264,Total renewable water resources per capita,2002,19505.1739155291,E
265,Total renewable water resources per capita,2007,18989.5403647236,E
266,Total renewable water resources per capita,2012,18233.619188977,E
267,Total renewable water resources per capita,2017,17567.069861208,E
268,Total renewable water resources per capita,2018,17449.4902442307,E
269,Total agricultural water managed area,1992,117.48,I
270,Total agricultural water managed area,1997,124.3,E
271,Total agricultural water managed area,2002,171.2333333333,I
272,Total agricultural water managed area,2005,167.0,E
273,Total agricultural water managed area,2014,155.9,I
274,Area equipped for irrigation: total,1992,117.48,I
275,Area equipped for irrigation: total,1997,124.3,E
276,Area equipped for irrigation: total,2002,171.2333333333,I
277,Area equipped for irrigation: total,2004,177.75,I
278,Area equipped for irrigation: total,2014,155.9,I
280,Ratio between rainfed and irrigated yields,1966,1.778,I
281,Ratio between rainfed and irrigated yields,1971,1.778,I
282,Ratio between rainfed and irrigated yields,1976,1.778,I
283,Ratio between rainfed and irrigated yields,1981,1.778,I
284,Ratio between rainfed and irrigated yields,1986,1.778,I
285,Ratio between rainfed and irrigated yields,1991,1.778,I
286,Ratio between rainfed and irrigated yields,1996,1.778,I
287,Ratio between rainfed and irrigated yields,2001,1.778,I
288,Ratio between rainfed and irrigated yields,2007,1.778,I
289,Ratio between rainfed and irrigated yields,2011,1.778,I
290,Ratio between rainfed and irrigated yields,2017,1.778,I
291,Ratio between rainfed and irrigated yields,2018,1.778,I
292,Agricultural water withdrawal as % of total renewable water resources,1972,0.0770114943,I
293,Agricultural water withdrawal as % of total renewable water resources,1977,0.0794252874,I
294,Agricultural water withdrawal as % of total renewable water resources,1982,0.0715555033,E
295,Agricultural water withdrawal as % of total renewable water resources,1987,0.0747892067,E
296,Agricultural water withdrawal as % of total renewable water resources,1992,0.1,E
297,Agricultural water withdrawal as % of total renewable water resources,1997,0.0862068966,E
298,Agricultural water withdrawal as % of total renewable water resources,2002,0.0775862069,E
299,Agricultural water withdrawal as % of total renewable water resources,2007,0.0614942529,E
300,Agricultural water withdrawal as % of total renewable water resources,2012,0.0510344828,I
301,Agricultural water withdrawal as % of total renewable water resources,2017,0.0431034483,I
302,Agricultural water withdrawal as % of total renewable water resources,2018,0.0431034483,I
303,Agricultural water withdrawal,1972,0.134,I
304,Agricultural water withdrawal,1977,0.1382,I
305,Agricultural water withdrawal,1982,0.1245065757,I
306,Agricultural water withdrawal,1987,0.1301332197,I
307,Agricultural water withdrawal,1992,0.174,X
308,Agricultural water withdrawal,1996,0.15,I
309,Agricultural water withdrawal,2002,0.135,X
310,Agricultural water withdrawal,2006,0.107,X
311,Agricultural water withdrawal,2012,0.0888,I
312,Agricultural water withdrawal,2017,0.075,I
313,Agricultural water withdrawal,2018,0.075,I
314,Irrigation water requirement,2012,0.0413,I
315,Irrigation water requirement,2017,0.0413,I
316,Irrigation water requirement,2018,0.0413,I
317,Irrigation water withdrawal,1972,0.064,I
318,Irrigation water withdrawal,1977,0.064,I
319,Irrigation water withdrawal,1982,0.0706666667,I
320,Irrigation water withdrawal,1987,0.0873333333,I
321,Irrigation water withdrawal,1992,0.107,X
322,Irrigation water withdrawal,1996,0.107,I
323,Irrigation water withdrawal,2002,0.094,X
324,Irrigation water withdrawal,2006,0.069,X
325,Irrigation water withdrawal,2012,0.0564,I
326,Irrigation water withdrawal,2017,0.048,I
327,Irrigation water withdrawal,2018,0.048,I
328,Municipal water withdrawal,1972,1.0038,I
329,Municipal water withdrawal,1977,1.0252,I
330,Municipal water withdrawal,1982,0.89466868,I
331,Municipal water withdrawal,1987,0.87933585,I
332,Municipal water withdrawal,1992,1.016,X
333,Municipal water withdrawal,1997,1.052,X
334,Municipal water withdrawal,2002,1.038,X
335,Municipal water withdrawal,2007,1.0,X
336,Municipal water withdrawal,2012,0.9934,I
337,Municipal water withdrawal,2017,0.955,I
338,Municipal water withdrawal,2018,0.955,I
339,Industrial water withdrawal,1972,2.96,I
340,Industrial water withdrawal,1977,2.96,I
341,Industrial water withdrawal,1982,2.6324247443,I
342,Industrial water withdrawal,1987,1.9620309303,I
343,Industrial water withdrawal,1992,1.783,X
344,Industrial water withdrawal,1997,1.509,X
345,Industrial water withdrawal,2002,1.503,X
346,Industrial water withdrawal,2007,1.523,X
347,Industrial water withdrawal,2012,1.4812,I
348,Industrial water withdrawal,2017,1.345,I
349,Industrial water withdrawal,2018,1.345,I
350,Total water withdrawal,1972,4.0978,I
351,Total water withdrawal,1977,4.1234,I
352,Total water withdrawal,1982,3.6516,I
353,Total water withdrawal,1987,2.9715,E
354,Total water withdrawal,1992,2.973,E
355,Total water withdrawal,1997,2.711,E
356,Total water withdrawal,2002,2.676,E
357,Total water withdrawal,2007,2.63,E
358,Total water withdrawal,2012,2.5634,I
359,Total water withdrawal,2017,2.375,I
360,Total water withdrawal,2018,2.375,I
361,Fresh surface water withdrawal,1972,3.5298,I
362,Fresh surface water withdrawal,1977,3.5266,I
363,Fresh surface water withdrawal,1982,3.0458,I
364,Fresh surface water withdrawal,1987,2.3605,I
365,Fresh surface water withdrawal,1992,2.346,X
366,Fresh surface water withdrawal,1997,2.057,X
367,Fresh surface water withdrawal,2002,2.048,X
368,Fresh surface water withdrawal,2007,2.284,X
369,Fresh surface water withdrawal,2012,2.2086,I
370,Fresh surface water withdrawal,2017,2.01,I
371,Fresh surface water withdrawal,2018,2.01,I
372,Fresh groundwater withdrawal,1972,0.568,I
373,Fresh groundwater withdrawal,1977,0.5968,I
374,Fresh groundwater withdrawal,1982,0.6058,I
375,Fresh groundwater withdrawal,1987,0.611,I
376,Fresh groundwater withdrawal,1992,0.627,X
377,Fresh groundwater withdrawal,1997,0.654,X
378,Fresh groundwater withdrawal,2002,0.628,X
379,Fresh groundwater withdrawal,2007,0.346,X
380,Fresh groundwater withdrawal,2012,0.3548,I
381,Fresh groundwater withdrawal,2017,0.365,I
382,Fresh groundwater withdrawal,2018,0.365,I
383,Total freshwater withdrawal,1972,4.0978,I
384,Total freshwater withdrawal,1977,4.1234,I
385,Total freshwater withdrawal,1982,3.6516,I
386,Total freshwater withdrawal,1987,2.9715,I
387,Total freshwater withdrawal,1992,2.973,E
388,Total freshwater withdrawal,1997,2.711,E
389,Total freshwater withdrawal,2002,2.676,E
390,Total freshwater withdrawal,2007,2.63,E
391,Total freshwater withdrawal,2012,2.5634,I
392,Total freshwater withdrawal,2017,2.375,I
393,Total freshwater withdrawal,2018,2.375,I
394,Desalinated water produced,1982,0.0002,I
395,Desalinated water produced,1987,0.0002,I
396,Desalinated water produced,1992,0.0002,I
397,Desalinated water produced,1997,0.0002,I
398,Desalinated water produced,2002,0.0002,I
399,Desalinated water produced,2007,0.0002,E
400,Desalinated water produced,2012,0.0002,I
401,Desalinated water produced,2017,0.0002,I
402,Desalinated water produced,2018,0.0002,I
403,Produced municipal wastewater,2012,0.7806666667,I
404,Produced municipal wastewater,2017,1.0,I
405,Produced municipal wastewater,2018,1.0,I
406,Collected municipal wastewater,2017,1.0,I
407,Collected municipal wastewater,2018,1.0,I
408,Not treated municipal wastewater,2012,0.235,I
409,Not treated municipal wastewater,2017,0.235,I
410,Not treated municipal wastewater,2018,0.235,I
411,Treated municipal wastewater,2012,0.624,I
412,Treated municipal wastewater,2017,1.0,I
413,Treated municipal wastewater,2018,1.0,I
426,SDG 6.4.2. Water Stress,1972,5.9131313131,E
427,SDG 6.4.2. Water Stress,1977,5.9500721501,E
428,SDG 6.4.2. Water Stress,1982,5.2692640693,E
429,SDG 6.4.2. Water Stress,1987,4.2878787879,E
430,SDG 6.4.2. Water Stress,1992,4.29004329,E
431,SDG 6.4.2. Water Stress,1997,3.911976912,E
432,SDG 6.4.2. Water Stress,2002,3.8614718615,E
433,SDG 6.4.2. Water Stress,2007,3.7950937951,E
434,SDG 6.4.2. Water Stress,2012,3.698989899,E
435,SDG 6.4.2. Water Stress,2017,3.4271284271,E
436,SDG 6.4.2. Water Stress,2018,3.4271284271,E
437,SDG 6.4.1. Industrial Water Use Efficiency,2015,72.7404245636,E
438,SDG 6.4.1. Services Water Use Efficiency,2015,358.6837696335,E
439,Harvested irrigated temporary crop area: Potatoes,2012,7.1,I
440,Harvested irrigated temporary crop area: Potatoes,2017,7.1,I
441,Harvested irrigated temporary crop area: Potatoes,2018,7.1,I
442,Harvested irrigated temporary crop area: Sugar beet,2012,11.2,I
443,Harvested irrigated temporary crop area: Sugar beet,2017,11.2,I
444,Harvested irrigated temporary crop area: Sugar beet,2018,11.2,I
445,Harvested irrigated temporary crop area: Leguminous crops,2012,3.3,I
446,Harvested irrigated temporary crop area: Leguminous crops,2017,3.3,I
447,Harvested irrigated temporary crop area: Leguminous crops,2018,3.3,I
448,Harvested irrigated temporary crop area: Vegetables,2012,3.1,I
449,Harvested irrigated temporary crop area: Vegetables,2017,3.1,I
450,Harvested irrigated temporary crop area: Vegetables,2018,3.1,I
451,Harvested irrigated temporary crop area: Other crops,2012,9.17,I
452,Harvested irrigated temporary crop area: Other crops,2017,9.17,I
453,Harvested irrigated temporary crop area: Other crops,2018,9.17,I
