Timor-Leste,Variable Name,Year,Value,Symbol
132,Surface water: leaving the country to other countries (total),2012,0.0,E
133,Surface water: leaving the country to other countries (total),2017,0.0,E
134,Groundwater: entering the country (total),1962,0.0,E
135,Groundwater: entering the country (total),1967,0.0,E
136,Groundwater: entering the country (total),1972,0.0,E
137,Groundwater: entering the country (total),1977,0.0,E
138,Groundwater: entering the country (total),1982,0.0,E
139,Groundwater: entering the country (total),1987,0.0,E
140,Groundwater: entering the country (total),1992,0.0,E
141,Groundwater: entering the country (total),1997,0.0,E
142,Groundwater: entering the country (total),2002,0.0,E
143,Groundwater: entering the country (total),2007,0.0,E
144,Groundwater: entering the country (total),2012,0.0,E
145,Groundwater: entering the country (total),2017,0.0,E
146,Groundwater: leaving the country to other countries (total),1962,0.0,E
147,Groundwater: leaving the country to other countries (total),1967,0.0,E
148,Groundwater: leaving the country to other countries (total),1972,0.0,E
149,Groundwater: leaving the country to other countries (total),1977,0.0,E
150,Groundwater: leaving the country to other countries (total),1982,0.0,E
151,Groundwater: leaving the country to other countries (total),1987,0.0,E
152,Groundwater: leaving the country to other countries (total),1992,0.0,E
153,Groundwater: leaving the country to other countries (total),1997,0.0,E
154,Groundwater: leaving the country to other countries (total),2002,0.0,E
155,Groundwater: leaving the country to other countries (total),2007,0.0,E
156,Groundwater: leaving the country to other countries (total),2012,0.0,E
157,Groundwater: leaving the country to other countries (total),2017,0.0,E
158,Dependency ratio,1962,0.0,E
159,Dependency ratio,1967,0.0,E
160,Dependency ratio,1972,0.0,E
161,Dependency ratio,1977,0.0,E
162,Dependency ratio,1982,0.0,E
163,Dependency ratio,1987,0.0,E
164,Dependency ratio,1992,0.0,E
165,Dependency ratio,1997,0.0,E
166,Dependency ratio,2002,0.0,E
167,Dependency ratio,2007,0.0,E
168,Dependency ratio,2012,0.0,E
169,Dependency ratio,2017,0.0,E
170,Dependency ratio,2018,0.0,E
171,Total internal renewable water resources (IRWR),1962,8.215,E
172,Total internal renewable water resources (IRWR),1967,8.215,E
173,Total internal renewable water resources (IRWR),1972,8.215,E
174,Total internal renewable water resources (IRWR),1977,8.215,E
175,Total internal renewable water resources (IRWR),1982,8.215,E
176,Total internal renewable water resources (IRWR),1987,8.215,E
177,Total internal renewable water resources (IRWR),1992,8.215,E
178,Total internal renewable water resources (IRWR),1997,8.215,E
179,Total internal renewable water resources (IRWR),2002,8.215,E
180,Total internal renewable water resources (IRWR),2007,8.215,E
181,Total internal renewable water resources (IRWR),2012,8.215,E
182,Total internal renewable water resources (IRWR),2017,8.215,E
183,Total internal renewable water resources (IRWR),2018,8.215,E
184,Total internal renewable water resources per capita,1962,16711.7262816562,E
185,Total internal renewable water resources per capita,1967,15243.7610060326,E
186,Total internal renewable water resources per capita,1972,13687.2867349115,E
187,Total internal renewable water resources per capita,1977,13253.9334254037,E
188,Total internal renewable water resources per capita,1982,13396.1039596372,E
189,Total internal renewable water resources per capita,1987,11967.0022477279,E
190,Total internal renewable water resources per capita,1992,10489.0461926614,E
191,Total internal renewable water resources per capita,1997,9531.644130294,E
192,Total internal renewable water resources per capita,2002,8903.2767092882,E
193,Total internal renewable water resources per capita,2007,7926.5374491505,E
194,Total internal renewable water resources per capita,2012,7250.7003567539,E
195,Total internal renewable water resources per capita,2017,6607.6389615028,E
196,Total internal renewable water resources per capita,2018,6478.8394714718,E
197,Total renewable surface water,1962,8.129,E
198,Total renewable surface water,1967,8.129,E
199,Total renewable surface water,1972,8.129,E
200,Total renewable surface water,1977,8.129,E
201,Total renewable surface water,1982,8.129,E
202,Total renewable surface water,1987,8.129,E
203,Total renewable surface water,1992,8.129,E
204,Total renewable surface water,1997,8.129,E
205,Total renewable surface water,2002,8.129,E
206,Total renewable surface water,2007,8.129,E
207,Total renewable surface water,2012,8.129,E
208,Total renewable surface water,2017,8.129,E
209,Total renewable surface water,2018,8.129,E
210,Total renewable groundwater,1962,0.886,E
211,Total renewable groundwater,1967,0.886,E
212,Total renewable groundwater,1972,0.886,E
213,Total renewable groundwater,1977,0.886,E
214,Total renewable groundwater,1982,0.886,E
215,Total renewable groundwater,1987,0.886,E
216,Total renewable groundwater,1992,0.886,E
217,Total renewable groundwater,1997,0.886,E
218,Total renewable groundwater,2002,0.886,E
219,Total renewable groundwater,2007,0.886,E
220,Total renewable groundwater,2012,0.886,E
221,Total renewable groundwater,2017,0.886,E
222,Total renewable groundwater,2018,0.886,E
223,Total exploitable water resources,1962,0.266,E
224,Total exploitable water resources,1967,0.266,E
225,Total exploitable water resources,1972,0.266,E
226,Total exploitable water resources,1977,0.266,E
227,Total exploitable water resources,1982,0.266,E
228,Total exploitable water resources,1987,0.266,E
229,Total exploitable water resources,1992,0.266,E
230,Total exploitable water resources,1997,0.266,E
231,Total exploitable water resources,2002,0.266,E
232,Total exploitable water resources,2007,0.266,E
233,Total exploitable water resources,2012,0.266,E
234,Total exploitable water resources,2017,0.266,E
235,Total exploitable water resources,2018,0.266,E
236,Water resources: total external renewable,1962,0.0,E
237,Water resources: total external renewable,1967,0.0,E
238,Water resources: total external renewable,1972,0.0,E
239,Water resources: total external renewable,1977,0.0,E
240,Water resources: total external renewable,1982,0.0,E
241,Water resources: total external renewable,1987,0.0,E
242,Water resources: total external renewable,1992,0.0,E
243,Water resources: total external renewable,1997,0.0,E
244,Water resources: total external renewable,2002,0.0,E
245,Water resources: total external renewable,2007,0.0,E
246,Water resources: total external renewable,2012,0.0,E
247,Water resources: total external renewable,2017,0.0,E
248,Water resources: total external renewable,2018,0.0,E
249,Total renewable water resources,1962,8.215,E
250,Total renewable water resources,1967,8.215,E
251,Total renewable water resources,1972,8.215,E
252,Total renewable water resources,1977,8.215,E
253,Total renewable water resources,1982,8.215,E
254,Total renewable water resources,1987,8.215,E
255,Total renewable water resources,1992,8.215,E
256,Total renewable water resources,1997,8.215,E
257,Total renewable water resources,2002,8.215,E
258,Total renewable water resources,2007,8.215,E
259,Total renewable water resources,2012,8.215,E
260,Total renewable water resources,2017,8.215,E
261,Total renewable water resources,2018,8.215,E
262,Total renewable water resources per capita,1962,16711.7262816562,E
263,Total renewable water resources per capita,1967,15243.7610060326,E
264,Total renewable water resources per capita,1972,13687.2867349115,E
265,Total renewable water resources per capita,1977,13253.9334254037,E
266,Total renewable water resources per capita,1982,13396.1039596372,E
267,Total renewable water resources per capita,1987,11967.0022477279,E
268,Total renewable water resources per capita,1992,10489.0461926614,E
269,Total renewable water resources per capita,1997,9531.644130294,E
270,Total renewable water resources per capita,2002,8903.2767092882,E
271,Total renewable water resources per capita,2007,7926.5374491505,E
272,Total renewable water resources per capita,2012,7250.7003567539,E
273,Total renewable water resources per capita,2017,6607.6389615028,E
274,Total renewable water resources per capita,2018,6478.8394714718,E
275,Total agricultural water managed area,1992,17.4416666667,I
276,Total agricultural water managed area,1997,26.0458333333,I
277,Total agricultural water managed area,2002,34.65,E
278,Total agricultural water managed area,2007,34.65,I
279,Total agricultural water managed area,2012,34.65,I
280,Total agricultural water managed area,2017,34.65,I
281,Total agricultural water managed area,2018,34.65,I
282,Area equipped for irrigation: total,1992,17.4416666667,I
283,Area equipped for irrigation: total,1997,26.0458333333,I
284,Area equipped for irrigation: total,2002,34.65,E
285,Area equipped for irrigation: total,2007,34.65,I
286,Area equipped for irrigation: total,2012,34.65,I
287,Area equipped for irrigation: total,2017,34.65,I
288,Area equipped for irrigation: total,2018,34.65,I
289,% of agricultural GVA produced by irrigated agriculture,2002,25.3518527838,E
290,% of agricultural GVA produced by irrigated agriculture,2007,24.0411688911,E
291,% of agricultural GVA produced by irrigated agriculture,2012,23.2104188104,E
292,% of agricultural GVA produced by irrigated agriculture,2017,23.5724424064,E
293,% of agricultural GVA produced by irrigated agriculture,2018,23.5724424064,E
295,Ratio between rainfed and irrigated yields,1966,1.778,I
296,Ratio between rainfed and irrigated yields,1971,1.778,I
297,Ratio between rainfed and irrigated yields,1976,1.778,I
298,Ratio between rainfed and irrigated yields,1981,1.778,I
299,Ratio between rainfed and irrigated yields,1986,1.778,I
300,Ratio between rainfed and irrigated yields,1991,1.778,I
301,Ratio between rainfed and irrigated yields,1996,1.778,I
302,Ratio between rainfed and irrigated yields,2001,1.778,I
303,Ratio between rainfed and irrigated yields,2007,1.778,I
304,Ratio between rainfed and irrigated yields,2011,1.778,I
305,Ratio between rainfed and irrigated yields,2017,1.778,I
306,Ratio between rainfed and irrigated yields,2018,1.778,I
307,Agricultural water withdrawal as % of total renewable water resources,2007,13.0371272063,I
308,Agricultural water withdrawal as % of total renewable water resources,2012,13.0371272063,I
309,Agricultural water withdrawal as % of total renewable water resources,2017,13.0371272063,I
310,Agricultural water withdrawal as % of total renewable water resources,2018,13.0371272063,I
311,Agricultural water withdrawal,2007,1.071,I
312,Agricultural water withdrawal,2012,1.071,I
313,Agricultural water withdrawal,2017,1.071,I
314,Agricultural water withdrawal,2018,1.071,I
315,Irrigation water requirement,2002,0.192,E
316,Irrigation water requirement,2007,0.192,I
317,Irrigation water requirement,2012,0.192,I
318,Irrigation water requirement,2017,0.192,I
319,Irrigation water requirement,2018,0.192,I
320,Municipal water withdrawal,2002,0.05485,I
321,Municipal water withdrawal,2007,0.099,I
322,Municipal water withdrawal,2012,0.099,I
323,Municipal water withdrawal,2017,0.099,I
324,Municipal water withdrawal,2018,0.099,I
325,Industrial water withdrawal,2002,0.0032,I
326,Industrial water withdrawal,2007,0.002,I
327,Industrial water withdrawal,2012,0.002,I
328,Industrial water withdrawal,2017,0.002,I
329,Industrial water withdrawal,2018,0.002,I
330,Total water withdrawal,2007,1.172,I
331,Total water withdrawal,2012,1.172,I
332,Total water withdrawal,2017,1.172,I
333,Total water withdrawal,2018,1.172,I
334,Total freshwater withdrawal,2007,1.172,I
335,Total freshwater withdrawal,2012,1.172,I
336,Total freshwater withdrawal,2017,1.172,I
337,Total freshwater withdrawal,2018,1.172,I
338,Environmental Flow Requirements,1962,4.069,X
339,Environmental Flow Requirements,1967,4.069,X
340,Environmental Flow Requirements,1972,4.069,X
341,Environmental Flow Requirements,1977,4.069,X
342,Environmental Flow Requirements,1982,4.069,X
343,Environmental Flow Requirements,1987,4.069,X
344,Environmental Flow Requirements,1992,4.069,X
345,Environmental Flow Requirements,1997,4.069,X
346,Environmental Flow Requirements,2002,4.069,X
347,Environmental Flow Requirements,2007,4.069,X
348,Environmental Flow Requirements,2012,4.069,X
349,Environmental Flow Requirements,2017,4.069,X
350,SDG 6.4.2. Water Stress,2007,28.2682103232,E
351,SDG 6.4.2. Water Stress,2012,28.2682103232,E
352,SDG 6.4.2. Water Stress,2017,28.2682103232,E
353,SDG 6.4.2. Water Stress,2018,28.2682103232,E
354,SDG 6.4.1. Water Use Efficiency,2015,2.425757867,I
355,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0599590776,E
356,SDG 6.4.1. Industrial Water Use Efficiency,2015,882.150838,E
357,SDG 6.4.1. Services Water Use Efficiency,2015,10.2471754747,E
358,Harvested irrigated temporary crop area: Rice,2002,24.0,E
359,Harvested irrigated temporary crop area: Rice,2007,24.0,I
360,Harvested irrigated temporary crop area: Rice,2012,24.0,I
361,Harvested irrigated temporary crop area: Rice,2017,24.0,I
362,Harvested irrigated temporary crop area: Rice,2018,24.0,I
363,Harvested irrigated temporary crop area: Maize,2002,7.0,E
364,Harvested irrigated temporary crop area: Maize,2007,7.0,I
365,Harvested irrigated temporary crop area: Maize,2012,7.0,I
366,Harvested irrigated temporary crop area: Maize,2017,7.0,I
367,Harvested irrigated temporary crop area: Maize,2018,7.0,I
368,Harvested irrigated temporary crop area: Potatoes,2002,2.0,E
369,Harvested irrigated temporary crop area: Potatoes,2007,2.0,I
370,Harvested irrigated temporary crop area: Potatoes,2012,2.0,I
371,Harvested irrigated temporary crop area: Potatoes,2017,2.0,I
372,Harvested irrigated temporary crop area: Potatoes,2018,2.0,I
373,Harvested irrigated temporary crop area: Vegetables,2002,1.0,E
374,Harvested irrigated temporary crop area: Vegetables,2007,1.0,I
375,Harvested irrigated temporary crop area: Vegetables,2012,1.0,I
376,Harvested irrigated temporary crop area: Vegetables,2017,1.0,I
377,Harvested irrigated temporary crop area: Vegetables,2018,1.0,I
