Dominican Republic,Variable Name,Year,Value,Symbol
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.52,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5108,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5053333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4773,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4773,I
70,Gross Domestic Product (GDP),1962,824100000.0,X
71,Gross Domestic Product (GDP),1967,1034800000.0,X
72,Gross Domestic Product (GDP),1972,2487244070.0,X
73,Gross Domestic Product (GDP),1977,5740785592.0,X
74,Gross Domestic Product (GDP),1982,9967498586.0,X
75,Gross Domestic Product (GDP),1987,6359192054.0,X
76,Gross Domestic Product (GDP),1992,11443289344.0,X
77,Gross Domestic Product (GDP),1997,19653241406.0,X
78,Gross Domestic Product (GDP),2002,25654738278.0,X
79,Gross Domestic Product (GDP),2007,43780696524.0,X
80,Gross Domestic Product (GDP),2012,60657847548.0,X
81,Gross Domestic Product (GDP),2013,62661707772.0,X
82,GDP per capita,1972,522.537512,X
83,GDP per capita,1977,1060.777679,X
84,GDP per capita,1982,1639.709448,X
85,GDP per capita,1987,940.065856,X
86,GDP per capita,1992,1532.19672,X
87,GDP per capita,1997,2407.461115,X
88,GDP per capita,2002,2904.654716,X
89,GDP per capita,2007,4606.383677,X
90,GDP per capita,2012,5973.229563,X
91,GDP per capita,2017,7059.653433,X
92,GDP per capita,2018,7470.23939,X
93,"Agriculture, value added (% GDP)",1967,23.0,X
94,"Agriculture, value added (% GDP)",1972,15.36385,X
95,"Agriculture, value added (% GDP)",1977,14.979607,X
96,"Agriculture, value added (% GDP)",1982,13.234663,X
97,"Agriculture, value added (% GDP)",1987,13.966124,X
98,"Agriculture, value added (% GDP)",1992,12.314849,X
99,"Agriculture, value added (% GDP)",1997,9.144299,X
100,"Agriculture, value added (% GDP)",2002,6.805119,X
101,"Agriculture, value added (% GDP)",2007,6.511574,X
102,"Agriculture, value added (% GDP)",2012,5.401094,X
103,"Agriculture, value added (% GDP)",2013,5.304866,X
104,"Agriculture, value added to GDP",1967,210400000.0,X
105,"Agriculture, value added to GDP",1969,262100000.0,X
106,Number of people undernourished (3-year average),1992,2500.0,X
107,Number of people undernourished (3-year average),1997,2200.0,X
108,Number of people undernourished (3-year average),2002,1800.0,X
109,Number of people undernourished (3-year average),2007,1500.0,X
110,Number of people undernourished (3-year average),2012,1000.0,X
111,Number of people undernourished (3-year average),2017,700.0,X
112,Prevalence of undernourishment (3-year average),1992,34.3,X
113,Prevalence of undernourishment (3-year average),1997,27.3,X
114,Prevalence of undernourishment (3-year average),2001,28.1,X
115,Total population with access to safe drinking-water (JMP),1992,87.1,X
116,Total population with access to safe drinking-water (JMP),1997,87.0,X
117,Total population with access to safe drinking-water (JMP),2002,86.7,X
118,Total population with access to safe drinking-water (JMP),2007,86.3,X
119,Total population with access to safe drinking-water (JMP),2012,85.4,X
120,Total population with access to safe drinking-water (JMP),2017,84.7,I
121,Total population with access to safe drinking-water (JMP),2018,84.7,I
122,Long-term average annual precipitation in volume,1962,68.6247,E
123,Long-term average annual precipitation in volume,1967,68.6247,E
124,Long-term average annual precipitation in volume,1972,68.6247,E
125,Long-term average annual precipitation in volume,1977,68.6247,E
126,Long-term average annual precipitation in volume,1982,68.6247,E
127,Long-term average annual precipitation in volume,1987,68.6247,E
128,Long-term average annual precipitation in volume,1992,68.6247,E
129,Long-term average annual precipitation in volume,1997,68.6247,E
130,Long-term average annual precipitation in volume,2002,68.6247,E
131,Long-term average annual precipitation in volume,2007,68.6247,E
132,Long-term average annual precipitation in volume,2012,68.6247,E
133,Long-term average annual precipitation in volume,2017,68.6247,E
134,Long-term average annual precipitation in volume,2018,68.6247,E
135,Interannual variability (WRI),2017,2.5,I
136,Interannual variability (WRI),2018,2.5,I
137,Seasonal variability (WRI),2017,1.5,I
138,Seasonal variability (WRI),2018,1.5,I
139,Flood occurrence (WRI),2017,3.7,I
140,Flood occurrence (WRI),2018,3.7,I
141,Surface water: entering the country (total),1962,0.0,E
142,Surface water: entering the country (total),1967,0.0,E
143,Surface water: entering the country (total),1972,0.0,E
144,Surface water: entering the country (total),1977,0.0,E
145,Surface water: entering the country (total),1982,0.0,E
146,Surface water: entering the country (total),1987,0.0,E
147,Surface water: entering the country (total),1992,0.0,E
148,Surface water: entering the country (total),1997,0.0,E
149,Surface water: entering the country (total),2002,0.0,E
150,Surface water: entering the country (total),2007,0.0,E
151,Surface water: entering the country (total),2012,0.0,E
152,Surface water: entering the country (total),2017,0.0,E
153,Surface water: leaving the country to other countries (total),1962,1.015,OF
154,Surface water: leaving the country to other countries (total),1967,1.015,OF
155,Surface water: leaving the country to other countries (total),1972,1.015,OF
156,Surface water: leaving the country to other countries (total),1977,1.015,OF
157,Surface water: leaving the country to other countries (total),1982,1.015,OF
158,Surface water: leaving the country to other countries (total),1987,1.015,OF
159,Surface water: leaving the country to other countries (total),1992,1.015,OF
160,Surface water: leaving the country to other countries (total),1997,1.015,OF
161,Surface water: leaving the country to other countries (total),2002,1.015,OF
162,Surface water: leaving the country to other countries (total),2007,1.015,OF
163,Surface water: leaving the country to other countries (total),2012,1.015,OF
164,Surface water: leaving the country to other countries (total),2017,1.015,OF
165,Groundwater: entering the country (total),1962,0.0,OF
166,Groundwater: entering the country (total),1967,0.0,OF
167,Groundwater: entering the country (total),1972,0.0,OF
168,Groundwater: entering the country (total),1977,0.0,OF
169,Groundwater: entering the country (total),1982,0.0,OF
170,Groundwater: entering the country (total),1987,0.0,OF
171,Groundwater: entering the country (total),1992,0.0,OF
172,Groundwater: entering the country (total),1997,0.0,OF
173,Groundwater: entering the country (total),2002,0.0,OF
174,Groundwater: entering the country (total),2007,0.0,OF
175,Groundwater: entering the country (total),2012,0.0,OF
176,Groundwater: entering the country (total),2017,0.0,OF
177,Groundwater: leaving the country to other countries (total),1962,0.0,OF
178,Groundwater: leaving the country to other countries (total),1967,0.0,OF
179,Groundwater: leaving the country to other countries (total),1972,0.0,OF
180,Groundwater: leaving the country to other countries (total),1977,0.0,OF
181,Groundwater: leaving the country to other countries (total),1982,0.0,OF
182,Groundwater: leaving the country to other countries (total),1987,0.0,OF
183,Groundwater: leaving the country to other countries (total),1992,0.0,OF
184,Groundwater: leaving the country to other countries (total),1997,0.0,OF
185,Groundwater: leaving the country to other countries (total),2002,0.0,OF
186,Groundwater: leaving the country to other countries (total),2007,0.0,OF
187,Groundwater: leaving the country to other countries (total),2012,0.0,OF
188,Groundwater: leaving the country to other countries (total),2017,0.0,OF
189,Dependency ratio,1962,0.0,E
190,Dependency ratio,1967,0.0,E
191,Dependency ratio,1972,0.0,E
192,Dependency ratio,1977,0.0,E
193,Dependency ratio,1982,0.0,E
194,Dependency ratio,1987,0.0,E
195,Dependency ratio,1992,0.0,E
196,Dependency ratio,1997,0.0,E
197,Dependency ratio,2002,0.0,E
198,Dependency ratio,2007,0.0,E
199,Dependency ratio,2012,0.0,E
200,Dependency ratio,2017,0.0,E
201,Dependency ratio,2018,0.0,E
202,Total internal renewable water resources (IRWR),1962,23.5,E
203,Total internal renewable water resources (IRWR),1967,23.5,E
204,Total internal renewable water resources (IRWR),1972,23.5,E
205,Total internal renewable water resources (IRWR),1977,23.5,E
206,Total internal renewable water resources (IRWR),1982,23.5,E
207,Total internal renewable water resources (IRWR),1987,23.5,E
208,Total internal renewable water resources (IRWR),1992,23.5,E
209,Total internal renewable water resources (IRWR),1997,23.5,E
210,Total internal renewable water resources (IRWR),2002,23.5,E
211,Total internal renewable water resources (IRWR),2007,23.5,E
212,Total internal renewable water resources (IRWR),2012,23.5,E
213,Total internal renewable water resources (IRWR),2017,23.5,E
214,Total internal renewable water resources (IRWR),2018,23.5,E
215,Total internal renewable water resources per capita,1962,6674.2061528796,E
216,Total internal renewable water resources per capita,1967,5699.6060238287,E
217,Total internal renewable water resources per capita,1972,4941.6891198095,E
218,Total internal renewable water resources per capita,1977,4345.8159963014,E
219,Total internal renewable water resources per capita,1982,3872.9220125351,E
220,Total internal renewable water resources per capita,1987,3491.8624004132,E
221,Total internal renewable water resources per capita,1992,3172.0997761712,E
222,Total internal renewable water resources per capita,1997,2906.8303958472,E
223,Total internal renewable water resources per capita,2002,2693.4174596489,E
224,Total internal renewable water resources per capita,2007,2516.3668246053,E
225,Total internal renewable water resources per capita,2012,2366.3476762869,E
226,Total internal renewable water resources per capita,2017,2235.3055767355,E
227,Total internal renewable water resources per capita,2018,2211.3191120735,E
228,Total renewable surface water,1962,23.5,E
229,Total renewable surface water,1967,23.5,E
230,Total renewable surface water,1972,23.5,E
231,Total renewable surface water,1977,23.5,E
232,Total renewable surface water,1982,23.5,E
233,Total renewable surface water,1987,23.5,E
234,Total renewable surface water,1992,23.5,E
235,Total renewable surface water,1997,23.5,E
236,Total renewable surface water,2002,23.5,E
237,Total renewable surface water,2007,23.5,E
238,Total renewable surface water,2012,23.5,E
239,Total renewable surface water,2017,23.5,E
240,Total renewable surface water,2018,23.5,E
241,Total renewable groundwater,1962,4.161,E
242,Total renewable groundwater,1967,4.161,E
243,Total renewable groundwater,1972,4.161,E
244,Total renewable groundwater,1977,4.161,E
245,Total renewable groundwater,1982,4.161,E
246,Total renewable groundwater,1987,4.161,E
247,Total renewable groundwater,1992,4.161,E
248,Total renewable groundwater,1997,4.161,E
249,Total renewable groundwater,2002,4.161,E
250,Total renewable groundwater,2007,4.161,E
251,Total renewable groundwater,2012,4.161,E
252,Total renewable groundwater,2017,4.161,E
253,Total renewable groundwater,2018,4.161,E
254,Total exploitable water resources,1962,2.469,E
255,Total exploitable water resources,1967,2.469,E
256,Total exploitable water resources,1972,2.469,E
257,Total exploitable water resources,1977,2.469,E
258,Total exploitable water resources,1982,2.469,E
259,Total exploitable water resources,1987,2.469,E
260,Total exploitable water resources,1992,2.469,E
261,Total exploitable water resources,1997,2.469,E
262,Total exploitable water resources,2002,2.469,E
263,Total exploitable water resources,2007,2.469,E
264,Total exploitable water resources,2012,2.469,E
265,Total exploitable water resources,2017,2.469,E
266,Total exploitable water resources,2018,2.469,E
267,Water resources: total external renewable,1962,0.0,E
268,Water resources: total external renewable,1967,0.0,E
269,Water resources: total external renewable,1972,0.0,E
270,Water resources: total external renewable,1977,0.0,E
271,Water resources: total external renewable,1982,0.0,E
272,Water resources: total external renewable,1987,0.0,E
273,Water resources: total external renewable,1992,0.0,E
274,Water resources: total external renewable,1997,0.0,E
275,Water resources: total external renewable,2002,0.0,E
276,Water resources: total external renewable,2007,0.0,E
277,Water resources: total external renewable,2012,0.0,E
278,Water resources: total external renewable,2017,0.0,E
279,Water resources: total external renewable,2018,0.0,E
280,Total renewable water resources,1962,23.5,E
281,Total renewable water resources,1967,23.5,E
282,Total renewable water resources,1972,23.5,E
283,Total renewable water resources,1977,23.5,E
284,Total renewable water resources,1982,23.5,E
285,Total renewable water resources,1987,23.5,E
286,Total renewable water resources,1992,23.5,E
287,Total renewable water resources,1997,23.5,E
288,Total renewable water resources,2002,23.5,E
289,Total renewable water resources,2007,23.5,E
290,Total renewable water resources,2012,23.5,E
291,Total renewable water resources,2017,23.5,E
292,Total renewable water resources,2018,23.5,E
293,Total renewable water resources per capita,1962,6674.2061528796,E
294,Total renewable water resources per capita,1967,5699.6060238287,E
295,Total renewable water resources per capita,1972,4941.6891198095,E
296,Total renewable water resources per capita,1977,4345.8159963014,E
297,Total renewable water resources per capita,1982,3872.9220125351,E
298,Total renewable water resources per capita,1987,3491.8624004132,E
299,Total renewable water resources per capita,1992,3172.0997761712,E
300,Total renewable water resources per capita,1997,2906.8303958472,E
301,Total renewable water resources per capita,2002,2693.4174596489,E
302,Total renewable water resources per capita,2007,2516.3668246053,E
303,Total renewable water resources per capita,2012,2366.3476762869,E
304,Total renewable water resources per capita,2017,2235.3055767355,E
305,Total renewable water resources per capita,2018,2211.3191120735,E
306,Total agricultural water managed area,2002,275.65,E
307,Total agricultural water managed area,2007,288.9,E
308,Total agricultural water managed area,2012,310.1,E
309,Total agricultural water managed area,2017,310.1,I
310,Total agricultural water managed area,2018,310.1,I
311,Area equipped for irrigation: total,2002,275.65,E
312,Area equipped for irrigation: total,2007,288.9,E
313,Area equipped for irrigation: total,2012,310.1,E
314,Area equipped for irrigation: total,2017,310.1,I
315,Area equipped for irrigation: total,2018,310.1,I
316,% of agricultural GVA produced by irrigated agriculture,2002,26.1485123068,E
317,% of agricultural GVA produced by irrigated agriculture,2007,34.0464145323,E
318,% of agricultural GVA produced by irrigated agriculture,2012,35.7032587098,E
319,% of agricultural GVA produced by irrigated agriculture,2017,33.7572079208,E
320,% of agricultural GVA produced by irrigated agriculture,2018,33.7572079208,E
321,Ratio between rainfed and irrigated yields,1962,1.61,E
322,Ratio between rainfed and irrigated yields,1967,1.61,E
323,Ratio between rainfed and irrigated yields,1972,1.61,E
324,Ratio between rainfed and irrigated yields,1977,1.61,E
325,Ratio between rainfed and irrigated yields,1982,1.61,E
326,Ratio between rainfed and irrigated yields,1987,1.61,E
327,Ratio between rainfed and irrigated yields,1992,1.61,E
328,Ratio between rainfed and irrigated yields,1997,1.61,E
329,Ratio between rainfed and irrigated yields,2002,1.61,E
330,Ratio between rainfed and irrigated yields,2007,1.61,I
331,Ratio between rainfed and irrigated yields,2012,1.61,E
332,Ratio between rainfed and irrigated yields,2017,1.61,I
333,Ratio between rainfed and irrigated yields,2018,1.61,I
334,Agricultural water withdrawal as % of total renewable water resources,1997,26.4361702128,I
335,Agricultural water withdrawal as % of total renewable water resources,2002,18.3608510638,I
336,Agricultural water withdrawal as % of total renewable water resources,2007,21.1838297872,I
337,Agricultural water withdrawal as % of total renewable water resources,2012,27.4646808511,I
338,Agricultural water withdrawal as % of total renewable water resources,2017,32.1829787234,I
339,Agricultural water withdrawal as % of total renewable water resources,2018,32.1829787234,I
340,Agricultural water withdrawal,2002,4.3148,I
341,Agricultural water withdrawal,2007,4.9782,I
342,Agricultural water withdrawal,2012,6.4542,I
343,Agricultural water withdrawal,2017,7.563,I
344,Agricultural water withdrawal,2018,7.563,I
345,Irrigation water requirement,2007,1.136,I
346,Irrigation water requirement,2012,1.136,I
347,Irrigation water requirement,2017,1.136,I
348,Irrigation water requirement,2018,1.136,I
349,Irrigation water withdrawal,2002,3.9745,I
350,Irrigation water withdrawal,2007,4.414,I
351,Irrigation water withdrawal,2012,5.4994,I
352,Irrigation water withdrawal,2017,6.43,I
353,Irrigation water withdrawal,2018,6.43,I
354,Municipal water withdrawal,2002,0.6496,I
355,Municipal water withdrawal,2007,0.7764,I
356,Municipal water withdrawal,2012,0.855,I
357,Municipal water withdrawal,2017,0.855,I
358,Municipal water withdrawal,2018,0.855,I
359,Industrial water withdrawal,2002,0.1426,I
360,Industrial water withdrawal,2007,0.3898,I
361,Industrial water withdrawal,2012,0.61556,I
362,Industrial water withdrawal,2017,0.6599,I
363,Industrial water withdrawal,2018,0.6599,I
364,Total water withdrawal,2002,5.107,I
365,Total water withdrawal,2007,6.1444,I
366,Total water withdrawal,2012,7.92476,E
367,Total water withdrawal,2017,9.0779,E
368,Total water withdrawal,2018,9.0779,E
369,Fresh groundwater withdrawal,1997,0.386,I
370,Fresh groundwater withdrawal,2002,0.386,I
371,Fresh groundwater withdrawal,2007,0.386,I
372,Fresh groundwater withdrawal,2012,0.386,I
373,Fresh groundwater withdrawal,2017,0.386,I
374,Fresh groundwater withdrawal,2018,0.386,I
375,Total freshwater withdrawal,2000,4.865,E
376,Produced municipal wastewater,2012,0.427,I
377,Produced municipal wastewater,2017,0.427,I
378,Produced municipal wastewater,2018,0.427,I
379,Collected municipal wastewater,2012,0.041,I
380,Collected municipal wastewater,2017,0.041,I
381,Collected municipal wastewater,2018,0.041,I
382,Not treated municipal wastewater,2012,0.419,I
383,Not treated municipal wastewater,2017,0.419,I
384,Not treated municipal wastewater,2018,0.419,I
386,Treated municipal wastewater,2012,0.008,I
387,Treated municipal wastewater,2017,0.008,I
388,Treated municipal wastewater,2018,0.008,I
402,SDG 6.4.2. Water Stress,2000,26.961870982,E
403,SDG 6.4.2. Water Stress,2005,30.2094879184,E
404,SDG 6.4.2. Water Stress,2010,39.553314121,E
405,SDG 6.4.1. Water Use Efficiency,2015,6.7449839584,I
406,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.1720592509,E
407,SDG 6.4.1. Industrial Water Use Efficiency,2015,26.7579454251,E
408,SDG 6.4.1. Services Water Use Efficiency,2015,49.4402778655,E
409,Area salinized by irrigation,2007,50.34,I
410,Area salinized by irrigation,2012,50.34,I
411,Area salinized by irrigation,2017,50.34,I
412,Area salinized by irrigation,2018,50.34,I
413,Harvested irrigated temporary crop area: Rice,2007,160.1,I
414,Harvested irrigated temporary crop area: Rice,2012,160.1,I
415,Harvested irrigated temporary crop area: Rice,2017,160.1,I
416,Harvested irrigated temporary crop area: Rice,2018,160.1,I
417,Harvested irrigated temporary crop area: Maize,2007,8.0,I
418,Harvested irrigated temporary crop area: Maize,2012,8.0,I
419,Harvested irrigated temporary crop area: Maize,2017,8.0,I
420,Harvested irrigated temporary crop area: Maize,2018,8.0,I
421,Harvested irrigated temporary crop area: Sorghum,2007,2.2,I
422,Harvested irrigated temporary crop area: Sorghum,2012,2.2,I
423,Harvested irrigated temporary crop area: Sorghum,2017,2.2,I
424,Harvested irrigated temporary crop area: Sorghum,2018,2.2,I
425,Harvested irrigated temporary crop area: Potatoes,2007,5.485,I
426,Harvested irrigated temporary crop area: Potatoes,2012,5.485,I
427,Harvested irrigated temporary crop area: Potatoes,2017,5.485,I
428,Harvested irrigated temporary crop area: Potatoes,2018,5.485,I
429,Harvested irrigated permanent crop area: Plantains,2007,23.74,I
430,Harvested irrigated permanent crop area: Plantains,2012,23.74,I
431,Harvested irrigated permanent crop area: Plantains,2017,23.74,I
432,Harvested irrigated permanent crop area: Plantains,2018,23.74,I
433,Harvested irrigated temporary crop area: Sugarcane,2007,12.35,I
434,Harvested irrigated temporary crop area: Sugarcane,2012,12.35,I
435,Harvested irrigated temporary crop area: Sugarcane,2017,12.35,I
436,Harvested irrigated temporary crop area: Sugarcane,2018,12.35,I
437,Harvested irrigated temporary crop area: Vegetables,2007,35.6,I
438,Harvested irrigated temporary crop area: Vegetables,2012,35.6,I
439,Harvested irrigated temporary crop area: Vegetables,2017,35.6,I
440,Harvested irrigated temporary crop area: Vegetables,2018,35.6,I
441,Harvested irrigated temporary crop area: Fodder,2007,4.0,I
442,Harvested irrigated temporary crop area: Fodder,2012,4.0,I
443,Harvested irrigated temporary crop area: Fodder,2017,4.0,I
444,Harvested irrigated temporary crop area: Fodder,2018,4.0,I
445,Harvested irrigated temporary crop area: Groundnuts,2007,1.24,I
446,Harvested irrigated temporary crop area: Groundnuts,2012,1.24,I
447,Harvested irrigated temporary crop area: Groundnuts,2017,1.24,I
448,Harvested irrigated temporary crop area: Groundnuts,2018,1.24,I
449,Harvested irrigated temporary crop area: Other crops,2007,27.24,I
450,Harvested irrigated temporary crop area: Other crops,2012,27.24,I
451,Harvested irrigated temporary crop area: Other crops,2017,27.24,I
452,Harvested irrigated temporary crop area: Other crops,2018,27.24,I
453,Harvested irrigated permanent crop area: Other crops,2007,8.5,I
454,Harvested irrigated permanent crop area: Other crops,2012,8.5,I
455,Harvested irrigated permanent crop area: Other crops,2017,8.5,I
456,Harvested irrigated permanent crop area: Other crops,2018,8.5,I
