Eswatini,Variable Name,Year,Value,Symbol
95,"Agriculture, value added (% GDP)",1977,20.329702,X
96,"Agriculture, value added (% GDP)",1982,19.402542,X
97,"Agriculture, value added (% GDP)",1987,11.01493,X
98,"Agriculture, value added (% GDP)",1992,8.489044,X
99,"Agriculture, value added (% GDP)",1997,8.543769,X
100,"Agriculture, value added (% GDP)",2002,12.502544,X
101,"Agriculture, value added (% GDP)",2007,10.754204,X
102,"Agriculture, value added (% GDP)",2010,10.156261,X
103,"Agriculture, value added to GDP",1962,15959681.0,X
104,"Agriculture, value added to GDP",1967,20579588.0,X
105,"Agriculture, value added to GDP",1969,30659387.0,X
106,Number of people undernourished (3-year average),1992,100.0,X
107,Number of people undernourished (3-year average),1997,200.0,X
108,Number of people undernourished (3-year average),2002,100.0,X
109,Number of people undernourished (3-year average),2007,100.0,X
110,Number of people undernourished (3-year average),2009,100.0,X
111,Prevalence of undernourishment (3-year average),1992,15.9,X
112,Prevalence of undernourishment (3-year average),1997,21.7,X
113,Prevalence of undernourishment (3-year average),2001,19.2,X
114,Total population with access to safe drinking-water (JMP),1992,38.9,X
115,Total population with access to safe drinking-water (JMP),1997,46.5,X
116,Total population with access to safe drinking-water (JMP),2002,55.6,X
117,Total population with access to safe drinking-water (JMP),2007,64.8,X
118,Total population with access to safe drinking-water (JMP),2012,74.2,X
119,Total population with access to safe drinking-water (JMP),2017,74.1,I
120,Total population with access to safe drinking-water (JMP),2018,74.1,I
121,Population affected by water related disease,2002,2.926,I
122,Population affected by water related disease,2007,2.926,I
123,Population affected by water related disease,2012,2.926,I
124,Population affected by water related disease,2017,2.926,I
125,Population affected by water related disease,2018,2.926,I
126,Long-term average annual precipitation in volume,1962,13.67968,E
127,Long-term average annual precipitation in volume,1967,13.67968,E
128,Long-term average annual precipitation in volume,1972,13.67968,E
129,Long-term average annual precipitation in volume,1977,13.67968,E
130,Long-term average annual precipitation in volume,1982,13.67968,E
131,Long-term average annual precipitation in volume,1987,13.67968,E
132,Long-term average annual precipitation in volume,1992,13.67968,E
133,Long-term average annual precipitation in volume,1997,13.67968,E
134,Long-term average annual precipitation in volume,2002,13.67968,E
135,Long-term average annual precipitation in volume,2007,13.67968,E
136,Long-term average annual precipitation in volume,2012,13.67968,E
137,Long-term average annual precipitation in volume,2017,13.67968,E
138,Long-term average annual precipitation in volume,2018,13.67968,E
139,Interannual variability (WRI),2017,4.2,I
140,Interannual variability (WRI),2018,4.2,I
141,Seasonal variability (WRI),2017,2.8,I
142,Seasonal variability (WRI),2018,2.8,I
143,Flood occurrence (WRI),2017,3.1,I
144,Flood occurrence (WRI),2018,3.1,I
145,Surface water: entering the country (total),1962,1.87,OF
146,Surface water: entering the country (total),1967,1.87,OF
147,Surface water: entering the country (total),1972,1.87,OF
148,Surface water: entering the country (total),1977,1.87,OF
149,Surface water: entering the country (total),1982,1.87,OF
150,Surface water: entering the country (total),1987,1.87,OF
151,Surface water: entering the country (total),1992,1.87,OF
152,Surface water: entering the country (total),1997,1.87,OF
153,Surface water: entering the country (total),2002,1.87,OF
154,Surface water: entering the country (total),2007,1.87,OF
155,Surface water: entering the country (total),2012,1.87,OF
156,Surface water: entering the country (total),2017,1.87,OF
157,Surface water: leaving the country to other countries (total),1962,4.5,OF
158,Surface water: leaving the country to other countries (total),1967,4.5,OF
159,Surface water: leaving the country to other countries (total),1972,4.5,OF
160,Surface water: leaving the country to other countries (total),1977,4.5,OF
161,Surface water: leaving the country to other countries (total),1982,4.5,OF
162,Surface water: leaving the country to other countries (total),1987,4.5,OF
163,Surface water: leaving the country to other countries (total),1992,4.5,OF
164,Surface water: leaving the country to other countries (total),1997,4.5,OF
165,Surface water: leaving the country to other countries (total),2002,4.5,OF
166,Surface water: leaving the country to other countries (total),2007,4.5,OF
167,Surface water: leaving the country to other countries (total),2012,4.5,OF
168,Surface water: leaving the country to other countries (total),2017,4.5,OF
169,Groundwater: entering the country (total),1962,0.0,OF
170,Groundwater: entering the country (total),1967,0.0,OF
171,Groundwater: entering the country (total),1972,0.0,OF
172,Groundwater: entering the country (total),1977,0.0,OF
173,Groundwater: entering the country (total),1982,0.0,OF
174,Groundwater: entering the country (total),1987,0.0,OF
175,Groundwater: entering the country (total),1992,0.0,OF
176,Groundwater: entering the country (total),1997,0.0,OF
177,Groundwater: entering the country (total),2002,0.0,OF
178,Groundwater: entering the country (total),2007,0.0,OF
179,Groundwater: entering the country (total),2012,0.0,OF
180,Groundwater: entering the country (total),2017,0.0,OF
181,Dependency ratio,1962,41.4634146341,E
182,Dependency ratio,1967,41.4634146341,E
183,Dependency ratio,1972,41.4634146341,E
184,Dependency ratio,1977,41.4634146341,E
185,Dependency ratio,1982,41.4634146341,E
186,Dependency ratio,1987,41.4634146341,E
187,Dependency ratio,1992,41.4634146341,E
188,Dependency ratio,1997,41.4634146341,E
189,Dependency ratio,2002,41.4634146341,E
190,Dependency ratio,2007,41.4634146341,E
191,Dependency ratio,2012,41.4634146341,E
192,Dependency ratio,2017,41.4634146341,E
193,Dependency ratio,2018,41.4634146341,E
194,Total internal renewable water resources (IRWR),1962,2.64,E
195,Total internal renewable water resources (IRWR),1967,2.64,E
196,Total internal renewable water resources (IRWR),1972,2.64,E
197,Total internal renewable water resources (IRWR),1977,2.64,E
198,Total internal renewable water resources (IRWR),1982,2.64,E
199,Total internal renewable water resources (IRWR),1987,2.64,E
200,Total internal renewable water resources (IRWR),1992,2.64,E
201,Total internal renewable water resources (IRWR),1997,2.64,E
202,Total internal renewable water resources (IRWR),2002,2.64,E
203,Total internal renewable water resources (IRWR),2007,2.64,E
204,Total internal renewable water resources (IRWR),2012,2.64,E
205,Total internal renewable water resources (IRWR),2017,2.64,E
206,Total internal renewable water resources (IRWR),2018,2.64,E
207,Total internal renewable water resources per capita,1962,7539.4966814791,E
208,Total internal renewable water resources per capita,1967,6687.6584835734,E
209,Total internal renewable water resources per capita,1972,5776.312305952,E
210,Total internal renewable water resources per capita,1977,4959.981963702,E
211,Total internal renewable water resources per capita,1982,4191.7337105894,E
212,Total internal renewable water resources per capita,1987,3526.4322123553,E
213,Total internal renewable water resources per capita,1992,3045.0072837958,E
214,Total internal renewable water resources per capita,1997,2740.2208368884,E
215,Total internal renewable water resources per capita,2002,2590.6252729234,E
216,Total internal renewable water resources per capita,2007,2532.0049259005,E
217,Total internal renewable water resources per capita,2012,2446.0570301903,E
218,Total internal renewable water resources per capita,2017,2347.0734927387,E
219,Total internal renewable water resources per capita,2018,2323.3689553904,E
220,Total renewable surface water,1962,4.51,E
221,Total renewable surface water,1967,4.51,E
222,Total renewable surface water,1972,4.51,E
223,Total renewable surface water,1977,4.51,E
224,Total renewable surface water,1982,4.51,E
225,Total renewable surface water,1987,4.51,E
226,Total renewable surface water,1992,4.51,E
227,Total renewable surface water,1997,4.51,E
228,Total renewable surface water,2002,4.51,E
229,Total renewable surface water,2007,4.51,E
230,Total renewable surface water,2012,4.51,E
231,Total renewable surface water,2017,4.51,E
232,Total renewable surface water,2018,4.51,E
233,Total renewable groundwater,1962,0.66,E
234,Total renewable groundwater,1967,0.66,E
235,Total renewable groundwater,1972,0.66,E
236,Total renewable groundwater,1977,0.66,E
237,Total renewable groundwater,1982,0.66,E
238,Total renewable groundwater,1987,0.66,E
239,Total renewable groundwater,1992,0.66,E
240,Total renewable groundwater,1997,0.66,E
241,Total renewable groundwater,2002,0.66,E
242,Total renewable groundwater,2007,0.66,E
243,Total renewable groundwater,2012,0.66,E
244,Total renewable groundwater,2017,0.66,E
245,Total renewable groundwater,2018,0.66,E
246,Water resources: total external renewable,1962,1.87,E
247,Water resources: total external renewable,1967,1.87,E
248,Water resources: total external renewable,1972,1.87,E
249,Water resources: total external renewable,1977,1.87,E
250,Water resources: total external renewable,1982,1.87,E
251,Water resources: total external renewable,1987,1.87,E
252,Water resources: total external renewable,1992,1.87,E
253,Water resources: total external renewable,1997,1.87,E
254,Water resources: total external renewable,2002,1.87,E
255,Water resources: total external renewable,2007,1.87,E
256,Water resources: total external renewable,2012,1.87,E
257,Water resources: total external renewable,2017,1.87,E
258,Water resources: total external renewable,2018,1.87,E
259,Total renewable water resources,1962,4.51,E
260,Total renewable water resources,1967,4.51,E
261,Total renewable water resources,1972,4.51,E
262,Total renewable water resources,1977,4.51,E
263,Total renewable water resources,1982,4.51,E
264,Total renewable water resources,1987,4.51,E
265,Total renewable water resources,1992,4.51,E
266,Total renewable water resources,1997,4.51,E
267,Total renewable water resources,2002,4.51,E
268,Total renewable water resources,2007,4.51,E
269,Total renewable water resources,2012,4.51,E
270,Total renewable water resources,2017,4.51,E
271,Total renewable water resources,2018,4.51,E
272,Total renewable water resources per capita,1962,12879.9734975268,E
273,Total renewable water resources per capita,1967,11424.749909438,E
274,Total renewable water resources per capita,1972,9867.8668560014,E
275,Total renewable water resources per capita,1977,8473.3025213242,E
276,Total renewable water resources per capita,1982,7160.8784222568,E
277,Total renewable water resources per capita,1987,6024.321696107,E
278,Total renewable water resources per capita,1992,5201.8874431512,E
279,Total renewable water resources per capita,1997,4681.2105963509,E
280,Total renewable water resources per capita,2002,4425.6515079107,E
281,Total renewable water resources per capita,2007,4325.50841508,E
282,Total renewable water resources per capita,2012,4178.6807599084,E
283,Total renewable water resources per capita,2017,4009.5838834287,E
284,Total renewable water resources per capita,2018,3969.0886321253,E
285,Total agricultural water managed area,2002,49.851,I
286,Total agricultural water managed area,2007,49.851,I
287,Total agricultural water managed area,2012,49.851,I
288,Total agricultural water managed area,2017,49.851,I
289,Total agricultural water managed area,2018,49.851,I
290,Area equipped for irrigation: total,2002,49.851,I
291,Area equipped for irrigation: total,2007,49.851,I
292,Area equipped for irrigation: total,2012,49.851,I
293,Area equipped for irrigation: total,2017,49.851,I
294,Area equipped for irrigation: total,2018,49.851,I
295,% of agricultural GVA produced by irrigated agriculture,2002,30.4127589147,E
296,% of agricultural GVA produced by irrigated agriculture,2007,30.4127589147,I
297,% of agricultural GVA produced by irrigated agriculture,2012,30.7044099077,E
298,% of agricultural GVA produced by irrigated agriculture,2017,30.7044099077,E
299,% of agricultural GVA produced by irrigated agriculture,2018,30.7044099077,E
300,Ratio between rainfed and irrigated yields,1962,1.408,E
301,Ratio between rainfed and irrigated yields,1967,1.408,E
302,Ratio between rainfed and irrigated yields,1972,1.408,E
303,Ratio between rainfed and irrigated yields,1977,1.408,E
304,Ratio between rainfed and irrigated yields,1982,1.408,E
305,Ratio between rainfed and irrigated yields,1987,1.408,E
306,Ratio between rainfed and irrigated yields,1992,1.408,E
307,Ratio between rainfed and irrigated yields,1997,1.408,E
308,Ratio between rainfed and irrigated yields,2002,1.408,E
309,Ratio between rainfed and irrigated yields,2007,1.408,I
310,Ratio between rainfed and irrigated yields,2012,1.408,E
311,Ratio between rainfed and irrigated yields,2017,1.408,I
312,Ratio between rainfed and irrigated yields,2018,1.408,I
313,Agricultural water withdrawal as % of total renewable water resources,1982,14.8026607539,I
314,Agricultural water withdrawal as % of total renewable water resources,1987,16.8869179601,I
315,Agricultural water withdrawal as % of total renewable water resources,1992,18.9711751663,I
316,Agricultural water withdrawal as % of total renewable water resources,1997,21.0554323725,I
317,Agricultural water withdrawal as % of total renewable water resources,2002,22.3059866962,I
318,Agricultural water withdrawal as % of total renewable water resources,2007,22.3059866962,I
319,Agricultural water withdrawal as % of total renewable water resources,2012,22.3059866962,I
320,Agricultural water withdrawal as % of total renewable water resources,2017,22.3059866962,I
321,Agricultural water withdrawal as % of total renewable water resources,2018,22.3059866962,I
322,Agricultural water withdrawal,1982,0.6676,I
323,Agricultural water withdrawal,1987,0.7616,I
324,Agricultural water withdrawal,1992,0.8556,I
325,Agricultural water withdrawal,1997,0.9496,I
326,Agricultural water withdrawal,2002,1.006,I
327,Agricultural water withdrawal,2007,1.006,I
328,Agricultural water withdrawal,2012,1.006,I
329,Agricultural water withdrawal,2017,1.006,I
330,Agricultural water withdrawal,2018,1.006,I
331,Irrigation water requirement,2002,0.313,E
332,Irrigation water requirement,2007,0.313,I
333,Irrigation water requirement,2012,0.313,I
334,Irrigation water requirement,2017,0.313,I
335,Irrigation water requirement,2018,0.313,I
336,Irrigation water withdrawal,2002,0.993,I
337,Irrigation water withdrawal,2007,0.993,I
338,Irrigation water withdrawal,2012,0.993,I
339,Irrigation water withdrawal,2017,0.993,I
340,Irrigation water withdrawal,2018,0.993,I
341,Municipal water withdrawal,1982,0.0123,I
342,Municipal water withdrawal,1987,0.01555,I
343,Municipal water withdrawal,1992,0.0188,I
344,Municipal water withdrawal,1997,0.02205,I
345,Municipal water withdrawal,2002,0.03092,I
346,Municipal water withdrawal,2007,0.0413,I
347,Municipal water withdrawal,2012,0.0413,I
348,Municipal water withdrawal,2017,0.0413,I
349,Municipal water withdrawal,2018,0.0413,I
350,Industrial water withdrawal,1982,0.0156,I
351,Industrial water withdrawal,1987,0.0146,I
352,Industrial water withdrawal,1992,0.0136,I
353,Industrial water withdrawal,1997,0.0126,I
354,Industrial water withdrawal,2002,0.01548,I
355,Industrial water withdrawal,2007,0.0207,I
356,Industrial water withdrawal,2012,0.0207,I
357,Industrial water withdrawal,2017,0.0207,I
358,Industrial water withdrawal,2018,0.0207,I
359,Total water withdrawal,1982,0.6955,I
360,Total water withdrawal,1987,0.79175,I
361,Total water withdrawal,1992,0.888,I
362,Total water withdrawal,1997,0.98425,I
363,Total water withdrawal,2002,1.0524,E
364,Total water withdrawal,2007,1.068,E
365,Total water withdrawal,2012,1.068,E
366,Total water withdrawal,2017,1.068,E
367,Total water withdrawal,2018,1.068,E
368,Total freshwater withdrawal,1982,0.6955,I
369,Total freshwater withdrawal,1987,0.79175,I
370,Total freshwater withdrawal,1992,0.888,I
371,Total freshwater withdrawal,1997,0.98425,I
372,Total freshwater withdrawal,2002,1.0524,E
373,Total freshwater withdrawal,2007,1.068,E
374,Total freshwater withdrawal,2012,1.068,E
375,Total freshwater withdrawal,2017,1.068,E
376,Total freshwater withdrawal,2018,1.068,E
377,Produced municipal wastewater,1992,0.0129090909,I
378,Produced municipal wastewater,1997,0.0124545455,I
379,Produced municipal wastewater,2002,0.012,
380,Produced municipal wastewater,2007,0.012125,I
381,Produced municipal wastewater,2012,0.0129,OF
382,Produced municipal wastewater,2017,0.0132,I
383,Produced municipal wastewater,2018,0.0132,I
385,Not treated municipal wastewater,2007,0.003,I
386,Not treated municipal wastewater,2012,0.003,I
387,Not treated municipal wastewater,2017,0.003,I
388,Not treated municipal wastewater,2018,0.003,I
389,Treated municipal wastewater,2002,0.009,OF
390,Treated municipal wastewater,2007,0.009,I
391,Treated municipal wastewater,2012,0.009,I
392,Treated municipal wastewater,2017,0.009,I
393,Treated municipal wastewater,2018,0.009,I
406,SDG 6.4.2. Water Stress,1982,50.5083514887,E
407,SDG 6.4.2. Water Stress,1987,57.498184459,E
408,SDG 6.4.2. Water Stress,1992,64.4880174292,E
409,SDG 6.4.2. Water Stress,1997,71.4778503994,E
410,SDG 6.4.2. Water Stress,2002,76.4270152505,E
411,SDG 6.4.2. Water Stress,2007,77.559912854,E
412,SDG 6.4.2. Water Stress,2012,77.559912854,E
413,SDG 6.4.2. Water Stress,2017,77.559912854,E
414,SDG 6.4.2. Water Stress,2018,77.559912854,E
415,SDG 6.4.1. Water Use Efficiency,2015,3.3839576904,I
416,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.1158996892,E
417,SDG 6.4.1. Industrial Water Use Efficiency,2015,68.0739423188,E
418,SDG 6.4.1. Services Water Use Efficiency,2015,50.5651602906,E
419,Area waterlogged by irrigation,1992,7.46,I
420,Area waterlogged by irrigation,1997,7.46,I
421,Area waterlogged by irrigation,2002,7.46,I
422,Area waterlogged by irrigation,2007,7.46,I
423,Area waterlogged by irrigation,2012,7.46,I
424,Area waterlogged by irrigation,2017,7.46,I
425,Area waterlogged by irrigation,2018,7.46,I
426,Harvested irrigated temporary crop area: Rice,2002,0.05,E
427,Harvested irrigated temporary crop area: Rice,2007,0.05,I
428,Harvested irrigated temporary crop area: Rice,2012,0.05,I
429,Harvested irrigated temporary crop area: Rice,2017,0.05,I
430,Harvested irrigated temporary crop area: Rice,2018,0.05,I
431,Harvested irrigated temporary crop area: Maize,2002,0.5,E
432,Harvested irrigated temporary crop area: Maize,2007,0.5,I
433,Harvested irrigated temporary crop area: Maize,2012,0.5,I
434,Harvested irrigated temporary crop area: Maize,2017,0.5,I
435,Harvested irrigated temporary crop area: Maize,2018,0.5,I
436,Harvested irrigated temporary crop area: Potatoes,2002,0.075,E
437,Harvested irrigated temporary crop area: Potatoes,2007,0.075,I
438,Harvested irrigated temporary crop area: Potatoes,2012,0.075,I
439,Harvested irrigated temporary crop area: Potatoes,2017,0.075,I
440,Harvested irrigated temporary crop area: Potatoes,2018,0.075,I
441,Harvested irrigated temporary crop area: Sugarcane,2002,41.52,OF
442,Harvested irrigated temporary crop area: Sugarcane,2007,41.52,I
443,Harvested irrigated temporary crop area: Sugarcane,2012,41.52,I
444,Harvested irrigated temporary crop area: Sugarcane,2017,41.52,I
445,Harvested irrigated temporary crop area: Sugarcane,2018,41.52,I
446,Harvested irrigated temporary crop area: Vegetables,2002,0.778,E
447,Harvested irrigated temporary crop area: Vegetables,2007,0.778,I
448,Harvested irrigated temporary crop area: Vegetables,2012,0.778,I
449,Harvested irrigated temporary crop area: Vegetables,2017,0.778,I
450,Harvested irrigated temporary crop area: Vegetables,2018,0.778,I
451,Harvested irrigated permanent crop area: Bananas,2002,0.05,E
452,Harvested irrigated permanent crop area: Bananas,2007,0.05,I
453,Harvested irrigated permanent crop area: Bananas,2012,0.05,I
454,Harvested irrigated permanent crop area: Bananas,2017,0.05,I
455,Harvested irrigated permanent crop area: Bananas,2018,0.05,I
456,Harvested irrigated permanent crop area: Citrus,1997,3.442375,I
457,Harvested irrigated permanent crop area: Citrus,2002,2.513,E
458,Harvested irrigated permanent crop area: Citrus,2007,2.513,I
459,Harvested irrigated permanent crop area: Citrus,2012,2.513,I
460,Harvested irrigated permanent crop area: Citrus,2017,2.513,I
461,Harvested irrigated permanent crop area: Citrus,2018,2.513,I
462,Harvested irrigated temporary crop area: Other crops,1997,4.4,I
463,Harvested irrigated temporary crop area: Other crops,2002,4.4,I
464,Harvested irrigated temporary crop area: Other crops,2007,4.4,I
465,Harvested irrigated temporary crop area: Other crops,2012,4.4,I
466,Harvested irrigated temporary crop area: Other crops,2017,4.4,I
467,Harvested irrigated temporary crop area: Other crops,2018,4.4,I
468,Harvested irrigated permanent crop area: Other crops,1997,7.0,I
469,Harvested irrigated permanent crop area: Other crops,2002,7.0,I
470,Harvested irrigated permanent crop area: Other crops,2007,7.0,I
471,Harvested irrigated permanent crop area: Other crops,2012,7.0,I
472,Harvested irrigated permanent crop area: Other crops,2017,7.0,I
473,Harvested irrigated permanent crop area: Other crops,2018,7.0,I
