United Republic of Tanzania,Variable Name,Year,Value,Symbol
207,Total internal renewable water resources per capita,1977,4968.8811984279,E
208,Total internal renewable water resources per capita,1982,4258.9174379448,E
209,Total internal renewable water resources per capita,1987,3656.7528035105,E
210,Total internal renewable water resources per capita,1992,3115.5886736038,E
211,Total internal renewable water resources per capita,1997,2692.9242165923,E
212,Total internal renewable water resources per capita,2002,2377.2606191949,E
213,Total internal renewable water resources per capita,2007,2064.8249837137,E
214,Total internal renewable water resources per capita,2012,1785.2197828705,E
215,Total internal renewable water resources per capita,2017,1536.7632461994,E
216,Total internal renewable water resources per capita,2018,1491.6510691462,E
217,Total renewable surface water,1962,92.27,E
218,Total renewable surface water,1967,92.27,E
219,Total renewable surface water,1972,92.27,E
220,Total renewable surface water,1977,92.27,E
221,Total renewable surface water,1982,92.27,E
222,Total renewable surface water,1987,92.27,E
223,Total renewable surface water,1992,92.27,E
224,Total renewable surface water,1997,92.27,E
225,Total renewable surface water,2002,92.27,E
226,Total renewable surface water,2007,92.27,E
227,Total renewable surface water,2012,92.27,E
228,Total renewable surface water,2017,92.27,E
229,Total renewable surface water,2018,92.27,E
230,Total renewable groundwater,1962,30.0,E
231,Total renewable groundwater,1967,30.0,E
232,Total renewable groundwater,1972,30.0,E
233,Total renewable groundwater,1977,30.0,E
234,Total renewable groundwater,1982,30.0,E
235,Total renewable groundwater,1987,30.0,E
236,Total renewable groundwater,1992,30.0,E
237,Total renewable groundwater,1997,30.0,E
238,Total renewable groundwater,2002,30.0,E
239,Total renewable groundwater,2007,30.0,E
240,Total renewable groundwater,2012,30.0,E
241,Total renewable groundwater,2017,30.0,E
242,Total renewable groundwater,2018,30.0,E
243,Water resources: total external renewable,1962,12.27,E
244,Water resources: total external renewable,1967,12.27,E
245,Water resources: total external renewable,1972,12.27,E
246,Water resources: total external renewable,1977,12.27,E
247,Water resources: total external renewable,1982,12.27,E
248,Water resources: total external renewable,1987,12.27,E
249,Water resources: total external renewable,1992,12.27,E
250,Water resources: total external renewable,1997,12.27,E
251,Water resources: total external renewable,2002,12.27,E
252,Water resources: total external renewable,2007,12.27,E
253,Water resources: total external renewable,2012,12.27,E
254,Water resources: total external renewable,2017,12.27,E
255,Water resources: total external renewable,2018,12.27,E
256,Total renewable water resources,1962,96.27,E
257,Total renewable water resources,1967,96.27,E
258,Total renewable water resources,1972,96.27,E
259,Total renewable water resources,1977,96.27,E
260,Total renewable water resources,1982,96.27,E
261,Total renewable water resources,1987,96.27,E
262,Total renewable water resources,1992,96.27,E
263,Total renewable water resources,1997,96.27,E
264,Total renewable water resources,2002,96.27,E
265,Total renewable water resources,2007,96.27,E
266,Total renewable water resources,2012,96.27,E
267,Total renewable water resources,2017,96.27,E
268,Total renewable water resources,2018,96.27,E
269,Total renewable water resources per capita,1962,9037.7716330569,E
270,Total renewable water resources per capita,1967,7796.2849451041,E
271,Total renewable water resources per capita,1972,6672.2852386345,E
272,Total renewable water resources per capita,1977,5694.692773484,E
273,Total renewable water resources per capita,1982,4881.0235922732,E
274,Total renewable water resources per capita,1987,4190.8999094518,E
275,Total renewable water resources per capita,1992,3570.687161998,E
276,Total renewable water resources per capita,1997,3086.2835039445,E
277,Total renewable water resources per capita,2002,2724.5104739273,E
278,Total renewable water resources per capita,2007,2366.4369188347,E
279,Total renewable water resources per capita,2012,2045.9893868684,E
280,Total renewable water resources per capita,2017,1761.2404489478,E
281,Total renewable water resources per capita,2018,1709.5386717465,E
282,Total agricultural water managed area,1987,138.9,I
283,Total agricultural water managed area,1992,148.15,I
284,Total agricultural water managed area,1997,165.2444444444,I
285,Total agricultural water managed area,2002,184.3,E
286,Total agricultural water managed area,2007,248.875,E
287,Total agricultural water managed area,2012,246.0625,E
288,Total agricultural water managed area,2017,363.5,I
289,Total agricultural water managed area,2018,363.5,I
290,Area equipped for irrigation: total,1987,138.9,I
291,Area equipped for irrigation: total,1992,148.15,I
292,Area equipped for irrigation: total,1997,165.2444444444,I
293,Area equipped for irrigation: total,2002,184.3,E
294,Area equipped for irrigation: total,2007,248.875,E
295,Area equipped for irrigation: total,2012,246.0625,E
296,Area equipped for irrigation: total,2017,363.5,I
297,Area equipped for irrigation: total,2018,363.5,I
298,% of agricultural GVA produced by irrigated agriculture,2002,5.6116625484,E
299,% of agricultural GVA produced by irrigated agriculture,2007,5.9377609666,E
300,% of agricultural GVA produced by irrigated agriculture,2012,5.1984043511,E
301,% of agricultural GVA produced by irrigated agriculture,2017,5.364129392,E
302,% of agricultural GVA produced by irrigated agriculture,2018,5.364129392,E
303,Ratio between rainfed and irrigated yields,1962,2.612,E
304,Ratio between rainfed and irrigated yields,1967,2.612,E
305,Ratio between rainfed and irrigated yields,1972,2.612,E
306,Ratio between rainfed and irrigated yields,1977,2.612,E
307,Ratio between rainfed and irrigated yields,1982,2.612,E
308,Ratio between rainfed and irrigated yields,1987,2.612,E
309,Ratio between rainfed and irrigated yields,1992,2.612,E
310,Ratio between rainfed and irrigated yields,1997,2.612,E
311,Ratio between rainfed and irrigated yields,2002,2.612,E
312,Ratio between rainfed and irrigated yields,2007,2.612,I
313,Ratio between rainfed and irrigated yields,2012,2.612,E
314,Ratio between rainfed and irrigated yields,2017,2.612,I
315,Ratio between rainfed and irrigated yields,2018,2.612,I
316,Agricultural water withdrawal as % of total renewable water resources,1997,2.4794847824,I
317,Agricultural water withdrawal as % of total renewable water resources,2002,4.811467747,E
318,Agricultural water withdrawal as % of total renewable water resources,2007,4.811467747,I
319,Agricultural water withdrawal as % of total renewable water resources,2012,4.811467747,I
320,Agricultural water withdrawal as % of total renewable water resources,2017,4.811467747,I
321,Agricultural water withdrawal as % of total renewable water resources,2018,4.811467747,I
322,Agricultural water withdrawal,1997,2.387,I
323,Agricultural water withdrawal,2001,4.183,I
324,Agricultural water withdrawal,2007,4.632,I
325,Agricultural water withdrawal,2012,4.632,I
326,Agricultural water withdrawal,2017,4.632,I
327,Agricultural water withdrawal,2018,4.632,I
328,Irrigation water requirement,2002,0.973,E
329,Irrigation water requirement,2007,0.973,I
330,Irrigation water requirement,2012,0.973,I
331,Irrigation water requirement,2017,0.973,I
332,Irrigation water requirement,2018,0.973,I
333,Irrigation water withdrawal,2007,4.425,I
334,Irrigation water withdrawal,2012,4.425,I
335,Irrigation water withdrawal,2017,4.425,I
336,Irrigation water withdrawal,2018,4.425,I
337,Municipal water withdrawal,1972,0.127625,I
338,Municipal water withdrawal,1977,0.1941875,I
339,Municipal water withdrawal,1982,0.26075,I
340,Municipal water withdrawal,1987,0.3273125,I
341,Municipal water withdrawal,1992,0.393875,I
342,Municipal water withdrawal,1997,0.4604375,I
343,Municipal water withdrawal,2001,0.5136875,I
344,Municipal water withdrawal,2007,0.527,I
345,Municipal water withdrawal,2012,0.527,I
346,Municipal water withdrawal,2017,0.527,I
347,Municipal water withdrawal,2018,0.527,I
348,Industrial water withdrawal,1972,0.0240625,I
349,Industrial water withdrawal,1977,0.02421875,I
350,Industrial water withdrawal,1982,0.024375,I
351,Industrial water withdrawal,1987,0.02453125,I
352,Industrial water withdrawal,1992,0.0246875,I
353,Industrial water withdrawal,1997,0.02484375,I
354,Industrial water withdrawal,2001,0.02496875,I
355,Industrial water withdrawal,2007,0.025,I
356,Industrial water withdrawal,2012,0.025,I
357,Industrial water withdrawal,2017,0.025,I
358,Industrial water withdrawal,2018,0.025,I
359,Total water withdrawal,1997,2.87228125,E
360,Total water withdrawal,2002,5.184,E
361,Total water withdrawal,2007,5.184,I
362,Total water withdrawal,2012,5.184,I
363,Total water withdrawal,2017,5.184,I
364,Total water withdrawal,2018,5.184,I
365,Total freshwater withdrawal,1997,2.87228125,E
366,Total freshwater withdrawal,2002,5.184,E
367,Total freshwater withdrawal,2007,5.184,I
368,Total freshwater withdrawal,2012,5.184,I
369,Total freshwater withdrawal,2017,5.184,I
370,Total freshwater withdrawal,2018,5.184,I
372,Collected municipal wastewater,2017,0.028,I
373,Collected municipal wastewater,2018,0.028,I
386,SDG 6.4.2. Water Stress,1997,7.1824987497,E
387,SDG 6.4.2. Water Stress,2002,12.9632408102,E
388,SDG 6.4.2. Water Stress,2007,12.9632408102,E
389,SDG 6.4.2. Water Stress,2012,12.9632408102,E
390,SDG 6.4.2. Water Stress,2017,12.9632408102,E
391,SDG 6.4.2. Water Stress,2018,12.9632408102,E
392,SDG 6.4.1. Water Use Efficiency,2015,6.2250566651,E
393,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.149769452,E
394,SDG 6.4.1. Industrial Water Use Efficiency,1972,54.0719567086,E
395,SDG 6.4.1. Industrial Water Use Efficiency,1977,61.4806192756,E
396,SDG 6.4.1. Industrial Water Use Efficiency,1981,53.2343192306,E
397,SDG 6.4.1. Industrial Water Use Efficiency,1987,58.5348056136,E
398,SDG 6.4.1. Industrial Water Use Efficiency,1989,80.7105595728,E
399,SDG 6.4.1. Industrial Water Use Efficiency,2015,448.25729108,E
400,SDG 6.4.1. Services Water Use Efficiency,1972,35.320962911,E
401,SDG 6.4.1. Services Water Use Efficiency,1977,25.9477223764,E
402,SDG 6.4.1. Services Water Use Efficiency,1981,22.78944277,E
403,SDG 6.4.1. Services Water Use Efficiency,1987,17.7186775413,E
404,SDG 6.4.1. Services Water Use Efficiency,1989,18.4680758946,E
405,SDG 6.4.1. Services Water Use Efficiency,2015,38.653755926,E
406,Area salinized by irrigation,2002,50.0,I
407,Area salinized by irrigation,2007,50.0,I
408,Area salinized by irrigation,2012,50.0,I
409,Area salinized by irrigation,2017,50.0,I
410,Area salinized by irrigation,2018,50.0,I
411,Harvested irrigated temporary crop area: Rice,2002,89.0,OF
412,Harvested irrigated temporary crop area: Rice,2007,80.9863636364,I
413,Harvested irrigated temporary crop area: Rice,2012,72.9727272727,I
414,Harvested irrigated temporary crop area: Rice,2017,71.37,I
415,Harvested irrigated temporary crop area: Rice,2018,71.37,I
416,Harvested irrigated temporary crop area: Maize,2002,57.0,OF
417,Harvested irrigated temporary crop area: Maize,2007,87.4545454545,I
418,Harvested irrigated temporary crop area: Maize,2012,117.9090909091,I
419,Harvested irrigated temporary crop area: Maize,2017,124.0,I
420,Harvested irrigated temporary crop area: Maize,2018,124.0,I
421,Harvested irrigated temporary crop area: Other cereals,2017,15.48,I
422,Harvested irrigated temporary crop area: Other cereals,2018,15.48,I
423,Harvested irrigated temporary crop area: Other roots and tubers,2017,6.4,I
424,Harvested irrigated temporary crop area: Other roots and tubers,2018,6.4,I
425,Harvested irrigated temporary crop area: Sugarcane,1997,11.146,I
426,Harvested irrigated temporary crop area: Sugarcane,2002,11.8285,I
427,Harvested irrigated temporary crop area: Sugarcane,2007,12.511,I
428,Harvested irrigated temporary crop area: Sugarcane,2012,13.1935,I
429,Harvested irrigated temporary crop area: Sugarcane,2017,13.33,I
430,Harvested irrigated temporary crop area: Sugarcane,2018,13.33,I
431,Harvested irrigated temporary crop area: Leguminous crops,2017,26.63,I
432,Harvested irrigated temporary crop area: Leguminous crops,2018,26.63,I
433,Harvested irrigated temporary crop area: Vegetables,2017,41.72,I
434,Harvested irrigated temporary crop area: Vegetables,2018,41.72,I
435,Harvested irrigated permanent crop area: Coffee,2017,2.768,I
436,Harvested irrigated permanent crop area: Coffee,2018,2.768,I
437,Harvested irrigated permanent crop area: Tea,2017,2.57,I
438,Harvested irrigated permanent crop area: Tea,2018,2.57,I
439,Harvested irrigated temporary crop area: Cotton,2017,14.7,I
440,Harvested irrigated temporary crop area: Cotton,2018,14.7,I
441,Harvested irrigated temporary crop area: Other crops,2002,81.0,OF
442,Harvested irrigated temporary crop area: Other crops,2007,49.6590909091,I
443,Harvested irrigated temporary crop area: Other crops,2012,18.3181818182,I
444,Harvested irrigated temporary crop area: Other crops,2017,12.05,I
445,Harvested irrigated temporary crop area: Other crops,2018,12.05,I
