Bahamas,Variable Name,Year,Value,Symbol
274,Area equipped for irrigation: total,2002,1.0,I
275,Area equipped for irrigation: total,2007,1.0,I
276,Area equipped for irrigation: total,2012,1.0,E
277,Area equipped for irrigation: total,2017,1.0,I
278,Area equipped for irrigation: total,2018,1.0,I
279,% of agricultural GVA produced by irrigated agriculture,2012,0.0222228388,E
280,% of agricultural GVA produced by irrigated agriculture,2017,0.0222228388,I
281,% of agricultural GVA produced by irrigated agriculture,2018,0.0222228388,I
283,Ratio between rainfed and irrigated yields,1966,1.778,I
284,Ratio between rainfed and irrigated yields,1971,1.778,I
285,Ratio between rainfed and irrigated yields,1976,1.778,I
286,Ratio between rainfed and irrigated yields,1981,1.778,I
287,Ratio between rainfed and irrigated yields,1986,1.778,I
288,Ratio between rainfed and irrigated yields,1991,1.778,I
289,Ratio between rainfed and irrigated yields,1996,1.778,I
290,Ratio between rainfed and irrigated yields,2001,1.778,I
291,Ratio between rainfed and irrigated yields,2007,1.778,I
292,Ratio between rainfed and irrigated yields,2011,1.778,I
293,Ratio between rainfed and irrigated yields,2017,1.778,I
294,Ratio between rainfed and irrigated yields,2018,1.778,I
295,Municipal water withdrawal,2002,0.0259230769,I
296,Municipal water withdrawal,2007,0.0282307692,I
297,Municipal water withdrawal,2012,0.0305384615,I
298,Municipal water withdrawal,2017,0.031,I
299,Municipal water withdrawal,2018,0.031,I
300,Desalinated water produced,1992,0.0029636364,I
301,Desalinated water produced,1997,0.0057363636,I
302,Desalinated water produced,2002,0.0074,I
303,Desalinated water produced,2007,0.0074,I
304,Desalinated water produced,2012,0.0074,I
305,Desalinated water produced,2017,0.0074,I
306,Desalinated water produced,2018,0.0074,I
307,SDG 6.4.1. Services Water Use Efficiency,2015,304.5548387097,E
