Equatorial Guinea,Variable Name,Year,Value,Symbol
187,Total internal renewable water resources (IRWR),1977,26.0,E
188,Total internal renewable water resources (IRWR),1982,26.0,E
189,Total internal renewable water resources (IRWR),1987,26.0,E
190,Total internal renewable water resources (IRWR),1992,26.0,E
191,Total internal renewable water resources (IRWR),1997,26.0,E
192,Total internal renewable water resources (IRWR),2002,26.0,E
193,Total internal renewable water resources (IRWR),2007,26.0,E
194,Total internal renewable water resources (IRWR),2012,26.0,E
195,Total internal renewable water resources (IRWR),2017,26.0,E
196,Total internal renewable water resources (IRWR),2018,26.0,E
197,Total internal renewable water resources per capita,1962,99153.7607877385,E
198,Total internal renewable water resources per capita,1967,89105.1783817129,E
199,Total internal renewable water resources per capita,1972,89809.7070476441,E
200,Total internal renewable water resources per capita,1977,107368.803581163,E
201,Total internal renewable water resources per capita,1982,91346.6605768893,E
202,Total internal renewable water resources per capita,1987,67888.4853295594,E
203,Total internal renewable water resources per capita,1992,58130.9556281944,E
204,Total internal renewable water resources per capita,1997,48465.8688439026,E
205,Total internal renewable water resources per capita,2002,39490.6316070864,E
206,Total internal renewable water resources per capita,2007,31642.2189957977,E
207,Total internal renewable water resources per capita,2012,25213.5637335857,E
208,Total internal renewable water resources per capita,2017,20602.1860504183,E
209,Total internal renewable water resources per capita,2018,19862.8698027082,E
210,Total renewable surface water,1962,25.0,E
211,Total renewable surface water,1967,25.0,E
212,Total renewable surface water,1972,25.0,E
213,Total renewable surface water,1977,25.0,E
214,Total renewable surface water,1982,25.0,E
215,Total renewable surface water,1987,25.0,E
216,Total renewable surface water,1992,25.0,E
217,Total renewable surface water,1997,25.0,E
218,Total renewable surface water,2002,25.0,E
219,Total renewable surface water,2007,25.0,E
220,Total renewable surface water,2012,25.0,E
221,Total renewable surface water,2017,25.0,E
222,Total renewable surface water,2018,25.0,E
223,Total renewable groundwater,1962,10.0,E
224,Total renewable groundwater,1967,10.0,E
225,Total renewable groundwater,1972,10.0,E
226,Total renewable groundwater,1977,10.0,E
227,Total renewable groundwater,1982,10.0,E
228,Total renewable groundwater,1987,10.0,E
229,Total renewable groundwater,1992,10.0,E
230,Total renewable groundwater,1997,10.0,E
231,Total renewable groundwater,2002,10.0,E
232,Total renewable groundwater,2007,10.0,E
233,Total renewable groundwater,2012,10.0,E
234,Total renewable groundwater,2017,10.0,E
235,Total renewable groundwater,2018,10.0,E
236,Water resources: total external renewable,1962,0.0,E
237,Water resources: total external renewable,1967,0.0,E
238,Water resources: total external renewable,1972,0.0,E
239,Water resources: total external renewable,1977,0.0,E
240,Water resources: total external renewable,1982,0.0,E
241,Water resources: total external renewable,1987,0.0,E
242,Water resources: total external renewable,1992,0.0,E
243,Water resources: total external renewable,1997,0.0,E
244,Water resources: total external renewable,2002,0.0,E
245,Water resources: total external renewable,2007,0.0,E
246,Water resources: total external renewable,2012,0.0,E
247,Water resources: total external renewable,2017,0.0,E
248,Water resources: total external renewable,2018,0.0,E
249,Total renewable water resources,1962,26.0,E
250,Total renewable water resources,1967,26.0,E
251,Total renewable water resources,1972,26.0,E
252,Total renewable water resources,1977,26.0,E
253,Total renewable water resources,1982,26.0,E
254,Total renewable water resources,1987,26.0,E
255,Total renewable water resources,1992,26.0,E
256,Total renewable water resources,1997,26.0,E
257,Total renewable water resources,2002,26.0,E
258,Total renewable water resources,2007,26.0,E
259,Total renewable water resources,2012,26.0,E
260,Total renewable water resources,2017,26.0,E
261,Total renewable water resources,2018,26.0,E
262,Total renewable water resources per capita,1962,99153.7607877385,E
263,Total renewable water resources per capita,1967,89105.1783817129,E
264,Total renewable water resources per capita,1972,89809.7070476441,E
265,Total renewable water resources per capita,1977,107368.803581163,E
266,Total renewable water resources per capita,1982,91346.6605768893,E
267,Total renewable water resources per capita,1987,67888.4853295594,E
268,Total renewable water resources per capita,1992,58130.9556281944,E
269,Total renewable water resources per capita,1997,48465.8688439026,E
270,Total renewable water resources per capita,2002,39490.6316070864,E
271,Total renewable water resources per capita,2007,31642.2189957977,E
272,Total renewable water resources per capita,2012,25213.5637335857,E
273,Total renewable water resources per capita,2017,20602.1860504183,E
274,Total renewable water resources per capita,2018,19862.8698027082,E
275,Agricultural water withdrawal as % of total renewable water resources,1987,0.0023076923,E
276,Agricultural water withdrawal as % of total renewable water resources,1992,0.0028994083,I
277,Agricultural water withdrawal as % of total renewable water resources,1997,0.0034911243,I
278,Agricultural water withdrawal as % of total renewable water resources,2002,0.0038461538,I
279,Agricultural water withdrawal as % of total renewable water resources,2007,0.0038461538,I
280,Agricultural water withdrawal as % of total renewable water resources,2012,0.0038461538,I
281,Agricultural water withdrawal as % of total renewable water resources,2017,0.0038461538,I
282,Agricultural water withdrawal as % of total renewable water resources,2018,0.0038461538,I
283,Agricultural water withdrawal,1987,0.0006,OF
284,Agricultural water withdrawal,1992,0.0007538462,I
285,Agricultural water withdrawal,1997,0.0009076923,I
286,Agricultural water withdrawal,2002,0.001,I
287,Agricultural water withdrawal,2007,0.001,I
288,Agricultural water withdrawal,2012,0.001,I
289,Agricultural water withdrawal,2017,0.001,I
290,Agricultural water withdrawal,2018,0.001,I
291,Municipal water withdrawal,1987,0.0081,OF
292,Municipal water withdrawal,1992,0.0102923077,I
293,Municipal water withdrawal,1997,0.0124846154,I
294,Municipal water withdrawal,2002,0.0146,I
295,Municipal water withdrawal,2007,0.0158,I
296,Municipal water withdrawal,2012,0.0158,I
297,Municipal water withdrawal,2017,0.0158,I
298,Municipal water withdrawal,2018,0.0158,I
299,Industrial water withdrawal,1987,0.0013,OF
300,Industrial water withdrawal,1992,0.0018,I
301,Industrial water withdrawal,1997,0.0023,I
302,Industrial water withdrawal,2002,0.00276,I
303,Industrial water withdrawal,2007,0.003,I
304,Industrial water withdrawal,2012,0.003,I
305,Industrial water withdrawal,2017,0.003,I
306,Industrial water withdrawal,2018,0.003,I
307,Total water withdrawal,1987,0.01,E
308,Total water withdrawal,1992,0.0128461538,I
309,Total water withdrawal,1997,0.0156923077,I
310,Total water withdrawal,2002,0.01836,E
311,Total water withdrawal,2007,0.0198,E
312,Total water withdrawal,2012,0.0198,E
313,Total water withdrawal,2017,0.0198,E
314,Total water withdrawal,2018,0.0198,E
315,Total freshwater withdrawal,1987,0.01,E
316,Total freshwater withdrawal,1992,0.0128461538,I
317,Total freshwater withdrawal,1997,0.0156923077,I
318,Total freshwater withdrawal,2002,0.01836,E
319,Total freshwater withdrawal,2007,0.0198,E
320,Total freshwater withdrawal,2012,0.0198,E
321,Total freshwater withdrawal,2017,0.0198,E
322,Total freshwater withdrawal,2018,0.0198,E
335,SDG 6.4.2. Water Stress,1987,0.0926784059,E
336,SDG 6.4.2. Water Stress,1992,0.1190561061,E
337,SDG 6.4.2. Water Stress,1997,0.1454338062,E
338,SDG 6.4.2. Water Stress,2002,0.1701575533,E
339,SDG 6.4.2. Water Stress,2007,0.1835032437,E
340,SDG 6.4.2. Water Stress,2012,0.1835032437,E
341,SDG 6.4.2. Water Stress,2017,0.1835032437,E
342,SDG 6.4.2. Water Stress,2018,0.1835032437,E
343,SDG 6.4.1. Industrial Water Use Efficiency,2015,2563.5252173333,E
344,SDG 6.4.1. Services Water Use Efficiency,2015,332.3290153797,E
