Guyana,Variable Name,Year,Value,Symbol
63,Urban population,2017,206.425,X
64,Urban population,2018,208.123,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.5292,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.533,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.528,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5153,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5153,I
70,Gross Domestic Product (GDP),1962,194949510.0,X
71,Gross Domestic Product (GDP),1967,250176464.0,X
72,Gross Domestic Product (GDP),1972,457871909.0,X
73,Gross Domestic Product (GDP),1977,703356466.0,X
74,Gross Domestic Product (GDP),1982,768645357.0,X
75,Gross Domestic Product (GDP),1987,548739140.0,X
76,Gross Domestic Product (GDP),1992,596201721.0,X
77,Gross Domestic Product (GDP),1997,1194651695.0,X
78,Gross Domestic Product (GDP),2000,1136500134.0,X
79,GDP per capita,1972,634.217297,X
80,GDP per capita,1977,922.52666,X
81,GDP per capita,1982,983.871094,X
82,GDP per capita,1987,724.402368,X
83,GDP per capita,1992,796.91836,X
84,GDP per capita,1997,1570.855998,X
85,GDP per capita,2002,1540.077335,X
86,GDP per capita,2007,2327.061326,X
87,GDP per capita,2012,3785.935048,X
88,GDP per capita,2017,4570.504571,X
89,GDP per capita,2018,4880.587529,X
90,"Agriculture, value added (% GDP)",1962,25.69,X
91,"Agriculture, value added (% GDP)",1967,21.37,X
92,"Agriculture, value added (% GDP)",1972,10.969285,X
93,"Agriculture, value added (% GDP)",1977,12.507739,X
94,"Agriculture, value added (% GDP)",1982,13.013894,X
95,"Agriculture, value added (% GDP)",1987,25.125215,X
96,"Agriculture, value added (% GDP)",1992,36.674223,X
97,"Agriculture, value added (% GDP)",1997,30.528797,X
98,"Agriculture, value added (% GDP)",2000,25.37011,X
99,"Agriculture, value added to GDP",1962,45732952.0,X
100,"Agriculture, value added to GDP",1967,47117647.0,X
101,"Agriculture, value added to GDP",1969,44700000.0,X
102,Number of people undernourished (3-year average),1992,200.0,X
103,Number of people undernourished (3-year average),1997,100.0,X
104,Number of people undernourished (3-year average),2002,100.0,I
105,Number of people undernourished (3-year average),2007,100.0,I
106,Number of people undernourished (3-year average),2012,100.0,I
107,Number of people undernourished (3-year average),2017,100.0,I
108,Number of people undernourished (3-year average),2018,100.0,I
109,Prevalence of undernourishment (3-year average),1992,22.8,X
110,Prevalence of undernourishment (3-year average),1997,14.6,X
111,Prevalence of undernourishment (3-year average),2001,8.3,X
112,Prevalence of undernourishment (3-year average),2018,6.0,X
113,Total population with access to safe drinking-water (JMP),1992,80.0,X
114,Total population with access to safe drinking-water (JMP),1997,83.9,X
115,Total population with access to safe drinking-water (JMP),2002,87.8,X
116,Total population with access to safe drinking-water (JMP),2007,91.8,X
117,Total population with access to safe drinking-water (JMP),2012,95.9,X
118,Total population with access to safe drinking-water (JMP),2017,98.3,I
119,Total population with access to safe drinking-water (JMP),2018,98.3,I
120,Long-term average annual precipitation in volume,1962,513.1,OF
121,Long-term average annual precipitation in volume,1967,513.1,OF
122,Long-term average annual precipitation in volume,1972,513.1,OF
123,Long-term average annual precipitation in volume,1977,513.1,OF
124,Long-term average annual precipitation in volume,1982,513.1,OF
125,Long-term average annual precipitation in volume,1987,513.1,OF
126,Long-term average annual precipitation in volume,1992,513.1,OF
127,Long-term average annual precipitation in volume,1997,513.1,OF
128,Long-term average annual precipitation in volume,2002,513.1,OF
129,Long-term average annual precipitation in volume,2007,513.1,OF
130,Long-term average annual precipitation in volume,2012,513.1,OF
131,Long-term average annual precipitation in volume,2017,513.1,OF
132,Long-term average annual precipitation in volume,2018,513.13339,E
133,Interannual variability (WRI),2017,1.6,I
134,Interannual variability (WRI),2018,1.6,I
135,Seasonal variability (WRI),2017,2.1,I
136,Seasonal variability (WRI),2018,2.1,I
137,Flood occurrence (WRI),2017,2.4,I
138,Flood occurrence (WRI),2018,2.4,I
150,Surface water: entering the country (total),2017,30.0,OF
151,Surface water: leaving the country to other countries (total),1961,0.0,OF
152,Surface water: leaving the country to other countries (total),1966,0.0,OF
153,Surface water: leaving the country to other countries (total),1971,0.0,OF
154,Surface water: leaving the country to other countries (total),1976,0.0,OF
155,Surface water: leaving the country to other countries (total),1981,0.0,OF
156,Surface water: leaving the country to other countries (total),1986,0.0,OF
157,Surface water: leaving the country to other countries (total),1991,0.0,OF
158,Surface water: leaving the country to other countries (total),1996,0.0,OF
159,Surface water: leaving the country to other countries (total),2001,0.0,OF
160,Surface water: leaving the country to other countries (total),2006,0.0,OF
162,Surface water: leaving the country to other countries (total),2017,0.0,OF
163,Groundwater: entering the country (total),1962,0.0,OF
164,Groundwater: entering the country (total),1967,0.0,OF
165,Groundwater: entering the country (total),1972,0.0,OF
166,Groundwater: entering the country (total),1977,0.0,OF
167,Groundwater: entering the country (total),1982,0.0,OF
168,Groundwater: entering the country (total),1987,0.0,OF
169,Groundwater: entering the country (total),1992,0.0,OF
170,Groundwater: entering the country (total),1997,0.0,OF
171,Groundwater: entering the country (total),2002,0.0,OF
172,Groundwater: entering the country (total),2007,0.0,OF
173,Groundwater: entering the country (total),2012,0.0,OF
174,Groundwater: entering the country (total),2017,0.0,OF
175,Groundwater: leaving the country to other countries (total),1962,0.0,OF
176,Groundwater: leaving the country to other countries (total),1967,0.0,OF
177,Groundwater: leaving the country to other countries (total),1972,0.0,OF
178,Groundwater: leaving the country to other countries (total),1977,0.0,OF
179,Groundwater: leaving the country to other countries (total),1982,0.0,OF
180,Groundwater: leaving the country to other countries (total),1987,0.0,OF
181,Groundwater: leaving the country to other countries (total),1992,0.0,OF
182,Groundwater: leaving the country to other countries (total),1997,0.0,OF
183,Groundwater: leaving the country to other countries (total),2002,0.0,OF
184,Groundwater: leaving the country to other countries (total),2007,0.0,OF
185,Groundwater: leaving the country to other countries (total),2012,0.0,OF
186,Groundwater: leaving the country to other countries (total),2017,0.0,OF
187,Dependency ratio,1962,11.0701107011,E
188,Dependency ratio,1967,11.0701107011,E
189,Dependency ratio,1972,11.0701107011,E
190,Dependency ratio,1977,11.0701107011,E
191,Dependency ratio,1982,11.0701107011,E
192,Dependency ratio,1987,11.0701107011,E
193,Dependency ratio,1992,11.0701107011,E
194,Dependency ratio,1997,11.0701107011,E
195,Dependency ratio,2002,11.0701107011,E
196,Dependency ratio,2007,11.0701107011,E
197,Dependency ratio,2012,11.0701107011,E
198,Dependency ratio,2017,11.0701107011,E
199,Dependency ratio,2018,11.0701107011,E
200,Total internal renewable water resources (IRWR),1962,241.0,E
201,Total internal renewable water resources (IRWR),1967,241.0,E
202,Total internal renewable water resources (IRWR),1972,241.0,E
203,Total internal renewable water resources (IRWR),1977,241.0,E
204,Total internal renewable water resources (IRWR),1982,241.0,E
205,Total internal renewable water resources (IRWR),1987,241.0,E
206,Total internal renewable water resources (IRWR),1992,241.0,E
207,Total internal renewable water resources (IRWR),1997,241.0,E
208,Total internal renewable water resources (IRWR),2002,241.0,E
209,Total internal renewable water resources (IRWR),2007,241.0,E
210,Total internal renewable water resources (IRWR),2012,241.0,E
211,Total internal renewable water resources (IRWR),2017,241.0,E
212,Total internal renewable water resources (IRWR),2018,241.0,E
213,Total internal renewable water resources per capita,1962,397502.8245792,E
214,Total internal renewable water resources per capita,1967,356576.920743751,E
215,Total internal renewable water resources per capita,1972,333819.056220116,E
216,Total internal renewable water resources per capita,1977,316097.079840089,E
217,Total internal renewable water resources per capita,1982,308481.579425687,E
218,Total internal renewable water resources per capita,1987,318173.656805484,E
219,Total internal renewable water resources per capita,1992,321933.417223037,E
220,Total internal renewable water resources per capita,1997,317954.536459227,E
221,Total internal renewable water resources per capita,2002,323581.578138238,E
222,Total internal renewable water resources per capita,2007,322851.164273638,E
223,Total internal renewable water resources per capita,2012,319036.694515084,E
224,Total internal renewable water resources per capita,2017,310878.690233249,E
225,Total internal renewable water resources per capita,2018,309368.605633333,E
226,Total renewable surface water,1962,271.0,E
227,Total renewable surface water,1967,271.0,E
228,Total renewable surface water,1972,271.0,E
229,Total renewable surface water,1977,271.0,E
230,Total renewable surface water,1982,271.0,E
231,Total renewable surface water,1987,271.0,E
232,Total renewable surface water,1992,271.0,E
233,Total renewable surface water,1997,271.0,E
234,Total renewable surface water,2002,271.0,E
235,Total renewable surface water,2007,271.0,E
236,Total renewable surface water,2012,271.0,E
237,Total renewable surface water,2017,271.0,E
238,Total renewable surface water,2018,271.0,E
239,Total renewable groundwater,1962,103.0,E
240,Total renewable groundwater,1967,103.0,E
241,Total renewable groundwater,1972,103.0,E
242,Total renewable groundwater,1977,103.0,E
243,Total renewable groundwater,1982,103.0,E
244,Total renewable groundwater,1987,103.0,E
245,Total renewable groundwater,1992,103.0,E
246,Total renewable groundwater,1997,103.0,E
247,Total renewable groundwater,2002,103.0,E
248,Total renewable groundwater,2007,103.0,E
249,Total renewable groundwater,2012,103.0,E
250,Total renewable groundwater,2017,103.0,E
251,Total renewable groundwater,2018,103.0,E
252,Water resources: total external renewable,1962,30.0,E
253,Water resources: total external renewable,1967,30.0,E
254,Water resources: total external renewable,1972,30.0,E
255,Water resources: total external renewable,1977,30.0,E
256,Water resources: total external renewable,1982,30.0,E
257,Water resources: total external renewable,1987,30.0,E
258,Water resources: total external renewable,1992,30.0,E
259,Water resources: total external renewable,1997,30.0,E
260,Water resources: total external renewable,2002,30.0,E
261,Water resources: total external renewable,2007,30.0,E
262,Water resources: total external renewable,2012,30.0,E
263,Water resources: total external renewable,2017,30.0,E
264,Water resources: total external renewable,2018,30.0,E
265,Total renewable water resources,1962,271.0,E
266,Total renewable water resources,1967,271.0,E
267,Total renewable water resources,1972,271.0,E
268,Total renewable water resources,1977,271.0,E
269,Total renewable water resources,1982,271.0,E
270,Total renewable water resources,1987,271.0,E
271,Total renewable water resources,1992,271.0,E
272,Total renewable water resources,1997,271.0,E
273,Total renewable water resources,2002,271.0,E
274,Total renewable water resources,2007,271.0,E
275,Total renewable water resources,2012,271.0,E
276,Total renewable water resources,2017,271.0,E
277,Total renewable water resources,2018,271.0,E
278,Total renewable water resources per capita,1962,446984.503987399,E
279,Total renewable water resources per capita,1967,400964.089301065,E
280,Total renewable water resources per capita,1972,375373.295583615,E
281,Total renewable water resources per capita,1977,355445.264052548,E
282,Total renewable water resources per capita,1982,346881.776034693,E
283,Total renewable water resources per capita,1987,357780.336075876,E
284,Total renewable water resources per capita,1992,362008.116462419,E
285,Total renewable water resources per capita,1997,357533.939337969,E
286,Total renewable water resources per capita,2002,363861.442636774,E
287,Total renewable water resources per capita,2007,363040.105884465,E
288,Total renewable water resources per capita,2012,358750.805865509,E
289,Total renewable water resources per capita,2017,349577.282378467,E
290,Total renewable water resources per capita,2018,347879.220442461,E
291,Total agricultural water managed area,1992,149.7619047619,I
292,Total agricultural water managed area,1997,148.0714285714,I
293,Total agricultural water managed area,2002,146.380952381,I
294,Total agricultural water managed area,2007,144.6904761905,I
295,Total agricultural water managed area,2012,143.0,E
296,Total agricultural water managed area,2017,143.0,E
297,Total agricultural water managed area,2018,143.0,E
298,Area equipped for irrigation: total,1992,149.7619047619,I
299,Area equipped for irrigation: total,1997,148.0714285714,I
300,Area equipped for irrigation: total,2002,146.380952381,I
301,Area equipped for irrigation: total,2007,144.6904761905,I
302,Area equipped for irrigation: total,2012,143.0,OF
303,Area equipped for irrigation: total,2017,143.0,E
304,Area equipped for irrigation: total,2018,143.0,E
305,% of agricultural GVA produced by irrigated agriculture,2012,39.5431268156,E
306,% of agricultural GVA produced by irrigated agriculture,2017,1.2977165934,E
307,% of agricultural GVA produced by irrigated agriculture,2018,1.2977165934,E
309,Ratio between rainfed and irrigated yields,1966,1.778,I
310,Ratio between rainfed and irrigated yields,1971,1.778,I
311,Ratio between rainfed and irrigated yields,1976,1.778,I
312,Ratio between rainfed and irrigated yields,1981,1.778,I
313,Ratio between rainfed and irrigated yields,1986,1.778,I
314,Ratio between rainfed and irrigated yields,1991,1.778,I
315,Ratio between rainfed and irrigated yields,1996,1.778,I
316,Ratio between rainfed and irrigated yields,2001,1.778,I
317,Ratio between rainfed and irrigated yields,2007,1.778,I
318,Ratio between rainfed and irrigated yields,2011,1.778,I
319,Ratio between rainfed and irrigated yields,2017,1.778,I
320,Ratio between rainfed and irrigated yields,2018,1.778,I
321,Agricultural water withdrawal as % of total renewable water resources,1992,0.5306273063,E
322,Agricultural water withdrawal as % of total renewable water resources,1997,0.5679889299,I
323,Agricultural water withdrawal as % of total renewable water resources,2002,0.5729151292,I
324,Agricultural water withdrawal as % of total renewable water resources,2007,0.5291881919,I
325,Agricultural water withdrawal as % of total renewable water resources,2012,0.5029520295,I
326,Agricultural water withdrawal as % of total renewable water resources,2017,0.5029520295,I
327,Agricultural water withdrawal as % of total renewable water resources,2018,0.5029520295,I
328,Agricultural water withdrawal,1992,1.438,OF
329,Agricultural water withdrawal,1997,1.53925,I
330,Agricultural water withdrawal,2002,1.5526,I
331,Agricultural water withdrawal,2007,1.4341,I
332,Agricultural water withdrawal,2012,1.363,I
333,Agricultural water withdrawal,2017,1.363,I
334,Agricultural water withdrawal,2018,1.363,I
335,Irrigation water requirement,2012,0.5278,I
336,Irrigation water requirement,2017,0.5278,I
337,Irrigation water requirement,2018,0.5278,I
338,Irrigation water withdrawal,2012,1.363,I
339,Irrigation water withdrawal,2017,1.363,I
340,Irrigation water withdrawal,2018,1.363,I
341,Municipal water withdrawal,1992,0.015,OF
342,Municipal water withdrawal,1997,0.024375,I
343,Municipal water withdrawal,2002,0.04252,I
344,Municipal water withdrawal,2007,0.0613,I
345,Municipal water withdrawal,2012,0.0613,I
346,Municipal water withdrawal,2017,0.0613,I
347,Municipal water withdrawal,2018,0.0613,I
348,Industrial water withdrawal,1992,0.007,OF
349,Industrial water withdrawal,1997,0.008875,I
350,Industrial water withdrawal,2002,0.01416,I
351,Industrial water withdrawal,2007,0.0204,I
352,Industrial water withdrawal,2012,0.0204,I
353,Industrial water withdrawal,2017,0.0204,I
354,Industrial water withdrawal,2018,0.0204,I
355,Total water withdrawal,1992,1.46,E
356,Total water withdrawal,1997,1.5725,I
357,Total water withdrawal,2002,1.60928,E
358,Total water withdrawal,2007,1.5158,E
359,Total water withdrawal,2012,1.4447,I
360,Total water withdrawal,2017,1.4447,I
361,Total water withdrawal,2018,1.4447,I
362,Total freshwater withdrawal,1992,1.46,E
363,Total freshwater withdrawal,1997,1.5725,I
364,Total freshwater withdrawal,2002,1.60928,E
365,Total freshwater withdrawal,2007,1.5158,E
366,Total freshwater withdrawal,2012,1.4447,I
367,Total freshwater withdrawal,2017,1.4447,I
368,Total freshwater withdrawal,2018,1.4447,I
381,SDG 6.4.2. Water Stress,1992,3.3333333333,E
382,SDG 6.4.2. Water Stress,1997,3.5901826484,E
383,SDG 6.4.2. Water Stress,2002,3.6741552511,E
384,SDG 6.4.2. Water Stress,2007,3.4607305936,E
385,SDG 6.4.2. Water Stress,2012,3.2984018265,E
386,SDG 6.4.2. Water Stress,2017,3.2984018265,E
387,SDG 6.4.2. Water Stress,2018,3.2984018265,E
388,SDG 6.4.1. Water Use Efficiency,2015,1.6600633638,I
389,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0477207989,E
390,SDG 6.4.1. Industrial Water Use Efficiency,2015,41.9143759216,E
391,SDG 6.4.1. Services Water Use Efficiency,2015,24.1141406852,E
392,Harvested irrigated temporary crop area: Rice,2012,131.4,I
393,Harvested irrigated temporary crop area: Rice,2017,131.4,I
394,Harvested irrigated temporary crop area: Rice,2018,131.4,I
395,Harvested irrigated temporary crop area: Sugarcane,2012,41.6,I
396,Harvested irrigated temporary crop area: Sugarcane,2017,41.6,I
397,Harvested irrigated temporary crop area: Sugarcane,2018,41.6,I
398,Harvested irrigated temporary crop area: Vegetables,2012,4.0,I
399,Harvested irrigated temporary crop area: Vegetables,2017,4.0,I
400,Harvested irrigated temporary crop area: Vegetables,2018,4.0,I
401,Harvested irrigated permanent crop area: Citrus,2012,2.0,I
402,Harvested irrigated permanent crop area: Citrus,2017,2.0,I
403,Harvested irrigated permanent crop area: Citrus,2018,2.0,I
