Lesotho,Variable Name,Year,Value,Symbol
194,Total internal renewable water resources (IRWR),2002,5.23,E
195,Total internal renewable water resources (IRWR),2007,5.23,E
196,Total internal renewable water resources (IRWR),2012,5.23,E
197,Total internal renewable water resources (IRWR),2017,5.23,E
198,Total internal renewable water resources (IRWR),2018,5.23,E
199,Total internal renewable water resources per capita,1962,6017.4702233022,E
200,Total internal renewable water resources per capita,1967,5435.0480580875,E
201,Total internal renewable water resources per capita,1972,4855.6534010463,E
202,Total internal renewable water resources per capita,1977,4257.0995070556,E
203,Total internal renewable water resources per capita,1982,3695.1546842621,E
204,Total internal renewable water resources per capita,1987,3276.1335860696,E
205,Total internal renewable water resources per capita,1992,2934.43528953,E
206,Total internal renewable water resources per capita,1997,2657.4609104268,E
207,Total internal renewable water resources per capita,2002,2576.5717210662,E
208,Total internal renewable water resources per capita,2007,2632.2120344936,E
209,Total internal renewable water resources per capita,2012,2595.541227418,E
210,Total internal renewable water resources per capita,2017,2500.5570074405,E
211,Total internal renewable water resources per capita,2018,2480.6386862006,E
212,Total renewable surface water,1962,3.022,E
213,Total renewable surface water,1967,3.022,E
214,Total renewable surface water,1972,3.022,E
215,Total renewable surface water,1977,3.022,E
216,Total renewable surface water,1982,3.022,E
217,Total renewable surface water,1987,3.022,E
218,Total renewable surface water,1992,3.022,E
219,Total renewable surface water,1997,3.022,E
220,Total renewable surface water,2002,3.022,E
221,Total renewable surface water,2007,3.022,E
222,Total renewable surface water,2012,3.022,E
223,Total renewable surface water,2017,3.022,E
224,Total renewable surface water,2018,3.022,E
225,Total renewable groundwater,1962,0.5,E
226,Total renewable groundwater,1967,0.5,E
227,Total renewable groundwater,1972,0.5,E
228,Total renewable groundwater,1977,0.5,E
229,Total renewable groundwater,1982,0.5,E
230,Total renewable groundwater,1987,0.5,E
231,Total renewable groundwater,1992,0.5,E
232,Total renewable groundwater,1997,0.5,E
233,Total renewable groundwater,2002,0.5,E
234,Total renewable groundwater,2007,0.5,E
235,Total renewable groundwater,2012,0.5,E
236,Total renewable groundwater,2017,0.5,E
237,Total renewable groundwater,2018,0.5,E
238,Water resources: total external renewable,1962,-2.208,E
239,Water resources: total external renewable,1967,-2.208,E
240,Water resources: total external renewable,1972,-2.208,E
241,Water resources: total external renewable,1977,-2.208,E
242,Water resources: total external renewable,1982,-2.208,E
243,Water resources: total external renewable,1987,-2.208,E
244,Water resources: total external renewable,1992,-2.208,E
245,Water resources: total external renewable,1997,-2.208,E
246,Water resources: total external renewable,2002,-2.208,E
247,Water resources: total external renewable,2007,-2.208,E
248,Water resources: total external renewable,2012,-2.208,E
249,Water resources: total external renewable,2017,-2.208,E
250,Water resources: total external renewable,2018,-2.208,E
251,Total renewable water resources,1962,3.022,E
252,Total renewable water resources,1967,3.022,E
253,Total renewable water resources,1972,3.022,E
254,Total renewable water resources,1977,3.022,E
255,Total renewable water resources,1982,3.022,E
256,Total renewable water resources,1987,3.022,E
257,Total renewable water resources,1992,3.022,E
258,Total renewable water resources,1997,3.022,E
259,Total renewable water resources,2002,3.022,E
260,Total renewable water resources,2007,3.022,E
261,Total renewable water resources,2012,3.022,E
262,Total renewable water resources,2017,3.022,E
263,Total renewable water resources,2018,3.022,E
264,Total renewable water resources per capita,1962,3477.0162552236,E
265,Total renewable water resources per capita,1967,3140.4809238127,E
266,Total renewable water resources per capita,1972,2805.6949479851,E
267,Total renewable water resources per capita,1977,2459.8383767346,E
268,Total renewable water resources per capita,1982,2135.1352688031,E
269,Total renewable water resources per capita,1987,1893.0163856792,E
270,Total renewable water resources per capita,1992,1695.5761845047,E
271,Total renewable water resources per capita,1997,1535.534774629,E
272,Total renewable water resources per capita,2002,1488.7953615797,E
273,Total renewable water resources per capita,2007,1520.9454623785,E
274,Total renewable water resources per capita,2012,1499.7563268178,E
275,Total renewable water resources per capita,2017,1444.8725194044,E
276,Total renewable water resources per capita,2018,1433.3633096938,E
277,Total agricultural water managed area,1997,2.671,I
278,Total agricultural water managed area,2002,2.637,I
279,Total agricultural water managed area,2007,2.637,I
280,Total agricultural water managed area,2012,2.637,I
281,Total agricultural water managed area,2017,2.637,I
282,Total agricultural water managed area,2018,2.637,I
283,Area equipped for irrigation: total,1997,2.671,I
284,Area equipped for irrigation: total,2002,2.637,I
285,Area equipped for irrigation: total,2007,2.637,I
286,Area equipped for irrigation: total,2012,2.637,I
287,Area equipped for irrigation: total,2017,2.637,I
288,Area equipped for irrigation: total,2018,2.637,I
289,% of agricultural GVA produced by irrigated agriculture,1997,0.1180851975,E
290,% of agricultural GVA produced by irrigated agriculture,2002,0.0634473953,E
291,% of agricultural GVA produced by irrigated agriculture,2007,0.0586280098,E
292,% of agricultural GVA produced by irrigated agriculture,2012,0.0676042221,E
293,% of agricultural GVA produced by irrigated agriculture,2017,0.046148773,E
294,% of agricultural GVA produced by irrigated agriculture,2018,0.0445197145,E
295,Ratio between rainfed and irrigated yields,1962,2.88,E
296,Ratio between rainfed and irrigated yields,1967,2.88,E
297,Ratio between rainfed and irrigated yields,1972,2.88,E
298,Ratio between rainfed and irrigated yields,1977,2.88,E
299,Ratio between rainfed and irrigated yields,1982,2.88,E
300,Ratio between rainfed and irrigated yields,1987,2.88,E
301,Ratio between rainfed and irrigated yields,1992,2.88,E
302,Ratio between rainfed and irrigated yields,1997,2.88,E
303,Ratio between rainfed and irrigated yields,2002,2.88,E
304,Ratio between rainfed and irrigated yields,2007,2.88,I
305,Ratio between rainfed and irrigated yields,2012,2.88,E
306,Ratio between rainfed and irrigated yields,2017,2.88,I
307,Ratio between rainfed and irrigated yields,2018,2.88,I
308,Agricultural water withdrawal as % of total renewable water resources,1987,0.9265387161,E
309,Agricultural water withdrawal as % of total renewable water resources,1992,0.5928744761,I
310,Agricultural water withdrawal as % of total renewable water resources,1997,0.259210236,I
311,Agricultural water withdrawal as % of total renewable water resources,2002,0.12574454,I
312,Agricultural water withdrawal as % of total renewable water resources,2007,0.12574454,I
313,Agricultural water withdrawal as % of total renewable water resources,2012,0.12574454,I
314,Agricultural water withdrawal as % of total renewable water resources,2017,0.12574454,I
315,Agricultural water withdrawal as % of total renewable water resources,2018,0.12574454,I
316,Agricultural water withdrawal,1987,0.028,OF
317,Agricultural water withdrawal,1992,0.0179166667,I
318,Agricultural water withdrawal,1997,0.0078333333,I
319,Agricultural water withdrawal,2002,0.0038,I
320,Agricultural water withdrawal,2007,0.0038,I
321,Agricultural water withdrawal,2012,0.0038,I
322,Agricultural water withdrawal,2017,0.0038,I
323,Agricultural water withdrawal,2018,0.0038,I
324,Irrigation water requirement,2002,0.001,I
325,Irrigation water requirement,2007,0.001,I
326,Irrigation water requirement,2012,0.001,I
327,Irrigation water requirement,2017,0.001,I
328,Irrigation water requirement,2018,0.001,I
329,Irrigation water withdrawal,2002,0.0038,I
330,Irrigation water withdrawal,2007,0.0038,I
331,Irrigation water withdrawal,2012,0.0038,I
332,Irrigation water withdrawal,2017,0.0038,I
333,Irrigation water withdrawal,2018,0.0038,I
334,Municipal water withdrawal,1987,0.011,OF
335,Municipal water withdrawal,1992,0.0144615385,I
336,Municipal water withdrawal,1997,0.0179230769,I
337,Municipal water withdrawal,2002,0.02,I
338,Municipal water withdrawal,2007,0.02,I
339,Municipal water withdrawal,2012,0.02,I
340,Municipal water withdrawal,2017,0.02,I
341,Municipal water withdrawal,2018,0.02,I
342,Industrial water withdrawal,1987,0.011,OF
343,Industrial water withdrawal,1992,0.0144615385,I
344,Industrial water withdrawal,1997,0.0179230769,I
345,Industrial water withdrawal,2002,0.02,I
346,Industrial water withdrawal,2007,0.02,I
347,Industrial water withdrawal,2012,0.02,I
348,Industrial water withdrawal,2017,0.02,I
349,Industrial water withdrawal,2018,0.02,I
350,Total water withdrawal,1987,0.05,E
351,Total water withdrawal,1992,0.0468397436,E
352,Total water withdrawal,1997,0.0436794872,E
353,Total water withdrawal,2002,0.0438,E
354,Total water withdrawal,2007,0.0438,E
355,Total water withdrawal,2012,0.0438,E
356,Total water withdrawal,2017,0.0438,E
357,Total water withdrawal,2018,0.0438,E
358,Total freshwater withdrawal,1987,0.05,E
359,Total freshwater withdrawal,1992,0.0468397436,E
360,Total freshwater withdrawal,1997,0.0436794872,E
361,Total freshwater withdrawal,2002,0.0438,E
362,Total freshwater withdrawal,2007,0.0438,E
363,Total freshwater withdrawal,2012,0.0438,E
364,Total freshwater withdrawal,2017,0.0438,E
365,Total freshwater withdrawal,2018,0.0438,E
378,SDG 6.4.2. Water Stress,1987,2.9291154071,E
379,SDG 6.4.2. Water Stress,1992,2.7439802923,E
380,SDG 6.4.2. Water Stress,1997,2.5588451775,E
381,SDG 6.4.2. Water Stress,2002,2.5659050967,E
382,SDG 6.4.2. Water Stress,2007,2.5659050967,E
383,SDG 6.4.2. Water Stress,2012,2.5659050967,E
384,SDG 6.4.2. Water Stress,2017,2.5659050967,E
385,SDG 6.4.2. Water Stress,2018,2.5659050967,E
386,SDG 6.4.1. Water Use Efficiency,2015,48.1095814944,I
387,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0283956727,E
388,SDG 6.4.1. Industrial Water Use Efficiency,2015,32.752646295,E
389,SDG 6.4.1. Services Water Use Efficiency,2015,72.601942,E
390,Harvested irrigated temporary crop area: Vegetables,1997,0.135,I
391,Harvested irrigated temporary crop area: Vegetables,2002,0.067,I
392,Harvested irrigated temporary crop area: Vegetables,2007,0.067,I
393,Harvested irrigated temporary crop area: Vegetables,2012,0.067,I
394,Harvested irrigated temporary crop area: Vegetables,2017,0.067,I
395,Harvested irrigated temporary crop area: Vegetables,2018,0.067,I
