Afghanistan,Variable Name,Year,Value,Symbol
84,Number of people undernourished (3-year average),2001,9300.0,X
85,Number of people undernourished (3-year average),2007,8800.0,X
86,Number of people undernourished (3-year average),2008,8100.0,X
87,Prevalence of undernourishment (3-year average),1992,29.5,X
88,Prevalence of undernourishment (3-year average),1997,45.6,X
89,Prevalence of undernourishment (3-year average),2002,47.8,X
90,Total population with access to safe drinking-water (JMP),1992,21.3,X
91,Total population with access to safe drinking-water (JMP),1997,25.0,X
92,Total population with access to safe drinking-water (JMP),2002,33.8,X
93,Total population with access to safe drinking-water (JMP),2007,42.6,X
94,Total population with access to safe drinking-water (JMP),2012,51.6,X
95,Total population with access to safe drinking-water (JMP),2017,55.3,I
96,Total population with access to safe drinking-water (JMP),2018,55.3,I
97,Long-term average annual precipitation in volume,1962,213.48522,E
98,Long-term average annual precipitation in volume,1967,213.48522,E
99,Long-term average annual precipitation in volume,1972,213.48522,E
100,Long-term average annual precipitation in volume,1977,213.48522,E
101,Long-term average annual precipitation in volume,1982,213.48522,E
102,Long-term average annual precipitation in volume,1987,213.48522,E
103,Long-term average annual precipitation in volume,1992,213.48522,E
104,Long-term average annual precipitation in volume,1997,213.48522,E
105,Long-term average annual precipitation in volume,2002,213.48522,E
106,Long-term average annual precipitation in volume,2007,213.48522,E
107,Long-term average annual precipitation in volume,2012,213.48522,E
108,Long-term average annual precipitation in volume,2017,213.48522,E
109,Long-term average annual precipitation in volume,2018,213.48522,E
110,Interannual variability (WRI),2017,2.5,I
111,Interannual variability (WRI),2018,2.5,I
112,Seasonal variability (WRI),2017,2.5,I
113,Seasonal variability (WRI),2018,2.5,I
114,Flood occurrence (WRI),2017,3.7,I
115,Flood occurrence (WRI),2018,3.7,I
116,Surface water: entering the country (total),1962,10.0,OF
117,Surface water: entering the country (total),1966,10.0,OF
118,Surface water: entering the country (total),1971,10.0,OF
119,Surface water: entering the country (total),1976,10.0,OF
120,Surface water: entering the country (total),1981,10.0,OF
121,Surface water: entering the country (total),1986,10.0,OF
122,Surface water: entering the country (total),1991,10.0,OF
123,Surface water: entering the country (total),1996,10.0,OF
124,Surface water: entering the country (total),2001,10.0,OF
125,Surface water: entering the country (total),2006,10.0,OF
126,Surface water: entering the country (total),2017,10.0,OF
129,Groundwater: entering the country (total),1962,0.0,E
130,Groundwater: entering the country (total),1967,0.0,E
131,Groundwater: entering the country (total),1972,0.0,E
132,Groundwater: entering the country (total),1977,0.0,E
133,Groundwater: entering the country (total),1982,0.0,E
134,Groundwater: entering the country (total),1987,0.0,E
135,Groundwater: entering the country (total),1992,0.0,E
136,Groundwater: entering the country (total),1997,0.0,E
137,Groundwater: entering the country (total),2002,0.0,E
138,Groundwater: entering the country (total),2007,0.0,E
139,Groundwater: entering the country (total),2012,0.0,E
140,Groundwater: entering the country (total),2017,0.0,E
141,Dependency ratio,1962,28.7226001512,E
142,Dependency ratio,1967,28.7226001512,E
143,Dependency ratio,1972,28.7226001512,E
144,Dependency ratio,1977,28.7226001512,E
145,Dependency ratio,1982,28.7226001512,E
146,Dependency ratio,1987,28.7226001512,E
147,Dependency ratio,1992,28.7226001512,E
148,Dependency ratio,1997,28.7226001512,E
149,Dependency ratio,2002,28.7226001512,E
150,Dependency ratio,2007,28.7226001512,E
151,Dependency ratio,2012,28.7226001512,E
152,Dependency ratio,2017,28.7226001512,E
153,Dependency ratio,2018,28.7226001512,E
154,Total internal renewable water resources (IRWR),1962,47.15,E
155,Total internal renewable water resources (IRWR),1967,47.15,E
156,Total internal renewable water resources (IRWR),1972,47.15,E
157,Total internal renewable water resources (IRWR),1977,47.15,E
158,Total internal renewable water resources (IRWR),1982,47.15,E
159,Total internal renewable water resources (IRWR),1987,47.15,E
160,Total internal renewable water resources (IRWR),1992,47.15,E
161,Total internal renewable water resources (IRWR),1997,47.15,E
162,Total internal renewable water resources (IRWR),2002,47.15,E
163,Total internal renewable water resources (IRWR),2007,47.15,E
164,Total internal renewable water resources (IRWR),2012,47.15,E
165,Total internal renewable water resources (IRWR),2017,47.15,E
166,Total internal renewable water resources (IRWR),2018,47.15,E
167,Total internal renewable water resources per capita,1962,5042.0036869184,E
168,Total internal renewable water resources per capita,1967,4533.6861050742,E
169,Total internal renewable water resources per capita,1972,3998.739739713,E
170,Total internal renewable water resources per capita,1977,3579.7513169916,E
171,Total internal renewable water resources per capita,1982,3659.9959262654,E
172,Total internal renewable water resources per capita,1987,4063.0670736111,E
173,Total internal renewable water resources per capita,1992,3254.9687806038,E
174,Total internal renewable water resources per capita,1997,2435.7954791429,E
175,Total internal renewable water resources per capita,2002,2086.2121069326,E
176,Total internal renewable water resources per capita,2007,1739.8179873638,E
177,Total internal renewable water resources per capita,2012,1513.091077878,E
178,Total internal renewable water resources per capita,2017,1299.0371723826,E
179,Total internal renewable water resources per capita,2018,1268.4305446576,E
180,Total renewable surface water,1962,55.68,E
181,Total renewable surface water,1967,55.68,E
182,Total renewable surface water,1972,55.68,E
183,Total renewable surface water,1977,55.68,E
184,Total renewable surface water,1982,55.68,E
185,Total renewable surface water,1987,55.68,E
186,Total renewable surface water,1992,55.68,E
187,Total renewable surface water,1997,55.68,E
188,Total renewable surface water,2002,55.68,E
189,Total renewable surface water,2007,55.68,E
190,Total renewable surface water,2012,55.68,E
191,Total renewable surface water,2017,55.68,E
192,Total renewable surface water,2018,55.68,E
193,Total renewable groundwater,1962,10.65,E
194,Total renewable groundwater,1967,10.65,E
195,Total renewable groundwater,1972,10.65,E
196,Total renewable groundwater,1977,10.65,E
197,Total renewable groundwater,1982,10.65,E
198,Total renewable groundwater,1987,10.65,E
199,Total renewable groundwater,1992,10.65,E
200,Total renewable groundwater,1997,10.65,E
201,Total renewable groundwater,2002,10.65,E
202,Total renewable groundwater,2007,10.65,E
203,Total renewable groundwater,2012,10.65,E
204,Total renewable groundwater,2017,10.65,E
205,Total renewable groundwater,2018,10.65,E
206,Water resources: total external renewable,1962,18.18,E
207,Water resources: total external renewable,1967,18.18,E
208,Water resources: total external renewable,1972,18.18,E
209,Water resources: total external renewable,1977,18.18,E
210,Water resources: total external renewable,1982,18.18,E
211,Water resources: total external renewable,1987,18.18,E
212,Water resources: total external renewable,1992,18.18,E
213,Water resources: total external renewable,1997,18.18,E
214,Water resources: total external renewable,2002,18.18,E
215,Water resources: total external renewable,2007,18.18,E
216,Water resources: total external renewable,2012,18.18,E
217,Water resources: total external renewable,2017,18.18,E
218,Water resources: total external renewable,2018,18.18,E
219,Total renewable water resources,1962,65.33,E
220,Total renewable water resources,1967,65.33,E
221,Total renewable water resources,1972,65.33,E
222,Total renewable water resources,1977,65.33,E
223,Total renewable water resources,1982,65.33,E
224,Total renewable water resources,1987,65.33,E
225,Total renewable water resources,1992,65.33,E
226,Total renewable water resources,1997,65.33,E
227,Total renewable water resources,2002,65.33,E
228,Total renewable water resources,2007,65.33,E
229,Total renewable water resources,2012,65.33,E
230,Total renewable water resources,2017,65.33,E
231,Total renewable water resources,2018,65.33,E
232,Total renewable water resources per capita,1962,6986.0890957875,E
233,Total renewable water resources per capita,1967,6281.7754664793,E
234,Total renewable water resources per capita,1972,5540.565582088,E
235,Total renewable water resources per capita,1977,4960.0244653036,E
236,Total renewable water resources per capita,1982,5071.2096259368,E
237,Total renewable water resources per capita,1987,5629.6961170522,E
238,Total renewable water resources per capita,1992,4510.0129466987,E
239,Total renewable water resources per capita,1997,3374.9844889164,E
240,Total renewable water resources per capita,2002,2890.6094792346,E
241,Total renewable water resources per capita,2007,2410.6534276665,E
242,Total renewable water resources per capita,2012,2096.5056228582,E
243,Total renewable water resources per capita,2017,1799.9172528474,E
244,Total renewable water resources per capita,2018,1757.5093845701,E
245,Total agricultural water managed area,1967,2715.0,E
246,Total agricultural water managed area,1972,2808.0769230769,I
247,Total agricultural water managed area,1977,2901.1538461538,I
248,Total agricultural water managed area,1982,2994.2307692308,I
249,Total agricultural water managed area,1987,3087.3076923077,I
250,Total agricultural water managed area,1992,3180.3846153846,I
251,Total agricultural water managed area,1997,3203.0,I
252,Total agricultural water managed area,2002,3208.0,E
253,Total agricultural water managed area,2007,3208.0,I
254,Total agricultural water managed area,2012,3208.0,I
255,Total agricultural water managed area,2017,3208.0,I
256,Total agricultural water managed area,2018,3208.0,I
257,Area equipped for irrigation: total,1967,2715.0,E
258,Area equipped for irrigation: total,1972,2808.0769230769,I
259,Area equipped for irrigation: total,1977,2901.1538461538,I
260,Area equipped for irrigation: total,1982,2994.2307692308,I
261,Area equipped for irrigation: total,1987,3087.3076923077,I
262,Area equipped for irrigation: total,1992,3180.3846153846,I
263,Area equipped for irrigation: total,1997,3203.0,I
264,Area equipped for irrigation: total,2002,3208.0,E
265,Area equipped for irrigation: total,2007,3208.0,I
266,Area equipped for irrigation: total,2012,3208.0,I
267,Area equipped for irrigation: total,2017,3208.0,I
268,Area equipped for irrigation: total,2018,3208.0,I
269,% of agricultural GVA produced by irrigated agriculture,1992,49.0198180125,E
270,% of agricultural GVA produced by irrigated agriculture,1997,44.2462707814,E
271,% of agricultural GVA produced by irrigated agriculture,2002,44.6840112343,E
272,% of agricultural GVA produced by irrigated agriculture,2007,46.5950304879,E
273,% of agricultural GVA produced by irrigated agriculture,2012,42.4746078251,E
274,% of agricultural GVA produced by irrigated agriculture,2017,44.5719570836,E
275,Ratio between rainfed and irrigated yields,1962,2.119,E
276,Ratio between rainfed and irrigated yields,1967,2.119,E
277,Ratio between rainfed and irrigated yields,1972,2.119,E
278,Ratio between rainfed and irrigated yields,1977,2.119,E
279,Ratio between rainfed and irrigated yields,1982,2.119,E
280,Ratio between rainfed and irrigated yields,1987,2.119,E
281,Ratio between rainfed and irrigated yields,1992,2.119,E
282,Ratio between rainfed and irrigated yields,1997,2.119,E
283,Ratio between rainfed and irrigated yields,2002,2.119,E
284,Ratio between rainfed and irrigated yields,2007,2.119,I
285,Ratio between rainfed and irrigated yields,2012,2.119,E
286,Ratio between rainfed and irrigated yields,2017,2.119,I
287,Ratio between rainfed and irrigated yields,2018,2.119,I
288,Agricultural water withdrawal as % of total renewable water resources,1987,39.5683453237,E
289,Agricultural water withdrawal as % of total renewable water resources,1992,35.4981005524,I
290,Agricultural water withdrawal as % of total renewable water resources,1997,31.4278557811,I
291,Agricultural water withdrawal as % of total renewable water resources,2002,30.6138068269,I
292,Agricultural water withdrawal as % of total renewable water resources,2007,30.6138068269,I
293,Agricultural water withdrawal as % of total renewable water resources,2012,30.6138068269,I
294,Agricultural water withdrawal as % of total renewable water resources,2017,30.6138068269,I
295,Agricultural water withdrawal as % of total renewable water resources,2018,30.6138068269,I
296,Agricultural water withdrawal,1987,25.85,OF
297,Agricultural water withdrawal,1992,23.1909090909,I
298,Agricultural water withdrawal,1997,20.5318181818,I
299,Agricultural water withdrawal,2002,20.0,I
300,Agricultural water withdrawal,2007,20.0,I
301,Agricultural water withdrawal,2012,20.0,I
302,Agricultural water withdrawal,2017,20.0,I
303,Agricultural water withdrawal,2018,20.0,I
304,Irrigation water requirement,2012,10.9,I
305,Irrigation water requirement,2017,10.9,I
306,Irrigation water requirement,2018,10.9,I
307,Municipal water withdrawal,1987,0.2611,OF
308,Municipal water withdrawal,1992,0.2199846154,I
309,Municipal water withdrawal,1997,0.1788692308,I
310,Municipal water withdrawal,2002,0.17388,I
311,Municipal water withdrawal,2007,0.2034,I
312,Municipal water withdrawal,2012,0.2034,I
313,Municipal water withdrawal,2017,0.2034,I
314,Municipal water withdrawal,2018,0.2034,I
315,Industrial water withdrawal,1987,0.0,OF
316,Industrial water withdrawal,1992,0.0494230769,I
317,Industrial water withdrawal,1997,0.0988461538,I
318,Industrial water withdrawal,2002,0.1449,I
319,Industrial water withdrawal,2007,0.1695,I
320,Industrial water withdrawal,2012,0.1695,I
321,Industrial water withdrawal,2017,0.1695,I
322,Industrial water withdrawal,2018,0.1695,I
323,Total water withdrawal,1977,13.2685166667,I
324,Total water withdrawal,1982,19.6898083333,I
325,Total water withdrawal,1987,26.1111,E
326,Total water withdrawal,1992,23.4603167832,E
327,Total water withdrawal,1997,20.8095335664,E
328,Total water withdrawal,2002,20.31878,E
329,Total water withdrawal,2007,20.3729,E
330,Total water withdrawal,2012,20.3729,E
331,Total water withdrawal,2017,20.3729,E
332,Total water withdrawal,2018,20.3729,E
333,Fresh surface water withdrawal,2002,17.24,I
334,Fresh surface water withdrawal,2007,17.24,I
335,Fresh surface water withdrawal,2012,17.24,I
336,Fresh surface water withdrawal,2017,17.24,I
337,Fresh surface water withdrawal,2018,17.24,I
338,Fresh groundwater withdrawal,2002,3.042,I
339,Fresh groundwater withdrawal,2007,3.042,I
340,Fresh groundwater withdrawal,2012,3.042,I
341,Fresh groundwater withdrawal,2017,3.042,I
342,Fresh groundwater withdrawal,2018,3.042,I
343,Total freshwater withdrawal,1977,13.2685166667,I
344,Total freshwater withdrawal,1982,19.6898083333,I
345,Total freshwater withdrawal,1987,26.1111,E
346,Total freshwater withdrawal,1992,23.4603167832,E
347,Total freshwater withdrawal,1997,20.8095335664,E
348,Total freshwater withdrawal,2002,20.282,I
349,Total freshwater withdrawal,2007,20.282,I
350,Total freshwater withdrawal,2012,20.282,I
351,Total freshwater withdrawal,2017,20.282,I
352,Total freshwater withdrawal,2018,20.282,I
365,SDG 6.4.2. Water Stress,1977,35.8221292297,E
366,SDG 6.4.2. Water Stress,1982,53.1582298416,E
367,SDG 6.4.2. Water Stress,1987,70.4943304536,E
368,SDG 6.4.2. Water Stress,1992,63.3377882916,E
369,SDG 6.4.2. Water Stress,1997,56.1812461297,E
370,SDG 6.4.2. Water Stress,2002,54.7570194384,E
371,SDG 6.4.2. Water Stress,2007,54.7570194384,E
372,SDG 6.4.2. Water Stress,2012,54.7570194384,E
373,SDG 6.4.2. Water Stress,2017,54.7570194384,E
374,SDG 6.4.2. Water Stress,2018,54.7570194384,E
375,SDG 6.4.1. Water Use Efficiency,2015,0.849079903,I
376,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.0999420005,E
377,SDG 6.4.1. Industrial Water Use Efficiency,2015,26.3729094277,E
378,SDG 6.4.1. Services Water Use Efficiency,2015,53.2407659636,E
379,Harvested irrigated temporary crop area: Wheat,1982,1246.0,I
380,Harvested irrigated temporary crop area: Wheat,1987,1111.0,I
381,Harvested irrigated temporary crop area: Wheat,1992,1025.7894736842,I
382,Harvested irrigated temporary crop area: Wheat,1997,1015.2631578947,I
383,Harvested irrigated temporary crop area: Wheat,2002,1004.7368421053,I
384,Harvested irrigated temporary crop area: Wheat,2007,994.2105263158,I
385,Harvested irrigated temporary crop area: Wheat,2012,1156.0,OF
386,Harvested irrigated temporary crop area: Wheat,2017,1301.0,I
387,Harvested irrigated temporary crop area: Wheat,2018,1301.0,I
388,Harvested irrigated temporary crop area: Rice,2012,208.0,I
389,Harvested irrigated temporary crop area: Rice,2017,208.0,I
390,Harvested irrigated temporary crop area: Rice,2018,208.0,I
391,Harvested irrigated temporary crop area: Barley,2012,116.0,I
392,Harvested irrigated temporary crop area: Barley,2017,116.0,I
393,Harvested irrigated temporary crop area: Barley,2018,116.0,I
394,Harvested irrigated temporary crop area: Maize,2012,183.0,I
395,Harvested irrigated temporary crop area: Maize,2017,183.0,I
396,Harvested irrigated temporary crop area: Maize,2018,183.0,I
397,Harvested irrigated temporary crop area: Potatoes,2007,15.0,I
398,Harvested irrigated temporary crop area: Potatoes,2012,15.0,I
399,Harvested irrigated temporary crop area: Potatoes,2017,15.0,I
400,Harvested irrigated temporary crop area: Potatoes,2018,15.0,I
401,Harvested irrigated temporary crop area: Sugarcane,2007,2.0,I
402,Harvested irrigated temporary crop area: Sugarcane,2012,2.0,I
403,Harvested irrigated temporary crop area: Sugarcane,2017,2.0,I
404,Harvested irrigated temporary crop area: Sugarcane,2018,2.0,I
405,Harvested irrigated temporary crop area: Sugar beet,2007,2.0,I
406,Harvested irrigated temporary crop area: Sugar beet,2012,2.0,I
407,Harvested irrigated temporary crop area: Sugar beet,2017,2.0,I
408,Harvested irrigated temporary crop area: Sugar beet,2018,2.0,I
409,Harvested irrigated temporary crop area: Leguminous crops,2007,27.0,I
410,Harvested irrigated temporary crop area: Leguminous crops,2012,27.0,I
411,Harvested irrigated temporary crop area: Leguminous crops,2017,27.0,I
412,Harvested irrigated temporary crop area: Leguminous crops,2018,27.0,I
413,Harvested irrigated temporary crop area: Vegetables,2012,69.0,I
414,Harvested irrigated temporary crop area: Vegetables,2017,69.0,I
415,Harvested irrigated temporary crop area: Vegetables,2018,69.0,I
416,Harvested irrigated temporary crop area: Cotton,2012,33.0,I
417,Harvested irrigated temporary crop area: Cotton,2017,33.0,I
418,Harvested irrigated temporary crop area: Cotton,2018,33.0,I
419,Harvested irrigated temporary crop area: Sunflower,2007,10.0,I
420,Harvested irrigated temporary crop area: Sunflower,2012,10.0,I
421,Harvested irrigated temporary crop area: Sunflower,2017,10.0,I
422,Harvested irrigated temporary crop area: Sunflower,2018,10.0,I
423,Harvested irrigated temporary crop area: Sesame,2007,10.0,I
424,Harvested irrigated temporary crop area: Sesame,2012,10.0,I
425,Harvested irrigated temporary crop area: Sesame,2017,10.0,I
426,Harvested irrigated temporary crop area: Sesame,2018,10.0,I
427,Harvested irrigated permanent crop area: Other crops,2012,198.0,I
428,Harvested irrigated permanent crop area: Other crops,2017,198.0,I
429,Harvested irrigated permanent crop area: Other crops,2018,198.0,I
